x_cm,y_cm,z_cm,temperature_C,stress_MPa,strain,pO2_atm,current_density_A_cm2,damage_index
3.111,0.444,2.368,742.45,51.007,0.000255,0.17352,0.4401,0.00135
3.111,0.444,2.632,748.93,51.039,0.000255,0.15493,0.4642,0.00295
3.111,0.444,2.895,750.56,50.133,0.000251,0.15609,0.4603,0.00345
3.111,0.444,3.158,757.82,44.114,0.000221,0.15222,0.4615,0.00408
3.111,0.444,3.421,760.2,48.616,0.000243,0.15407,0.4697,0.00577
3.111,0.444,3.684,763.4,45.767,0.000229,0.15196,0.479,0.00627
3.111,0.444,3.947,766.73,46.351,0.000232,0.14807,0.4922,0.00545
3.111,0.444,4.211,776.29,41.105,0.000206,0.13104,0.4883,0.00714
3.111,0.444,4.474,777.07,42.652,0.000213,0.13513,0.4916,0.00861
3.111,0.444,4.737,788.56,42.44,0.000212,0.12326,0.5039,0.00952
3.111,0.444,5.0,789.27,39.822,0.000199,0.12772,0.4858,0.01054
3.556,0.444,0.0,706.02,57.693,0.000288,0.21849,0.3946,6e-05
3.556,0.444,0.263,703.55,55.457,0.000277,0.21483,0.4038,0.00089
3.556,0.444,0.526,711.59,59.307,0.000297,0.20179,0.4018,0.00089
3.556,0.444,0.789,711.86,57.996,0.00029,0.19567,0.4231,0.0006
3.556,0.444,1.053,721.21,54.402,0.000272,0.18832,0.4214,0.00023
3.556,0.444,1.316,724.36,56.36,0.000282,0.18416,0.4151,0.00234
3.556,0.444,1.579,731.66,52.563,0.000263,0.18676,0.4192,0.00069
3.556,0.444,1.842,730.8,50.651,0.000253,0.1705,0.4368,0.00047
3.556,0.444,2.105,738.04,52.419,0.000262,0.16894,0.4487,0.00147
3.556,0.444,2.368,741.39,47.04,0.000235,0.16594,0.4483,0.00241
3.556,0.444,2.632,745.47,49.878,0.000249,0.158,0.4787,0.00246
3.556,0.444,2.895,751.31,45.025,0.000225,0.15986,0.456,0.00252
3.556,0.444,3.158,754.92,45.023,0.000225,0.161,0.4574,0.00388
3.556,0.444,3.421,759.9,45.536,0.000228,0.15241,0.4816,0.0058
3.556,0.444,3.684,763.45,46.657,0.000233,0.14187,0.477,0.00407
3.556,0.444,3.947,767.32,40.109,0.000201,0.13784,0.4924,0.00638
3.556,0.444,4.211,769.3,44.609,0.000223,0.13154,0.4985,0.00597
3.556,0.444,4.474,774.38,44.465,0.000222,0.13375,0.486,0.0069
3.556,0.444,4.737,777.13,41.529,0.000208,0.12664,0.4889,0.00731
3.556,0.444,5.0,782.82,39.637,0.000198,0.12862,0.5073,0.01
4.0,0.444,0.0,700.89,59.94,0.0003,0.20652,0.3919,0.0
4.0,0.444,0.263,701.35,56.066,0.00028,0.19753,0.4006,0.00016
4.0,0.444,0.526,710.01,57.782,0.000289,0.18955,0.3912,0.0
4.0,0.444,0.789,712.11,57.451,0.000287,0.1972,0.4143,0.0007
4.0,0.444,1.053,716.56,63.124,0.000316,0.18207,0.4358,0.0
4.0,0.444,1.316,721.01,57.298,0.000286,0.18659,0.4267,0.0
4.0,0.444,1.579,725.61,53.345,0.000267,0.17607,0.4151,0.00059
4.0,0.444,1.842,724.58,50.621,0.000253,0.17598,0.4575,0.00133
4.0,0.444,2.105,733.48,52.251,0.000261,0.16989,0.4356,0.00275
4.0,0.444,2.368,736.5,50.403,0.000252,0.16645,0.4479,0.00207
4.0,0.444,2.632,741.58,50.195,0.000251,0.16618,0.456,0.00194
4.0,0.444,2.895,747.84,46.333,0.000232,0.15368,0.4666,0.00448
4.0,0.444,3.158,749.53,44.03,0.00022,0.16057,0.4679,0.00335
4.0,0.444,3.421,753.19,47.083,0.000235,0.15297,0.467,0.00318
4.0,0.444,3.684,759.57,44.277,0.000221,0.14359,0.4736,0.00576
4.0,0.444,3.947,760.8,44.166,0.000221,0.14034,0.472,0.00624
4.0,0.444,4.211,769.76,40.982,0.000205,0.1384,0.4738,0.00794
4.0,0.444,4.474,775.47,44.284,0.000221,0.13211,0.4864,0.00695
4.0,0.444,4.737,773.02,38.473,0.000192,0.12206,0.5102,0.00902
4.0,0.444,5.0,781.25,41.673,0.000208,0.12246,0.4894,0.00932
0.0,0.889,0.0,702.99,59.861,0.000299,0.20507,0.3868,0.00025
0.0,0.889,0.263,703.27,58.462,0.000292,0.20355,0.4071,0.0
0.0,0.889,0.526,707.25,58.218,0.000291,0.19313,0.4208,0.00012
0.0,0.889,0.789,711.43,56.4,0.000282,0.1982,0.4091,0.0014
0.0,0.889,1.053,719.31,55.156,0.000276,0.18965,0.4113,0.00051
0.0,0.889,1.316,723.71,54.658,0.000273,0.18202,0.43,0.00036
0.0,0.889,1.579,724.74,52.674,0.000263,0.17522,0.4333,0.00241
0.0,0.889,1.842,732.51,53.235,0.000266,0.17476,0.452,0.00122
0.0,0.889,2.105,731.27,54.149,0.000271,0.17482,0.4542,0.00201
0.0,0.889,2.368,738.92,55.577,0.000278,0.15629,0.4347,0.00309
0.0,0.889,2.632,740.37,51.472,0.000257,0.15389,0.4423,0.00259
0.0,0.889,2.895,746.65,49.767,0.000249,0.15205,0.43,0.00323
0.0,0.889,3.158,749.82,43.206,0.000216,0.14656,0.4651,0.00386
0.0,0.889,3.421,752.64,46.004,0.00023,0.1419,0.4608,0.00499
0.0,0.889,3.684,759.61,43.9,0.000219,0.14531,0.4935,0.00784
0.0,0.889,3.947,760.73,41.143,0.000206,0.1413,0.4739,0.0074
0.0,0.889,4.211,768.81,45.215,0.000226,0.13592,0.4809,0.00811
0.0,0.889,4.474,773.05,38.787,0.000194,0.13524,0.4824,0.00711
0.0,0.889,4.737,776.02,39.407,0.000197,0.13035,0.4956,0.00855
0.0,0.889,5.0,779.39,36.501,0.000183,0.12356,0.5135,0.01058
0.444,0.889,0.0,704.87,59.718,0.000299,0.20782,0.3789,0.0
0.444,0.889,0.263,709.26,61.221,0.000306,0.20561,0.4164,0.0
0.444,0.889,0.526,710.87,55.447,0.000277,0.19314,0.3909,0.00131
0.444,0.889,0.789,716.4,55.777,0.000279,0.19552,0.4128,0.0013
0.444,0.889,1.053,719.45,57.392,0.000287,0.17295,0.4102,0.00072
0.444,0.889,1.316,725.39,57.253,0.000286,0.18393,0.416,0.0014
0.444,0.889,1.579,727.21,53.717,0.000269,0.18091,0.4177,0.0032
0.444,0.889,1.842,733.31,50.151,0.000251,0.16983,0.4408,0.0011
0.444,0.889,2.105,736.9,50.938,0.000255,0.17545,0.4376,0.00392
0.444,0.889,2.368,743.1,49.673,0.000248,0.17143,0.4527,0.00272
0.444,0.889,2.632,744.44,48.26,0.000241,0.16245,0.4592,0.00258
0.444,0.889,2.895,750.28,45.778,0.000229,0.16531,0.4551,0.00479
0.444,0.889,3.158,753.1,48.801,0.000244,0.14913,0.4697,0.00322
0.444,0.889,3.421,755.1,45.621,0.000228,0.15356,0.4691,0.00474
0.444,0.889,3.684,761.86,41.616,0.000208,0.15234,0.4689,0.00521
0.444,0.889,3.947,767.84,45.359,0.000227,0.1358,0.4881,0.00782
0.444,0.889,4.211,772.11,46.502,0.000233,0.13822,0.499,0.00671
0.444,0.889,4.474,773.76,42.658,0.000213,0.12686,0.502,0.00776
0.444,0.889,4.737,781.17,39.001,0.000195,0.13494,0.4777,0.00891
0.444,0.889,5.0,785.96,44.223,0.000221,0.1357,0.5006,0.00812
0.889,0.889,0.0,704.58,59.943,0.0003,0.20727,0.413,0.00125
0.889,0.889,0.263,710.91,60.486,0.000302,0.20438,0.393,0.0
0.889,0.889,0.526,716.98,57.111,0.000286,0.19668,0.4096,0.0
0.889,0.889,0.789,721.66,55.534,0.000278,0.20652,0.4083,0.00108
0.889,0.889,1.053,723.69,57.247,0.000286,0.18448,0.4237,0.00022
0.889,0.889,1.316,729.7,52.797,0.000264,0.17955,0.4555,0.00105
0.889,0.889,1.579,734.3,52.812,0.000264,0.18212,0.4315,0.00011
0.889,0.889,1.842,737.05,52.39,0.000262,0.17423,0.4352,0.0007
0.889,0.889,2.105,739.56,54.114,0.000271,0.18269,0.4644,0.00204
0.889,0.889,2.368,745.07,47.709,0.000239,0.17564,0.4493,0.00166
0.889,0.889,2.632,747.19,51.595,0.000258,0.16449,0.4464,0.00118
0.889,0.889,2.895,751.51,49.965,0.00025,0.16188,0.4414,0.00478
0.889,0.889,3.158,753.88,48.539,0.000243,0.15679,0.474,0.00257
0.889,0.889,3.421,762.92,47.711,0.000239,0.15438,0.4565,0.00554
0.889,0.889,3.684,767.49,43.002,0.000215,0.1479,0.4717,0.00524
0.889,0.889,3.947,765.81,41.401,0.000207,0.13647,0.4832,0.00735
0.889,0.889,4.211,772.85,39.522,0.000198,0.13372,0.4906,0.00714
0.889,0.889,4.474,776.79,41.319,0.000207,0.13911,0.473,0.0079
0.889,0.889,4.737,783.25,41.656,0.000208,0.12826,0.4839,0.00945
0.889,0.889,5.0,786.41,38.015,0.00019,0.13408,0.5022,0.01004
1.333,0.889,0.0,709.95,61.136,0.000306,0.21363,0.3841,0.00022
1.333,0.889,0.263,712.92,58.599,0.000293,0.19861,0.4121,0.0
1.333,0.889,0.526,717.62,57.878,0.000289,0.19349,0.3972,0.001
1.333,0.889,0.789,721.38,58.048,0.00029,0.18753,0.4128,0.0
1.333,0.889,1.053,727.84,55.787,0.000279,0.19294,0.4159,0.00186
1.333,0.889,1.316,727.74,52.342,0.000262,0.18993,0.4342,0.00107
1.333,0.889,1.579,732.42,56.781,0.000284,0.17738,0.4263,0.0021
1.333,0.889,1.842,736.39,53.697,0.000268,0.17465,0.4439,0.00068
1.333,0.889,2.105,743.23,49.325,0.000247,0.17173,0.4536,0.00378
1.333,0.889,2.368,743.29,50.074,0.00025,0.17009,0.4469,0.00287
1.333,0.889,2.632,746.9,49.792,0.000249,0.15966,0.455,0.00472
1.333,0.889,2.895,756.34,46.009,0.00023,0.15939,0.4509,0.00302
1.333,0.889,3.158,756.42,48.907,0.000245,0.15277,0.452,0.00295
1.333,0.889,3.421,761.6,44.055,0.00022,0.14136,0.4555,0.00456
1.333,0.889,3.684,764.88,48.642,0.000243,0.15212,0.4746,0.00625
1.333,0.889,3.947,770.38,46.062,0.00023,0.14309,0.4732,0.00751
1.333,0.889,4.211,781.88,41.777,0.000209,0.13688,0.4884,0.00654
1.333,0.889,4.474,779.56,39.953,0.0002,0.13047,0.4865,0.00911
1.333,0.889,4.737,784.4,41.317,0.000207,0.12723,0.4897,0.00936
1.333,0.889,5.0,786.63,37.184,0.000186,0.12014,0.498,0.01097
1.778,0.889,0.0,709.61,59.634,0.000298,0.20438,0.3787,0.0
1.778,0.889,0.263,716.01,58.886,0.000294,0.19986,0.4144,0.0
1.778,0.889,0.526,718.47,58.626,0.000293,0.19646,0.4069,0.0
1.778,0.889,0.789,726.49,58.785,0.000294,0.20067,0.4118,0.00024
1.778,0.889,1.053,725.15,57.463,0.000287,0.192,0.4369,0.00144
1.778,0.889,1.316,726.6,56.647,0.000283,0.17951,0.4231,0.00198
1.778,0.889,1.579,735.92,54.419,0.000272,0.17136,0.4374,0.00034
1.778,0.889,1.842,740.16,52.931,0.000265,0.17008,0.4171,0.0018
1.778,0.889,2.105,743.67,50.239,0.000251,0.17736,0.4357,0.00221
1.778,0.889,2.368,745.01,46.564,0.000233,0.16903,0.4588,0.00051
1.778,0.889,2.632,750.86,49.74,0.000249,0.16051,0.4613,0.00308
1.778,0.889,2.895,756.56,45.971,0.00023,0.15713,0.4646,0.00152
1.778,0.889,3.158,760.87,47.583,0.000238,0.15886,0.455,0.00389
1.778,0.889,3.421,765.93,41.784,0.000209,0.14905,0.4707,0.00403
1.778,0.889,3.684,766.81,42.816,0.000214,0.15661,0.4698,0.00602
1.778,0.889,3.947,769.21,42.674,0.000213,0.14192,0.4824,0.00695
1.778,0.889,4.211,776.86,49.469,0.000247,0.13318,0.493,0.00847
1.778,0.889,4.474,782.67,40.598,0.000203,0.12415,0.4914,0.00808
1.778,0.889,4.737,782.99,40.161,0.000201,0.13298,0.5052,0.0093
1.778,0.889,5.0,793.02,40.101,0.000201,0.12632,0.5111,0.00916
2.222,0.889,0.0,709.16,61.561,0.000308,0.20531,0.3881,0.0
2.222,0.889,0.263,716.33,57.478,0.000287,0.208,0.3859,0.0
2.222,0.889,0.526,721.81,53.968,0.00027,0.20058,0.4208,0.0
2.222,0.889,0.789,719.21,53.711,0.000269,0.19176,0.4166,0.00228
2.222,0.889,1.053,727.67,55.099,0.000275,0.19055,0.4352,0.00058
2.222,0.889,1.316,734.52,57.765,0.000289,0.18342,0.4298,0.00205
2.222,0.889,1.579,734.21,51.649,0.000258,0.18395,0.4475,0.0016
2.222,0.889,1.842,743.23,54.164,0.000271,0.17512,0.4445,0.00217
2.222,0.889,2.105,745.52,50.548,0.000253,0.16822,0.446,0.00196
2.222,0.889,2.368,747.08,50.118,0.000251,0.17194,0.4434,0.00213
2.222,0.889,2.632,751.88,47.146,0.000236,0.15607,0.4474,0.00294
2.222,0.889,2.895,753.01,49.165,0.000246,0.15018,0.4401,0.00257
2.222,0.889,3.158,759.01,48.501,0.000243,0.15014,0.4694,0.0034
2.222,0.889,3.421,765.92,42.932,0.000215,0.14023,0.4601,0.00468
2.222,0.889,3.684,768.25,43.581,0.000218,0.1376,0.4709,0.00554
2.222,0.889,3.947,773.7,43.954,0.00022,0.14032,0.4785,0.00422
2.222,0.889,4.211,779.53,44.182,0.000221,0.13813,0.4787,0.00607
2.222,0.889,4.474,783.66,46.844,0.000234,0.13293,0.4913,0.00861
2.222,0.889,4.737,786.42,39.718,0.000199,0.13329,0.4702,0.00972
2.222,0.889,5.0,788.74,34.619,0.000173,0.12503,0.5002,0.00837
2.667,0.889,0.0,709.02,58.817,0.000294,0.20051,0.4066,0.00018
2.667,0.889,0.263,713.34,59.631,0.000298,0.20828,0.3874,0.00345
2.667,0.889,0.526,715.8,58.843,0.000294,0.19882,0.4034,0.00125
2.667,0.889,0.789,722.05,56.418,0.000282,0.19754,0.4298,0.0
2.667,0.889,1.053,723.89,53.622,0.000268,0.19215,0.42,0.00061
2.667,0.889,1.316,729.68,55.464,0.000277,0.18952,0.4191,0.0009
2.667,0.889,1.579,732.74,53.866,0.000269,0.1749,0.4392,0.0008
2.667,0.889,1.842,737.19,53.102,0.000266,0.16873,0.4253,0.00236
2.667,0.889,2.105,744.18,50.101,0.000251,0.16968,0.4315,0.00292
2.667,0.889,2.368,748.38,52.213,0.000261,0.16497,0.4377,0.00171
2.667,0.889,2.632,750.43,49.848,0.000249,0.16765,0.4667,0.00341
2.667,0.889,2.895,757.5,48.206,0.000241,0.15977,0.4473,0.00264
2.667,0.889,3.158,760.67,49.442,0.000247,0.15388,0.4624,0.00387
2.667,0.889,3.421,764.59,45.602,0.000228,0.14309,0.4801,0.00629
2.667,0.889,3.684,767.47,47.031,0.000235,0.14176,0.4633,0.00451
2.667,0.889,3.947,773.15,43.052,0.000215,0.13344,0.4609,0.00706
2.667,0.889,4.211,775.17,40.87,0.000204,0.13375,0.5058,0.0058
2.667,0.889,4.474,780.7,42.064,0.00021,0.13517,0.4908,0.00741
2.667,0.889,4.737,786.94,36.937,0.000185,0.13302,0.4881,0.00831
2.667,0.889,5.0,790.51,40.686,0.000203,0.13058,0.4983,0.00913
3.111,0.889,0.0,705.27,62.058,0.00031,0.21383,0.4076,0.0
3.111,0.889,0.263,712.85,63.775,0.000319,0.20739,0.3893,0.0
3.111,0.889,0.526,712.43,59.938,0.0003,0.19623,0.4057,0.0
3.111,0.889,0.789,719.01,60.449,0.000302,0.19024,0.424,0.0
3.111,0.889,1.053,725.57,56.386,0.000282,0.19552,0.4361,0.0
3.111,0.889,1.316,725.89,57.53,0.000288,0.18216,0.4413,0.00064
3.111,0.889,1.579,732.35,54.062,0.00027,0.1776,0.4327,0.00234
3.111,0.889,1.842,736.84,55.468,0.000277,0.17409,0.4523,0.00184
3.111,0.889,2.105,742.7,47.257,0.000236,0.16268,0.4246,0.00209
3.111,0.889,2.368,743.35,48.297,0.000241,0.1648,0.4488,0.00153
3.111,0.889,2.632,750.23,48.729,0.000244,0.15359,0.4257,0.00323
3.111,0.889,2.895,751.36,50.185,0.000251,0.16036,0.4725,0.00394
3.111,0.889,3.158,756.25,48.816,0.000244,0.15092,0.4676,0.00336
3.111,0.889,3.421,761.19,44.434,0.000222,0.14625,0.4865,0.00574
3.111,0.889,3.684,765.14,42.428,0.000212,0.13569,0.4675,0.00507
3.111,0.889,3.947,771.54,43.946,0.00022,0.14311,0.4652,0.0059
3.111,0.889,4.211,778.66,42.216,0.000211,0.1498,0.4923,0.00744
3.111,0.889,4.474,778.02,41.293,0.000206,0.1314,0.4878,0.0067
3.111,0.889,4.737,782.29,40.498,0.000202,0.13053,0.5059,0.00842
3.111,0.889,5.0,789.85,39.534,0.000198,0.13527,0.5079,0.00984
3.556,0.889,0.0,708.25,61.935,0.00031,0.22185,0.3969,0.0
3.556,0.889,0.263,707.34,60.741,0.000304,0.1985,0.4049,0.0005
3.556,0.889,0.526,712.5,57.015,0.000285,0.20529,0.4081,0.0
3.556,0.889,0.789,713.39,56.066,0.00028,0.18018,0.4161,0.0
3.556,0.889,1.053,718.75,57.381,0.000287,0.17328,0.4159,0.00133
3.556,0.889,1.316,721.24,55.282,0.000276,0.17517,0.4324,0.00065
3.556,0.889,1.579,728.09,55.543,0.000278,0.17747,0.4142,0.00169
3.556,0.889,1.842,736.26,53.635,0.000268,0.16468,0.4174,0.00189
3.556,0.889,2.105,735.39,51.517,0.000258,0.17668,0.4376,0.00351
3.556,0.889,2.368,740.06,50.934,0.000255,0.16592,0.441,0.00175
3.556,0.889,2.632,746.48,45.685,0.000228,0.16451,0.4473,0.00148
3.556,0.889,2.895,746.6,47.166,0.000236,0.15549,0.4703,0.00169
3.556,0.889,3.158,754.62,50.315,0.000252,0.15017,0.4644,0.00336
3.556,0.889,3.421,753.16,48.399,0.000242,0.14874,0.4762,0.00572
3.556,0.889,3.684,761.85,44.755,0.000224,0.15502,0.4789,0.00605
3.556,0.889,3.947,763.46,41.989,0.00021,0.14251,0.494,0.00603
3.556,0.889,4.211,769.33,44.474,0.000222,0.13864,0.4778,0.00923
3.556,0.889,4.474,774.77,38.235,0.000191,0.12899,0.4952,0.00669
3.556,0.889,4.737,779.0,42.011,0.00021,0.12575,0.4925,0.00994
3.556,0.889,5.0,783.04,40.1,0.0002,0.12398,0.4889,0.00943
4.0,0.889,0.0,704.5,59.453,0.000297,0.21308,0.3878,0.00174
4.0,0.889,0.263,705.67,61.061,0.000305,0.20617,0.403,0.0
4.0,0.889,0.526,705.08,59.703,0.000299,0.18935,0.4211,0.00118
4.0,0.889,0.789,709.87,58.385,0.000292,0.1963,0.4099,4e-05
4.0,0.889,1.053,719.54,58.905,0.000295,0.19262,0.416,0.00296
4.0,0.889,1.316,721.08,53.628,0.000268,0.18706,0.4193,0.00092
4.0,0.889,1.579,727.81,52.614,0.000263,0.18218,0.4195,0.001
4.0,0.889,1.842,731.56,52.765,0.000264,0.17765,0.432,0.00169
4.0,0.889,2.105,733.15,55.189,0.000276,0.17197,0.4534,0.00246
4.0,0.889,2.368,738.23,47.238,0.000236,0.15904,0.45,0.00385
4.0,0.889,2.632,740.95,48.415,0.000242,0.16625,0.4469,0.00424
4.0,0.889,2.895,748.24,47.185,0.000236,0.16583,0.4541,0.00137
4.0,0.889,3.158,750.81,48.36,0.000242,0.15947,0.4665,0.00372
4.0,0.889,3.421,757.2,44.027,0.00022,0.15053,0.4624,0.00405
4.0,0.889,3.684,757.61,45.397,0.000227,0.14491,0.4825,0.00619
4.0,0.889,3.947,762.63,47.635,0.000238,0.13837,0.4913,0.00565
4.0,0.889,4.211,766.29,40.686,0.000203,0.12846,0.4726,0.00909
4.0,0.889,4.474,774.61,40.38,0.000202,0.13909,0.4864,0.00716
4.0,0.889,4.737,775.73,41.306,0.000207,0.12336,0.4987,0.00749
4.0,0.889,5.0,779.79,41.833,0.000209,0.12558,0.513,0.01018
0.0,1.333,0.0,699.62,60.379,0.000302,0.2081,0.3739,0.00076
0.0,1.333,0.263,706.56,60.864,0.000304,0.21083,0.3989,0.0
0.0,1.333,0.526,714.39,59.783,0.000299,0.20256,0.385,0.00138
0.0,1.333,0.789,717.66,54.575,0.000273,0.19099,0.4234,0.0
0.0,1.333,1.053,718.27,55.506,0.000278,0.18845,0.4211,9e-05
0.0,1.333,1.316,719.15,50.727,0.000254,0.18307,0.4366,0.00081
0.0,1.333,1.579,724.09,54.739,0.000274,0.18245,0.4292,0.00042
0.0,1.333,1.842,730.07,56.892,0.000284,0.16962,0.4346,0.00332
0.0,1.333,2.105,729.04,50.399,0.000252,0.17161,0.4457,0.00047
0.0,1.333,2.368,736.6,49.895,0.000249,0.1647,0.4482,0.00075
0.0,1.333,2.632,743.85,48.067,0.00024,0.17366,0.4474,0.00204
0.0,1.333,2.895,743.11,51.402,0.000257,0.15327,0.4666,0.0022
0.0,1.333,3.158,751.59,48.655,0.000243,0.15926,0.4742,0.00239
0.0,1.333,3.421,753.63,45.722,0.000229,0.14704,0.4716,0.00494
0.0,1.333,3.684,757.67,42.518,0.000213,0.14483,0.4875,0.00425
0.0,1.333,3.947,764.33,43.65,0.000218,0.14829,0.4937,0.00609
0.0,1.333,4.211,770.52,41.032,0.000205,0.14058,0.4782,0.00659
0.0,1.333,4.474,771.44,41.897,0.000209,0.13371,0.4896,0.00937
0.0,1.333,4.737,778.53,41.341,0.000207,0.12901,0.4984,0.00771
0.0,1.333,5.0,780.67,38.279,0.000191,0.13434,0.484,0.01043
0.444,1.333,0.0,701.15,59.22,0.000296,0.20823,0.401,0.0
0.444,1.333,0.263,709.83,60.914,0.000305,0.20276,0.4039,0.0
0.444,1.333,0.526,714.46,56.631,0.000283,0.19584,0.403,1e-05
0.444,1.333,0.789,716.84,60.009,0.0003,0.20311,0.4182,0.00065
0.444,1.333,1.053,717.71,56.833,0.000284,0.18274,0.4115,0.0
0.444,1.333,1.316,721.51,55.435,0.000277,0.18555,0.4107,0.00086
0.444,1.333,1.579,729.63,54.638,0.000273,0.18101,0.4076,0.00102
0.444,1.333,1.842,733.83,48.18,0.000241,0.16868,0.4195,0.00217
0.444,1.333,2.105,738.52,53.458,0.000267,0.16878,0.4299,0.0022
0.444,1.333,2.368,736.94,52.872,0.000264,0.16386,0.4475,0.00389
0.444,1.333,2.632,743.79,50.57,0.000253,0.15839,0.4558,0.00388
0.444,1.333,2.895,748.59,45.647,0.000228,0.15775,0.4517,0.00313
0.444,1.333,3.158,756.09,48.284,0.000241,0.1547,0.4691,0.00539
0.444,1.333,3.421,758.2,44.251,0.000221,0.14772,0.4714,0.00488
0.444,1.333,3.684,764.64,46.69,0.000233,0.15532,0.4645,0.0065
0.444,1.333,3.947,764.61,45.436,0.000227,0.13822,0.4692,0.00617
0.444,1.333,4.211,767.09,42.428,0.000212,0.13914,0.4963,0.00747
0.444,1.333,4.474,776.69,42.611,0.000213,0.13487,0.4841,0.00624
0.444,1.333,4.737,778.77,41.667,0.000208,0.13382,0.5119,0.00918
0.444,1.333,5.0,783.53,42.563,0.000213,0.12844,0.4871,0.0106
0.889,1.333,0.0,703.94,60.979,0.000305,0.20582,0.3972,0.0006
0.889,1.333,0.263,710.92,57.015,0.000285,0.20781,0.3898,0.0
0.889,1.333,0.526,715.27,54.381,0.000272,0.19934,0.3904,0.0
0.889,1.333,0.789,719.1,59.609,0.000298,0.19897,0.4087,0.0
0.889,1.333,1.053,724.61,53.169,0.000266,0.19295,0.4279,0.0004
0.889,1.333,1.316,729.06,52.432,0.000262,0.18713,0.4196,0.0
0.889,1.333,1.579,734.22,52.776,0.000264,0.184,0.4371,0.00026
0.889,1.333,1.842,736.05,51.758,0.000259,0.17186,0.4277,0.00143
0.889,1.333,2.105,743.5,48.439,0.000242,0.17061,0.4553,0.00131
0.889,1.333,2.368,741.76,50.66,0.000253,0.17129,0.4388,0.00393
0.889,1.333,2.632,750.41,46.989,0.000235,0.1626,0.467,0.0024
0.889,1.333,2.895,752.84,49.214,0.000246,0.15338,0.4581,0.00328
0.889,1.333,3.158,756.75,48.355,0.000242,0.14796,0.4524,0.00228
0.889,1.333,3.421,760.28,48.524,0.000243,0.15303,0.4595,0.00368
0.889,1.333,3.684,766.48,46.182,0.000231,0.14253,0.4772,0.00627
0.889,1.333,3.947,773.31,45.511,0.000228,0.14126,0.4672,0.00563
0.889,1.333,4.211,776.44,40.206,0.000201,0.14489,0.4866,0.00697
0.889,1.333,4.474,779.82,40.46,0.000202,0.13006,0.4818,0.00746
0.889,1.333,4.737,781.95,40.748,0.000204,0.13669,0.4835,0.00966
0.889,1.333,5.0,789.71,41.719,0.000209,0.12237,0.4911,0.0088
1.333,1.333,0.0,709.52,59.903,0.0003,0.216,0.3839,0.0
1.333,1.333,0.263,710.79,58.401,0.000292,0.2054,0.4061,0.00045
1.333,1.333,0.526,715.46,59.066,0.000295,0.1907,0.412,0.0
1.333,1.333,0.789,724.54,53.009,0.000265,0.18797,0.4076,0.0
1.333,1.333,1.053,727.77,53.744,0.000269,0.18472,0.4126,0.00035
1.333,1.333,1.316,732.25,55.093,0.000275,0.18478,0.4107,0.0
1.333,1.333,1.579,734.25,53.753,0.000269,0.18496,0.4245,0.00093
1.333,1.333,1.842,736.43,53.576,0.000268,0.17662,0.4407,0.00219
1.333,1.333,2.105,738.82,52.109,0.000261,0.16583,0.4344,0.00116
1.333,1.333,2.368,744.89,51.321,0.000257,0.17294,0.4491,0.00324
1.333,1.333,2.632,747.83,48.31,0.000242,0.1611,0.4578,0.00342
1.333,1.333,2.895,759.64,51.089,0.000255,0.15265,0.4452,0.00416
1.333,1.333,3.158,758.08,45.254,0.000226,0.15256,0.4844,0.00228
1.333,1.333,3.421,762.29,45.838,0.000229,0.14921,0.4768,0.00438
1.333,1.333,3.684,766.48,45.327,0.000227,0.14102,0.4694,0.00604
1.333,1.333,3.947,768.33,45.485,0.000227,0.14627,0.4607,0.00566
1.333,1.333,4.211,772.38,41.294,0.000206,0.13603,0.4732,0.00528
1.333,1.333,4.474,783.48,41.938,0.00021,0.13011,0.5083,0.00898
1.333,1.333,4.737,788.03,43.135,0.000216,0.13382,0.4986,0.00985
1.333,1.333,5.0,791.05,39.99,0.0002,0.12935,0.4939,0.01131
1.778,1.333,0.0,710.88,60.33,0.000302,0.21394,0.3949,0.0
1.778,1.333,0.263,711.64,58.181,0.000291,0.20837,0.4186,0.0
1.778,1.333,0.526,720.86,57.899,0.000289,0.19593,0.4142,0.0
1.778,1.333,0.789,722.51,56.784,0.000284,0.19348,0.4112,0.0
1.778,1.333,1.053,727.78,56.611,0.000283,0.17778,0.404,0.00057
1.778,1.333,1.316,731.51,52.271,0.000261,0.18479,0.4238,0.00096
1.778,1.333,1.579,736.68,53.409,0.000267,0.18053,0.4369,0.00067
1.778,1.333,1.842,741.28,52.911,0.000265,0.17366,0.4412,0.00296
1.778,1.333,2.105,743.26,53.179,0.000266,0.16534,0.4313,0.0
1.778,1.333,2.368,749.85,51.864,0.000259,0.171,0.4466,0.00263
1.778,1.333,2.632,751.38,52.265,0.000261,0.15536,0.4577,0.00142
1.778,1.333,2.895,758.21,48.467,0.000242,0.16473,0.4717,0.00342
1.778,1.333,3.158,762.47,44.764,0.000224,0.14554,0.459,0.00439
1.778,1.333,3.421,761.22,46.167,0.000231,0.14783,0.4859,0.00597
1.778,1.333,3.684,768.89,42.023,0.00021,0.13388,0.4782,0.0051
1.778,1.333,3.947,768.71,40.956,0.000205,0.13773,0.4727,0.00636
1.778,1.333,4.211,774.16,41.885,0.000209,0.13904,0.4736,0.0048
1.778,1.333,4.474,781.57,42.573,0.000213,0.13583,0.4672,0.00912
1.778,1.333,4.737,785.38,38.908,0.000195,0.12956,0.4843,0.00954
1.778,1.333,5.0,789.34,42.661,0.000213,0.12485,0.5146,0.01013
