case_id,current_density_A_cm2,pH2O_pH2_ratio,pO2_cathode_atm,inlet_temperature_C,fuel_utilisation,thermal_BC,mechanical_load_MPa,ramp_rate_K_min
413,0.679,0.116,1.0,605.3,0.434,isothermal,1.98,1
414,0.252,0.71,0.21,818.3,0.516,adiabatic,1.29,1
415,0.662,0.524,1.0,766.1,0.752,isothermal,1.87,10
416,0.928,0.816,1.0,685.9,0.428,adiabatic,1.33,10
417,0.723,0.801,1.0,687.9,0.702,adiabatic,1.94,10
418,0.268,0.355,1.0,689.1,0.555,isothermal,1.93,10
419,0.9,0.128,0.21,816.3,0.397,isothermal,0.6,5
420,0.925,0.798,0.21,843.0,0.686,adiabatic,0.91,10
421,0.237,0.761,1.0,675.0,0.886,adiabatic,1.86,5
422,0.367,0.228,0.21,774.6,0.319,isothermal,0.98,1
423,0.112,0.527,0.21,662.2,0.682,isothermal,1.23,5
424,0.927,0.4,1.0,784.2,0.392,adiabatic,0.83,5
425,0.578,0.682,1.0,837.7,0.318,adiabatic,1.75,5
426,0.325,0.796,1.0,609.2,0.417,isothermal,1.01,1
427,0.272,0.6,0.21,616.0,0.386,isothermal,1.38,10
428,0.566,0.86,1.0,799.1,0.464,adiabatic,1.23,1
429,0.969,0.141,1.0,713.1,0.673,adiabatic,1.46,10
430,0.465,0.418,1.0,738.8,0.834,isothermal,1.48,1
431,0.981,0.379,1.0,697.4,0.345,isothermal,0.79,5
432,0.742,0.304,1.0,613.5,0.444,isothermal,0.86,5
433,0.705,0.389,1.0,700.6,0.313,isothermal,0.98,5
434,0.153,0.202,1.0,637.2,0.598,isothermal,1.69,10
435,0.195,0.502,0.21,681.1,0.517,isothermal,1.12,1
436,0.739,0.357,0.21,643.1,0.847,isothermal,1.44,10
437,0.165,0.572,0.21,814.0,0.376,adiabatic,1.05,5
438,0.55,0.441,1.0,662.6,0.596,isothermal,0.5,10
439,0.513,0.104,0.21,746.1,0.801,isothermal,1.31,1
440,0.724,0.523,0.21,846.4,0.734,isothermal,1.04,1
441,0.551,0.541,1.0,847.5,0.668,isothermal,1.75,5
442,0.218,0.776,1.0,763.7,0.711,adiabatic,1.75,10
443,0.781,0.331,1.0,677.1,0.802,isothermal,1.48,10
444,0.784,0.694,1.0,726.1,0.579,adiabatic,0.65,1
445,0.04,0.801,1.0,726.8,0.588,adiabatic,1.48,10
446,0.542,0.653,1.0,819.2,0.371,adiabatic,1.17,10
447,0.082,0.189,0.21,779.5,0.882,adiabatic,1.93,10
448,0.116,0.436,0.21,820.7,0.849,adiabatic,1.27,1
449,0.057,0.42,1.0,604.0,0.702,adiabatic,0.89,1
450,0.76,0.3,0.21,843.4,0.611,isothermal,1.4,5
451,0.567,0.371,1.0,770.7,0.645,isothermal,1.32,5
452,0.506,0.661,0.21,832.6,0.405,adiabatic,1.04,10
453,0.213,0.402,1.0,797.8,0.715,isothermal,1.54,10
454,0.023,0.261,0.21,776.1,0.737,isothermal,1.25,5
455,0.223,0.738,1.0,618.2,0.668,isothermal,1.18,5
456,0.32,0.41,1.0,636.1,0.304,isothermal,1.95,5
457,0.864,0.441,0.21,652.4,0.345,isothermal,1.3,10
458,0.147,0.167,0.21,722.7,0.387,adiabatic,1.24,5
459,0.21,0.73,1.0,793.4,0.728,adiabatic,1.72,5
460,0.138,0.168,1.0,658.9,0.556,isothermal,1.62,1
461,0.783,0.557,0.21,845.1,0.787,isothermal,0.7,1
462,0.144,0.708,1.0,766.2,0.878,isothermal,1.26,10
463,0.101,0.2,1.0,784.9,0.61,isothermal,0.99,5
464,0.51,0.342,0.21,825.3,0.489,adiabatic,1.46,1
465,0.506,0.891,0.21,728.4,0.647,adiabatic,1.06,1
466,0.444,0.457,0.21,636.3,0.495,isothermal,1.46,1
467,0.855,0.563,0.21,706.9,0.536,isothermal,1.23,5
468,0.557,0.791,0.21,732.5,0.341,adiabatic,1.23,10
469,0.024,0.82,0.21,842.8,0.501,adiabatic,1.94,5
470,0.316,0.373,0.21,617.9,0.884,adiabatic,1.86,5
471,0.775,0.774,1.0,682.2,0.748,adiabatic,1.98,5
472,0.141,0.36,1.0,786.4,0.861,isothermal,1.47,10
473,0.846,0.746,0.21,776.4,0.488,adiabatic,1.57,10
474,0.514,0.736,0.21,808.9,0.433,isothermal,0.79,10
475,0.33,0.564,1.0,839.4,0.343,isothermal,0.6,1
476,0.22,0.62,0.21,741.0,0.635,adiabatic,0.86,10
477,0.322,0.556,1.0,813.7,0.786,adiabatic,1.01,1
478,0.054,0.188,1.0,840.7,0.886,adiabatic,0.62,5
479,0.559,0.451,1.0,632.5,0.424,isothermal,1.16,1
480,0.256,0.196,0.21,747.0,0.342,isothermal,1.12,10
481,0.875,0.143,1.0,713.5,0.567,adiabatic,1.42,10
482,0.143,0.494,1.0,792.8,0.538,adiabatic,1.81,1
483,0.464,0.312,0.21,649.9,0.668,isothermal,1.85,10
484,0.724,0.38,1.0,814.6,0.647,isothermal,1.47,5
485,0.753,0.602,1.0,711.8,0.647,isothermal,1.86,10
486,0.221,0.473,0.21,691.3,0.877,adiabatic,0.83,5
487,0.952,0.553,0.21,779.1,0.786,adiabatic,1.32,5
488,0.949,0.638,0.21,682.8,0.597,isothermal,1.84,1
489,0.416,0.635,1.0,822.5,0.416,adiabatic,1.9,10
490,0.459,0.652,0.21,818.9,0.803,adiabatic,1.99,10
491,0.334,0.464,0.21,608.1,0.333,isothermal,1.71,5
492,0.396,0.666,0.21,645.9,0.52,isothermal,0.6,1
493,0.791,0.314,0.21,784.0,0.497,isothermal,1.68,5
494,0.51,0.711,1.0,735.0,0.321,isothermal,0.68,10
495,0.894,0.735,1.0,620.5,0.506,adiabatic,1.72,5
496,0.411,0.817,1.0,702.5,0.424,isothermal,0.75,5
497,0.694,0.855,1.0,608.9,0.682,isothermal,1.6,10
498,0.734,0.516,0.21,664.8,0.475,adiabatic,1.78,10
499,0.334,0.526,0.21,644.0,0.855,isothermal,0.71,10
500,0.912,0.403,0.21,806.5,0.74,adiabatic,0.54,5
