case_id,max_temperature_C,max_stress_MPa,max_strain,ASR_Ohm_cm2,efficiency,degradation_index
461,907.0,80.15,0.006541,0.1479,0.4784,0.000448
462,774.1,66.75,0.003816,0.2546,0.6005,8.6e-05
463,792.8,68.56,0.004199,0.2223,0.5831,0.0
464,892.0,80.35,0.006241,0.1682,0.5167,0.000141
465,790.0,73.52,0.004168,0.3405,0.5345,0.000208
466,673.8,73.21,0.001841,0.7644,0.4991,0.000126
467,767.9,86.98,0.003793,0.4055,0.4546,0.000363
468,799.8,80.18,0.004398,0.3294,0.535,4.2e-05
469,864.9,65.69,0.005627,0.1501,0.5994,0.0
470,663.3,81.35,0.001673,0.9164,0.522,0.000125
471,764.7,91.79,0.003754,0.5009,0.5336,0.000477
472,798.3,68.4,0.004308,0.2199,0.573,7e-06
473,863.3,90.96,0.00572,0.2363,0.4553,0.000338
474,848.5,68.98,0.005316,0.188,0.4917,9.9e-05
475,861.5,64.28,0.005552,0.1535,0.5751,0.0
476,777.5,66.36,0.003882,0.3083,0.5458,7.7e-05
477,862.8,69.51,0.005603,0.1819,0.5414,2.6e-05
478,863.3,56.29,0.005548,0.1522,0.596,9e-06
479,679.6,77.25,0.001978,0.7931,0.4736,0.000196
480,764.2,70.5,0.003637,0.2944,0.5755,2.1e-05
481,799.4,94.56,0.004462,0.384,0.4483,0.000513
482,823.0,71.82,0.004818,0.2101,0.5977,0.0
483,689.8,79.72,0.002194,0.6716,0.5336,7.7e-05
484,868.1,93.7,0.005831,0.1808,0.5118,0.000224
485,777.3,94.18,0.004017,0.3896,0.4888,0.000404
486,735.4,64.54,0.003031,0.4627,0.585,0.0
487,877.4,89.93,0.005998,0.2316,0.4639,0.000791
488,757.1,101.96,0.003652,0.4983,0.4541,0.000624
489,874.4,78.91,0.005882,0.1714,0.5421,8.5e-05
490,873.6,83.69,0.00589,0.1756,0.4694,0.000129
491,632.8,79.21,0.001051,1.013,0.5366,0.0
492,676.9,68.45,0.00188,0.6975,0.5619,0.000102
493,841.8,87.66,0.005275,0.2236,0.4534,0.00031
494,776.8,70.85,0.00389,0.3232,0.5095,9.5e-05
495,708.6,93.93,0.002642,0.8933,0.4331,0.000432
496,732.8,66.24,0.002987,0.4207,0.5006,1.7e-05
497,662.1,86.26,0.001673,1.0047,0.4858,0.000317
498,744.7,94.19,0.003365,0.5849,0.4956,0.000264
499,674.1,72.49,0.001844,0.7099,0.5417,0.00021
500,896.4,82.02,0.006338,0.191,0.4354,0.000654
