sample_id,liquid_limit_LL,plastic_limit_PL,plasticity_index_PI,water_content_percent,preconsolidation_stress_kPa,OCR,undrained_shear_strength_su_intact_kPa,undrained_shear_strength_su_remolded_kPa,sensitivity_St,pore_pressure_ratio_Ru,smectite_percent,kaolinite_percent,illite_percent,mixed_layer_other_percent
CLAY-0214,55.0,29.7,25.3,19.7,178.4,4.54,58.2,6.8,8.56,0.47,44.6,5.0,28.0,22.4
CLAY-0215,45.6,23.9,21.7,17.2,164.2,2.79,34.0,5.3,6.41,0.34,36.9,19.3,43.7,0.0
CLAY-0216,61.0,54.0,7.0,58.3,83.2,1.84,16.6,2.5,6.69,0.7,42.0,21.5,27.5,9.0
CLAY-0217,41.9,21.5,20.5,20.5,159.3,1.55,24.3,3.6,6.77,0.68,25.1,26.6,26.2,22.2
CLAY-0218,59.6,31.9,27.7,35.3,118.4,3.48,42.2,5.7,7.38,0.56,19.0,2.0,29.7,49.3
CLAY-0219,45.9,34.2,11.6,38.1,131.5,2.66,32.8,7.9,4.13,0.47,27.0,37.2,18.1,17.6
CLAY-0220,53.3,41.2,12.1,38.8,118.4,1.2,19.0,2.5,7.46,0.49,22.4,3.8,29.7,44.0
CLAY-0221,40.2,16.7,23.6,25.0,104.0,4.87,53.9,22.9,2.35,0.48,31.2,20.7,18.1,30.1
CLAY-0222,46.4,21.7,24.7,19.7,115.5,3.34,35.8,5.2,6.84,0.54,27.8,32.6,39.6,0.0
CLAY-0223,44.2,29.2,15.0,36.4,155.1,4.3,45.0,7.9,5.67,0.5,28.4,30.4,27.7,13.5
CLAY-0224,50.5,22.4,28.1,33.1,100.4,1.77,34.7,8.9,3.89,0.59,28.9,17.2,9.4,44.5
CLAY-0225,48.8,19.0,29.9,33.7,341.9,2.28,38.5,4.4,8.8,0.43,13.0,19.8,31.5,35.8
CLAY-0226,51.8,27.2,24.6,24.5,89.1,3.01,38.5,3.9,9.97,0.52,5.2,26.6,33.7,34.4
CLAY-0227,25.0,18.0,7.0,28.1,318.9,1.51,18.7,2.1,8.77,0.51,26.0,29.1,32.5,12.3
CLAY-0228,52.4,31.5,20.8,44.4,172.7,1.67,21.7,4.9,4.46,0.39,32.6,9.7,18.3,39.4
CLAY-0229,27.9,5.0,33.4,10.0,621.0,2.76,48.2,13.4,3.59,0.48,21.2,20.3,17.2,41.4
CLAY-0230,32.0,10.7,21.3,14.6,112.2,4.02,43.4,5.8,7.49,0.43,25.0,19.7,28.2,27.1
CLAY-0231,42.3,29.2,13.1,31.8,107.0,4.96,45.1,11.2,4.02,0.35,35.9,15.6,21.3,27.2
CLAY-0232,57.6,37.5,20.2,50.3,106.4,1.4,19.3,2.4,8.19,0.51,10.6,11.7,34.0,43.6
CLAY-0233,48.8,31.6,17.2,32.4,131.9,4.21,42.6,5.7,7.47,0.59,15.7,26.3,25.2,32.8
CLAY-0234,52.4,34.8,17.6,33.9,167.0,4.19,46.0,18.1,2.55,0.44,19.9,15.3,32.0,32.8
CLAY-0235,46.7,34.0,12.7,32.2,75.2,4.45,44.5,21.1,2.11,0.43,21.3,16.2,48.2,14.2
CLAY-0236,72.6,52.9,19.7,52.9,71.4,1.15,25.7,6.1,4.21,0.52,37.0,12.1,28.1,22.8
CLAY-0237,37.6,5.2,32.4,10.0,104.0,1.48,36.8,9.4,3.91,0.41,23.0,28.1,21.4,27.5
CLAY-0238,62.2,26.8,35.3,21.1,46.3,4.99,68.6,12.4,5.52,0.47,46.2,24.1,25.9,3.7
CLAY-0239,42.3,24.4,17.9,34.0,196.1,4.24,47.1,9.7,4.86,0.45,24.7,26.9,24.5,23.9
CLAY-0240,56.5,34.6,21.8,30.4,128.6,2.6,37.7,8.7,4.34,0.34,14.3,14.1,17.2,54.4
CLAY-0241,27.7,17.8,9.9,31.7,174.2,1.79,23.1,4.0,5.75,0.65,14.3,30.8,27.0,27.9
CLAY-0242,38.0,15.1,22.9,14.5,172.6,3.86,52.4,9.0,5.83,0.5,28.6,29.8,25.2,16.4
CLAY-0243,49.5,35.0,14.5,29.0,217.5,3.61,40.8,10.7,3.82,0.4,24.6,28.9,37.7,8.8
CLAY-0244,55.3,34.1,21.3,48.1,483.8,3.97,46.2,6.1,7.55,0.46,7.2,19.9,20.6,52.3
CLAY-0245,73.6,43.6,30.0,37.6,218.4,3.25,48.7,5.6,8.62,0.44,38.4,15.9,23.0,22.7
CLAY-0246,41.9,28.5,13.4,20.5,280.1,4.7,48.7,13.4,3.64,0.55,15.7,28.0,36.8,19.5
CLAY-0247,54.4,23.5,30.9,35.7,77.1,1.68,34.3,6.3,5.45,0.49,16.8,23.9,27.3,32.0
CLAY-0248,66.0,42.0,24.1,47.5,218.1,4.7,57.8,12.8,4.52,0.55,45.0,20.5,32.4,2.1
CLAY-0249,29.8,5.0,32.0,10.0,154.6,2.25,29.4,3.1,9.49,0.47,7.9,17.3,29.1,45.7
CLAY-0250,66.4,27.3,39.1,37.9,266.0,2.19,40.8,4.6,8.95,0.56,59.5,2.0,21.2,17.3
CLAY-0251,50.7,29.1,21.6,25.4,161.0,3.46,41.5,6.6,6.3,0.39,22.2,21.1,17.0,39.8
CLAY-0252,49.2,27.4,21.9,39.9,57.5,4.1,47.9,9.7,4.95,0.41,25.4,27.6,20.2,26.7
CLAY-0253,52.8,14.5,38.3,27.4,111.2,4.57,64.0,26.9,2.38,0.49,16.3,14.4,23.9,45.4
CLAY-0254,37.6,8.2,29.5,10.0,69.9,1.57,38.1,9.1,4.17,0.66,12.1,42.9,24.4,20.6
CLAY-0255,25.0,5.0,30.2,10.0,103.2,2.34,36.3,11.7,3.09,0.43,14.3,26.3,25.1,34.3
CLAY-0256,61.9,28.7,33.3,27.0,52.2,4.99,60.1,9.8,6.12,0.41,43.5,6.7,23.2,26.7
CLAY-0257,38.4,18.6,19.8,28.7,108.5,4.04,47.0,18.3,2.56,0.41,29.3,29.9,21.6,19.2
CLAY-0258,25.0,5.0,41.3,10.5,125.8,4.71,67.7,15.1,4.47,0.55,25.8,20.5,21.6,32.1
CLAY-0259,52.1,23.0,29.1,25.2,226.9,4.87,57.8,13.7,4.22,0.33,18.2,5.1,25.3,51.4
CLAY-0260,55.4,25.3,30.2,33.8,194.2,2.69,49.2,17.9,2.75,0.58,16.5,14.8,15.7,53.0
CLAY-0261,60.8,53.0,7.8,70.8,129.3,3.78,39.3,6.8,5.8,0.61,36.8,21.2,33.2,8.8
CLAY-0262,63.7,43.6,20.1,45.6,98.0,4.16,45.3,14.4,3.15,0.41,45.3,11.6,24.4,18.7
CLAY-0263,41.5,16.1,25.4,20.3,207.5,2.08,34.4,6.2,5.59,0.51,30.2,20.3,27.2,22.3
CLAY-0264,52.8,45.8,7.0,60.9,171.6,3.37,34.1,10.5,3.25,0.64,17.5,16.4,20.2,46.0
CLAY-0265,62.2,20.8,41.4,33.8,145.2,3.12,57.5,14.7,3.9,0.52,33.3,15.1,36.9,14.8
CLAY-0266,61.1,42.2,18.9,40.6,211.7,3.59,40.8,8.4,4.88,0.58,10.0,31.4,17.1,41.5
CLAY-0267,70.7,49.4,21.3,64.2,106.7,2.69,36.3,12.3,2.95,0.39,24.4,10.4,23.2,42.0
CLAY-0268,57.0,28.1,28.8,35.3,105.1,1.91,34.4,3.8,9.0,0.57,13.1,4.5,36.8,45.6
CLAY-0269,39.2,15.6,23.5,29.4,415.6,1.99,23.2,4.5,5.22,0.44,30.2,9.2,16.6,44.1
CLAY-0270,88.5,72.8,15.7,70.9,225.6,3.8,41.5,4.3,9.72,0.37,45.5,17.3,27.5,9.7
CLAY-0271,37.9,5.0,36.3,18.1,219.4,3.32,53.2,8.7,6.11,0.4,19.0,23.9,24.3,32.8
CLAY-0272,57.6,27.0,30.6,36.3,95.0,2.39,39.9,6.6,6.06,0.5,15.5,8.2,35.4,40.9
CLAY-0273,51.0,15.7,35.3,26.0,333.0,1.98,40.5,4.6,8.74,0.47,26.6,17.4,33.3,22.8
CLAY-0274,64.4,45.0,19.4,51.3,189.5,3.65,46.3,6.2,7.53,0.5,31.6,16.2,37.4,14.8
CLAY-0275,49.0,10.3,38.7,10.0,123.0,1.12,27.1,3.2,8.5,0.5,35.8,22.2,13.0,29.1
CLAY-0276,31.2,5.0,32.4,10.0,77.8,1.48,36.7,8.9,4.15,0.49,9.3,13.3,17.2,60.1
CLAY-0277,45.9,26.5,19.4,32.8,280.9,3.85,44.5,10.0,4.43,0.69,25.5,31.2,28.3,15.0
CLAY-0278,90.6,72.3,18.2,79.2,148.7,1.74,26.7,9.3,2.86,0.38,36.1,20.6,29.6,13.7
CLAY-0279,39.3,5.0,45.5,10.0,86.6,4.1,58.2,9.5,6.14,0.55,24.2,31.9,32.2,11.7
CLAY-0280,47.3,16.4,30.9,20.0,171.0,1.29,32.3,6.4,5.04,0.48,21.8,19.4,23.7,35.1
CLAY-0281,43.3,21.6,21.6,37.5,259.0,1.77,22.0,4.8,4.6,0.4,23.4,11.0,36.1,29.4
CLAY-0282,50.7,21.7,29.0,36.4,87.6,4.03,55.8,8.2,6.78,0.38,18.0,27.0,14.3,40.7
CLAY-0283,36.0,22.7,13.3,25.2,266.1,1.97,23.3,2.7,8.73,0.29,2.0,34.9,6.5,56.6
CLAY-0284,29.4,5.0,33.7,12.4,63.4,2.49,41.7,4.4,9.51,0.63,29.7,21.3,16.9,32.1
CLAY-0285,47.5,24.3,23.2,35.0,101.4,3.15,41.0,6.2,6.61,0.53,18.7,24.9,34.6,21.7
CLAY-0286,52.9,10.4,42.5,12.4,358.2,1.42,41.5,10.3,4.03,0.3,11.8,16.2,27.5,44.5
CLAY-0287,36.3,6.2,30.0,10.0,202.9,2.67,43.6,4.6,9.47,0.38,36.1,30.4,33.5,0.0
CLAY-0288,32.3,5.0,27.8,11.5,212.9,4.51,54.5,9.3,5.88,0.33,15.5,28.8,14.9,40.7
CLAY-0289,48.5,25.8,22.7,31.9,52.2,2.71,42.6,9.0,4.76,0.4,10.2,23.2,28.9,37.8
CLAY-0290,62.5,30.9,31.6,42.5,115.1,3.18,47.5,9.1,5.2,0.54,58.2,9.6,17.8,14.4
CLAY-0291,90.4,64.3,26.1,73.8,74.7,3.57,49.6,21.0,2.36,0.65,35.0,6.7,10.0,48.3
CLAY-0292,50.9,24.3,26.6,38.9,130.5,1.97,36.2,18.0,2.01,0.38,31.0,14.9,26.4,27.7
CLAY-0293,31.6,5.0,28.9,10.0,143.9,2.83,43.6,5.7,7.67,0.47,12.9,15.8,27.1,44.2
CLAY-0294,46.5,21.7,24.8,34.3,72.0,4.57,55.0,18.6,2.96,0.25,25.5,23.3,47.7,3.5
CLAY-0295,55.7,19.6,36.0,33.0,367.6,3.09,47.7,5.1,9.29,0.46,25.4,28.6,20.4,25.6
CLAY-0296,54.3,35.2,19.2,50.9,511.1,3.37,44.6,15.0,2.98,0.47,24.4,29.1,24.0,22.5
CLAY-0297,46.7,31.3,15.4,35.2,309.6,4.18,44.9,8.7,5.18,0.47,18.1,23.8,29.0,29.0
CLAY-0298,44.4,33.4,10.9,38.6,94.1,2.93,31.9,3.7,8.65,0.34,36.1,37.1,26.8,0.0
CLAY-0299,60.0,19.7,40.3,22.6,345.0,3.62,63.2,7.5,8.39,0.54,13.8,13.1,20.6,52.4
CLAY-0300,35.7,5.0,42.2,10.0,125.4,5.0,62.0,11.9,5.19,0.38,9.4,27.1,23.2,40.2
CLAY-0301,60.8,37.5,23.4,36.9,138.2,1.83,22.8,3.0,7.71,0.43,41.8,11.6,31.3,15.3
CLAY-0302,57.0,38.4,18.7,36.7,214.6,2.6,38.6,8.1,4.75,0.31,8.0,28.7,25.7,37.6
CLAY-0303,55.4,30.5,24.9,37.1,122.2,3.99,50.1,7.9,6.38,0.44,30.6,20.5,14.4,34.5
CLAY-0304,57.3,39.4,17.8,25.6,290.5,4.97,44.7,12.5,3.58,0.38,2.0,19.4,17.9,60.7
CLAY-0305,52.9,33.5,19.4,40.0,220.9,4.92,53.0,6.5,8.19,0.56,26.3,9.2,27.4,37.1
CLAY-0306,54.0,32.3,21.6,29.8,145.6,2.34,37.4,4.8,7.76,0.47,11.3,15.8,43.5,29.3
CLAY-0307,43.4,6.0,37.4,10.0,108.8,2.43,39.1,12.9,3.02,0.29,29.2,29.6,28.5,12.7
CLAY-0308,58.2,29.3,28.9,29.7,319.5,3.15,44.1,19.0,2.32,0.26,2.5,24.3,28.0,45.2
CLAY-0309,62.9,44.2,18.7,55.1,113.0,4.06,51.1,6.7,7.63,0.53,46.0,4.0,32.0,18.0
CLAY-0310,65.3,52.7,12.5,57.5,217.1,2.06,22.7,8.7,2.62,0.48,46.9,20.1,32.9,0.0
CLAY-0311,49.7,29.9,19.8,25.8,181.4,1.66,26.3,5.7,4.65,0.47,40.8,12.4,28.5,18.3
CLAY-0312,46.0,29.6,16.4,32.4,97.8,2.42,40.5,13.0,3.11,0.45,18.6,21.5,33.0,26.8
CLAY-0313,50.1,21.8,28.2,39.9,95.1,4.17,52.0,5.4,9.61,0.55,20.0,24.4,29.8,25.8
CLAY-0314,60.1,33.4,26.7,36.8,260.2,1.25,23.6,2.7,8.59,0.53,36.8,23.3,24.3,15.6
CLAY-0315,47.4,17.3,30.1,17.5,213.1,4.59,61.0,8.2,7.46,0.67,20.7,20.2,29.3,29.9
CLAY-0316,52.9,26.0,26.9,35.7,302.3,1.3,17.5,2.4,7.21,0.45,24.1,17.5,28.4,29.9
CLAY-0317,54.3,37.9,16.3,50.3,146.2,1.72,26.1,3.4,7.65,0.37,2.0,15.5,16.6,66.0
CLAY-0318,60.1,51.8,8.3,70.1,81.8,2.58,24.8,9.8,2.52,0.45,42.7,12.2,22.7,22.4
CLAY-0319,59.1,47.4,11.6,56.5,237.6,2.72,35.5,4.2,8.53,0.55,5.7,27.4,27.4,39.5
CLAY-0320,35.4,5.0,34.3,10.0,176.5,1.18,25.7,6.4,4.04,0.38,6.2,27.6,26.1,40.1
CLAY-0321,69.5,24.3,45.3,41.3,318.0,3.92,59.9,10.7,5.58,0.35,43.2,2.4,35.3,19.2
CLAY-0322,48.0,40.6,7.4,57.6,85.7,2.5,29.3,3.1,9.31,0.52,39.1,25.9,23.6,11.5
CLAY-0323,52.3,28.8,23.5,40.6,146.9,1.4,23.5,6.9,3.42,0.54,30.7,5.5,24.3,39.5
CLAY-0324,57.0,36.0,21.0,41.5,186.5,1.74,24.2,2.7,9.05,0.61,20.5,24.8,39.0,15.7
CLAY-0325,69.0,38.6,30.4,50.7,71.7,1.9,41.5,4.2,9.82,0.6,39.7,5.5,23.0,31.8
CLAY-0326,80.2,39.5,40.7,38.1,157.8,3.73,62.4,27.4,2.28,0.5,50.6,7.6,5.7,36.1
CLAY-0327,42.5,14.6,27.9,10.0,160.2,1.74,37.6,4.4,8.49,0.43,17.7,23.3,29.5,29.5
CLAY-0328,53.4,29.8,23.6,25.6,102.4,2.81,38.5,7.4,5.21,0.37,7.4,12.1,26.0,54.5
CLAY-0329,32.9,5.0,28.0,10.0,206.4,3.59,48.6,20.1,2.42,0.42,34.8,13.7,36.1,15.4
CLAY-0330,57.1,36.7,20.4,29.8,115.2,1.91,25.8,4.9,5.3,0.54,5.6,17.2,41.0,36.2
CLAY-0331,64.8,50.3,14.5,57.7,110.0,2.18,21.9,4.2,5.25,0.65,50.6,17.2,21.0,11.2
CLAY-0332,69.1,53.3,15.8,53.4,312.4,3.77,41.2,5.3,7.79,0.52,36.5,9.2,35.0,19.3
CLAY-0333,36.9,7.9,29.0,13.0,400.0,2.92,49.1,12.9,3.81,0.51,34.7,30.6,26.8,7.9
CLAY-0334,51.8,18.6,33.2,34.5,133.3,4.42,63.8,12.4,5.16,0.63,2.0,27.0,16.9,54.2
CLAY-0335,55.4,35.3,20.1,31.5,122.0,3.53,41.0,5.7,7.24,0.54,9.8,5.7,18.3,66.1
CLAY-0336,52.1,21.7,30.4,35.7,141.7,2.39,36.6,4.1,8.82,0.42,7.3,17.9,27.5,47.4
CLAY-0337,36.4,17.7,18.7,35.0,113.6,4.91,54.4,8.9,6.1,0.59,29.8,32.5,26.8,11.0
CLAY-0338,35.3,6.9,28.4,27.2,115.1,3.49,42.6,5.9,7.22,0.39,24.3,37.9,23.8,14.1
CLAY-0339,48.6,13.5,35.1,10.0,250.9,3.64,51.9,10.2,5.06,0.42,6.6,11.5,25.3,56.6
CLAY-0340,40.7,8.2,32.5,10.0,90.8,1.19,32.4,12.5,2.59,0.52,8.0,26.1,19.0,47.0
CLAY-0341,62.6,41.2,21.5,48.9,244.3,1.89,33.2,5.6,5.97,0.43,56.8,16.2,15.8,11.2
CLAY-0342,53.7,38.8,14.9,44.2,183.0,1.87,24.0,2.7,8.71,0.48,12.9,19.3,20.4,47.4
CLAY-0343,53.7,46.5,7.1,51.4,212.7,2.16,25.6,2.9,8.67,0.58,22.3,11.8,25.7,40.1
CLAY-0344,52.3,14.7,37.6,11.8,76.2,2.85,45.5,6.6,6.85,0.61,22.9,2.0,18.7,56.4
CLAY-0345,63.5,17.2,46.3,23.2,78.6,4.15,62.4,9.8,6.35,0.52,27.5,9.2,22.4,40.9
CLAY-0346,37.7,5.0,36.1,21.0,313.5,1.92,38.3,12.1,3.16,0.4,15.7,32.3,19.0,33.0
CLAY-0347,53.0,36.2,16.8,37.2,141.1,1.6,18.7,4.3,4.3,0.46,19.3,23.2,16.7,40.8
CLAY-0348,38.1,8.8,29.2,11.1,203.7,1.22,26.0,11.0,2.37,0.34,7.3,38.9,7.6,46.2
CLAY-0349,63.6,43.7,19.9,50.1,163.3,4.67,55.9,10.1,5.53,0.53,41.0,6.9,33.9,18.2
CLAY-0350,40.2,33.2,7.0,46.8,109.5,4.44,44.0,17.3,2.55,0.35,36.9,16.7,25.0,21.4
