material,crystal_structure,miller_indices,surface_energy_J_m2,temperature_K,atmosphere,surface_area_A2,relaxation_layers,slab_thickness_A,vacuum_thickness_A
Al,hcp,(211),2.159708949942344,760.615425031072,inert,472.175649085234,4,29.787755494225046,24.1623331074589
Ti,bcc,(210),3.937173125740213,511.5549045090372,air,749.6377634894898,9,22.894188980629263,27.864706821332803
Fe,fcc,(211),5.4570487907539205,1137.2155419387482,reducing,926.4164520569983,4,37.45805049228423,19.761079937384537
Ni,fcc,(310),6.786415929891916,826.6486678530129,reducing,173.37225783572762,6,19.678430214945536,21.544584464357463
Fe,fcc,(110),1.8821400116315008,638.1306969798752,inert,469.05620363071347,5,31.010152922991853,28.790922618130175
Fe,fcc,(110),1.8539817311897004,413.67720028109125,inert,361.85538299691603,8,28.907686765366975,19.141861176722063
Ni,fcc,(211),4.974688704845226,738.001755307956,inert,255.83370506766465,7,28.047896767057964,18.02853230099909
Fe,hcp,(211),5.680921786396199,721.3764404379191,vacuum,376.8738472900807,7,15.10061528992223,17.960785037328503
Ti,hcp,(110),1.141156980595794,342.74480221409,vacuum,902.2720011378515,8,23.509667747712093,26.126392153364456
Ti,fcc,(211),3.9036706279154108,1130.090755330802,air,171.46265959241163,5,21.589097229637936,18.452752370010025
Al,fcc,(111),0.9588636126488594,698.128319246873,inert,451.96199123627787,9,38.85051130839439,22.135259306744405
Zn,fcc,(210),1.5857528438627952,1001.3759860695883,reducing,949.7358183095356,3,16.33633869512169,17.953007265162107
Fe,bcc,(211),6.917504779215625,349.16365988983614,vacuum,112.43392882476631,6,24.120526055437907,22.88379139048951
Zn,hcp,(111),0.9274576674681492,340.2769972742432,inert,920.7717218769031,6,21.800076398279728,26.939037570815316
Cu,hcp,(110),1.158888330131438,1006.7408049079978,air,673.6856287377425,7,15.715792618341037,29.087388488326788
Al,fcc,(211),2.6588185011078975,1199.5663182739077,vacuum,196.40126378361128,8,28.356762165047797,29.642720995923824
Ni,bcc,(211),6.20679319206214,1031.8662031796362,reducing,930.8190874065153,7,30.382352977213507,29.001171443276267
Mg,fcc,(100),0.25109620291596285,584.4980833519271,vacuum,474.2506452412267,5,22.7987502296454,27.838511447257737
Ti,hcp,(310),6.935415449694095,1069.3899451268237,vacuum,329.4339094188181,3,18.184400813196277,16.729687832730118
Fe,hcp,(210),4.495916953444145,931.1456862074956,reducing,353.1653159754204,5,23.232174346001056,20.53742316345297
Ni,bcc,(111),2.7551751798322646,654.7405621205512,reducing,665.2490780353827,7,27.85131138233869,29.776432850096967
Zn,bcc,(211),2.5628751474898923,691.4742382485306,vacuum,163.44468356731113,3,19.88217877540024,24.546675417731358
Al,bcc,(211),2.573792481083717,315.2376752318922,inert,551.2659019384986,7,38.77842616104466,28.490387995142612
Al,hcp,(110),0.7066639158697565,336.9790046706827,reducing,513.9180297596447,5,23.931973252601104,26.38081301260163
Ni,fcc,(111),1.8865164735228077,988.0649049325186,reducing,656.75951686725,9,25.953439284239167,16.971080577081956
Fe,bcc,(310),11.065409658624937,772.7447742730192,vacuum,519.3836038343362,9,27.07228639985692,22.260796787283105
Ti,bcc,(100),0.7535243538078666,1071.199158784821,reducing,832.0770247876129,3,37.47477640130235,21.871032935532092
Zn,fcc,(111),1.000261474174488,1171.5697098220362,inert,277.48179896592995,3,38.46929027535974,15.163604929766922
Zn,fcc,(211),1.6969199069728382,745.067606673256,inert,283.0847519387238,5,16.169000345279155,23.071584878388478
Fe,fcc,(211),5.772312212144695,415.3880567894797,vacuum,170.17698116963035,3,15.36221701487708,26.26138140423535
Cu,bcc,(310),7.091195266814117,433.3270959501381,vacuum,196.77433940583214,5,20.362996820293215,21.443117630928135
Ti,bcc,(310),8.2434580245877,924.2402005620694,vacuum,549.7005626032969,5,26.902366118830205,19.76746419626867
Cu,fcc,(310),5.933790109325417,1110.1392763028898,vacuum,732.3408701107865,7,20.564327782215877,26.07588247929214
Ni,hcp,(310),6.1025769995154615,457.8513014762513,vacuum,794.9796896884044,4,25.49888560369464,20.764764531875578
Fe,hcp,(310),10.588109741251523,381.33618417523553,inert,622.1053297378277,9,35.32763448486317,20.05993165250388
Mg,fcc,(110),0.4518539395274639,991.8398178906727,inert,627.4439275711843,7,34.03768274191309,27.992668824675786
Al,hcp,(100),0.30573025946618676,902.6068328887293,inert,712.3169729367023,9,18.264333269665997,25.722701628152556
Cu,hcp,(100),0.5279952161798928,865.928821614697,reducing,914.1319142678516,8,33.879806490643624,24.829037621964567
Ni,bcc,(210),5.026640140854699,1080.9199894630278,vacuum,787.1146088803138,9,17.738415124434283,18.713164305270688
Ti,fcc,(111),1.9769760416136504,1146.8681529117305,inert,374.33182115299195,4,24.12102653095684,29.743578492895345
Fe,hcp,(310),8.413495203866438,828.2003856829542,inert,345.93620910002403,9,16.712426869066974,18.151581742575324
Al,bcc,(210),2.1507017729140294,392.71267122424564,air,628.3930195567336,8,28.309617826861192,29.869560891166664
Zn,hcp,(210),1.6595027123412316,309.8059257228087,inert,944.5478690200523,9,35.597803186415724,28.37891217189084
Al,fcc,(210),1.825655089086835,890.7274297209062,reducing,827.1655576873845,5,33.630461929903895,15.30717691686599
Ti,bcc,(210),3.6424939195906108,1152.1549939576325,reducing,597.5560078876475,7,36.21798322319036,22.292466986225953
Mg,hcp,(211),1.4889595669873716,511.9051310642488,reducing,487.39420586033253,6,23.04492271469022,20.031928712117338
Fe,hcp,(111),3.3652239044757923,991.9304906143954,reducing,346.91514746983273,4,31.982934141417374,16.659158419575448
Ni,bcc,(211),4.2180059887030685,747.302675259285,inert,487.68116352488954,3,37.619245035548786,27.278253767916617
Cu,bcc,(211),3.8928439691039323,594.5188161000436,reducing,978.2924893829967,3,27.336474843048514,15.246096430904231
Ni,fcc,(110),1.8190176611827529,798.6018735170366,air,887.4206499293095,8,22.48132014022325,24.440026722780857
Ni,hcp,(211),3.939666308212767,506.03366211975936,vacuum,459.34784561401943,8,39.90996329748682,15.236099583731745
Cu,fcc,(210),3.1827482805134064,709.3978041655482,inert,559.3766588525492,9,15.500129110654212,29.60103913392534
Zn,fcc,(110),0.5991713119272669,507.9491575909571,inert,204.7669178183375,7,20.58634530460633,18.706318272048172
Fe,hcp,(110),1.577792707213424,815.2768862614056,reducing,893.2197162751746,5,34.25225953511935,15.07953766399269
Fe,fcc,(310),9.021423613750294,821.9153444541146,inert,707.2867372522769,6,24.61414373579062,19.556421990266685
Ti,hcp,(100),0.6278051380140914,610.9042205758342,air,243.88178971340602,7,28.523289517065958,29.315787478969074
Fe,hcp,(110),1.8262298462701714,1105.8915906804955,inert,386.4486838091373,8,16.893320936486887,25.728644356817036
Fe,fcc,(310),9.09643481973005,822.0059178171286,inert,429.8958443499312,6,20.461398185883148,27.001006143764837
