FirmID,Firm_Name,Subsector,Location_Zone,Year_Established,Firm_Age,Firm_Size,Employees,Total_Assets_USD,Ownership_Type,FDI_Presence,FDI_Type,FDI_Origin_Country,FDI_Ownership_Percentage,Years_With_FDI,Knowledge_Absorption,Task_Performance,Innovation_Score,Firm_Resources_Score,Skilled_Labor_Ratio,Employee_Training_Hours,IoT_Adoption,RD_Spend_Ratio,Automation_Level,Liquidity_Ratio,Debt_Equity_Ratio,ROI_Percentage,ROA_Percentage,Revenue_USD,Revenue_Growth_Rate,Export_Intensity,Market_Share_Percentage,Operational_Efficiency,Employee_Productivity_USD,Tax_Incentives_Score,Regulatory_Stability,Infrastructure_Support,Corruption_Experience,Bureaucratic_Efficiency,Trade_Policy_Support,Govt_Policy_Score,Policy_Effectiveness_Index,EEG_Beneficiary,Pioneer_Tax_Status,Power_Access_Hours_Daily,Generator_Reliance,Port_Distance_KM,ISO_Certified,NAFDAC_Compliant,Halal_Certified,FDI_Inflow_Lagos_BillionUSD,Corruption_Perception_Index,Ease_Doing_Business_Rank,Avg_Power_Reliability_Hours,Logistics_Quality_Index,FDI_Policy_Interaction,Innovation_Policy_Interaction
FIRM_057,OtherFoodProducts_FIRM_057,Other Food Products,Apapa,1994,30,SME,71,3983162.48,Local,1,Greenfield,USA,32.76,14,3.84,4.48,3.05,4.04,0.216,182.8,0,0.0995,1,0.58,1.77,9.38,11.14,4741105.66,22.95,0.198,4.75,7.26,66776.14,3.85,5.76,4.86,4.66,2.85,2.92,3.93,56.14,0,0,12.3,0.487,25.6,0,1,1,1.2,24,131,3.2,2.8,3.93,11.99
FIRM_058,Oils&Fats_FIRM_058,Oils & Fats,Epe,2016,8,SME,15,275961.29,Local,1,Greenfield,USA,49.92,8,3.24,3.79,2.25,4.17,0.346,49.3,1,0.0007,1,1.16,0.19,8.7,10.29,10887423.99,12.37,0.137,2.9,4.95,725828.27,3.99,4.74,3.52,4.2,3.09,3.04,3.7,52.82,0,0,15.9,0.338,42.7,0,1,1,1.2,24,131,3.2,2.8,3.7,8.33
FIRM_059,Seasoning&Condiments_FIRM_059,Seasoning & Condiments,Apapa,2005,19,SME,10,1979868.15,Family Business,1,Greenfield,China,87.15,5,4.3,3.32,4.44,3.31,0.818,147.1,0,0.0003,5,2.99,0.2,14.63,15.11,9913676.17,21.31,0.338,0.55,10.0,991367.62,7.0,3.51,4.49,6.46,2.44,6.14,4.19,59.81,0,0,17.6,0.268,31.1,1,1,1,1.2,24,131,3.2,2.8,4.19,18.57
FIRM_060,FishProcessing_FIRM_060,Fish Processing,Lagos Island,1997,27,SME,12,3633666.62,Joint Venture,0,None,None,0.0,0,2.36,3.84,2.88,3.19,0.464,26.0,0,0.1092,1,1.15,1.22,21.47,13.36,4595389.02,11.03,0.0,0.48,8.26,382949.09,2.37,4.45,1.81,2.51,5.44,4.55,4.02,57.39,1,0,8.2,0.658,23.5,1,1,0,1.2,24,131,3.2,2.8,0.0,11.58
FIRM_061,AnimalFeeds_FIRM_061,Animal Feeds,Badagry,1987,37,SME,43,875958.0,Public Listed,0,None,None,0.0,0,2.91,3.42,1.16,3.2,0.155,83.3,0,0.0715,1,2.53,1.55,4.32,5.62,9871901.69,5.45,0.334,0.79,5.3,229579.11,4.18,4.56,3.21,4.58,3.36,3.89,3.77,53.88,0,1,20.1,0.163,28.6,0,0,1,1.2,24,131,3.2,2.8,0.0,4.36
FIRM_062,BakeryProducts_FIRM_062,Bakery Products,Badagry,1989,35,SME,179,1905277.66,Family Business,0,None,None,0.0,0,2.78,3.79,3.06,2.94,0.42,74.7,0,0.0185,1,2.1,0.5,14.08,11.7,4031888.32,14.37,0.0,4.15,5.24,22524.52,6.84,3.92,4.15,4.49,1.89,4.2,4.09,58.36,0,0,10.4,0.566,49.4,0,1,0,1.2,24,131,3.2,2.8,0.0,12.5
FIRM_063,BakeryProducts_FIRM_063,Bakery Products,Ikeja,2000,24,SME,91,3135859.49,Local,0,None,None,0.0,0,2.73,2.56,2.78,2.66,0.53,53.3,0,0.1091,3,1.56,1.2,8.39,9.33,7548300.89,10.04,0.0,4.85,6.46,82948.36,5.05,4.1,2.68,2.79,3.4,7.0,4.57,65.34,0,0,17.7,0.263,55.3,0,1,0,1.2,24,131,3.2,2.8,0.0,12.71
FIRM_064,Seasoning&Condiments_FIRM_064,Seasoning & Condiments,Ikorodu,2020,4,SME,228,2067541.83,Family Business,0,None,None,0.0,0,2.25,3.28,2.79,2.17,0.318,69.3,0,0.0037,5,3.28,0.15,15.93,16.32,7621004.56,3.58,0.014,3.49,5.63,33425.46,5.69,3.06,1.86,4.28,2.8,5.03,3.69,52.75,1,0,21.3,0.111,44.9,1,1,0,1.2,24,131,3.2,2.8,0.0,10.32
FIRM_065,Beverages_FIRM_065,Beverages,Badagry,2023,1,SME,137,4055456.7,Family Business,0,None,None,0.0,0,2.54,3.31,2.23,2.99,0.435,87.4,1,0.0419,3,2.4,1.48,7.9,10.13,9099698.72,17.59,0.03,0.81,3.96,66421.16,5.81,4.4,2.69,3.19,2.52,3.44,3.94,56.33,1,0,21.5,0.105,33.8,0,1,1,1.2,24,131,3.2,2.8,0.0,8.78
FIRM_066,Seasoning&Condiments_FIRM_066,Seasoning & Condiments,Ikeja,2002,22,SME,28,3256696.36,Local,1,Joint Venture,USA,71.18,14,3.38,4.55,3.57,5.0,0.518,98.0,1,0.0364,4,0.93,1.96,20.41,12.55,4297808.68,13.38,0.0,0.76,7.54,153493.17,3.13,5.37,3.2,5.09,3.07,4.19,3.65,52.08,0,1,11.9,0.502,45.0,0,1,0,1.2,24,131,3.2,2.8,3.65,13.01
FIRM_067,Oils&Fats_FIRM_067,Oils & Fats,Apapa,1990,34,SME,156,2846672.57,Local,1,M&A,India,77.06,3,4.31,3.83,3.97,3.84,0.213,140.5,1,0.0465,3,3.03,1.72,13.26,9.43,12160153.76,14.85,0.163,0.74,6.69,77949.7,4.41,3.54,1.0,5.1,2.24,5.18,3.21,45.88,0,0,18.2,0.244,46.7,1,0,1,1.2,24,131,3.2,2.8,3.21,12.76
FIRM_068,BakeryProducts_FIRM_068,Bakery Products,Epe,1993,31,SME,238,4119790.44,Joint Venture,0,None,None,0.0,0,2.81,3.67,2.57,3.5,0.707,153.3,1,0.0474,4,2.72,0.86,18.99,4.8,8287324.38,15.05,0.296,1.08,6.29,34820.69,3.49,3.57,3.26,3.9,4.46,3.38,3.71,53.04,1,0,13.4,0.442,3.1,1,1,0,1.2,24,131,3.2,2.8,0.0,9.55
FIRM_069,Fruits&VegetablesProcessing_FIRM_069,Fruits & Vegetables Processing,Badagry,2012,12,SME,120,1684701.76,Joint Venture,0,None,None,0.0,0,2.99,3.07,2.82,3.33,0.624,69.3,0,0.0928,4,3.43,0.4,11.13,10.23,3147808.12,18.07,0.065,1.81,9.05,26231.73,2.44,4.74,4.22,2.37,2.28,3.53,3.81,54.36,0,0,15.7,0.344,45.4,0,1,0,1.2,24,131,3.2,2.8,0.0,10.72
FIRM_070,GrainMilling_FIRM_070,Grain Milling,Badagry,1992,32,SME,146,1233835.95,Foreign-Owned,0,None,None,0.0,0,2.89,3.62,4.19,2.6,0.658,127.7,0,0.1017,3,2.23,0.45,15.86,11.76,4657358.54,0.29,0.221,3.4,5.67,31899.72,3.9,4.45,4.68,5.01,3.08,4.18,3.88,55.45,1,1,18.1,0.246,28.0,1,0,0,1.2,24,131,3.2,2.8,0.0,16.25
FIRM_071,BakeryProducts_FIRM_071,Bakery Products,Badagry,2003,21,SME,24,1803625.44,Local,0,None,None,0.0,0,3.39,3.29,3.0,3.94,0.276,97.1,0,0.1037,4,3.19,1.72,0.14,11.61,7441229.6,14.38,0.093,2.54,5.38,310051.23,4.05,1.69,3.38,6.09,3.4,3.39,2.97,42.43,1,1,21.3,0.114,44.5,0,1,0,1.2,24,131,3.2,2.8,0.0,8.9
FIRM_072,MeatProcessing_FIRM_072,Meat Processing,Ikeja,2016,8,SME,89,4887674.14,Public Listed,1,Joint Venture,USA,50.54,4,3.46,4.26,2.79,3.33,0.546,156.6,1,0.0015,2,2.85,1.0,17.51,17.19,795571.23,0.99,0.285,4.06,7.95,8939.0,3.41,4.87,2.36,3.35,7.0,2.24,4.09,58.41,0,0,9.5,0.606,3.9,1,1,1,1.2,24,131,3.2,2.8,4.09,11.43
FIRM_073,DairyProducts_FIRM_073,Dairy Products,Apapa,1995,29,SME,26,3948367.98,Joint Venture,0,None,None,0.0,0,3.83,2.58,2.3,2.64,0.793,29.3,0,0.0265,1,1.19,2.4,14.26,5.79,2638112.74,-4.57,0.303,2.86,5.83,101465.87,3.21,3.55,3.46,6.16,3.3,3.62,3.16,45.2,0,0,22.2,0.074,33.6,0,1,1,1.2,24,131,3.2,2.8,0.0,7.29
FIRM_074,Beverages_FIRM_074,Beverages,Badagry,1996,28,SME,121,4282399.5,Family Business,0,None,None,0.0,0,3.66,2.5,2.15,2.93,0.217,167.1,1,0.0872,5,2.81,1.67,16.14,1.27,4488250.72,5.59,0.098,0.28,6.71,37092.98,3.32,3.85,1.57,3.8,4.38,2.62,3.32,47.49,0,0,14.8,0.385,19.6,0,1,0,1.2,24,131,3.2,2.8,0.0,7.14
FIRM_075,BakeryProducts_FIRM_075,Bakery Products,Ikeja,1988,36,SME,215,670514.56,Family Business,0,None,None,0.0,0,2.64,3.91,4.02,3.59,0.205,113.5,0,0.0201,1,1.31,1.61,1.01,8.19,10799424.79,15.81,0.0,2.84,7.18,50229.88,5.45,2.11,2.93,4.77,3.79,3.75,3.54,50.62,1,0,11.4,0.524,40.6,0,1,0,1.2,24,131,3.2,2.8,0.0,14.23
FIRM_076,MeatProcessing_FIRM_076,Meat Processing,Ikorodu,2023,1,SME,121,2832260.33,Family Business,1,Greenfield,Netherlands,51.01,1,3.76,4.25,4.29,3.72,0.737,12.2,0,0.1164,5,0.79,1.44,16.13,20.32,7986566.65,7.0,0.251,2.75,5.73,66004.68,2.85,3.73,3.48,5.38,4.87,5.79,3.89,55.6,0,0,16.0,0.332,6.1,0,0,0,1.2,24,131,3.2,2.8,3.89,16.71
FIRM_077,Beverages_FIRM_077,Beverages,Lagos Island,2008,16,SME,92,3158567.24,Public Listed,1,M&A,China,25.89,12,3.2,3.35,4.57,2.99,0.384,149.2,1,0.0082,3,1.57,0.3,21.74,7.4,1175322.06,17.38,0.175,4.91,6.15,12775.24,5.31,4.17,2.66,5.67,5.24,3.97,3.95,56.37,0,0,16.8,0.301,58.8,0,1,0,1.2,24,131,3.2,2.8,3.95,18.05
FIRM_078,GrainMilling_FIRM_078,Grain Milling,Ikorodu,2012,12,SME,186,1765294.63,Joint Venture,1,Joint Venture,Netherlands,61.47,2,3.64,3.03,3.61,4.47,0.828,124.7,1,0.0091,4,1.39,0.32,10.27,19.65,9765100.89,3.16,0.451,1.41,9.7,52500.54,5.26,5.95,1.52,4.0,4.82,4.33,4.31,61.63,0,0,10.5,0.563,56.8,0,0,1,1.2,24,131,3.2,2.8,4.31,15.57
FIRM_079,BakeryProducts_FIRM_079,Bakery Products,Epe,1994,30,SME,31,3144763.61,Local,0,None,None,0.0,0,2.86,3.18,1.73,3.31,0.465,191.9,0,0.1008,2,2.72,0.62,11.32,17.18,8026637.6,12.53,0.159,0.51,5.9,258923.79,4.59,3.88,5.22,5.42,1.52,5.46,3.87,55.35,0,0,21.1,0.121,4.9,0,1,0,1.2,24,131,3.2,2.8,0.0,6.7
FIRM_080,MeatProcessing_FIRM_080,Meat Processing,Ikeja,1990,34,SME,119,1390491.32,Foreign-Owned,1,Joint Venture,South Africa,49.01,3,4.42,4.13,2.76,2.87,0.383,178.1,1,0.0592,5,2.86,1.05,20.95,4.55,13101004.79,23.05,0.264,1.53,7.04,110092.48,4.98,2.98,4.48,4.63,4.8,3.72,4.05,57.9,0,0,16.0,0.334,33.0,1,1,0,1.2,24,131,3.2,2.8,4.05,11.17
FIRM_081,MeatProcessing_FIRM_081,Meat Processing,Badagry,2013,11,SME,72,1497296.4,Public Listed,0,None,None,0.0,0,3.24,2.54,2.24,1.54,0.17,49.9,0,0.0856,2,1.73,2.32,10.44,3.77,7721413.4,8.28,0.171,2.29,6.71,107241.85,5.21,1.53,3.73,4.77,3.7,4.13,3.59,51.27,0,0,20.6,0.142,38.7,0,1,1,1.2,24,131,3.2,2.8,0.0,8.03
FIRM_082,FishProcessing_FIRM_082,Fish Processing,Ikeja,2015,9,SME,122,557711.41,Joint Venture,1,Joint Venture,France,80.45,7,3.88,4.08,3.48,4.45,0.751,152.2,1,0.0733,5,1.88,1.09,18.88,9.71,7324971.74,15.52,0.472,2.21,9.32,60040.75,6.1,4.03,3.76,2.89,2.22,1.86,3.84,54.93,0,0,9.9,0.586,38.8,0,1,1,1.2,24,131,3.2,2.8,3.84,13.38
FIRM_083,GrainMilling_FIRM_083,Grain Milling,Epe,2005,19,SME,20,1264493.96,Local,1,Joint Venture,USA,73.7,8,4.41,4.94,2.59,2.77,0.529,142.3,0,0.0206,2,1.48,1.41,12.94,11.62,12664791.77,14.21,0.244,4.67,10.0,633239.59,4.14,2.38,3.25,6.0,4.94,4.64,3.56,50.84,0,0,14.5,0.395,53.4,0,1,0,1.2,24,131,3.2,2.8,3.56,9.22
FIRM_084,BakeryProducts_FIRM_084,Bakery Products,Ikeja,2023,1,SME,63,3631046.13,Family Business,1,Greenfield,India,84.3,1,4.6,2.86,3.57,3.76,0.278,172.4,0,0.056,5,1.73,1.65,22.37,6.42,10280777.94,11.88,0.237,4.25,8.43,163186.95,5.22,1.0,2.07,4.99,4.42,5.79,3.59,51.22,0,0,13.9,0.42,4.6,0,0,0,1.2,24,131,3.2,2.8,3.59,12.8
FIRM_085,AnimalFeeds_FIRM_085,Animal Feeds,Ikeja,2015,9,SME,139,3325337.23,Public Listed,1,Joint Venture,UK,78.38,9,2.8,4.81,4.54,5.0,0.395,138.7,0,0.0018,3,2.36,1.88,14.35,10.93,13242979.26,25.88,0.303,3.82,8.75,95273.23,5.59,4.07,4.61,3.86,4.02,6.17,4.77,68.09,0,0,13.0,0.457,16.0,0,1,0,1.2,24,131,3.2,2.8,4.77,21.66
FIRM_086,Beverages_FIRM_086,Beverages,Epe,2008,16,SME,53,3741479.23,Public Listed,1,Joint Venture,USA,69.17,12,3.67,2.99,2.25,3.85,0.535,111.3,0,0.0898,5,1.47,0.75,17.84,14.08,3129059.59,1.7,0.108,3.02,9.12,59038.86,4.92,4.68,2.15,5.8,3.84,3.35,3.52,50.34,0,0,8.5,0.646,17.1,1,0,1,1.2,24,131,3.2,2.8,3.52,7.92
FIRM_087,Sugar&Confectionery_FIRM_087,Sugar & Confectionery,Lagos Island,2018,6,SME,14,3168697.4,Joint Venture,1,Joint Venture,China,27.09,6,4.2,3.75,3.37,4.29,0.554,22.8,1,0.1199,3,3.3,2.02,28.18,7.64,4487441.23,9.6,0.276,4.47,8.07,320531.52,5.63,2.36,4.87,5.14,2.06,1.9,3.28,46.83,0,1,18.2,0.241,44.5,0,1,0,1.2,24,131,3.2,2.8,3.28,11.05
FIRM_088,BakeryProducts_FIRM_088,Bakery Products,Badagry,2000,24,SME,57,3004416.79,Foreign-Owned,1,Joint Venture,China,41.58,12,2.88,3.16,3.8,4.57,0.651,122.7,1,0.0546,2,1.59,2.17,19.23,10.71,9593591.57,6.25,0.273,4.87,8.54,168308.62,5.18,4.64,1.2,4.63,3.62,3.36,3.56,50.85,0,0,9.0,0.626,41.8,1,1,0,1.2,24,131,3.2,2.8,3.56,13.52
FIRM_089,GrainMilling_FIRM_089,Grain Milling,Badagry,1994,30,SME,49,4023914.13,Foreign-Owned,0,None,None,0.0,0,3.26,3.27,2.95,3.58,0.734,132.1,1,0.0889,4,1.56,0.22,12.36,7.98,1131601.14,1.32,0.19,4.43,7.29,23093.9,5.01,4.68,1.99,6.17,2.68,4.3,3.42,48.79,0,0,21.6,0.102,5.6,0,1,0,1.2,24,131,3.2,2.8,0.0,10.08
FIRM_090,Oils&Fats_FIRM_090,Oils & Fats,Ikeja,1982,42,SME,186,3363077.62,Local,0,None,None,0.0,0,3.49,3.1,2.28,2.89,0.338,29.2,1,0.0177,3,3.46,0.5,3.52,6.96,6739027.26,-0.77,0.0,1.18,4.18,36231.33,5.31,5.9,3.09,3.64,2.58,5.21,4.41,62.97,0,1,10.8,0.551,52.8,0,0,0,1.2,24,131,3.2,2.8,0.0,10.04
FIRM_091,AnimalFeeds_FIRM_091,Animal Feeds,Ikeja,1990,34,SME,192,332044.7,Local,1,M&A,South Africa,71.63,2,4.48,4.24,3.41,4.38,0.527,169.6,0,0.1067,4,0.55,1.35,26.48,10.79,8114633.46,9.54,0.414,0.67,10.0,42263.72,4.51,2.8,5.74,6.21,3.54,6.07,4.08,58.23,0,0,14.4,0.398,58.3,0,1,1,1.2,24,131,3.2,2.8,4.08,13.9
FIRM_092,FishProcessing_FIRM_092,Fish Processing,Apapa,1996,28,SME,200,2875843.21,Foreign-Owned,1,Joint Venture,UK,82.61,3,3.84,4.12,3.4,4.13,0.829,118.5,1,0.0449,3,3.32,2.25,15.47,17.69,8526266.46,-1.14,0.118,1.75,8.57,42631.33,7.0,4.67,4.21,6.74,2.74,4.16,4.01,57.24,0,0,12.2,0.49,34.2,0,1,1,1.2,24,131,3.2,2.8,4.01,13.62
FIRM_093,BakeryProducts_FIRM_093,Bakery Products,Ikorodu,2016,8,SME,228,248292.64,Foreign-Owned,1,M&A,USA,30.24,8,4.25,4.4,4.66,4.26,0.509,143.8,0,0.0451,2,1.01,0.17,13.48,8.34,7639079.57,7.03,0.365,2.6,8.72,33504.73,4.2,3.88,2.43,6.54,3.22,2.14,2.89,41.25,1,0,9.8,0.592,37.3,0,1,0,1.2,24,131,3.2,2.8,2.89,13.46
FIRM_094,GrainMilling_FIRM_094,Grain Milling,Epe,2013,11,SME,241,1039214.29,Family Business,0,None,None,0.0,0,2.82,2.62,3.22,3.68,0.735,186.2,0,0.0382,5,2.98,1.36,13.81,7.06,4216482.14,12.48,0.162,0.25,7.11,17495.78,4.05,4.1,5.57,6.28,4.63,3.45,3.92,55.99,0,0,19.8,0.174,18.1,0,0,1,1.2,24,131,3.2,2.8,0.0,12.64
FIRM_095,OtherFoodProducts_FIRM_095,Other Food Products,Epe,1988,36,SME,41,2737956.08,Foreign-Owned,0,None,None,0.0,0,2.64,3.09,1.65,2.76,0.39,168.6,0,0.0223,2,3.29,0.25,5.51,9.58,10063761.77,26.1,0.063,1.31,1.71,245457.6,3.72,4.95,4.42,6.14,3.72,4.68,3.89,55.6,1,1,11.4,0.525,40.5,0,1,0,1.2,24,131,3.2,2.8,0.0,6.43
FIRM_096,MeatProcessing_FIRM_096,Meat Processing,Ikorodu,2020,4,SME,93,3799449.0,Public Listed,1,Joint Venture,South Africa,68.74,1,4.22,4.74,3.39,3.99,0.754,166.3,1,0.0583,4,1.36,1.28,19.28,15.68,6419616.33,4.03,0.006,0.91,8.46,69028.13,3.84,4.8,4.48,6.6,5.98,4.97,4.25,60.65,0,0,13.2,0.449,2.6,0,1,1,1.2,24,131,3.2,2.8,4.25,14.41
FIRM_097,GrainMilling_FIRM_097,Grain Milling,Ikeja,1987,37,SME,246,424522.46,Foreign-Owned,1,Joint Venture,USA,93.35,13,3.99,3.79,4.19,4.49,0.582,174.1,1,0.1048,5,2.2,0.81,16.17,14.61,5265210.64,0.92,0.188,1.21,10.0,21403.3,5.05,1.19,4.74,5.62,4.06,1.4,3.14,44.84,0,0,13.3,0.448,14.1,1,1,0,1.2,24,131,3.2,2.8,3.14,13.14
FIRM_098,FishProcessing_FIRM_098,Fish Processing,Ikorodu,2010,14,SME,15,2850156.45,Joint Venture,1,Greenfield,India,78.71,6,3.6,4.28,4.19,3.38,0.162,139.0,1,0.0505,2,0.6,1.24,11.81,7.1,9042053.8,15.55,0.203,4.86,10.0,602803.59,4.02,2.81,3.6,4.01,3.73,4.58,3.79,54.15,1,0,16.8,0.3,25.4,0,1,0,1.2,24,131,3.2,2.8,3.79,15.88
FIRM_099,BakeryProducts_FIRM_099,Bakery Products,Apapa,2023,1,SME,154,4501338.78,Foreign-Owned,1,M&A,South Africa,73.75,1,4.49,4.54,3.58,3.49,0.277,39.8,0,0.005,5,1.16,1.34,12.39,12.8,4460843.01,-6.5,0.384,0.35,7.09,28966.51,3.34,2.19,1.72,4.77,2.72,2.6,2.63,37.62,0,0,8.1,0.661,56.7,0,1,0,1.2,24,131,3.2,2.8,2.63,9.44
FIRM_100,Sugar&Confectionery_FIRM_100,Sugar & Confectionery,Badagry,2006,18,SME,15,1293287.87,Public Listed,1,Joint Venture,India,56.54,9,2.53,4.24,2.46,3.76,0.34,11.2,0,0.1159,4,1.2,0.61,14.37,12.52,6013677.93,-0.35,0.295,0.75,9.95,400911.86,6.13,3.46,1.0,3.46,2.25,3.25,3.44,49.12,1,0,14.7,0.387,30.8,0,1,1,1.2,24,131,3.2,2.8,3.44,8.48
FIRM_101,Sugar&Confectionery_FIRM_101,Sugar & Confectionery,Ikeja,2014,10,SME,121,2239148.77,Local,0,None,None,0.0,0,2.88,2.82,3.53,3.99,0.264,54.4,1,0.1002,5,1.41,0.73,7.43,5.58,548592.21,4.61,0.026,4.3,6.68,4533.82,5.56,4.95,1.63,6.25,1.0,6.91,3.63,51.91,0,0,16.2,0.325,13.3,1,1,1,1.2,24,131,3.2,2.8,0.0,12.84
FIRM_102,Seasoning&Condiments_FIRM_102,Seasoning & Condiments,Ikorodu,1988,36,SME,72,1160376.87,Family Business,0,None,None,0.0,0,3.78,2.21,2.37,3.41,0.186,103.6,0,0.0401,4,2.58,1.43,7.39,6.0,3237793.79,12.36,0.0,4.56,8.83,44969.36,2.84,1.37,3.08,4.99,3.91,5.45,3.28,46.81,0,0,11.9,0.502,58.6,0,1,0,1.2,24,131,3.2,2.8,0.0,7.78
FIRM_103,MeatProcessing_FIRM_103,Meat Processing,Ikorodu,2005,19,SME,82,1188469.08,Local,0,None,None,0.0,0,3.17,3.38,2.9,2.32,0.224,18.6,0,0.0642,2,0.6,2.48,10.78,6.58,5336715.89,6.6,0.236,2.58,5.17,65081.9,6.15,6.76,1.77,5.11,6.23,3.85,4.61,65.85,0,0,10.1,0.581,7.8,0,1,1,1.2,24,131,3.2,2.8,0.0,13.37
FIRM_104,Sugar&Confectionery_FIRM_104,Sugar & Confectionery,Lagos Island,1996,28,SME,218,4455071.21,Joint Venture,1,Greenfield,India,65.43,5,3.82,3.51,4.28,4.44,0.377,138.5,1,0.0724,2,2.23,1.13,18.37,16.16,3419253.21,1.53,0.135,3.49,9.17,15684.65,3.15,4.79,4.81,5.49,3.13,1.46,3.31,47.27,0,0,15.4,0.356,2.8,1,1,1,1.2,24,131,3.2,2.8,3.31,14.16
FIRM_105,OtherFoodProducts_FIRM_105,Other Food Products,Epe,1988,36,SME,69,3898404.56,Family Business,1,M&A,South Africa,35.15,9,3.91,4.37,3.71,5.0,0.199,27.1,0,0.0409,2,1.72,0.44,10.76,16.35,7546556.33,21.33,0.34,3.98,8.55,109370.38,5.71,3.64,3.58,5.88,2.02,5.46,3.75,53.62,1,0,13.2,0.451,40.6,0,1,1,1.2,24,131,3.2,2.8,3.75,13.92
FIRM_106,MeatProcessing_FIRM_106,Meat Processing,Ikeja,1980,44,SME,53,4625058.66,Local,0,None,None,0.0,0,4.04,3.09,2.19,3.53,0.233,10.0,0,0.0428,3,0.94,0.32,14.93,13.99,4175780.28,-9.6,0.084,3.36,5.68,78788.31,3.17,3.54,1.0,4.63,1.0,3.69,2.63,37.55,0,0,17.5,0.272,42.3,0,1,0,1.2,24,131,3.2,2.8,0.0,5.75
FIRM_107,OtherFoodProducts_FIRM_107,Other Food Products,Epe,2004,20,SME,117,3482439.53,Joint Venture,0,None,None,0.0,0,3.0,3.74,3.32,3.86,0.281,14.9,0,0.0532,5,2.89,0.66,13.55,3.31,5995803.48,15.46,0.0,1.46,5.07,51246.18,5.76,2.75,3.13,5.01,3.29,4.05,3.66,52.31,0,0,17.6,0.268,39.9,0,0,0,1.2,24,131,3.2,2.8,0.0,12.16
FIRM_108,MeatProcessing_FIRM_108,Meat Processing,Epe,2017,7,SME,61,3664597.5,Foreign-Owned,0,None,None,0.0,0,3.45,2.52,2.7,3.3,0.401,183.2,1,0.0379,1,3.43,2.1,20.78,11.55,7509313.94,-6.95,0.078,1.61,7.75,123103.51,3.35,5.26,1.0,6.23,3.32,5.61,3.38,48.34,1,0,9.0,0.626,31.0,1,1,0,1.2,24,131,3.2,2.8,0.0,9.12
FIRM_109,Beverages_FIRM_109,Beverages,Ikeja,1999,25,SME,182,619973.58,Joint Venture,1,Joint Venture,UK,42.92,5,5.0,3.51,3.82,4.21,0.818,38.8,1,0.0722,5,0.83,2.18,12.46,10.91,10140785.91,6.17,0.266,3.52,7.83,55718.6,3.86,3.34,2.43,5.43,1.08,5.06,3.06,43.67,1,0,22.1,0.081,34.4,0,1,0,1.2,24,131,3.2,2.8,3.06,11.68
FIRM_110,MeatProcessing_FIRM_110,Meat Processing,Apapa,1998,26,SME,48,4700864.52,Foreign-Owned,1,M&A,China,52.71,14,4.82,3.88,3.12,4.56,0.698,62.6,0,0.0149,2,3.46,0.88,18.4,18.75,11730786.41,8.2,0.013,2.4,8.89,244391.38,2.19,5.41,3.74,3.33,5.05,2.08,3.86,55.09,1,0,10.0,0.582,13.0,0,1,0,1.2,24,131,3.2,2.8,3.86,12.02
FIRM_111,Seasoning&Condiments_FIRM_111,Seasoning & Condiments,Lagos Island,2013,11,SME,117,289395.42,Joint Venture,0,None,None,0.0,0,1.93,3.73,2.98,3.83,0.728,130.0,0,0.0718,3,3.37,1.4,6.14,11.91,7493397.12,21.63,0.0,0.39,7.38,64046.13,4.92,1.64,3.4,4.39,3.81,2.54,3.32,47.41,0,0,14.2,0.409,5.0,0,1,0,1.2,24,131,3.2,2.8,0.0,9.88
FIRM_112,FishProcessing_FIRM_112,Fish Processing,Epe,2004,20,SME,145,1389568.97,Family Business,1,Greenfield,China,10.62,3,3.67,3.96,3.19,4.51,0.541,192.4,1,0.0118,2,1.06,1.4,16.81,10.7,13577152.39,10.21,0.27,4.23,7.49,93635.53,4.08,3.69,3.28,3.83,2.57,2.46,3.37,48.2,0,0,23.2,0.034,10.3,0,1,1,1.2,24,131,3.2,2.8,3.37,10.75
FIRM_113,OtherFoodProducts_FIRM_113,Other Food Products,Apapa,1996,28,SME,197,890869.34,Joint Venture,0,None,None,0.0,0,2.82,1.9,2.55,2.96,0.385,43.6,1,0.1148,5,1.21,0.33,14.0,6.68,7374006.67,8.3,0.0,4.62,10.0,37431.51,3.74,5.45,2.26,5.15,3.57,3.4,3.54,50.62,0,0,10.9,0.546,48.4,0,1,0,1.2,24,131,3.2,2.8,0.0,9.02
FIRM_114,GrainMilling_FIRM_114,Grain Milling,Badagry,1996,28,SME,196,1891995.07,Joint Venture,0,None,None,0.0,0,2.18,2.8,3.1,3.77,0.432,108.7,0,0.0162,3,1.69,0.42,1.21,14.91,5607038.2,-3.71,0.0,2.15,8.43,28607.34,2.67,4.17,7.0,3.47,1.68,4.41,4.08,58.23,0,1,13.7,0.43,47.3,0,1,0,1.2,24,131,3.2,2.8,0.0,12.62
FIRM_115,MeatProcessing_FIRM_115,Meat Processing,Lagos Island,2003,21,SME,118,2091395.15,Joint Venture,0,None,None,0.0,0,2.84,4.42,2.52,2.63,0.443,123.9,0,0.0346,2,1.75,2.28,9.89,7.98,3524352.12,2.62,0.0,0.25,6.55,29867.39,5.99,3.29,2.37,3.49,4.61,2.73,3.92,55.97,0,0,18.0,0.249,48.9,0,1,1,1.2,24,131,3.2,2.8,0.0,9.88
