respondent_id,oi_adoption_score,oi_customer_collab,oi_supplier_collab,oi_competitor_collab,oi_university_collab,oi_consultant_use,oi_joint_rd,oi_licensing_in,oi_licensing_out,oi_crowdsourcing,new_products_last_year,process_improvements,revenue_from_innovation_pct,oi_breadth,oi_depth
SME_0288,5.696119232658916,1,1,1,1,1,1,1,0,0,1,2,12.791166764000192,5,2
SME_0289,7.0,1,1,0,1,1,1,0,0,1,7,3,20.769781328141455,4,2
SME_0290,5.285309498611121,0,1,0,1,1,0,0,1,0,3,2,14.336158180480657,3,1
SME_0291,4.9448880044596555,0,1,0,1,1,0,0,0,1,3,0,19.909898730671344,3,1
SME_0292,4.763374051732731,1,1,0,0,1,0,1,0,0,1,2,16.54961008578055,3,1
SME_0293,5.147553491269688,0,1,1,0,1,1,0,1,0,3,2,18.613065157573946,3,2
SME_0294,5.576957998605284,1,1,1,1,1,1,0,0,1,4,1,14.668243633129435,5,2
SME_0295,5.682619900781358,1,1,1,0,1,0,1,1,1,1,3,15.452545103420572,4,3
SME_0296,3.792622541741442,0,1,0,0,1,0,0,0,1,1,2,8.768714917783585,2,1
SME_0297,3.667595988347115,1,0,0,0,0,0,0,0,0,2,2,1.7392402907149531,1,0
SME_0298,5.531428364259076,1,1,1,1,1,1,1,0,0,3,2,9.393679447380165,5,2
SME_0299,5.263655089845074,1,1,1,0,1,1,1,0,1,3,3,17.514840132496694,4,3
SME_0300,3.9798832976870155,1,1,0,0,1,1,1,0,0,1,4,11.547716394414081,3,2
SME_0301,5.549659533327032,0,1,1,1,1,0,0,0,0,1,4,12.711221396837566,4,0
SME_0302,4.406178343493427,0,1,1,1,0,0,1,0,0,3,1,4.857737462257806,3,1
SME_0303,4.381920126195357,0,1,0,1,0,1,0,0,0,4,1,13.388456077699248,2,1
SME_0304,7.0,1,1,1,0,1,1,0,1,1,3,2,18.233607135659646,4,3
SME_0305,4.158911029264649,0,1,0,1,0,0,0,0,0,1,3,7.262857804011852,2,0
SME_0306,5.4084256630347705,0,0,0,1,0,0,0,1,0,3,2,17.18524593221565,1,1
SME_0307,5.938169139874115,1,1,0,0,1,0,1,0,1,0,2,20.18518142553783,3,2
SME_0308,6.687106366990989,1,1,1,1,1,1,0,1,1,3,1,15.901463560580309,5,3
SME_0309,5.367980809711689,1,1,1,0,0,1,1,0,1,7,4,18.85800660505259,3,3
SME_0310,4.091968475214272,1,1,0,0,0,0,1,0,0,2,1,15.718088025016158,2,1
SME_0311,4.965408339838419,1,0,0,0,1,0,0,1,0,5,2,17.18922728890341,2,1
SME_0312,7.0,1,1,1,0,1,0,0,0,1,5,6,24.68764031733269,4,1
SME_0313,6.18182206428129,1,0,0,0,1,0,0,1,1,6,2,13.39392793997714,2,2
