firm_code,survey_date,firm_size,years_operation,num_employees,annual_revenue,ownership_type,has_fdi,fdi_type,years_fdi,ka1_technical_manuals,ka2_staff_training,ka3_adapt_technology,ka4_commercialize_knowledge,tp1_production_efficiency,tp2_quality_control,tp3_order_fulfillment,tp4_employee_productivity,rd_spending_pct,new_products_3yrs,innov_iot,innov_automation,innov_quality_mgmt,innov_other,skilled_workforce_pct,training_hours_per_emp,modern_equipment,machinery_age_years,access_credit,reinvestment_rate_pct,gp1_tax_incentives,gp2_regulatory_stability,gp3_infrastructure,gp4_permits_ease,avg_roi_pct,avg_roa_pct,export_intensity_pct,capacity_utilization_pct,market_share_pct
FIRM114,22/09/2024,SME,25,1-50,50M-500M,Local,No,,0,2,4,3,2,3,3,3,3,0.83,2,0,0,0,1,31.2,14,Yes,5,Easy,29.4,3,2,3,3,13.73,10.2,4.0,70.2,1.56
FIRM115,02/09/2024,SME,22,51-250,<50M,Foreign-owned,Yes,Equity,4,4,3,4,4,4,4,4,3,4.59,4,0,1,1,0,43.1,62,Yes,1,Moderate,22.4,5,5,3,5,11.85,8.87,49.8,59.2,2.09
FIRM116,20/08/2024,SME,17,1-50,<50M,Local,Yes,Technology transfer,10,3,4,4,3,2,5,3,4,0.28,3,0,1,1,1,47.8,36,Yes,4,Moderate,12.7,7,3,4,6,17.59,11.05,11.5,74.1,2.3
FIRM117,21/09/2024,SME,12,1-50,50M-500M,Local,No,,0,2,3,3,3,3,2,4,3,0.18,2,0,0,0,0,42.7,47,Yes,11,Moderate,16.3,6,4,2,5,-3.35,-3.0,8.4,59.3,1.54
FIRM118,28/08/2024,SME,9,1-50,50M-500M,Local,No,,0,5,3,3,3,3,3,3,3,0.1,0,0,0,1,0,51.5,23,Yes,7,Difficult,5.0,5,2,5,6,5.88,1.68,10.6,63.9,2.18
FIRM119,19/07/2024,SME,20,51-250,50M-500M,Local,No,,0,3,2,3,2,2,4,3,4,0.39,2,0,0,0,0,56.1,44,No,13,Moderate,11.7,5,5,4,4,14.36,9.84,6.2,45.5,0.93
FIRM120,03/08/2024,SME,10,1-50,<50M,Local,Yes,Equity,1,3,4,5,5,4,5,5,3,2.53,4,0,0,1,1,68.0,75,Yes,3,Difficult,15.3,5,5,4,6,14.69,8.71,5.5,53.9,2.39
FIRM121,18/07/2024,SME,12,51-250,50M-500M,Local,Yes,Management contract,9,2,4,3,4,4,4,3,3,0.33,9,1,1,1,0,53.4,127,Yes,4,Difficult,21.8,5,5,4,6,1.79,-0.32,11.3,72.3,1.39
FIRM122,01/08/2024,SME,19,1-50,50M-500M,Local,No,,0,3,2,3,3,2,4,4,4,0.46,3,0,0,0,0,43.6,12,Yes,8,Moderate,12.7,5,5,3,1,19.08,16.95,1.0,57.6,3.98
FIRM123,10/09/2024,SME,18,1-50,50M-500M,Foreign-owned,Yes,Technology transfer,5,3,3,4,3,3,2,3,3,2.48,7,0,1,1,0,67.2,42,Yes,8,Moderate,9.3,2,6,3,4,16.37,13.18,25.7,80.8,1.85
FIRM124,07/09/2024,SME,11,51-250,50M-500M,Local,Yes,Technology transfer,8,4,4,5,4,2,3,4,4,0.94,5,1,1,1,0,39.7,86,No,23,Moderate,5.0,4,2,3,4,21.59,14.61,9.0,56.6,1.05
FIRM125,03/08/2024,SME,29,51-250,<50M,Local,No,,0,4,3,2,4,3,4,3,1,0.56,2,0,0,0,1,27.5,32,Yes,4,Easy,13.8,4,3,4,3,3.12,3.53,0.4,73.4,2.42
FIRM126,13/09/2024,SME,28,1-50,50M-500M,Local,Yes,Management contract,11,3,4,5,4,4,3,3,5,3.06,4,0,1,0,0,70.1,56,No,2,Easy,31.7,4,5,4,4,17.7,11.55,14.7,58.9,4.09
FIRM127,24/08/2024,SME,22,51-250,50M-500M,Local,No,,0,3,2,3,3,3,2,3,3,0.14,1,0,0,1,0,69.1,63,Yes,11,Moderate,19.9,4,5,3,4,8.55,6.21,10.0,72.6,1.13
FIRM128,13/09/2024,SME,22,51-250,50M-500M,Joint venture,Yes,Technology transfer,1,5,4,4,3,4,3,2,5,0.21,6,0,1,1,0,40.1,61,Yes,1,Difficult,24.6,5,3,4,3,11.07,8.63,6.2,49.6,0.98
FIRM129,21/08/2024,SME,22,1-50,50M-500M,Local,No,,0,1,3,3,3,2,4,3,3,0.62,2,0,0,1,0,46.0,19,No,3,Moderate,11.7,3,3,3,4,4.98,2.65,6.9,62.6,0.5
FIRM130,16/08/2024,SME,27,51-250,<50M,Local,No,,0,2,4,4,3,2,2,2,3,0.63,0,0,0,0,1,38.2,44,No,15,Difficult,7.0,4,3,3,5,-0.0,-1.37,0.2,57.8,1.85
FIRM131,29/07/2024,SME,24,1-50,50M-500M,Local,No,,0,2,2,3,3,4,3,4,4,0.29,3,1,1,0,0,56.9,28,No,2,Moderate,9.5,3,2,4,4,3.92,5.19,10.6,78.6,1.28
FIRM132,18/07/2024,SME,12,1-50,50M-500M,Foreign-owned,Yes,Equity,1,4,4,5,3,3,5,5,5,0.75,5,0,0,1,0,78.0,63,No,11,Moderate,17.3,5,2,2,4,21.84,16.52,16.5,73.5,2.41
FIRM133,04/09/2024,SME,16,51-250,50M-500M,Local,No,,0,3,3,2,3,3,3,2,3,0.48,0,0,0,0,0,62.5,37,No,2,Difficult,5.0,4,2,1,3,2.52,-2.75,0.9,53.2,2.45
FIRM134,02/09/2024,SME,40,1-50,50M-500M,Foreign-owned,Yes,Joint venture,8,3,5,4,3,3,4,4,4,0.5,7,0,0,0,1,67.5,79,Yes,2,Difficult,11.0,4,3,3,4,26.44,17.17,20.1,65.6,0.5
FIRM135,12/07/2024,SME,8,1-50,50M-500M,Local,Yes,Management contract,4,3,3,4,5,4,4,5,5,0.5,3,0,1,0,0,64.3,41,Yes,9,Moderate,13.9,4,4,3,2,6.38,2.9,9.4,58.7,3.12
FIRM136,07/07/2024,SME,14,1-50,50M-500M,Local,Yes,Equity,7,3,3,4,3,4,4,5,5,2.17,6,0,0,0,0,52.0,55,Yes,4,Moderate,8.8,4,4,3,3,11.44,6.77,7.1,79.4,0.86
FIRM137,15/07/2024,SME,29,51-250,50M-500M,Local,No,,0,3,2,3,3,3,4,3,3,0.13,2,0,0,0,0,68.3,13,Yes,3,Moderate,5.0,6,3,2,3,3.06,3.87,2.0,83.3,1.14
FIRM138,20/07/2024,SME,13,51-250,50M-500M,Local,No,,0,3,2,3,4,3,2,4,5,0.05,4,0,0,0,0,63.2,32,Yes,4,Difficult,20.0,3,3,5,2,6.92,4.88,5.9,50.7,2.14
FIRM139,19/09/2024,SME,24,1-50,<50M,Local,No,,0,4,4,3,2,3,3,3,3,0.23,0,0,0,0,0,73.6,60,Yes,1,Moderate,18.3,5,4,3,2,17.23,9.28,1.2,77.9,0.61
FIRM140,21/07/2024,SME,18,51-250,50M-500M,Local,No,,0,4,2,2,3,3,3,3,4,0.29,1,1,0,1,0,45.1,17,No,7,Moderate,23.5,5,2,3,4,1.09,-0.0,0.1,58.1,0.99
FIRM141,26/09/2024,Large,23,251-500,500M-5B,Local,No,,0,3,2,4,4,3,3,3,4,0.7,4,0,0,1,0,44.1,12,Yes,2,Easy,16.1,3,5,4,4,9.29,7.59,2.1,75.5,3.67
FIRM142,24/08/2024,Large,13,500+,>5B,Joint venture,Yes,Technology transfer,11,3,5,4,4,3,2,3,3,0.81,1,0,1,1,0,77.5,48,Yes,5,Easy,31.1,6,6,2,5,22.93,15.61,26.3,78.3,11.85
FIRM143,15/09/2024,Large,32,500+,>5B,Foreign-owned,Yes,Joint venture,2,4,3,4,4,5,4,4,3,3.41,4,0,0,1,0,69.2,56,No,6,Moderate,37.2,5,3,2,3,18.56,11.7,26.1,95.0,5.97
FIRM144,09/07/2024,Large,22,500+,>5B,Joint venture,Yes,Equity,8,5,5,4,2,4,5,4,5,1.42,2,0,0,1,0,61.4,79,Yes,3,Moderate,27.1,4,3,4,4,20.05,14.7,9.2,68.0,3.47
FIRM145,19/08/2024,Large,28,251-500,>5B,Joint venture,Yes,Management contract,12,5,3,4,3,5,5,5,3,0.66,4,0,0,1,0,62.1,54,No,10,Difficult,20.1,2,6,3,3,12.21,11.78,9.0,86.3,3.61
FIRM146,18/08/2024,Large,36,251-500,>5B,Foreign-owned,Yes,Technology transfer,15,3,5,4,5,3,4,4,3,1.81,6,1,1,1,0,90.0,69,Yes,2,Moderate,26.2,4,4,2,5,19.57,14.62,8.7,66.3,10.89
FIRM147,15/09/2024,Large,40,500+,>5B,Foreign-owned,Yes,Management contract,8,5,2,2,4,4,3,4,3,3.37,5,0,1,1,0,57.3,50,Yes,2,Easy,19.7,4,5,4,5,22.79,18.55,8.4,65.6,4.54
FIRM148,29/08/2024,Large,24,500+,500M-5B,Foreign-owned,Yes,Equity,2,3,3,5,4,4,4,4,3,2.12,5,1,1,0,0,54.8,57,Yes,3,Easy,18.4,3,4,2,4,8.34,4.68,8.8,78.3,5.63
FIRM149,06/09/2024,Large,23,251-500,>5B,Foreign-owned,Yes,Joint venture,15,3,4,5,4,5,3,5,4,0.31,11,0,1,0,0,66.0,45,Yes,1,Moderate,30.5,3,6,3,5,14.82,10.36,15.1,78.2,7.48
FIRM150,02/08/2024,Large,18,251-500,500M-5B,Local,No,,0,4,4,2,4,3,4,2,3,0.32,2,1,0,1,0,79.2,15,Yes,5,Easy,23.9,5,4,2,4,2.11,1.42,9.4,49.7,6.19
FIRM151,09/09/2024,Large,40,500+,>5B,Foreign-owned,Yes,Equity,2,3,4,4,3,3,4,3,4,1.61,6,0,0,1,1,90.0,80,Yes,1,Difficult,34.6,2,5,4,5,20.22,14.39,6.8,89.6,2.32
FIRM152,02/07/2024,Large,40,251-500,500M-5B,Foreign-owned,Yes,Equity,6,2,4,3,4,5,3,5,4,2.06,5,0,0,1,0,72.9,52,No,9,Easy,21.5,5,5,5,4,23.35,17.23,7.7,56.6,9.95
FIRM153,26/09/2024,Large,40,500+,500M-5B,Foreign-owned,Yes,Technology transfer,10,5,5,4,3,4,3,4,3,1.15,3,0,1,1,1,49.8,71,Yes,9,Difficult,22.3,4,3,1,2,18.9,11.39,16.1,76.5,6.44
FIRM154,15/07/2024,Large,40,251-500,>5B,Joint venture,Yes,Management contract,3,4,5,5,3,5,4,5,4,1.03,4,0,1,0,0,88.7,44,Yes,5,Easy,20.5,5,3,4,4,13.97,11.07,19.6,91.3,8.52
FIRM155,26/09/2024,Large,22,500+,500M-5B,Foreign-owned,Yes,Equity,2,4,5,5,2,5,4,4,5,4.18,10,1,0,1,0,64.8,61,Yes,1,Moderate,16.0,4,5,5,2,13.14,5.94,4.5,95.0,10.32
FIRM156,07/09/2024,Large,35,500+,500M-5B,Foreign-owned,Yes,Equity,3,4,4,5,3,4,3,5,4,2.15,1,0,0,1,0,54.9,25,Yes,1,Easy,31.5,5,4,3,7,17.22,9.38,32.2,74.4,1.99
FIRM157,04/08/2024,Large,40,251-500,500M-5B,Local,No,,0,3,3,4,4,3,3,2,3,0.67,2,0,1,0,0,52.0,23,No,14,Moderate,40.0,3,2,2,3,11.19,12.1,2.5,63.7,10.37
FIRM158,21/09/2024,Large,9,251-500,500M-5B,Local,No,,0,2,2,3,1,3,3,4,2,0.26,5,0,1,0,0,75.0,19,Yes,2,Difficult,21.9,4,6,4,5,12.47,7.71,0.6,90.9,21.67
FIRM159,13/08/2024,Large,20,251-500,500M-5B,Foreign-owned,Yes,Joint venture,5,3,4,3,3,4,5,5,4,0.49,3,0,0,0,0,67.9,91,Yes,3,Easy,19.6,5,5,5,4,11.99,9.85,4.4,86.7,8.98
FIRM160,15/07/2024,Large,40,251-500,>5B,Joint venture,Yes,Joint venture,10,3,3,4,3,5,3,3,3,1.84,5,0,0,0,0,69.1,37,Yes,5,Moderate,19.0,4,4,5,2,18.61,16.42,4.2,73.1,13.64
FIRM161,07/08/2024,Large,17,251-500,500M-5B,Foreign-owned,Yes,Management contract,11,3,4,5,3,3,4,4,4,2.31,4,0,0,1,0,80.4,58,Yes,6,Moderate,19.6,5,3,4,1,16.17,6.69,24.3,71.8,11.65
FIRM162,25/08/2024,Large,40,500+,>5B,Local,No,,0,2,5,2,3,3,3,2,2,0.46,3,0,1,1,0,55.4,32,Yes,2,Easy,38.2,3,4,4,5,6.53,6.82,3.6,70.8,10.18
FIRM163,21/07/2024,Large,17,251-500,500M-5B,Joint venture,Yes,Management contract,10,3,5,5,3,3,3,4,2,2.15,8,0,0,1,0,81.4,87,Yes,3,Moderate,19.3,3,5,2,6,17.02,13.21,24.4,74.6,11.85
FIRM164,28/08/2024,Large,20,500+,>5B,Joint venture,Yes,Technology transfer,9,2,4,5,5,3,2,4,4,2.19,5,1,0,0,0,58.8,82,No,13,Moderate,20.3,3,1,5,3,21.02,17.99,12.1,81.2,12.85
FIRM165,01/07/2024,Large,35,251-500,500M-5B,Foreign-owned,Yes,Management contract,12,4,4,4,5,4,3,2,3,2.42,4,0,1,0,0,90.0,59,Yes,4,Moderate,15.1,4,7,5,1,25.49,15.48,24.0,72.3,13.11
FIRM166,03/08/2024,Large,30,251-500,>5B,Joint venture,Yes,Joint venture,6,4,5,3,2,2,4,4,4,0.3,3,0,0,0,0,72.2,62,Yes,3,Easy,27.3,6,3,2,3,15.49,13.75,11.9,73.6,3.61
FIRM167,03/09/2024,Large,25,500+,500M-5B,Local,No,,0,3,4,3,2,5,3,3,3,0.33,1,0,1,0,0,54.0,46,Yes,8,Easy,24.5,4,4,4,2,3.78,1.17,5.4,84.4,12.22
FIRM168,23/07/2024,Large,40,500+,>5B,Foreign-owned,Yes,Management contract,7,4,3,4,4,3,4,5,4,1.92,8,0,0,0,1,40.7,59,Yes,4,Easy,15.9,3,4,4,3,24.0,18.91,12.6,63.2,6.39
FIRM169,03/09/2024,Large,18,251-500,500M-5B,Foreign-owned,Yes,Equity,10,4,4,4,5,4,4,4,4,1.39,3,1,1,1,1,74.7,65,Yes,5,Easy,17.9,5,7,5,4,14.61,10.15,11.5,74.2,13.34
FIRM170,14/07/2024,Large,28,500+,500M-5B,Local,No,,0,2,3,4,2,4,3,5,3,0.84,2,0,0,0,0,60.5,47,Yes,4,Moderate,37.3,6,4,3,4,11.56,9.63,1.3,61.2,9.38
FIRM171,19/09/2024,Large,37,251-500,>5B,Joint venture,Yes,Management contract,9,3,5,4,4,3,3,4,4,1.82,7,0,1,0,0,63.1,134,Yes,1,Easy,25.3,3,6,2,2,18.85,13.29,19.3,79.1,3.58
FIRM172,08/08/2024,Large,33,251-500,500M-5B,Foreign-owned,Yes,Management contract,5,4,4,4,3,2,5,4,5,0.12,3,1,0,0,0,74.2,67,Yes,1,Moderate,25.8,7,4,3,4,17.05,8.26,6.2,58.6,14.25
FIRM173,20/09/2024,Large,23,251-500,500M-5B,Joint venture,Yes,Technology transfer,8,4,2,4,2,4,3,4,4,2.82,7,0,0,1,1,77.1,73,Yes,1,Moderate,25.8,5,2,2,5,12.08,2.21,19.3,86.9,4.79
FIRM174,03/09/2024,Large,23,500+,500M-5B,Joint venture,Yes,Equity,9,5,4,4,5,3,3,3,4,0.9,5,0,0,1,0,79.7,81,Yes,6,Moderate,36.2,6,4,3,3,24.72,17.72,14.0,64.9,6.22
FIRM175,16/09/2024,Large,40,500+,>5B,Foreign-owned,Yes,Technology transfer,10,5,4,4,2,2,4,2,4,0.63,7,0,1,0,0,50.9,92,Yes,1,Moderate,16.6,6,4,3,4,-3.49,-2.97,19.6,60.3,15.91
FIRM176,26/07/2024,Large,40,251-500,>5B,Foreign-owned,Yes,Joint venture,7,5,3,5,5,4,3,4,4,2.75,5,0,0,1,1,82.1,87,No,10,Difficult,21.8,5,2,6,4,27.82,20.27,14.7,74.4,7.9
FIRM177,20/07/2024,Large,33,251-500,500M-5B,Foreign-owned,Yes,Management contract,2,3,4,5,4,4,5,2,3,2.08,7,1,0,1,0,58.1,49,No,9,Difficult,23.6,4,4,5,4,13.52,8.96,25.5,95.0,6.08
FIRM178,17/08/2024,Large,21,251-500,500M-5B,Local,No,,0,2,2,3,3,4,3,3,2,1.21,0,0,0,0,0,37.9,32,No,8,Moderate,11.2,6,4,5,4,11.45,12.05,5.0,85.1,7.05
FIRM179,21/07/2024,Large,24,251-500,500M-5B,Local,No,,0,2,2,4,3,2,4,2,2,0.59,2,0,0,1,1,50.9,44,No,9,Easy,17.7,5,5,4,6,12.13,8.95,3.8,58.8,6.01
FIRM180,08/09/2024,Large,29,500+,>5B,Foreign-owned,Yes,Management contract,13,4,5,3,3,3,3,3,4,0.99,3,1,1,1,0,67.6,99,No,23,Difficult,33.4,6,4,3,4,25.65,17.06,2.0,64.6,10.88
FIRM181,06/09/2024,Large,31,251-500,500M-5B,Foreign-owned,Yes,Joint venture,12,2,3,4,4,4,4,3,3,1.49,2,1,0,1,0,53.3,58,Yes,1,Moderate,31.1,6,3,3,3,17.19,12.71,26.1,74.0,6.11
FIRM182,01/07/2024,Large,36,251-500,500M-5B,Foreign-owned,Yes,Technology transfer,2,3,4,5,4,4,4,4,4,0.53,5,0,0,0,1,63.9,68,No,20,Moderate,32.5,3,5,3,3,14.03,8.96,4.1,95.0,7.18
FIRM183,15/09/2024,Large,27,500+,500M-5B,Foreign-owned,Yes,Equity,14,4,3,4,4,5,3,4,4,0.37,11,0,0,0,0,69.1,71,Yes,2,Moderate,20.3,5,3,4,3,8.37,6.04,5.2,68.6,9.78
FIRM184,11/08/2024,Large,40,500+,>5B,Joint venture,Yes,Technology transfer,11,3,5,3,4,5,4,5,4,0.78,7,0,0,1,1,62.8,62,Yes,6,Difficult,21.3,4,1,4,4,15.91,8.7,20.7,68.7,9.24
FIRM185,01/09/2024,Large,40,251-500,>5B,Local,Yes,Technology transfer,11,4,4,4,3,5,4,3,4,3.63,6,1,1,1,1,59.1,67,Yes,3,Easy,10.7,4,4,4,3,6.25,4.36,13.3,93.3,5.01
FIRM186,03/07/2024,Large,40,500+,>5B,Local,No,,0,2,3,3,2,3,4,3,2,0.27,2,1,0,0,0,50.0,10,No,5,Easy,32.5,4,3,3,3,5.23,2.71,0.5,79.9,10.94
FIRM187,15/07/2024,Large,30,251-500,>5B,Local,No,,0,3,3,2,2,4,5,5,3,0.05,1,0,0,0,0,65.3,94,Yes,8,Moderate,33.8,4,4,3,5,7.24,2.82,1.9,88.5,5.53
FIRM188,16/08/2024,Large,33,251-500,500M-5B,Local,No,,0,5,3,2,3,3,3,3,3,0.4,4,0,0,0,0,40.2,25,Yes,7,Easy,33.7,6,7,2,4,7.86,9.45,8.8,70.7,4.07
FIRM189,09/08/2024,Large,28,500+,500M-5B,Joint venture,Yes,Equity,15,3,3,4,3,4,4,4,4,0.84,7,0,0,1,0,56.8,59,Yes,1,Moderate,37.8,2,7,5,5,16.25,9.21,14.5,77.0,2.46
FIRM190,31/07/2024,Large,21,251-500,500M-5B,Joint venture,Yes,Management contract,13,4,4,3,2,3,4,3,2,2.85,5,1,0,1,0,53.9,31,Yes,5,Moderate,28.4,2,4,6,5,14.58,10.22,13.5,91.2,6.67
FIRM191,08/07/2024,Large,40,500+,>5B,Joint venture,Yes,Technology transfer,9,3,3,4,4,4,5,4,5,3.46,5,0,0,0,0,62.1,29,Yes,2,Moderate,37.5,2,3,5,2,15.03,8.92,8.3,76.6,2.8
FIRM192,31/07/2024,Large,40,251-500,500M-5B,Local,No,,0,2,2,2,4,3,3,2,2,0.31,1,0,0,0,0,62.4,34,No,4,Moderate,23.4,6,5,2,3,-5.0,-2.91,6.8,89.2,4.63
FIRM193,11/09/2024,Large,40,251-500,>5B,Joint venture,Yes,Joint venture,12,4,5,4,4,5,3,4,4,1.62,4,0,0,1,1,76.5,88,No,7,Difficult,10.9,3,3,5,5,12.23,6.01,12.4,81.9,7.27
FIRM194,11/07/2024,Large,29,500+,500M-5B,Foreign-owned,Yes,Equity,14,5,4,3,3,4,3,4,4,1.72,2,0,0,1,0,84.0,82,No,20,Easy,31.9,4,4,5,2,21.86,16.98,18.9,67.6,12.72
FIRM195,11/07/2024,Large,21,500+,>5B,Local,No,,0,3,3,4,1,3,3,1,4,0.45,1,0,0,0,1,51.6,18,No,16,Moderate,10.6,4,3,3,4,14.83,14.45,1.5,77.8,6.31
FIRM196,01/09/2024,Large,40,500+,500M-5B,Foreign-owned,Yes,Management contract,4,3,4,4,4,4,4,4,5,1.11,3,0,1,0,1,88.9,80,Yes,2,Easy,26.4,3,4,4,4,6.97,3.2,39.0,87.8,3.17
FIRM197,09/07/2024,Large,28,251-500,500M-5B,Foreign-owned,Yes,Equity,7,5,4,4,4,4,5,5,3,0.59,4,0,1,1,0,55.6,58,Yes,8,Easy,32.6,5,3,3,1,15.11,13.01,27.9,84.7,6.93
FIRM198,07/09/2024,Large,35,251-500,>5B,Foreign-owned,Yes,Joint venture,8,2,5,4,3,3,5,3,3,0.19,3,0,1,0,0,67.1,53,Yes,7,Easy,27.6,4,5,5,4,23.43,15.64,14.4,77.6,12.47
FIRM199,17/07/2024,Large,24,251-500,500M-5B,Foreign-owned,Yes,Equity,15,3,4,3,4,5,3,3,4,0.59,1,0,0,1,0,71.1,36,Yes,1,Moderate,40.0,4,3,4,2,12.69,11.89,16.3,59.1,6.23
FIRM200,17/07/2024,Large,32,251-500,>5B,Local,No,,0,3,2,5,4,2,3,2,2,0.43,2,0,0,0,1,90.0,19,No,23,Moderate,9.3,5,5,2,2,12.33,13.01,1.9,60.0,13.79
FIRM201,23/09/2024,Large,24,500+,500M-5B,Local,No,,0,3,3,3,3,2,3,2,4,0.08,3,1,1,0,0,58.5,35,No,8,Moderate,24.3,5,2,4,4,19.65,13.29,6.2,62.2,7.25
FIRM202,30/08/2024,Large,25,500+,>5B,Local,No,,0,3,3,4,3,4,4,4,4,0.56,2,1,0,1,0,43.4,32,Yes,2,Easy,25.1,3,5,5,1,9.83,3.84,12.1,72.9,10.39
FIRM203,09/09/2024,Large,32,500+,>5B,Local,No,,0,4,3,2,2,4,3,3,3,0.5,3,0,0,1,0,82.9,30,No,3,Easy,14.2,5,2,4,3,6.97,6.78,5.9,74.2,8.2
FIRM204,22/07/2024,Large,17,251-500,>5B,Joint venture,Yes,Equity,4,4,3,4,5,4,3,4,4,0.84,7,0,0,1,0,55.0,24,Yes,1,Moderate,15.8,6,4,4,7,18.06,13.09,6.7,63.2,13.46
FIRM205,03/08/2024,Large,17,500+,500M-5B,Foreign-owned,Yes,Technology transfer,7,4,5,4,4,4,4,5,5,1.07,4,0,1,1,1,60.7,65,Yes,2,Moderate,18.2,2,5,3,5,31.12,22.79,31.5,88.2,18.98
FIRM206,06/09/2024,Large,22,500+,500M-5B,Local,Yes,Joint venture,6,3,3,4,3,4,3,5,3,0.39,4,0,1,1,0,51.6,49,No,12,Moderate,16.2,5,4,2,2,18.68,12.4,37.1,65.4,5.68
FIRM207,16/09/2024,Large,27,500+,500M-5B,Foreign-owned,Yes,Joint venture,14,4,5,4,4,3,4,3,4,2.39,6,1,0,1,0,60.7,68,Yes,1,Easy,24.1,4,2,3,6,20.11,12.31,16.8,64.3,7.96
FIRM208,24/08/2024,Large,40,500+,>5B,Joint venture,Yes,Joint venture,8,4,3,4,4,3,3,4,3,2.36,3,0,0,1,0,54.9,93,No,7,Difficult,20.2,5,4,4,2,14.85,12.72,7.8,78.9,12.71
FIRM209,28/07/2024,Large,28,251-500,500M-5B,Foreign-owned,Yes,Equity,7,4,4,4,4,5,3,3,5,0.46,2,0,1,1,0,73.1,51,Yes,9,Moderate,27.5,3,3,3,3,22.23,16.2,13.7,87.7,8.35
FIRM210,08/09/2024,Large,29,251-500,>5B,Foreign-owned,Yes,Joint venture,7,4,5,5,5,4,5,3,2,0.48,7,0,1,0,0,66.0,63,Yes,6,Easy,30.2,6,3,5,2,25.96,15.28,18.2,95.0,2.39
