Sample_ID,Batch_ID,Ramp_Rate_C_per_min,Hold_Temperature_C,Hold_Time_hours,Cooling_Rate_C_per_min,Applied_Pressure_MPa,Atmosphere,Initial_Relative_Density,Initial_Porosity_percent,Initial_Mean_Pore_Size_um,Final_Relative_Density,Final_Porosity_percent,Mean_Grain_Size_um,Grain_Size_Std_um,Grain_Size_D10_um,Grain_Size_D90_um,Mean_Pore_Size_um,Pore_Size_Std_um,Pore_Connectivity_percent,GB_Thickness_nm,GB_Energy_J_per_m2,GB_Phase_Coverage_percent,Coordination_Number,Thermal_Load_C_hours,Densification_Percent,Grain_Growth_Factor
SINT_121,2,8.46,1419.7,3.77,14.26,30,Air,0.474,52.59,0.58,0.617,38.31,0.822,0.366,0.464,1.554,0.251,0.162,12.3,1.37,0.708,4.89,8.3,5.352269000000001,14.3,1.64
SINT_122,5,9.17,1485.8,2.59,5.17,15,Air,0.465,53.46,2.13,0.59,40.95,1.045,0.521,0.497,1.794,0.944,0.614,16.43,0.88,0.692,4.49,7.5,3.848222,12.5,2.09
SINT_123,4,4.54,1464.1,5.83,3.8,0,Nitrogen,0.589,41.07,1.42,0.702,29.8,1.364,0.436,0.757,2.683,0.549,0.274,8.3,1.18,0.731,3.49,9.9,8.535703,11.3,2.73
SINT_124,4,2.88,1312.0,5.13,11.89,20,Nitrogen,0.518,48.2,2.66,0.635,36.52,0.818,0.311,0.485,1.446,1.718,1.044,15.31,1.94,0.791,1.95,7.7,6.73056,11.7,1.64
SINT_125,3,3.82,1581.9,5.11,9.89,30,Vacuum,0.595,40.5,1.68,0.774,22.61,1.206,0.555,0.531,2.079,0.282,0.178,4.26,1.1,0.62,3.85,10.7,8.083509000000001,17.9,2.41
SINT_126,2,5.42,1495.2,3.08,13.1,30,Air,0.463,53.69,2.92,0.612,38.77,0.835,0.285,0.421,1.595,1.056,0.63,13.29,1.76,0.693,5.33,7.9,4.605216,14.9,1.67
SINT_127,4,8.54,1421.7,2.78,4.68,10,Argon,0.513,48.69,0.96,0.63,36.96,0.933,0.383,0.427,1.496,0.572,0.255,15.04,0.78,0.74,10.11,8.2,3.9523260000000002,11.7,1.87
SINT_128,3,8.89,1444.7,2.0,12.54,5,Nitrogen,0.558,44.21,2.67,0.657,34.34,0.889,0.397,0.496,1.426,1.554,1.03,9.68,1.51,0.781,0.94,9.1,2.8894,9.9,1.78
SINT_129,3,2.06,1367.8,0.81,5.42,5,Vacuum,0.608,39.19,2.44,0.687,31.26,0.576,0.244,0.297,0.998,1.993,1.119,9.74,1.97,0.772,3.16,9.4,1.1079180000000002,7.9,1.15
SINT_130,5,6.09,1299.1,5.26,4.96,10,Argon,0.514,48.62,2.43,0.637,36.29,0.85,0.287,0.448,1.379,1.606,0.778,12.87,0.65,0.802,12.14,8.3,6.833266,12.3,1.7
SINT_131,5,5.34,1342.4,4.97,4.97,25,Air,0.575,42.48,2.61,0.693,30.71,0.866,0.321,0.485,1.442,1.519,0.801,8.81,0.51,0.751,2.2,8.3,6.671728,11.8,1.73
SINT_132,3,3.78,1503.1,6.0,12.77,5,Vacuum,0.627,37.28,2.4,0.759,24.15,1.503,0.686,0.72,2.71,0.787,0.324,5.59,1.15,0.757,5.14,9.7,9.0186,13.2,3.01
SINT_133,5,2.96,1205.8,5.98,10.98,15,Nitrogen,0.573,42.68,2.07,0.677,32.3,0.79,0.325,0.461,1.645,2.025,0.887,10.56,0.64,0.818,12.97,8.8,7.2106840000000005,10.4,1.58
SINT_134,4,4.7,1246.4,3.55,9.28,0,Argon,0.497,50.34,0.83,0.588,41.24,0.794,0.239,0.402,1.543,0.795,0.501,14.71,1.62,0.74,2.32,7.4,4.424720000000001,9.1,1.59
SINT_135,1,9.54,1218.4,4.73,7.31,30,Nitrogen,0.455,54.51,0.58,0.584,41.58,0.561,0.254,0.242,1.071,0.497,0.199,17.79,1.87,0.863,1.24,6.8,5.763032000000001,12.9,1.12
SINT_136,4,4.59,1216.3,5.7,13.53,30,Air,0.624,37.6,2.8,0.719,28.1,0.61,0.187,0.329,1.083,2.347,1.232,8.86,1.15,0.829,7.27,10.7,6.93291,9.5,1.22
SINT_137,3,6.15,1542.2,5.17,7.71,15,Argon,0.454,54.57,2.04,0.628,37.25,1.366,0.614,0.763,2.95,0.562,0.313,15.32,0.89,0.65,4.54,8.8,7.973174,17.4,2.73
SINT_138,3,7.62,1481.5,1.86,12.8,5,Air,0.625,37.51,2.49,0.689,31.11,0.941,0.321,0.436,1.73,1.445,0.601,8.34,1.15,0.67,8.45,9.3,2.75559,6.4,1.88
SINT_139,4,4.91,1389.7,2.98,8.27,30,Air,0.556,44.42,1.7,0.672,32.75,0.726,0.357,0.415,1.199,0.832,0.575,9.22,1.59,0.744,12.06,8.8,4.141306,11.6,1.45
SINT_140,5,9.77,1239.1,1.21,7.52,20,Vacuum,0.638,36.22,0.79,0.709,29.11,0.437,0.163,0.254,0.861,0.7,0.327,7.69,0.51,0.808,2.06,9.2,1.4993109999999998,7.1,0.87
SINT_141,5,9.7,1396.6,5.75,8.55,0,Nitrogen,0.61,39.02,0.81,0.723,27.7,1.276,0.466,0.581,2.129,0.362,0.178,7.24,1.38,0.736,8.71,9.1,8.03045,11.3,2.55
SINT_142,3,4.01,1389.4,3.83,6.62,0,Argon,0.65,35.04,2.21,0.745,25.48,1.119,0.369,0.668,2.022,1.217,0.598,6.26,1.42,0.745,7.58,10.0,5.321402,9.5,2.24
SINT_143,2,5.98,1269.3,1.76,11.97,30,Air,0.52,47.99,1.58,0.59,41.02,0.45,0.162,0.192,0.856,1.389,0.652,18.03,1.46,0.859,2.16,7.6,2.233968,7.0,0.9
SINT_144,5,4.41,1373.5,4.19,9.03,10,Air,0.603,39.66,1.0,0.7,30.0,0.91,0.433,0.401,1.934,0.559,0.224,7.4,0.86,0.788,9.36,8.6,5.754965,9.7,1.82
SINT_145,4,4.28,1359.4,3.9,5.79,30,Argon,0.53,46.96,1.73,0.66,34.0,0.757,0.378,0.331,1.435,0.907,0.562,9.41,1.57,0.75,4.1,8.7,5.30166,13.0,1.51
SINT_146,5,2.3,1446.3,2.47,13.79,10,Air,0.546,45.4,0.66,0.642,35.75,0.96,0.359,0.556,1.94,0.34,0.234,12.23,0.64,0.755,7.32,8.2,3.5723610000000003,9.6,1.92
SINT_147,4,6.88,1454.0,1.12,7.61,30,Vacuum,0.576,42.45,1.95,0.701,29.95,0.56,0.218,0.297,1.23,1.041,0.486,9.68,0.8,0.653,1.23,8.3,1.6284800000000001,12.5,1.12
SINT_148,3,6.02,1218.1,4.19,9.52,20,Vacuum,0.625,37.53,1.17,0.734,26.59,0.688,0.306,0.296,1.155,1.053,0.631,6.2,1.82,0.813,6.89,9.3,5.103839,10.9,1.38
SINT_149,5,2.41,1349.8,3.36,13.88,25,Vacuum,0.647,35.32,2.49,0.741,25.86,0.677,0.323,0.33,1.194,1.534,0.955,7.07,1.61,0.834,4.6,9.7,4.535328,9.4,1.35
SINT_150,4,4.23,1450.3,4.75,10.49,0,Vacuum,0.604,39.63,1.28,0.726,27.44,1.357,0.568,0.71,2.493,0.616,0.403,6.8,0.52,0.695,12.34,10.6,6.888925,12.2,2.71
SINT_151,3,9.27,1401.3,3.36,4.4,30,Air,0.534,46.64,1.64,0.657,34.34,0.811,0.307,0.338,1.503,0.853,0.449,13.61,0.87,0.682,0.85,8.8,4.708367999999999,12.3,1.62
SINT_152,2,3.92,1542.6,5.19,14.28,20,Argon,0.534,46.57,0.53,0.702,29.82,1.246,0.477,0.718,2.301,0.118,0.058,10.3,0.82,0.639,6.28,8.6,8.006094000000001,16.8,2.49
SINT_153,4,3.16,1463.5,3.54,10.53,10,Argon,0.598,40.25,0.68,0.714,28.55,1.05,0.461,0.589,2.251,0.325,0.162,7.49,0.91,0.647,6.88,9.7,5.18079,11.6,2.1
SINT_154,2,5.92,1265.2,3.59,7.02,10,Argon,0.498,50.22,1.48,0.588,41.25,0.706,0.212,0.354,1.433,1.277,0.784,15.17,0.87,0.736,10.88,6.6,4.542068,9.0,1.41
SINT_155,2,9.89,1228.2,5.32,4.67,0,Argon,0.472,52.79,1.7,0.566,43.4,0.846,0.359,0.502,1.662,1.628,1.05,18.17,0.59,0.771,8.61,7.6,6.5340240000000005,9.4,1.69
SINT_156,1,3.94,1457.0,2.72,12.53,15,Nitrogen,0.521,47.91,2.0,0.643,35.69,0.898,0.333,0.434,1.603,0.955,0.434,11.41,1.19,0.633,10.01,8.1,3.9630400000000003,12.2,1.8
SINT_157,5,7.38,1210.6,1.24,10.44,30,Argon,0.507,49.26,1.23,0.593,40.72,0.393,0.18,0.234,0.823,1.177,0.602,17.72,1.6,0.797,11.66,7.4,1.5011439999999998,8.6,0.79
SINT_158,4,8.09,1434.3,0.66,9.4,5,Nitrogen,0.509,49.07,2.24,0.587,41.31,0.623,0.198,0.332,1.353,1.593,1.068,19.29,1.41,0.757,12.93,8.1,0.946638,7.8,1.25
SINT_159,2,3.9,1576.1,4.65,13.73,10,Nitrogen,0.497,50.33,2.65,0.655,34.52,1.517,0.633,0.799,3.174,0.635,0.407,12.74,1.51,0.614,4.71,7.8,7.3288649999999995,15.8,3.03
SINT_160,1,7.83,1430.2,3.91,12.46,25,Vacuum,0.458,54.16,2.45,0.643,35.72,0.966,0.383,0.418,1.546,0.987,0.686,14.42,0.62,0.79,8.07,7.6,5.592082,18.5,1.93
SINT_161,3,4.94,1355.3,4.37,4.82,25,Nitrogen,0.454,54.64,0.6,0.589,41.06,0.836,0.358,0.482,1.658,0.309,0.194,16.16,1.93,0.767,12.6,7.1,5.922661,13.5,1.67
SINT_162,4,7.06,1457.3,1.67,6.74,10,Air,0.648,35.25,1.7,0.731,26.94,0.894,0.28,0.434,1.459,0.98,0.507,6.26,1.76,0.755,14.84,10.2,2.4336909999999996,8.3,1.79
SINT_163,2,7.07,1383.3,1.25,5.98,15,Nitrogen,0.536,46.44,0.76,0.631,36.9,0.635,0.264,0.275,1.115,0.562,0.324,14.91,1.71,0.698,13.34,7.3,1.729125,9.5,1.27
SINT_164,5,6.29,1418.2,0.58,11.93,15,Vacuum,0.527,47.31,1.11,0.635,36.47,0.57,0.235,0.229,0.932,0.825,0.494,12.56,1.73,0.761,5.57,6.7,0.822556,10.8,1.14
SINT_165,1,2.72,1576.6,2.43,3.4,20,Nitrogen,0.586,41.41,2.97,0.711,28.91,1.113,0.459,0.57,2.185,0.94,0.398,8.93,1.9,0.604,2.93,9.1,3.8311379999999997,12.5,2.23
SINT_166,2,8.68,1354.4,3.74,9.84,25,Air,0.494,50.63,0.86,0.599,40.05,0.75,0.316,0.379,1.509,0.534,0.301,14.57,1.32,0.787,7.34,7.9,5.065456000000001,10.5,1.5
SINT_167,5,4.57,1584.5,2.66,12.15,20,Air,0.64,36.0,1.75,0.751,24.93,1.089,0.474,0.592,1.817,0.616,0.377,5.17,0.8,0.664,11.12,10.6,4.214770000000001,11.1,2.18
SINT_168,2,3.49,1562.1,2.91,13.52,25,Air,0.607,39.27,2.05,0.733,26.73,1.131,0.522,0.654,2.071,0.679,0.306,8.55,1.43,0.692,7.39,9.5,4.545711,12.6,2.26
SINT_169,4,2.33,1278.3,5.47,7.1,30,Vacuum,0.468,53.21,2.26,0.631,36.9,0.676,0.239,0.281,1.267,1.733,1.099,11.75,1.61,0.712,7.25,7.9,6.992300999999999,16.3,1.35
SINT_170,4,6.73,1227.7,2.42,12.86,30,Vacuum,0.534,46.65,1.9,0.633,36.7,0.458,0.213,0.25,0.835,1.762,1.013,16.1,1.61,0.745,12.57,8.7,2.971034,9.9,0.92
SINT_171,4,7.42,1240.3,3.33,4.33,5,Argon,0.626,37.42,0.52,0.701,29.89,0.723,0.289,0.316,1.209,0.51,0.35,10.64,1.28,0.815,5.42,8.3,4.130198999999999,7.5,1.45
SINT_172,1,2.13,1207.3,4.81,13.16,30,Vacuum,0.639,36.11,1.32,0.75,24.96,0.561,0.177,0.321,1.039,1.167,0.482,6.96,0.6,0.75,12.9,9.8,5.807112999999999,11.1,1.12
SINT_173,4,6.1,1237.8,2.68,4.53,5,Air,0.543,45.65,1.79,0.606,39.41,0.725,0.226,0.409,1.486,1.584,0.76,16.52,1.06,0.809,6.1,7.8,3.317304,6.3,1.45
SINT_174,5,3.81,1473.2,3.92,7.77,30,Air,0.573,42.73,0.72,0.704,29.6,0.945,0.347,0.48,1.552,0.237,0.137,9.03,1.88,0.629,4.92,9.5,5.7749440000000005,13.1,1.89
SINT_175,2,7.16,1228.5,5.24,12.57,0,Vacuum,0.483,51.66,1.38,0.603,39.72,0.908,0.415,0.492,1.496,1.172,0.573,18.08,1.38,0.832,6.81,7.4,6.43734,12.0,1.82
SINT_176,3,3.39,1327.6,5.72,4.8,30,Nitrogen,0.648,35.18,0.58,0.758,24.18,0.703,0.31,0.325,1.274,0.298,0.183,5.35,1.31,0.691,11.44,10.1,7.593871999999999,11.0,1.41
SINT_177,5,7.53,1538.0,1.31,5.75,20,Vacuum,0.496,50.37,0.7,0.633,36.66,0.841,0.385,0.416,1.821,0.356,0.223,13.26,0.9,0.701,1.89,6.9,2.01478,13.7,1.68
SINT_178,5,5.09,1209.3,5.6,11.67,10,Vacuum,0.639,36.15,1.49,0.731,26.88,0.766,0.309,0.432,1.533,1.52,0.655,7.57,1.05,0.828,2.95,9.4,6.772079999999999,9.2,1.53
SINT_179,4,9.49,1525.8,3.21,11.64,20,Air,0.58,42.01,0.83,0.685,31.54,1.005,0.39,0.494,2.017,0.296,0.164,9.6,1.84,0.643,14.27,9.2,4.897818,10.5,2.01
SINT_180,1,3.1,1312.7,1.92,10.69,10,Argon,0.572,42.85,1.92,0.648,35.24,0.659,0.217,0.311,1.198,1.378,0.762,12.06,1.5,0.787,2.63,7.9,2.520384,7.6,1.32
SINT_181,2,4.73,1247.3,3.03,11.33,15,Air,0.553,44.75,2.22,0.621,37.86,0.678,0.248,0.338,1.327,2.05,1.047,13.36,1.68,0.795,8.52,8.0,3.7793189999999997,6.8,1.36
SINT_182,1,2.91,1478.7,5.89,9.51,20,Argon,0.496,50.39,2.5,0.65,34.97,1.12,0.433,0.633,1.799,0.76,0.517,12.55,1.18,0.669,8.69,8.6,8.709543,15.4,2.24
SINT_183,2,9.4,1451.6,3.21,6.02,15,Air,0.485,51.47,1.0,0.605,39.52,1.003,0.319,0.468,1.988,0.449,0.291,17.81,1.45,0.655,7.34,7.5,4.659636,12.0,2.01
SINT_184,2,9.02,1551.0,2.31,7.15,5,Vacuum,0.494,50.59,0.92,0.634,36.59,1.176,0.405,0.511,2.525,0.41,0.25,11.79,0.87,0.57,9.67,8.2,3.58281,14.0,2.35
SINT_185,1,4.06,1494.0,3.98,5.18,5,Air,0.487,51.27,0.76,0.622,37.76,1.194,0.501,0.647,2.349,0.288,0.177,16.74,1.56,0.707,3.45,7.5,5.94612,13.5,2.39
SINT_186,5,7.28,1521.4,1.82,13.9,0,Air,0.606,39.41,2.09,0.698,30.16,1.091,0.488,0.617,2.318,1.057,0.569,9.78,1.14,0.601,8.29,9.1,2.7689480000000004,9.2,2.18
SINT_187,2,8.54,1312.8,0.92,10.0,30,Air,0.52,48.0,2.27,0.584,41.6,0.46,0.23,0.193,0.936,1.989,1.345,19.55,1.16,0.762,5.58,7.6,1.207776,6.4,0.92
SINT_188,1,6.44,1271.0,1.21,7.81,20,Vacuum,0.462,53.84,0.58,0.572,42.82,0.512,0.249,0.229,0.855,0.482,0.293,18.75,1.47,0.76,9.93,7.2,1.5379099999999999,11.0,1.02
SINT_189,2,6.24,1500.2,1.2,8.54,15,Vacuum,0.644,35.62,2.84,0.748,25.22,0.879,0.377,0.377,1.883,1.599,0.99,7.07,1.9,0.721,2.12,9.7,1.80024,10.4,1.76
SINT_190,3,3.93,1522.7,1.34,14.37,10,Vacuum,0.627,37.32,0.63,0.729,27.12,0.934,0.359,0.439,1.532,0.367,0.242,5.93,0.6,0.664,8.56,9.8,2.0404180000000003,10.2,1.87
SINT_191,5,2.74,1596.2,1.26,4.84,5,Vacuum,0.636,36.44,1.85,0.735,26.55,1.055,0.451,0.517,2.026,0.957,0.462,7.95,1.74,0.635,2.78,10.1,2.011212,9.9,2.11
SINT_192,4,9.18,1365.0,4.02,10.03,30,Argon,0.649,35.1,2.27,0.752,24.79,0.745,0.341,0.41,1.256,1.087,0.698,5.01,0.94,0.775,4.18,9.0,5.487299999999999,10.3,1.49
SINT_193,2,9.2,1348.8,1.5,9.07,5,Argon,0.485,51.52,2.68,0.578,42.18,0.717,0.232,0.38,1.153,1.868,0.856,20.57,1.17,0.761,3.28,7.8,2.0231999999999997,9.3,1.43
SINT_194,3,7.06,1510.6,2.4,10.34,10,Nitrogen,0.529,47.08,2.29,0.66,34.0,1.149,0.439,0.602,2.13,0.931,0.469,13.83,0.53,0.699,2.74,8.4,3.6254399999999998,13.1,2.3
SINT_195,4,4.71,1336.3,5.43,3.22,30,Vacuum,0.602,39.84,2.5,0.722,27.8,0.715,0.334,0.336,1.27,1.383,0.692,7.09,0.95,0.772,12.39,9.8,7.2561089999999995,12.0,1.43
SINT_196,4,4.79,1572.3,3.11,13.47,30,Argon,0.589,41.08,1.35,0.72,27.99,1.034,0.389,0.587,1.955,0.371,0.257,6.93,1.25,0.584,4.29,10.1,4.8898530000000004,13.1,2.07
SINT_197,2,7.81,1543.4,4.17,14.19,15,Air,0.481,51.92,2.54,0.629,37.1,1.224,0.507,0.605,2.382,0.701,0.461,15.22,0.58,0.709,13.91,7.4,6.435978,14.8,2.45
SINT_198,1,9.18,1371.6,1.45,9.78,15,Vacuum,0.613,38.68,0.7,0.702,29.84,0.651,0.272,0.388,1.058,0.535,0.327,8.03,1.24,0.766,14.55,8.9,1.9888199999999998,8.9,1.3
SINT_199,2,9.1,1500.3,1.56,11.36,20,Nitrogen,0.495,50.51,2.74,0.618,38.18,0.865,0.291,0.456,1.447,1.402,0.867,16.71,1.89,0.637,8.57,7.7,2.340468,12.3,1.73
SINT_200,3,8.24,1501.8,0.72,14.07,20,Nitrogen,0.495,50.52,1.87,0.604,39.61,0.662,0.246,0.281,1.28,1.116,0.635,13.2,0.66,0.675,2.15,7.3,1.0812959999999998,10.9,1.32
