firm_code,firm_size,survey_date,industrial_zone,response_time_minutes,years_operation,employees_category,revenue_category,ownership_type,has_fdi,fdi_equity,fdi_joint_venture,fdi_tech_transfer,fdi_mgmt_contract,years_fdi_partnership,ka_technical_manuals,ka_staff_training,ka_tech_adaptation,ka_knowledge_commercialization,ka_average,tp_production_efficiency,tp_quality_control,tp_order_fulfillment,tp_employee_productivity,tp_average,rd_spending_percent,new_products_3years,process_inn_iot,process_inn_automation,process_inn_quality,process_inn_other,innovation_score,hr_skilled_workforce_percent,hr_training_hours,tech_modern_equipment,tech_machinery_age,fin_access_credit,fin_reinvestment_rate,firm_resources_score,gp_tax_incentives,gp_regulatory_stability,gp_infrastructure_support,gp_ease_permits,gp_average,perf_roi,perf_roa,perf_export_intensity,perf_capacity_utilization,perf_market_share,performance_composite
SME063,SME,2025-07-07,Lagos Island,18.76581355010886,4.0,1.0,1.0,2.0,1,0.0,0.0,1.0,1.0,1.0,2.0,4.0,4.0,,3.25,4.0,2.0,3.0,4.0,3.25,2.0,3.0,0.0,1.0,1.0,1.0,1.8333333333333335,66.1,36.0,1.0,8.0,1.0,29.6,1.9305918426181183,4.0,3.0,4.0,4.0,3.75,13.4,8.8,20.6,95.0,21.5,40.0
SME064,SME,2025-05-14,Victoria Island,24.078168265350577,12.0,2.0,2.0,2.0,1,1.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,1.4,1.0,1.0,1.0,1.0,1.0,1.9833333333333334,56.6,39.0,1.0,7.0,2.0,35.9,1.8534472034623013,5.0,1.0,6.0,4.0,4.0,18.5,15.9,20.9,95.0,12.3,45.5
SME065,SME,2025-05-31,Agege,20.87901376520749,4.0,2.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,2.5,3.0,3.0,2.0,4.0,3.0,1.9,5.0,0.0,0.0,0.0,1.0,1.15,36.0,18.0,0.0,7.0,2.0,12.8,1.0858812320681273,,3.0,4.0,3.0,3.0,11.4,5.7,0.0,71.9,10.7,26.0
SME066,SME,2025-05-25,Ikeja,19.162761817909658,8.0,1.0,2.0,3.0,1,0.0,0.0,1.0,0.0,4.0,,3.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.1,8.0,1.0,0.0,1.0,0.0,2.0166666666666666,71.6,46.0,1.0,8.0,3.0,44.0,1.7578377714735887,3.0,5.0,5.0,6.0,4.75,31.4,23.8,2.8,95.0,9.7,53.1
SME067,SME,2025-04-22,Apapa,24.085608700252,10.0,2.0,2.0,1.0,1,0.0,,1.0,0.0,3.0,4.0,3.0,5.0,2.0,3.5,4.0,3.0,4.0,4.0,3.75,8.1,5.0,0.0,1.0,1.0,0.0,2.6,81.2,32.0,1.0,4.0,2.0,14.1,2.0737531698156872,3.0,3.0,4.0,,3.5,,16.3,16.6,95.0,10.6,47.3
SME068,SME,2025-04-22,Agege,25.51059612758981,6.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,0.5,5.0,0.0,,1.0,0.0,0.9166666666666667,65.1,38.0,1.0,11.0,3.0,5.9,1.1680790240898518,6.0,2.0,3.0,4.0,3.75,14.4,8.1,0.0,95.0,33.0,38.2
SME069,SME,2025-05-02,Ikorodu,28.835205959587682,10.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.5,0.2,4.0,0.0,0.0,1.0,0.0,0.7833333333333332,79.4,48.0,1.0,7.0,2.0,8.1,1.7999397318949637,1.0,1.0,3.0,2.0,1.75,14.2,9.5,0.0,95.0,41.4,40.7
SME070,SME,2025-09-15,Agege,22.51758034876927,8.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.5,3.0,3.0,5.0,4.0,3.75,1.1,4.0,0.0,1.0,0.0,0.0,0.9333333333333333,50.0,29.0,0.0,22.0,3.0,20.3,-0.17953360219903466,4.0,1.0,4.0,4.0,3.25,13.1,13.3,0.0,78.5,16.1,34.3
SME071,SME,2025-06-24,Oshodi,26.587889652518598,9.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,5.0,4.25,5.0,4.0,5.0,5.0,4.75,4.8,4.0,0.0,1.0,0.0,0.0,1.55,47.9,24.0,1.0,1.0,3.0,60.6,2.2051123425779955,4.0,6.0,6.0,4.0,5.0,29.4,20.9,11.3,95.0,25.3,55.0
SME072,SME,2025-06-19,Ikeja,19.848951552616192,7.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,2.0,3.25,2.0,3.0,3.0,3.0,2.75,0.2,5.0,0.0,0.0,1.0,0.0,0.8666666666666667,35.3,23.0,1.0,8.0,2.0,12.8,1.2977857088484617,3.0,3.0,5.0,3.0,3.5,23.3,18.7,0.0,94.6,16.9,46.4
SME073,SME,2025-08-07,Oshodi,21.24943650037851,3.0,1.0,1.0,3.0,1,0.0,1.0,1.0,0.0,6.0,3.0,2.0,3.0,5.0,3.25,5.0,4.0,,5.0,4.25,8.0,5.0,1.0,1.0,1.0,1.0,3.416666666666666,30.4,68.0,1.0,3.0,2.0,50.3,2.1627581218206746,3.0,,5.0,7.0,4.75,27.2,14.0,25.3,95.0,30.2,53.1
SME074,SME,2025-06-06,Apapa,25.93595121572184,6.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.25,0.4,1.0,1.0,1.0,1.0,1.0,1.8166666666666667,20.3,13.0,1.0,9.0,2.0,18.1,1.1344995067088217,3.0,4.0,5.0,2.0,3.5,20.8,16.1,0.0,95.0,13.5,42.9
SME075,SME,2025-05-06,Agege,23.679101417234268,6.0,2.0,3.0,1.0,1,0.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,5.0,3.5,5.0,4.0,3.0,3.0,3.75,2.5,7.0,1.0,0.0,1.0,0.0,1.8333333333333335,64.9,43.0,1.0,5.0,,27.6,1.9944134070682054,4.0,7.0,4.0,3.0,4.5,24.3,17.7,60.4,95.0,26.9,60.4
SME076,SME,2025-05-03,Mushin,19.834110018624614,3.0,1.0,1.0,2.0,1,1.0,1.0,,0.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,2.5,6.0,1.0,0.0,1.0,1.0,2.166666666666667,77.5,21.0,1.0,4.0,2.0,37.9,2.2292543084585157,2.0,1.0,,4.0,3.0,26.1,16.0,28.4,95.0,5.9,49.6
SME077,SME,2025-09-04,Ikorodu,23.53068293550882,4.0,1.0,1.0,1.0,1,1.0,,1.0,1.0,4.0,4.0,3.0,3.0,4.0,3.5,4.0,4.0,4.0,4.0,4.0,5.2,5.0,0.0,1.0,1.0,0.0,2.1166666666666667,81.4,32.0,1.0,16.0,2.0,32.2,1.2053076976451826,3.0,5.0,4.0,4.0,4.0,15.4,13.4,42.9,95.0,16.2,47.5
SME078,SME,2025-09-02,Ikeja,18.022618685937257,2.0,2.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,2.0,1.25,3.0,3.0,3.0,2.0,2.75,0.1,3.0,,1.0,,1.0,1.1,37.6,24.0,1.0,6.0,2.0,15.6,1.5393516847688395,1.0,2.0,4.0,4.0,2.75,5.0,4.8,0.0,91.0,5.8,25.1
SME079,SME,2025-05-13,Ikorodu,,2.0,1.0,2.0,3.0,1,0.0,0.0,,,1.0,4.0,5.0,3.0,5.0,4.25,3.0,4.0,4.0,4.0,3.75,5.6,4.0,0.0,1.0,1.0,0.0,2.1,60.9,52.0,1.0,14.0,1.0,47.5,1.5847128983035876,4.0,5.0,3.0,5.0,4.25,23.7,15.4,30.6,95.0,22.8,51.8
SME080,SME,2025-06-10,Ikeja,21.353171264295934,8.0,2.0,2.0,2.0,1,1.0,1.0,1.0,0.0,2.0,3.0,2.0,3.0,5.0,3.25,5.0,4.0,3.0,4.0,,4.1,9.0,1.0,1.0,1.0,1.0,3.1,45.2,42.0,1.0,6.0,2.0,14.7,1.6431824052887054,2.0,4.0,6.0,3.0,3.75,16.3,11.2,52.1,95.0,20.7,49.2
SME081,SME,2025-09-15,Ikorodu,,,1.0,1.0,3.0,1,0.0,1.0,1.0,,3.0,3.0,4.0,4.0,4.0,3.75,4.0,5.0,3.0,4.0,4.0,2.3,6.0,1.0,1.0,1.0,0.0,2.1333333333333333,78.7,24.0,1.0,5.0,3.0,11.3,1.780780095636825,4.0,5.0,3.0,4.0,4.0,22.4,11.9,42.1,95.0,26.3,51.8
SME082,SME,2025-07-27,Mushin,22.37221817715848,8.0,2.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.75,4.0,3.0,3.0,3.0,3.25,0.3,5.0,1.0,0.0,0.0,0.0,0.8833333333333333,68.3,21.0,0.0,14.0,2.0,29.1,0.8464593185069483,3.0,3.0,4.0,4.0,3.5,7.4,3.2,0.0,88.8,16.4,26.9
SME083,SME,2025-09-29,Mushin,20.446922281392357,6.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,,3.0,4.0,3.0,4.0,3.5,0.6,3.0,0.0,1.0,0.0,0.0,0.7666666666666666,44.0,35.0,1.0,5.0,1.0,14.8,1.8510407982814032,4.0,4.0,2.0,4.0,3.5,22.8,16.9,0.0,95.0,11.6,44.0
SME084,SME,2025-05-21,Apapa,24.42734820472576,3.0,2.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,2.75,2.0,3.0,3.0,3.0,,2.2,2.0,1.0,0.0,1.0,0.0,1.366666666666667,35.4,21.0,1.0,6.0,2.0,36.3,1.693887862628924,5.0,2.0,2.0,5.0,3.5,19.3,14.8,0.0,95.0,15.7,41.7
SME085,SME,2025-09-22,Victoria Island,25.636476065650992,4.0,2.0,2.0,3.0,1,0.0,0.0,1.0,0.0,1.0,5.0,3.0,2.0,3.0,3.25,3.0,4.0,4.0,5.0,4.0,3.9,6.0,1.0,1.0,0.0,0.0,1.9833333333333334,54.7,40.0,1.0,14.0,2.0,34.3,1.235271233370467,4.0,5.0,4.0,3.0,4.0,25.0,17.1,39.7,95.0,23.8,55.6
SME086,SME,2025-09-26,Oshodi,21.706040659837925,5.0,2.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.25,0.2,0.0,0.0,1.0,0.0,0.0,0.45000000000000007,65.1,23.0,1.0,6.0,2.0,22.3,1.8181347431266552,2.0,4.0,4.0,1.0,2.75,12.7,5.6,0.0,93.2,4.5,29.6
SME087,SME,2025-09-11,Victoria Island,22.448068604397356,8.0,1.0,1.0,1.0,1,1.0,0.0,1.0,1.0,1.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,2.0,5.0,3.5,3.5,8.0,1.0,0.0,1.0,1.0,2.5,70.1,56.0,1.0,6.0,1.0,9.3,1.9806944133650497,5.0,4.0,6.0,5.0,5.0,19.6,13.2,18.9,95.0,22.0,45.8
SME088,SME,2025-05-26,Oshodi,18.636268779716826,9.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.5,2.0,2.0,3.0,3.0,2.5,0.2,3.0,1.0,0.0,1.0,0.0,1.1166666666666665,60.7,13.0,1.0,6.0,2.0,47.4,1.9710234066472152,2.0,3.0,3.0,2.0,2.5,9.0,7.7,0.0,70.2,7.6,25.2
SME089,SME,2025-08-07,Lagos Island,22.305056186341893,6.0,2.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,2.25,3.0,4.0,3.0,4.0,3.5,0.4,5.0,1.0,0.0,1.0,0.0,1.3166666666666669,70.3,25.0,1.0,10.0,2.0,2.6,1.349513495498323,2.0,2.0,2.0,,2.25,12.2,9.2,0.0,95.0,19.2,35.0
SME090,SME,2025-08-20,Mushin,19.526163248695717,15.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.75,3.0,4.0,4.0,1.0,3.0,0.2,4.0,0.0,0.0,0.0,0.0,0.3666666666666667,63.8,22.0,1.0,7.0,3.0,11.1,1.4079771591303454,3.0,5.0,5.0,4.0,4.25,21.2,13.1,0.0,95.0,10.7,40.5
SME091,SME,2025-07-26,Lagos Island,23.62272555568297,,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,2.0,4.0,5.0,3.0,5.0,4.25,5.0,4.0,3.0,4.0,4.0,2.2,5.0,1.0,1.0,1.0,0.0,2.033333333333333,87.2,28.0,1.0,11.0,2.0,12.5,1.4908853093343186,4.0,3.0,4.0,3.0,3.5,18.1,14.6,65.4,95.0,35.6,58.0
SME092,SME,2025-04-25,Ikorodu,25.48851573260496,3.0,2.0,3.0,3.0,1,1.0,0.0,0.0,1.0,1.0,5.0,4.0,4.0,4.0,4.25,4.0,5.0,,5.0,4.25,1.8,4.0,0.0,1.0,1.0,1.0,1.8833333333333333,81.9,41.0,1.0,4.0,2.0,52.7,2.4157709526770663,3.0,2.0,4.0,4.0,3.25,23.2,17.6,30.8,95.0,9.6,50.4
SME093,SME,2025-06-23,Victoria Island,21.466246372586806,3.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,4.0,,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.75,0.5,7.0,0.0,1.0,0.0,1.0,1.5,39.2,12.0,,5.0,2.0,18.9,1.6401277277943114,4.0,3.0,5.0,5.0,4.25,23.1,14.2,0.0,95.0,11.0,42.3
SME094,SME,2025-09-13,Mushin,,3.0,1.0,1.0,3.0,1,0.0,1.0,1.0,0.0,7.0,4.0,4.0,4.0,5.0,4.25,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,0.0,1.0,1.0,2.0833333333333335,50.0,20.0,1.0,14.0,1.0,27.6,1.173122422683273,4.0,4.0,4.0,6.0,4.5,22.6,18.6,23.5,95.0,7.8,48.9
SME095,SME,2025-08-17,Apapa,19.80020471954094,4.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,3.75,,5.0,4.0,5.0,4.5,2.5,4.0,0.0,1.0,1.0,0.0,1.5833333333333333,39.0,30.0,1.0,7.0,3.0,53.9,1.6299904105299052,4.0,2.0,4.0,4.0,3.5,22.5,15.5,52.0,95.0,,54.0
SME096,SME,2025-07-19,Ikeja,21.150345883164302,5.0,2.0,2.0,1.0,0,0.0,0.0,,0.0,0.0,1.0,3.0,1.0,3.0,2.0,2.0,4.0,3.0,4.0,3.25,0.6,2.0,0.0,1.0,0.0,0.0,0.6833333333333335,69.0,17.0,0.0,14.0,1.0,22.5,0.988158879594344,4.0,4.0,5.0,4.0,4.25,14.0,7.8,0.0,83.6,18.8,32.7
SME097,SME,2025-05-16,Mushin,26.220804237675253,4.0,2.0,3.0,1.0,1,1.0,1.0,0.0,1.0,1.0,4.0,5.0,4.0,4.0,4.25,4.0,5.0,5.0,4.0,4.5,3.0,5.0,0.0,1.0,1.0,1.0,2.166666666666667,39.5,33.0,1.0,4.0,3.0,17.8,1.5486488713768545,6.0,5.0,4.0,4.0,4.75,22.0,14.3,21.2,95.0,10.1,45.8
SME098,SME,2025-05-16,Mushin,19.016714434600622,7.0,1.0,2.0,2.0,1,0.0,1.0,1.0,1.0,3.0,4.0,5.0,3.0,1.0,3.25,3.0,5.0,4.0,4.0,4.0,6.5,6.0,0.0,1.0,1.0,0.0,2.4166666666666665,35.9,78.0,1.0,,2.0,23.8,1.0211322885426029,,3.0,4.0,4.0,4.0,16.9,14.1,7.6,95.0,22.2,42.8
SME099,SME,2025-10-12,Apapa,19.376693054980244,6.0,1.0,2.0,3.0,1,0.0,1.0,1.0,0.0,1.0,4.0,3.0,4.0,4.0,3.75,3.0,4.0,4.0,4.0,3.75,7.1,2.0,1.0,1.0,1.0,1.0,3.016666666666667,62.5,27.0,1.0,2.0,3.0,64.5,2.3530398737675715,4.0,5.0,5.0,4.0,4.5,23.2,15.3,26.1,95.0,28.3,51.6
SME100,SME,2025-05-05,Ikeja,22.440805895160064,4.0,2.0,2.0,,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0,4.0,3.5,0.3,1.0,1.0,0.0,1.0,1.0,1.3833333333333333,34.6,17.0,1.0,14.0,3.0,14.6,0.6742841746361193,2.0,3.0,1.0,2.0,2.0,18.0,13.8,0.0,83.8,5.8,36.1
SME101,SME,2025-08-16,Apapa,20.665157108613492,4.0,2.0,2.0,3.0,1,1.0,0.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,3.5,5.0,4.0,4.0,3.0,4.0,5.6,5.0,1.0,0.0,,0.0,2.1833333333333336,58.1,37.0,1.0,6.0,1.0,58.7,2.2355822612931706,6.0,4.0,3.0,6.0,4.75,28.5,18.5,7.5,95.0,28.1,52.7
SME102,SME,2025-10-05,Ikorodu,21.412904406559296,10.0,1.0,1.0,1.0,1,0.0,1.0,1.0,0.0,2.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.25,1.7,5.0,1.0,1.0,1.0,1.0,2.3666666666666667,65.9,23.0,1.0,6.0,2.0,20.6,1.827274755665755,3.0,5.0,4.0,2.0,3.5,15.3,9.1,33.6,95.0,14.3,42.3
SME103,SME,2025-09-25,Mushin,24.2006434405176,4.0,2.0,3.0,1.0,0,,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,2.75,,3.0,2.0,5.0,3.25,0.3,3.0,0.0,1.0,1.0,0.0,1.1333333333333333,27.8,30.0,1.0,5.0,2.0,11.5,1.5147370395171735,4.0,2.0,4.0,5.0,3.75,13.2,9.2,0.0,76.9,16.3,31.4
SME104,SME,2025-08-03,Victoria Island,21.335095340287587,7.0,1.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.5,3.0,4.0,3.0,2.0,3.0,0.3,5.0,0.0,0.0,0.0,1.0,0.8833333333333333,31.7,46.0,1.0,7.0,2.0,3.3,1.39513825495962,4.0,3.0,4.0,4.0,3.75,11.5,8.0,0.0,95.0,27.5,35.6
SME105,SME,2025-08-20,Oshodi,19.882679550713906,7.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,2.5,4.0,3.0,3.0,4.0,3.5,0.5,2.0,1.0,0.0,1.0,0.0,1.0833333333333335,45.2,23.0,1.0,3.0,2.0,30.3,1.9854165904744165,2.0,4.0,3.0,3.0,3.0,15.7,11.3,0.0,95.0,15.5,37.5
SME106,SME,2025-05-20,Victoria Island,23.177902346952905,7.0,1.0,2.0,2.0,1,1.0,0.0,0.0,0.0,1.0,4.0,3.0,4.0,4.0,3.75,5.0,5.0,3.0,4.0,4.25,5.9,5.0,1.0,1.0,0.0,0.0,2.2333333333333334,93.9,43.0,0.0,19.0,3.0,27.8,0.5585409506205404,4.0,3.0,5.0,6.0,4.5,16.3,7.7,24.3,95.0,26.0,42.3
SME107,SME,2025-08-12,Victoria Island,17.8169329999923,5.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,2.75,2.0,4.0,4.0,3.0,3.25,0.2,5.0,0.0,0.0,0.0,0.0,0.45000000000000007,37.8,20.0,0.0,16.0,2.0,15.0,0.3683924565076355,4.0,7.0,2.0,3.0,4.0,,13.0,0.0,95.0,31.7,42.5
SME108,SME,2025-07-01,Mushin,22.923497117541654,16.0,1.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,3.5,,4.0,0.0,0.0,0.0,0.0,0.5333333333333333,44.7,12.0,1.0,4.0,2.0,9.6,1.6373947852989186,3.0,4.0,4.0,5.0,4.0,17.8,9.2,0.0,95.0,20.7,38.2
SME109,SME,2025-09-19,Apapa,24.350076131572095,8.0,2.0,2.0,1.0,1,1.0,1.0,1.0,0.0,1.0,4.0,2.0,3.0,5.0,3.5,4.0,3.0,5.0,4.0,4.0,5.3,4.0,0.0,1.0,0.0,1.0,2.05,57.2,33.0,1.0,6.0,3.0,43.5,1.8018358237650647,3.0,4.0,3.0,4.0,3.5,26.0,15.0,20.3,95.0,,54.5
SME110,SME,2025-04-28,Lagos Island,18.98343995645411,3.0,1.0,1.0,2.0,1,1.0,1.0,0.0,1.0,1.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,5.0,4.0,4.25,1.2,8.0,1.0,0.0,1.0,0.0,1.7000000000000002,57.8,28.0,1.0,,2.0,21.0,2.017768922183284,3.0,4.0,5.0,5.0,4.25,35.3,20.2,42.0,95.0,45.6,67.6
SME111,SME,2025-07-15,Lagos Island,19.347132991035046,12.0,2.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,2.25,2.0,4.0,2.0,4.0,3.0,0.6,3.0,0.0,0.0,0.0,0.0,0.35,47.0,30.0,1.0,6.0,2.0,25.6,1.7323169314687974,3.0,3.0,1.0,3.0,2.5,8.4,5.9,0.0,73.6,25.3,27.9
SME112,SME,2025-06-30,Victoria Island,24.89172080222759,6.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,2.5,1.0,3.0,3.0,3.0,2.5,0.2,5.0,0.0,0.0,1.0,0.0,0.8666666666666667,78.0,18.0,0.0,13.0,2.0,37.8,1.091847936086425,4.0,4.0,3.0,4.0,3.75,22.1,16.2,0.0,83.1,23.4,43.1
SME113,SME,2025-09-30,Apapa,18.128431818126128,4.0,2.0,3.0,3.0,1,1.0,0.0,1.0,1.0,5.0,5.0,3.0,3.0,4.0,3.75,4.0,4.0,5.0,2.0,3.75,8.0,7.0,1.0,1.0,,0.0,2.7499999999999996,65.8,,1.0,9.0,,28.3,1.6321475548131208,3.0,3.0,2.0,3.0,2.75,17.2,13.5,17.4,95.0,24.5,45.0
SME114,SME,2025-09-28,Lagos Island,25.946524872820312,7.0,2.0,3.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,2.5,4.0,2.0,2.0,5.0,3.25,1.0,4.0,0.0,0.0,0.0,1.0,0.9166666666666667,72.5,37.0,1.0,6.0,2.0,21.9,1.8936221017637374,6.0,4.0,3.0,4.0,4.25,15.3,10.9,0.0,92.5,19.3,37.3
SME115,SME,2025-07-19,Apapa,16.12798423259803,6.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,2.5,1.0,4.0,4.0,3.0,3.0,0.1,3.0,1.0,1.0,0.0,0.0,1.1,45.7,29.0,0.0,17.0,3.0,21.6,0.2732381724765313,3.0,4.0,3.0,5.0,3.75,15.5,11.0,0.0,78.0,9.6,32.6
SME116,SME,2025-08-11,Mushin,,3.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.5,1.5,5.0,0.0,1.0,1.0,0.0,1.5,37.3,48.0,1.0,8.0,3.0,4.2,1.1381810634066187,3.0,5.0,3.0,4.0,3.75,17.6,12.3,0.0,91.1,24.5,40.1
SME117,SME,2025-08-26,Victoria Island,17.691238405215646,4.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0,2.75,3.0,3.0,4.0,4.0,3.5,1.4,3.0,0.0,1.0,0.0,0.0,0.9000000000000001,31.6,19.0,0.0,10.0,3.0,20.5,0.6552546259038246,3.0,3.0,3.0,3.0,3.0,14.8,6.3,0.0,95.0,46.2,39.9
SME118,SME,2025-09-08,Lagos Island,25.840645818152385,5.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,2.75,4.0,3.0,4.0,2.0,3.25,0.1,0.0,1.0,0.0,0.0,0.0,0.43333333333333335,60.1,25.0,0.0,14.0,3.0,13.0,0.5154440576562944,3.0,4.0,4.0,2.0,3.25,14.7,7.4,0.0,70.0,16.2,29.5
SME119,SME,2025-08-28,Agege,24.26469749964965,6.0,2.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,0.3,2.0,1.0,0.0,1.0,0.0,1.05,34.3,22.0,0.0,11.0,2.0,24.9,0.7876392271446256,4.0,5.0,2.0,4.0,3.75,14.8,13.6,0.0,79.0,68.3,45.9
SME120,SME,2025-06-17,Mushin,27.553162530549297,5.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,,3.0,2.0,3.0,2.0,2.5,3.0,5.0,4.0,3.0,3.75,0.4,3.0,1.0,1.0,1.0,0.0,1.5666666666666664,35.6,47.0,,2.0,3.0,36.1,1.880468271422542,6.0,2.0,1.0,4.0,3.25,18.0,14.0,0.0,95.0,44.9,46.3
SME121,SME,2025-09-24,Victoria Island,20.226165971890882,2.0,1.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,3.0,2.75,3.0,4.0,3.0,2.0,3.0,0.4,1.0,0.0,1.0,1.0,0.0,0.9833333333333333,33.2,18.0,0.0,11.0,3.0,7.8,0.44682188770044934,2.0,4.0,6.0,4.0,4.0,8.7,6.3,0.0,80.0,,25.2
SME122,SME,2025-05-26,Apapa,17.827317606223687,4.0,1.0,1.0,3.0,1,0.0,0.0,1.0,1.0,5.0,5.0,4.0,5.0,4.0,4.5,2.0,4.0,5.0,4.0,3.75,2.8,7.0,1.0,0.0,1.0,1.0,2.3,47.9,33.0,1.0,4.0,2.0,40.2,2.0468046959508475,5.0,3.0,4.0,3.0,3.75,35.7,25.6,9.0,95.0,34.3,62.6
SME123,SME,2025-10-01,Ikeja,17.366698455255268,10.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,2.75,4.0,4.0,4.0,,3.75,0.6,3.0,0.0,0.0,1.0,0.0,0.7666666666666666,52.9,18.0,1.0,6.0,2.0,8.5,1.572598127949029,4.0,5.0,5.0,4.0,4.5,12.8,7.3,0.0,95.0,10.5,32.4
SME124,SME,2025-09-20,Mushin,23.49581445546169,9.0,1.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,2.75,4.0,2.0,4.0,3.0,3.25,0.3,2.0,1.0,0.0,0.0,0.0,0.6333333333333334,71.1,26.0,1.0,11.0,3.0,12.2,1.2157727681241854,6.0,3.0,3.0,4.0,4.0,20.8,11.5,0.0,72.7,11.8,35.0
SME125,SME,2025-09-01,Lagos Island,20.463114561217083,2.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,,5.0,3.0,3.75,0.6,3.0,1.0,1.0,1.0,0.0,1.6,40.6,25.0,1.0,6.0,2.0,21.8,1.5627137975366636,4.0,5.0,3.0,4.0,,9.4,7.0,0.0,95.0,40.0,36.4
SME126,SME,2025-06-11,Victoria Island,17.99029449905524,11.0,1.0,1.0,2.0,1,1.0,1.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,3.25,4.0,4.0,4.0,4.0,4.0,3.3,2.0,1.0,0.0,1.0,1.0,1.9666666666666666,83.7,38.0,1.0,4.0,1.0,13.1,2.24267942246413,3.0,4.0,2.0,3.0,3.0,15.9,,48.5,95.0,48.7,55.0
