firm_id,survey_date,location,firm_age_years,firm_size_category,num_employees,total_assets_million_ngn,subsector,ownership_type,has_fdi,years_fdi_involvement,knowledge_absorption,task_performance,innovation_capability,skilled_labor_ratio_pct,iot_automation_use,rd_expenditure_pct_revenue,liquidity_ratio,tax_incentives_effectiveness,regulatory_stability,infrastructure_support,corruption_experience,policy_effectiveness_index,roi_percent,roa_percent,export_intensity_pct,market_share_pct,operational_efficiency
FIRM_0104,2024-02-15 00:34:41.927710843,Agbara,3,Medium,78,107.67,Meat Processing,Joint Venture,1,3,3.98,3.73,3.92,42.5,3.15,5.13,1.45,3.78,6.31,3.82,3.29,4.69,21.33,23.36,41.76,5.66,4.2
FIRM_0105,2024-02-15 07:48:26.024096385,Apapa,8,Small,13,17.94,Dairy Products,Fully Local,1,8,3.14,3.88,4.0,42.1,2.95,4.93,1.43,4.52,3.74,1.0,5.8,3.06,17.93,10.27,29.07,18.28,5.0
FIRM_0106,2024-02-15 15:02:10.120481927,Ilupeju,8,Medium,187,465.74,Dairy Products,Joint Venture,1,4,3.58,3.7,3.43,42.2,3.95,5.03,2.35,6.15,3.83,6.2,3.4,5.23,25.66,14.83,39.88,22.71,4.86
FIRM_0107,2024-02-15 22:15:54.216867470,Ilupeju,3,Large,433,369.26,Meat Processing,Foreign-Owned,1,3,3.79,3.76,3.66,45.0,3.42,3.91,2.09,2.46,3.77,3.05,3.78,3.27,22.55,18.17,42.75,14.69,3.86
FIRM_0108,2024-02-16 05:29:38.313253012,Isolo,3,Medium,194,343.52,Dairy Products,Fully Local,0,0,2.7,2.76,2.81,25.6,2.53,1.95,1.33,6.78,3.82,5.17,1.0,5.52,7.19,15.11,18.29,6.82,3.54
FIRM_0109,2024-02-16 12:43:22.409638554,Ikorodu,3,Small,19,25.51,Fruit & Vegetable Processing,Joint Venture,1,3,3.49,3.16,3.18,26.6,1.81,3.56,0.62,3.28,3.66,2.68,3.56,3.42,21.43,16.82,32.46,6.85,2.79
FIRM_0110,2024-02-16 19:57:06.506024096,Ikorodu,3,Medium,66,112.98,Beverages,Fully Local,0,0,2.95,2.51,2.84,22.8,1.15,0.81,1.1,6.09,6.27,5.43,2.73,5.85,24.2,13.52,18.43,11.01,3.5
FIRM_0111,2024-02-17 03:10:50.602409638,Ilupeju,29,Medium,133,198.3,Oil & Fats,Family Business,0,0,2.64,3.32,2.65,26.9,1.16,1.15,2.63,7.0,7.0,6.29,3.37,6.47,16.52,12.72,22.24,22.78,4.33
FIRM_0112,2024-02-17 10:24:34.698795180,Ikeja Industrial Estate,29,Medium,118,546.97,Bakery & Confectionery,Joint Venture,1,9,3.98,3.62,3.76,53.3,3.24,3.44,1.76,4.75,6.1,2.91,4.18,4.56,19.27,16.79,53.13,20.89,5.0
FIRM_0113,2024-02-17 17:38:18.795180723,Ilupeju,8,Large,795,1887.0,Bakery & Confectionery,Foreign-Owned,1,8,3.62,3.71,3.95,42.6,4.62,5.23,2.19,3.87,3.4,4.0,5.94,3.49,20.36,12.13,38.31,22.39,4.78
FIRM_0114,2024-02-18 00:52:02.891566265,Isolo,29,Small,15,40.11,Dairy Products,Joint Venture,1,8,3.34,3.49,2.72,76.9,3.24,3.61,2.41,6.08,6.18,2.93,3.91,5.03,19.97,13.88,36.78,22.68,4.5
FIRM_0115,2024-02-18 08:05:46.987951807,Isolo,29,Large,302,1312.36,Beverages,Fully Local,1,4,3.94,3.5,4.27,53.9,3.87,4.58,1.97,2.32,3.03,2.22,3.51,2.83,21.98,18.84,41.15,19.55,3.91
FIRM_0116,2024-02-18 15:19:31.084337349,Oshodi,3,Large,699,1224.28,Beverages,Joint Venture,1,3,3.55,3.7,3.34,29.6,3.8,3.05,1.34,7.0,7.0,4.26,1.29,6.27,16.7,20.97,50.75,23.57,4.74
FIRM_0117,2024-02-18 22:33:15.180722891,Ikeja Industrial Estate,29,Small,22,96.74,Dairy Products,Family Business,0,0,3.06,3.24,2.74,35.2,1.87,0.0,0.56,5.32,3.89,2.29,4.09,3.92,12.52,13.65,13.14,13.55,3.47
FIRM_0118,2024-02-19 05:46:59.277108433,Isolo,8,Small,20,20.64,Other Food Products,Joint Venture,1,5,3.76,4.0,3.28,44.9,1.97,6.68,1.87,4.39,4.22,3.35,3.11,4.15,27.56,10.91,36.09,12.13,5.0
FIRM_0119,2024-02-19 13:00:43.373493976,Ikeja Industrial Estate,29,Small,32,125.76,Dairy Products,Foreign-Owned,1,19,3.84,3.4,3.86,68.4,4.03,5.28,1.51,5.32,4.47,1.0,4.5,3.71,18.76,15.89,32.94,16.05,4.16
FIRM_0120,2024-02-19 20:14:27.469879518,Agbara,29,Small,25,96.69,Fruit & Vegetable Processing,Foreign-Owned,1,8,3.33,3.59,3.07,45.7,3.01,2.78,1.9,4.79,4.78,3.34,2.42,4.54,26.12,12.15,32.7,15.4,4.13
FIRM_0121,2024-02-20 03:28:11.566265060,Apapa,8,Small,40,76.3,Beverages,Fully Local,0,0,1.75,3.33,1.89,9.1,1.42,0.0,0.8,6.0,5.0,4.54,5.05,4.88,16.36,14.37,20.48,5.67,2.49
FIRM_0122,2024-02-20 10:41:55.662650602,Oshodi,3,Medium,167,289.77,Grain Milling,Fully Local,0,0,2.95,3.55,2.34,31.5,2.88,0.55,1.16,3.3,4.65,2.36,1.89,3.89,10.31,11.25,17.48,15.9,3.68
FIRM_0123,2024-02-20 17:55:39.759036144,Ikeja Industrial Estate,3,Small,25,60.51,Beverages,Joint Venture,1,3,3.64,3.34,3.03,23.1,2.06,5.24,1.55,5.93,4.23,6.18,4.88,5.06,23.31,12.22,47.08,4.22,4.59
FIRM_0124,2024-02-21 01:09:23.855421686,Ilupeju,8,Small,17,43.18,Oil & Fats,Fully Local,0,0,2.35,2.86,2.61,20.3,1.0,0.0,1.4,2.18,1.0,3.52,4.59,2.35,12.8,9.81,17.4,4.17,2.71
FIRM_0125,2024-02-21 08:23:07.951807229,Oshodi,29,Medium,181,517.41,Meat Processing,Foreign-Owned,1,7,3.97,3.62,3.3,50.5,2.89,3.26,1.42,3.83,6.49,2.85,1.99,4.71,20.46,14.8,41.42,29.21,3.92
FIRM_0126,2024-02-21 15:36:52.048192771,Apapa,29,Small,49,84.52,Oil & Fats,Family Business,0,0,2.92,3.36,2.59,36.1,2.01,2.81,2.01,5.85,3.68,4.6,4.99,4.46,19.84,18.46,13.52,20.16,4.34
FIRM_0127,2024-02-21 22:50:36.144578313,Agbara,3,Medium,181,473.08,Dairy Products,Fully Local,0,0,3.4,2.97,2.6,30.4,2.22,0.0,1.03,5.56,5.94,6.3,2.9,5.79,21.77,12.5,19.97,0.5,3.4
FIRM_0128,2024-02-22 06:04:20.240963855,Isolo,8,Small,34,99.9,Grain Milling,Fully Local,0,0,3.39,2.53,2.68,18.0,2.14,0.0,0.63,1.66,4.16,1.98,6.56,2.46,17.11,6.32,11.44,5.78,3.88
FIRM_0129,2024-02-22 13:18:04.337349397,Isolo,8,Small,12,12.78,Fruit & Vegetable Processing,Foreign-Owned,1,8,3.05,3.29,2.56,36.9,4.39,6.76,1.55,1.95,1.44,1.0,6.57,1.48,20.58,5.41,32.71,0.5,3.2
FIRM_0130,2024-02-22 20:31:48.433734939,Apapa,3,Medium,145,303.38,Oil & Fats,Fully Local,1,3,3.67,3.75,4.04,38.0,1.73,5.18,1.58,3.54,1.42,2.41,7.0,2.24,19.64,13.42,28.21,6.01,3.54
FIRM_0131,2024-02-23 03:45:32.530120482,Ilupeju,3,Medium,244,490.51,Fruit & Vegetable Processing,Foreign-Owned,1,3,3.35,3.53,3.16,40.6,3.67,3.15,1.65,3.79,2.4,1.72,6.33,2.54,12.53,11.82,29.06,0.5,3.19
FIRM_0132,2024-02-23 10:59:16.626506024,Isolo,8,Large,916,1795.02,Beverages,Fully Local,0,0,3.32,3.02,3.32,34.6,3.39,0.49,2.02,5.72,3.15,4.67,2.19,4.7,18.88,11.23,28.75,21.92,4.34
FIRM_0133,2024-02-23 18:13:00.722891566,Ilupeju,29,Medium,142,432.09,Fruit & Vegetable Processing,Joint Venture,1,6,3.97,3.91,3.76,57.1,3.11,3.46,1.76,7.0,5.21,5.8,2.59,5.93,37.78,23.16,42.27,12.86,5.0
FIRM_0134,2024-02-24 01:26:44.819277108,Oshodi,8,Medium,209,271.34,Beverages,Fully Local,0,0,2.69,2.84,2.6,35.0,1.73,0.0,1.28,3.03,4.38,3.13,5.23,3.42,18.61,13.57,13.93,11.23,3.96
FIRM_0135,2024-02-24 08:40:28.915662650,Ilupeju,8,Small,28,21.49,Dairy Products,Joint Venture,1,8,3.36,3.35,3.04,43.7,2.34,5.75,1.15,5.02,4.84,3.81,1.52,4.88,30.44,15.57,37.22,1.15,3.75
FIRM_0136,2024-02-24 15:54:13.012048192,Apapa,8,Small,30,38.53,Dairy Products,Joint Venture,1,8,3.68,4.09,3.75,44.3,3.9,4.2,1.92,3.87,2.01,3.77,2.99,3.46,27.19,20.38,30.94,10.92,4.73
FIRM_0137,2024-02-24 23:07:57.108433735,Apapa,8,Medium,54,118.35,Bakery & Confectionery,Joint Venture,1,8,3.4,3.68,3.24,24.2,3.45,4.7,1.67,3.77,5.5,3.77,3.71,4.37,21.95,17.7,32.42,7.98,3.99
FIRM_0138,2024-02-25 06:21:41.204819277,Ikeja Industrial Estate,29,Medium,141,156.46,Bakery & Confectionery,Fully Local,1,11,3.56,3.93,3.11,53.2,3.47,6.39,1.69,3.68,3.42,1.92,1.66,3.56,22.17,13.29,32.92,25.31,4.79
FIRM_0139,2024-02-25 13:35:25.301204819,Apapa,29,Large,931,1863.63,Grain Milling,Foreign-Owned,1,15,3.95,4.16,3.74,65.4,5.0,4.18,1.25,4.32,5.04,4.06,4.55,4.34,24.45,15.48,50.26,37.59,4.9
FIRM_0140,2024-02-25 20:49:09.397590361,Oshodi,3,Medium,110,112.03,Bakery & Confectionery,Foreign-Owned,1,3,3.76,3.81,3.32,45.1,2.09,3.2,2.13,1.7,1.53,1.0,3.41,1.91,10.23,15.34,28.99,13.67,2.16
FIRM_0141,2024-02-26 04:02:53.493975903,Agbara,8,Small,31,67.74,Other Food Products,Fully Local,0,0,2.83,2.86,2.3,17.9,1.0,0.26,0.81,4.46,2.96,3.24,3.75,3.67,14.74,11.91,13.78,6.49,2.98
FIRM_0142,2024-02-26 11:16:37.590361445,Apapa,8,Medium,198,506.02,Meat Processing,Fully Local,0,0,2.44,3.1,2.39,19.9,1.0,2.85,1.09,3.91,3.97,3.19,5.17,3.59,19.94,11.58,16.76,20.54,3.99
FIRM_0143,2024-02-26 18:30:21.686746988,Other,3,Small,15,16.77,Bakery & Confectionery,Fully Local,1,3,3.25,3.64,3.55,31.1,2.36,5.6,1.68,3.97,4.34,3.76,2.49,4.26,18.25,12.92,33.88,0.5,4.19
FIRM_0144,2024-02-27 01:44:05.783132530,Ilupeju,3,Large,762,958.46,Oil & Fats,Joint Venture,1,3,3.99,3.26,4.16,49.7,4.59,4.0,1.21,4.0,2.4,3.05,6.07,2.97,22.56,17.59,49.43,12.99,3.55
FIRM_0145,2024-02-27 08:57:49.879518072,Alimosho,8,Large,894,1783.82,Beverages,Joint Venture,1,8,3.7,3.87,3.79,58.8,4.94,5.22,1.17,3.66,5.27,5.18,2.3,4.83,28.33,16.56,45.32,22.97,4.24
FIRM_0146,2024-02-27 16:11:33.975903614,Oshodi,8,Medium,61,118.74,Fruit & Vegetable Processing,Joint Venture,1,8,3.52,3.48,3.27,36.0,3.05,4.1,0.75,2.79,1.91,1.6,6.59,2.02,13.01,12.14,29.9,21.4,2.62
FIRM_0147,2024-02-27 23:25:18.072289156,Oshodi,3,Medium,139,149.1,Fruit & Vegetable Processing,Fully Local,0,0,2.36,3.02,1.98,32.2,1.02,2.34,1.55,4.12,1.58,6.03,4.79,3.7,13.32,15.43,22.35,6.78,3.48
FIRM_0148,2024-02-28 06:39:02.168674698,Ikeja Industrial Estate,3,Medium,95,107.62,Beverages,Fully Local,0,0,2.61,2.96,2.21,23.9,2.25,0.0,1.03,4.96,6.18,4.82,1.0,5.6,13.92,11.23,22.0,6.52,5.0
FIRM_0149,2024-02-28 13:52:46.265060241,Apapa,29,Small,43,72.46,Bakery & Confectionery,Joint Venture,1,10,3.23,3.51,3.19,50.5,3.38,3.87,3.01,2.2,1.72,2.22,7.0,1.88,14.33,8.51,24.34,8.73,4.07
FIRM_0150,2024-02-28 21:06:30.361445783,Ikeja Industrial Estate,3,Large,327,331.12,Other Food Products,Joint Venture,1,3,3.76,3.86,3.34,37.8,3.94,6.08,1.2,5.38,3.08,4.08,3.81,4.18,16.85,13.38,37.08,17.78,5.0
FIRM_0151,2024-02-29 04:20:14.457831325,Oshodi,3,Medium,94,158.85,Other Food Products,Family Business,0,0,2.91,3.19,2.37,30.1,1.0,0.03,0.88,3.11,1.86,6.31,2.58,3.88,12.18,14.58,18.89,12.63,4.05
FIRM_0152,2024-02-29 11:33:58.554216867,Apapa,8,Medium,204,318.07,Beverages,Fully Local,0,0,2.84,2.9,2.76,29.8,2.28,0.7,1.1,2.42,4.93,1.64,3.03,3.36,21.87,12.73,13.57,15.06,4.12
FIRM_0153,2024-02-29 18:47:42.650602409,Agbara,29,Small,18,86.31,Bakery & Confectionery,Joint Venture,1,18,3.8,3.88,3.57,74.3,2.46,3.3,1.93,6.07,1.45,1.67,4.42,3.21,17.13,15.27,37.48,13.29,5.0
FIRM_0154,2024-03-01 02:01:26.746987951,Apapa,3,Large,498,518.06,Beverages,Fully Local,0,0,3.15,3.29,2.92,18.1,2.45,0.4,1.15,3.24,4.05,3.02,3.56,3.61,17.61,11.15,23.95,11.04,3.91
FIRM_0155,2024-03-01 09:15:10.843373494,Agbara,8,Small,31,71.19,Dairy Products,Fully Local,0,0,2.76,2.61,2.31,30.0,2.01,0.0,1.54,1.29,3.44,2.17,5.49,2.34,11.92,11.7,15.59,1.47,3.22
FIRM_0156,2024-03-01 16:28:54.939759036,Ikeja Industrial Estate,8,Small,39,70.59,Dairy Products,Foreign-Owned,1,3,3.51,3.62,3.22,34.6,2.96,7.12,1.21,5.15,4.63,2.19,3.19,4.2,25.55,13.06,31.97,10.26,4.64
FIRM_0157,2024-03-01 23:42:39.036144578,Ikeja Industrial Estate,3,Large,356,250.42,Bakery & Confectionery,Joint Venture,1,2,3.76,3.4,4.21,31.6,3.05,4.45,1.05,1.0,2.55,2.45,5.9,1.99,23.01,14.26,34.38,8.5,4.42
FIRM_0158,2024-03-02 06:56:23.132530120,Apapa,8,Small,26,57.69,Fruit & Vegetable Processing,Family Business,0,0,2.76,2.62,2.87,24.7,1.68,0.77,0.58,5.04,2.93,6.47,2.22,4.88,20.7,10.48,18.78,2.43,3.58
FIRM_0159,2024-03-02 14:10:07.228915662,Ilupeju,8,Small,35,39.21,Grain Milling,Fully Local,0,0,2.07,2.64,2.27,26.2,1.0,0.8,0.41,7.0,5.53,6.46,1.0,6.42,18.32,9.73,21.76,5.45,3.57
FIRM_0160,2024-03-02 21:23:51.325301204,Apapa,8,Large,506,1382.41,Beverages,Fully Local,0,0,3.02,2.86,1.97,58.7,3.47,0.0,1.18,1.42,2.89,2.17,4.84,2.31,14.43,9.48,13.41,12.65,3.53
FIRM_0161,2024-03-03 04:37:35.421686747,Agbara,8,Large,257,232.11,Beverages,Foreign-Owned,1,1,3.63,3.83,3.71,40.2,3.29,4.36,1.52,2.66,3.4,3.52,1.0,3.75,16.36,14.76,33.5,11.01,4.54
FIRM_0162,2024-03-03 11:51:19.518072289,Ikeja Industrial Estate,8,Medium,162,221.53,Meat Processing,Joint Venture,1,6,3.71,4.44,3.3,29.8,3.86,4.88,1.37,1.63,3.07,3.53,5.33,2.69,27.17,14.44,31.09,14.69,4.29
FIRM_0163,2024-03-03 19:05:03.614457831,Apapa,3,Medium,148,94.94,Meat Processing,Fully Local,1,3,4.01,3.22,3.38,40.9,2.77,5.98,2.06,6.15,5.77,3.92,1.48,5.53,20.76,18.57,38.46,10.55,3.78
FIRM_0164,2024-03-04 02:18:47.710843373,Ikorodu,29,Medium,229,979.06,Meat Processing,Fully Local,0,0,3.65,3.03,3.2,17.9,2.15,1.71,2.06,3.61,3.34,3.83,5.73,3.38,20.39,2.14,19.28,17.25,4.72
FIRM_0165,2024-03-04 09:32:31.807228915,Ikeja Industrial Estate,8,Small,24,46.82,Other Food Products,Fully Local,0,0,2.24,3.1,2.16,23.8,1.22,0.65,1.16,4.06,2.81,6.01,5.13,3.99,19.35,8.63,23.13,8.6,3.23
FIRM_0166,2024-03-04 16:46:15.903614457,Alimosho,3,Small,31,46.69,Dairy Products,Foreign-Owned,1,1,3.47,3.39,2.45,37.2,3.34,2.04,0.82,3.64,5.29,2.71,3.81,3.98,16.45,12.72,31.47,2.49,3.76
FIRM_0167,2024-03-05 00:00:00.000000000,Other,3,Medium,63,35.82,Grain Milling,Fully Local,0,0,2.94,2.93,1.98,30.3,1.26,3.15,1.02,5.14,4.37,3.24,5.63,4.02,20.09,16.22,20.81,7.48,3.18
FIRM_0168,2024-03-05 07:13:44.096385542,Ikeja Industrial Estate,8,Medium,77,208.04,Fruit & Vegetable Processing,Fully Local,0,0,2.41,2.59,2.47,35.0,2.18,0.0,1.07,4.55,2.46,3.29,4.67,3.43,18.31,7.97,10.62,9.28,4.87
FIRM_0169,2024-03-05 14:27:28.192771084,Apapa,8,Medium,127,167.12,Meat Processing,Fully Local,0,0,2.31,3.16,2.3,20.7,1.68,1.39,1.05,4.74,5.99,5.58,5.29,5.02,23.89,12.94,14.42,1.9,3.93
FIRM_0170,2024-03-05 21:41:12.289156626,Apapa,3,Medium,179,445.28,Beverages,Fully Local,0,0,2.28,2.96,2.23,22.0,1.0,0.0,0.99,1.0,5.53,1.69,4.53,2.9,11.55,14.28,11.01,13.49,2.87
FIRM_0171,2024-03-06 04:54:56.385542168,Agbara,8,Small,35,47.41,Fruit & Vegetable Processing,Fully Local,0,0,2.76,2.78,2.66,17.2,1.36,3.66,1.04,3.84,2.64,3.64,2.25,3.72,10.66,7.69,13.52,3.97,4.03
FIRM_0172,2024-03-06 12:08:40.481927710,Isolo,3,Medium,63,49.52,Grain Milling,Joint Venture,1,3,3.33,3.73,3.04,26.0,2.18,4.46,1.39,3.16,3.02,1.76,5.31,2.7,15.11,13.95,38.26,8.97,4.05
FIRM_0173,2024-03-06 19:22:24.578313253,Isolo,8,Small,16,11.91,Grain Milling,Fully Local,0,0,2.57,2.65,2.9,27.8,1.68,1.99,1.04,3.6,1.0,3.77,3.57,2.99,15.94,8.72,10.93,13.91,3.38
FIRM_0174,2024-03-07 02:36:08.674698795,Agbara,3,Medium,52,79.71,Meat Processing,Foreign-Owned,1,3,3.72,3.9,3.04,24.5,2.15,2.92,1.63,3.99,4.11,4.34,2.73,4.31,20.27,13.44,36.92,13.32,4.47
FIRM_0175,2024-03-07 09:49:52.771084337,Ikeja Industrial Estate,8,Medium,160,325.45,Bakery & Confectionery,Fully Local,0,0,2.33,2.71,2.51,22.0,2.54,0.29,1.47,4.2,3.22,1.24,4.29,3.09,13.4,8.6,14.14,10.01,3.06
FIRM_0176,2024-03-07 17:03:36.867469879,Ikorodu,8,Large,999,721.25,Fruit & Vegetable Processing,Joint Venture,1,6,3.99,4.24,3.83,39.5,5.0,4.94,1.43,5.53,3.91,3.3,3.69,4.3,16.48,16.03,58.69,23.58,4.2
FIRM_0177,2024-03-08 00:17:20.963855422,Oshodi,29,Small,27,123.93,Grain Milling,Foreign-Owned,1,10,3.93,3.34,3.73,57.1,3.09,5.58,2.34,5.66,4.75,3.99,3.91,4.74,25.65,26.08,34.84,21.18,3.44
FIRM_0178,2024-03-08 07:31:05.060240964,Isolo,3,Small,47,56.75,Bakery & Confectionery,Joint Venture,1,3,3.7,3.41,3.02,55.2,3.25,2.69,1.15,4.16,1.0,1.67,2.42,2.8,26.28,16.3,27.73,11.66,3.14
FIRM_0179,2024-03-08 14:44:49.156626506,Ikorodu,8,Small,44,70.5,Beverages,Joint Venture,1,2,3.11,3.5,3.53,26.9,3.5,8.05,0.95,5.76,5.55,5.46,2.62,5.57,24.97,20.62,36.02,6.76,5.0
FIRM_0180,2024-03-08 21:58:33.253012048,Oshodi,3,Medium,164,222.23,Beverages,Fully Local,0,0,2.87,2.83,2.59,5.0,1.91,2.82,1.42,5.86,7.0,4.56,3.01,5.75,21.06,15.18,18.71,4.88,4.84
FIRM_0181,2024-03-09 05:12:17.349397590,Apapa,29,Medium,64,179.08,Beverages,Fully Local,0,0,3.78,3.61,2.92,35.7,1.62,0.38,1.21,3.93,2.01,2.22,5.23,2.75,19.0,7.62,14.6,6.07,3.66
FIRM_0182,2024-03-09 12:26:01.445783132,Ilupeju,29,Small,34,115.15,Dairy Products,Joint Venture,1,12,3.93,4.07,3.65,51.8,2.15,5.88,1.96,2.33,2.48,1.0,7.0,1.84,19.77,14.87,35.15,17.7,4.56
FIRM_0183,2024-03-09 19:39:45.542168675,Ilupeju,3,Small,46,32.43,Beverages,Family Business,0,0,2.48,3.07,2.25,24.3,1.24,0.2,0.3,6.42,2.18,4.05,3.54,4.26,19.02,14.39,16.31,6.31,3.5
FIRM_0184,2024-03-10 02:53:29.638554217,Ikeja Industrial Estate,8,Medium,77,95.9,Grain Milling,Joint Venture,1,1,3.38,3.72,2.74,35.8,2.63,3.12,2.16,1.9,3.59,2.8,4.42,2.89,19.41,10.76,31.42,15.69,3.62
FIRM_0185,2024-03-10 10:07:13.734939759,Other,29,Small,19,75.62,Bakery & Confectionery,Joint Venture,1,15,3.46,3.6,4.12,49.5,3.24,4.41,2.1,5.73,5.47,5.01,2.53,5.43,23.65,21.65,40.73,18.31,4.62
FIRM_0186,2024-03-10 17:20:57.831325301,Ikeja Industrial Estate,8,Medium,88,201.4,Bakery & Confectionery,Foreign-Owned,1,8,3.79,3.93,3.52,44.1,2.82,4.42,1.01,3.92,2.83,3.35,4.09,3.45,17.0,17.27,31.07,17.84,3.95
FIRM_0187,2024-03-11 00:34:41.927710843,Oshodi,8,Medium,234,401.24,Other Food Products,Joint Venture,1,1,3.42,4.09,3.09,52.2,3.77,4.57,1.05,3.48,1.82,2.72,4.46,2.8,18.2,19.97,31.73,9.4,3.77
FIRM_0188,2024-03-11 07:48:26.024096385,Ilupeju,3,Small,26,32.03,Bakery & Confectionery,Fully Local,0,0,2.7,3.22,2.68,5.0,1.24,0.41,1.91,3.89,1.85,1.31,6.05,2.34,15.17,8.97,48.16,12.67,3.88
FIRM_0189,2024-03-11 15:02:10.120481928,Ikeja Industrial Estate,3,Small,48,92.64,Grain Milling,Joint Venture,1,3,3.15,3.77,3.86,33.5,2.82,5.02,1.25,5.28,5.47,3.33,1.84,4.98,21.1,13.47,44.04,6.21,4.4
FIRM_0190,2024-03-11 22:15:54.216867470,Alimosho,29,Large,335,1026.68,Fruit & Vegetable Processing,Family Business,0,0,3.24,3.0,2.54,41.8,3.42,1.25,1.26,1.89,1.44,4.62,3.89,2.77,17.91,11.3,24.85,23.39,3.97
FIRM_0191,2024-03-12 05:29:38.313253012,Ikorodu,29,Small,35,49.01,Bakery & Confectionery,Fully Local,0,0,2.94,3.08,2.35,27.5,2.22,1.09,0.63,4.9,3.28,2.92,3.26,3.89,18.14,16.38,20.5,7.42,4.18
FIRM_0192,2024-03-12 12:43:22.409638554,Ilupeju,8,Small,34,35.66,Grain Milling,Joint Venture,1,8,3.3,3.87,2.98,57.2,2.86,2.56,1.46,5.9,4.8,4.55,4.61,4.86,25.14,10.84,33.71,10.77,4.45
FIRM_0193,2024-03-12 19:57:06.506024096,Apapa,8,Medium,194,356.86,Meat Processing,Fully Local,0,0,2.89,3.0,2.45,20.1,1.71,2.28,1.24,1.48,1.8,3.93,1.0,3.02,20.26,4.94,13.49,0.87,2.99
FIRM_0194,2024-03-13 03:10:50.602409638,Ikeja Industrial Estate,8,Large,774,1553.76,Fruit & Vegetable Processing,Joint Venture,1,8,4.13,3.99,4.28,46.8,4.22,4.95,2.03,3.94,5.8,6.97,4.57,5.18,26.68,20.22,46.89,20.96,4.04
FIRM_0195,2024-03-13 10:24:34.698795181,Apapa,8,Large,461,331.16,Meat Processing,Fully Local,0,0,3.19,3.6,3.06,34.7,2.17,0.53,0.82,2.39,2.66,2.24,4.06,2.66,11.12,10.83,17.79,18.05,3.66
FIRM_0196,2024-03-13 17:38:18.795180723,Apapa,29,Medium,74,136.5,Fruit & Vegetable Processing,Joint Venture,1,1,3.36,4.02,2.9,46.1,2.98,2.79,1.23,4.16,3.72,4.77,1.0,4.6,19.72,15.81,33.5,13.95,4.09
FIRM_0197,2024-03-14 00:52:02.891566265,Ilupeju,29,Small,13,29.37,Bakery & Confectionery,Foreign-Owned,1,8,3.81,3.87,3.17,33.0,3.62,3.69,2.01,3.81,3.23,3.5,3.69,3.63,20.78,18.31,33.06,10.78,4.11
FIRM_0198,2024-03-14 08:05:46.987951807,Other,8,Small,19,40.04,Meat Processing,Fully Local,0,0,2.81,2.51,2.42,20.4,1.53,2.57,1.7,4.55,5.59,2.7,4.88,4.18,8.97,10.33,16.91,12.04,3.67
FIRM_0199,2024-03-14 15:19:31.084337349,Isolo,8,Medium,116,71.59,Other Food Products,Joint Venture,1,2,3.58,3.79,3.55,51.0,2.28,3.87,0.98,4.19,4.44,2.86,4.69,3.8,25.85,9.59,42.11,10.88,5.0
FIRM_0200,2024-03-14 22:33:15.180722891,Ikorodu,3,Medium,158,105.88,Bakery & Confectionery,Foreign-Owned,1,3,3.37,2.82,3.19,34.9,4.17,4.81,2.0,2.27,2.13,1.93,1.0,2.85,19.07,19.99,33.88,7.09,3.15
FIRM_0201,2024-03-15 05:46:59.277108434,Oshodi,3,Medium,195,409.14,Beverages,Family Business,0,0,2.69,2.99,2.07,15.2,2.19,0.0,1.29,3.11,3.25,1.69,7.0,2.48,15.22,7.05,24.62,9.1,2.3
FIRM_0202,2024-03-15 13:00:43.373493976,Ilupeju,29,Large,360,562.39,Bakery & Confectionery,Fully Local,0,0,3.03,3.17,2.94,49.2,1.92,0.89,2.03,2.88,4.25,2.33,2.73,3.51,23.35,10.13,16.04,33.35,3.96
FIRM_0203,2024-03-15 20:14:27.469879518,Ikorodu,8,Small,45,106.28,Oil & Fats,Fully Local,1,6,3.42,3.9,3.3,36.6,2.66,10.04,1.57,6.6,6.28,6.72,2.62,6.35,22.82,22.34,39.19,15.87,4.51
FIRM_0204,2024-03-16 03:28:11.566265060,Ilupeju,3,Medium,160,157.43,Dairy Products,Fully Local,0,0,2.76,3.2,1.93,18.2,1.98,0.92,0.3,2.13,2.23,2.49,6.02,2.23,15.38,8.42,15.53,14.23,3.37
FIRM_0205,2024-03-16 10:41:55.662650602,Ikorodu,3,Small,31,22.96,Other Food Products,Family Business,0,0,2.62,3.04,2.84,23.5,2.64,0.17,1.18,2.71,1.87,2.99,3.79,2.75,14.92,11.16,12.37,9.21,3.78
FIRM_0206,2024-03-16 17:55:39.759036144,Apapa,8,Medium,83,104.2,Fruit & Vegetable Processing,Family Business,0,0,2.37,3.2,2.47,33.0,1.15,0.41,1.73,3.46,3.06,1.99,5.9,2.77,13.86,12.19,11.97,9.8,4.05
FIRM_0207,2024-03-17 01:09:23.855421687,Ikeja Industrial Estate,3,Small,17,34.98,Bakery & Confectionery,Joint Venture,1,3,3.36,2.99,3.56,60.7,3.37,3.57,1.18,5.39,3.92,4.0,2.63,4.6,18.68,19.58,34.08,0.5,3.49
FIRM_0208,2024-03-17 08:23:07.951807229,Ikorodu,3,Small,49,94.38,Dairy Products,Foreign-Owned,1,3,4.0,4.11,3.11,45.4,3.7,3.42,1.39,5.88,6.42,4.33,1.0,5.82,31.55,17.71,39.77,5.59,4.34
