FirmID,Size,Employees,FirmAge,Subsector,OwnershipType,FDI_Presence,FDI_Percentage,FDI_Origin,FDI_Type,FDI_Years,Knowledge_Absorption,Task_Performance,Innovation_Score,Firm_Resources_Score,Skilled_Labor_Ratio,IoT_Adoption,RD_Spend_Percentage,Liquidity_Ratio,ROI,ROA,Market_Share,Export_Intensity,Operational_Efficiency,Revenue_Million_NGN,Assets_Million_NGN,Export_Value_Million_NGN,Tax_Incentives_Perception,Regulatory_Stability,Infrastructure_Support,Corruption_Experience,Policy_Effectiveness_Index,ISO_Certification,Export_Destination_Count,Local_Content_Percentage,Capacity_Utilization,NAFDAC_Compliance_Score,Quality_Certification,Training_Hours_Per_Employee,Female_Employment_Ratio,Youth_Employment_Ratio,ERP_System,Ecommerce_Adoption,Automation_Level,Local_Suppliers_Percentage,Supplier_Reliability_Score,Inventory_Turnover_Ratio,Survey_Year,Survey_Quarter,FDI_Inflow_Lagos_Million_USD,National_Corruption_Index,Regulatory_Quality_Index,Power_Supply_Hours,Logistics_Quality_Index,GDP_Growth_Rate,Inflation_Rate,Exchange_Rate,Interest_Rate,Ease_Doing_Business_Rank,Food_Sector_GDP_Billion_NGN,Manufacturing_Capacity_Utilization,Infrastructure_Index,Institutional_Quality_Index,Policy_Support_Received,Tax_Incentive_Beneficiary,Export_Grant_Recipient
FIRM_050,SME,133,43,Beverages,Private Foreign,1,17.511767649044497,China,Joint Venture,14,2.76,3.28,2.46,4.1,0.748,0,3.45,1.02,24.36,5.71,0.93,42.79,68.7,488.06,799.39,208.84,3.0,4.6,3.2,4.2,3.75,0,1,85.2,65.7,80.7,ISO 22000,44.6,0.481,0.334,1,0,31.5,49.1,3.17,7.6,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_051,SME,67,11,Oils and Fats,Private Foreign,1,76.42622110046655,South Africa,M&A,11,3.16,3.48,2.46,3.7,0.543,0,0.83,0.93,15.35,20.79,3.63,18.74,92.5,456.62,686.11,85.57,3.9,4.4,4.5,3.2,4.0,0,13,87.6,69.6,73.6,ISO 22000,78.4,0.194,0.369,1,0,36.7,77.2,3.84,6.34,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_052,SME,188,3,Other Food Products,Joint Venture,1,48.290149037164475,Netherlands,Joint Venture,3,3.76,4.4,3.02,3.19,0.157,1,1.86,1.82,14.23,9.75,11.28,2.5,86.4,451.54,650.64,11.29,6.6,3.9,3.3,3.9,4.42,1,3,52.1,67.0,96.6,None,46.8,0.163,0.547,1,0,23.2,48.7,3.41,5.32,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_053,SME,159,40,Beverages,Joint Venture,1,37.402717150335135,South Africa,M&A,4,3.32,1.86,3.54,3.49,0.51,0,2.78,1.88,8.34,8.86,5.75,24.57,72.4,138.24,275.65,33.97,2.0,2.8,2.6,3.5,2.72,1,13,85.8,83.0,85.1,HACCP,42.4,0.325,0.287,0,1,52.4,45.7,3.03,10.55,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_054,SME,30,39,Fish Processing,Government-owned,0,0.0,None,None,0,2.72,2.41,1.6,1.79,0.214,0,1.79,1.83,11.19,15.36,14.35,12.32,66.7,358.97,484.19,44.23,3.8,2.9,1.0,2.5,2.55,0,3,89.5,63.2,81.9,ISO 22000,31.2,0.315,0.458,0,0,25.8,37.6,5.0,4.93,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,1
FIRM_055,SME,48,28,Bakery Products,Joint Venture,1,45.195678984147825,Netherlands,Joint Venture,8,3.89,3.85,1.24,4.33,0.201,1,4.6,2.17,12.12,13.0,12.34,3.5,87.6,231.75,301.48,8.11,4.1,5.5,3.7,1.7,3.75,0,2,87.2,86.2,89.6,None,32.3,0.383,0.348,0,0,25.2,39.2,4.69,7.44,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_056,SME,205,37,Fruit and Vegetable Processing,Joint Venture,1,23.250984258893595,USA,M&A,3,3.11,3.17,1.85,2.92,0.556,0,2.14,1.17,32.19,12.75,10.48,7.31,69.3,277.45,680.65,20.28,4.5,3.4,3.3,3.7,3.72,1,1,57.2,51.6,81.3,None,19.1,0.484,0.348,0,0,41.9,60.0,3.49,4.71,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_057,SME,68,17,Meat Processing,Private Foreign,1,59.834033682221005,USA,Greenfield,17,4.24,3.02,2.51,3.73,0.454,0,1.56,2.21,20.67,7.12,8.95,51.99,78.9,143.29,317.69,74.5,4.1,2.8,5.0,5.4,4.32,0,6,61.7,46.8,78.7,None,48.0,0.241,0.586,0,0,56.3,37.2,3.58,10.32,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_058,SME,229,5,Dairy Products,Joint Venture,1,11.343989117575,Netherlands,Greenfield,5,2.86,3.32,3.16,4.38,0.331,1,2.85,1.76,17.97,15.71,13.82,18.84,81.4,255.19,453.34,48.08,4.9,6.0,5.9,3.6,5.1,0,7,87.0,64.8,98.9,None,72.5,0.175,0.553,0,0,49.8,31.1,3.66,7.81,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
FIRM_059,SME,102,22,Bakery Products,Joint Venture,1,21.67642794649557,South Africa,Joint Venture,3,4.17,3.61,3.78,3.71,0.594,1,3.89,2.11,23.62,18.84,12.77,31.91,74.7,84.94,146.93,27.1,3.4,3.1,3.3,2.6,3.1,0,12,78.4,45.3,81.9,ISO 9001,70.8,0.423,0.245,0,1,22.5,69.1,3.44,9.33,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_060,SME,168,34,Fish Processing,Private Foreign,1,23.709663051808192,Germany,Joint Venture,7,2.42,3.22,3.26,3.41,0.512,1,3.42,1.01,29.61,13.71,7.02,30.46,67.2,357.18,540.95,108.8,4.7,5.1,4.3,4.2,4.58,0,12,90.4,77.4,98.7,None,21.1,0.503,0.53,0,1,26.9,40.4,3.33,10.26,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_061,SME,27,32,Meat Processing,Joint Venture,1,42.73420120188409,China,Greenfield,12,2.9,3.98,2.98,2.93,0.312,0,1.91,2.14,29.69,12.36,13.69,19.62,74.2,224.44,453.94,44.04,6.9,4.7,2.4,4.1,4.53,0,0,77.2,87.5,85.7,HACCP,43.3,0.404,0.6,1,0,54.7,56.2,3.25,4.89,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_062,SME,215,35,Oils and Fats,Private Nigerian,0,0.0,None,None,0,3.86,2.61,2.38,3.19,0.313,0,2.2,1.17,18.56,12.12,4.78,2.05,80.3,192.03,391.41,3.94,5.5,6.0,2.4,4.1,4.5,1,2,76.7,82.0,83.5,None,24.0,0.19,0.475,1,0,32.5,82.2,4.15,4.25,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_063,SME,140,38,Dairy Products,Mixed Ownership,1,38.269403473285664,China,Joint Venture,6,3.31,4.24,2.51,2.97,0.229,0,3.09,0.93,16.45,11.07,3.14,22.65,60.5,382.56,570.11,86.65,3.0,5.2,6.2,6.6,5.25,0,3,86.6,46.1,92.9,None,64.8,0.462,0.383,0,1,38.5,71.1,2.19,7.79,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_064,SME,227,4,Other Food Products,Mixed Ownership,1,30.6987568561866,South Africa,M&A,4,4.53,3.5,3.73,2.88,0.522,0,4.31,1.34,13.68,23.04,8.15,47.13,80.3,414.44,1007.76,195.33,3.3,5.6,2.2,2.7,3.45,0,9,48.1,45.4,85.6,None,41.3,0.204,0.583,0,1,70.4,34.2,3.51,6.2,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_065,SME,95,18,Other Food Products,Private Nigerian,0,0.0,None,None,0,3.76,2.91,3.46,2.87,0.32,1,2.49,1.7,12.84,12.89,2.08,9.55,40.0,478.86,899.92,45.73,4.4,3.7,1.4,2.6,3.03,0,10,68.7,89.0,98.2,None,10.7,0.341,0.487,1,0,10.7,61.1,3.88,10.17,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_066,SME,95,44,Oils and Fats,Joint Venture,1,24.702436135124923,South Africa,Greenfield,11,3.54,2.51,2.71,3.86,0.297,1,4.53,0.8,29.94,6.9,14.86,49.65,95.0,266.7,540.35,132.42,2.7,3.9,2.6,5.0,3.55,0,12,71.0,61.1,70.6,None,26.8,0.227,0.567,1,0,33.9,82.3,4.05,8.65,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_067,SME,148,21,Bakery Products,Private Nigerian,0,0.0,None,None,0,2.85,2.13,3.84,2.58,0.379,0,1.36,1.15,10.11,7.44,9.11,0.49,48.4,182.86,428.5,0.9,6.2,2.8,3.4,5.1,4.38,0,3,48.3,84.4,92.4,None,14.9,0.32,0.215,1,0,14.9,83.5,3.53,5.81,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_068,SME,175,21,Sugar and Confectionery,Private Nigerian,1,38.44444696943186,South Africa,Greenfield,19,4.35,3.79,3.0,4.08,0.332,1,3.71,2.19,11.22,11.13,13.58,41.95,92.5,347.46,452.39,145.76,2.4,6.3,4.0,4.5,4.3,0,10,74.6,66.7,79.3,ISO 22000,76.4,0.403,0.252,0,0,27.3,83.5,3.93,7.59,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_069,SME,203,40,Fish Processing,Private Foreign,1,72.51358845279569,Germany,Joint Venture,17,3.24,3.02,2.45,3.67,0.221,0,3.52,1.54,20.78,9.98,7.5,26.35,84.5,57.23,126.87,15.08,4.2,4.3,3.0,5.4,4.22,1,7,78.8,81.8,88.6,None,77.7,0.171,0.402,0,0,47.4,60.4,3.08,7.17,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
FIRM_070,SME,132,43,Other Food Products,Joint Venture,1,34.37613825732302,USA,Joint Venture,19,2.95,3.3,3.54,3.29,0.66,0,3.33,1.22,10.73,7.54,0.79,20.32,70.6,470.75,828.38,95.66,3.0,4.3,4.8,2.7,3.7,1,8,77.7,60.0,72.2,ISO 9001,36.2,0.528,0.457,0,0,34.6,71.3,2.44,4.81,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_071,SME,38,24,Grain Mill Products,Mixed Ownership,0,0.0,None,None,0,2.98,2.64,3.01,2.92,0.272,1,1.46,1.15,15.39,4.11,9.28,7.75,73.9,297.32,623.39,23.04,6.1,4.4,2.0,3.6,4.03,0,2,74.3,74.2,77.8,HACCP,5.5,0.536,0.3,0,0,1.4,44.9,4.24,8.78,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_072,SME,166,4,Dairy Products,Private Nigerian,0,0.0,None,None,0,2.09,3.1,3.18,3.68,0.199,1,1.57,1.46,23.73,11.13,14.12,3.31,74.1,382.73,566.08,12.67,6.3,4.0,6.4,2.5,4.8,0,4,90.3,64.5,96.7,HACCP,20.2,0.439,0.204,0,0,5.6,69.3,4.05,4.73,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
FIRM_073,SME,122,23,Sugar and Confectionery,Private Nigerian,1,18.36185283673342,India,Greenfield,2,3.45,2.87,3.75,4.29,0.554,1,4.78,2.23,27.43,19.95,14.02,28.3,80.8,384.3,829.82,108.76,3.0,3.0,3.6,4.8,3.6,0,8,58.3,83.9,82.9,None,70.2,0.164,0.515,0,0,55.8,57.5,3.85,8.28,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,1,0
FIRM_074,SME,116,37,Grain Mill Products,Joint Venture,1,27.312858725748736,China,Greenfield,7,3.49,2.89,2.81,4.27,0.543,1,1.22,1.07,8.33,7.52,10.13,45.85,81.8,99.69,157.11,45.71,5.7,2.6,2.3,7.0,4.4,0,14,44.2,84.3,97.4,None,25.1,0.474,0.515,0,1,26.5,47.5,2.89,11.23,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_075,SME,15,35,Fish Processing,Private Nigerian,0,0.0,None,None,0,3.65,3.09,3.04,3.26,0.226,0,0.4,1.95,8.59,13.41,3.83,1.76,76.7,281.72,397.16,4.96,5.6,3.1,1.7,3.5,3.47,0,11,57.1,52.5,81.9,HACCP,14.4,0.284,0.5,0,0,47.5,77.9,3.1,9.43,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
FIRM_076,SME,177,42,Dairy Products,Private Nigerian,0,0.0,None,None,0,4.57,3.63,2.67,4.06,0.423,0,2.45,1.67,7.29,14.47,10.34,11.59,77.3,352.96,610.82,40.91,4.9,3.7,4.0,4.8,4.35,0,8,69.5,82.6,88.6,None,34.5,0.344,0.333,0,0,30.0,78.5,3.26,7.73,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_077,SME,190,30,Oils and Fats,Joint Venture,1,17.93543695740624,Netherlands,M&A,15,3.85,3.33,3.35,3.06,0.194,1,4.12,1.54,32.43,14.8,5.16,11.45,59.9,80.92,135.98,9.27,2.7,6.3,3.1,5.7,4.45,1,10,85.7,82.9,94.7,ISO 22000,54.2,0.188,0.241,1,0,61.5,58.7,1.73,6.8,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_078,SME,233,17,Bakery Products,Joint Venture,1,38.9478743007644,Germany,M&A,6,3.75,3.43,3.63,4.27,0.542,0,3.1,1.88,10.57,13.14,10.89,14.09,67.4,158.68,234.75,22.36,3.3,5.1,3.3,1.7,3.35,1,1,47.4,65.0,85.3,None,77.1,0.322,0.42,0,0,27.8,59.1,4.09,10.61,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_079,SME,158,13,Sugar and Confectionery,Joint Venture,1,40.29482885288186,Germany,Joint Venture,6,3.97,3.72,2.69,3.67,0.28,1,1.69,1.51,29.6,19.97,9.64,44.62,70.7,140.48,262.48,62.68,6.2,3.4,5.8,2.8,4.55,0,0,71.7,48.0,87.8,ISO 9001,79.9,0.281,0.499,0,0,38.5,37.2,3.1,4.18,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_080,SME,196,21,Bakery Products,Private Foreign,1,17.220002181014266,India,Greenfield,6,2.78,3.97,3.23,2.73,0.153,0,2.37,1.48,16.66,5.25,9.76,38.12,64.9,310.48,602.43,118.35,5.0,3.6,4.8,5.9,4.82,0,4,94.8,89.2,69.9,None,66.3,0.436,0.437,1,0,57.8,50.5,4.44,11.53,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_081,SME,30,44,Beverages,Private Nigerian,0,0.0,None,None,0,4.13,3.01,2.42,3.67,0.132,1,1.45,1.57,23.97,3.91,10.44,0.37,62.9,254.69,532.66,0.94,3.0,4.3,4.5,5.6,4.35,0,5,72.1,71.7,88.0,ISO 22000,6.8,0.163,0.369,1,0,8.0,77.5,4.0,11.09,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_082,SME,185,27,Beverages,Joint Venture,1,14.883601821156425,UK,Greenfield,10,4.11,4.26,3.67,3.49,0.616,1,2.06,1.54,16.8,16.95,13.43,15.91,92.2,237.3,336.62,37.75,4.8,3.1,3.4,5.6,4.22,0,8,93.2,64.8,60.0,HACCP,65.9,0.281,0.32,1,1,28.5,67.1,2.46,4.5,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_083,SME,110,26,Meat Processing,Government-owned,0,0.0,None,None,0,2.66,2.63,3.13,3.41,0.297,1,1.2,2.13,11.07,7.68,0.55,2.61,63.1,492.91,845.05,12.86,5.7,2.7,4.9,2.1,3.85,0,1,76.7,80.0,80.0,None,16.0,0.365,0.536,0,0,7.2,56.9,3.1,9.93,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_084,SME,200,12,Meat Processing,Joint Venture,1,43.53199231765418,USA,Greenfield,7,4.59,3.14,3.01,3.22,0.721,1,3.05,1.78,19.23,16.47,3.83,28.74,92.7,113.55,220.53,32.63,3.1,3.2,2.3,2.9,2.88,0,5,73.2,70.9,79.6,None,36.0,0.464,0.301,0,0,58.6,61.5,2.8,6.7,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_085,SME,61,25,Oils and Fats,Private Nigerian,0,0.0,None,None,0,4.77,3.17,3.24,3.72,0.29,1,0.94,1.19,10.31,11.32,3.39,4.41,66.7,466.04,1035.33,20.55,5.2,5.0,4.9,5.9,5.25,0,13,95.0,79.6,91.1,ISO 22000,34.0,0.218,0.212,1,1,61.2,80.1,3.68,8.08,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_086,SME,232,23,Sugar and Confectionery,Private Nigerian,0,0.0,None,None,0,3.45,3.25,2.18,2.23,0.236,0,2.29,1.12,23.45,13.43,9.36,3.0,66.2,343.18,505.85,10.3,3.7,5.5,3.8,1.6,3.65,0,2,68.9,79.9,74.4,HACCP,17.1,0.162,0.585,0,0,35.4,67.3,2.33,6.54,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_087,SME,203,38,Fish Processing,Private Foreign,1,41.53719250091777,China,Greenfield,13,4.11,4.18,2.72,3.26,0.416,1,2.05,2.22,30.82,7.52,5.9,48.29,78.9,117.71,289.39,56.84,3.1,4.1,1.0,3.5,2.92,0,9,75.6,57.3,68.7,HACCP,30.6,0.196,0.577,0,0,34.1,69.4,3.96,10.85,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,1
FIRM_088,SME,187,20,Fish Processing,Private Nigerian,1,14.175229963613257,Netherlands,Greenfield,3,2.91,2.17,3.38,4.43,0.323,1,1.85,1.81,17.78,7.11,2.19,28.43,71.7,379.85,781.07,107.99,5.4,6.5,4.6,3.5,5.0,0,0,44.6,56.4,93.6,None,16.9,0.18,0.345,1,0,44.8,73.1,3.32,9.6,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,1,0
FIRM_089,SME,60,30,Fish Processing,Private Nigerian,0,0.0,None,None,0,3.23,2.71,1.17,2.38,0.07,1,1.73,1.58,9.53,12.21,4.17,8.66,78.0,419.31,763.38,36.31,3.9,2.3,1.5,2.9,2.65,1,0,85.9,61.1,95.4,None,24.8,0.223,0.256,0,0,14.3,41.2,4.22,4.13,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_090,SME,206,22,Other Food Products,Joint Venture,1,11.273703370595339,India,Greenfield,6,3.82,2.71,3.25,3.67,0.579,1,2.38,1.0,22.43,22.2,10.1,3.99,83.6,231.44,528.55,9.23,2.0,4.6,5.2,1.7,3.38,1,3,62.7,75.4,77.9,None,14.9,0.308,0.273,1,0,38.6,39.3,3.08,11.03,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_091,SME,40,3,Meat Processing,Private Nigerian,0,0.0,None,None,0,2.39,2.13,1.0,2.5,0.177,1,0.23,1.34,5.86,14.71,6.27,6.66,68.6,53.63,130.11,3.57,5.4,3.5,3.1,3.8,3.95,0,14,66.6,68.1,100.0,ISO 22000,25.1,0.28,0.216,1,1,47.6,49.0,2.95,9.37,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
FIRM_092,SME,207,35,Meat Processing,Private Nigerian,0,0.0,None,None,0,2.42,4.11,2.56,2.08,0.222,0,0.5,0.91,22.74,9.3,7.7,13.75,59.5,304.44,540.36,41.86,4.9,4.9,4.7,2.2,4.18,0,8,76.4,72.1,97.8,HACCP,13.2,0.159,0.534,0,1,32.4,81.0,3.21,7.36,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,1
FIRM_093,SME,63,11,Dairy Products,Private Nigerian,0,0.0,None,None,0,2.52,3.43,3.36,2.27,0.196,0,0.02,0.91,15.71,11.49,11.4,1.98,48.2,91.94,159.39,1.82,4.6,3.4,2.7,2.1,3.2,1,9,45.2,65.3,76.4,ISO 22000,35.5,0.183,0.284,0,1,0.0,48.4,3.2,7.16,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,1,0
FIRM_094,SME,183,19,Other Food Products,Private Nigerian,1,45.52130416782272,India,Greenfield,6,2.77,2.26,3.14,3.35,0.646,1,2.02,2.16,12.91,22.93,5.5,17.54,66.2,100.01,204.27,17.54,4.1,4.4,4.0,4.0,4.12,1,4,48.6,78.2,73.7,ISO 22000,57.0,0.258,0.232,0,1,49.1,61.8,4.39,10.93,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,1
FIRM_095,SME,92,31,Beverages,Joint Venture,1,27.4112349500654,USA,Greenfield,17,5.0,3.31,3.15,3.17,0.317,1,0.95,1.83,20.11,8.84,7.33,25.6,81.6,401.41,894.7,102.76,3.2,4.4,7.0,3.6,4.55,1,10,86.6,59.6,82.1,None,51.6,0.391,0.473,0,0,53.8,42.4,2.89,9.54,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_096,SME,49,33,Fruit and Vegetable Processing,Joint Venture,1,12.337788733591022,India,M&A,18,3.3,2.03,3.03,3.72,0.429,1,0.87,1.24,7.22,16.21,6.68,28.5,68.4,348.72,856.07,99.39,3.5,6.1,6.2,2.6,4.6,1,1,47.0,81.0,85.0,None,20.5,0.491,0.597,0,0,53.1,63.8,3.1,8.65,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_097,SME,160,32,Beverages,Joint Venture,1,33.14499392548423,Germany,Greenfield,12,4.32,2.55,1.62,3.83,0.231,1,4.24,2.36,23.39,5.92,6.33,37.9,70.5,50.01,106.31,18.95,4.8,2.3,2.4,3.8,3.32,0,10,85.3,85.4,82.0,None,66.9,0.304,0.467,0,1,33.5,37.6,1.57,4.65,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
FIRM_098,SME,176,24,Meat Processing,Government-owned,0,0.0,None,None,0,3.89,3.0,1.73,2.25,0.211,0,1.71,1.34,7.66,12.49,2.36,8.68,78.2,389.06,908.35,33.77,5.8,6.3,3.5,2.0,4.4,1,5,56.9,67.1,89.5,None,13.1,0.24,0.42,0,1,9.1,72.4,2.73,9.22,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,1,0,0
FIRM_099,SME,249,39,Bakery Products,Private Foreign,1,31.036671283306983,USA,Greenfield,11,3.5,2.95,2.33,3.9,0.335,0,4.54,2.18,21.66,18.14,5.79,33.33,58.6,365.78,703.54,121.91,4.3,4.9,3.2,2.3,3.68,0,10,91.2,75.4,97.3,ISO 22000,35.9,0.37,0.516,0,0,56.0,55.7,3.08,4.61,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
FIRM_100,SME,23,14,Bakery Products,Joint Venture,0,0.0,None,None,0,1.55,2.39,1.96,2.76,0.403,0,0.97,1.92,13.84,12.72,1.39,12.21,67.1,479.55,669.87,58.55,5.1,7.0,2.7,1.1,3.98,0,0,48.9,75.4,99.9,ISO 9001,26.7,0.429,0.286,1,1,12.2,59.1,2.68,9.43,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,1,0
FIRM_101,SME,41,14,Oils and Fats,Private Nigerian,1,15.595308823702782,Germany,Joint Venture,4,3.84,4.72,2.94,2.21,0.451,1,1.92,2.15,30.31,10.92,4.95,10.15,61.0,494.49,802.75,50.19,5.9,6.0,1.3,3.6,4.2,0,13,91.5,75.3,99.1,None,66.7,0.53,0.209,0,1,31.2,37.3,4.18,7.52,2024,Q3,766.98,24.3,-0.82,17.2,3.22,2.75,16.72,628.2244315241086,15.5,127,5384.91,54.6,3.4,1.45,0,0,0
