sample_id,sand_content_percent,fines_content_percent,D10_mm,D50_mm,D60_mm,Cu,Cc,relative_density_Dr,void_ratio_e,friction_angle_phi_deg,N1_60,Vs30_m_per_s
SAND-0240,76.11,23.89,0.0276,0.1668,1.5145,6.04,0.665,0.724,0.598,39.62,32.6,292.6
SAND-0241,80.91,19.09,0.0477,0.2832,1.3995,5.941,1.202,0.55,0.64,38.25,20.8,240.6
SAND-0242,98.42,1.58,0.0509,0.4366,3.3789,8.571,1.107,0.841,0.638,41.63,32.6,258.7
SAND-0243,71.01,28.99,0.1682,0.4406,2.8855,2.62,0.4,0.409,0.677,34.47,15.2,229.7
SAND-0244,80.64,19.36,0.0434,0.342,2.1934,7.875,1.228,0.445,0.745,34.98,21.1,213.6
SAND-0245,70.15,29.85,0.0709,0.2759,1.1492,3.891,0.934,0.519,0.694,33.76,18.7,231.8
SAND-0246,77.94,22.06,0.0324,0.1897,1.4052,5.85,0.79,0.804,0.593,42.55,30.8,306.0
SAND-0247,86.83,13.17,0.0486,0.1142,0.2233,2.35,1.202,0.419,0.738,32.56,17.0,211.1
SAND-0248,91.38,8.62,0.0675,0.5504,3.0792,8.156,1.458,0.513,0.68,37.41,22.5,255.5
SAND-0249,84.82,15.18,0.0685,0.5801,4.7371,8.471,1.037,0.76,0.637,40.76,31.3,281.1
SAND-0250,96.64,3.36,0.0428,0.1623,0.688,3.792,0.895,0.72,0.785,34.41,28.9,251.9
SAND-0251,90.22,9.78,0.0288,0.2378,2.8312,8.269,0.694,0.242,0.871,32.62,11.7,173.8
SAND-0252,98.81,1.19,0.04,0.3058,2.1352,7.639,1.094,0.663,0.657,39.96,28.4,251.7
SAND-0253,92.83,7.17,0.0847,0.5105,2.7633,6.025,1.113,0.772,0.582,38.95,30.1,320.1
SAND-0254,73.74,26.26,0.0591,0.3539,2.4273,5.987,0.873,0.715,0.614,37.81,28.7,278.1
SAND-0255,79.0,21.0,0.1211,0.6186,3.3775,5.107,0.935,0.729,0.674,40.32,25.5,326.2
SAND-0256,71.35,28.65,0.0792,0.3777,1.2826,4.766,1.403,0.378,0.822,35.08,21.4,220.4
SAND-0257,71.32,28.68,0.1382,0.3567,0.756,2.581,1.218,0.475,0.676,33.87,22.2,188.7
SAND-0258,96.53,3.47,0.0247,0.1059,0.5496,4.281,0.825,0.644,0.663,38.02,28.2,283.1
SAND-0259,77.1,22.9,0.1676,0.9861,6.0872,5.884,0.953,0.796,0.638,36.83,30.7,319.2
SAND-0260,87.01,12.99,0.0326,0.2119,1.3547,6.5,1.017,0.565,0.728,35.69,22.2,221.5
SAND-0261,74.88,25.12,0.0704,0.1493,0.3878,2.122,0.817,0.812,0.686,37.98,35.1,318.3
SAND-0262,78.27,21.73,0.0432,0.3017,1.5259,6.978,1.38,0.61,0.624,36.56,26.3,238.7
SAND-0263,70.01,29.99,0.0838,0.2538,1.2243,3.029,0.628,0.41,0.713,32.37,15.2,202.3
SAND-0264,77.22,22.78,0.0602,0.3419,1.6882,5.677,1.15,0.53,0.64,37.68,19.8,229.3
SAND-0265,70.74,29.26,0.1414,0.2652,0.6221,1.876,0.8,0.815,0.65,39.62,29.3,279.9
SAND-0266,87.82,12.18,0.0284,0.1922,1.5964,6.758,0.814,0.755,0.607,40.03,27.5,296.9
SAND-0267,70.07,29.93,0.0282,0.2301,3.2924,8.172,0.571,0.587,0.694,34.05,22.5,245.5
SAND-0268,92.33,7.67,0.1872,0.3405,0.3998,1.819,1.549,0.61,0.664,35.5,27.1,261.6
SAND-0269,78.89,21.11,0.0556,0.0863,0.1193,1.551,1.122,0.626,0.652,35.1,22.4,244.4
SAND-0270,75.47,24.53,0.0335,0.1763,0.8529,5.256,1.086,0.729,0.745,40.84,28.5,238.1
SAND-0271,99.52,0.48,0.0134,0.1066,0.8276,7.972,1.027,0.364,0.738,34.5,16.3,174.5
SAND-0272,77.34,22.66,0.0509,0.2191,1.1757,4.307,0.803,0.403,0.642,33.72,19.7,189.0
SAND-0273,96.97,3.03,0.0148,0.1258,0.8021,8.491,1.332,0.741,0.682,38.1,31.9,285.4
SAND-0274,73.08,26.92,0.2667,1.5274,9.4539,5.727,0.925,0.562,0.653,39.39,23.3,224.2
SAND-0275,70.81,29.19,0.0358,0.142,0.4775,3.964,1.179,0.552,0.71,33.4,22.6,246.1
SAND-0276,88.6,11.4,0.0489,0.141,0.3286,2.885,1.238,0.486,0.756,33.11,24.0,240.4
SAND-0277,74.78,25.22,0.191,0.8444,2.7409,4.42,1.362,0.807,0.547,40.94,33.9,283.9
SAND-0278,84.81,15.19,0.0711,0.4198,2.2342,5.908,1.11,0.234,0.845,32.15,10.3,188.2
SAND-0279,70.4,29.6,0.0576,0.4449,3.9692,7.724,0.866,0.66,0.652,38.16,24.4,244.9
SAND-0280,98.33,1.67,0.0402,0.2521,0.9884,6.265,1.598,0.768,0.629,37.63,32.5,266.1
SAND-0281,91.45,8.55,0.1425,0.2941,0.8942,2.064,0.679,0.46,0.743,35.23,17.6,235.4
SAND-0282,93.23,6.77,0.0522,0.4643,3.1979,8.894,1.291,0.487,0.752,33.96,21.4,209.8
SAND-0283,70.25,29.75,0.023,0.1831,1.4341,7.957,1.016,0.815,0.736,38.23,28.8,306.5
SAND-0284,86.09,13.91,0.0591,0.3294,1.6871,5.575,1.088,0.414,0.784,33.81,16.3,200.6
SAND-0285,76.27,23.73,0.0224,0.171,2.5649,7.651,0.51,0.621,0.67,35.38,25.5,232.1
SAND-0286,99.93,0.07,0.0598,0.2057,0.5205,3.44,1.359,0.753,0.608,38.67,31.9,294.6
SAND-0287,95.49,4.51,0.0173,0.1558,1.3776,8.985,1.016,0.42,0.792,33.88,22.5,195.6
SAND-0288,99.74,0.26,0.0604,0.5192,5.2442,8.597,0.851,0.774,0.594,40.57,29.8,307.1
SAND-0289,77.52,22.48,0.1677,0.4918,1.559,2.932,0.925,0.641,0.649,36.57,24.8,260.2
SAND-0290,98.04,1.96,0.0544,0.3226,1.5991,5.936,1.198,0.735,0.648,38.23,30.8,267.9
SAND-0291,73.94,26.06,0.1362,0.4705,1.622,3.454,1.002,0.739,0.565,39.87,28.3,271.4
SAND-0292,78.5,21.5,0.0423,0.3299,2.8181,7.792,0.912,0.268,0.93,35.02,12.8,162.1
SAND-0293,78.39,21.61,0.0725,0.3861,2.3782,5.326,0.865,0.771,0.591,41.86,31.0,294.8
SAND-0294,89.24,10.76,0.0368,0.324,2.1887,8.813,1.305,0.216,0.842,34.74,10.6,155.2
SAND-0295,75.91,24.09,0.2199,0.4835,0.8816,2.199,1.206,0.658,0.695,35.96,23.3,264.2
SAND-0296,84.33,15.67,0.0981,0.2119,0.4654,2.161,0.984,0.317,0.862,30.26,13.7,172.7
SAND-0297,70.64,29.36,0.0412,0.3692,4.8755,8.971,0.679,0.699,0.737,39.87,26.5,301.3
SAND-0298,75.34,24.66,0.1297,0.4082,2.0947,3.148,0.613,0.396,0.807,32.4,17.8,200.6
SAND-0299,73.07,26.93,0.0741,0.6211,3.4739,8.376,1.498,0.627,0.739,37.22,23.6,245.3
SAND-0300,71.73,28.27,0.1209,0.3492,0.7674,2.888,1.314,0.602,0.698,35.51,20.3,240.7
SAND-0301,91.12,8.88,0.0501,0.4039,3.7392,8.057,0.87,0.685,0.632,37.6,29.0,257.6
SAND-0302,76.67,23.33,0.0719,0.3906,2.5929,5.431,0.818,0.653,0.677,38.38,24.8,267.4
SAND-0303,90.93,9.07,0.1442,0.46,2.6981,3.189,0.544,0.257,0.783,32.69,14.2,158.3
SAND-0304,82.85,17.15,0.0447,0.1437,0.7657,3.212,0.603,0.206,0.773,31.85,9.2,143.5
SAND-0305,75.07,24.93,0.1087,0.336,0.9167,3.09,1.133,0.762,0.559,35.25,31.1,301.6
SAND-0306,92.49,7.51,0.0827,0.6895,5.7076,8.335,1.007,0.265,0.884,35.72,15.8,132.9
SAND-0307,80.77,19.23,0.0375,0.1691,0.5204,4.508,1.465,0.428,0.781,38.14,16.4,213.7
SAND-0308,86.62,13.38,0.0897,0.4318,2.8448,4.816,0.731,0.597,0.656,34.16,24.2,250.8
SAND-0309,87.1,12.9,0.0607,0.2589,1.3025,4.262,0.847,0.613,0.747,36.63,24.2,227.6
SAND-0310,78.09,21.91,0.0259,0.1459,0.6846,5.638,1.201,0.298,0.845,33.18,14.0,173.1
SAND-0311,97.78,2.22,0.2006,0.362,0.6351,1.804,1.028,0.366,0.741,33.48,18.6,198.1
SAND-0312,83.94,16.06,0.0587,0.5254,4.1803,8.945,1.124,0.599,0.719,36.35,25.4,251.1
SAND-0313,96.54,3.46,0.0248,0.2112,2.1848,8.514,0.823,0.442,0.773,32.73,19.1,209.3
SAND-0314,80.45,19.55,0.0758,0.508,3.5719,6.703,0.953,0.559,0.65,36.74,19.4,237.8
SAND-0315,77.35,22.65,0.0588,0.4023,4.1369,6.837,0.665,0.516,0.742,35.77,17.3,206.4
SAND-0316,98.16,1.84,0.1622,0.29,0.6024,1.787,0.86,0.823,0.651,37.06,33.4,271.6
SAND-0317,96.12,3.88,0.0472,0.1642,0.4717,3.481,1.212,0.407,0.666,33.03,16.4,190.6
SAND-0318,74.7,25.3,0.071,0.3477,1.3289,4.895,1.281,0.55,0.668,38.62,22.3,257.4
SAND-0319,96.43,3.57,0.0511,0.271,1.321,5.305,1.088,0.327,0.724,33.88,17.4,186.0
SAND-0320,99.2,0.8,0.0391,0.2493,1.7534,6.378,0.907,0.269,0.793,31.41,16.9,160.8
SAND-0321,81.69,18.31,0.0284,0.2335,1.8223,8.215,1.053,0.831,0.523,38.84,35.6,300.1
SAND-0322,71.11,28.89,0.1415,0.6074,2.7897,4.293,0.935,0.556,0.724,36.85,19.8,176.9
SAND-0323,72.01,27.99,0.0632,0.4657,3.3652,7.367,1.019,0.275,0.835,34.01,10.1,172.8
SAND-0324,84.27,15.73,0.2203,0.3319,0.5357,1.506,0.934,0.347,0.687,30.72,16.3,190.6
SAND-0325,88.01,11.99,0.035,0.2995,1.8167,8.547,1.409,0.313,0.824,34.68,14.1,155.1
SAND-0326,99.47,0.53,0.0515,0.3221,1.3992,6.258,1.441,0.489,0.66,34.36,20.1,226.7
SAND-0327,84.76,15.24,0.0767,0.168,0.3772,2.191,0.976,0.508,0.881,35.1,24.2,242.1
SAND-0328,78.13,21.87,0.1912,0.4726,1.2525,2.471,0.933,0.383,0.88,30.47,19.3,206.4
SAND-0329,75.18,24.82,0.1492,0.7452,7.0882,4.995,0.525,0.256,0.802,31.21,13.4,136.2
SAND-0330,92.15,7.85,0.1494,0.2648,0.3592,1.772,1.307,0.341,0.795,29.91,19.1,164.0
SAND-0331,83.72,16.28,0.028,0.1558,1.0854,5.572,0.8,0.646,0.73,37.75,27.8,266.8
SAND-0332,80.62,19.38,0.0515,0.3669,2.9702,7.132,0.881,0.344,0.817,32.23,11.5,184.2
SAND-0333,96.82,3.18,0.0941,0.7013,4.4549,7.451,1.173,0.761,0.563,36.95,35.8,258.6
SAND-0334,80.82,19.18,0.085,0.4199,5.1848,4.94,0.4,0.259,0.887,33.1,14.6,155.5
SAND-0335,99.62,0.38,0.1516,0.5999,2.2702,3.957,1.046,0.72,0.655,37.9,30.7,307.3
SAND-0336,92.79,7.21,0.0542,0.3899,2.0497,7.192,1.368,0.634,0.683,38.67,27.1,256.0
SAND-0337,75.28,24.72,0.0558,0.4886,3.5521,8.762,1.205,0.738,0.636,40.25,32.7,265.5
SAND-0338,75.92,24.08,0.1139,0.4925,1.5463,4.325,1.377,0.256,0.862,34.9,12.0,135.5
SAND-0339,78.61,21.39,0.0954,0.2524,0.7154,2.644,0.933,0.695,0.725,36.31,28.0,271.5
SAND-0340,81.24,18.76,0.0645,0.3573,1.7943,5.544,1.104,0.503,0.756,33.44,18.9,234.1
SAND-0341,98.52,1.48,0.0796,0.1314,0.2311,1.65,0.938,0.308,0.763,32.19,15.4,160.8
SAND-0342,89.49,10.51,0.0433,0.284,2.1748,6.556,0.856,0.436,0.683,34.95,16.7,232.0
SAND-0343,77.8,22.2,0.033,0.2913,2.1855,8.824,1.176,0.587,0.669,36.52,23.8,223.5
SAND-0344,97.91,2.09,0.0379,0.1633,0.716,4.303,0.981,0.553,0.714,35.63,26.2,225.9
SAND-0345,95.68,4.32,0.0816,0.3147,0.97,3.859,1.252,0.503,0.733,32.87,24.0,235.7
SAND-0346,72.34,27.66,0.0517,0.395,2.4454,7.634,1.233,0.738,0.675,37.24,27.3,291.4
SAND-0347,85.34,14.66,0.0754,0.285,1.7906,3.782,0.602,0.713,0.683,34.81,30.9,277.6
SAND-0348,95.66,4.34,0.065,0.4045,3.4698,6.224,0.725,0.218,0.829,33.29,11.9,150.9
SAND-0349,83.24,16.76,0.1289,0.3272,0.8624,2.54,0.964,0.599,0.625,33.8,23.8,219.6
SAND-0350,77.53,22.47,0.2069,0.4227,0.753,2.043,1.147,0.614,0.635,35.14,26.6,288.1
SAND-0351,92.67,7.33,0.0693,0.4915,6.4887,7.093,0.537,0.431,0.737,33.07,17.2,189.0
SAND-0352,81.9,18.1,0.3617,1.1409,2.7321,3.154,1.317,0.268,0.839,31.18,10.6,194.6
SAND-0353,97.07,2.93,0.0641,0.4043,3.1558,6.31,0.808,0.267,0.712,32.97,12.9,176.9
SAND-0354,93.33,6.67,0.5076,1.0015,2.0551,1.973,0.962,0.716,0.64,36.51,27.2,293.7
SAND-0355,94.97,5.03,0.0806,0.4535,2.7589,5.624,0.924,0.822,0.716,39.76,31.3,293.7
SAND-0356,77.95,22.05,0.0512,0.1611,0.2791,3.145,1.816,0.742,0.662,36.73,29.9,275.0
SAND-0357,77.84,22.16,0.1274,0.2153,0.3254,1.69,1.118,0.208,0.85,32.73,12.2,128.9
SAND-0358,78.46,21.54,0.0571,0.3756,2.7186,6.574,0.908,0.799,0.598,42.29,31.1,271.6
SAND-0359,96.76,3.24,0.1139,0.4033,1.7983,3.541,0.794,0.28,0.773,30.14,16.8,180.3
SAND-0360,84.18,15.82,0.0662,0.4661,2.803,7.045,1.172,0.337,0.787,35.46,18.7,190.7
SAND-0361,99.42,0.58,0.1165,0.4563,1.9674,3.915,0.908,0.714,0.605,38.93,33.7,301.3
SAND-0362,86.19,13.81,0.1108,0.292,0.7114,2.635,1.081,0.567,0.718,33.77,22.8,220.8
SAND-0363,93.79,6.21,0.0598,0.2273,1.2434,3.801,0.695,0.613,0.712,34.72,25.9,274.7
SAND-0364,93.43,6.57,0.0419,0.299,3.4262,7.131,0.622,0.425,0.805,36.91,20.7,209.3
SAND-0365,74.96,25.04,0.108,0.3747,1.2934,3.47,1.005,0.362,0.805,29.65,15.2,202.9
SAND-0366,86.27,13.73,0.1197,0.466,2.0409,3.892,0.888,0.843,0.519,38.49,33.7,302.7
SAND-0367,70.2,29.8,0.0235,0.1477,0.9372,6.288,0.991,0.499,0.786,37.25,19.5,191.7
SAND-0368,76.98,23.02,0.0513,0.1803,0.6115,3.518,1.037,0.78,0.599,37.06,29.0,291.8
SAND-0369,84.93,15.07,0.1201,0.3792,1.0463,3.158,1.144,0.724,0.688,37.18,25.7,289.0
SAND-0370,97.49,2.51,0.1183,0.226,0.2914,1.911,1.482,0.713,0.604,34.99,32.3,293.2
SAND-0371,78.3,21.7,0.0442,0.2496,1.1089,5.642,1.27,0.405,0.768,34.78,16.5,193.1
SAND-0372,87.09,12.91,0.071,0.5439,4.9976,7.658,0.833,0.34,0.849,33.4,13.3,159.1
SAND-0373,84.2,15.8,0.1141,0.2484,0.3995,2.178,1.354,0.443,0.686,33.62,17.3,213.8
SAND-0374,71.9,28.1,0.0669,0.2756,1.1832,4.122,0.96,0.766,0.574,37.79,28.5,310.1
SAND-0375,98.72,1.28,0.0349,0.2124,1.2887,6.08,1.002,0.665,0.743,37.96,28.8,269.3
SAND-0376,75.22,24.78,0.0554,0.1615,0.5256,2.916,0.896,0.448,0.768,33.45,16.1,232.5
SAND-0377,99.65,0.35,0.0516,0.403,3.2778,7.816,0.961,0.636,0.719,37.45,25.9,250.0
SAND-0378,92.54,7.46,0.0207,0.1636,1.1282,7.894,1.145,0.554,0.701,35.71,24.2,269.0
SAND-0379,90.2,9.8,0.0204,0.1544,1.0996,7.572,1.063,0.792,0.587,41.14,33.6,307.9
SAND-0380,74.02,25.98,0.0442,0.1576,0.7425,3.565,0.757,0.221,0.911,31.82,11.3,142.6
SAND-0381,91.22,8.78,0.0856,0.2017,0.459,2.357,1.035,0.464,0.717,35.47,19.4,235.3
SAND-0382,79.73,20.27,0.0454,0.3317,2.7605,7.307,0.878,0.566,0.711,34.87,19.8,267.5
SAND-0383,77.22,22.78,0.0239,0.2038,1.3197,8.518,1.315,0.533,0.825,37.71,18.5,188.2
SAND-0384,89.32,10.68,0.0576,0.4602,3.5396,7.993,1.039,0.345,0.752,32.81,20.1,193.2
SAND-0385,73.66,26.34,0.0389,0.2907,2.2407,7.48,0.97,0.75,0.632,36.0,30.6,268.6
SAND-0386,85.05,14.95,0.0662,0.3736,2.5522,5.647,0.826,0.481,0.743,35.69,22.1,220.4
SAND-0387,82.81,17.19,0.0291,0.2411,2.758,8.278,0.724,0.511,0.706,34.1,22.0,279.2
SAND-0388,89.72,10.28,0.0248,0.1362,0.7051,5.485,1.059,0.448,0.737,36.21,19.1,220.0
SAND-0389,80.0,20.0,0.0401,0.2621,2.8132,6.529,0.608,0.374,0.69,33.6,16.0,176.4
SAND-0390,85.0,15.0,0.0428,0.237,1.0102,5.54,1.3,0.636,0.567,37.38,26.1,249.6
SAND-0391,90.51,9.49,0.1537,0.5075,1.4649,3.303,1.144,0.453,0.773,31.72,19.4,241.6
SAND-0392,75.18,24.82,0.0697,0.1396,0.3346,2.003,0.836,0.376,0.784,32.5,19.2,159.1
SAND-0393,76.4,23.6,0.0508,0.3456,1.7997,6.8,1.306,0.469,0.628,37.91,17.6,198.2
SAND-0394,92.09,7.91,0.0705,0.2677,1.2036,3.795,0.844,0.365,0.725,34.76,16.6,208.5
SAND-0395,77.81,22.19,0.1003,0.6797,4.3069,6.779,1.07,0.324,0.735,33.12,16.1,160.8
SAND-0396,96.53,3.47,0.0621,0.2446,1.6789,3.938,0.574,0.583,0.633,36.46,26.5,252.0
SAND-0397,98.84,1.16,0.042,0.2222,1.0061,5.287,1.168,0.675,0.669,40.98,31.4,255.7
SAND-0398,94.19,5.81,0.0396,0.3076,3.4999,7.761,0.682,0.3,0.796,33.04,12.4,169.6
SAND-0399,79.26,20.74,0.0527,0.42,3.1424,7.969,1.065,0.721,0.61,38.71,25.8,283.8
SAND-0400,80.83,19.17,0.0514,0.1479,0.4439,2.875,0.958,0.678,0.634,36.35,25.9,274.0
