temperature,rubber_content,specimen_type,reaction_equation,temperature_range,conversion_fraction,reaction_enthalpy_kj_mol,primary_product,secondary_product,mass_loss_percent,reaction_rate_per_min,activation_energy_kj_mol,specimen_id,analysis_method
600,20,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.8,-85,Amorphous_calcium_silicate,Water_vapor,0.4,5.297182474787971e-10,120,TD_20_600_heated,XRD-TGA_coupled
600,20,heated,CaCO₃ → CaO + CO₂,600-900°C,0.0,-178,Lime,Carbon_dioxide,0.0,0.0,150,TD_20_600_heated,XRD-TGA_coupled
600,25,control,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.8,-85,Amorphous_calcium_silicate,Water_vapor,0.4,5.297182474787971e-10,120,TD_25_600_control,XRD-TGA_coupled
600,25,control,CaCO₃ → CaO + CO₂,600-900°C,0.0,-178,Lime,Carbon_dioxide,0.0,0.0,150,TD_25_600_control,XRD-TGA_coupled
600,25,heated,C-S-H → Amorphous_silicate + H₂O,200-600°C,0.8,-85,Amorphous_calcium_silicate,Water_vapor,0.4,5.297182474787971e-10,120,TD_25_600_heated,XRD-TGA_coupled
600,25,heated,CaCO₃ → CaO + CO₂,600-900°C,0.0,-178,Lime,Carbon_dioxide,0.0,0.0,150,TD_25_600_heated,XRD-TGA_coupled
700,0,control,CaCO₃ → CaO + CO₂,600-900°C,0.3333333333333333,-178,Lime,Carbon_dioxide,0.016666666666666666,2.959460321907276e-11,150,TD_0_700_control,XRD-TGA_coupled
700,0,heated,CaCO₃ → CaO + CO₂,600-900°C,0.3333333333333333,-178,Lime,Carbon_dioxide,0.016666666666666666,2.959460321907276e-11,150,TD_0_700_heated,XRD-TGA_coupled
700,5,control,CaCO₃ → CaO + CO₂,600-900°C,0.3333333333333333,-178,Lime,Carbon_dioxide,0.016666666666666666,2.959460321907276e-11,150,TD_5_700_control,XRD-TGA_coupled
700,5,heated,CaCO₃ → CaO + CO₂,600-900°C,0.3333333333333333,-178,Lime,Carbon_dioxide,0.016666666666666666,2.959460321907276e-11,150,TD_5_700_heated,XRD-TGA_coupled
700,10,control,CaCO₃ → CaO + CO₂,600-900°C,0.3333333333333333,-178,Lime,Carbon_dioxide,0.016666666666666666,2.959460321907276e-11,150,TD_10_700_control,XRD-TGA_coupled
700,10,heated,CaCO₃ → CaO + CO₂,600-900°C,0.3333333333333333,-178,Lime,Carbon_dioxide,0.016666666666666666,2.959460321907276e-11,150,TD_10_700_heated,XRD-TGA_coupled
700,15,control,CaCO₃ → CaO + CO₂,600-900°C,0.3333333333333333,-178,Lime,Carbon_dioxide,0.016666666666666666,2.959460321907276e-11,150,TD_15_700_control,XRD-TGA_coupled
700,15,heated,CaCO₃ → CaO + CO₂,600-900°C,0.3333333333333333,-178,Lime,Carbon_dioxide,0.016666666666666666,2.959460321907276e-11,150,TD_15_700_heated,XRD-TGA_coupled
700,20,control,CaCO₃ → CaO + CO₂,600-900°C,0.3333333333333333,-178,Lime,Carbon_dioxide,0.016666666666666666,2.959460321907276e-11,150,TD_20_700_control,XRD-TGA_coupled
700,20,heated,CaCO₃ → CaO + CO₂,600-900°C,0.3333333333333333,-178,Lime,Carbon_dioxide,0.016666666666666666,2.959460321907276e-11,150,TD_20_700_heated,XRD-TGA_coupled
700,25,control,CaCO₃ → CaO + CO₂,600-900°C,0.3333333333333333,-178,Lime,Carbon_dioxide,0.016666666666666666,2.959460321907276e-11,150,TD_25_700_control,XRD-TGA_coupled
700,25,heated,CaCO₃ → CaO + CO₂,600-900°C,0.3333333333333333,-178,Lime,Carbon_dioxide,0.016666666666666666,2.959460321907276e-11,150,TD_25_700_heated,XRD-TGA_coupled
800,0,control,CaCO₃ → CaO + CO₂,600-900°C,0.6666666666666666,-178,Lime,Carbon_dioxide,0.03333333333333333,3.330626318850348e-10,150,TD_0_800_control,XRD-TGA_coupled
800,0,heated,CaCO₃ → CaO + CO₂,600-900°C,0.6666666666666666,-178,Lime,Carbon_dioxide,0.03333333333333333,3.330626318850348e-10,150,TD_0_800_heated,XRD-TGA_coupled
800,5,control,CaCO₃ → CaO + CO₂,600-900°C,0.6666666666666666,-178,Lime,Carbon_dioxide,0.03333333333333333,3.330626318850348e-10,150,TD_5_800_control,XRD-TGA_coupled
800,5,heated,CaCO₃ → CaO + CO₂,600-900°C,0.6666666666666666,-178,Lime,Carbon_dioxide,0.03333333333333333,3.330626318850348e-10,150,TD_5_800_heated,XRD-TGA_coupled
800,10,control,CaCO₃ → CaO + CO₂,600-900°C,0.6666666666666666,-178,Lime,Carbon_dioxide,0.03333333333333333,3.330626318850348e-10,150,TD_10_800_control,XRD-TGA_coupled
800,10,heated,CaCO₃ → CaO + CO₂,600-900°C,0.6666666666666666,-178,Lime,Carbon_dioxide,0.03333333333333333,3.330626318850348e-10,150,TD_10_800_heated,XRD-TGA_coupled
800,15,control,CaCO₃ → CaO + CO₂,600-900°C,0.6666666666666666,-178,Lime,Carbon_dioxide,0.03333333333333333,3.330626318850348e-10,150,TD_15_800_control,XRD-TGA_coupled
800,15,heated,CaCO₃ → CaO + CO₂,600-900°C,0.6666666666666666,-178,Lime,Carbon_dioxide,0.03333333333333333,3.330626318850348e-10,150,TD_15_800_heated,XRD-TGA_coupled
800,20,control,CaCO₃ → CaO + CO₂,600-900°C,0.6666666666666666,-178,Lime,Carbon_dioxide,0.03333333333333333,3.330626318850348e-10,150,TD_20_800_control,XRD-TGA_coupled
800,20,heated,CaCO₃ → CaO + CO₂,600-900°C,0.6666666666666666,-178,Lime,Carbon_dioxide,0.03333333333333333,3.330626318850348e-10,150,TD_20_800_heated,XRD-TGA_coupled
800,25,control,CaCO₃ → CaO + CO₂,600-900°C,0.6666666666666666,-178,Lime,Carbon_dioxide,0.03333333333333333,3.330626318850348e-10,150,TD_25_800_control,XRD-TGA_coupled
800,25,heated,CaCO₃ → CaO + CO₂,600-900°C,0.6666666666666666,-178,Lime,Carbon_dioxide,0.03333333333333333,3.330626318850348e-10,150,TD_25_800_heated,XRD-TGA_coupled
