cell,temperature_C,current_density_A_cm2,frequency_Hz,Z_real_Ohm_cm2,Z_imag_Ohm_cm2
3,700,0.1,1081.1808,0.42946,-0.00437
3,700,0.1,1420.8308,0.42951,-0.0037
3,700,0.1,1867.1811,0.42991,-0.00241
3,700,0.1,2453.7511,0.42977,-0.00188
3,700,0.1,3224.5905,0.42991,-0.00156
3,700,0.1,4237.5872,0.42958,-0.00104
3,700,0.1,5568.814,0.42992,-0.0007
3,700,0.1,7318.2422,0.42986,-0.0009
3,700,0.1,9617.2487,0.42994,-0.00051
3,700,0.1,12638.482,0.4297,-0.00045
3,700,0.1,16608.8278,0.42966,-0.00012
3,700,0.1,21826.4473,0.42951,-0.00042
3,700,0.1,28683.1681,0.42973,0.00015
3,700,0.1,37693.9098,0.43001,-0.00046
3,700,0.1,49535.3521,0.43007,0.00017
3,700,0.1,65096.7523,0.42956,-0.00058
3,700,0.1,85546.7254,0.42978,0.00017
3,700,0.1,112421.0035,0.43011,-0.00022
3,700,0.1,147737.7653,0.43015,-0.00048
3,700,0.1,194149.1946,0.42972,-0.00011
3,700,0.1,255140.652,0.43003,0.00024
3,700,0.1,335292.4149,0.42999,-0.00028
3,700,0.1,440623.6428,0.42997,9e-05
3,700,0.1,579044.3981,0.42946,-0.00042
3,700,0.1,760949.6685,0.43,-4e-05
3,700,0.1,1000000.0,0.42954,-5e-05
3,700,0.3,0.1,0.85244,-0.0043
3,700,0.3,0.1314,0.85202,-0.00525
3,700,0.3,0.1727,0.85248,-0.00746
3,700,0.3,0.227,0.85213,-0.00964
3,700,0.3,0.2982,0.8518,-0.0127
3,700,0.3,0.3919,0.85148,-0.01678
3,700,0.3,0.5151,0.85103,-0.02223
3,700,0.3,0.6769,0.85076,-0.02884
3,700,0.3,0.8895,0.84904,-0.03819
3,700,0.3,1.169,0.84644,-0.04928
3,700,0.3,1.5362,0.84245,-0.06467
3,700,0.3,2.0188,0.83547,-0.08292
3,700,0.3,2.6529,0.82417,-0.1061
3,700,0.3,3.4864,0.80505,-0.13295
3,700,0.3,4.5816,0.77723,-0.16128
3,700,0.3,6.0209,0.7372,-0.188
3,700,0.3,7.9123,0.68729,-0.20626
3,700,0.3,10.398,0.63021,-0.21134
3,700,0.3,13.6645,0.57431,-0.20029
3,700,0.3,17.9571,0.52782,-0.17834
3,700,0.3,23.5983,0.49246,-0.15039
3,700,0.3,31.0117,0.46842,-0.12186
3,700,0.3,40.7539,0.45374,-0.09655
3,700,0.3,53.5567,0.44354,-0.07581
3,700,0.3,70.3814,0.43761,-0.05779
3,700,0.3,92.4915,0.43435,-0.04465
3,700,0.3,121.5474,0.43269,-0.03379
3,700,0.3,159.7312,0.43136,-0.02609
3,700,0.3,209.9104,0.43074,-0.01995
3,700,0.3,275.8532,0.43022,-0.01501
3,700,0.3,362.5117,0.43015,-0.01107
3,700,0.3,476.3938,0.43007,-0.00852
3,700,0.3,626.0517,0.42969,-0.00655
3,700,0.3,822.7241,0.42971,-0.00499
3,700,0.3,1081.1808,0.42997,-0.00385
3,700,0.3,1420.8308,0.4303,-0.00265
3,700,0.3,1867.1811,0.43004,-0.00208
3,700,0.3,2453.7511,0.43016,-0.00199
3,700,0.3,3224.5905,0.43007,-0.00149
3,700,0.3,4237.5872,0.42969,-0.00087
3,700,0.3,5568.814,0.43004,-0.00098
3,700,0.3,7318.2422,0.42969,-0.00055
3,700,0.3,9617.2487,0.42976,-0.00026
3,700,0.3,12638.482,0.43048,-0.00025
3,700,0.3,16608.8278,0.42965,-0.00051
3,700,0.3,21826.4473,0.42973,-0.00038
3,700,0.3,28683.1681,0.42989,-5e-05
3,700,0.3,37693.9098,0.4297,0.00029
3,700,0.3,49535.3521,0.42965,-0.00011
3,700,0.3,65096.7523,0.42992,0.00011
3,700,0.3,85546.7254,0.43005,4e-05
3,700,0.3,112421.0035,0.43001,-0.00017
3,700,0.3,147737.7653,0.42998,0.00015
3,700,0.3,194149.1946,0.4301,-0.00036
3,700,0.3,255140.652,0.42962,0.00015
3,700,0.3,335292.4149,0.42927,9e-05
3,700,0.3,440623.6428,0.43001,-0.00012
3,700,0.3,579044.3981,0.42971,-0.00022
3,700,0.3,760949.6685,0.42969,-0.0001
3,700,0.3,1000000.0,0.42966,-0.00015
3,700,0.5,0.1,0.78983,-0.00371
3,700,0.5,0.1314,0.79023,-0.00487
3,700,0.5,0.1727,0.78988,-0.00642
3,700,0.5,0.227,0.78962,-0.00862
3,700,0.5,0.2982,0.78928,-0.01112
3,700,0.5,0.3919,0.78939,-0.01407
3,700,0.5,0.5151,0.78859,-0.01886
3,700,0.5,0.6769,0.78796,-0.02464
3,700,0.5,0.8895,0.78724,-0.03229
3,700,0.5,1.169,0.78493,-0.04178
3,700,0.5,1.5362,0.78149,-0.05489
3,700,0.5,2.0188,0.77549,-0.07089
3,700,0.5,2.6529,0.76573,-0.0902
3,700,0.5,3.4864,0.74968,-0.11309
3,700,0.5,4.5816,0.72602,-0.13745
3,700,0.5,6.0209,0.69238,-0.16003
3,700,0.5,7.9123,0.64891,-0.17558
3,700,0.5,10.398,0.60025,-0.18008
3,700,0.5,13.6645,0.55258,-0.17094
3,700,0.5,17.9571,0.51314,-0.15191
3,700,0.5,23.5983,0.48299,-0.1283
3,700,0.5,31.0117,0.46299,-0.10425
3,700,0.5,40.7539,0.44982,-0.08247
3,700,0.5,53.5567,0.44161,-0.06405
3,700,0.5,70.3814,0.43693,-0.04949
3,700,0.5,92.4915,0.43369,-0.03808
3,700,0.5,121.5474,0.43228,-0.02925
3,700,0.5,159.7312,0.43113,-0.02224
3,700,0.5,209.9104,0.43057,-0.01709
3,700,0.5,275.8532,0.42989,-0.01276
3,700,0.5,362.5117,0.43026,-0.01015
3,700,0.5,476.3938,0.43002,-0.00724
3,700,0.5,626.0517,0.43001,-0.00576
3,700,0.5,822.7241,0.42966,-0.0043
3,700,0.5,1081.1808,0.42988,-0.00327
3,700,0.5,1420.8308,0.42978,-0.00272
3,700,0.5,1867.1811,0.42989,-0.00181
3,700,0.5,2453.7511,0.42984,-0.00143
3,700,0.5,3224.5905,0.43014,-0.00123
3,700,0.5,4237.5872,0.43005,-0.00099
3,700,0.5,5568.814,0.43002,-0.00039
3,700,0.5,7318.2422,0.42974,-0.00015
3,700,0.5,9617.2487,0.42989,-0.00054
3,700,0.5,12638.482,0.42972,-5e-05
3,700,0.5,16608.8278,0.42998,-0.00043
3,700,0.5,21826.4473,0.42977,-0.00012
3,700,0.5,28683.1681,0.4297,0.00035
3,700,0.5,37693.9098,0.42984,-0.00011
3,700,0.5,49535.3521,0.43003,-0.00014
3,700,0.5,65096.7523,0.43,-0.00039
3,700,0.5,85546.7254,0.42971,0.00017
3,700,0.5,112421.0035,0.43011,-0.00019
3,700,0.5,147737.7653,0.42962,9e-05
3,700,0.5,194149.1946,0.42967,-7e-05
3,700,0.5,255140.652,0.42997,-0.00012
3,700,0.5,335292.4149,0.4294,-0.00027
3,700,0.5,440623.6428,0.4298,-0.00038
3,700,0.5,579044.3981,0.42974,-0.00028
3,700,0.5,760949.6685,0.43012,0.00043
3,700,0.5,1000000.0,0.42959,5e-05
