time_s,phase,current_density_A_cm2,voltage_V,temperature_C,degradation_factor
166830,SOFC,0.5,-0.294,709.47,0.98332
166860,SOFC,0.5,-0.2946,709.58,0.98331
166890,SOFC,0.5,-0.2946,709.7,0.98331
166920,SOFC,0.5,-0.2948,709.81,0.98331
166950,SOFC,0.5,-0.2946,709.93,0.9833
166980,SOFC,0.5,-0.2944,710.04,0.9833
167010,SOFC,0.5,-0.2981,710.16,0.9833
167040,SOFC,0.5,-0.2969,710.27,0.9833
167070,SOFC,0.5,-0.2973,710.39,0.98329
167100,SOFC,0.5,-0.293,710.51,0.98329
167130,SOFC,0.5,-0.2919,710.63,0.98329
167160,SOFC,0.5,-0.2995,710.75,0.98328
167190,SOFC,0.5,-0.292,710.87,0.98328
167220,SOFC,0.5,-0.2949,710.99,0.98328
167250,SOFC,0.5,-0.293,711.11,0.98328
167280,SOFC,0.5,-0.294,711.23,0.98327
167310,SOFC,0.5,-0.2921,711.35,0.98327
167340,SOFC,0.5,-0.2945,711.47,0.98327
167370,SOFC,0.5,-0.2977,711.59,0.98326
167400,SOFC,0.5,-0.2951,711.72,0.98326
167430,SOFC,0.5,-0.2938,711.84,0.98326
167460,SOFC,0.5,-0.2953,711.96,0.98325
167490,SOFC,0.5,-0.2935,712.09,0.98325
167520,SOFC,0.5,-0.2949,712.21,0.98325
167550,SOFC,0.5,-0.2959,712.34,0.98325
167580,SOFC,0.5,-0.2969,712.47,0.98324
167610,SOFC,0.5,-0.2955,712.59,0.98324
167640,SOFC,0.5,-0.2943,712.72,0.98324
167670,SOFC,0.5,-0.2986,712.85,0.98323
167700,SOFC,0.5,-0.2962,712.98,0.98323
167730,SOFC,0.5,-0.2986,713.11,0.98323
167760,SOFC,0.5,-0.2958,713.23,0.98322
167790,SOFC,0.5,-0.2921,713.36,0.98322
167820,SOFC,0.5,-0.2969,713.5,0.98322
167850,SOFC,0.5,-0.2931,713.63,0.98321
167880,SOFC,0.5,-0.2887,713.76,0.98321
167910,SOFC,0.5,-0.2915,713.89,0.98321
167940,SOFC,0.5,-0.2941,714.02,0.98321
167970,SOFC,0.5,-0.2926,714.16,0.9832
168000,SOFC,0.5,-0.2971,714.29,0.9832
168030,SOFC,0.5,-0.2975,714.42,0.9832
168060,SOFC,0.5,-0.2942,714.56,0.98319
168090,SOFC,0.5,-0.2935,714.69,0.98319
168120,SOFC,0.5,-0.292,714.83,0.98319
168150,SOFC,0.5,-0.2953,714.96,0.98318
168180,SOFC,0.5,-0.2938,715.1,0.98318
168210,SOFC,0.5,-0.2938,715.24,0.98318
168240,SOFC,0.5,-0.2944,715.37,0.98318
168270,SOFC,0.5,-0.2942,715.51,0.98317
168300,OCV,0.0,0.9657,715.65,0.98317
168330,OCV,0.0,0.968,715.79,0.98317
168360,OCV,0.0,0.9678,715.93,0.98316
168390,OCV,0.0,0.9664,716.07,0.98316
168420,OCV,0.0,0.9686,716.21,0.98316
168450,OCV,0.0,0.9693,716.35,0.98316
168480,OCV,0.0,0.9686,716.49,0.98315
168510,OCV,0.0,0.9651,716.63,0.98315
168540,OCV,0.0,0.9673,716.77,0.98315
168570,OCV,0.0,0.9653,716.91,0.98314
168600,OCV,0.0,0.9672,717.06,0.98314
168630,OCV,0.0,0.9652,717.2,0.98314
168660,OCV,0.0,0.9695,717.34,0.98313
168690,OCV,0.0,0.9685,717.49,0.98313
168720,OCV,0.0,0.9692,717.63,0.98313
168750,OCV,0.0,0.969,717.78,0.98313
168780,OCV,0.0,0.9663,717.92,0.98312
168810,OCV,0.0,0.9659,718.07,0.98312
168840,OCV,0.0,0.9702,718.21,0.98312
168870,OCV,0.0,0.9664,718.36,0.98311
168900,OCV,0.0,0.9639,718.51,0.98311
168930,OCV,0.0,0.9686,718.66,0.98311
168960,OCV,0.0,0.9669,718.8,0.9831
168990,OCV,0.0,0.9695,718.95,0.9831
169020,OCV,0.0,0.967,719.1,0.9831
169050,OCV,0.0,0.9664,719.25,0.9831
169080,OCV,0.0,0.9695,719.4,0.98309
169110,OCV,0.0,0.9633,719.55,0.98309
169140,OCV,0.0,0.9651,719.7,0.98309
169170,OCV,0.0,0.9645,719.85,0.98308
169200,SOEC,-0.5,2.2544,720.0,0.98308
169230,SOEC,-0.5,2.2604,720.15,0.98308
169260,SOEC,-0.5,2.2574,720.3,0.98307
169290,SOEC,-0.5,2.2603,720.46,0.98307
169320,SOEC,-0.5,2.2591,720.61,0.98307
169350,SOEC,-0.5,2.2595,720.76,0.98306
169380,SOEC,-0.5,2.2573,720.91,0.98306
169410,SOEC,-0.5,2.2566,721.07,0.98306
169440,SOEC,-0.5,2.2582,721.22,0.98306
169470,SOEC,-0.5,2.2597,721.38,0.98305
169500,SOEC,-0.5,2.2577,721.53,0.98305
169530,SOEC,-0.5,2.2563,721.69,0.98305
169560,SOEC,-0.5,2.2552,721.84,0.98304
169590,SOEC,-0.5,2.2579,722.0,0.98304
169620,SOEC,-0.5,2.2563,722.15,0.98304
169650,SOEC,-0.5,2.2572,722.31,0.98303
169680,SOEC,-0.5,2.2568,722.47,0.98303
169710,SOEC,-0.5,2.2563,722.62,0.98303
169740,SOEC,-0.5,2.2576,722.78,0.98303
169770,SOEC,-0.5,2.2581,722.94,0.98302
169800,SOEC,-0.5,2.2608,723.1,0.98302
169830,SOEC,-0.5,2.2583,723.25,0.98302
169860,SOEC,-0.5,2.2599,723.41,0.98301
169890,SOEC,-0.5,2.2549,723.57,0.98301
169920,SOEC,-0.5,2.2533,723.73,0.98301
169950,SOEC,-0.5,2.2564,723.89,0.98301
169980,SOEC,-0.5,2.258,724.05,0.983
170010,SOEC,-0.5,2.2576,724.21,0.983
170040,SOEC,-0.5,2.2585,724.37,0.983
170070,SOEC,-0.5,2.251,724.53,0.98299
170100,SOEC,-0.5,2.2584,724.69,0.98299
170130,SOEC,-0.5,2.2565,724.85,0.98299
170160,SOEC,-0.5,2.2527,725.02,0.98298
170190,SOEC,-0.5,2.2571,725.18,0.98298
170220,SOEC,-0.5,2.2559,725.34,0.98298
170250,SOEC,-0.5,2.2563,725.5,0.98298
170280,SOEC,-0.5,2.2574,725.67,0.98297
170310,SOEC,-0.5,2.2562,725.83,0.98297
170340,SOEC,-0.5,2.2523,725.99,0.98297
170370,SOEC,-0.5,2.2548,726.16,0.98296
170400,SOEC,-0.5,2.2518,726.32,0.98296
170430,SOEC,-0.5,2.2563,726.48,0.98296
170460,SOEC,-0.5,2.2577,726.65,0.98295
170490,SOEC,-0.5,2.2523,726.81,0.98295
170520,SOEC,-0.5,2.2533,726.98,0.98295
170550,SOEC,-0.5,2.2528,727.14,0.98294
170580,SOEC,-0.5,2.2536,727.31,0.98294
170610,SOEC,-0.5,2.2553,727.47,0.98294
170640,SOEC,-0.5,2.2535,727.64,0.98294
170670,SOEC,-0.5,2.2556,727.81,0.98293
170700,SOEC,-0.5,2.2563,727.97,0.98293
170730,SOEC,-0.5,2.2563,728.14,0.98293
170760,SOEC,-0.5,2.2518,728.31,0.98292
170790,SOEC,-0.5,2.2567,728.47,0.98292
170820,SOEC,-0.5,2.2568,728.64,0.98292
170850,SOEC,-0.5,2.2568,728.81,0.98291
170880,SOEC,-0.5,2.2533,728.97,0.98291
170910,SOEC,-0.5,2.2521,729.14,0.98291
170940,SOEC,-0.5,2.2515,729.31,0.98291
170970,SOEC,-0.5,2.2512,729.48,0.9829
171000,SOFC,0.5,-0.293,729.65,0.9829
171030,SOFC,0.5,-0.2913,729.82,0.9829
171060,SOFC,0.5,-0.2904,729.98,0.98289
171090,SOFC,0.5,-0.294,730.15,0.98289
171120,SOFC,0.5,-0.2931,730.32,0.98289
171150,SOFC,0.5,-0.2933,730.49,0.98289
171180,SOFC,0.5,-0.2943,730.66,0.98288
171210,SOFC,0.5,-0.2916,730.83,0.98288
171240,SOFC,0.5,-0.2923,731.0,0.98288
171270,SOFC,0.5,-0.2928,731.17,0.98287
171300,SOFC,0.5,-0.2924,731.34,0.98287
171330,SOFC,0.5,-0.2919,731.51,0.98287
171360,SOFC,0.5,-0.2919,731.68,0.98286
171390,SOFC,0.5,-0.2948,731.85,0.98286
171420,SOFC,0.5,-0.2913,732.03,0.98286
171450,SOFC,0.5,-0.2926,732.2,0.98286
171480,SOFC,0.5,-0.294,732.37,0.98285
171510,SOFC,0.5,-0.2927,732.54,0.98285
171540,SOFC,0.5,-0.2925,732.71,0.98285
171570,SOFC,0.5,-0.291,732.88,0.98284
171600,SOFC,0.5,-0.2953,733.05,0.98284
171630,SOFC,0.5,-0.2905,733.23,0.98284
171660,SOFC,0.5,-0.2932,733.4,0.98283
171690,SOFC,0.5,-0.2942,733.57,0.98283
171720,SOFC,0.5,-0.2943,733.74,0.98283
171750,SOFC,0.5,-0.2952,733.92,0.98282
171780,SOFC,0.5,-0.2967,734.09,0.98282
171810,SOFC,0.5,-0.2919,734.26,0.98282
171840,SOFC,0.5,-0.2893,734.43,0.98282
171870,SOFC,0.5,-0.2965,734.61,0.98281
171900,SOFC,0.5,-0.2952,734.78,0.98281
171930,SOFC,0.5,-0.2918,734.95,0.98281
171960,SOFC,0.5,-0.2934,735.13,0.9828
171990,SOFC,0.5,-0.2917,735.3,0.9828
172020,SOFC,0.5,-0.2936,735.47,0.9828
172050,SOFC,0.5,-0.2945,735.65,0.98279
172080,SOFC,0.5,-0.2939,735.82,0.98279
172110,SOFC,0.5,-0.2982,735.99,0.98279
172140,SOFC,0.5,-0.2957,736.17,0.98279
172170,SOFC,0.5,-0.2916,736.34,0.98278
172200,SOFC,0.5,-0.2911,736.51,0.98278
172230,SOFC,0.5,-0.2907,736.69,0.98278
172260,SOFC,0.5,-0.2926,736.86,0.98277
172290,SOFC,0.5,-0.298,737.04,0.98277
172320,SOFC,0.5,-0.2948,737.21,0.98277
172350,SOFC,0.5,-0.2909,737.38,0.98276
172380,SOFC,0.5,-0.2904,737.56,0.98276
172410,SOFC,0.5,-0.2909,737.73,0.98276
172440,SOFC,0.5,-0.2941,737.91,0.98276
172470,SOFC,0.5,-0.2963,738.08,0.98275
172500,SOFC,0.5,-0.2938,738.26,0.98275
172530,SOFC,0.5,-0.2937,738.43,0.98275
172560,SOFC,0.5,-0.2906,738.6,0.98274
172590,SOFC,0.5,-0.2933,738.78,0.98274
172620,SOFC,0.5,-0.2937,738.95,0.98274
172650,SOFC,0.5,-0.2937,739.13,0.98274
172680,SOFC,0.5,-0.293,739.3,0.98273
172710,SOFC,0.5,-0.2926,739.48,0.98273
172740,SOFC,0.5,-0.2953,739.65,0.98273
172770,SOFC,0.5,-0.296,739.83,0.98272
172800,OCV,0.0,0.9635,740.0,0.98272
172830,OCV,0.0,0.9574,740.17,0.98272
172860,OCV,0.0,0.9639,740.35,0.98271
172890,OCV,0.0,0.9568,740.52,0.98271
172920,OCV,0.0,0.9594,740.7,0.98271
172950,OCV,0.0,0.9624,740.87,0.98271
172980,OCV,0.0,0.9604,741.05,0.9827
173010,OCV,0.0,0.9578,741.22,0.9827
173040,OCV,0.0,0.9612,741.4,0.9827
173070,OCV,0.0,0.9604,741.57,0.98269
173100,OCV,0.0,0.9598,741.74,0.98269
173130,OCV,0.0,0.959,741.92,0.98269
173160,OCV,0.0,0.9601,742.09,0.98268
173190,OCV,0.0,0.9589,742.27,0.98268
173220,OCV,0.0,0.9649,742.44,0.98268
173250,OCV,0.0,0.9595,742.62,0.98267
173280,OCV,0.0,0.9592,742.79,0.98267
173310,OCV,0.0,0.9588,742.96,0.98267
173340,OCV,0.0,0.9634,743.14,0.98267
173370,OCV,0.0,0.9565,743.31,0.98266
173400,OCV,0.0,0.9605,743.49,0.98266
173430,OCV,0.0,0.9593,743.66,0.98266
173460,OCV,0.0,0.9568,743.83,0.98265
173490,OCV,0.0,0.958,744.01,0.98265
173520,OCV,0.0,0.9602,744.18,0.98265
173550,OCV,0.0,0.9578,744.35,0.98264
173580,OCV,0.0,0.96,744.53,0.98264
173610,OCV,0.0,0.9629,744.7,0.98264
173640,OCV,0.0,0.9597,744.87,0.98264
173670,OCV,0.0,0.9564,745.05,0.98263
173700,SOEC,-0.5,2.2454,745.22,0.98263
173730,SOEC,-0.5,2.2465,745.39,0.98263
173760,SOEC,-0.5,2.2463,745.57,0.98262
173790,SOEC,-0.5,2.2473,745.74,0.98262
173820,SOEC,-0.5,2.2475,745.91,0.98262
173850,SOEC,-0.5,2.2503,746.08,0.98262
173880,SOEC,-0.5,2.2468,746.26,0.98261
173910,SOEC,-0.5,2.2445,746.43,0.98261
173940,SOEC,-0.5,2.249,746.6,0.98261
173970,SOEC,-0.5,2.2492,746.77,0.9826
174000,SOEC,-0.5,2.2471,746.95,0.9826
174030,SOEC,-0.5,2.2461,747.12,0.9826
174060,SOEC,-0.5,2.2478,747.29,0.98259
174090,SOEC,-0.5,2.246,747.46,0.98259
174120,SOEC,-0.5,2.2423,747.63,0.98259
174150,SOEC,-0.5,2.2475,747.8,0.98259
174180,SOEC,-0.5,2.2481,747.97,0.98258
174210,SOEC,-0.5,2.2492,748.15,0.98258
174240,SOEC,-0.5,2.2448,748.32,0.98258
174270,SOEC,-0.5,2.2466,748.49,0.98257
174300,SOEC,-0.5,2.2466,748.66,0.98257
174330,SOEC,-0.5,2.2463,748.83,0.98257
174360,SOEC,-0.5,2.2463,749.0,0.98256
174390,SOEC,-0.5,2.2461,749.17,0.98256
174420,SOEC,-0.5,2.2464,749.34,0.98256
174450,SOEC,-0.5,2.2474,749.51,0.98255
174480,SOEC,-0.5,2.2483,749.68,0.98255
174510,SOEC,-0.5,2.2443,749.85,0.98255
174540,SOEC,-0.5,2.2454,750.02,0.98255
174570,SOEC,-0.5,2.2449,750.18,0.98254
174600,SOEC,-0.5,2.2446,750.35,0.98254
174630,SOEC,-0.5,2.2424,750.52,0.98254
174660,SOEC,-0.5,2.2457,750.69,0.98253
174690,SOEC,-0.5,2.2465,750.86,0.98253
174720,SOEC,-0.5,2.2452,751.03,0.98253
174750,SOEC,-0.5,2.2455,751.19,0.98252
174780,SOEC,-0.5,2.2463,751.36,0.98252
174810,SOEC,-0.5,2.2482,751.53,0.98252
174840,SOEC,-0.5,2.2445,751.69,0.98252
174870,SOEC,-0.5,2.243,751.86,0.98251
174900,SOEC,-0.5,2.2451,752.03,0.98251
174930,SOEC,-0.5,2.249,752.19,0.98251
174960,SOEC,-0.5,2.2429,752.36,0.9825
174990,SOEC,-0.5,2.2465,752.53,0.9825
175020,SOEC,-0.5,2.2474,752.69,0.9825
175050,SOEC,-0.5,2.2404,752.86,0.9825
175080,SOEC,-0.5,2.2459,753.02,0.98249
175110,SOEC,-0.5,2.2462,753.19,0.98249
175140,SOEC,-0.5,2.2444,753.35,0.98249
175170,SOEC,-0.5,2.2436,753.52,0.98248
175200,SOEC,-0.5,2.2437,753.68,0.98248
175230,SOEC,-0.5,2.2442,753.84,0.98248
175260,SOEC,-0.5,2.2442,754.01,0.98247
175290,SOEC,-0.5,2.2438,754.17,0.98247
175320,SOEC,-0.5,2.2441,754.33,0.98247
175350,SOEC,-0.5,2.2471,754.5,0.98247
175380,SOEC,-0.5,2.2423,754.66,0.98246
175410,SOEC,-0.5,2.2412,754.82,0.98246
175440,SOEC,-0.5,2.247,754.98,0.98246
175470,SOEC,-0.5,2.2442,755.15,0.98245
175500,SOFC,0.5,-0.2983,755.31,0.98245
175530,SOFC,0.5,-0.2978,755.47,0.98245
175560,SOFC,0.5,-0.2972,755.63,0.98244
175590,SOFC,0.5,-0.2987,755.79,0.98244
175620,SOFC,0.5,-0.2967,755.95,0.98244
175650,SOFC,0.5,-0.2997,756.11,0.98243
175680,SOFC,0.5,-0.2984,756.27,0.98243
175710,SOFC,0.5,-0.3023,756.43,0.98243
175740,SOFC,0.5,-0.2956,756.59,0.98243
175770,SOFC,0.5,-0.2983,756.75,0.98242
175800,SOFC,0.5,-0.2967,756.9,0.98242
175830,SOFC,0.5,-0.2971,757.06,0.98242
175860,SOFC,0.5,-0.297,757.22,0.98241
175890,SOFC,0.5,-0.2982,757.38,0.98241
175920,SOFC,0.5,-0.2975,757.53,0.98241
175950,SOFC,0.5,-0.3002,757.69,0.9824
175980,SOFC,0.5,-0.3007,757.85,0.9824
176010,SOFC,0.5,-0.2986,758.0,0.9824
176040,SOFC,0.5,-0.2998,758.16,0.9824
176070,SOFC,0.5,-0.2956,758.31,0.98239
176100,SOFC,0.5,-0.2978,758.47,0.98239
176130,SOFC,0.5,-0.3,758.62,0.98239
176160,SOFC,0.5,-0.2992,758.78,0.98238
176190,SOFC,0.5,-0.2984,758.93,0.98238
176220,SOFC,0.5,-0.2989,759.09,0.98238
176250,SOFC,0.5,-0.2983,759.24,0.98237
176280,SOFC,0.5,-0.2987,759.39,0.98237
176310,SOFC,0.5,-0.3017,759.54,0.98237
176340,SOFC,0.5,-0.3033,759.7,0.98237
176370,SOFC,0.5,-0.2998,759.85,0.98236
176400,SOFC,0.5,-0.298,760.0,0.98236
176430,SOFC,0.5,-0.2999,760.15,0.98236
176460,SOFC,0.5,-0.2967,760.3,0.98235
176490,SOFC,0.5,-0.2993,760.45,0.98235
176520,SOFC,0.5,-0.2966,760.6,0.98235
176550,SOFC,0.5,-0.297,760.75,0.98235
176580,SOFC,0.5,-0.2973,760.9,0.98234
176610,SOFC,0.5,-0.3019,761.05,0.98234
176640,SOFC,0.5,-0.2995,761.2,0.98234
176670,SOFC,0.5,-0.2971,761.34,0.98233
176700,SOFC,0.5,-0.2991,761.49,0.98233
176730,SOFC,0.5,-0.2986,761.64,0.98233
176760,SOFC,0.5,-0.3025,761.79,0.98232
176790,SOFC,0.5,-0.296,761.93,0.98232
176820,SOFC,0.5,-0.3014,762.08,0.98232
176850,SOFC,0.5,-0.3039,762.22,0.98232
176880,SOFC,0.5,-0.3007,762.37,0.98231
176910,SOFC,0.5,-0.3049,762.51,0.98231
176940,SOFC,0.5,-0.3022,762.66,0.98231
176970,SOFC,0.5,-0.295,762.8,0.9823
177000,SOFC,0.5,-0.3009,762.94,0.9823
177030,SOFC,0.5,-0.3031,763.09,0.9823
177060,SOFC,0.5,-0.3002,763.23,0.98229
177090,SOFC,0.5,-0.3021,763.37,0.98229
177120,SOFC,0.5,-0.2987,763.51,0.98229
177150,SOFC,0.5,-0.3022,763.65,0.98228
177180,SOFC,0.5,-0.3,763.79,0.98228
177210,SOFC,0.5,-0.3028,763.93,0.98228
177240,SOFC,0.5,-0.2954,764.07,0.98228
177270,SOFC,0.5,-0.2997,764.21,0.98227
177300,OCV,0.0,0.9537,764.35,0.98227
177330,OCV,0.0,0.9534,764.49,0.98227
177360,OCV,0.0,0.9528,764.63,0.98226
177390,OCV,0.0,0.9524,764.76,0.98226
177420,OCV,0.0,0.9523,764.9,0.98226
177450,OCV,0.0,0.9572,765.04,0.98225
177480,OCV,0.0,0.9527,765.17,0.98225
177510,OCV,0.0,0.9495,765.31,0.98225
177540,OCV,0.0,0.9514,765.44,0.98225
177570,OCV,0.0,0.9555,765.58,0.98224
177600,OCV,0.0,0.9531,765.71,0.98224
177630,OCV,0.0,0.9533,765.84,0.98224
177660,OCV,0.0,0.9559,765.98,0.98223
177690,OCV,0.0,0.952,766.11,0.98223
177720,OCV,0.0,0.9548,766.24,0.98223
177750,OCV,0.0,0.9521,766.37,0.98223
177780,OCV,0.0,0.9546,766.5,0.98222
177810,OCV,0.0,0.9526,766.64,0.98222
177840,OCV,0.0,0.9529,766.77,0.98222
177870,OCV,0.0,0.955,766.89,0.98221
177900,OCV,0.0,0.9548,767.02,0.98221
177930,OCV,0.0,0.9529,767.15,0.98221
177960,OCV,0.0,0.9523,767.28,0.9822
177990,OCV,0.0,0.9564,767.41,0.9822
178020,OCV,0.0,0.9543,767.53,0.9822
178050,OCV,0.0,0.9523,767.66,0.9822
178080,OCV,0.0,0.9518,767.79,0.98219
178110,OCV,0.0,0.9551,767.91,0.98219
178140,OCV,0.0,0.9532,768.04,0.98219
178170,OCV,0.0,0.9526,768.16,0.98218
178200,SOEC,-0.5,2.2428,768.28,0.98218
178230,SOEC,-0.5,2.2433,768.41,0.98218
178260,SOEC,-0.5,2.2425,768.53,0.98217
178290,SOEC,-0.5,2.245,768.65,0.98217
178320,SOEC,-0.5,2.2451,768.77,0.98217
178350,SOEC,-0.5,2.2436,768.89,0.98216
178380,SOEC,-0.5,2.2453,769.01,0.98216
178410,SOEC,-0.5,2.2425,769.13,0.98216
178440,SOEC,-0.5,2.2439,769.25,0.98216
178470,SOEC,-0.5,2.2445,769.37,0.98215
178500,SOEC,-0.5,2.2445,769.49,0.98215
178530,SOEC,-0.5,2.2443,769.61,0.98215
178560,SOEC,-0.5,2.2437,769.73,0.98214
178590,SOEC,-0.5,2.2464,769.84,0.98214
178620,SOEC,-0.5,2.2414,769.96,0.98214
178650,SOEC,-0.5,2.2421,770.07,0.98213
178680,SOEC,-0.5,2.242,770.19,0.98213
178710,SOEC,-0.5,2.2417,770.3,0.98213
178740,SOEC,-0.5,2.2384,770.42,0.98213
178770,SOEC,-0.5,2.2451,770.53,0.98212
178800,SOEC,-0.5,2.2403,770.64,0.98212
178830,SOEC,-0.5,2.2427,770.75,0.98212
178860,SOEC,-0.5,2.2395,770.86,0.98211
178890,SOEC,-0.5,2.2436,770.98,0.98211
178920,SOEC,-0.5,2.2408,771.09,0.98211
178950,SOEC,-0.5,2.2401,771.2,0.98211
178980,SOEC,-0.5,2.2427,771.3,0.9821
179010,SOEC,-0.5,2.2409,771.41,0.9821
179040,SOEC,-0.5,2.2412,771.52,0.9821
179070,SOEC,-0.5,2.2426,771.63,0.98209
179100,SOEC,-0.5,2.2439,771.73,0.98209
179130,SOEC,-0.5,2.2406,771.84,0.98209
179160,SOEC,-0.5,2.2403,771.95,0.98208
179190,SOEC,-0.5,2.2423,772.05,0.98208
179220,SOEC,-0.5,2.2433,772.15,0.98208
179250,SOEC,-0.5,2.2452,772.26,0.98208
179280,SOEC,-0.5,2.2401,772.36,0.98207
179310,SOEC,-0.5,2.2416,772.46,0.98207
179340,SOEC,-0.5,2.2446,772.56,0.98207
179370,SOEC,-0.5,2.2462,772.67,0.98206
179400,SOEC,-0.5,2.2402,772.77,0.98206
179430,SOEC,-0.5,2.2407,772.87,0.98206
179460,SOEC,-0.5,2.243,772.97,0.98205
179490,SOEC,-0.5,2.241,773.06,0.98205
179520,SOEC,-0.5,2.2407,773.16,0.98205
179550,SOEC,-0.5,2.2427,773.26,0.98205
179580,SOEC,-0.5,2.2453,773.36,0.98204
179610,SOEC,-0.5,2.2395,773.45,0.98204
179640,SOEC,-0.5,2.2452,773.55,0.98204
179670,SOEC,-0.5,2.241,773.64,0.98203
179700,SOEC,-0.5,2.2428,773.74,0.98203
179730,SOEC,-0.5,2.2453,773.83,0.98203
179760,SOEC,-0.5,2.2428,773.92,0.98202
179790,SOEC,-0.5,2.2415,774.01,0.98202
179820,SOEC,-0.5,2.2435,774.11,0.98202
179850,SOEC,-0.5,2.2418,774.2,0.98201
179880,SOEC,-0.5,2.2431,774.29,0.98201
179910,SOEC,-0.5,2.2417,774.38,0.98201
179940,SOEC,-0.5,2.2438,774.47,0.98201
179970,SOEC,-0.5,2.2393,774.55,0.982
180000,SOFC,0.5,-0.3073,774.64,0.982
180030,SOFC,0.5,-0.3081,774.73,0.982
180060,SOFC,0.5,-0.3054,774.81,0.98199
180090,SOFC,0.5,-0.3084,774.9,0.98199
180120,SOFC,0.5,-0.3068,774.98,0.98199
180150,SOFC,0.5,-0.3076,775.07,0.98198
180180,SOFC,0.5,-0.3025,775.15,0.98198
180210,SOFC,0.5,-0.3075,775.24,0.98198
180240,SOFC,0.5,-0.3081,775.32,0.98198
180270,SOFC,0.5,-0.3051,775.4,0.98197
180300,SOFC,0.5,-0.3023,775.48,0.98197
180330,SOFC,0.5,-0.3059,775.56,0.98197
180360,SOFC,0.5,-0.3058,775.64,0.98196
180390,SOFC,0.5,-0.3032,775.72,0.98196
180420,SOFC,0.5,-0.304,775.8,0.98196
180450,SOFC,0.5,-0.305,775.87,0.98196
180480,SOFC,0.5,-0.307,775.95,0.98195
180510,SOFC,0.5,-0.305,776.03,0.98195
180540,SOFC,0.5,-0.3087,776.1,0.98195
180570,SOFC,0.5,-0.3072,776.18,0.98194
180600,SOFC,0.5,-0.3031,776.25,0.98194
180630,SOFC,0.5,-0.3034,776.33,0.98194
180660,SOFC,0.5,-0.3052,776.4,0.98193
180690,SOFC,0.5,-0.31,776.47,0.98193
180720,SOFC,0.5,-0.3086,776.54,0.98193
180750,SOFC,0.5,-0.3075,776.61,0.98193
180780,SOFC,0.5,-0.3066,776.68,0.98192
180810,SOFC,0.5,-0.3087,776.75,0.98192
180840,SOFC,0.5,-0.3068,776.82,0.98192
180870,SOFC,0.5,-0.3028,776.89,0.98191
180900,SOFC,0.5,-0.3055,776.96,0.98191
180930,SOFC,0.5,-0.3059,777.02,0.98191
180960,SOFC,0.5,-0.3084,777.09,0.9819
180990,SOFC,0.5,-0.3097,777.15,0.9819
181020,SOFC,0.5,-0.3089,777.22,0.9819
181050,SOFC,0.5,-0.3099,777.28,0.98189
181080,SOFC,0.5,-0.3064,777.34,0.98189
181110,SOFC,0.5,-0.3058,777.41,0.98189
181140,SOFC,0.5,-0.3085,777.47,0.98189
181170,SOFC,0.5,-0.3063,777.53,0.98188
181200,SOFC,0.5,-0.3037,777.59,0.98188
181230,SOFC,0.5,-0.3028,777.65,0.98188
181260,SOFC,0.5,-0.3052,777.71,0.98187
181290,SOFC,0.5,-0.3071,777.76,0.98187
181320,SOFC,0.5,-0.3053,777.82,0.98187
181350,SOFC,0.5,-0.3041,777.88,0.98186
181380,SOFC,0.5,-0.3108,777.93,0.98186
181410,SOFC,0.5,-0.3039,777.99,0.98186
181440,SOFC,0.5,-0.308,778.04,0.98186
181470,SOFC,0.5,-0.308,778.1,0.98185
181500,SOFC,0.5,-0.3076,778.15,0.98185
181530,SOFC,0.5,-0.3063,778.2,0.98185
181560,SOFC,0.5,-0.3092,778.25,0.98184
181590,SOFC,0.5,-0.3076,778.3,0.98184
181620,SOFC,0.5,-0.306,778.35,0.98184
181650,SOFC,0.5,-0.3066,778.4,0.98184
181680,SOFC,0.5,-0.3063,778.45,0.98183
181710,SOFC,0.5,-0.3078,778.5,0.98183
181740,SOFC,0.5,-0.3057,778.55,0.98183
181770,SOFC,0.5,-0.305,778.59,0.98182
181800,OCV,0.0,0.9519,778.64,0.98182
181830,OCV,0.0,0.9508,778.68,0.98182
181860,OCV,0.0,0.9518,778.73,0.98181
181890,OCV,0.0,0.9516,778.77,0.98181
181920,OCV,0.0,0.9552,778.81,0.98181
181950,OCV,0.0,0.9523,778.85,0.98181
181980,OCV,0.0,0.9497,778.89,0.9818
182010,OCV,0.0,0.948,778.94,0.9818
182040,OCV,0.0,0.9493,778.97,0.9818
182070,OCV,0.0,0.9491,779.01,0.98179
182100,OCV,0.0,0.9508,779.05,0.98179
182130,OCV,0.0,0.9484,779.09,0.98179
182160,OCV,0.0,0.9521,779.13,0.98178
182190,OCV,0.0,0.947,779.16,0.98178
182220,OCV,0.0,0.9465,779.2,0.98178
182250,OCV,0.0,0.9495,779.23,0.98177
182280,OCV,0.0,0.948,779.27,0.98177
182310,OCV,0.0,0.9472,779.3,0.98177
182340,OCV,0.0,0.9484,779.33,0.98177
182370,OCV,0.0,0.9482,779.36,0.98176
182400,OCV,0.0,0.9497,779.39,0.98176
182430,OCV,0.0,0.9484,779.42,0.98176
182460,OCV,0.0,0.9486,779.45,0.98175
182490,OCV,0.0,0.9496,779.48,0.98175
182520,OCV,0.0,0.9517,779.51,0.98175
182550,OCV,0.0,0.9526,779.53,0.98174
182580,OCV,0.0,0.9499,779.56,0.98174
182610,OCV,0.0,0.95,779.59,0.98174
182640,OCV,0.0,0.9492,779.61,0.98174
