material,dislocation_type,slip_system,temperature_K,applied_stress_MPa,peierls_stress_MPa,dislocation_velocity_m_s,mobility_coefficient,stress_exponent,burgers_vector_A,dislocation_density_m2,line_tension_eV_A,core_energy_eV_A,interaction_energy_eV,simulation_time_ps,num_atoms
Al,mixed,<110>{001},377.99,640.23,136.92,7977.45867592,5.26328e-05,2.669,2.825,1030252015875.12,3.817,1.365,0.1471,387.2,100000
Fe,mixed,<110>{001},821.5,84.09,67.13,0.01321287,0.0001160538,1.157,3.085,7205904790172.64,2.317,1.168,-0.329,76.25,50000
Inconel-718,edge,<110>{001},946.9,719.18,29.36,115.28978321,2.4382e-06,1.463,3.205,26308665735931.28,1.047,0.996,-0.4126,373.78,500000
Cr,prismatic,<100>{001},795.03,753.84,82.36,31.12207815,1.14617e-05,1.003,2.878,239240724643587.9,2.771,1.437,-0.3404,488.68,100000
Al,edge,<110>{001},552.22,745.81,43.6,35.87208665,0.0001614764,1.02,3.324,30996238352338.23,1.939,2.177,0.0805,417.3,50000
Ni,edge,<110>{001},1023.84,801.72,64.72,2097.43242845,4.44311e-05,1.705,3.357,18979215056292.02,4.424,1.563,0.1673,369.64,100000
Cu,prismatic,<110>{111},320.22,911.58,73.47,697.17306236,0.0002038536,2.787,2.562,65548183306776.81,3.971,2.781,-0.3749,264.82,1000000
Cu,screw,<100>{001},1491.77,146.37,0.33,0.00055498,3.8475e-06,1.11,2.907,168934417109731.1,3.457,2.6,0.0911,412.79,100000
Fe,prismatic,<110>{111},1459.47,952.05,1.01,25.47767206,9.48542e-05,1.046,3.476,2566973096683.13,3.666,1.323,-0.2091,72.48,50000
Fe,basal,<110>{111},339.39,322.78,77.02,12.32960574,5.4487e-06,1.354,3.486,6106052115050.98,4.829,1.248,-0.0789,79.94,100000
Ti,edge,<100>{001},970.8,781.0,47.93,3336.75558768,1.19176e-05,2.363,2.524,963187911172264.6,1.747,2.595,-0.1553,348.49,500000
Cu,prismatic,<110>{001},843.02,18.64,21.84,0.0,1.62975e-05,2.368,2.901,135107583061382.58,1.578,2.891,-0.3728,449.58,50000
Al,screw,<110>{001},491.24,520.92,149.32,8.09147266,3.33494e-05,1.012,3.278,184227545005001.1,4.13,2.973,0.3711,170.57,500000
Inconel-718,prismatic,<111>{110},367.08,503.57,187.03,0.09235089,1.73476e-05,2.919,3.203,964654502234692.1,4.83,2.902,0.3404,219.43,100000
Inconel-718,basal,<111>{110},1424.99,279.23,5.17,72.60234505,3.5568e-06,2.693,3.495,6114204650673.66,3.804,1.584,-0.3267,119.32,500000
Al,screw,<111>{110},1394.94,170.13,15.87,0.09622165,2.08274e-05,2.645,3.11,4836568628138.41,2.404,0.632,-0.429,141.45,500000
Inconel-718,prismatic,<111>{110},1278.64,81.58,29.07,0.00099917,0.0008923062,1.989,3.153,79316157640599.1,3.978,0.715,0.2322,74.27,50000
Al,screw,<100>{001},938.59,620.68,65.44,1.84634038,2.63423e-05,2.517,2.949,1854406586378.45,2.481,1.678,-0.3007,314.15,100000
Fe,edge,<110>{001},1125.83,470.44,17.51,3348.5662507,1.5157e-06,1.738,2.74,71946310902702.9,4.727,1.572,-0.0175,256.04,100000
Steel-316,prismatic,<111>{110},1137.93,396.24,51.88,0.02743761,7.2904e-05,2.918,3.239,1547866972438.22,3.556,2.654,-0.1342,100.27,100000
Cr,prismatic,<110>{111},895.55,275.85,83.75,0.0904538,8.7416e-06,1.71,2.864,10317581854708.01,4.037,1.556,0.1595,364.49,500000
Steel-316,screw,<110>{111},673.57,740.21,73.35,674.32826783,3.7421e-06,2.78,2.934,8214839779436.05,1.18,2.395,-0.1783,67.06,100000
Ti,screw,<111>{110},368.55,737.93,57.92,845.52864021,6.3187e-06,1.817,2.512,959518030729839.8,4.176,2.829,0.0132,380.88,100000
Cr,edge,<110>{111},1290.1,67.33,26.18,0.16753953,4.8642e-06,1.427,2.897,14334214981910.69,2.584,2.216,-0.227,210.88,500000
Cu,screw,<100>{001},1144.0,84.96,14.76,0.02374615,1.05972e-05,1.883,3.296,748549290210074.9,4.508,2.613,0.0208,114.26,1000000
Al,mixed,<110>{001},1406.85,689.73,14.88,28.89682718,0.0002261879,1.498,2.6,21114375233977.18,2.271,1.289,0.1654,125.77,100000
Fe,basal,<100>{001},1322.44,909.29,4.01,286.61333885,3.23865e-05,1.585,2.622,13364982974705.1,1.969,1.929,0.3539,274.42,1000000
Inconel-718,prismatic,<110>{111},1450.1,61.1,7.72,0.00026118,1.40569e-05,2.901,3.482,17442467400874.08,2.891,2.53,0.4793,236.97,1000000
Ni,basal,<100>{001},313.15,397.95,41.74,1.99030963,0.0001860995,2.341,3.037,12496034277177.2,4.776,1.969,0.0505,278.73,50000
Cu,basal,<111>{110},658.26,955.67,47.29,1077.31127092,0.0007983514,1.566,3.199,112422914488257.03,2.424,0.64,0.1999,370.14,100000
Inconel-718,mixed,<110>{111},328.35,642.81,15.77,3.94699222,0.0001147716,1.737,3.368,1377850848683.52,3.952,1.495,0.3196,403.61,100000
Cu,edge,<110>{001},1085.4,130.83,5.07,0.93372662,3.68593e-05,2.411,2.969,121093700546304.38,1.968,1.587,-0.1419,274.73,50000
Fe,mixed,<100>{001},957.2,768.98,66.78,187994.48098067,0.0001106845,1.492,2.743,19614757892883.75,2.965,0.897,0.42,382.67,500000
Fe,screw,<111>{110},699.28,136.14,80.73,0.05446343,0.000840485,1.894,2.735,1640990184123.05,1.751,2.556,0.0765,314.29,100000
Cr,edge,<111>{110},1058.73,451.13,12.23,0.04517348,1.60256e-05,1.229,3.235,7851682463475.86,2.23,2.353,0.3268,321.18,50000
Cr,edge,<110>{111},1305.08,840.04,28.48,466.55296368,0.0009109488,1.185,2.987,19105748723600.61,2.466,1.882,0.0468,102.41,50000
Steel-316,prismatic,<110>{001},949.67,762.0,50.94,22.09689578,0.0002635631,1.55,3.235,2866448350408.18,2.613,2.626,-0.0982,432.63,100000
Ni,basal,<110>{111},951.08,259.1,89.74,16.15490066,3.41335e-05,2.261,2.61,4145667894969.08,3.462,2.061,0.1717,276.87,50000
Cr,screw,<100>{001},1086.56,875.3,22.62,4910.63027204,3.5277e-06,1.177,2.84,207467863083898.3,2.567,2.307,0.4318,71.16,100000
Cu,edge,<110>{001},1394.82,59.13,5.57,0.00021585,7.8122e-06,2.375,2.765,2739875345289.96,4.294,2.758,0.1378,158.71,1000000
Cu,prismatic,<100>{001},539.48,47.43,47.35,4.82e-06,0.0007843803,1.03,3.26,922946147782220.2,4.046,1.674,-0.4697,353.25,50000
Steel-316,screw,<110>{001},1343.27,406.53,12.9,0.008288,1.3293e-06,1.4,3.215,87748391393376.23,3.544,1.179,0.255,303.2,1000000
Ni,prismatic,<100>{001},471.08,427.79,63.89,8.19773255,3.3621e-06,2.254,2.923,492343364461817.6,3.177,1.417,-0.2443,382.47,100000
Steel-316,edge,<110>{111},822.91,404.53,19.99,0.02152949,1.3114e-06,2.683,3.002,715955290827171.6,2.825,2.978,0.0652,136.39,1000000
Al,edge,<110>{111},543.21,800.77,110.05,3.38365793,0.0002875837,2.37,3.371,3352467175390.91,1.397,1.997,0.3926,391.15,100000
Inconel-718,basal,<111>{110},501.48,720.16,62.27,7644.1351321,8.49013e-05,1.135,3.028,6828080087731.7,3.408,0.862,0.1275,232.9,500000
Fe,prismatic,<100>{001},504.74,132.35,55.49,1.78881264,1.21461e-05,1.819,2.849,3048253590158.05,3.434,2.6,0.3624,256.17,50000
Cr,basal,<110>{001},730.2,877.35,71.59,2.18410627,2.3278e-06,2.881,2.635,175228649342699.6,3.289,1.225,0.4548,428.54,500000
Inconel-718,mixed,<111>{110},915.89,135.47,9.45,22.9469608,2.53639e-05,1.156,3.333,76911176655699.52,1.244,1.198,0.3424,178.79,1000000
Steel-316,edge,<110>{001},1026.71,138.73,67.73,0.18573262,4.64045e-05,2.435,2.685,664279579273065.2,4.609,2.506,-0.4794,373.02,500000
Inconel-718,mixed,<100>{001},1132.91,688.59,31.29,17.02518361,1.2323e-06,1.8,3.492,7180506405769.1,1.64,1.839,-0.1186,118.99,1000000
Ni,mixed,<100>{001},1330.96,997.56,27.34,233.38004539,9.0827e-06,1.03,3.228,20290401981485.67,1.626,1.274,-0.0511,89.8,1000000
Ti,basal,<100>{001},1099.39,193.98,16.17,0.00803544,0.0009118773,2.593,2.968,4999889085567.31,1.732,2.524,0.2728,373.3,50000
Ni,screw,<100>{001},1253.04,516.51,7.84,0.01220659,0.0006673466,2.669,2.88,232603151449123.28,1.525,0.901,0.4538,120.57,500000
Inconel-718,edge,<100>{001},792.7,405.8,30.7,91.6534517,4.3053e-06,1.182,3.031,34150121391053.21,1.417,1.751,0.2905,106.21,1000000
Inconel-718,basal,<110>{111},837.94,869.0,13.13,17166.66875845,2.2733e-06,2.037,3.397,18247130798927.13,3.97,1.303,-0.448,416.13,1000000
Al,basal,<111>{110},536.44,968.78,109.38,0.09521453,1.8995e-06,2.944,2.869,390252173069649.1,2.064,2.714,0.2599,370.13,100000
Ni,mixed,<111>{110},1444.49,146.79,4.96,40.91035288,0.0002040892,2.252,3.102,18953461195389.82,1.356,1.325,0.1779,145.02,500000
Inconel-718,prismatic,<111>{110},1330.16,455.5,20.2,12.89021571,0.000232752,2.975,3.422,2832929615982.03,1.293,1.288,0.2913,178.18,1000000
Steel-316,basal,<110>{001},1433.27,166.83,6.75,373.99836529,2.0848e-06,1.34,2.989,11526651367599.35,3.985,0.99,-0.3054,404.14,500000
Cu,edge,<110>{001},1041.25,883.91,19.74,1.075691,3.0492e-06,1.699,2.716,569838212148432.6,1.487,2.343,-0.2497,181.87,500000
Steel-316,basal,<100>{001},1207.47,853.18,18.66,108.71464695,2.61928e-05,2.735,2.748,21653706935211.48,1.16,2.014,-0.0211,115.37,100000
Cr,edge,<100>{001},1430.23,677.86,4.19,8886.07779238,0.0004659736,2.023,2.671,9258250764533.59,2.169,2.411,-0.3211,352.41,500000
Ti,mixed,<110>{001},709.52,226.6,93.91,153.61035543,2.8134e-06,2.667,2.914,830881258363597.0,4.667,1.176,-0.1812,95.14,1000000
Cu,mixed,<111>{110},838.23,601.5,83.91,188.46435183,1.45783e-05,2.218,3.362,305054094087002.75,2.872,2.568,-0.0473,201.77,500000
Cr,edge,<111>{110},456.46,921.45,77.64,0.01707619,5.2759e-06,1.913,3.202,7767393668466.6,4.835,1.942,0.0863,355.88,50000
Cu,basal,<100>{001},780.7,387.94,119.08,418.87879293,6.7292e-06,2.471,3.411,20569664067819.77,3.551,2.314,-0.491,157.37,100000
Al,edge,<111>{110},1301.56,468.47,28.31,0.89895424,3.5485e-05,2.452,3.169,3581338935337.51,3.797,2.993,-0.4643,142.59,500000
Ti,basal,<100>{001},1255.03,325.49,12.5,89.68501318,2.52118e-05,1.237,2.985,4119677875136.26,3.464,1.162,0.3027,492.36,50000
Ni,basal,<100>{001},761.2,775.04,101.83,81.1380685,8.475e-06,1.588,3.286,12314419647569.46,2.925,1.503,-0.0841,330.45,500000
Cr,prismatic,<100>{001},841.04,660.6,8.72,1.50231629,0.0001695785,2.589,2.924,6208217393939.86,1.258,1.202,0.0485,251.92,1000000
Cr,mixed,<110>{001},958.51,491.76,28.54,0.32816983,9.5238e-06,2.08,2.767,371112917566356.5,3.226,2.447,-0.4767,400.57,100000
Inconel-718,basal,<110>{001},565.24,913.58,9.1,0.14439311,0.0006340187,2.897,3.345,100449416269767.69,1.128,1.361,-0.445,424.59,500000
Cu,screw,<111>{110},1228.87,703.23,32.85,34.03293815,3.6189e-06,1.005,2.62,2135769934541.55,2.927,2.905,-0.2213,224.64,50000
Ti,basal,<110>{111},370.53,796.87,125.0,326.2784194,0.0004651484,2.822,2.577,365467027323219.4,1.874,2.825,0.2034,424.87,500000
Fe,screw,<111>{110},666.81,574.13,61.64,44.04401907,2.96252e-05,2.896,2.969,189894288038717.5,4.175,2.657,-0.0076,212.0,1000000
Cr,prismatic,<111>{110},942.93,780.25,6.62,270.24670131,1.31004e-05,1.123,3.302,68897273229584.41,3.347,1.722,0.0467,275.46,50000
Ni,prismatic,<111>{110},823.02,271.12,51.11,0.03929937,1.8887e-06,2.444,2.911,4634225250855.02,2.967,2.768,-0.3646,129.28,1000000
Steel-316,mixed,<100>{001},1348.54,306.5,6.09,58.66570857,5.99837e-05,1.56,2.66,8697927489169.79,3.613,2.709,-0.0943,221.8,100000
Steel-316,edge,<100>{001},1348.98,401.31,4.96,32.81610858,0.0003558965,2.277,2.877,340178105212898.3,3.635,0.523,0.1846,182.62,500000
Steel-316,mixed,<111>{110},841.09,576.39,33.11,2.73001937,1.91186e-05,2.293,2.813,43380474762548.04,3.511,2.934,0.2635,225.28,100000
Steel-316,edge,<110>{111},993.02,158.48,17.67,0.29883351,0.0009712863,1.719,3.14,1527639837212.42,3.769,1.196,-0.1637,249.42,1000000
Cu,basal,<110>{111},1323.25,944.91,19.19,87.06699494,2.13237e-05,2.306,3.272,36277783069822.44,3.514,1.679,-0.4107,414.21,500000
Ni,prismatic,<110>{001},1317.13,343.82,18.34,0.0044948,1.0244e-06,2.507,3.401,15418799805942.49,2.873,1.403,0.4783,491.85,100000
Cr,edge,<110>{001},605.51,277.24,47.26,21.07280189,0.0002242994,1.502,2.597,112588286582721.83,4.627,1.018,-0.0327,200.04,500000
Al,prismatic,<111>{110},1320.07,826.77,28.66,0.11610981,0.000117676,2.22,2.768,34772853342687.68,1.697,0.9,0.2447,95.97,50000
Ti,basal,<111>{110},1300.64,905.09,9.32,4.19570323,1.0831e-06,1.4,2.565,171375739511510.4,2.619,0.773,0.4824,396.99,500000
Cu,edge,<100>{001},1169.27,577.44,46.65,2.52506314,0.0009946707,2.103,2.888,389834729475172.4,2.616,1.027,-0.356,321.16,100000
Ni,edge,<111>{110},1200.42,635.67,20.6,113.47064675,1.3655e-06,1.181,3.025,15997781169981.03,3.061,2.607,-0.384,328.4,500000
Cu,screw,<110>{111},1325.76,96.81,26.76,0.02502127,4.4012e-06,1.634,3.483,1857955220344.9,2.036,2.57,0.1828,415.59,50000
Ni,screw,<110>{111},832.71,149.93,39.77,0.00939127,0.0004475427,2.905,3.39,62939849311838.59,4.284,0.615,0.3399,86.63,1000000
Fe,prismatic,<111>{110},624.83,683.67,25.06,900.44726052,1.37769e-05,1.667,3.307,701778849900741.9,3.655,1.65,0.249,348.84,50000
Inconel-718,basal,<110>{111},1103.21,141.49,58.09,0.02202376,0.0009333834,2.843,3.274,305372984274484.9,4.334,1.548,0.0073,96.32,500000
Cu,mixed,<100>{001},1139.83,684.54,24.35,0.16458394,1.40959e-05,1.829,2.849,1726779932129.03,4.927,2.226,0.4955,332.49,500000
Cr,screw,<100>{001},911.76,258.35,94.37,0.04914217,1.8162e-06,2.488,2.986,66915217652392.45,3.293,1.247,0.2446,311.83,500000
Steel-316,edge,<110>{001},418.18,836.61,141.92,0.60441479,4.61488e-05,2.644,3.324,74596359432774.78,2.27,2.425,-0.3757,234.14,500000
Steel-316,basal,<100>{001},917.08,854.2,38.43,4012.25367535,0.0001846414,2.747,3.372,449584509369547.06,3.277,2.616,-0.23,209.04,100000
Cu,prismatic,<110>{111},792.68,462.53,112.55,0.05689293,5.14186e-05,2.238,3.182,183717172246891.56,1.846,2.146,-0.4758,312.68,100000
Al,prismatic,<110>{001},938.39,246.85,58.19,0.7126345,2.51615e-05,1.678,3.406,6458735543126.17,4.741,1.388,0.1833,201.85,1000000
Al,screw,<110>{001},427.36,829.24,129.01,1.80084834,2.5034e-06,2.71,3.093,48857242642847.62,3.279,2.969,-0.1503,198.18,1000000
Ti,screw,<110>{001},1483.03,206.59,0.3,0.34547079,1.17632e-05,2.623,3.369,4444299621986.38,2.906,1.832,0.1039,178.83,1000000
Inconel-718,edge,<110>{001},449.79,253.46,97.62,0.47054015,5.26158e-05,1.045,3.446,4707374993331.88,4.365,1.207,-0.3161,154.27,500000
Cu,edge,<110>{001},1274.85,331.26,21.11,0.96823816,4.19008e-05,1.063,3.176,377324393403708.9,1.074,2.627,-0.4143,458.66,500000
Inconel-718,basal,<110>{111},553.07,844.78,152.47,17.49666099,1.1149e-05,1.074,3.089,1109509623605.8,2.158,1.116,0.3893,51.22,100000
Cr,edge,<110>{111},707.64,385.06,30.54,26.67216302,0.0005709203,2.509,3.293,7676180539857.56,2.049,1.868,-0.1454,291.28,1000000
Ti,basal,<110>{001},733.5,109.4,94.82,0.02689528,4.7324e-06,1.638,2.649,95579262901125.62,2.338,1.296,-0.3399,467.26,50000
Steel-316,basal,<100>{001},904.49,166.67,57.2,1.37930157,2.9956e-05,2.531,2.634,5812960158973.03,2.705,1.018,0.1741,174.81,500000
Cu,edge,<111>{110},1160.16,284.9,33.26,74.38283631,0.0004582324,2.068,3.212,40355370854322.84,3.134,2.128,0.2543,74.48,50000
Cu,prismatic,<110>{111},1273.35,17.9,30.17,0.0,1.2817e-06,2.537,2.691,10602400894075.59,3.186,0.703,-0.2861,132.55,50000
Cr,mixed,<110>{111},1387.62,139.16,2.19,297.73482472,0.0002973091,2.64,3.034,10351343754017.42,2.917,1.509,-0.1382,473.96,1000000
Ti,basal,<110>{111},1485.54,128.73,1.89,0.00019374,1.13612e-05,1.657,2.619,14526783665534.46,4.43,0.734,-0.2101,343.73,50000
Fe,mixed,<100>{001},915.45,787.01,8.87,0.62959432,1.3177e-06,1.239,3.055,1018054599856.83,2.863,1.082,0.2435,225.1,100000
Cr,screw,<110>{001},1005.72,507.44,34.6,0.08312392,3.86857e-05,2.227,3.349,267810151839598.44,4.117,1.624,0.461,116.06,500000
Steel-316,prismatic,<110>{001},1107.08,772.22,35.07,2489.08834197,0.0002269538,2.941,2.526,199781180713428.75,2.149,0.547,-0.3886,141.2,100000
Cu,screw,<111>{110},1252.67,92.63,22.6,3.03630691,0.0001585958,2.983,3.408,4709781862091.92,1.25,0.701,-0.4838,127.04,1000000
Steel-316,screw,<110>{001},1029.7,31.3,60.14,0.0,9.9615e-06,1.683,2.636,392250767995941.3,2.41,1.911,0.3699,279.92,500000
Steel-316,basal,<110>{111},431.3,872.59,23.87,87.28371613,3.30342e-05,1.337,3.063,66449948856866.16,4.029,2.946,-0.1098,166.45,500000
Fe,prismatic,<110>{001},789.22,824.2,17.02,136.1082967,0.0001906076,2.882,2.822,1151695519971.75,4.503,2.194,-0.2822,292.28,1000000
Steel-316,basal,<111>{110},1201.36,508.13,48.65,0.35802988,0.000216108,1.53,2.898,7591198298029.97,2.026,0.635,0.2109,466.71,100000
Inconel-718,mixed,<110>{111},907.54,148.31,85.77,0.02573246,4.9572e-06,1.458,2.657,184844171873387.47,3.496,0.958,0.0383,409.65,100000
Steel-316,screw,<110>{111},438.66,279.8,110.91,0.04214036,8.2939e-06,2.643,3.14,990302971755457.5,1.018,1.628,-0.4338,279.83,1000000
Al,edge,<100>{001},986.33,320.44,59.36,0.00759712,4.7481e-05,2.467,2.872,22060238988559.8,4.15,0.615,0.4329,271.37,100000
Fe,prismatic,<111>{110},635.32,44.71,66.09,0.0,0.0001167042,2.126,3.186,210881187937955.97,3.236,1.363,-0.4387,299.78,100000
Al,screw,<111>{110},446.24,418.48,130.03,0.0062064,2.457e-06,2.692,2.516,852394595658189.5,2.244,2.037,0.012,66.08,50000
Ti,screw,<111>{110},876.24,429.94,64.99,9.19913606,0.0004910063,1.536,3.005,43535173084647.59,3.48,2.863,0.3836,59.08,1000000
Steel-316,edge,<110>{111},466.05,389.31,57.29,0.05252748,3.11024e-05,2.852,2.534,642434868883882.1,1.961,1.623,-0.0768,401.27,100000
Fe,prismatic,<110>{111},1166.74,501.04,38.73,802.11886344,1.31178e-05,2.684,2.621,24169460954555.73,3.421,1.177,0.1766,440.39,50000
Ti,edge,<100>{001},1471.67,220.77,3.78,35.07538575,0.0002254833,1.927,3.193,83246452548362.5,2.549,2.213,-0.0758,139.56,1000000
Fe,prismatic,<100>{001},505.49,593.04,124.8,5.6847334,6.46578e-05,1.231,3.009,890402276145397.5,1.461,0.923,0.1774,69.22,100000
Ti,prismatic,<110>{111},895.6,131.19,36.17,55.62493771,3.4891e-06,2.748,3.185,1885153102645.79,1.293,1.051,-0.2778,476.27,1000000
Steel-316,basal,<100>{001},432.4,372.61,81.11,258.73119084,6.81106e-05,1.316,3.228,2419094540539.99,4.196,1.832,0.1259,133.61,50000
Ti,prismatic,<110>{111},1283.46,743.48,14.75,0.17546225,1.9603e-06,1.375,3.453,873275974817922.8,1.898,2.725,-0.4109,64.5,1000000
Fe,basal,<100>{001},560.32,532.12,10.99,0.01667689,2.6704e-06,1.404,2.665,30445592357606.03,4.817,2.481,0.4689,160.16,100000
Cr,prismatic,<110>{111},1337.37,403.17,3.16,0.07884809,3.68217e-05,2.833,3.45,7847573236455.27,1.757,0.908,-0.0573,352.73,50000
Fe,mixed,<110>{111},320.57,840.39,94.45,31.65059295,1.92118e-05,1.657,3.208,6863997225695.72,1.105,2.875,0.3703,86.1,1000000
Al,prismatic,<100>{001},500.58,751.81,121.68,20.94096606,1.9179e-06,1.886,3.116,38167298167567.4,3.009,2.646,-0.321,370.93,50000
Inconel-718,mixed,<110>{001},876.66,609.02,84.85,0.11785804,2.27338e-05,1.121,2.882,94470803329766.66,4.315,2.49,0.3635,149.07,50000
Cu,prismatic,<100>{001},817.26,344.59,107.25,0.00364176,0.0003416405,1.559,2.942,35653495955472.96,3.061,1.733,0.0492,366.18,500000
Ni,basal,<110>{111},519.54,125.33,48.06,0.01323583,1.9245e-06,1.965,3.221,126908635302564.16,3.018,2.913,0.127,457.88,100000
Ti,prismatic,<100>{001},742.17,138.81,71.53,0.20471946,2.8897e-05,1.818,3.317,61226638595053.3,4.524,2.728,0.0931,483.52,1000000
Steel-316,prismatic,<110>{001},734.11,561.65,124.67,347.60238828,7.031e-06,2.955,2.718,44114298301125.54,3.79,1.22,0.2563,50.79,500000
Cu,mixed,<110>{001},1241.96,185.54,24.83,0.347254,9.2573e-05,2.359,3.017,4170454086077.29,2.492,2.716,-0.3178,318.34,50000
Inconel-718,edge,<100>{001},623.55,711.18,39.46,21.26421885,1.39579e-05,2.777,2.539,115278462416947.19,1.923,0.892,0.2887,367.07,50000
Steel-316,screw,<110>{111},1398.13,381.1,12.16,2.90066784,1.31274e-05,2.847,3.419,6872777826922.23,4.599,2.561,-0.1003,232.2,50000
Fe,prismatic,<110>{001},481.18,18.22,154.84,0.0,1.3003e-06,1.289,2.749,9910092346252.72,3.987,2.134,0.2791,418.51,100000
Fe,mixed,<100>{001},718.79,571.8,75.24,13.09677313,1.37e-06,2.559,2.655,23885935747766.16,3.498,1.269,-0.0177,221.68,50000
Steel-316,prismatic,<100>{001},959.97,774.69,31.73,149.83876531,9.50999e-05,1.093,2.974,10902346948279.84,1.198,2.341,-0.2608,348.39,100000
Steel-316,prismatic,<111>{110},1248.58,618.46,41.05,0.25831044,9.2951e-06,1.861,3.443,20708652589728.04,4.499,1.631,0.2608,175.93,50000
Cr,basal,<110>{001},619.86,783.3,96.59,247.20433732,9.17993e-05,2.82,2.541,2514636783030.82,1.52,2.207,-0.1663,59.11,1000000
Inconel-718,screw,<111>{110},442.32,511.49,40.84,60.53306145,1.0058e-06,1.551,2.512,774844049100644.9,4.805,2.997,-0.2781,322.6,500000
Al,mixed,<110>{001},1273.19,885.54,35.77,0.1152064,0.000675246,1.751,3.173,435523648203053.5,3.91,2.04,-0.2611,236.68,50000
Inconel-718,mixed,<111>{110},769.7,902.86,81.84,82.39010885,7.99561e-05,2.776,3.281,26112659195007.02,4.226,1.634,-0.2692,214.4,100000
Al,basal,<100>{001},587.55,951.3,85.38,1921.7826538,7.41924e-05,1.254,2.883,4002008986741.42,4.726,2.449,-0.2042,447.8,50000
Ti,mixed,<111>{110},934.65,86.75,48.19,0.00528125,3.69817e-05,2.027,2.644,220132477734826.44,1.714,1.593,-0.1653,180.43,500000
Steel-316,mixed,<100>{001},429.09,559.07,58.83,0.32937802,0.0007813947,2.234,3.261,51176953275039.34,1.366,1.412,-0.0614,141.79,100000
Steel-316,edge,<100>{001},843.1,869.6,104.52,94.68045893,4.1786e-06,1.287,2.575,51201712999019.91,3.96,2.832,0.4799,485.14,1000000
Al,edge,<110>{001},430.24,450.2,133.03,75.67611514,1.9067e-06,1.762,2.749,10019509913407.2,3.365,1.551,-0.2435,125.27,1000000
Al,prismatic,<110>{001},1224.1,661.15,9.55,0.54242994,2.25404e-05,2.006,3.469,13919255234685.07,4.242,2.404,0.3832,335.04,500000
Ni,screw,<110>{001},916.8,733.05,26.33,1.29953811,4.48128e-05,2.272,3.283,32404009525241.52,2.076,2.935,-0.4292,464.52,100000
Al,screw,<110>{111},1415.71,847.57,9.4,2553.01348627,2.06206e-05,1.626,3.021,86717990327091.31,3.298,1.004,0.2523,447.28,1000000
Fe,mixed,<100>{001},1404.51,405.56,6.28,71.88769846,2.6432e-06,1.018,3.275,712119970033472.0,2.589,1.767,-0.276,276.35,1000000
Ti,basal,<110>{111},1275.87,16.26,27.03,0.0,0.0006064103,2.436,3.473,1052003748659.13,1.1,0.539,0.453,194.92,100000
Ti,screw,<110>{111},1097.93,788.2,18.2,461.12319239,2.24988e-05,2.641,3.125,62519734345769.39,2.313,1.549,-0.1455,215.5,500000
Cr,mixed,<111>{110},931.64,493.67,15.6,2376.73294993,0.0001422679,1.275,3.073,333497971491285.4,3.531,1.094,0.1274,224.54,1000000
Fe,edge,<110>{001},736.43,770.22,66.1,2921.05944757,1.5475e-06,1.704,2.558,95614783445006.55,2.948,1.575,-0.1744,328.77,1000000
Fe,basal,<110>{111},491.55,875.15,90.37,7613.78830676,0.0008810781,1.805,3.439,59264823764636.74,3.314,0.746,-0.2592,375.54,100000
Steel-316,prismatic,<110>{111},799.35,502.44,31.29,43.33391927,7.47639e-05,1.434,3.448,27897096800533.73,4.505,1.796,-0.1999,380.58,100000
Fe,screw,<111>{110},397.47,854.65,39.25,58.8914274,0.0001743971,2.954,3.228,35365769217528.02,4.935,1.223,0.4397,317.62,50000
Ni,prismatic,<111>{110},1214.07,705.9,39.82,0.02847646,1.45798e-05,1.15,3.102,9586591622490.89,1.9,2.821,0.1651,99.22,50000
Inconel-718,basal,<110>{001},610.94,574.28,110.18,60.6082511,0.0002988706,1.361,2.884,639423174862926.6,3.418,2.611,-0.1138,437.11,1000000
Ni,basal,<100>{001},506.63,326.32,47.33,1.90735677,0.0003090847,2.7,3.314,89638934061868.58,2.665,1.005,0.4786,65.95,50000
Al,screw,<100>{001},526.63,280.33,54.31,0.01671501,3.4952e-06,1.762,3.221,14909207174867.55,2.591,0.926,-0.4015,437.6,500000
Fe,edge,<110>{111},578.8,725.51,25.51,0.01924887,6.6574e-06,2.453,3.082,175449200854697.88,1.586,0.514,-0.3486,488.37,100000
Cu,mixed,<100>{001},705.01,906.03,56.39,0.04871918,7.6346e-06,2.998,2.595,143148358556439.4,2.786,0.939,-0.0769,91.24,1000000
Cu,screw,<111>{110},871.57,856.95,71.94,56.05852673,0.0003668749,1.535,3.037,79145545581742.08,4.633,0.84,0.2033,469.09,100000
Ti,screw,<110>{001},1327.25,938.92,9.88,51706.71833651,8.29172e-05,1.1,2.834,13930998722685.19,1.126,0.939,0.2841,456.73,100000
Al,screw,<110>{001},820.14,344.36,61.24,28.66821329,0.0005518375,2.272,2.987,3092644676889.75,3.875,1.441,-0.1343,223.8,50000
Cr,basal,<110>{001},916.77,68.79,65.18,4.084e-05,1.73556e-05,1.152,3.172,425868421095180.75,3.42,1.773,-0.358,409.49,500000
Inconel-718,basal,<110>{111},856.14,996.65,81.99,309.84567641,3.3861e-06,2.381,2.5,1467807283634.92,2.872,2.254,-0.0776,190.19,1000000
Cu,basal,<100>{001},688.55,960.75,121.3,15.1838406,0.0003323437,2.621,2.726,57587020688687.91,1.806,1.255,0.4302,278.33,100000
