material,gb_type,temperature_K,misorientation_deg,applied_shear_stress_MPa,critical_shear_stress_MPa,sliding_displacement_nm,sliding_velocity_nm_ps,activation_energy_eV,simulation_time_ps,box_size_nm,num_atoms,timestep_fs
Ni,twist,847.85,18.55,78.68,54.63,10.8728,0.012129,0.4248,199.81,11.82,100000,2.0
Fe,tilt,1339.87,27.15,452.09,27.71,288.2547,0.426466,0.5746,684.26,16.75,50000,2.0
Al,twist,1117.63,21.4,64.93,28.99,8.6649,0.020054,0.9923,455.83,39.84,100000,1.0
Cu,symmetric_tilt,561.86,54.38,284.79,80.31,190.9208,0.516633,1.054,486.32,27.86,100000,2.0
Steel-316,mixed,674.07,23.89,90.74,75.11,9.9437,0.034788,0.9302,886.41,23.77,100000,0.5
Ni,tilt,964.82,14.29,426.17,35.42,355.2847,0.404541,0.3763,197.28,35.07,100000,1.0
Fe,twist,1060.63,15.76,251.28,32.23,163.572,0.169349,1.2062,242.87,40.96,100000,1.0
Steel-316,tilt,1368.85,55.39,398.86,6.4,77.5359,0.420388,0.7145,106.3,19.77,10000,2.0
Ti,asymmetric_tilt,1041.13,58.69,414.01,37.79,220.3827,0.225869,1.36,357.57,49.16,500000,0.5
Steel-316,tilt,1210.52,24.65,100.12,16.92,64.214,0.29938,1.0942,241.86,43.63,100000,0.5
Steel-316,mixed,932.19,23.02,484.66,42.77,239.2645,1.135835,0.3798,926.48,16.59,50000,1.0
Ti,tilt,760.12,50.45,223.69,43.63,71.3124,0.107003,1.1209,657.03,47.97,500000,1.0
Steel-316,mixed,605.73,25.22,427.27,65.01,84.7636,0.091577,1.3595,589.75,23.13,100000,1.0
Fe,mixed,1225.76,47.37,267.22,14.02,198.4842,0.223204,0.6784,621.54,43.62,10000,0.5
Ti,mixed,398.31,45.05,263.22,89.76,42.9633,0.095206,0.9035,325.78,49.18,10000,1.0
Cu,tilt,1273.97,5.83,212.67,41.37,65.334,0.390109,1.2474,765.15,46.59,10000,0.5
Cu,asymmetric_tilt,1369.18,26.55,170.34,7.05,156.0513,0.985158,0.8272,605.36,46.87,50000,2.0
Ni,tilt,586.83,44.44,362.56,77.43,111.6075,0.1271,0.9284,496.06,37.07,100000,0.5
Al,tilt,659.75,11.45,275.52,64.14,178.4261,0.224269,0.5429,349.38,23.07,50000,0.5
Cu,symmetric_tilt,1172.51,27.43,160.87,20.33,100.259,0.116048,1.3344,583.72,44.0,10000,0.5
Inconel-718,mixed,638.83,8.69,334.84,62.2,48.8622,0.080798,0.3036,714.41,11.4,100000,2.0
Fe,twist,1107.34,26.39,91.33,47.63,19.7612,0.023899,0.4228,884.67,37.41,50000,1.0
Ni,tilt,1093.47,57.53,236.15,29.73,81.873,0.229697,0.9306,928.6,38.81,10000,2.0
Ni,mixed,570.3,30.61,39.02,61.45,0.047,7.7e-05,1.3389,582.01,30.66,50000,1.0
Fe,tilt,373.81,22.38,311.87,105.41,190.9257,1.11787,0.6881,353.94,31.84,50000,1.0
Steel-316,mixed,406.55,45.68,171.09,89.54,15.9146,0.01874,0.4751,329.71,11.25,500000,2.0
Inconel-718,mixed,1114.17,34.05,67.72,34.03,19.0937,0.025425,1.0745,186.34,23.62,100000,2.0
Inconel-718,symmetric_tilt,935.47,5.59,246.7,54.01,62.1125,0.513829,0.8415,328.23,27.41,100000,1.0
Fe,asymmetric_tilt,816.34,37.7,453.97,41.73,75.2255,0.280393,1.341,612.67,36.61,10000,0.5
Cr,symmetric_tilt,703.39,41.34,19.29,70.21,0.0191,4.3e-05,1.3349,578.29,15.4,50000,2.0
Al,twist,477.89,28.93,222.58,95.55,87.0568,0.13011,0.5229,562.68,41.76,500000,0.5
Inconel-718,asymmetric_tilt,533.14,45.28,167.93,97.99,30.5398,0.187844,1.3739,520.22,37.32,10000,1.0
Inconel-718,symmetric_tilt,340.8,23.35,417.68,105.61,256.1114,0.289377,0.6157,464.27,14.33,50000,1.0
Ti,mixed,602.01,40.15,177.36,84.01,29.4766,0.120699,1.2323,758.69,19.59,100000,2.0
Ti,mixed,1364.49,36.82,308.06,12.87,71.7094,0.157164,1.1163,432.43,46.58,500000,2.0
Ni,twist,1259.31,26.63,152.62,4.34,71.0321,0.163421,1.3562,728.52,16.87,50000,0.5
Cr,twist,1358.34,55.11,472.55,16.36,94.8298,0.194006,1.3279,372.03,22.99,10000,0.5
Ti,tilt,1348.11,50.59,463.04,16.55,367.911,0.65288,1.2567,774.1,23.2,100000,1.0
Cu,symmetric_tilt,1157.5,58.38,68.26,9.22,16.4088,0.019235,0.3937,483.08,32.07,100000,1.0
Ti,mixed,912.08,19.9,63.97,62.83,1.0105,0.001642,0.9718,814.21,29.88,100000,1.0
Steel-316,asymmetric_tilt,1211.15,42.75,118.71,35.48,82.0093,0.617062,0.4782,303.99,47.65,500000,1.0
Fe,symmetric_tilt,540.64,33.15,205.59,80.29,67.2484,0.071097,0.5683,180.55,46.19,10000,1.0
Inconel-718,tilt,1102.73,53.11,209.22,18.02,88.9978,0.113822,0.8232,448.11,12.4,50000,0.5
Inconel-718,tilt,845.54,9.72,169.28,46.38,49.9889,0.081763,0.8351,604.58,32.73,100000,0.5
Al,tilt,1421.51,14.78,194.1,0.0,63.5714,0.170632,0.8425,169.55,34.17,10000,1.0
Cu,tilt,439.65,34.63,361.32,78.35,208.2614,0.371221,0.8264,376.34,25.51,100000,1.0
Ni,tilt,979.4,58.36,475.69,37.94,57.2977,0.125146,0.4627,847.92,33.93,50000,1.0
Al,mixed,1270.72,40.73,280.46,9.48,249.667,0.50104,0.5551,728.75,43.13,100000,2.0
Fe,symmetric_tilt,919.32,51.39,376.66,45.03,266.9229,1.918044,0.9721,125.11,29.79,10000,1.0
Cu,symmetric_tilt,1369.17,56.16,82.6,27.2,9.9608,0.024758,1.4021,846.41,46.82,500000,0.5
Fe,twist,826.04,53.21,369.14,73.61,52.6567,0.209086,0.3847,518.58,41.65,10000,2.0
Steel-316,tilt,762.5,58.24,446.4,58.28,387.2082,1.454638,0.778,626.38,13.48,10000,2.0
Al,twist,1018.47,47.6,352.62,44.97,159.7332,0.874499,1.4889,877.59,22.66,500000,0.5
Ni,symmetric_tilt,578.14,20.87,416.3,87.15,237.9547,0.468697,1.4928,870.12,45.59,100000,2.0
Ni,symmetric_tilt,531.96,50.67,428.09,76.95,55.4219,0.084092,1.4854,287.22,30.95,10000,0.5
Steel-316,asymmetric_tilt,408.22,57.15,164.55,86.2,50.5369,0.051745,0.4837,348.14,17.11,50000,2.0
Ti,twist,817.57,16.94,154.5,57.06,10.8705,0.05392,0.6706,987.2,13.3,50000,1.0
Fe,asymmetric_tilt,1189.54,23.31,269.38,9.5,223.6008,0.532819,0.8209,571.96,44.07,50000,1.0
Fe,symmetric_tilt,782.81,7.93,377.79,48.67,187.2123,0.863699,1.2277,218.69,36.94,50000,2.0
Ti,mixed,727.35,43.64,198.26,65.46,103.4173,0.243006,1.4076,377.08,33.88,10000,0.5
Al,tilt,1246.07,56.76,478.33,29.13,110.1069,0.313996,1.3222,245.74,28.63,50000,0.5
Ni,twist,560.51,7.8,17.42,89.32,0.0058,5.5e-05,1.2034,245.47,23.53,10000,2.0
Ni,symmetric_tilt,370.7,5.14,449.07,79.12,68.4642,0.169938,0.8959,587.33,24.06,10000,1.0
Ni,tilt,1316.23,42.75,405.98,5.15,112.3292,0.385674,0.3619,702.67,38.85,500000,0.5
Steel-316,symmetric_tilt,344.61,43.61,488.87,113.25,337.079,1.636254,0.906,719.53,30.31,10000,2.0
Cr,mixed,427.76,39.8,17.88,91.97,0.0181,2e-05,1.3035,796.55,27.67,10000,1.0
Ti,tilt,904.88,11.52,473.62,56.34,399.6236,0.556498,0.9429,124.23,23.48,100000,1.0
Cr,tilt,1403.26,41.21,483.38,5.56,361.4638,0.396694,1.3903,167.34,35.64,500000,0.5
Fe,mixed,648.79,58.03,313.17,63.31,213.3484,0.241708,0.3878,240.78,16.49,500000,1.0
Al,twist,614.83,58.69,102.52,61.37,23.1342,0.076645,1.4049,818.07,25.72,50000,2.0
Fe,symmetric_tilt,552.81,30.98,118.17,77.96,31.9153,0.033087,0.6417,718.97,49.01,100000,1.0
Inconel-718,twist,799.94,50.5,59.19,64.82,0.0719,0.000547,1.2969,491.8,13.57,500000,0.5
Cu,twist,913.55,34.49,288.31,43.83,194.5737,0.854404,0.5017,408.66,23.89,50000,1.0
Cr,asymmetric_tilt,1234.47,52.87,71.24,10.87,31.5629,0.19363,0.6548,454.91,15.09,50000,1.0
Fe,asymmetric_tilt,743.86,36.5,479.76,63.56,239.5068,0.599631,0.3049,366.09,37.24,100000,1.0
Cu,tilt,1340.06,40.56,348.44,12.81,131.1415,0.240326,0.7565,898.3,21.04,100000,0.5
Ni,asymmetric_tilt,1030.12,52.4,28.61,39.38,0.052,0.000283,1.2087,863.44,16.65,50000,2.0
Fe,symmetric_tilt,1147.89,41.15,231.05,28.86,110.1112,0.467084,0.3398,624.75,20.49,10000,1.0
Cr,twist,889.35,10.75,254.45,59.81,140.1293,0.155645,0.9469,546.59,31.08,100000,2.0
Inconel-718,mixed,877.03,31.29,65.35,50.38,8.3811,0.026408,1.0536,569.41,49.17,100000,1.0
Ni,symmetric_tilt,1325.14,51.94,314.2,7.06,197.7778,0.425828,0.7861,317.2,36.08,500000,0.5
Fe,mixed,1308.53,41.36,423.08,18.93,177.478,0.316664,0.3943,559.4,32.54,100000,0.5
Inconel-718,mixed,723.97,18.68,256.06,61.85,138.5312,0.289264,0.6084,840.27,33.27,10000,1.0
Ti,twist,1019.99,23.6,210.51,40.0,167.8975,0.679895,1.1647,799.83,31.08,500000,2.0
Inconel-718,mixed,441.86,14.59,279.77,85.53,186.1546,0.558053,1.3595,852.32,22.33,50000,1.0
Steel-316,asymmetric_tilt,713.65,27.02,420.75,65.95,335.4256,0.55561,0.8153,595.6,26.87,500000,0.5
Al,mixed,929.09,40.71,28.79,46.94,0.0188,4.3e-05,0.8582,407.36,16.74,100000,2.0
Cu,symmetric_tilt,1291.63,46.72,475.56,1.55,339.8186,0.34923,0.3617,557.27,17.53,100000,2.0
Ni,asymmetric_tilt,871.29,19.45,416.22,60.49,246.6025,0.435975,1.208,513.31,20.29,100000,0.5
Ni,symmetric_tilt,1310.65,22.94,457.95,14.94,70.135,0.110313,1.3001,611.19,29.86,500000,0.5
Inconel-718,symmetric_tilt,439.81,55.26,110.75,85.42,11.8817,0.029435,0.9302,923.31,18.29,500000,2.0
Cu,mixed,663.67,56.16,474.28,72.61,173.2356,0.314942,1.078,773.05,10.75,10000,1.0
Ni,twist,436.17,26.1,55.7,68.85,0.04,6.1e-05,0.8863,590.7,39.99,50000,1.0
Al,twist,688.1,18.18,478.0,37.54,244.2976,0.392029,1.3468,386.41,27.26,10000,1.0
Ti,twist,1029.55,27.88,391.82,44.35,160.1217,0.361815,0.9269,567.32,25.42,10000,0.5
Al,tilt,343.83,18.92,454.44,87.21,107.0247,0.9472,0.3894,202.27,44.87,50000,2.0
Cu,asymmetric_tilt,1467.44,7.66,123.84,4.67,78.6363,0.097786,1.1312,157.17,19.34,10000,2.0
Ni,symmetric_tilt,1238.28,7.68,206.54,28.46,166.4003,0.206448,0.3147,210.76,23.3,100000,2.0
Inconel-718,symmetric_tilt,1041.1,28.05,94.85,43.67,19.5992,0.04643,0.98,110.09,38.78,10000,2.0
Al,mixed,824.05,10.86,282.84,58.47,38.2416,0.066784,1.2751,508.34,28.38,100000,2.0
Cu,twist,990.85,40.94,294.39,33.22,223.7193,0.51332,1.032,989.83,38.47,100000,2.0
Fe,symmetric_tilt,828.57,25.11,91.91,56.83,16.7258,0.161185,0.8202,707.35,38.28,500000,1.0
Steel-316,symmetric_tilt,1153.54,41.75,465.57,44.38,228.9954,0.23281,0.4938,415.34,28.87,50000,1.0
Al,twist,1472.01,29.47,497.77,0.0,357.1609,0.880835,1.4975,720.45,37.97,100000,2.0
Inconel-718,symmetric_tilt,646.55,5.58,113.65,71.3,39.1628,0.08797,0.643,525.06,43.64,500000,2.0
Fe,tilt,1204.01,7.82,81.21,37.74,16.6194,0.022384,1.2904,755.67,48.55,500000,0.5
Cu,tilt,763.36,51.32,127.66,72.56,11.4525,0.024714,1.4414,355.83,48.32,500000,1.0
Inconel-718,symmetric_tilt,1188.91,47.92,188.51,24.87,163.6044,0.375343,1.0191,498.77,32.83,10000,0.5
Cu,asymmetric_tilt,803.41,26.49,276.47,52.52,90.6703,0.130058,1.3148,709.94,39.06,500000,2.0
