material,defect_type,temperature_K,formation_energy_eV,lattice_parameter_A,defect_volume_A3,charge_state,convergence_tolerance,k_points,energy_cutoff_eV
Fe,divacancy,1402.96,3.7184,3.3445,34.168,2,1.48e-06,8x6x4,400
Steel-316,vacancy,1304.14,1.0408,3.129,14.341,1,1.03e-06,6x8x8,500
Fe,vacancy,653.09,2.2422,2.9306,18.427,-1,1.22e-06,8x6x6,500
Al,divacancy,987.35,1.2413,3.7428,34.843,-2,4.92e-06,8x6x8,700
Ti,interstitial,666.77,2.3078,2.82,38.864,0,6.02e-06,6x8x6,600
Cr,vacancy,983.35,2.2136,3.9275,24.379,-1,6.14e-06,4x8x8,500
Ti,divacancy,1143.19,1.4519,3.8332,37.041,1,7.82e-06,8x4x4,400
Al,vacancy,997.78,0.9775,3.4673,43.731,1,2.31e-06,4x4x4,600
Cr,substitutional,1050.06,2.3661,3.8294,25.789,2,8.03e-06,4x6x8,700
Fe,vacancy,396.6,2.0059,3.1602,29.454,-2,4.13e-06,6x8x8,700
Fe,interstitial,537.55,2.8941,3.1139,45.584,2,1.19e-06,6x4x6,600
Ti,divacancy,1388.38,3.2809,3.1241,46.518,0,8.61e-06,4x8x4,400
Cr,vacancy,695.71,2.8645,3.4697,11.025,-1,3.99e-06,6x8x6,500
Ni,substitutional,571.88,1.0368,3.5116,32.13,2,8.13e-06,4x4x4,600
Inconel-718,divacancy,387.53,1.2009,3.0855,16.023,0,5.72e-06,4x8x6,500
Ni,vacancy,688.46,0.7354,3.7856,42.589,1,2.45e-06,6x6x8,500
Cu,substitutional,598.41,1.2433,3.0921,18.689,1,1.23e-06,8x4x8,700
Fe,vacancy,534.22,2.6697,4.067,17.935,-2,8.61e-06,4x8x4,700
Fe,interstitial,844.29,5.6946,3.4728,14.272,-2,1.42e-06,4x4x6,700
Fe,interstitial,1244.56,5.0805,3.8296,27.724,-1,8.63e-06,6x4x4,400
Cr,vacancy,629.89,0.4793,2.8646,21.383,-1,7.95e-06,8x6x8,500
Ti,substitutional,1412.05,2.2082,3.9027,30.62,0,9.07e-06,6x8x6,700
Steel-316,vacancy,968.07,0.4345,3.7743,46.324,0,2.61e-06,8x8x6,700
Cr,divacancy,335.24,3.5438,4.1968,41.914,-1,5.64e-06,4x4x6,700
Cr,vacancy,1189.11,1.0079,3.4738,48.089,1,4.03e-06,4x8x6,700
Ti,divacancy,1402.96,4.064,3.4883,14.736,1,7.72e-06,4x6x4,500
Steel-316,vacancy,1201.84,2.0806,3.5581,15.971,1,7.72e-06,4x4x8,500
Cu,substitutional,420.61,2.1867,4.1084,20.908,0,7.31e-06,8x8x6,700
Inconel-718,interstitial,568.76,5.2702,3.4181,19.404,1,4e-06,6x4x6,500
Al,substitutional,509.51,0.6356,3.3418,45.587,1,6.86e-06,4x8x6,400
Fe,divacancy,1299.13,0.7526,3.2417,29.879,1,5.61e-06,6x6x8,400
Cu,interstitial,1095.13,4.7309,3.4236,24.558,-2,3.4e-06,6x4x4,500
Al,divacancy,434.93,3.9518,3.1451,45.131,-1,3.65e-06,8x4x4,400
Steel-316,interstitial,496.39,3.7354,3.0358,21.85,-2,3.62e-06,8x6x4,400
Fe,divacancy,1030.29,1.0438,3.3337,39.718,1,3.09e-06,4x6x6,400
Inconel-718,divacancy,740.59,2.9072,3.4708,25.618,0,3.65e-06,8x8x4,700
Ti,divacancy,1036.55,1.9282,2.9635,48.001,1,2.72e-06,4x4x4,500
Fe,interstitial,1129.37,2.5053,4.1286,30.002,-2,5.5e-06,6x8x6,700
Cr,vacancy,305.14,2.4486,3.5923,32.883,0,4.58e-06,6x4x4,400
Cr,divacancy,787.02,1.7107,3.2017,38.223,2,4.66e-06,4x8x4,700
Al,interstitial,966.87,5.8211,3.5299,35.043,1,2.12e-06,8x8x6,400
Ti,vacancy,537.24,2.017,3.5895,22.493,-1,6.67e-06,6x8x4,700
Cu,interstitial,636.99,3.5394,3.1896,42.591,1,9.09e-06,4x8x8,500
Ti,substitutional,450.57,0.3567,3.4687,29.942,1,2.84e-06,4x8x8,700
Ni,interstitial,788.4,2.9863,3.2816,47.859,2,9.28e-06,6x6x4,400
Cr,divacancy,683.41,2.6756,3.3259,30.609,-1,5.05e-06,6x8x6,700
Al,interstitial,344.61,5.3768,2.864,15.729,0,4.3e-06,8x4x6,400
Cr,interstitial,455.89,5.7946,2.8078,42.525,-2,2.18e-06,8x4x6,700
Cr,substitutional,662.58,1.1547,3.7242,30.849,0,8.18e-06,6x6x8,500
Ni,divacancy,931.1,2.0082,4.1773,38.588,2,9.42e-06,8x4x6,700
Inconel-718,divacancy,1433.87,1.2848,3.8937,16.683,2,6.27e-06,6x4x6,400
Fe,substitutional,405.1,2.2959,3.2947,34.554,-1,9.75e-06,6x6x4,600
Steel-316,interstitial,1128.06,2.6747,4.0318,37.914,-2,9.07e-06,8x8x6,700
Steel-316,substitutional,915.07,0.3519,3.199,20.657,-2,6.85e-06,4x8x6,700
Cr,divacancy,388.6,2.2563,3.8554,41.777,1,1.13e-06,6x6x8,600
Cr,vacancy,1254.99,1.1634,4.0158,26.667,1,6.09e-06,4x8x6,400
Ti,substitutional,1150.9,0.6074,3.7896,12.562,2,8.01e-06,6x4x4,400
Al,substitutional,1478.46,0.2495,3.0787,15.8,-2,7.05e-06,8x4x8,700
Ni,divacancy,1305.2,2.5719,3.7007,11.814,2,2.17e-06,8x8x6,600
Ti,vacancy,320.41,1.8668,3.0177,37.211,-2,6.51e-06,4x4x4,700
Cr,divacancy,1486.55,0.9409,3.3415,13.236,-1,4.67e-06,8x8x4,700
Ti,vacancy,1332.84,0.6335,4.0274,27.224,0,4.49e-06,6x6x8,700
Al,substitutional,912.9,0.4647,2.8206,41.931,2,9.49e-06,6x4x4,600
Fe,interstitial,1075.3,5.0787,3.4277,47.339,-1,4.8e-06,4x6x6,400
Cr,substitutional,362.7,1.758,3.7858,14.879,1,5.28e-06,6x4x6,500
Ni,divacancy,687.13,2.7485,3.9519,20.477,1,8.26e-06,8x4x6,700
Cu,vacancy,1430.73,1.8546,3.4876,16.494,2,8.93e-06,4x6x4,600
Fe,vacancy,1162.59,1.0862,3.1191,27.47,0,1e-05,4x6x8,600
Ni,divacancy,810.16,1.4318,2.8777,44.055,1,7.99e-06,6x8x8,500
Inconel-718,divacancy,1151.27,2.003,3.951,16.711,1,1.35e-06,6x4x6,600
Fe,interstitial,1433.53,2.243,2.8892,42.878,-2,4.11e-06,8x4x4,500
Steel-316,interstitial,307.36,4.3538,3.2579,32.805,-2,7.1e-06,4x8x4,400
Al,substitutional,984.83,2.3865,3.7919,26.749,-1,3.65e-06,6x4x6,700
Steel-316,substitutional,1474.08,1.6215,3.0884,49.865,-2,6.28e-06,4x8x8,500
Fe,substitutional,1080.57,1.6588,3.8574,45.78,-2,2.97e-06,6x4x4,600
Al,substitutional,763.63,0.6952,3.1963,20.041,-2,6.77e-06,4x4x6,700
Ti,interstitial,1348.14,2.0391,3.9634,18.014,2,6.34e-06,8x4x4,400
Ti,substitutional,1266.83,1.3107,2.9538,37.792,1,3.1e-06,8x4x6,400
Ni,vacancy,1483.46,2.3629,3.1548,23.192,1,5.97e-06,6x4x4,700
Ni,interstitial,639.93,5.5839,2.9102,12.036,1,9.37e-06,8x6x8,400
Cu,divacancy,654.22,2.7941,3.4056,19.186,0,4.89e-06,6x6x4,600
Cu,substitutional,1128.48,0.3752,3.1387,20.476,-1,3.37e-06,6x6x6,400
Ni,interstitial,661.0,5.8399,3.901,17.476,-2,7.67e-06,8x8x8,500
Ni,interstitial,1257.91,5.8181,3.1303,37.071,1,3.88e-06,8x4x4,700
Al,interstitial,354.45,5.5016,3.4463,20.681,2,7.14e-06,4x6x6,400
Ni,interstitial,559.41,2.7051,3.8372,49.426,2,1.47e-06,8x4x8,500
Cu,interstitial,924.56,5.349,3.6869,27.423,-1,5.66e-06,6x8x4,400
Steel-316,divacancy,812.97,1.9179,3.8468,35.227,1,9.9e-06,4x4x8,700
Ti,vacancy,1386.92,1.0456,3.7095,11.466,2,9.47e-06,8x4x6,400
Ni,substitutional,615.38,1.3502,3.3351,26.314,-2,7.46e-06,4x8x8,500
Cr,divacancy,760.22,1.0506,4.1585,19.767,2,3.29e-06,4x8x8,700
Cr,interstitial,496.58,4.0446,3.3129,29.874,0,3.26e-06,6x4x8,500
Ni,vacancy,1410.81,1.4768,4.0089,20.085,0,1.13e-06,8x6x4,400
Cr,interstitial,1346.67,3.0594,2.8075,17.884,-2,6.71e-06,6x6x6,600
Cu,substitutional,421.44,0.9502,3.5895,48.276,-1,9.5e-06,4x4x6,600
Cu,substitutional,795.74,0.9085,3.0246,11.775,-1,5.85e-06,6x8x6,500
Inconel-718,interstitial,863.62,3.8448,3.6165,30.578,-1,9.55e-06,4x6x8,700
Al,substitutional,978.73,1.0062,4.0047,39.325,-1,6.44e-06,4x6x8,600
Cu,substitutional,1362.5,0.9452,3.9751,19.179,0,3.7e-06,6x8x4,500
Al,substitutional,831.04,2.3373,4.1376,28.239,2,1.28e-06,4x6x6,400
Al,vacancy,500.28,1.1577,3.4655,47.575,-1,8.13e-06,8x8x8,400
Cr,substitutional,624.31,0.9593,3.9557,47.804,-2,4.12e-06,4x6x6,600
Ni,substitutional,310.4,0.5658,3.3826,32.218,-1,2.3e-06,4x8x4,600
Fe,vacancy,887.09,0.7059,3.887,24.618,2,6.44e-06,8x8x4,700
Ni,interstitial,406.33,2.6447,3.2992,22.699,0,1.72e-06,8x4x8,500
Cu,substitutional,323.95,1.6948,3.4316,45.25,2,5.51e-06,6x4x4,700
Ti,divacancy,1495.6,1.758,2.8193,11.745,-2,8.03e-06,4x6x6,700
Ti,interstitial,390.63,2.0933,3.1404,15.219,2,8.16e-06,8x6x4,600
Ti,divacancy,869.47,2.7755,3.1496,33.529,-2,5.28e-06,8x4x6,500
Cr,interstitial,747.77,5.9422,3.5875,23.76,-1,1.35e-06,4x4x4,700
Fe,substitutional,1216.05,0.5326,4.0414,31.575,1,3.46e-06,6x8x8,500
Al,vacancy,1401.14,0.4363,3.1841,46.204,0,8.95e-06,6x4x6,400
Steel-316,divacancy,779.48,1.1575,3.9523,24.219,2,3.14e-06,6x4x4,500
Cu,substitutional,500.22,0.7145,3.5484,20.728,0,9.59e-06,6x8x4,500
Al,divacancy,304.76,2.2819,3.8086,47.53,2,7.34e-06,4x4x6,400
Fe,interstitial,404.9,2.8998,3.5166,13.041,2,7.39e-06,6x8x6,600
Inconel-718,substitutional,353.29,1.052,3.666,36.243,1,4.34e-06,4x4x6,400
Ti,substitutional,1129.66,1.5242,2.891,32.76,1,8.98e-06,4x4x4,400
Ti,substitutional,574.45,1.5292,3.8534,47.859,0,1.54e-06,6x4x4,600
Ti,divacancy,1078.52,4.1824,3.5114,28.521,2,7.31e-06,6x4x8,600
Cu,vacancy,469.12,1.7378,3.6148,44.39,0,4.21e-06,6x6x8,500
Steel-316,substitutional,1190.93,1.0184,3.4476,21.84,1,3.68e-06,6x6x4,400
Fe,interstitial,952.97,4.4247,3.2413,22.406,2,8.88e-06,4x4x4,400
Fe,interstitial,518.0,3.1225,3.3874,28.855,-1,4.08e-06,6x6x8,600
Ti,substitutional,1402.6,0.7275,3.0901,29.968,-2,1.94e-06,6x4x6,700
Inconel-718,vacancy,844.52,2.1531,3.0313,11.04,0,6.26e-06,4x6x4,500
Steel-316,vacancy,1425.5,2.1783,2.8063,34.955,1,8.48e-06,8x6x8,600
Cr,interstitial,479.15,5.087,4.0491,13.078,0,6.59e-06,6x4x6,600
Inconel-718,vacancy,414.41,2.0573,3.4553,46.017,2,3.24e-06,6x6x4,400
Ti,divacancy,1468.45,1.6614,3.6024,26.999,1,7.99e-06,4x8x6,500
Ti,interstitial,1054.4,3.0948,3.626,15.295,1,6.65e-06,4x8x4,500
Steel-316,vacancy,373.73,1.1247,3.4311,39.871,1,4.43e-06,4x4x6,500
Ti,substitutional,980.75,0.8618,3.2314,20.131,-1,2.72e-06,6x4x4,700
Cu,interstitial,535.88,4.8718,3.9661,36.497,-1,2.51e-06,8x6x4,400
Cu,interstitial,867.04,5.354,2.9711,21.402,-1,2.74e-06,8x4x6,700
Steel-316,divacancy,339.6,2.397,4.0172,28.448,2,4.63e-06,8x6x4,600
Cu,interstitial,516.22,5.5335,3.7221,29.483,1,9.07e-06,8x4x4,600
Ni,substitutional,573.95,0.6279,3.4919,15.429,-2,6.51e-06,8x4x4,500
Cu,substitutional,453.86,1.9168,3.9555,12.342,-1,6.88e-06,4x8x6,400
Al,divacancy,1078.94,3.0061,3.526,44.402,1,8.56e-06,4x8x6,600
Cu,substitutional,542.53,1.2999,3.2766,16.264,-1,4.82e-06,4x8x8,700
Cr,interstitial,1309.03,4.5895,3.6717,28.251,0,5.15e-06,8x4x4,400
Inconel-718,divacancy,449.59,2.6368,4.0373,38.784,2,1.96e-06,4x8x6,500
Ti,divacancy,610.72,4.282,3.4001,42.664,-1,2.47e-06,4x4x4,400
Ni,substitutional,1163.47,0.8958,4.0701,31.873,-1,3.22e-06,4x8x4,700
Fe,substitutional,497.73,0.7938,4.0246,29.475,-2,8.03e-06,8x8x8,500
Steel-316,vacancy,342.43,2.5898,2.8021,47.371,2,2.52e-06,8x8x6,400
Ti,interstitial,441.44,3.1514,2.9419,43.355,0,8.08e-06,4x8x8,400
Cu,divacancy,987.47,3.5519,3.1402,33.226,2,9.65e-06,4x4x6,700
Inconel-718,divacancy,1166.62,1.3435,3.6272,11.244,-2,6.22e-06,8x4x4,500
Cr,divacancy,367.79,4.2518,2.9857,10.759,2,5.72e-06,8x8x6,700
Fe,interstitial,1460.39,3.2962,3.6853,12.892,-2,9.63e-06,4x6x4,600
Steel-316,substitutional,1132.5,1.2056,3.0759,46.306,2,4.14e-06,8x8x6,700
Ni,interstitial,1189.16,2.7703,3.7708,37.394,-1,4.93e-06,6x8x4,600
Fe,substitutional,1384.6,1.2399,3.0445,47.033,-2,5.02e-06,6x4x8,500
Ni,vacancy,534.56,1.8445,3.0658,11.057,-2,8.67e-06,4x4x8,500
Fe,substitutional,904.57,1.2228,2.9667,31.175,-2,3.65e-06,8x8x8,400
Cr,substitutional,1175.0,0.6391,3.8293,45.977,2,9.82e-06,4x6x8,700
Fe,substitutional,631.87,1.5741,2.888,26.832,-1,7.55e-06,6x8x8,500
Ti,interstitial,418.71,4.808,3.2126,32.031,-1,6.55e-06,4x6x6,500
Steel-316,divacancy,1034.57,2.7075,3.1778,27.147,-2,7.71e-06,8x4x4,400
Al,vacancy,739.08,1.9302,3.6939,18.156,1,9.19e-06,8x6x8,400
Ti,substitutional,1224.71,1.118,4.1683,18.289,-1,1.64e-06,8x6x8,600
Ni,divacancy,876.24,3.635,3.0878,35.323,2,9.17e-06,4x6x4,500
Steel-316,interstitial,472.04,3.4122,3.1721,39.982,1,5.13e-06,4x8x8,700
Fe,divacancy,569.43,2.7748,3.8904,27.042,0,2.5e-06,4x8x6,500
Ni,interstitial,1010.95,5.3235,3.2493,15.75,-2,7.04e-06,6x4x8,700
Al,divacancy,1264.5,2.3508,3.8331,26.776,1,8.55e-06,4x6x6,400
Fe,divacancy,353.76,1.1448,3.1854,24.812,2,3.58e-06,8x6x8,400
Fe,interstitial,643.49,4.3903,3.4968,32.272,2,1.17e-06,6x8x6,400
Ti,interstitial,393.41,5.6092,3.6423,40.634,0,6.88e-06,8x6x6,400
Inconel-718,divacancy,1128.82,1.644,3.0593,31.086,-1,9.93e-06,6x8x8,700
Ti,interstitial,1161.76,4.101,3.7315,10.362,-1,4.28e-06,8x4x4,700
Fe,vacancy,919.39,0.4884,3.917,25.536,0,8.15e-06,6x6x8,600
Al,interstitial,582.45,4.0773,3.7878,20.164,-2,8.9e-06,4x8x8,600
Fe,divacancy,1414.55,3.6715,4.1762,30.856,-2,2.86e-06,4x8x8,400
Steel-316,vacancy,934.16,1.7526,3.5209,20.664,-2,9.34e-06,4x8x4,600
Cr,vacancy,1163.98,1.093,3.0856,34.814,-1,4.89e-06,4x6x6,500
Al,vacancy,366.08,2.0708,2.8091,38.401,2,1.74e-06,8x6x6,700
Al,substitutional,962.35,0.2782,3.2143,44.821,-1,1.71e-06,8x8x4,500
Ti,divacancy,1048.44,2.3991,4.0637,18.108,2,5.64e-06,8x4x6,500
Ni,substitutional,1438.56,0.4357,2.8104,44.177,-1,3.54e-06,8x4x8,700
Fe,divacancy,1098.94,0.9723,3.226,44.085,-1,8.95e-06,8x6x8,600
Cu,divacancy,453.57,1.114,3.4722,10.045,1,8.03e-06,4x6x4,700
Inconel-718,vacancy,751.31,0.9107,3.881,32.993,2,6.74e-06,6x4x6,600
Ti,divacancy,441.3,2.0425,3.6908,16.554,-2,6.2e-06,8x4x4,600
Ni,interstitial,1086.23,1.9994,3.6067,26.544,2,4.69e-06,4x4x8,600
Cu,interstitial,907.57,2.1658,3.7596,29.963,-1,8.17e-06,8x4x6,600
Steel-316,vacancy,370.74,1.4114,3.8708,36.882,1,1.71e-06,8x6x8,600
Steel-316,vacancy,1487.86,2.3682,3.3598,27.885,1,1.37e-06,4x6x6,500
Cr,divacancy,596.75,1.2167,3.9119,27.94,2,1.57e-06,8x6x4,600
Steel-316,substitutional,1092.48,1.4435,3.8451,15.454,-2,1.36e-06,8x4x4,600
Cu,vacancy,398.34,1.4255,3.3705,20.85,-2,4.2e-06,8x8x4,400
