sample_id,sand_content_percent,fines_content_percent,d10_mm,d30_mm,d50_mm,d60_mm,d90_mm,cu,cc,relative_density_percent,void_ratio,porosity,friction_angle_deg,dilation_angle_deg,critical_state_phi_deg,mean_effective_stress_kpa,cyclic_stress_ratio,n1_60,qc1n,b_pt,ru_peak,liquefaction_triggered,k0,material,dataset
SAND_00123,87.08,13.16,0.2412,0.3642,0.3617,0.4948,0.6968,2.051,1.111,40.7,0.764,0.433,32.12,0.0,33.75,30.0,0.24,15.9,61.6,0.673,0.753,0,0.468,sand,sandy_soils
SAND_00124,92.41,6.39,0.1764,0.3768,0.4578,0.6074,0.7722,3.443,1.325,58.7,0.746,0.427,36.35,4.0,32.35,110.9,0.304,19.8,59.7,0.585,0.684,0,0.407,sand,sandy_soils
SAND_00125,97.51,2.65,0.1249,0.2251,0.2374,0.3636,0.4977,2.912,1.115,30.7,0.853,0.46,32.47,0.0,33.02,147.4,0.12,9.8,50.0,0.637,0.513,0,0.463,sand,sandy_soils
SAND_00126,85.2,13.66,0.0993,0.1948,0.2365,0.377,0.4999,3.796,1.014,20.9,0.848,0.459,30.37,0.0,34.48,135.5,0.224,5.1,50.0,0.555,0.812,1,0.494,sand,sandy_soils
SAND_00127,89.21,12.82,0.2002,0.4162,0.3794,0.4832,0.6092,2.414,1.79,69.2,0.663,0.399,36.76,4.27,32.49,188.1,0.32,28.9,146.5,0.505,0.64,0,0.401,sand,sandy_soils
SAND_00128,81.58,13.97,0.1414,0.2804,0.2965,0.3879,0.4859,2.744,1.434,83.8,0.739,0.425,39.06,5.82,33.24,147.2,0.179,37.1,159.1,0.697,0.35,0,0.37,sand,sandy_soils
SAND_00129,89.56,9.63,0.2728,0.4045,0.457,0.5391,0.7972,1.976,1.112,83.0,0.629,0.386,36.16,3.36,32.8,127.0,0.289,34.1,135.4,0.48,0.621,0,0.41,sand,sandy_soils
SAND_00130,93.73,7.94,0.2728,0.365,0.4258,0.6311,0.5314,2.314,0.774,65.4,0.738,0.425,37.31,4.25,33.05,80.9,0.204,20.8,100.9,0.44,0.449,0,0.394,sand,sandy_soils
SAND_00131,84.15,17.49,0.318,0.4342,0.4846,0.5965,1.0643,1.876,0.994,73.1,0.726,0.421,33.55,1.56,31.99,142.5,0.135,26.9,115.7,0.5,0.439,0,0.447,sand,sandy_soils
SAND_00132,85.95,12.67,0.169,0.3113,0.2874,0.4502,0.4626,2.664,1.273,34.3,0.82,0.451,32.33,0.0,32.64,179.7,0.202,12.1,65.4,0.616,0.711,0,0.465,sand,sandy_soils
SAND_00133,98.75,1.4,0.2764,0.3734,0.3728,0.502,0.4667,1.816,1.005,70.7,0.755,0.43,36.51,2.26,34.24,53.5,0.281,24.4,111.3,0.77,0.704,0,0.405,sand,sandy_soils
SAND_00134,99.23,1.27,0.1407,0.2998,0.348,0.4469,0.4359,3.177,1.43,83.6,0.651,0.394,38.22,4.25,33.97,168.0,0.229,27.3,113.9,0.449,0.506,0,0.381,sand,sandy_soils
SAND_00135,85.5,15.21,0.1194,0.2383,0.232,0.2613,0.4958,2.189,1.82,74.7,0.698,0.411,37.0,5.15,31.85,104.3,0.16,26.7,121.5,0.539,0.419,0,0.398,sand,sandy_soils
SAND_00136,99.22,2.5,0.1366,0.3359,0.322,0.418,0.5991,3.06,1.976,63.7,0.738,0.425,34.27,0.0,35.24,231.3,0.283,23.9,112.4,0.431,0.698,0,0.437,sand,sandy_soils
SAND_00137,88.22,12.56,0.2313,0.3142,0.3264,0.5147,0.5739,2.225,0.829,60.2,0.797,0.444,34.69,1.88,32.81,229.4,0.24,24.7,126.7,0.599,0.6,0,0.431,sand,sandy_soils
SAND_00138,93.35,8.6,0.1706,0.3707,0.4023,0.4432,0.8378,2.598,1.818,72.6,0.685,0.406,37.53,6.23,31.3,161.4,0.186,28.1,115.5,0.441,0.461,0,0.391,sand,sandy_soils
SAND_00139,95.39,9.84,0.1111,0.2455,0.293,0.4686,0.4539,4.217,1.157,84.3,0.679,0.404,37.83,7.35,30.48,161.1,0.118,31.9,133.1,0.646,0.182,0,0.387,sand,sandy_soils
SAND_00140,81.18,18.18,0.192,0.3816,0.3471,0.4846,0.451,2.523,1.565,93.2,0.685,0.407,39.1,7.08,32.02,236.7,0.307,30.6,141.2,0.655,0.553,0,0.369,sand,sandy_soils
SAND_00141,87.34,12.59,0.1238,0.359,0.345,0.4582,0.6286,3.701,2.273,20.0,0.886,0.47,30.81,0.0,30.92,135.5,0.138,9.2,50.0,0.531,0.545,0,0.488,sand,sandy_soils
SAND_00142,90.78,5.73,0.2872,0.5745,0.6544,0.9935,1.2786,3.459,1.157,87.3,0.667,0.4,36.26,3.39,32.87,179.4,0.11,31.4,142.5,0.393,0.31,0,0.409,sand,sandy_soils
SAND_00143,89.14,10.9,0.1595,0.3005,0.3353,0.4075,0.5671,2.555,1.389,62.0,0.662,0.398,36.42,3.98,32.45,120.1,0.195,26.9,125.9,0.459,0.628,0,0.406,sand,sandy_soils
SAND_00144,95.21,4.2,0.2108,0.562,0.5962,0.7525,0.9546,3.569,1.991,37.4,0.789,0.441,32.6,0.33,32.27,170.0,0.213,13.7,83.0,0.39,0.599,0,0.461,sand,sandy_soils
SAND_00145,89.5,6.87,0.1061,0.2705,0.2904,0.3722,0.6219,3.507,1.852,83.8,0.676,0.403,37.62,5.83,31.79,135.4,0.293,29.9,131.0,0.912,0.518,0,0.39,sand,sandy_soils
SAND_00146,100.0,0.0,0.1632,0.2691,0.259,0.2892,0.563,1.772,1.534,39.6,0.831,0.454,29.43,0.0,32.13,124.6,0.291,14.3,52.0,0.486,0.734,0,0.509,sand,sandy_soils
SAND_00147,87.67,11.56,0.2174,0.2972,0.31,0.3433,0.3906,1.579,1.184,79.0,0.678,0.404,37.8,5.41,32.39,151.8,0.116,30.2,137.4,0.721,0.299,0,0.387,sand,sandy_soils
SAND_00148,94.7,5.53,0.1506,0.279,0.2587,0.3237,0.4453,2.15,1.597,56.4,0.771,0.435,34.38,1.29,33.09,108.0,0.197,21.5,89.6,0.671,0.523,0,0.435,sand,sandy_soils
SAND_00149,85.38,17.17,0.0978,0.2077,0.2209,0.3374,0.4225,3.449,1.307,92.8,0.542,0.351,37.0,4.94,32.07,200.1,0.237,39.4,146.5,0.562,0.35,0,0.398,sand,sandy_soils
SAND_00150,91.93,8.37,0.2673,0.5133,0.4813,0.5899,1.011,2.207,1.671,64.2,0.805,0.446,35.53,1.5,34.04,133.3,0.281,28.9,115.1,0.748,0.584,0,0.419,sand,sandy_soils
SAND_00151,86.99,10.2,0.1546,0.3867,0.4035,0.5428,0.8484,3.511,1.782,100.0,0.662,0.398,40.3,7.86,32.44,301.8,0.161,37.8,181.0,0.311,0.307,0,0.353,sand,sandy_soils
SAND_00152,80.65,25.0,0.2848,0.4269,0.4352,0.5778,0.8783,2.029,1.108,84.1,0.67,0.401,37.81,6.51,31.3,200.1,0.241,31.2,133.6,0.482,0.478,0,0.387,sand,sandy_soils
SAND_00153,83.91,14.65,0.2873,0.3982,0.3845,0.4806,0.5326,1.673,1.149,46.9,0.751,0.429,33.81,0.89,32.92,98.9,0.152,16.8,80.1,0.541,0.484,0,0.444,sand,sandy_soils
SAND_00154,86.58,12.54,0.1899,0.5266,0.4794,0.5427,0.6404,2.857,2.69,63.4,0.792,0.442,35.16,2.04,33.12,202.3,0.062,23.0,106.3,0.859,0.277,0,0.424,sand,sandy_soils
SAND_00155,100.0,0.0,0.0878,0.177,0.1762,0.2129,0.2993,2.425,1.677,52.3,0.79,0.441,35.6,2.41,33.19,287.3,0.152,14.6,62.9,0.353,0.46,0,0.418,sand,sandy_soils
SAND_00156,91.0,12.05,0.2308,0.3799,0.4534,0.5365,0.8011,2.324,1.166,44.3,0.768,0.434,34.13,1.43,32.7,188.0,0.162,14.9,52.2,0.572,0.532,0,0.439,sand,sandy_soils
SAND_00157,87.98,12.51,0.2051,0.2305,0.2823,0.336,0.3499,1.638,0.771,72.6,0.658,0.397,35.93,3.56,32.38,30.0,0.313,25.2,115.3,0.474,0.736,0,0.413,sand,sandy_soils
SAND_00158,85.86,16.16,0.189,0.3287,0.3387,0.4273,0.6351,2.261,1.337,60.0,0.75,0.429,34.75,1.63,33.12,242.1,0.226,21.5,90.4,0.304,0.544,0,0.43,sand,sandy_soils
SAND_00159,97.11,2.65,0.1548,0.2514,0.2746,0.3055,0.4007,1.974,1.337,63.3,0.718,0.418,36.37,2.62,33.75,132.5,0.124,21.4,80.2,0.429,0.432,0,0.407,sand,sandy_soils
SAND_00160,83.34,16.42,0.2085,0.4231,0.4576,0.5934,0.9401,2.847,1.447,81.7,0.602,0.376,37.99,5.47,32.52,182.2,0.207,33.7,158.0,0.297,0.39,0,0.384,sand,sandy_soils
SAND_00161,79.71,20.76,0.3041,0.4421,0.4321,0.4758,0.8224,1.564,1.351,100.0,0.621,0.383,38.22,3.45,34.77,189.3,0.321,36.1,165.3,0.569,0.627,0,0.381,sand,sandy_soils
SAND_00162,92.77,6.8,0.1899,0.3702,0.4331,0.6054,0.7682,3.188,1.192,72.8,0.679,0.404,37.32,3.02,34.29,81.9,0.323,25.6,115.1,0.588,0.609,0,0.394,sand,sandy_soils
SAND_00163,93.89,8.88,0.4944,0.6987,0.7424,0.9104,0.9554,1.841,1.085,79.8,0.704,0.413,37.38,5.27,32.11,212.7,0.14,33.4,137.1,0.548,0.242,0,0.393,sand,sandy_soils
SAND_00164,85.51,17.34,0.4232,1.0703,1.0827,1.6416,2.1078,3.879,1.649,49.4,0.779,0.438,33.11,0.2,32.91,50.7,0.091,15.3,61.4,0.733,0.388,0,0.454,sand,sandy_soils
SAND_00165,82.09,21.43,0.1846,0.4598,0.5118,0.7693,0.7887,4.167,1.489,72.9,0.675,0.403,34.96,2.71,32.24,176.3,0.244,31.8,166.1,0.583,0.608,0,0.427,sand,sandy_soils
SAND_00166,92.18,8.18,0.229,0.3605,0.3454,0.3948,0.4538,1.724,1.438,67.4,0.799,0.444,34.98,3.08,31.91,236.8,0.143,28.4,121.6,0.252,0.341,0,0.427,sand,sandy_soils
SAND_00167,92.31,5.48,0.2556,0.3564,0.4369,0.5023,0.9415,1.965,0.989,68.5,0.677,0.404,37.66,3.35,34.3,157.4,0.113,22.0,91.1,0.497,0.323,0,0.389,sand,sandy_soils
SAND_00168,85.34,17.73,0.0913,0.142,0.1771,0.2511,0.31,2.749,0.879,62.3,0.784,0.44,33.97,2.55,31.41,174.7,0.117,22.9,86.0,0.52,0.348,0,0.441,sand,sandy_soils
SAND_00169,82.3,18.55,0.1761,0.3322,0.3218,0.4757,0.5135,2.702,1.318,55.7,0.722,0.419,33.54,2.18,31.37,145.2,0.245,17.4,78.3,0.459,0.65,0,0.447,sand,sandy_soils
SAND_00170,90.14,9.67,0.1471,0.1904,0.202,0.3154,0.4291,2.145,0.781,95.7,0.583,0.368,37.19,4.8,32.39,110.3,0.205,34.6,145.7,0.514,0.355,0,0.396,sand,sandy_soils
SAND_00171,84.51,15.21,0.1425,0.3046,0.2878,0.3847,0.5814,2.7,1.692,44.2,0.758,0.431,30.16,0.76,29.4,59.4,0.15,20.2,89.0,0.926,0.451,0,0.498,sand,sandy_soils
SAND_00172,79.73,19.51,0.3567,0.4957,0.504,0.6155,1.1077,1.725,1.119,79.7,0.649,0.394,36.19,1.3,34.89,154.5,0.05,32.5,141.7,0.747,0.15,0,0.409,sand,sandy_soils
SAND_00173,87.17,16.87,0.1502,0.2955,0.2911,0.3567,0.5194,2.376,1.63,50.6,0.751,0.429,31.76,0.0,32.29,124.9,0.152,21.7,132.4,0.592,0.425,0,0.474,sand,sandy_soils
SAND_00174,88.2,8.17,0.166,0.1998,0.226,0.3363,0.4388,2.026,0.715,38.9,0.898,0.473,31.38,0.0,33.17,150.4,0.122,16.0,60.9,0.786,0.441,0,0.479,sand,sandy_soils
SAND_00175,91.52,10.03,0.2555,0.3098,0.3726,0.4459,0.693,1.745,0.843,100.0,0.672,0.402,39.1,6.71,32.39,248.5,0.301,39.9,171.4,0.383,0.573,0,0.369,sand,sandy_soils
SAND_00176,87.57,12.79,0.1149,0.1611,0.1985,0.3151,0.2678,2.743,0.716,57.1,0.741,0.426,34.34,0.29,34.05,122.1,0.225,23.7,134.8,0.527,0.604,0,0.436,sand,sandy_soils
SAND_00177,94.95,8.36,0.3029,0.4211,0.4464,0.5997,0.7595,1.98,0.976,56.4,0.81,0.447,34.8,1.43,33.38,153.9,0.321,18.3,76.6,0.501,0.838,0,0.429,sand,sandy_soils
SAND_00178,91.21,10.04,0.157,0.2092,0.239,0.3289,0.3208,2.095,0.847,100.0,0.568,0.362,39.38,6.5,32.88,163.9,0.222,34.7,141.7,0.579,0.457,0,0.366,sand,sandy_soils
SAND_00179,92.61,5.93,0.3998,0.9516,0.9934,1.4187,2.1718,3.549,1.597,33.7,0.832,0.454,32.08,0.31,31.76,114.9,0.295,19.3,70.3,0.424,0.854,0,0.469,sand,sandy_soils
SAND_00180,91.13,5.9,0.2983,0.5195,0.6107,0.8511,1.2668,2.853,1.063,51.1,0.723,0.42,34.58,0.0,34.62,141.7,0.276,15.0,56.4,0.398,0.693,0,0.432,sand,sandy_soils
SAND_00181,86.36,16.48,0.1686,0.3402,0.327,0.4737,0.4179,2.809,1.449,52.0,0.724,0.42,33.73,0.47,33.26,178.2,0.05,18.8,90.8,0.697,0.201,0,0.445,sand,sandy_soils
SAND_00182,97.2,3.11,0.1719,0.2843,0.2941,0.3484,0.4293,2.027,1.35,80.5,0.634,0.388,38.11,7.25,30.86,236.0,0.09,31.7,139.6,0.309,0.264,0,0.383,sand,sandy_soils
SAND_00183,88.87,7.84,0.2698,0.5118,0.4857,0.5757,0.6311,2.133,1.686,80.6,0.585,0.369,37.5,4.93,32.57,209.6,0.369,36.7,158.0,0.65,0.807,0,0.391,sand,sandy_soils
SAND_00184,89.25,9.71,0.2345,0.4375,0.445,0.5947,0.7788,2.536,1.373,80.9,0.601,0.375,36.94,4.14,32.79,99.8,0.189,33.4,155.7,0.458,0.46,0,0.399,sand,sandy_soils
SAND_00185,81.0,15.59,0.1814,0.3273,0.3058,0.4524,0.4494,2.494,1.306,65.7,0.761,0.432,34.72,2.11,32.61,115.9,0.246,24.2,114.5,0.539,0.652,0,0.43,sand,sandy_soils
SAND_00186,86.13,13.72,0.1125,0.206,0.2488,0.3527,0.4018,3.134,1.069,65.0,0.769,0.435,36.89,4.61,32.28,255.4,0.262,21.9,78.0,0.646,0.619,0,0.4,sand,sandy_soils
SAND_00187,81.92,17.48,0.1385,0.3291,0.387,0.5969,0.518,4.308,1.31,87.2,0.732,0.423,36.69,5.54,31.15,232.0,0.284,30.4,146.0,0.655,0.57,0,0.403,sand,sandy_soils
SAND_00188,82.12,16.77,0.2082,0.4152,0.4072,0.5516,0.489,2.65,1.501,32.7,0.91,0.476,29.61,0.0,33.63,69.6,0.305,8.4,50.0,0.697,0.874,1,0.506,sand,sandy_soils
SAND_00189,100.0,0.0,0.125,0.3723,0.3422,0.4147,0.5455,3.317,2.673,77.9,0.65,0.394,35.29,1.94,33.35,127.6,0.163,30.6,150.3,0.297,0.363,0,0.422,sand,sandy_soils
SAND_00190,96.26,2.29,0.138,0.3453,0.3764,0.5267,0.5186,3.817,1.641,79.4,0.592,0.372,38.34,6.37,31.97,188.7,0.328,31.1,154.6,0.664,0.648,0,0.38,sand,sandy_soils
SAND_00191,89.66,12.72,0.2185,0.4158,0.5101,0.6083,0.8711,2.784,1.3,74.5,0.758,0.431,36.37,4.61,31.76,78.9,0.231,29.7,132.9,0.369,0.59,0,0.407,sand,sandy_soils
SAND_00192,88.09,10.54,0.113,0.1763,0.1715,0.272,0.3221,2.406,1.011,70.3,0.758,0.431,35.85,3.44,32.41,193.6,0.137,25.0,121.3,0.433,0.321,0,0.414,sand,sandy_soils
SAND_00193,83.87,16.37,0.1295,0.1515,0.1817,0.2103,0.2188,1.623,0.842,61.7,0.76,0.432,35.61,3.78,31.83,126.9,0.345,23.5,96.8,0.612,0.721,0,0.418,sand,sandy_soils
SAND_00194,84.2,16.56,0.1587,0.4242,0.3947,0.6081,0.8444,3.833,1.865,63.4,0.744,0.427,33.1,1.52,31.58,30.0,0.205,22.9,100.5,0.343,0.444,0,0.454,sand,sandy_soils
SAND_00195,96.01,3.16,0.2303,0.4402,0.4297,0.5784,0.6872,2.512,1.455,65.6,0.714,0.417,36.19,3.38,32.81,279.0,0.195,25.1,117.9,0.519,0.492,0,0.41,sand,sandy_soils
SAND_00196,85.25,16.41,0.1898,0.4177,0.4723,0.5285,0.7842,2.785,1.739,92.4,0.745,0.427,39.99,6.95,33.04,197.0,0.339,35.0,140.8,0.265,0.638,0,0.357,sand,sandy_soils
SAND_00197,98.46,3.23,0.2658,0.3574,0.4056,0.5273,0.7862,1.984,0.912,100.0,0.635,0.388,39.57,6.28,33.29,62.8,0.338,34.8,151.1,0.565,0.567,0,0.363,sand,sandy_soils
SAND_00198,94.18,4.22,0.2662,0.3967,0.4377,0.5608,0.545,2.106,1.054,100.0,0.546,0.353,39.18,7.0,32.18,150.3,0.14,39.1,185.0,0.631,0.193,0,0.368,sand,sandy_soils
SAND_00199,79.34,20.49,0.2495,0.3767,0.3668,0.5616,0.6915,2.251,1.013,37.1,0.822,0.451,31.07,0.0,35.01,282.2,0.359,13.6,50.0,0.387,0.857,1,0.484,sand,sandy_soils
SAND_00200,91.69,9.16,0.4787,0.5885,0.6425,0.925,1.3676,1.933,0.782,58.1,0.764,0.433,36.3,5.29,31.01,277.2,0.396,20.4,102.4,0.577,0.884,0,0.408,sand,sandy_soils
SAND_00201,90.99,7.99,0.2043,0.2872,0.3415,0.5035,0.6693,2.465,0.802,60.4,0.718,0.418,33.01,1.03,31.98,192.5,0.244,22.6,115.4,0.827,0.638,0,0.455,sand,sandy_soils
SAND_00202,83.12,20.18,0.415,0.6583,0.6094,0.9694,0.7639,2.336,1.077,23.2,0.864,0.463,29.36,0.0,31.09,128.6,0.248,9.7,50.0,0.619,0.823,1,0.51,sand,sandy_soils
SAND_00203,91.49,5.67,0.1424,0.2772,0.2846,0.3533,0.3849,2.481,1.527,63.8,0.694,0.41,35.74,2.05,33.68,177.3,0.195,22.7,94.2,0.53,0.519,0,0.416,sand,sandy_soils
SAND_00204,96.41,4.26,0.2388,0.2636,0.327,0.4678,0.4553,1.959,0.622,28.9,0.848,0.459,31.83,0.0,33.77,188.4,0.338,10.0,66.1,0.593,0.907,1,0.473,sand,sandy_soils
SAND_00205,85.68,14.74,0.1766,0.4291,0.4293,0.5838,0.6709,3.306,1.786,37.8,0.84,0.457,33.04,3.11,29.93,103.3,0.276,13.1,50.0,0.428,0.83,1,0.455,sand,sandy_soils
SAND_00206,95.49,0.0,0.117,0.2256,0.2343,0.3292,0.3418,2.812,1.321,58.7,0.681,0.405,36.25,3.87,32.39,194.5,0.145,22.4,87.9,0.701,0.434,0,0.409,sand,sandy_soils
SAND_00207,79.78,20.95,0.1562,0.2928,0.3014,0.4265,0.3853,2.73,1.287,63.6,0.663,0.399,34.2,2.1,32.1,85.2,0.19,25.2,103.3,0.543,0.573,0,0.438,sand,sandy_soils
SAND_00208,79.29,20.85,0.5416,0.6489,0.728,0.8711,1.2045,1.609,0.892,20.0,0.852,0.46,29.8,0.0,30.26,306.1,0.066,2.0,50.0,0.506,0.394,0,0.503,sand,sandy_soils
SAND_00209,84.71,13.41,0.1493,0.2841,0.3515,0.499,0.4609,3.343,1.083,37.6,0.852,0.46,31.9,0.0,32.45,153.2,0.142,11.7,74.5,0.446,0.496,0,0.472,sand,sandy_soils
SAND_00210,85.79,14.71,0.3774,0.5508,0.5165,0.6082,0.6811,1.612,1.322,51.6,0.715,0.417,31.4,0.0,32.13,39.0,0.113,16.2,94.8,0.475,0.336,0,0.479,sand,sandy_soils
SAND_00211,85.85,12.7,0.3702,0.7023,0.8448,1.3083,1.1393,3.534,1.018,60.2,0.711,0.415,36.12,2.44,33.68,105.3,0.249,18.7,72.8,0.254,0.664,0,0.41,sand,sandy_soils
SAND_00212,94.4,4.05,0.1157,0.1823,0.179,0.2025,0.361,1.75,1.419,70.9,0.623,0.384,38.95,6.12,32.83,82.6,0.279,29.1,112.2,0.486,0.568,0,0.371,sand,sandy_soils
SAND_00213,88.19,15.45,0.258,0.3426,0.3481,0.4241,0.5086,1.644,1.073,71.0,0.846,0.458,35.52,1.63,33.9,143.3,0.267,25.4,113.7,0.642,0.615,0,0.419,sand,sandy_soils
SAND_00214,90.78,10.17,0.5189,0.7504,0.8174,1.1647,1.2113,2.244,0.932,67.5,0.657,0.396,35.55,0.6,34.95,202.1,0.364,26.1,96.3,0.744,0.745,0,0.419,sand,sandy_soils
SAND_00215,90.4,11.18,0.2065,0.4242,0.5175,0.6417,1.0068,3.108,1.358,41.2,0.807,0.447,34.52,1.36,33.16,130.1,0.217,14.1,56.2,0.622,0.623,0,0.433,sand,sandy_soils
SAND_00216,95.66,7.86,0.1621,0.2302,0.2606,0.3898,0.3939,2.405,0.839,65.8,0.706,0.414,36.7,4.59,32.11,100.0,0.229,28.2,149.6,0.529,0.62,0,0.402,sand,sandy_soils
SAND_00217,97.7,0.92,0.2908,0.3888,0.4359,0.6214,0.6946,2.137,0.837,38.0,0.772,0.436,30.79,0.0,33.53,180.0,0.091,16.4,70.0,0.551,0.414,0,0.488,sand,sandy_soils
SAND_00218,82.71,16.59,0.0999,0.2109,0.24,0.3001,0.449,3.005,1.484,44.6,0.73,0.422,32.37,0.0,34.48,191.1,0.194,18.6,100.7,0.749,0.472,0,0.465,sand,sandy_soils
SAND_00219,100.0,4.59,0.2235,0.5132,0.468,0.6825,0.8913,3.054,1.727,66.1,0.735,0.424,35.17,1.71,33.46,151.5,0.117,23.3,104.3,0.62,0.327,0,0.424,sand,sandy_soils
SAND_00220,90.7,6.8,0.2658,0.3918,0.4235,0.5027,0.8845,1.891,1.149,40.1,0.88,0.468,34.48,0.48,34.01,133.7,0.204,13.8,59.5,0.31,0.615,0,0.434,sand,sandy_soils
SAND_00221,92.76,8.31,0.3267,0.4404,0.5111,0.6268,1.0816,1.918,0.947,99.8,0.648,0.393,38.11,5.64,32.47,87.6,0.322,40.2,178.6,0.68,0.639,0,0.383,sand,sandy_soils
SAND_00222,95.07,7.09,0.1022,0.269,0.277,0.3198,0.516,3.128,2.213,75.7,0.666,0.4,37.17,5.28,31.9,130.6,0.269,31.8,136.5,0.381,0.526,0,0.396,sand,sandy_soils
SAND_00223,84.39,15.93,0.2148,0.2646,0.3142,0.4044,0.6851,1.883,0.806,79.9,0.68,0.405,37.05,5.08,31.97,167.3,0.145,34.3,130.7,0.742,0.331,0,0.398,sand,sandy_soils
SAND_00224,84.4,15.07,0.2701,0.4458,0.5143,0.6296,0.9313,2.331,1.169,76.9,0.598,0.374,36.21,4.03,32.18,183.9,0.24,31.8,149.6,0.625,0.594,0,0.409,sand,sandy_soils
SAND_00225,94.45,6.83,0.2101,0.2967,0.2819,0.3587,0.539,1.708,1.168,57.2,0.751,0.429,32.35,0.0,34.14,156.9,0.2,26.7,124.9,0.603,0.532,0,0.465,sand,sandy_soils
SAND_00226,98.59,3.76,0.2085,0.2991,0.2962,0.3584,0.4628,1.719,1.198,31.9,0.809,0.447,29.45,0.0,32.57,165.2,0.166,14.0,57.1,0.492,0.582,0,0.508,sand,sandy_soils
SAND_00227,87.23,13.32,0.1053,0.1854,0.2289,0.2975,0.3794,2.824,1.096,84.4,0.7,0.412,36.57,4.24,32.33,91.0,0.228,30.6,140.0,0.366,0.453,0,0.404,sand,sandy_soils
SAND_00228,92.22,6.31,0.1947,0.3236,0.3322,0.494,0.4597,2.538,1.089,51.2,0.83,0.453,34.45,2.92,31.53,61.3,0.324,19.9,131.4,0.34,0.727,0,0.434,sand,sandy_soils
SAND_00229,90.71,9.37,0.3207,0.3765,0.438,0.6939,0.6499,2.164,0.637,49.4,0.889,0.471,34.8,2.47,32.33,148.2,0.298,15.5,91.0,0.513,0.776,0,0.429,sand,sandy_soils
SAND_00230,91.69,8.6,0.1724,0.2899,0.2723,0.3032,0.4207,1.759,1.607,41.4,0.81,0.448,31.11,0.0,32.65,250.6,0.269,15.4,68.4,0.689,0.661,0,0.483,sand,sandy_soils
SAND_00231,98.77,0.0,0.2252,0.3648,0.4035,0.5554,0.8541,2.467,1.064,41.0,0.782,0.439,32.86,0.0,33.86,150.5,0.186,16.2,83.9,0.469,0.527,0,0.457,sand,sandy_soils
SAND_00232,100.0,0.0,0.204,0.3349,0.3359,0.5317,0.4786,2.606,1.034,61.7,0.791,0.442,36.28,2.13,34.16,46.9,0.193,20.6,96.4,0.644,0.534,0,0.408,sand,sandy_soils
SAND_00233,88.44,12.36,0.1305,0.3011,0.2974,0.4027,0.5564,3.086,1.725,57.4,0.792,0.442,32.16,0.0,32.2,215.9,0.343,25.0,108.0,0.661,0.702,0,0.468,sand,sandy_soils
SAND_00234,87.08,13.4,0.2473,0.3776,0.368,0.5306,0.4841,2.145,1.087,33.5,0.806,0.446,31.91,0.0,34.24,79.6,0.298,10.4,50.0,0.493,0.788,0,0.471,sand,sandy_soils
SAND_00235,89.93,13.19,0.0923,0.1735,0.2145,0.3427,0.3154,3.714,0.953,91.6,0.535,0.349,39.74,8.69,31.05,160.6,0.318,29.5,120.7,0.622,0.655,0,0.361,sand,sandy_soils
SAND_00236,82.74,14.01,0.1534,0.2844,0.3247,0.3979,0.5205,2.594,1.326,57.2,0.758,0.431,33.79,0.35,33.44,144.0,0.34,23.2,82.0,0.592,0.762,0,0.444,sand,sandy_soils
SAND_00237,92.98,9.55,0.081,0.1113,0.134,0.1675,0.2794,2.067,0.914,48.8,0.855,0.461,32.42,0.0,32.53,208.6,0.28,19.5,103.0,0.512,0.724,0,0.464,sand,sandy_soils
SAND_00238,82.93,18.41,0.2892,0.4391,0.4214,0.6122,0.8981,2.117,1.089,62.5,0.802,0.445,32.92,0.57,32.35,182.1,0.147,22.6,95.2,0.516,0.402,0,0.457,sand,sandy_soils
SAND_00239,82.52,16.96,0.1449,0.2186,0.2501,0.376,0.5159,2.595,0.877,66.1,0.706,0.414,34.96,3.41,31.55,146.7,0.262,28.8,139.5,0.768,0.594,0,0.427,sand,sandy_soils
SAND_00240,99.43,1.35,0.1204,0.2775,0.3322,0.3682,0.4779,3.058,1.736,62.6,0.753,0.43,35.49,2.33,33.15,119.6,0.236,25.0,109.1,0.638,0.526,0,0.419,sand,sandy_soils
SAND_00241,90.72,8.95,0.0477,0.1003,0.1211,0.1606,0.1573,3.37,1.314,57.4,0.718,0.418,32.2,0.0,32.98,109.2,0.228,20.6,110.0,0.396,0.619,0,0.467,sand,sandy_soils
SAND_00242,94.67,3.24,0.0806,0.1829,0.2102,0.2396,0.3963,2.971,1.731,58.6,0.793,0.442,34.5,1.85,32.65,178.3,0.196,20.1,93.7,0.657,0.536,0,0.434,sand,sandy_soils
SAND_00243,91.88,6.68,0.2738,0.4186,0.4007,0.5277,0.7087,1.927,1.213,67.4,0.608,0.378,32.52,0.0,32.97,94.3,0.093,20.8,65.3,0.302,0.356,0,0.462,sand,sandy_soils
SAND_00244,99.73,0.0,0.2428,0.3461,0.4015,0.4531,0.5226,1.866,1.089,45.1,0.862,0.463,35.29,1.45,33.84,117.0,0.21,18.9,79.1,0.717,0.659,0,0.422,sand,sandy_soils
SAND_00245,90.8,9.67,0.2093,0.526,0.4911,0.5458,0.762,2.608,2.423,64.6,0.777,0.437,33.2,0.0,33.22,156.9,0.05,25.1,138.0,0.414,0.302,0,0.452,sand,sandy_soils
SAND_00246,91.03,11.53,0.2283,0.4244,0.4116,0.4775,0.5255,2.092,1.652,73.0,0.729,0.422,35.5,4.85,30.66,184.2,0.307,26.0,123.5,0.55,0.691,0,0.419,sand,sandy_soils
