as_of,country,firm,vertical,revenue_usd,revenue_growth_pct,net_income_usd,burn_rate_usd,funding_stage,funding_total_usd,active_users,tx_volume_usd,tx_count,agents,cac_usd,churn_rate_pct,regulatory_sanction,distress_label
2022-08-01,Ghana,Hubtel,Remittances,5623545.65,-8.76,2684119.45,-0.0,Series A,48789418.91,546820,319635570.41,887044,0,0.5,0.2,0,0
2022-09-01,Ghana,Hubtel,Remittances,5549070.04,-1.32,2212252.09,-0.0,Series A,66204563.36,571352,316467817.61,927212,0,0.5,0.2,0,0
2022-10-01,Ghana,Hubtel,Remittances,5364596.07,-3.32,3859294.68,-0.0,Series A,66204563.36,563624,297277957.7,921031,0,0.5,0.2,0,0
2022-11-01,Ghana,Hubtel,Remittances,5246868.42,-2.19,3066299.45,-0.0,Series A,66204563.36,583222,301006797.72,924008,0,0.5,0.2,0,0
2022-12-01,Ghana,Hubtel,Remittances,6356181.12,21.14,3401023.66,-0.0,Series A,66204563.36,563080,296223148.97,888738,0,0.5,0.2,0,0
2023-01-01,Ghana,Hubtel,Remittances,6870836.71,8.1,5081039.62,-0.0,Series A,66204563.36,614069,349023240.61,974261,0,0.5,0.2,0,0
2023-02-01,Ghana,Hubtel,Remittances,6941746.46,1.03,3644050.21,-0.0,Series A,66204563.36,604390,389851762.77,959160,0,0.5,0.2,0,0
2023-03-01,Ghana,Hubtel,Remittances,8103670.19,16.74,4327686.45,-0.0,Series A,66204563.36,640400,423280911.97,969154,0,0.5,0.2,0,0
2023-04-01,Ghana,Hubtel,Remittances,10443445.78,28.87,8213860.51,-0.0,Series A,66204563.36,641377,460569231.42,971321,0,0.5,0.2,0,0
2023-05-01,Ghana,Hubtel,Remittances,10765041.81,3.08,6944998.84,-0.0,Series A,66204563.36,689616,536333094.77,1065283,0,0.5,0.2,0,0
2023-06-01,Ghana,Hubtel,Remittances,10638998.84,-1.17,7709722.73,-0.0,Series A,66204563.36,693966,550936106.04,1053724,0,0.5,0.2,0,0
2023-07-01,Ghana,Hubtel,Remittances,8596885.4,-19.19,5707728.11,-0.0,Series A,66204563.36,740605,579600883.99,1101297,0,0.5,0.2,0,0
2023-08-01,Ghana,Hubtel,Remittances,7632215.37,-11.22,4890930.76,-0.0,Series A,66204563.36,726210,541891698.13,1059574,0,0.5,0.2,0,0
2023-09-01,Ghana,Hubtel,Remittances,11328812.19,48.43,8304072.15,-0.0,Series A,66204563.36,806728,564282544.96,1162311,0,0.5,0.2,0,0
2023-10-01,Ghana,Hubtel,Remittances,11846164.35,4.57,7681527.52,-0.0,Series A,66204563.36,851504,534747725.62,1222625,0,0.5,0.2,0,0
2023-11-01,Ghana,Hubtel,Remittances,10643365.42,-10.15,7141763.71,-0.0,Series A,66204563.36,876536,531208831.1,1233907,0,0.5,0.2,0,0
2023-12-01,Ghana,Hubtel,Remittances,11780700.34,10.69,6993758.99,-0.0,Series A,66204563.36,898029,556621555.6,1237478,0,0.5,0.2,0,0
2024-01-01,Ghana,Hubtel,Remittances,10331291.75,-12.3,6401826.77,-0.0,Series A,66204563.36,925838,601122845.87,1242421,0,0.5,0.2,0,0
2024-02-01,Ghana,Hubtel,Remittances,13114290.28,26.94,8474596.16,-0.0,Series A,66204563.36,925337,629369587.11,1196908,0,0.5,0.2,0,0
2024-03-01,Ghana,Hubtel,Remittances,11331003.36,-13.6,6586045.53,-0.0,Series A,66204563.36,923171,678852619.55,1213633,0,0.5,0.2,0,0
2024-04-01,Ghana,Hubtel,Remittances,15953766.83,40.8,10977615.73,-0.0,Series A,66204563.36,950126,706630025.79,1207378,0,0.5,0.2,0,0
2024-05-01,Ghana,Hubtel,Remittances,16542227.09,3.69,13851348.24,-0.0,Series A,66204563.36,988318,785410445.01,1226546,0,0.5,0.2,0,0
2024-06-01,Ghana,Hubtel,Remittances,18211012.72,10.09,12244632.13,-0.0,Series A,66204563.36,993000,789010360.68,1249230,0,0.5,0.2,0,0
2024-07-01,Ghana,Hubtel,Remittances,18253301.33,0.23,12476807.31,-0.0,Series A,66204563.36,1037169,799775657.05,1298248,0,0.5,0.2,0,0
2024-08-01,Ghana,Hubtel,Remittances,14809164.76,-18.87,8162965.67,-0.0,Series A,66204563.36,1007970,716741176.71,1221977,0,0.5,0.2,0,0
2024-09-01,Ghana,Hubtel,Remittances,12305123.59,-16.91,8243490.8,-0.0,Series A,66204563.36,1023338,677913885.28,1222339,0,0.5,0.2,0,0
2024-10-01,Ghana,Hubtel,Remittances,15476935.17,25.78,12214187.89,-0.0,Series A,66204563.36,1091214,667254612.61,1278542,0,0.5,0.2,0,0
2024-11-01,Ghana,Hubtel,Remittances,14735253.58,-4.79,11136073.11,-0.0,Series A,66204563.36,1127787,669118699.54,1285506,0,0.5,0.2,0,0
2024-12-01,Ghana,Hubtel,Remittances,19226642.01,30.48,15833447.86,-0.0,Series A,66204563.36,1127607,703703542.55,1284098,0,0.5,0.2,0,0
2019-01-01,Ghana,AirtelTigo,Payments/Mobile Money,10889647.64,18.19,7297929.48,-0.0,Seed,83189415.86,2096855,555143465.24,9000109,61612,0.5,0.2,0,0
2019-02-01,Ghana,AirtelTigo,Payments/Mobile Money,9877870.36,-9.29,8201908.48,-0.0,Seed,83189415.86,2103574,595874484.13,8904281,61018,0.5,0.2,0,0
2019-03-01,Ghana,AirtelTigo,Payments/Mobile Money,10867308.5,10.02,7942126.98,-0.0,Seed,83189415.86,2160949,647915199.61,9174721,61286,0.5,0.2,0,0
2019-04-01,Ghana,AirtelTigo,Payments/Mobile Money,13425710.42,23.54,9298331.84,-0.0,Seed,83189415.86,2242281,711420999.09,9085669,61560,0.5,0.2,0,0
2019-05-01,Ghana,AirtelTigo,Payments/Mobile Money,14953104.03,11.38,11261788.84,-0.0,Seed,83189415.86,2345031,772893147.66,9330189,60844,0.5,0.2,0,0
2019-06-01,Ghana,AirtelTigo,Payments/Mobile Money,11847846.99,-20.77,8550391.26,-0.0,Seed,83189415.86,2259280,762693036.55,8822429,60920,0.5,0.2,0,0
2019-07-01,Ghana,AirtelTigo,Payments/Mobile Money,9492511.03,-19.88,7086421.62,-0.0,Seed,83189415.86,2241022,757313390.24,8955208,61402,0.5,0.2,0,0
2019-08-01,Ghana,AirtelTigo,Payments/Mobile Money,9309913.13,-1.92,6622265.75,-0.0,Seed,83189415.86,2114256,667185256.93,8682787,61451,0.5,0.2,0,0
2019-09-01,Ghana,AirtelTigo,Payments/Mobile Money,7783178.22,-16.4,5018583.01,-0.0,Seed,83189415.86,2173246,624226305.92,8828002,60781,0.5,0.2,0,0
2019-10-01,Ghana,AirtelTigo,Payments/Mobile Money,6812860.1,-12.47,4892589.07,-0.0,Seed,83189415.86,2169054,575542316.32,8788597,62027,0.5,0.2,0,0
2019-11-01,Ghana,AirtelTigo,Payments/Mobile Money,5707155.6,-16.23,3096046.45,-0.0,Seed,83189415.86,2132433,539620870.02,8578280,61764,0.5,0.2,0,0
2019-12-01,Ghana,AirtelTigo,Payments/Mobile Money,7606710.71,33.28,5908454.01,-0.0,Seed,83189415.86,2136409,568289755.3,8723585,62728,0.5,0.2,0,0
2020-01-01,Ghana,AirtelTigo,Payments/Mobile Money,9622087.94,26.49,7348548.26,-0.0,Seed,83189415.86,2280508,632149908.77,8945188,63209,0.5,0.2,0,0
2020-02-01,Ghana,AirtelTigo,Payments/Mobile Money,9575334.43,-0.49,6718958.44,-0.0,Seed,83189415.86,2194423,645016819.64,8563057,63422,0.5,0.2,0,0
2020-03-01,Ghana,AirtelTigo,Payments/Mobile Money,11241458.85,17.4,6367367.3,-0.0,Seed,83189415.86,2304608,725274702.47,8740041,63912,0.5,0.2,0,0
2020-04-01,Ghana,AirtelTigo,Payments/Mobile Money,14638999.6,30.22,9274714.88,-0.0,Seed,83189415.86,2417957,804713597.93,9197065,64767,0.5,0.2,0,0
2020-05-01,Ghana,AirtelTigo,Payments/Mobile Money,14049183.74,-4.03,9744454.2,-0.0,Seed,83189415.86,2382491,842348439.71,9012573,65934,0.5,0.2,0,0
2020-06-01,Ghana,AirtelTigo,Payments/Mobile Money,15382060.57,9.49,9942417.41,-0.0,Seed,83189415.86,2491652,864276666.03,9178121,66173,0.5,0.2,0,0
2020-07-01,Ghana,AirtelTigo,Payments/Mobile Money,11632922.24,-24.37,7367536.51,-0.0,Seed,83189415.86,2614225,880071893.39,9819534,66743,0.5,0.2,0,0
2020-08-01,Ghana,AirtelTigo,Payments/Mobile Money,12852057.86,10.48,9882683.27,-0.0,Seed,83189415.86,2493042,767477921.98,9240708,66059,0.5,0.2,0,0
2020-09-01,Ghana,AirtelTigo,Payments/Mobile Money,11872031.62,-7.63,7103541.92,-0.0,Seed,83189415.86,2623682,730197793.85,9385841,66033,0.5,0.2,0,0
2020-10-01,Ghana,AirtelTigo,Payments/Mobile Money,11534716.72,-2.84,7919210.96,-0.0,Seed,83189415.86,2731004,715092916.53,9733404,66005,0.5,0.2,0,0
2020-11-01,Ghana,AirtelTigo,Payments/Mobile Money,12609847.28,9.32,8670136.15,-0.0,Seed,83189415.86,2849682,720936384.35,9795335,66855,0.5,0.2,0,0
2020-12-01,Ghana,AirtelTigo,Payments/Mobile Money,11213087.39,-11.08,8173552.4,-0.0,Seed,83189415.86,2860852,740864621.16,9738252,68580,0.5,0.2,0,0
2021-01-01,Ghana,AirtelTigo,Payments/Mobile Money,9552186.93,-14.81,6322124.0,-0.0,Seed,83189415.86,2810747,761028776.02,9299876,68312,0.5,0.2,0,0
2021-02-01,Ghana,AirtelTigo,Payments/Mobile Money,10135214.53,6.1,7132762.22,-0.0,Seed,83189415.86,2781156,837113255.6,9164786,68923,0.5,0.2,0,0
2021-03-01,Ghana,AirtelTigo,Payments/Mobile Money,9611401.97,-5.17,5754106.82,-0.0,Seed,83189415.86,2730861,881200426.54,8928456,70227,0.5,0.2,0,0
2021-04-01,Ghana,AirtelTigo,Payments/Mobile Money,16351698.3,70.13,12639175.2,-0.0,Seed,83189415.86,2708916,944307475.46,8835376,70764,0.5,0.2,0,0
2021-05-01,Ghana,AirtelTigo,Payments/Mobile Money,19674028.96,20.32,11243126.93,-0.0,Seed,83189415.86,2763185,997896179.19,8946201,70453,0.5,0.2,0,0
2021-06-01,Ghana,AirtelTigo,Payments/Mobile Money,20193267.34,2.64,11632931.91,-0.0,Seed,83189415.86,2762086,1025922987.5,9178873,70794,0.5,0.2,0,0
2021-07-01,Ghana,AirtelTigo,Payments/Mobile Money,16845717.94,-16.58,12173308.18,-0.0,Seed,83189415.86,2386610,876788676.0,7786787,70388,0.5,0.2,1,1
2021-08-01,Ghana,AirtelTigo,Payments/Mobile Money,14900494.05,-11.55,9911342.62,-0.0,Seed,83189415.86,2412252,818288254.25,7745344,70345,0.5,0.2,0,0
2021-09-01,Ghana,AirtelTigo,Payments/Mobile Money,11292855.96,-24.21,7510541.14,-0.0,Seed,83189415.86,2441975,775641841.54,7628364,71291,0.5,0.2,0,0
2021-10-01,Ghana,AirtelTigo,Payments/Mobile Money,10975069.12,-2.81,7664755.88,-0.0,Seed,83189415.86,2456601,695152984.13,7550686,71890,0.5,0.2,0,0
2021-11-01,Ghana,AirtelTigo,Payments/Mobile Money,8916966.52,-18.75,5871478.26,-0.0,Seed,83189415.86,2570234,664734350.41,7577734,72898,0.5,0.2,0,0
2021-12-01,Ghana,AirtelTigo,Payments/Mobile Money,8637728.48,-3.13,4314083.02,-0.0,Seed,83189415.86,2736397,724457225.43,8117069,73666,0.5,0.2,0,0
2022-01-01,Ghana,AirtelTigo,Payments/Mobile Money,9646823.22,11.68,6554457.47,-0.0,Seed,83189415.86,2868415,806826187.36,8400934,73913,0.5,0.2,0,0
2022-02-01,Ghana,AirtelTigo,Payments/Mobile Money,11072606.14,14.78,7465086.57,-0.0,Seed,83189415.86,2851560,852078103.49,8386880,74194,0.5,0.2,0,0
2022-03-01,Ghana,AirtelTigo,Payments/Mobile Money,9930343.97,-10.32,5568767.43,-0.0,Seed,83189415.86,2691759,900759573.71,7905976,73749,0.5,0.2,0,0
2022-04-01,Ghana,AirtelTigo,Payments/Mobile Money,7706636.95,-22.39,5969652.72,-0.0,Seed,83189415.86,2622176,944843338.28,7582981,74181,0.5,0.2,0,0
2022-05-01,Ghana,AirtelTigo,Payments/Mobile Money,12094421.74,56.94,6063559.18,-0.0,Seed,83189415.86,2666063,1015064672.74,7555779,74340,0.5,0.2,0,0
2022-06-01,Ghana,AirtelTigo,Payments/Mobile Money,14296281.53,18.21,11413316.23,-0.0,Seed,83189415.86,2583044,994063002.55,7409595,75651,0.5,0.2,0,0
2022-07-01,Ghana,AirtelTigo,Payments/Mobile Money,12970896.56,-9.27,8463150.67,-0.0,Seed,83189415.86,2726097,1041349292.42,7639867,75309,0.5,0.2,0,0
2022-08-01,Ghana,AirtelTigo,Payments/Mobile Money,14604458.04,12.59,8327768.68,-0.0,Seed,111545314.77,2760556,954236853.71,7393412,75216,0.5,0.2,0,0
2022-09-01,Ghana,AirtelTigo,Payments/Mobile Money,11000427.87,-24.68,7239428.66,-0.0,Seed,111545314.77,2715986,834920676.86,7161532,76264,0.5,0.2,0,0
2022-10-01,Ghana,AirtelTigo,Payments/Mobile Money,14775765.05,34.32,11961398.2,-0.0,Seed,111545314.77,2746000,794131819.6,7025370,75709,0.5,0.2,0,0
2022-11-01,Ghana,AirtelTigo,Payments/Mobile Money,13835996.55,-6.36,9594759.9,-0.0,Seed,111545314.77,2870150,803273491.57,7052135,74591,0.5,0.2,0,0
2022-12-01,Ghana,AirtelTigo,Payments/Mobile Money,15822952.01,14.36,12091114.3,-0.0,Seed,111545314.77,2860087,790407173.4,6882883,75284,0.5,0.2,0,0
2023-01-01,Ghana,AirtelTigo,Payments/Mobile Money,15690690.39,-0.84,12534242.25,-0.0,Seed,111545314.77,2926424,807617699.23,6869139,75376,0.5,0.2,0,0
2023-02-01,Ghana,AirtelTigo,Payments/Mobile Money,16736736.73,6.67,11357278.4,-0.0,Seed,111545314.77,2934556,889353395.7,6975805,75627,0.5,0.2,0,0
2023-03-01,Ghana,AirtelTigo,Payments/Mobile Money,20972017.45,25.31,12887557.6,-0.0,Seed,144388847.02,2976352,974097687.5,6970181,75572,0.5,0.2,0,0
2023-04-01,Ghana,AirtelTigo,Payments/Mobile Money,25455859.88,21.38,14859971.49,-0.0,Seed,144388847.02,3048640,1082472917.08,7062754,77088,0.5,0.2,0,0
2023-05-01,Ghana,AirtelTigo,Payments/Mobile Money,25955481.73,1.96,19897601.54,-0.0,Seed,144388847.02,3262262,1198448076.87,7215049,77054,0.5,0.2,0,0
2023-06-01,Ghana,AirtelTigo,Payments/Mobile Money,21297822.54,-17.94,14086124.71,-0.0,Seed,144388847.02,3291424,1193616360.26,7240555,78151,0.5,0.2,0,0
2023-07-01,Ghana,AirtelTigo,Payments/Mobile Money,15979337.14,-24.97,11727904.13,-0.0,Seed,144388847.02,3395338,1171394865.78,7292123,78011,0.5,0.2,0,0
2023-08-01,Ghana,AirtelTigo,Payments/Mobile Money,11174206.45,-30.07,8322398.4,-0.0,Seed,144388847.02,3430358,1050133377.38,7244982,77334,0.5,0.2,0,1
2023-09-01,Ghana,AirtelTigo,Payments/Mobile Money,12895479.4,15.4,9864705.64,-0.0,Seed,144388847.02,3555165,1020506519.21,7473516,77604,0.5,0.2,0,0
2023-10-01,Ghana,AirtelTigo,Payments/Mobile Money,12298517.39,-4.63,8782337.73,-0.0,Seed,144388847.02,3394200,913550009.86,7308715,78115,0.5,0.2,0,0
2023-11-01,Ghana,AirtelTigo,Payments/Mobile Money,14432912.12,17.35,11693108.03,-0.0,Seed,144388847.02,3261740,850722189.53,7127562,78815,0.5,0.2,0,0
2023-12-01,Ghana,AirtelTigo,Payments/Mobile Money,14165424.35,-1.85,7883850.07,-0.0,Seed,144388847.02,3359696,924330029.36,7451872,79096,0.5,0.2,0,0
2024-01-01,Ghana,AirtelTigo,Payments/Mobile Money,11940664.37,-15.71,8656254.47,-0.0,Seed,144388847.02,3566511,1007260568.45,7778221,79959,0.5,0.2,0,0
2024-02-01,Ghana,AirtelTigo,Payments/Mobile Money,15274308.09,27.92,12282751.69,-0.0,Seed,144388847.02,3655851,1107191531.41,8221005,81015,0.5,0.2,0,0
2024-03-01,Ghana,AirtelTigo,Payments/Mobile Money,16470534.32,7.83,9923031.94,-0.0,Seed,144388847.02,3519931,1207483785.87,7934805,80661,0.5,0.2,0,0
2024-04-01,Ghana,AirtelTigo,Payments/Mobile Money,25308647.06,53.66,16064331.71,-0.0,Series A,166318664.66,3660268,1327765348.7,8049039,81763,0.5,0.2,0,0
2024-05-01,Ghana,AirtelTigo,Payments/Mobile Money,23591361.07,-6.79,17213659.23,-0.0,Series A,166318664.66,3870999,1430018842.67,8249560,80065,0.5,0.2,0,0
2024-06-01,Ghana,AirtelTigo,Payments/Mobile Money,21958334.16,-6.92,17875156.25,-0.0,Series A,166318664.66,3875593,1461017176.93,8278690,79239,0.5,0.2,0,0
2024-07-01,Ghana,AirtelTigo,Payments/Mobile Money,21605762.76,-1.61,15234219.2,-0.0,Series A,166318664.66,4053286,1502205848.87,8567227,78811,0.5,0.2,0,0
2024-08-01,Ghana,AirtelTigo,Payments/Mobile Money,26563695.73,22.95,17546651.89,-0.0,Series A,166318664.66,4314574,1486231200.38,8986657,80103,0.5,0.2,0,0
2024-09-01,Ghana,AirtelTigo,Payments/Mobile Money,22235126.51,-16.3,15180988.69,-0.0,Series A,166318664.66,4625122,1442647654.14,9489456,79302,0.5,0.2,0,0
2024-10-01,Ghana,AirtelTigo,Payments/Mobile Money,20950370.25,-5.78,15762624.88,-0.0,Series A,166318664.66,4591160,1400292375.11,9440732,80136,0.5,0.2,0,0
2024-11-01,Ghana,AirtelTigo,Payments/Mobile Money,18482858.91,-11.78,11490420.71,-0.0,Series A,166318664.66,4947758,1424229715.59,9786597,81449,0.5,0.2,0,0
2024-12-01,Ghana,AirtelTigo,Payments/Mobile Money,23692601.31,28.19,14091990.68,-0.0,Series A,166318664.66,4983232,1427201686.71,9950821,82706,0.5,0.2,0,0
2019-01-01,South Africa,Yoco,Remittances,2593494.27,-4.53,-1573822.6,1573822.6,Private/Strategic,169788583.34,154161,179733005.35,668123,2,5.02,2.006,0,0
2019-02-01,South Africa,Yoco,Remittances,3749571.97,44.58,-769475.95,769475.95,Private/Strategic,169788583.34,161094,195471250.37,688219,2,4.37,2.347,0,0
2019-03-01,South Africa,Yoco,Remittances,3457949.75,-7.78,-1378734.57,1378734.57,Private/Strategic,169788583.34,154446,206146799.34,662324,2,1.44,2.128,0,0
2019-04-01,South Africa,Yoco,Remittances,4505109.56,30.28,-1731685.56,1731685.56,Private/Strategic,169788583.34,158842,228021086.67,661474,1,3.15,1.995,0,0
2019-05-01,South Africa,Yoco,Remittances,5857866.81,30.03,-1931960.84,1931960.84,Private/Strategic,169788583.34,174233,256494976.57,706325,1,3.06,2.085,0,0
2019-06-01,South Africa,Yoco,Remittances,5900472.15,0.73,-726972.3,726972.3,Private/Strategic,169788583.34,189169,263718819.16,754166,1,4.17,0.2,0,0
2019-07-01,South Africa,Yoco,Remittances,5817502.21,-1.41,-274393.43,274393.43,Private/Strategic,169788583.34,190119,257053541.74,759311,1,1.8,1.197,0,0
2019-08-01,South Africa,Yoco,Remittances,4691229.48,-19.36,-530618.19,530618.19,Private/Strategic,169788583.34,198517,252367049.64,780539,0,5.65,1.966,0,0
2019-09-01,South Africa,Yoco,Remittances,5402728.96,15.17,-1554212.53,1554212.53,Private/Strategic,169788583.34,207493,234269725.28,808842,0,2.73,2.899,0,0
2019-10-01,South Africa,Yoco,Remittances,5453195.14,0.93,-506131.51,506131.51,Private/Strategic,169788583.34,209504,219504226.65,835695,0,2.26,1.161,0,0
2019-11-01,South Africa,Yoco,Remittances,4177656.75,-23.39,-760921.25,760921.25,Private/Strategic,169788583.34,216405,222405090.2,861978,0,2.92,0.382,0,0
2019-12-01,South Africa,Yoco,Remittances,4656403.78,11.46,-228630.74,228630.74,Private/Strategic,169788583.34,229915,232563127.55,877415,0,3.25,2.354,0,0
2020-01-01,South Africa,Yoco,Remittances,4529123.88,-2.73,-1958360.2,1958360.2,Private/Strategic,169788583.34,229742,239634336.2,898439,0,3.94,1.979,0,0
2020-02-01,South Africa,Yoco,Remittances,5265775.9,16.26,-892797.98,892797.98,Private/Strategic,169788583.34,242855,264656185.24,949040,0,5.7,1.478,0,0
2020-03-01,South Africa,Yoco,Remittances,6976054.51,32.48,620228.32,-0.0,Private/Strategic,169788583.34,248796,295938984.99,985378,0,1.47,2.616,0,0
2020-04-01,South Africa,Yoco,Remittances,7119855.06,2.06,-764695.06,764695.06,Private/Strategic,169788583.34,236910,297820335.93,947836,0,3.4,1.327,0,0
2020-05-01,South Africa,Yoco,Remittances,6011873.78,-15.56,-1407857.67,1407857.67,Private/Strategic,169788583.34,250748,316643478.62,998070,0,4.84,1.34,0,0
2020-06-01,South Africa,Yoco,Remittances,7653254.81,27.3,-1258081.99,1258081.99,Private/Strategic,169788583.34,260976,335698695.67,1024037,0,2.82,2.08,0,0
2020-07-01,South Africa,Yoco,Remittances,7869885.21,2.83,399636.36,-0.0,Private/Strategic,169788583.34,276177,349885056.38,1089983,0,5.2,1.634,0,0
2020-08-01,South Africa,Yoco,Remittances,5972301.17,-24.11,72147.74,-0.0,Private/Strategic,169788583.34,288130,333302624.14,1113759,0,2.22,1.393,0,0
2020-09-01,South Africa,Yoco,Remittances,6059724.55,1.46,539991.35,-0.0,Private/Strategic,169788583.34,293216,309561308.42,1170243,0,1.58,0.806,0,0
2020-10-01,South Africa,Yoco,Remittances,6834524.24,12.79,-1613256.72,1613256.72,Private/Strategic,169788583.34,313919,305262347.04,1238679,0,2.84,2.354,0,0
2020-11-01,South Africa,Yoco,Remittances,7361220.85,7.71,-1895825.21,1895825.21,Private/Strategic,169788583.34,325940,295616881.19,1288901,0,4.86,1.826,0,0
2020-12-01,South Africa,Yoco,Remittances,5722898.07,-22.26,-712721.8,712721.8,Private/Strategic,169788583.34,336608,294648106.87,1284712,0,3.09,1.534,0,0
2021-01-01,South Africa,Yoco,Remittances,6305084.31,10.17,-337295.43,337295.43,Private/Strategic,169788583.34,348338,301753696.9,1295492,0,3.31,0.513,0,0
2021-02-01,South Africa,Yoco,Remittances,6803500.46,7.9,-596649.15,596649.15,Private/Strategic,169788583.34,354977,326110134.17,1314078,0,4.85,1.07,0,0
2021-03-01,South Africa,Yoco,Remittances,8731686.72,28.34,-1300452.28,1300452.28,Private/Strategic,198778681.84,364915,359479072.63,1334637,0,3.09,1.641,0,0
2021-04-01,South Africa,Yoco,Remittances,7525515.39,-13.81,410854.16,-0.0,Private/Strategic,198778681.84,363741,384030191.99,1342069,0,3.4,0.771,0,0
2021-05-01,South Africa,Yoco,Remittances,8565508.93,13.82,-936002.43,936002.43,Private/Strategic,198778681.84,352857,379889324.09,1275362,0,1.93,2.055,0,0
2021-06-01,South Africa,Yoco,Remittances,8894022.77,3.84,-1215372.99,1215372.99,Private/Strategic,198778681.84,368860,395103336.96,1341949,0,2.53,1.255,0,0
2021-07-01,South Africa,Yoco,Remittances,8618672.08,-3.1,-1973176.31,1973176.31,Private/Strategic,198778681.84,361545,369046512.84,1276639,0,4.15,1.687,0,0
2021-08-01,South Africa,Yoco,Remittances,7625825.28,-11.52,-2271211.04,2271211.04,Private/Strategic,198778681.84,370919,358918692.11,1259555,0,5.22,0.283,0,0
2021-09-01,South Africa,Yoco,Remittances,6358629.58,-16.62,-517020.76,517020.76,Private/Strategic,198778681.84,362883,328917999.54,1206632,0,3.36,2.597,0,0
2021-10-01,South Africa,Yoco,Remittances,7285519.19,14.58,-172118.48,172118.48,Private/Strategic,198778681.84,358013,314941082.05,1182932,0,2.22,0.819,1,0
2021-11-01,South Africa,Yoco,Remittances,6508804.83,-10.66,-560780.5,560780.5,Private/Strategic,198778681.84,337169,279747158.09,1113814,0,3.81,1.429,1,1
2021-12-01,South Africa,Yoco,Remittances,5939838.09,-8.74,-836701.98,836701.98,Private/Strategic,214571949.03,351692,292274079.11,1114240,0,3.41,1.655,0,0
2022-01-01,South Africa,Yoco,Remittances,5872224.93,-1.14,-1762083.24,1762083.24,Private/Strategic,214571949.03,370924,319943823.83,1144188,0,4.02,0.242,0,0
2022-02-01,South Africa,Yoco,Remittances,7424714.8,26.44,457859.28,-0.0,Private/Strategic,214571949.03,380928,356017722.85,1140912,0,3.7,1.404,0,0
2022-03-01,South Africa,Yoco,Remittances,8854305.35,19.25,38779.55,-0.0,Private/Strategic,214571949.03,390152,379575553.58,1129537,0,0.94,1.624,0,0
2022-04-01,South Africa,Yoco,Remittances,7892719.32,-10.86,-506687.13,506687.13,Private/Strategic,214571949.03,403907,429776879.55,1157478,0,1.99,0.811,0,0
2022-05-01,South Africa,Yoco,Remittances,6157553.84,-21.98,-1173137.03,1173137.03,Private/Strategic,214571949.03,418615,467334174.47,1186876,0,2.09,1.184,0,0
2022-06-01,South Africa,Yoco,Remittances,9122365.97,48.15,-59438.49,59438.49,Private/Strategic,214571949.03,430107,487172162.19,1224421,0,3.2,2.055,0,0
2022-07-01,South Africa,Yoco,Remittances,8416504.68,-7.74,-955938.1,955938.1,Private/Strategic,214571949.03,433058,485560652.24,1238883,0,4.54,1.922,0,0
2022-08-01,South Africa,Yoco,Remittances,9034474.4,7.34,-2627316.84,2627316.84,Private/Strategic,214571949.03,445144,472605140.07,1221145,0,3.97,1.862,0,0
2022-09-01,South Africa,Yoco,Remittances,5844566.82,-35.31,-312769.59,312769.59,Private/Strategic,214571949.03,438673,445644306.94,1224837,0,2.18,2.079,0,1
2022-10-01,South Africa,Yoco,Remittances,6762069.39,15.7,-470885.73,470885.73,Private/Strategic,214571949.03,446067,426319126.77,1188450,0,2.23,1.084,0,0
2022-11-01,South Africa,Yoco,Remittances,9128152.25,34.99,38916.4,-0.0,Private/Strategic,214571949.03,452139,422184049.49,1190463,0,1.55,1.176,0,0
2022-12-01,South Africa,Yoco,Remittances,9618389.51,5.37,-1529372.87,1529372.87,Private/Strategic,214571949.03,501230,454158064.25,1279568,0,4.88,1.508,0,0
2023-01-01,South Africa,Yoco,Remittances,10365689.09,7.77,-398583.56,398583.56,Private/Strategic,214571949.03,517965,479643644.66,1281120,0,2.68,0.58,0,0
2023-02-01,South Africa,Yoco,Remittances,12912956.55,24.57,-889726.24,889726.24,Private/Strategic,214571949.03,539598,523896824.58,1300396,0,3.93,2.067,0,0
2023-03-01,South Africa,Yoco,Remittances,11743651.22,-9.06,-927952.02,927952.02,Private/Strategic,214571949.03,533514,568393133.32,1288975,0,2.19,2.239,0,0
2023-04-01,South Africa,Yoco,Remittances,13604150.74,15.84,273032.4,-0.0,Private/Strategic,214571949.03,546103,610552938.15,1325217,0,2.43,1.038,0,0
2023-05-01,South Africa,Yoco,Remittances,15647158.69,15.02,2270742.92,-0.0,Private/Strategic,248472431.81,546003,640724204.86,1328456,0,3.44,2.259,0,0
2023-06-01,South Africa,Yoco,Remittances,15718430.36,0.46,1844222.37,-0.0,Private/Strategic,248472431.81,575006,689487655.44,1376849,0,3.27,2.133,0,0
2023-07-01,South Africa,Yoco,Remittances,18951402.12,20.57,-2325069.6,2325069.6,Private/Strategic,248472431.81,577852,705381533.43,1377666,0,1.62,0.2,0,0
2023-08-01,South Africa,Yoco,Remittances,15880909.93,-16.2,318520.82,-0.0,Private/Strategic,248472431.81,574185,662080727.42,1368124,0,5.89,0.656,0,0
2023-09-01,South Africa,Yoco,Remittances,12827901.66,-19.22,-1229374.77,1229374.77,Private/Strategic,248472431.81,581695,611238850.19,1342033,0,4.59,0.592,0,0
2023-10-01,South Africa,Yoco,Remittances,13431750.36,4.71,-769513.92,769513.92,Private/Strategic,248472431.81,631871,629391060.38,1450924,0,1.94,1.14,0,0
