material,character,temperature_K,tau_GPa,solute_at_pct,mean_velocity_nm_ps,mobility_nm_ps_per_GPa,run_id
Al,edge,700,0.1,0.0,0.378306,3.791488,dl_Al_edge_700K_0.0at_0.10GPa_2c59f335_230
Al,edge,700,0.2,0.0,0.751108,3.751826,dl_Al_edge_700K_0.0at_0.20GPa_2c59f335_231
Al,edge,700,0.4,0.0,1.304384,3.261476,dl_Al_edge_700K_0.0at_0.40GPa_2c59f335_232
Al,edge,700,0.05,0.5,0.113077,2.307925,dl_Al_edge_700K_0.5at_0.05GPa_2c59f335_233
Al,edge,700,0.1,0.5,0.208265,2.074172,dl_Al_edge_700K_0.5at_0.10GPa_2c59f335_234
Al,edge,700,0.2,0.5,0.406664,2.029681,dl_Al_edge_700K_0.5at_0.20GPa_2c59f335_235
Al,edge,700,0.4,0.5,0.848676,2.122227,dl_Al_edge_700K_0.5at_0.40GPa_2c59f335_236
Al,edge,700,0.05,1.0,0.078613,1.553283,dl_Al_edge_700K_1.0at_0.05GPa_2c59f335_237
Al,edge,700,0.1,1.0,0.152421,1.512925,dl_Al_edge_700K_1.0at_0.10GPa_2c59f335_238
Al,edge,700,0.2,1.0,0.285677,1.427332,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
Al,edge,700,0.4,1.0,0.548203,1.369104,dl_Al_edge_700K_1.0at_0.40GPa_2c59f335_240
Al,edge,900,0.05,0.0,0.216627,4.324068,dl_Al_edge_900K_0.0at_0.05GPa_2c59f335_241
Al,edge,900,0.1,0.0,0.41926,4.19257,dl_Al_edge_900K_0.0at_0.10GPa_2c59f335_242
Al,edge,900,0.2,0.0,0.914176,4.561752,dl_Al_edge_900K_0.0at_0.20GPa_2c59f335_243
Al,edge,900,0.4,0.0,1.819304,4.548953,dl_Al_edge_900K_0.0at_0.40GPa_2c59f335_244
Al,edge,900,0.05,0.5,0.12381,2.474972,dl_Al_edge_900K_0.5at_0.05GPa_2c59f335_245
Al,edge,900,0.1,0.5,0.234463,2.354806,dl_Al_edge_900K_0.5at_0.10GPa_2c59f335_246
Al,edge,900,0.2,0.5,0.529918,2.645969,dl_Al_edge_900K_0.5at_0.20GPa_2c59f335_247
Al,edge,900,0.4,0.5,1.059964,2.649241,dl_Al_edge_900K_0.5at_0.40GPa_2c59f335_248
Al,edge,900,0.05,1.0,0.092573,1.821412,dl_Al_edge_900K_1.0at_0.05GPa_2c59f335_249
Al,edge,900,0.1,1.0,0.168943,1.684638,dl_Al_edge_900K_1.0at_0.10GPa_2c59f335_250
Al,edge,900,0.2,1.0,0.337527,1.694647,dl_Al_edge_900K_1.0at_0.20GPa_2c59f335_251
Al,edge,900,0.4,1.0,0.692532,1.731071,dl_Al_edge_900K_1.0at_0.40GPa_2c59f335_252
Al,screw,500,0.05,0.0,0.090424,1.81426,dl_Al_screw_500K_0.0at_0.05GPa_2c59f335_253
Al,screw,500,0.1,0.0,0.177496,1.768873,dl_Al_screw_500K_0.0at_0.10GPa_2c59f335_254
Al,screw,500,0.2,0.0,0.362752,1.814227,dl_Al_screw_500K_0.0at_0.20GPa_2c59f335_255
Al,screw,500,0.4,0.0,0.731943,1.829795,dl_Al_screw_500K_0.0at_0.40GPa_2c59f335_256
Al,screw,500,0.05,0.5,0.055387,1.080767,dl_Al_screw_500K_0.5at_0.05GPa_2c59f335_257
Al,screw,500,0.1,0.5,0.102678,1.012942,dl_Al_screw_500K_0.5at_0.10GPa_2c59f335_258
Al,screw,500,0.2,0.5,0.195204,0.970703,dl_Al_screw_500K_0.5at_0.20GPa_2c59f335_259
Al,screw,500,0.4,0.5,0.411205,1.026424,dl_Al_screw_500K_0.5at_0.40GPa_2c59f335_260
Al,screw,500,0.05,1.0,0.037827,0.691188,dl_Al_screw_500K_1.0at_0.05GPa_2c59f335_261
Al,screw,500,0.1,1.0,0.074897,0.745284,dl_Al_screw_500K_1.0at_0.10GPa_2c59f335_262
Al,screw,500,0.2,1.0,0.151593,0.750462,dl_Al_screw_500K_1.0at_0.20GPa_2c59f335_263
Al,screw,500,0.4,1.0,0.29303,0.729095,dl_Al_screw_500K_1.0at_0.40GPa_2c59f335_264
Al,screw,700,0.05,0.0,0.112408,2.267266,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
Al,screw,700,0.1,0.0,0.193351,1.969508,dl_Al_screw_700K_0.0at_0.10GPa_2c59f335_266
Al,screw,700,0.2,0.0,0.43913,2.197734,dl_Al_screw_700K_0.0at_0.20GPa_2c59f335_267
Al,screw,700,0.4,0.0,0.889649,2.224387,dl_Al_screw_700K_0.0at_0.40GPa_2c59f335_268
Al,screw,700,0.05,0.5,0.067677,1.345001,dl_Al_screw_700K_0.5at_0.05GPa_2c59f335_269
Al,screw,700,0.1,0.5,0.130488,1.300636,dl_Al_screw_700K_0.5at_0.10GPa_2c59f335_270
Al,screw,700,0.2,0.5,0.244249,1.221305,dl_Al_screw_700K_0.5at_0.20GPa_2c59f335_271
Al,screw,700,0.4,0.5,0.498343,1.244071,dl_Al_screw_700K_0.5at_0.40GPa_2c59f335_272
Al,screw,700,0.05,1.0,0.043317,0.887904,dl_Al_screw_700K_1.0at_0.05GPa_2c59f335_273
Al,screw,700,0.1,1.0,0.076779,0.787839,dl_Al_screw_700K_1.0at_0.10GPa_2c59f335_274
Al,screw,700,0.2,1.0,0.170416,0.853836,dl_Al_screw_700K_1.0at_0.20GPa_2c59f335_275
Al,screw,700,0.4,1.0,0.331757,0.827442,dl_Al_screw_700K_1.0at_0.40GPa_2c59f335_276
Al,screw,900,0.05,0.0,0.132291,2.623882,dl_Al_screw_900K_0.0at_0.05GPa_2c59f335_277
Al,screw,900,0.1,0.0,0.266109,2.66489,dl_Al_screw_900K_0.0at_0.10GPa_2c59f335_278
Al,screw,900,0.2,0.0,0.521182,2.601055,dl_Al_screw_900K_0.0at_0.20GPa_2c59f335_279
Al,screw,900,0.4,0.0,1.04658,2.617111,dl_Al_screw_900K_0.0at_0.40GPa_2c59f335_280
Al,screw,900,0.05,0.5,0.08114,1.600368,dl_Al_screw_900K_0.5at_0.05GPa_2c59f335_281
Al,screw,900,0.1,0.5,0.149469,1.488186,dl_Al_screw_900K_0.5at_0.10GPa_2c59f335_282
Al,screw,900,0.2,0.5,0.314129,1.568128,dl_Al_screw_900K_0.5at_0.20GPa_2c59f335_283
Al,screw,900,0.4,0.5,0.587204,1.466921,dl_Al_screw_900K_0.5at_0.40GPa_2c59f335_284
Al,screw,900,0.05,1.0,0.05663,1.147225,dl_Al_screw_900K_1.0at_0.05GPa_2c59f335_285
Al,screw,900,0.1,1.0,0.113727,1.149246,dl_Al_screw_900K_1.0at_0.10GPa_2c59f335_286
Al,screw,900,0.2,1.0,0.216422,1.080319,dl_Al_screw_900K_1.0at_0.20GPa_2c59f335_287
Al,screw,900,0.4,1.0,0.438794,1.101332,dl_Al_screw_900K_1.0at_0.40GPa_2c59f335_288
Al,mixed,500,0.05,0.0,0.125915,2.526421,dl_Al_mixed_500K_0.0at_0.05GPa_2c59f335_289
Al,mixed,500,0.1,0.0,0.23671,2.364604,dl_Al_mixed_500K_0.0at_0.10GPa_2c59f335_290
Al,mixed,500,0.2,0.0,0.453823,2.267219,dl_Al_mixed_500K_0.0at_0.20GPa_2c59f335_291
Al,mixed,500,0.4,0.0,0.929789,2.326914,dl_Al_mixed_500K_0.0at_0.40GPa_2c59f335_292
Al,mixed,500,0.05,0.5,0.070742,1.412456,dl_Al_mixed_500K_0.5at_0.05GPa_2c59f335_293
Al,mixed,500,0.1,0.5,0.122583,1.236686,dl_Al_mixed_500K_0.5at_0.10GPa_2c59f335_294
Al,mixed,500,0.2,0.5,0.26853,1.335813,dl_Al_mixed_500K_0.5at_0.20GPa_2c59f335_295
Al,mixed,500,0.4,0.5,0.556347,1.38827,dl_Al_mixed_500K_0.5at_0.40GPa_2c59f335_296
Al,mixed,500,0.05,1.0,0.045678,0.908055,dl_Al_mixed_500K_1.0at_0.05GPa_2c59f335_297
Al,mixed,500,0.1,1.0,0.095886,0.963031,dl_Al_mixed_500K_1.0at_0.10GPa_2c59f335_298
Al,mixed,500,0.2,1.0,0.211382,1.058668,dl_Al_mixed_500K_1.0at_0.20GPa_2c59f335_299
Al,mixed,500,0.4,1.0,0.395921,0.985234,dl_Al_mixed_500K_1.0at_0.40GPa_2c59f335_300
Al,mixed,700,0.05,0.0,0.153193,3.061525,dl_Al_mixed_700K_0.0at_0.05GPa_2c59f335_301
Al,mixed,700,0.1,0.0,0.290811,2.910315,dl_Al_mixed_700K_0.0at_0.10GPa_2c59f335_302
Al,mixed,700,0.2,0.0,0.58231,2.915591,dl_Al_mixed_700K_0.0at_0.20GPa_2c59f335_303
Al,mixed,700,0.4,0.0,1.1792,2.947239,dl_Al_mixed_700K_0.0at_0.40GPa_2c59f335_304
Al,mixed,700,0.05,0.5,0.091278,1.825748,dl_Al_mixed_700K_0.5at_0.05GPa_2c59f335_305
Al,mixed,700,0.1,0.5,0.15799,1.593976,dl_Al_mixed_700K_0.5at_0.10GPa_2c59f335_306
Al,mixed,700,0.2,0.5,0.331553,1.658869,dl_Al_mixed_700K_0.5at_0.20GPa_2c59f335_307
Al,mixed,700,0.4,0.5,0.709027,1.771762,dl_Al_mixed_700K_0.5at_0.40GPa_2c59f335_308
Al,mixed,700,0.05,1.0,0.055496,1.092673,dl_Al_mixed_700K_1.0at_0.05GPa_2c59f335_309
Al,mixed,700,0.1,1.0,0.119023,1.188815,dl_Al_mixed_700K_1.0at_0.10GPa_2c59f335_310
Al,mixed,700,0.2,1.0,0.227882,1.139324,dl_Al_mixed_700K_1.0at_0.20GPa_2c59f335_311
Al,mixed,700,0.4,1.0,0.494484,1.241329,dl_Al_mixed_700K_1.0at_0.40GPa_2c59f335_312
Al,mixed,900,0.05,0.0,0.179897,3.57436,dl_Al_mixed_900K_0.0at_0.05GPa_2c59f335_313
Al,mixed,900,0.1,0.0,0.330747,3.319078,dl_Al_mixed_900K_0.0at_0.10GPa_2c59f335_314
Al,mixed,900,0.2,0.0,0.731357,3.656383,dl_Al_mixed_900K_0.0at_0.20GPa_2c59f335_315
Al,mixed,900,0.4,0.0,1.449507,3.623587,dl_Al_mixed_900K_0.0at_0.40GPa_2c59f335_316
Al,mixed,900,0.05,0.5,0.096738,1.925562,dl_Al_mixed_900K_0.5at_0.05GPa_2c59f335_317
Al,mixed,900,0.1,0.5,0.205574,2.049352,dl_Al_mixed_900K_0.5at_0.10GPa_2c59f335_318
Al,mixed,900,0.2,0.5,0.415496,2.073698,dl_Al_mixed_900K_0.5at_0.20GPa_2c59f335_319
Al,mixed,900,0.4,0.5,0.757359,1.895144,dl_Al_mixed_900K_0.5at_0.40GPa_2c59f335_320
Al,mixed,900,0.05,1.0,0.068198,1.349146,dl_Al_mixed_900K_1.0at_0.05GPa_2c59f335_321
Al,mixed,900,0.1,1.0,0.138774,1.371788,dl_Al_mixed_900K_1.0at_0.10GPa_2c59f335_322
Al,mixed,900,0.2,1.0,0.302977,1.513627,dl_Al_mixed_900K_1.0at_0.20GPa_2c59f335_323
Al,mixed,900,0.4,1.0,0.569523,1.42302,dl_Al_mixed_900K_1.0at_0.40GPa_2c59f335_324
Ti,edge,500,0.05,0.0,0.134407,2.753317,dl_Ti_edge_500K_0.0at_0.05GPa_2c59f335_325
Ti,edge,500,0.1,0.0,0.279886,2.775566,dl_Ti_edge_500K_0.0at_0.10GPa_2c59f335_326
Ti,edge,500,0.2,0.0,0.55163,2.75351,dl_Ti_edge_500K_0.0at_0.20GPa_2c59f335_327
Ti,edge,500,0.4,0.0,1.117792,2.794736,dl_Ti_edge_500K_0.0at_0.40GPa_2c59f335_328
Ti,edge,500,0.05,0.5,0.082257,1.611024,dl_Ti_edge_500K_0.5at_0.05GPa_2c59f335_329
Ti,edge,500,0.1,0.5,0.155842,1.554669,dl_Ti_edge_500K_0.5at_0.10GPa_2c59f335_330
Ti,edge,500,0.2,0.5,0.30771,1.541077,dl_Ti_edge_500K_0.5at_0.20GPa_2c59f335_331
Ti,edge,500,0.4,0.5,0.672002,1.673447,dl_Ti_edge_500K_0.5at_0.40GPa_2c59f335_332
Ti,edge,500,0.05,1.0,0.053747,1.073446,dl_Ti_edge_500K_1.0at_0.05GPa_2c59f335_333
Ti,edge,500,0.1,1.0,0.109614,1.105044,dl_Ti_edge_500K_1.0at_0.10GPa_2c59f335_334
Ti,edge,500,0.2,1.0,0.21407,1.07272,dl_Ti_edge_500K_1.0at_0.20GPa_2c59f335_335
Ti,edge,500,0.4,1.0,0.453569,1.134768,dl_Ti_edge_500K_1.0at_0.40GPa_2c59f335_336
Ti,edge,700,0.05,0.0,0.167824,3.34513,dl_Ti_edge_700K_0.0at_0.05GPa_2c59f335_337
Ti,edge,700,0.1,0.0,0.347536,3.470457,dl_Ti_edge_700K_0.0at_0.10GPa_2c59f335_338
Ti,edge,700,0.2,0.0,0.62437,3.11828,dl_Ti_edge_700K_0.0at_0.20GPa_2c59f335_339
Ti,edge,700,0.4,0.0,1.350657,3.37254,dl_Ti_edge_700K_0.0at_0.40GPa_2c59f335_340
Ti,edge,700,0.05,0.5,0.091036,1.886025,dl_Ti_edge_700K_0.5at_0.05GPa_2c59f335_341
Ti,edge,700,0.1,0.5,0.182109,1.822901,dl_Ti_edge_700K_0.5at_0.10GPa_2c59f335_342
Ti,edge,700,0.2,0.5,0.370361,1.851852,dl_Ti_edge_700K_0.5at_0.20GPa_2c59f335_343
Ti,edge,700,0.4,0.5,0.745315,1.859657,dl_Ti_edge_700K_0.5at_0.40GPa_2c59f335_344
Ti,edge,700,0.05,1.0,0.06647,1.318892,dl_Ti_edge_700K_1.0at_0.05GPa_2c59f335_345
Ti,edge,700,0.1,1.0,0.141589,1.417776,dl_Ti_edge_700K_1.0at_0.10GPa_2c59f335_346
Ti,edge,700,0.2,1.0,0.264801,1.325406,dl_Ti_edge_700K_1.0at_0.20GPa_2c59f335_347
Ti,edge,700,0.4,1.0,0.510155,1.279786,dl_Ti_edge_700K_1.0at_0.40GPa_2c59f335_348
Ti,edge,900,0.05,0.0,0.196677,3.94912,dl_Ti_edge_900K_0.0at_0.05GPa_2c59f335_349
Ti,edge,900,0.1,0.0,0.379468,3.79448,dl_Ti_edge_900K_0.0at_0.10GPa_2c59f335_350
Ti,edge,900,0.2,0.0,0.784833,3.917273,dl_Ti_edge_900K_0.0at_0.20GPa_2c59f335_351
Ti,edge,900,0.4,0.0,1.486796,3.721777,dl_Ti_edge_900K_0.0at_0.40GPa_2c59f335_352
Ti,edge,900,0.05,0.5,0.110907,2.241191,dl_Ti_edge_900K_0.5at_0.05GPa_2c59f335_353
Ti,edge,900,0.1,0.5,0.229606,2.284928,dl_Ti_edge_900K_0.5at_0.10GPa_2c59f335_354
Ti,edge,900,0.2,0.5,0.408588,2.053509,dl_Ti_edge_900K_0.5at_0.20GPa_2c59f335_355
Ti,edge,900,0.4,0.5,0.939362,2.349846,dl_Ti_edge_900K_0.5at_0.40GPa_2c59f335_356
Ti,edge,900,0.05,1.0,0.087299,1.748779,dl_Ti_edge_900K_1.0at_0.05GPa_2c59f335_357
Ti,edge,900,0.1,1.0,0.170207,1.70417,dl_Ti_edge_900K_1.0at_0.10GPa_2c59f335_358
Ti,edge,900,0.2,1.0,0.310855,1.543132,dl_Ti_edge_900K_1.0at_0.20GPa_2c59f335_359
Ti,edge,900,0.4,1.0,0.613915,1.53592,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
Ti,screw,500,0.05,0.0,0.083938,1.675719,dl_Ti_screw_500K_0.0at_0.05GPa_2c59f335_361
Ti,screw,500,0.1,0.0,0.156591,1.578054,dl_Ti_screw_500K_0.0at_0.10GPa_2c59f335_362
Ti,screw,500,0.2,0.0,0.308383,1.537458,dl_Ti_screw_500K_0.0at_0.20GPa_2c59f335_363
Ti,screw,500,0.4,0.0,0.622783,1.552257,dl_Ti_screw_500K_0.0at_0.40GPa_2c59f335_364
Ti,screw,500,0.05,0.5,0.052895,1.002345,dl_Ti_screw_500K_0.5at_0.05GPa_2c59f335_365
Ti,screw,500,0.1,0.5,0.09671,0.971899,dl_Ti_screw_500K_0.5at_0.10GPa_2c59f335_366
Ti,screw,500,0.2,0.5,0.191908,0.950411,dl_Ti_screw_500K_0.5at_0.20GPa_2c59f335_367
Ti,screw,500,0.4,0.5,0.403315,1.009165,dl_Ti_screw_500K_0.5at_0.40GPa_2c59f335_368
Ti,screw,500,0.05,1.0,0.038349,0.668879,dl_Ti_screw_500K_1.0at_0.05GPa_2c59f335_369
Ti,screw,500,0.1,1.0,0.06633,0.661134,dl_Ti_screw_500K_1.0at_0.10GPa_2c59f335_370
Ti,screw,500,0.2,1.0,0.134002,0.670609,dl_Ti_screw_500K_1.0at_0.20GPa_2c59f335_371
Ti,screw,500,0.4,1.0,0.255169,0.635424,dl_Ti_screw_500K_1.0at_0.40GPa_2c59f335_372
Ti,screw,700,0.05,0.0,0.106675,2.137911,dl_Ti_screw_700K_0.0at_0.05GPa_2c59f335_373
Ti,screw,700,0.1,0.0,0.207553,2.066485,dl_Ti_screw_700K_0.0at_0.10GPa_2c59f335_374
Ti,screw,700,0.2,0.0,0.381026,1.910838,dl_Ti_screw_700K_0.0at_0.20GPa_2c59f335_375
Ti,screw,700,0.4,0.0,0.822562,2.056505,dl_Ti_screw_700K_0.0at_0.40GPa_2c59f335_376
Ti,screw,700,0.05,0.5,0.055944,1.138075,dl_Ti_screw_700K_0.5at_0.05GPa_2c59f335_377
Ti,screw,700,0.1,0.5,0.123022,1.248336,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
Ti,screw,700,0.2,0.5,0.231331,1.156386,dl_Ti_screw_700K_0.5at_0.20GPa_2c59f335_379
Ti,screw,700,0.4,0.5,0.471591,1.175754,dl_Ti_screw_700K_0.5at_0.40GPa_2c59f335_380
Ti,screw,700,0.05,1.0,0.03765,0.765008,dl_Ti_screw_700K_1.0at_0.05GPa_2c59f335_381
Ti,screw,700,0.1,1.0,0.074455,0.754374,dl_Ti_screw_700K_1.0at_0.10GPa_2c59f335_382
Ti,screw,700,0.2,1.0,0.143901,0.722834,dl_Ti_screw_700K_1.0at_0.20GPa_2c59f335_383
Ti,screw,700,0.4,1.0,0.333823,0.833843,dl_Ti_screw_700K_1.0at_0.40GPa_2c59f335_384
Ti,screw,900,0.05,0.0,0.123835,2.489081,dl_Ti_screw_900K_0.0at_0.05GPa_2c59f335_385
Ti,screw,900,0.1,0.0,0.241198,2.401078,dl_Ti_screw_900K_0.0at_0.10GPa_2c59f335_386
Ti,screw,900,0.2,0.0,0.48686,2.433699,dl_Ti_screw_900K_0.0at_0.20GPa_2c59f335_387
Ti,screw,900,0.4,0.0,0.914143,2.284276,dl_Ti_screw_900K_0.0at_0.40GPa_2c59f335_388
Ti,screw,900,0.05,0.5,0.070607,1.422949,dl_Ti_screw_900K_0.5at_0.05GPa_2c59f335_389
Ti,screw,900,0.1,0.5,0.126732,1.26138,dl_Ti_screw_900K_0.5at_0.10GPa_2c59f335_390
Ti,screw,900,0.2,0.5,0.280468,1.411236,dl_Ti_screw_900K_0.5at_0.20GPa_2c59f335_391
Ti,screw,900,0.4,0.5,0.557977,1.397477,dl_Ti_screw_900K_0.5at_0.40GPa_2c59f335_392
Ti,screw,900,0.05,1.0,0.04567,0.894767,dl_Ti_screw_900K_1.0at_0.05GPa_2c59f335_393
Ti,screw,900,0.1,1.0,0.093422,0.939102,dl_Ti_screw_900K_1.0at_0.10GPa_2c59f335_394
Ti,screw,900,0.2,1.0,0.186552,0.940152,dl_Ti_screw_900K_1.0at_0.20GPa_2c59f335_395
Ti,screw,900,0.4,1.0,0.385588,0.966564,dl_Ti_screw_900K_1.0at_0.40GPa_2c59f335_396
Ti,mixed,500,0.05,0.0,0.111054,2.243904,dl_Ti_mixed_500K_0.0at_0.05GPa_2c59f335_397
Ti,mixed,500,0.1,0.0,0.203789,2.0351,dl_Ti_mixed_500K_0.0at_0.10GPa_2c59f335_398
Ti,mixed,500,0.2,0.0,0.446223,2.23298,dl_Ti_mixed_500K_0.0at_0.20GPa_2c59f335_399
Ti,mixed,500,0.4,0.0,0.821263,2.04727,dl_Ti_mixed_500K_0.0at_0.40GPa_2c59f335_400
Ti,mixed,500,0.05,0.5,0.06031,1.236181,dl_Ti_mixed_500K_0.5at_0.05GPa_2c59f335_401
Ti,mixed,500,0.1,0.5,0.12685,1.267701,dl_Ti_mixed_500K_0.5at_0.10GPa_2c59f335_402
Ti,mixed,500,0.2,0.5,0.246342,1.234215,dl_Ti_mixed_500K_0.5at_0.20GPa_2c59f335_403
Ti,mixed,500,0.4,0.5,0.51453,1.287976,dl_Ti_mixed_500K_0.5at_0.40GPa_2c59f335_404
Ti,mixed,500,0.05,1.0,0.038006,0.727942,dl_Ti_mixed_500K_1.0at_0.05GPa_2c59f335_405
Ti,mixed,500,0.1,1.0,0.083851,0.833071,dl_Ti_mixed_500K_1.0at_0.10GPa_2c59f335_406
Ti,mixed,500,0.2,1.0,0.153394,0.763141,dl_Ti_mixed_500K_1.0at_0.20GPa_2c59f335_407
Ti,mixed,500,0.4,1.0,0.366797,0.920171,dl_Ti_mixed_500K_1.0at_0.40GPa_2c59f335_408
Ti,mixed,700,0.05,0.0,0.129386,2.574392,dl_Ti_mixed_700K_0.0at_0.05GPa_2c59f335_409
Ti,mixed,700,0.1,0.0,0.263106,2.631427,dl_Ti_mixed_700K_0.0at_0.10GPa_2c59f335_410
Ti,mixed,700,0.2,0.0,0.536933,2.690209,dl_Ti_mixed_700K_0.0at_0.20GPa_2c59f335_411
Ti,mixed,700,0.4,0.0,1.011185,2.528664,dl_Ti_mixed_700K_0.0at_0.40GPa_2c59f335_412
Ti,mixed,700,0.05,0.5,0.078712,1.566682,dl_Ti_mixed_700K_0.5at_0.05GPa_2c59f335_413
Ti,mixed,700,0.1,0.5,0.162443,1.632315,dl_Ti_mixed_700K_0.5at_0.10GPa_2c59f335_414
Ti,mixed,700,0.2,0.5,0.315654,1.5764,dl_Ti_mixed_700K_0.5at_0.20GPa_2c59f335_415
Ti,mixed,700,0.4,0.5,0.595261,1.494587,dl_Ti_mixed_700K_0.5at_0.40GPa_2c59f335_416
Ti,mixed,700,0.05,1.0,0.048597,0.960306,dl_Ti_mixed_700K_1.0at_0.05GPa_2c59f335_417
Ti,mixed,700,0.1,1.0,0.103217,1.037514,dl_Ti_mixed_700K_1.0at_0.10GPa_2c59f335_418
Ti,mixed,700,0.2,1.0,0.213105,1.069346,dl_Ti_mixed_700K_1.0at_0.20GPa_2c59f335_419
Ti,mixed,700,0.4,1.0,0.432409,1.081771,dl_Ti_mixed_700K_1.0at_0.40GPa_2c59f335_420
Ti,mixed,900,0.05,0.0,0.161055,3.222995,dl_Ti_mixed_900K_0.0at_0.05GPa_2c59f335_421
Ti,mixed,900,0.1,0.0,0.321648,3.212886,dl_Ti_mixed_900K_0.0at_0.10GPa_2c59f335_422
Ti,mixed,900,0.2,0.0,0.640528,3.193163,dl_Ti_mixed_900K_0.0at_0.20GPa_2c59f335_423
Ti,mixed,900,0.4,0.0,1.34758,3.36682,dl_Ti_mixed_900K_0.0at_0.40GPa_2c59f335_424
Ti,mixed,900,0.05,0.5,0.087523,1.756121,dl_Ti_mixed_900K_0.5at_0.05GPa_2c59f335_425
Ti,mixed,900,0.1,0.5,0.184578,1.838224,dl_Ti_mixed_900K_0.5at_0.10GPa_2c59f335_426
Ti,mixed,900,0.2,0.5,0.392067,1.952057,dl_Ti_mixed_900K_0.5at_0.20GPa_2c59f335_427
Ti,mixed,900,0.4,0.5,0.794234,1.987286,dl_Ti_mixed_900K_0.5at_0.40GPa_2c59f335_428
Ti,mixed,900,0.05,1.0,0.066209,1.303177,dl_Ti_mixed_900K_1.0at_0.05GPa_2c59f335_429
Ti,mixed,900,0.1,1.0,0.126655,1.264824,dl_Ti_mixed_900K_1.0at_0.10GPa_2c59f335_430
Ti,mixed,900,0.2,1.0,0.277786,1.385707,dl_Ti_mixed_900K_1.0at_0.20GPa_2c59f335_431
Ti,mixed,900,0.4,1.0,0.500664,1.250495,dl_Ti_mixed_900K_1.0at_0.40GPa_2c59f335_432
Cu,edge,500,0.05,0.0,0.147959,2.943412,dl_Cu_edge_500K_0.0at_0.05GPa_2c59f335_433
Cu,edge,500,0.1,0.0,0.303492,3.043233,dl_Cu_edge_500K_0.0at_0.10GPa_2c59f335_434
Cu,edge,500,0.2,0.0,0.666044,3.332571,dl_Cu_edge_500K_0.0at_0.20GPa_2c59f335_435
Cu,edge,500,0.4,0.0,1.264891,3.16118,dl_Cu_edge_500K_0.0at_0.40GPa_2c59f335_436
Cu,edge,500,0.05,0.5,0.086754,1.736513,dl_Cu_edge_500K_0.5at_0.05GPa_2c59f335_437
Cu,edge,500,0.1,0.5,0.1553,1.574445,dl_Cu_edge_500K_0.5at_0.10GPa_2c59f335_438
Cu,edge,500,0.2,0.5,0.35641,1.782207,dl_Cu_edge_500K_0.5at_0.20GPa_2c59f335_439
Cu,edge,500,0.4,0.5,0.670777,1.67832,dl_Cu_edge_500K_0.5at_0.40GPa_2c59f335_440
Cu,edge,500,0.05,1.0,0.057766,1.19182,dl_Cu_edge_500K_1.0at_0.05GPa_2c59f335_441
Cu,edge,500,0.1,1.0,0.117561,1.145866,dl_Cu_edge_500K_1.0at_0.10GPa_2c59f335_442
Cu,edge,500,0.2,1.0,0.208588,1.045352,dl_Cu_edge_500K_1.0at_0.20GPa_2c59f335_443
Cu,edge,500,0.4,1.0,0.498062,1.244952,dl_Cu_edge_500K_1.0at_0.40GPa_2c59f335_444
Cu,edge,700,0.05,0.0,0.197514,3.947439,dl_Cu_edge_700K_0.0at_0.05GPa_2c59f335_445
Cu,edge,700,0.1,0.0,0.351587,3.532323,dl_Cu_edge_700K_0.0at_0.10GPa_2c59f335_446
Cu,edge,700,0.2,0.0,0.669253,3.345195,dl_Cu_edge_700K_0.0at_0.20GPa_2c59f335_447
Cu,edge,700,0.4,0.0,1.461206,3.653664,dl_Cu_edge_700K_0.0at_0.40GPa_2c59f335_448
Cu,edge,700,0.05,0.5,0.103178,2.04702,dl_Cu_edge_700K_0.5at_0.05GPa_2c59f335_449
Cu,edge,700,0.1,0.5,0.206328,2.065607,dl_Cu_edge_700K_0.5at_0.10GPa_2c59f335_450
Cu,edge,700,0.2,0.5,0.40159,2.001169,dl_Cu_edge_700K_0.5at_0.20GPa_2c59f335_451
Cu,edge,700,0.4,0.5,0.864968,2.162359,dl_Cu_edge_700K_0.5at_0.40GPa_2c59f335_452
Cu,edge,700,0.05,1.0,0.072183,1.411045,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
Cu,edge,700,0.1,1.0,0.13894,1.385261,dl_Cu_edge_700K_1.0at_0.10GPa_2c59f335_454
Cu,edge,700,0.2,1.0,0.301292,1.502074,dl_Cu_edge_700K_1.0at_0.20GPa_2c59f335_455
Cu,edge,700,0.4,1.0,0.640018,1.596756,dl_Cu_edge_700K_1.0at_0.40GPa_2c59f335_456
Cu,edge,900,0.05,0.0,0.224999,4.500469,dl_Cu_edge_900K_0.0at_0.05GPa_2c59f335_457
Cu,edge,900,0.1,0.0,0.467837,4.681193,dl_Cu_edge_900K_0.0at_0.10GPa_2c59f335_458
Cu,edge,900,0.2,0.0,0.880418,4.408055,dl_Cu_edge_900K_0.0at_0.20GPa_2c59f335_459
Cu,edge,900,0.4,0.0,1.91192,4.779422,dl_Cu_edge_900K_0.0at_0.40GPa_2c59f335_460
Cu,edge,900,0.05,0.5,0.123758,2.481632,dl_Cu_edge_900K_0.5at_0.05GPa_2c59f335_461
Cu,edge,900,0.1,0.5,0.245626,2.458374,dl_Cu_edge_900K_0.5at_0.10GPa_2c59f335_462
