Mix_ID,Temperature_C,Data_Type,Property_Type,Tensile_Strength_Mean_MPa,Tensile_Strength_Std_MPa,Rubber_Content_Percent,Particle_Size
R10L,620,Calibration,Mechanical,0.451,0.068,10.0,large
R10L,630,Calibration,Mechanical,0.43,0.065,10.0,large
R10L,640,Validation,Mechanical,0.41,0.062,10.0,large
R10L,650,Validation,Mechanical,0.391,0.059,10.0,large
R10L,660,Calibration,Mechanical,0.373,0.056,10.0,large
R10L,670,Calibration,Mechanical,0.356,0.053,10.0,large
R10L,680,Calibration,Mechanical,0.339,0.051,10.0,large
R10L,690,Calibration,Mechanical,0.324,0.049,10.0,large
R10L,700,Validation,Mechanical,0.309,0.046,10.0,large
R10L,710,Calibration,Mechanical,0.294,0.044,10.0,large
R10L,720,Calibration,Mechanical,0.281,0.042,10.0,large
R10L,730,Calibration,Mechanical,0.268,0.04,10.0,large
R10L,740,Calibration,Mechanical,0.255,0.038,10.0,large
R10L,750,Calibration,Mechanical,0.244,0.037,10.0,large
R10L,760,Validation,Mechanical,0.232,0.035,10.0,large
R10L,770,Calibration,Mechanical,0.222,0.033,10.0,large
R10L,780,Calibration,Mechanical,0.211,0.032,10.0,large
R10L,790,Calibration,Mechanical,0.202,0.03,10.0,large
R10L,800,Validation,Mechanical,0.192,0.029,10.0,large
