Mix_ID,Temperature_C,Data_Type,Property_Type,Compressive_Strength_Mean_MPa,Compressive_Strength_Std_MPa,Rubber_Content_Percent,Particle_Size
R10L,630,Calibration,Mechanical,10.86,1.3,10.0,large
R10L,640,Calibration,Mechanical,10.49,1.26,10.0,large
R10L,650,Calibration,Mechanical,10.14,1.22,10.0,large
R10L,660,Calibration,Mechanical,9.79,1.18,10.0,large
R10L,670,Calibration,Mechanical,9.46,1.14,10.0,large
R10L,680,Calibration,Mechanical,9.14,1.1,10.0,large
R10L,690,Validation,Mechanical,8.83,1.06,10.0,large
R10L,700,Calibration,Mechanical,8.53,1.02,10.0,large
R10L,710,Validation,Mechanical,8.24,0.99,10.0,large
R10L,720,Calibration,Mechanical,7.96,0.96,10.0,large
R10L,730,Calibration,Mechanical,7.69,0.92,10.0,large
R10L,740,Validation,Mechanical,7.43,0.89,10.0,large
R10L,750,Calibration,Mechanical,7.18,0.86,10.0,large
R10L,760,Validation,Mechanical,6.94,0.83,10.0,large
R10L,770,Calibration,Mechanical,6.7,0.8,10.0,large
R10L,780,Validation,Mechanical,6.47,0.78,10.0,large
R10L,790,Calibration,Mechanical,6.25,0.75,10.0,large
R10L,800,Validation,Mechanical,6.04,0.73,10.0,large
