Mix_ID,Temperature_C,Data_Type,Property_Type,Poissons_Ratio_Mean,Poissons_Ratio_Std,Rubber_Content_Percent,Particle_Size
R10L,380,Validation,Mechanical,0.2058,0.0165,10.0,large
R10L,390,Validation,Mechanical,0.2064,0.0165,10.0,large
R10L,400,Calibration,Mechanical,0.2069,0.0166,10.0,large
R10L,410,Validation,Mechanical,0.2075,0.0166,10.0,large
R10L,420,Calibration,Mechanical,0.2081,0.0166,10.0,large
R10L,430,Validation,Mechanical,0.2086,0.0167,10.0,large
R10L,440,Validation,Mechanical,0.2092,0.0167,10.0,large
R10L,450,Validation,Mechanical,0.2098,0.0168,10.0,large
R10L,460,Calibration,Mechanical,0.2103,0.0168,10.0,large
R10L,470,Calibration,Mechanical,0.2109,0.0169,10.0,large
R10L,480,Calibration,Mechanical,0.2115,0.0169,10.0,large
R10L,490,Validation,Mechanical,0.212,0.017,10.0,large
R10L,500,Validation,Mechanical,0.2126,0.017,10.0,large
R10L,510,Calibration,Mechanical,0.2132,0.0171,10.0,large
R10L,520,Calibration,Mechanical,0.2137,0.0171,10.0,large
R10L,530,Calibration,Mechanical,0.2143,0.0171,10.0,large
R10L,540,Validation,Mechanical,0.2148,0.0172,10.0,large
R10L,550,Validation,Mechanical,0.2154,0.0172,10.0,large
R10L,560,Calibration,Mechanical,0.216,0.0173,10.0,large
R10L,570,Calibration,Mechanical,0.2165,0.0173,10.0,large
R10L,580,Validation,Mechanical,0.2171,0.0174,10.0,large
R10L,590,Validation,Mechanical,0.2177,0.0174,10.0,large
R10L,600,Calibration,Mechanical,0.2182,0.0175,10.0,large
R10L,610,Calibration,Mechanical,0.2188,0.0175,10.0,large
R10L,620,Calibration,Mechanical,0.2194,0.0175,10.0,large
R10L,630,Calibration,Mechanical,0.2199,0.0176,10.0,large
R10L,640,Calibration,Mechanical,0.2205,0.0176,10.0,large
R10L,650,Calibration,Mechanical,0.2211,0.0177,10.0,large
R10L,660,Validation,Mechanical,0.2216,0.0177,10.0,large
R10L,670,Calibration,Mechanical,0.2222,0.0178,10.0,large
R10L,680,Validation,Mechanical,0.2228,0.0178,10.0,large
R10L,690,Calibration,Mechanical,0.2233,0.0179,10.0,large
R10L,700,Calibration,Mechanical,0.2239,0.0179,10.0,large
R10L,710,Calibration,Mechanical,0.2244,0.018,10.0,large
R10L,720,Calibration,Mechanical,0.225,0.018,10.0,large
R10L,730,Validation,Mechanical,0.2256,0.018,10.0,large
R10L,740,Validation,Mechanical,0.2261,0.0181,10.0,large
R10L,750,Calibration,Mechanical,0.2267,0.0181,10.0,large
R10L,760,Calibration,Mechanical,0.2273,0.0182,10.0,large
R10L,770,Validation,Mechanical,0.2278,0.0182,10.0,large
R10L,780,Calibration,Mechanical,0.2284,0.0183,10.0,large
R10L,790,Calibration,Mechanical,0.229,0.0183,10.0,large
R10L,800,Validation,Mechanical,0.2295,0.0184,10.0,large
