Mix_ID,Temperature_C,Data_Type,Property_Type,Thermal_Conductivity_W_mK,Thermal_Conductivity_Std,Specific_Heat_J_kgK,Specific_Heat_Std,Density_kg_m3,Density_Std,Compressive_Strength_MPa,Compressive_Strength_Std,Tensile_Strength_MPa,Tensile_Strength_Std,Elastic_Modulus_MPa,Elastic_Modulus_Std,Poisson_Ratio,Poisson_Ratio_Std,Fracture_Energy_N_m,Fracture_Energy_Std,Gas_Permeability_m2,Gas_Permeability_Std,Moisture_Diffusivity_m2_s,Moisture_Diffusivity_Std,Porosity,Porosity_Std,Thermal_Strain,Thermal_Strain_Std,Creep_Coefficient,Creep_Coefficient_Std,Shrinkage_Strain,Shrinkage_Strain_Std
C,220,Validation,Mechanical,,,,,,,43.761,5.251,3.996,0.599,29827.7,2982.8,0.2435,0.0195,84.44,12.67,,,,,,,,,,,,
C,240,Validation,Mechanical,,,,,,,42.82,5.138,3.885,0.583,28546.8,2854.7,0.2477,0.0198,82.61,12.39,,,,,,,,,,,,
C,260,Validation,Mechanical,,,,,,,41.879,5.025,3.774,0.566,27265.9,2726.6,0.2517,0.0201,80.78,12.12,,,,,,,,,,,,
C,280,Validation,Mechanical,,,,,,,40.938,4.913,3.665,0.55,25984.9,2598.5,0.2555,0.0204,78.95,11.84,,,,,,,,,,,,
C,300,Validation,Mechanical,,,,,,,39.997,4.8,3.555,0.533,24704.0,2470.4,0.2591,0.0207,77.12,11.57,,,,,,,,,,,,
C,320,Validation,Mechanical,,,,,,,39.056,4.687,3.447,0.517,23423.0,2342.3,0.2626,0.021,75.29,11.29,,,,,,,,,,,,
C,340,Validation,Mechanical,,,,,,,38.115,4.574,3.339,0.501,22142.1,2214.2,0.2659,0.0213,73.46,11.02,,,,,,,,,,,,
C,360,Validation,Mechanical,,,,,,,37.174,4.461,3.233,0.485,20861.1,2086.1,0.269,0.0215,71.63,10.74,,,,,,,,,,,,
C,380,Validation,Mechanical,,,,,,,36.232,4.348,3.127,0.469,19580.2,1958.0,0.272,0.0218,69.8,10.47,,,,,,,,,,,,
C,400,Validation,Mechanical,,,,,,,35.291,4.235,3.022,0.453,18299.2,1829.9,0.2748,0.022,67.97,10.2,,,,,,,,,,,,
C,420,Validation,Mechanical,,,,,,,33.88,4.066,2.865,0.43,17201.3,1720.1,0.2775,0.0222,66.14,9.92,,,,,,,,,,,,
C,440,Validation,Mechanical,,,,,,,32.468,3.896,2.711,0.407,16103.3,1610.3,0.2801,0.0224,64.31,9.65,,,,,,,,,,,,
C,460,Validation,Mechanical,,,,,,,31.056,3.727,2.559,0.384,15005.4,1500.5,0.2825,0.0226,62.48,9.37,,,,,,,,,,,,
C,480,Validation,Mechanical,,,,,,,29.645,3.557,2.409,0.361,13907.4,1390.7,0.2848,0.0228,60.65,9.1,,,,,,,,,,,,
C,500,Validation,Mechanical,,,,,,,28.233,3.388,2.261,0.339,12809.5,1280.9,0.287,0.023,58.82,8.82,,,,,,,,,,,,
C,520,Validation,Mechanical,,,,,,,26.821,3.219,2.115,0.317,11711.5,1171.2,0.2891,0.0231,56.99,8.55,,,,,,,,,,,,
C,540,Validation,Mechanical,,,,,,,25.41,3.049,1.971,0.296,10613.6,1061.4,0.2911,0.0233,55.16,8.27,,,,,,,,,,,,
C,560,Validation,Mechanical,,,,,,,23.998,2.88,1.83,0.275,9515.6,951.6,0.293,0.0234,53.33,8.0,,,,,,,,,,,,
C,580,Validation,Mechanical,,,,,,,22.586,2.71,1.691,0.254,8417.6,841.8,0.2948,0.0236,51.5,7.72,,,,,,,,,,,,
C,600,Validation,Mechanical,,,,,,,21.175,2.541,1.555,0.233,7319.7,732.0,0.2965,0.0237,49.67,7.45,,,,,,,,,,,,
C,620,Validation,Mechanical,,,,,,,19.763,2.372,1.422,0.213,6770.7,677.1,0.2982,0.0239,47.84,7.18,,,,,,,,,,,,
C,640,Validation,Mechanical,,,,,,,18.352,2.202,1.291,0.194,6221.7,622.2,0.2997,0.024,46.01,6.9,,,,,,,,,,,,
C,660,Validation,Mechanical,,,,,,,16.94,2.033,1.164,0.175,5672.8,567.3,0.3012,0.0241,44.18,6.63,,,,,,,,,,,,
C,680,Validation,Mechanical,,,,,,,15.528,1.863,1.039,0.156,5123.8,512.4,0.3026,0.0242,42.35,6.35,,,,,,,,,,,,
C,700,Validation,Mechanical,,,,,,,14.117,1.694,0.918,0.138,4574.8,457.5,0.3039,0.0243,40.52,6.08,,,,,,,,,,,,
C,720,Validation,Mechanical,,,,,,,12.705,1.525,0.801,0.12,4025.8,402.6,0.3052,0.0244,38.69,5.8,,,,,,,,,,,,
C,740,Validation,Mechanical,,,,,,,11.293,1.355,0.687,0.103,3476.9,347.7,0.3064,0.0245,36.86,5.53,,,,,,,,,,,,
C,760,Validation,Mechanical,,,,,,,9.882,1.186,0.577,0.087,2927.9,292.8,0.3076,0.0246,35.03,5.25,,,,,,,,,,,,
C,780,Validation,Mechanical,,,,,,,8.47,1.016,0.473,0.071,2378.9,237.9,0.3087,0.0247,33.2,4.98,,,,,,,,,,,,
C,800,Validation,Mechanical,,,,,,,7.058,0.847,0.373,0.056,1829.9,183.0,0.3097,0.0248,31.37,4.71,,,,,,,,,,,,
R5S,20,Calibration,Mechanical,,,,,,,43.457,5.215,4.022,0.603,34381.0,3438.1,0.1863,0.0149,122.81,18.42,,,,,,,,,,,,
R5S,40,Calibration,Mechanical,,,,,,,43.56,5.227,4.034,0.605,34114.6,3411.5,0.1933,0.0155,120.62,18.09,,,,,,,,,,,,
R5S,60,Calibration,Mechanical,,,,,,,43.645,5.237,4.044,0.607,33848.3,3384.8,0.1999,0.016,118.44,17.77,,,,,,,,,,,,
R5S,80,Calibration,Mechanical,,,,,,,43.717,5.246,4.053,0.608,33582.1,3358.2,0.2062,0.0165,116.25,17.44,,,,,,,,,,,,
R5S,100,Calibration,Mechanical,,,,,,,43.777,5.253,4.06,0.609,33316.1,3331.6,0.2122,0.017,114.06,17.11,,,,,,,,,,,,
R5S,120,Calibration,Mechanical,,,,,,,43.39,5.207,4.014,0.602,32483.6,3248.4,0.2179,0.0174,111.88,16.78,,,,,,,,,,,,
R5S,140,Calibration,Mechanical,,,,,,,42.995,5.159,3.966,0.595,31651.5,3165.2,0.2233,0.0179,109.69,16.45,,,,,,,,,,,,
R5S,160,Calibration,Mechanical,,,,,,,42.595,5.111,3.918,0.588,30819.9,3082.0,0.2285,0.0183,107.5,16.12,,,,,,,,,,,,
R5S,180,Calibration,Mechanical,,,,,,,42.19,5.063,3.87,0.58,29988.6,2998.9,0.2334,0.0187,105.31,15.8,,,,,,,,,,,,
R5S,200,Calibration,Mechanical,,,,,,,41.782,5.014,3.821,0.573,29157.8,2915.8,0.238,0.019,103.12,15.47,,,,,,,,,,,,
R5S,220,Calibration,Mechanical,,,,,,,40.931,4.912,3.721,0.558,27950.1,2795.0,0.2425,0.0194,100.94,15.14,,,,,,,,,,,,
R5S,240,Calibration,Mechanical,,,,,,,40.079,4.81,3.62,0.543,26743.1,2674.3,0.2467,0.0197,98.75,14.81,,,,,,,,,,,,
R5S,260,Calibration,Mechanical,,,,,,,39.226,4.707,3.52,0.528,25536.6,2553.7,0.2507,0.0201,96.56,14.48,,,,,,,,,,,,
R5S,280,Calibration,Mechanical,,,,,,,38.372,4.605,3.421,0.513,24330.8,2433.1,0.2545,0.0204,94.38,14.16,,,,,,,,,,,,
R5S,300,Calibration,Mechanical,,,,,,,37.517,4.502,3.322,0.498,23125.6,2312.6,0.2581,0.0207,92.19,13.83,,,,,,,,,,,,
R5S,320,Calibration,Mechanical,,,,,,,36.662,4.399,3.224,0.484,21920.9,2192.1,0.2616,0.0209,90.0,13.5,,,,,,,,,,,,
R5S,340,Calibration,Mechanical,,,,,,,35.807,4.297,3.127,0.469,20716.9,2071.7,0.2649,0.0212,87.81,13.17,,,,,,,,,,,,
R5S,360,Calibration,Mechanical,,,,,,,34.95,4.194,3.03,0.454,19513.5,1951.3,0.268,0.0214,85.62,12.84,,,,,,,,,,,,
R5S,380,Calibration,Mechanical,,,,,,,34.093,4.091,2.934,0.44,18310.7,1831.1,0.271,0.0217,83.44,12.52,,,,,,,,,,,,
R5S,400,Calibration,Mechanical,,,,,,,33.234,3.988,2.838,0.426,17108.4,1710.8,0.2738,0.0219,81.25,12.19,,,,,,,,,,,,
R5S,420,Calibration,Mechanical,,,,,,,31.931,3.832,2.694,0.404,16077.9,1607.8,0.2765,0.0221,79.06,11.86,,,,,,,,,,,,
R5S,440,Calibration,Mechanical,,,,,,,30.624,3.675,2.552,0.383,15047.8,1504.8,0.2791,0.0223,76.88,11.53,,,,,,,,,,,,
R5S,460,Calibration,Mechanical,,,,,,,29.314,3.518,2.411,0.362,14018.3,1401.8,0.2815,0.0225,74.69,11.2,,,,,,,,,,,,
R5S,480,Calibration,Mechanical,,,,,,,28.001,3.36,2.271,0.341,12989.3,1298.9,0.2838,0.0227,72.5,10.88,,,,,,,,,,,,
R5S,500,Calibration,Mechanical,,,,,,,26.684,3.202,2.133,0.32,11960.8,1196.1,0.286,0.0229,70.31,10.55,,,,,,,,,,,,
R5S,520,Calibration,Mechanical,,,,,,,25.365,3.044,1.997,0.3,10932.8,1093.3,0.2881,0.023,68.12,10.22,,,,,,,,,,,,
R5S,540,Calibration,Mechanical,,,,,,,24.042,2.885,1.863,0.279,9905.4,990.5,0.2901,0.0232,65.94,9.89,,,,,,,,,,,,
R5S,560,Calibration,Mechanical,,,,,,,22.717,2.726,1.731,0.26,8878.4,887.8,0.292,0.0234,63.75,9.56,,,,,,,,,,,,
R5S,580,Calibration,Mechanical,,,,,,,21.389,2.567,1.6,0.24,7852.0,785.2,0.2938,0.0235,61.56,9.23,,,,,,,,,,,,
R5S,600,Calibration,Mechanical,,,,,,,20.059,2.407,1.472,0.221,6826.1,682.6,0.2955,0.0236,59.38,8.91,,,,,,,,,,,,
R5S,620,Calibration,Mechanical,,,,,,,18.728,2.247,1.346,0.202,6312.5,631.3,0.2972,0.0238,57.19,8.58,,,,,,,,,,,,
R5S,640,Calibration,Mechanical,,,,,,,17.394,2.087,1.223,0.183,5799.2,579.9,0.2987,0.0239,55.0,8.25,,,,,,,,,,,,
R5S,660,Calibration,Mechanical,,,,,,,16.06,1.927,1.103,0.165,5286.2,528.6,0.3002,0.024,52.81,7.92,,,,,,,,,,,,
R5S,680,Calibration,Mechanical,,,,,,,14.724,1.767,0.985,0.148,4773.4,477.3,0.3016,0.0241,50.62,7.59,,,,,,,,,,,,
R5S,700,Calibration,Mechanical,,,,,,,13.388,1.607,0.87,0.131,4260.9,426.1,0.3029,0.0242,48.44,7.27,,,,,,,,,,,,
R5S,720,Calibration,Mechanical,,,,,,,12.05,1.446,0.759,0.114,3748.6,374.9,0.3042,0.0243,46.25,6.94,,,,,,,,,,,,
R5S,740,Calibration,Mechanical,,,,,,,10.713,1.286,0.651,0.098,3236.6,323.7,0.3054,0.0244,44.06,6.61,,,,,,,,,,,,
R5S,760,Calibration,Mechanical,,,,,,,9.374,1.125,0.548,0.082,2724.9,272.5,0.3066,0.0245,41.87,6.28,,,,,,,,,,,,
R5S,780,Calibration,Mechanical,,,,,,,8.036,0.964,0.448,0.067,2213.4,221.3,0.3077,0.0246,39.69,5.95,,,,,,,,,,,,
R5S,800,Calibration,Mechanical,,,,,,,6.697,0.804,0.354,0.053,1702.2,170.2,0.3087,0.0247,37.5,5.63,,,,,,,,,,,,
R5S,20,Validation,Mechanical,,,,,,,46.244,5.549,4.28,0.642,36585.9,3658.6,0.1863,0.0149,130.69,19.6,,,,,,,,,,,,
R5S,40,Validation,Mechanical,,,,,,,46.353,5.562,4.293,0.644,36302.4,3630.2,0.1933,0.0155,128.36,19.25,,,,,,,,,,,,
R5S,60,Validation,Mechanical,,,,,,,46.444,5.573,4.304,0.646,36019.0,3601.9,0.1999,0.016,126.03,18.9,,,,,,,,,,,,
R5S,80,Validation,Mechanical,,,,,,,46.52,5.582,4.313,0.647,35735.8,3573.6,0.2062,0.0165,123.71,18.56,,,,,,,,,,,,
R5S,100,Validation,Mechanical,,,,,,,46.584,5.59,4.321,0.648,35452.6,3545.3,0.2122,0.017,121.38,18.21,,,,,,,,,,,,
R5S,120,Validation,Mechanical,,,,,,,46.173,5.541,4.271,0.641,34566.8,3456.7,0.2179,0.0174,119.05,17.86,,,,,,,,,,,,
R5S,140,Validation,Mechanical,,,,,,,45.753,5.49,4.221,0.633,33681.3,3368.1,0.2233,0.0179,116.72,17.51,,,,,,,,,,,,
R5S,160,Validation,Mechanical,,,,,,,45.326,5.439,4.17,0.625,32796.3,3279.6,0.2285,0.0183,114.39,17.16,,,,,,,,,,,,
R5S,180,Validation,Mechanical,,,,,,,44.895,5.387,4.118,0.618,31911.8,3191.2,0.2334,0.0187,112.07,16.81,,,,,,,,,,,,
R5S,200,Validation,Mechanical,,,,,,,44.461,5.335,4.066,0.61,31027.7,3102.8,0.238,0.019,109.74,16.46,,,,,,,,,,,,
R5S,220,Validation,Mechanical,,,,,,,43.556,5.227,3.959,0.594,29742.6,2974.3,0.2425,0.0194,107.41,16.11,,,,,,,,,,,,
R5S,240,Validation,Mechanical,,,,,,,42.65,5.118,3.852,0.578,28458.1,2845.8,0.2467,0.0197,105.08,15.76,,,,,,,,,,,,
R5S,260,Validation,Mechanical,,,,,,,41.741,5.009,3.746,0.562,27174.3,2717.4,0.2507,0.0201,102.76,15.41,,,,,,,,,,,,
R5S,280,Validation,Mechanical,,,,,,,40.833,4.9,3.64,0.546,25891.1,2589.1,0.2545,0.0204,100.43,15.06,,,,,,,,,,,,
R5S,300,Validation,Mechanical,,,,,,,39.923,4.791,3.535,0.53,24608.6,2460.9,0.2581,0.0207,98.1,14.71,,,,,,,,,,,,
R5S,320,Validation,Mechanical,,,,,,,39.013,4.682,3.431,0.515,23326.7,2332.7,0.2616,0.0209,95.77,14.37,,,,,,,,,,,,
R5S,340,Validation,Mechanical,,,,,,,38.103,4.572,3.327,0.499,22045.5,2204.5,0.2649,0.0212,93.44,14.02,,,,,,,,,,,,
R5S,360,Validation,Mechanical,,,,,,,37.192,4.463,3.224,0.484,20764.9,2076.5,0.268,0.0214,91.12,13.67,,,,,,,,,,,,
R5S,380,Validation,Mechanical,,,,,,,36.279,4.354,3.122,0.468,19484.9,1948.5,0.271,0.0217,88.79,13.32,,,,,,,,,,,,
R5S,400,Validation,Mechanical,,,,,,,35.366,4.244,3.02,0.453,18205.6,1820.6,0.2738,0.0219,86.46,12.97,,,,,,,,,,,,
R5S,420,Validation,Mechanical,,,,,,,33.978,4.077,2.867,0.43,17108.9,1710.9,0.2765,0.0221,84.13,12.62,,,,,,,,,,,,
R5S,440,Validation,Mechanical,,,,,,,32.588,3.911,2.715,0.407,16012.8,1601.3,0.2791,0.0223,81.8,12.27,,,,,,,,,,,,
R5S,460,Validation,Mechanical,,,,,,,31.194,3.743,2.565,0.385,14917.3,1491.7,0.2815,0.0225,79.48,11.92,,,,,,,,,,,,
R5S,480,Validation,Mechanical,,,,,,,29.796,3.576,2.417,0.363,13822.3,1382.2,0.2838,0.0227,77.15,11.57,,,,,,,,,,,,
R5S,500,Validation,Mechanical,,,,,,,28.396,3.407,2.27,0.341,12727.8,1272.8,0.286,0.0229,74.82,11.22,,,,,,,,,,,,
R5S,520,Validation,Mechanical,,,,,,,26.992,3.239,2.125,0.319,11633.9,1163.4,0.2881,0.023,72.49,10.87,,,,,,,,,,,,
R5S,540,Validation,Mechanical,,,,,,,25.584,3.07,1.982,0.297,10540.6,1054.1,0.2901,0.0232,70.17,10.52,,,,,,,,,,,,
R5S,560,Validation,Mechanical,,,,,,,24.174,2.901,1.842,0.276,9447.8,944.8,0.292,0.0234,67.84,10.18,,,,,,,,,,,,
R5S,580,Validation,Mechanical,,,,,,,22.761,2.731,1.703,0.255,8355.5,835.6,0.2938,0.0235,65.51,9.83,,,,,,,,,,,,
R5S,600,Validation,Mechanical,,,,,,,21.346,2.561,1.567,0.235,7263.9,726.4,0.2955,0.0236,63.18,9.48,,,,,,,,,,,,
R5S,620,Validation,Mechanical,,,,,,,19.929,2.391,1.433,0.215,6717.4,671.7,0.2972,0.0238,60.85,9.13,,,,,,,,,,,,
R5S,640,Validation,Mechanical,,,,,,,18.51,2.221,1.302,0.195,6171.1,617.1,0.2987,0.0239,58.53,8.78,,,,,,,,,,,,
R5S,660,Validation,Mechanical,,,,,,,17.09,2.051,1.173,0.176,5625.2,562.5,0.3002,0.024,56.2,8.43,,,,,,,,,,,,
R5S,680,Validation,Mechanical,,,,,,,15.668,1.88,1.048,0.157,5079.5,508.0,0.3016,0.0241,53.87,8.08,,,,,,,,,,,,
R5S,700,Validation,Mechanical,,,,,,,14.246,1.71,0.926,0.139,4534.2,453.4,0.3029,0.0242,51.54,7.73,,,,,,,,,,,,
R5S,720,Validation,Mechanical,,,,,,,12.823,1.539,0.808,0.121,3989.0,398.9,0.3042,0.0243,49.22,7.38,,,,,,,,,,,,
R5S,740,Validation,Mechanical,,,,,,,11.4,1.368,0.693,0.104,3444.2,344.4,0.3054,0.0244,46.89,7.03,,,,,,,,,,,,
R5S,760,Validation,Mechanical,,,,,,,9.975,1.197,0.583,0.087,2899.7,290.0,0.3066,0.0245,44.56,6.68,,,,,,,,,,,,
R5S,780,Validation,Mechanical,,,,,,,8.551,1.026,0.477,0.072,2355.4,235.5,0.3077,0.0246,42.23,6.33,,,,,,,,,,,,
R5S,800,Validation,Mechanical,,,,,,,7.126,0.855,0.376,0.056,1811.4,181.1,0.3087,0.0247,39.9,5.99,,,,,,,,,,,,
R10S,20,Calibration,Mechanical,,,,,,,41.948,5.034,3.849,0.577,33766.7,3376.7,0.1853,0.0148,147.38,22.11,,,,,,,,,,,,
R10S,40,Calibration,Mechanical,,,,,,,42.149,5.058,3.873,0.581,33496.5,3349.7,0.1923,0.0154,144.75,21.71,,,,,,,,,,,,
R10S,60,Calibration,Mechanical,,,,,,,42.316,5.078,3.893,0.584,33226.6,3322.7,0.1989,0.0159,142.12,21.32,,,,,,,,,,,,
R10S,80,Calibration,Mechanical,,,,,,,42.456,5.095,3.909,0.586,32956.9,3295.7,0.2052,0.0164,139.5,20.93,,,,,,,,,,,,
R10S,100,Calibration,Mechanical,,,,,,,42.574,5.109,3.924,0.589,32687.5,3268.7,0.2112,0.0169,136.88,20.53,,,,,,,,,,,,
R10S,120,Calibration,Mechanical,,,,,,,42.247,5.07,3.885,0.583,31862.6,3186.3,0.2169,0.0174,134.25,20.14,,,,,,,,,,,,
R10S,140,Calibration,Mechanical,,,,,,,41.906,5.029,3.844,0.577,31038.5,3103.8,0.2223,0.0178,131.62,19.74,,,,,,,,,,,,
R10S,160,Calibration,Mechanical,,,,,,,41.553,4.986,3.802,0.57,30215.2,3021.5,0.2275,0.0182,129.0,19.35,,,,,,,,,,,,
R10S,180,Calibration,Mechanical,,,,,,,41.192,4.943,3.759,0.564,29392.8,2939.3,0.2324,0.0186,126.38,18.96,,,,,,,,,,,,
R10S,200,Calibration,Mechanical,,,,,,,40.824,4.899,3.715,0.557,28571.2,2857.1,0.237,0.019,123.75,18.56,,,,,,,,,,,,
R10S,220,Calibration,Mechanical,,,,,,,40.022,4.803,3.621,0.543,27380.8,2738.1,0.2415,0.0193,121.12,18.17,,,,,,,,,,,,
R10S,240,Calibration,Mechanical,,,,,,,39.217,4.706,3.526,0.529,26191.6,2619.2,0.2457,0.0197,118.5,17.77,,,,,,,,,,,,
R10S,260,Calibration,Mechanical,,,,,,,38.409,4.609,3.432,0.515,25003.6,2500.4,0.2497,0.02,115.88,17.38,,,,,,,,,,,,
R10S,280,Calibration,Mechanical,,,,,,,37.6,4.512,3.338,0.501,23816.9,2381.7,0.2535,0.0203,113.25,16.99,,,,,,,,,,,,
R10S,300,Calibration,Mechanical,,,,,,,36.789,4.415,3.245,0.487,22631.3,2263.1,0.2571,0.0206,110.62,16.59,,,,,,,,,,,,
R10S,320,Calibration,Mechanical,,,,,,,35.978,4.317,3.152,0.473,21446.9,2144.7,0.2606,0.0208,108.0,16.2,,,,,,,,,,,,
R10S,340,Calibration,Mechanical,,,,,,,35.166,4.22,3.06,0.459,20263.7,2026.4,0.2639,0.0211,105.38,15.81,,,,,,,,,,,,
R10S,360,Calibration,Mechanical,,,,,,,34.353,4.122,2.969,0.445,19081.7,1908.2,0.267,0.0214,102.75,15.41,,,,,,,,,,,,
R10S,380,Calibration,Mechanical,,,,,,,33.537,4.024,2.877,0.432,17900.9,1790.1,0.27,0.0216,100.12,15.02,,,,,,,,,,,,
R10S,400,Calibration,Mechanical,,,,,,,32.719,3.926,2.786,0.418,16721.2,1672.1,0.2728,0.0218,97.5,14.62,,,,,,,,,,,,
R10S,420,Calibration,Mechanical,,,,,,,31.461,3.775,2.648,0.397,15710.0,1571.0,0.2755,0.022,94.88,14.23,,,,,,,,,,,,
R10S,440,Calibration,Mechanical,,,,,,,30.196,3.624,2.51,0.377,14699.7,1470.0,0.2781,0.0222,92.25,13.84,,,,,,,,,,,,
R10S,460,Calibration,Mechanical,,,,,,,28.926,3.471,2.374,0.356,13690.4,1369.0,0.2805,0.0224,89.62,13.44,,,,,,,,,,,,
R10S,480,Calibration,Mechanical,,,,,,,27.649,3.318,2.239,0.336,12682.2,1268.2,0.2828,0.0226,87.0,13.05,,,,,,,,,,,,
R10S,500,Calibration,Mechanical,,,,,,,26.366,3.164,2.105,0.316,11675.0,1167.5,0.285,0.0228,84.38,12.66,,,,,,,,,,,,
R10S,520,Calibration,Mechanical,,,,,,,25.077,3.009,1.972,0.296,10668.8,1066.9,0.2871,0.023,81.75,12.26,,,,,,,,,,,,
R10S,540,Calibration,Mechanical,,,,,,,23.781,2.854,1.84,0.276,9663.7,966.4,0.2891,0.0231,79.13,11.87,,,,,,,,,,,,
R10S,560,Calibration,Mechanical,,,,,,,22.481,2.698,1.711,0.257,8659.6,866.0,0.291,0.0233,76.5,11.47,,,,,,,,,,,,
R10S,580,Calibration,Mechanical,,,,,,,21.175,2.541,1.583,0.237,7656.5,765.6,0.2928,0.0234,73.88,11.08,,,,,,,,,,,,
R10S,600,Calibration,Mechanical,,,,,,,19.865,2.384,1.457,0.218,6654.4,665.4,0.2945,0.0236,71.25,10.69,,,,,,,,,,,,
R10S,620,Calibration,Mechanical,,,,,,,18.552,2.226,1.333,0.2,6152.1,615.2,0.2962,0.0237,68.62,10.29,,,,,,,,,,,,
R10S,640,Calibration,Mechanical,,,,,,,17.236,2.068,1.211,0.182,5650.4,565.0,0.2977,0.0238,66.0,9.9,,,,,,,,,,,,
R10S,660,Calibration,Mechanical,,,,,,,15.916,1.91,1.092,0.164,5149.2,514.9,0.2992,0.0239,63.38,9.51,,,,,,,,,,,,
R10S,680,Calibration,Mechanical,,,,,,,14.595,1.751,0.976,0.146,4648.5,464.9,0.3006,0.024,60.75,9.11,,,,,,,,,,,,
R10S,700,Calibration,Mechanical,,,,,,,13.272,1.593,0.862,0.129,4148.3,414.8,0.3019,0.0242,58.13,8.72,,,,,,,,,,,,
R10S,720,Calibration,Mechanical,,,,,,,11.948,1.434,0.752,0.113,3648.6,364.9,0.3032,0.0243,55.5,8.33,,,,,,,,,,,,
R10S,740,Calibration,Mechanical,,,,,,,10.623,1.275,0.646,0.097,3149.5,314.9,0.3044,0.0244,52.88,7.93,,,,,,,,,,,,
R10S,760,Calibration,Mechanical,,,,,,,9.297,1.116,0.543,0.081,2650.8,265.1,0.3056,0.0244,50.25,7.54,,,,,,,,,,,,
R10S,780,Calibration,Mechanical,,,,,,,7.97,0.956,0.444,0.067,2152.7,215.3,0.3067,0.0245,47.62,7.14,,,,,,,,,,,,
R10S,800,Calibration,Mechanical,,,,,,,6.642,0.797,0.351,0.053,1655.1,165.5,0.3077,0.0246,45.0,6.75,,,,,,,,,,,,
R10S,20,Validation,Mechanical,,,,,,,42.536,5.104,3.903,0.585,34240.1,3424.0,0.1853,0.0148,149.44,22.42,,,,,,,,,,,,
R10S,40,Validation,Mechanical,,,,,,,42.74,5.129,3.927,0.589,33966.1,3396.6,0.1923,0.0154,146.78,22.02,,,,,,,,,,,,
R10S,60,Validation,Mechanical,,,,,,,42.91,5.149,3.947,0.592,33692.4,3369.2,0.1989,0.0159,144.12,21.62,,,,,,,,,,,,
R10S,80,Validation,Mechanical,,,,,,,43.051,5.166,3.964,0.595,33419.0,3341.9,0.2052,0.0164,141.46,21.22,,,,,,,,,,,,
R10S,100,Validation,Mechanical,,,,,,,43.171,5.18,3.979,0.597,33145.8,3314.6,0.2112,0.0169,138.79,20.82,,,,,,,,,,,,
R10S,120,Validation,Mechanical,,,,,,,42.84,5.141,3.939,0.591,32309.3,3230.9,0.2169,0.0174,136.13,20.42,,,,,,,,,,,,
R10S,140,Validation,Mechanical,,,,,,,42.494,5.099,3.898,0.585,31473.7,3147.4,0.2223,0.0178,133.47,20.02,,,,,,,,,,,,
R10S,160,Validation,Mechanical,,,,,,,42.136,5.056,3.855,0.578,30638.9,3063.9,0.2275,0.0182,130.81,19.62,,,,,,,,,,,,
R10S,180,Validation,Mechanical,,,,,,,41.769,5.012,3.812,0.572,29804.9,2980.5,0.2324,0.0186,128.15,19.22,,,,,,,,,,,,
R10S,200,Validation,Mechanical,,,,,,,41.397,4.968,3.767,0.565,28971.7,2897.2,0.237,0.019,125.49,18.82,,,,,,,,,,,,
R10S,220,Validation,Mechanical,,,,,,,40.584,4.87,3.671,0.551,27764.7,2776.5,0.2415,0.0193,122.82,18.42,,,,,,,,,,,,
R10S,240,Validation,Mechanical,,,,,,,39.767,4.772,3.576,0.536,26558.8,2655.9,0.2457,0.0197,120.16,18.02,,,,,,,,,,,,
R10S,260,Validation,Mechanical,,,,,,,38.948,4.674,3.48,0.522,25354.2,2535.4,0.2497,0.02,117.5,17.62,,,,,,,,,,,,
R10S,280,Validation,Mechanical,,,,,,,38.127,4.575,3.385,0.508,24150.8,2415.1,0.2535,0.0203,114.84,17.23,,,,,,,,,,,,
R10S,300,Validation,Mechanical,,,,,,,37.305,4.477,3.291,0.494,22948.6,2294.9,0.2571,0.0206,112.18,16.83,,,,,,,,,,,,
R10S,320,Validation,Mechanical,,,,,,,36.483,4.378,3.197,0.479,21747.6,2174.8,0.2606,0.0208,109.51,16.43,,,,,,,,,,,,
R10S,340,Validation,Mechanical,,,,,,,35.659,4.279,3.103,0.465,20547.8,2054.8,0.2639,0.0211,106.85,16.03,,,,,,,,,,,,
R10S,360,Validation,Mechanical,,,,,,,34.834,4.18,3.01,0.452,19349.2,1934.9,0.267,0.0214,104.19,15.63,,,,,,,,,,,,
R10S,380,Validation,Mechanical,,,,,,,34.008,4.081,2.918,0.438,18151.8,1815.2,0.27,0.0216,101.53,15.23,,,,,,,,,,,,
R10S,400,Validation,Mechanical,,,,,,,33.178,3.981,2.825,0.424,16955.7,1695.6,0.2728,0.0218,98.87,14.83,,,,,,,,,,,,
R10S,420,Validation,Mechanical,,,,,,,31.902,3.828,2.685,0.403,15930.2,1593.0,0.2755,0.022,96.21,14.43,,,,,,,,,,,,
R10S,440,Validation,Mechanical,,,,,,,30.62,3.674,2.546,0.382,14905.8,1490.6,0.2781,0.0222,93.54,14.03,,,,,,,,,,,,
R10S,460,Validation,Mechanical,,,,,,,29.332,3.52,2.407,0.361,13882.4,1388.2,0.2805,0.0224,90.88,13.63,,,,,,,,,,,,
R10S,480,Validation,Mechanical,,,,,,,28.037,3.364,2.27,0.341,12860.0,1286.0,0.2828,0.0226,88.22,13.23,,,,,,,,,,,,
R10S,500,Validation,Mechanical,,,,,,,26.736,3.208,2.134,0.32,11838.7,1183.9,0.285,0.0228,85.56,12.83,,,,,,,,,,,,
