material,specimen,temperature_C,E_GPa,G_GPa,poisson
LSCF-GDC,5,525,129.44,49.51,0.282
LSCF-GDC,5,575,121.99,49.38,0.273
LSCF-GDC,5,625,128.51,49.26,0.285
LSCF-GDC,5,675,125.12,49.13,0.278
LSCF-GDC,5,725,124.9,49.0,0.284
LSCF-GDC,5,775,126.19,48.88,0.276
LSCF-GDC,5,825,126.31,48.75,0.281
LSCF-GDC,5,875,122.33,48.62,0.282
LSCF-GDC,6,25,131.45,50.78,0.284
LSCF-GDC,6,75,126.2,50.65,0.281
LSCF-GDC,6,125,131.03,50.53,0.274
LSCF-GDC,6,175,134.37,50.4,0.279
LSCF-GDC,6,225,128.9,50.27,0.287
LSCF-GDC,6,275,128.21,50.15,0.288
LSCF-GDC,6,325,128.85,50.02,0.284
LSCF-GDC,6,375,133.01,49.89,0.274
LSCF-GDC,6,425,124.74,49.77,0.282
LSCF-GDC,6,475,127.6,49.64,0.284
LSCF-GDC,6,525,124.67,49.51,0.284
LSCF-GDC,6,575,125.0,49.38,0.284
LSCF-GDC,6,625,125.97,49.26,0.282
LSCF-GDC,6,675,129.28,49.13,0.28
LSCF-GDC,6,725,130.13,49.0,0.277
LSCF-GDC,6,775,126.29,48.88,0.271
LSCF-GDC,6,825,123.82,48.75,0.282
LSCF-GDC,6,875,130.96,48.62,0.281
LSCF-GDC,7,25,125.18,50.78,0.278
LSCF-GDC,7,75,131.92,50.65,0.277
LSCF-GDC,7,125,132.45,50.53,0.271
LSCF-GDC,7,175,127.2,50.4,0.287
LSCF-GDC,7,225,129.61,50.27,0.285
LSCF-GDC,7,275,127.68,50.15,0.292
LSCF-GDC,7,325,128.9,50.02,0.273
LSCF-GDC,7,375,126.09,49.89,0.287
LSCF-GDC,7,425,125.1,49.77,0.28
LSCF-GDC,7,475,129.81,49.64,0.284
LSCF-GDC,7,525,126.58,49.51,0.272
LSCF-GDC,7,575,131.68,49.38,0.287
LSCF-GDC,7,625,126.22,49.26,0.284
LSCF-GDC,7,675,123.37,49.13,0.28
LSCF-GDC,7,725,128.64,49.0,0.283
LSCF-GDC,7,775,126.77,48.88,0.276
LSCF-GDC,7,825,126.69,48.75,0.277
LSCF-GDC,7,875,127.57,48.62,0.278
LSCF-GDC,8,25,133.72,50.78,0.277
LSCF-GDC,8,75,130.34,50.65,0.279
LSCF-GDC,8,125,131.57,50.53,0.279
LSCF-GDC,8,175,130.89,50.4,0.274
LSCF-GDC,8,225,130.32,50.27,0.279
LSCF-GDC,8,275,129.28,50.15,0.287
LSCF-GDC,8,325,127.44,50.02,0.281
LSCF-GDC,8,375,132.71,49.89,0.273
LSCF-GDC,8,425,125.04,49.77,0.272
LSCF-GDC,8,475,127.09,49.64,0.288
LSCF-GDC,8,525,126.79,49.51,0.28
LSCF-GDC,8,575,127.47,49.38,0.277
LSCF-GDC,8,625,124.98,49.26,0.279
LSCF-GDC,8,675,126.59,49.13,0.273
LSCF-GDC,8,725,125.01,49.0,0.287
LSCF-GDC,8,775,121.01,48.88,0.278
LSCF-GDC,8,825,124.82,48.75,0.287
LSCF-GDC,8,875,121.61,48.62,0.28
LSCF-GDC,9,25,126.85,50.78,0.271
LSCF-GDC,9,75,130.79,50.65,0.281
LSCF-GDC,9,125,136.18,50.53,0.282
LSCF-GDC,9,175,132.54,50.4,0.283
LSCF-GDC,9,225,130.57,50.27,0.283
LSCF-GDC,9,275,128.15,50.15,0.27
LSCF-GDC,9,325,123.01,50.02,0.273
LSCF-GDC,9,375,124.29,49.89,0.29
LSCF-GDC,9,425,130.74,49.77,0.275
LSCF-GDC,9,475,125.02,49.64,0.283
LSCF-GDC,9,525,124.93,49.51,0.277
LSCF-GDC,9,575,125.99,49.38,0.28
LSCF-GDC,9,625,123.34,49.26,0.277
LSCF-GDC,9,675,122.59,49.13,0.283
LSCF-GDC,9,725,125.32,49.0,0.281
LSCF-GDC,9,775,122.81,48.88,0.278
LSCF-GDC,9,825,122.87,48.75,0.275
LSCF-GDC,9,875,122.44,48.62,0.281
LSCF-GDC,10,25,132.43,50.78,0.283
LSCF-GDC,10,75,132.04,50.65,0.279
LSCF-GDC,10,125,129.09,50.53,0.279
LSCF-GDC,10,175,132.63,50.4,0.283
LSCF-GDC,10,225,129.29,50.27,0.279
LSCF-GDC,10,275,130.02,50.15,0.279
LSCF-GDC,10,325,128.78,50.02,0.282
LSCF-GDC,10,375,128.37,49.89,0.283
LSCF-GDC,10,425,125.49,49.77,0.279
LSCF-GDC,10,475,128.9,49.64,0.28
LSCF-GDC,10,525,134.15,49.51,0.276
LSCF-GDC,10,575,125.45,49.38,0.276
LSCF-GDC,10,625,126.28,49.26,0.284
LSCF-GDC,10,675,124.61,49.13,0.282
LSCF-GDC,10,725,124.18,49.0,0.282
LSCF-GDC,10,775,129.14,48.88,0.281
LSCF-GDC,10,825,123.05,48.75,0.28
LSCF-GDC,10,875,123.24,48.62,0.283
Crofer22APU,1,25,201.59,78.12,0.272
Crofer22APU,1,75,192.35,77.93,0.276
Crofer22APU,1,125,197.22,77.73,0.271
Crofer22APU,1,175,201.54,77.54,0.283
Crofer22APU,1,225,199.21,77.34,0.294
Crofer22APU,1,275,199.86,77.15,0.278
Crofer22APU,1,325,196.74,76.95,0.272
Crofer22APU,1,375,201.18,76.76,0.284
Crofer22APU,1,425,199.7,76.56,0.276
Crofer22APU,1,475,197.28,76.37,0.286
Crofer22APU,1,525,198.71,76.17,0.279
Crofer22APU,1,575,197.5,75.98,0.277
Crofer22APU,1,625,192.24,75.78,0.279
Crofer22APU,1,675,188.12,75.59,0.284
Crofer22APU,1,725,194.68,75.39,0.279
Crofer22APU,1,775,194.68,75.2,0.278
Crofer22APU,1,825,196.36,75.0,0.279
Crofer22APU,1,875,187.75,74.8,0.274
Crofer22APU,2,25,194.09,78.12,0.275
Crofer22APU,2,75,198.82,77.93,0.282
Crofer22APU,2,125,192.36,77.73,0.28
Crofer22APU,2,175,194.28,77.54,0.271
Crofer22APU,2,225,201.36,77.34,0.282
Crofer22APU,2,275,197.3,77.15,0.271
Crofer22APU,2,325,195.72,76.95,0.275
Crofer22APU,2,375,193.51,76.76,0.287
Crofer22APU,2,425,195.12,76.56,0.289
Crofer22APU,2,475,196.7,76.37,0.274
Crofer22APU,2,525,198.93,76.17,0.278
Crofer22APU,2,575,184.0,75.98,0.28
Crofer22APU,2,625,190.67,75.78,0.289
Crofer22APU,2,675,194.14,75.59,0.278
Crofer22APU,2,725,192.6,75.39,0.278
Crofer22APU,2,775,194.11,75.2,0.288
Crofer22APU,2,825,193.07,75.0,0.278
Crofer22APU,2,875,190.28,74.8,0.284
Crofer22APU,3,25,196.13,78.12,0.277
Crofer22APU,3,75,208.07,77.93,0.279
Crofer22APU,3,125,198.29,77.73,0.286
Crofer22APU,3,175,195.4,77.54,0.276
Crofer22APU,3,225,203.72,77.34,0.28
Crofer22APU,3,275,198.63,77.15,0.281
Crofer22APU,3,325,199.31,76.95,0.288
Crofer22APU,3,375,195.95,76.76,0.278
Crofer22APU,3,425,194.73,76.56,0.285
Crofer22APU,3,475,194.82,76.37,0.286
Crofer22APU,3,525,189.47,76.17,0.28
Crofer22APU,3,575,194.15,75.98,0.279
Crofer22APU,3,625,195.18,75.78,0.278
Crofer22APU,3,675,200.9,75.59,0.279
Crofer22APU,3,725,193.34,75.39,0.284
Crofer22APU,3,775,183.16,75.2,0.281
Crofer22APU,3,825,191.62,75.0,0.281
Crofer22APU,3,875,202.46,74.8,0.274
Crofer22APU,4,25,201.67,78.12,0.284
Crofer22APU,4,75,206.16,77.93,0.276
Crofer22APU,4,125,200.26,77.73,0.283
Crofer22APU,4,175,200.75,77.54,0.276
Crofer22APU,4,225,198.07,77.34,0.273
Crofer22APU,4,275,193.39,77.15,0.278
Crofer22APU,4,325,195.04,76.95,0.28
Crofer22APU,4,375,191.65,76.76,0.271
Crofer22APU,4,425,190.89,76.56,0.274
Crofer22APU,4,475,197.11,76.37,0.28
Crofer22APU,4,525,190.51,76.17,0.278
Crofer22APU,4,575,195.78,75.98,0.282
Crofer22APU,4,625,188.79,75.78,0.274
Crofer22APU,4,675,194.69,75.59,0.284
Crofer22APU,4,725,191.05,75.39,0.274
Crofer22APU,4,775,198.13,75.2,0.288
Crofer22APU,4,825,193.29,75.0,0.271
Crofer22APU,4,875,196.44,74.8,0.275
Crofer22APU,5,25,193.91,78.12,0.276
Crofer22APU,5,75,198.58,77.93,0.28
Crofer22APU,5,125,192.53,77.73,0.275
Crofer22APU,5,175,208.29,77.54,0.278
Crofer22APU,5,225,191.62,77.34,0.279
Crofer22APU,5,275,193.31,77.15,0.276
Crofer22APU,5,325,192.84,76.95,0.274
Crofer22APU,5,375,190.51,76.76,0.273
Crofer22APU,5,425,201.41,76.56,0.268
Crofer22APU,5,475,205.19,76.37,0.275
Crofer22APU,5,525,193.1,76.17,0.283
Crofer22APU,5,575,189.22,75.98,0.272
Crofer22APU,5,625,185.05,75.78,0.273
Crofer22APU,5,675,192.52,75.59,0.289
Crofer22APU,5,725,191.73,75.39,0.277
Crofer22APU,5,775,189.89,75.2,0.282
Crofer22APU,5,825,192.89,75.0,0.283
Crofer22APU,5,875,193.08,74.8,0.283
Crofer22APU,6,25,200.27,78.12,0.282
Crofer22APU,6,75,205.42,77.93,0.278
Crofer22APU,6,125,199.46,77.73,0.274
Crofer22APU,6,175,197.28,77.54,0.283
Crofer22APU,6,225,194.65,77.34,0.28
Crofer22APU,6,275,200.31,77.15,0.284
Crofer22APU,6,325,201.95,76.95,0.284
Crofer22APU,6,375,196.3,76.76,0.273
Crofer22APU,6,425,201.23,76.56,0.273
Crofer22APU,6,475,187.62,76.37,0.276
Crofer22APU,6,525,194.78,76.17,0.275
Crofer22APU,6,575,194.34,75.98,0.284
Crofer22APU,6,625,191.09,75.78,0.282
Crofer22APU,6,675,203.04,75.59,0.285
Crofer22APU,6,725,192.74,75.39,0.282
Crofer22APU,6,775,190.87,75.2,0.281
Crofer22APU,6,825,192.1,75.0,0.286
Crofer22APU,6,875,183.49,74.8,0.282
Crofer22APU,7,25,197.33,78.12,0.276
Crofer22APU,7,75,200.68,77.93,0.285
Crofer22APU,7,125,200.25,77.73,0.277
Crofer22APU,7,175,197.48,77.54,0.276
Crofer22APU,7,225,200.98,77.34,0.287
Crofer22APU,7,275,200.6,77.15,0.287
Crofer22APU,7,325,198.31,76.95,0.283
Crofer22APU,7,375,195.48,76.76,0.278
Crofer22APU,7,425,194.57,76.56,0.279
Crofer22APU,7,475,190.03,76.37,0.276
Crofer22APU,7,525,191.78,76.17,0.275
Crofer22APU,7,575,192.01,75.98,0.275
Crofer22APU,7,625,189.5,75.78,0.277
Crofer22APU,7,675,195.26,75.59,0.275
Crofer22APU,7,725,197.79,75.39,0.272
Crofer22APU,7,775,188.87,75.2,0.281
Crofer22APU,7,825,193.13,75.0,0.281
Crofer22APU,7,875,187.36,74.8,0.289
Crofer22APU,8,25,201.45,78.12,0.278
Crofer22APU,8,75,200.53,77.93,0.277
Crofer22APU,8,125,201.75,77.73,0.283
Crofer22APU,8,175,205.39,77.54,0.277
Crofer22APU,8,225,198.68,77.34,0.285
Crofer22APU,8,275,197.05,77.15,0.279
Crofer22APU,8,325,203.03,76.95,0.277
Crofer22APU,8,375,200.37,76.76,0.274
Crofer22APU,8,425,194.72,76.56,0.281
Crofer22APU,8,475,195.52,76.37,0.284
Crofer22APU,8,525,195.78,76.17,0.281
Crofer22APU,8,575,195.95,75.98,0.291
Crofer22APU,8,625,188.57,75.78,0.287
Crofer22APU,8,675,187.33,75.59,0.278
Crofer22APU,8,725,189.45,75.39,0.278
Crofer22APU,8,775,188.64,75.2,0.282
Crofer22APU,8,825,189.42,75.0,0.276
Crofer22APU,8,875,194.04,74.8,0.286
Crofer22APU,9,25,199.34,78.12,0.279
Crofer22APU,9,75,197.24,77.93,0.281
Crofer22APU,9,125,198.29,77.73,0.274
Crofer22APU,9,175,198.74,77.54,0.278
Crofer22APU,9,225,201.56,77.34,0.283
Crofer22APU,9,275,197.1,77.15,0.283
Crofer22APU,9,325,198.6,76.95,0.276
Crofer22APU,9,375,194.33,76.76,0.281
Crofer22APU,9,425,198.29,76.56,0.291
Crofer22APU,9,475,197.0,76.37,0.28
Crofer22APU,9,525,198.46,76.17,0.277
Crofer22APU,9,575,197.35,75.98,0.279
Crofer22APU,9,625,196.35,75.78,0.28
Crofer22APU,9,675,193.11,75.59,0.279
Crofer22APU,9,725,193.98,75.39,0.28
Crofer22APU,9,775,196.75,75.2,0.273
Crofer22APU,9,825,189.39,75.0,0.275
Crofer22APU,9,875,188.99,74.8,0.279
Crofer22APU,10,25,200.31,78.12,0.281
Crofer22APU,10,75,198.02,77.93,0.282
Crofer22APU,10,125,203.1,77.73,0.276
Crofer22APU,10,175,198.42,77.54,0.28
Crofer22APU,10,225,194.73,77.34,0.28
Crofer22APU,10,275,190.64,77.15,0.269
Crofer22APU,10,325,195.23,76.95,0.279
Crofer22APU,10,375,199.52,76.76,0.279
Crofer22APU,10,425,205.11,76.56,0.279
Crofer22APU,10,475,195.75,76.37,0.287
Crofer22APU,10,525,191.94,76.17,0.274
Crofer22APU,10,575,189.76,75.98,0.276
Crofer22APU,10,625,196.21,75.78,0.267
Crofer22APU,10,675,186.44,75.59,0.278
Crofer22APU,10,725,195.2,75.39,0.278
Crofer22APU,10,775,195.77,75.2,0.277
Crofer22APU,10,825,193.75,75.0,0.286
Crofer22APU,10,875,190.62,74.8,0.284
glass-ceramic,1,25,69.01,27.34,0.283
glass-ceramic,1,75,68.8,27.28,0.281
glass-ceramic,1,125,68.75,27.21,0.276
glass-ceramic,1,175,70.5,27.14,0.289
glass-ceramic,1,225,67.9,27.07,0.278
glass-ceramic,1,275,69.62,27.0,0.284
glass-ceramic,1,325,70.0,26.93,0.268
glass-ceramic,1,375,68.65,26.87,0.286
glass-ceramic,1,425,70.01,26.8,0.287
glass-ceramic,1,475,68.0,26.73,0.28
glass-ceramic,1,525,67.95,26.66,0.283
glass-ceramic,1,575,66.71,26.59,0.283
glass-ceramic,1,625,69.32,26.52,0.277
glass-ceramic,1,675,66.65,26.46,0.283
glass-ceramic,1,725,68.04,26.39,0.276
glass-ceramic,1,775,67.28,26.32,0.277
glass-ceramic,1,825,65.73,26.25,0.286
glass-ceramic,1,875,66.17,26.18,0.285
glass-ceramic,2,25,69.04,27.34,0.287
glass-ceramic,2,75,69.04,27.28,0.281
glass-ceramic,2,125,70.16,27.21,0.275
glass-ceramic,2,175,71.35,27.14,0.282
glass-ceramic,2,225,70.77,27.07,0.279
glass-ceramic,2,275,69.76,27.0,0.297
glass-ceramic,2,325,67.09,26.93,0.281
glass-ceramic,2,375,66.92,26.87,0.278
glass-ceramic,2,425,69.35,26.8,0.287
glass-ceramic,2,475,66.54,26.73,0.271
glass-ceramic,2,525,67.93,26.66,0.28
glass-ceramic,2,575,68.5,26.59,0.29
glass-ceramic,2,625,66.31,26.52,0.279
glass-ceramic,2,675,66.29,26.46,0.271
glass-ceramic,2,725,67.42,26.39,0.278
glass-ceramic,2,775,68.08,26.32,0.287
glass-ceramic,2,825,68.69,26.25,0.282
glass-ceramic,2,875,67.87,26.18,0.276
glass-ceramic,3,25,71.4,27.34,0.28
glass-ceramic,3,75,70.98,27.28,0.276
glass-ceramic,3,125,70.46,27.21,0.275
glass-ceramic,3,175,68.07,27.14,0.277
glass-ceramic,3,225,71.09,27.07,0.282
glass-ceramic,3,275,67.94,27.0,0.282
glass-ceramic,3,325,69.35,26.93,0.27
glass-ceramic,3,375,66.48,26.87,0.276
glass-ceramic,3,425,65.74,26.8,0.286
glass-ceramic,3,475,68.87,26.73,0.28
glass-ceramic,3,525,67.12,26.66,0.273
glass-ceramic,3,575,65.29,26.59,0.292
glass-ceramic,3,625,68.66,26.52,0.28
glass-ceramic,3,675,70.69,26.46,0.282
glass-ceramic,3,725,69.5,26.39,0.282
glass-ceramic,3,775,67.01,26.32,0.278
glass-ceramic,3,825,67.21,26.25,0.276
glass-ceramic,3,875,68.27,26.18,0.291
glass-ceramic,4,25,70.56,27.34,0.286
glass-ceramic,4,75,72.56,27.28,0.278
glass-ceramic,4,125,68.71,27.21,0.28
glass-ceramic,4,175,70.74,27.14,0.282
glass-ceramic,4,225,70.93,27.07,0.283
glass-ceramic,4,275,70.11,27.0,0.279
glass-ceramic,4,325,67.6,26.93,0.279
glass-ceramic,4,375,70.75,26.87,0.287
glass-ceramic,4,425,70.32,26.8,0.286
glass-ceramic,4,475,69.26,26.73,0.282
glass-ceramic,4,525,68.54,26.66,0.289
glass-ceramic,4,575,68.39,26.59,0.278
glass-ceramic,4,625,67.79,26.52,0.288
glass-ceramic,4,675,68.62,26.46,0.283
glass-ceramic,4,725,67.59,26.39,0.296
glass-ceramic,4,775,66.19,26.32,0.274
glass-ceramic,4,825,65.73,26.25,0.277
glass-ceramic,4,875,65.97,26.18,0.282
glass-ceramic,5,25,69.35,27.34,0.281
glass-ceramic,5,75,71.04,27.28,0.28
glass-ceramic,5,125,68.71,27.21,0.281
glass-ceramic,5,175,68.81,27.14,0.283
glass-ceramic,5,225,68.18,27.07,0.277
glass-ceramic,5,275,69.6,27.0,0.287
glass-ceramic,5,325,70.57,26.93,0.279
glass-ceramic,5,375,68.52,26.87,0.278
glass-ceramic,5,425,66.82,26.8,0.282
glass-ceramic,5,475,66.91,26.73,0.271
glass-ceramic,5,525,68.8,26.66,0.276
glass-ceramic,5,575,70.66,26.59,0.285
glass-ceramic,5,625,68.45,26.52,0.271
glass-ceramic,5,675,67.18,26.46,0.286
glass-ceramic,5,725,68.62,26.39,0.288
glass-ceramic,5,775,67.04,26.32,0.278
glass-ceramic,5,825,66.67,26.25,0.281
glass-ceramic,5,875,65.68,26.18,0.286
glass-ceramic,6,25,72.35,27.34,0.287
glass-ceramic,6,75,69.56,27.28,0.267
glass-ceramic,6,125,69.03,27.21,0.284
glass-ceramic,6,175,71.01,27.14,0.278
glass-ceramic,6,225,68.29,27.07,0.278
glass-ceramic,6,275,68.29,27.0,0.288
glass-ceramic,6,325,68.96,26.93,0.276
glass-ceramic,6,375,68.78,26.87,0.277
glass-ceramic,6,425,68.96,26.8,0.279
glass-ceramic,6,475,71.35,26.73,0.282
glass-ceramic,6,525,68.72,26.66,0.278
glass-ceramic,6,575,64.75,26.59,0.272
glass-ceramic,6,625,68.36,26.52,0.276
glass-ceramic,6,675,67.78,26.46,0.286
glass-ceramic,6,725,67.61,26.39,0.28
glass-ceramic,6,775,67.72,26.32,0.282
glass-ceramic,6,825,67.16,26.25,0.279
glass-ceramic,6,875,66.95,26.18,0.277
glass-ceramic,7,25,70.81,27.34,0.283
glass-ceramic,7,75,68.63,27.28,0.277
glass-ceramic,7,125,69.86,27.21,0.275
glass-ceramic,7,175,68.82,27.14,0.295
glass-ceramic,7,225,69.34,27.07,0.276
glass-ceramic,7,275,68.78,27.0,0.281
glass-ceramic,7,325,66.1,26.93,0.273
glass-ceramic,7,375,70.35,26.87,0.281
glass-ceramic,7,425,68.49,26.8,0.275
glass-ceramic,7,475,67.75,26.73,0.278
glass-ceramic,7,525,67.47,26.66,0.285
glass-ceramic,7,575,68.58,26.59,0.282
glass-ceramic,7,625,66.65,26.52,0.283
glass-ceramic,7,675,64.57,26.46,0.271
glass-ceramic,7,725,68.12,26.39,0.289
glass-ceramic,7,775,68.1,26.32,0.274
glass-ceramic,7,825,66.92,26.25,0.288
glass-ceramic,7,875,65.42,26.18,0.285
glass-ceramic,8,25,67.82,27.34,0.28
glass-ceramic,8,75,69.0,27.28,0.273
glass-ceramic,8,125,68.06,27.21,0.275
glass-ceramic,8,175,71.96,27.14,0.276
glass-ceramic,8,225,70.53,27.07,0.284
glass-ceramic,8,275,66.04,27.0,0.278
glass-ceramic,8,325,66.83,26.93,0.278
glass-ceramic,8,375,68.59,26.87,0.29
glass-ceramic,8,425,67.94,26.8,0.282
glass-ceramic,8,475,66.57,26.73,0.282
glass-ceramic,8,525,70.97,26.66,0.278
glass-ceramic,8,575,68.51,26.59,0.277
glass-ceramic,8,625,68.56,26.52,0.269
glass-ceramic,8,675,66.76,26.46,0.285
glass-ceramic,8,725,68.56,26.39,0.282
glass-ceramic,8,775,66.84,26.32,0.279
glass-ceramic,8,825,66.8,26.25,0.279
glass-ceramic,8,875,67.88,26.18,0.284
glass-ceramic,9,25,69.25,27.34,0.272
glass-ceramic,9,75,70.17,27.28,0.288
glass-ceramic,9,125,69.57,27.21,0.281
glass-ceramic,9,175,67.1,27.14,0.286
glass-ceramic,9,225,71.3,27.07,0.275
glass-ceramic,9,275,68.94,27.0,0.275
glass-ceramic,9,325,69.99,26.93,0.274
glass-ceramic,9,375,67.72,26.87,0.281
glass-ceramic,9,425,68.37,26.8,0.28
glass-ceramic,9,475,67.21,26.73,0.278
glass-ceramic,9,525,69.98,26.66,0.275
glass-ceramic,9,575,68.51,26.59,0.274
glass-ceramic,9,625,68.41,26.52,0.28
glass-ceramic,9,675,69.63,26.46,0.278
glass-ceramic,9,725,69.17,26.39,0.277
glass-ceramic,9,775,68.45,26.32,0.288
glass-ceramic,9,825,65.21,26.25,0.28
glass-ceramic,9,875,66.05,26.18,0.286
glass-ceramic,10,25,69.95,27.34,0.275
glass-ceramic,10,75,68.4,27.28,0.284
glass-ceramic,10,125,69.79,27.21,0.281
glass-ceramic,10,175,67.97,27.14,0.273
glass-ceramic,10,225,69.89,27.07,0.279
glass-ceramic,10,275,69.15,27.0,0.273
glass-ceramic,10,325,70.91,26.93,0.28
glass-ceramic,10,375,68.78,26.87,0.272
glass-ceramic,10,425,67.52,26.8,0.283
glass-ceramic,10,475,68.08,26.73,0.282
glass-ceramic,10,525,66.37,26.66,0.29
glass-ceramic,10,575,68.64,26.59,0.284
glass-ceramic,10,625,68.73,26.52,0.278
glass-ceramic,10,675,71.18,26.46,0.284
glass-ceramic,10,725,66.68,26.39,0.273
glass-ceramic,10,775,67.0,26.32,0.275
glass-ceramic,10,825,66.39,26.25,0.282
glass-ceramic,10,875,67.32,26.18,0.269
