Mix_ID,Temperature_C,Data_Type,Property_Type,Thermal_Conductivity_Mean_W_m_K,Thermal_Conductivity_Std_W_m_K,Rubber_Content_Percent,Particle_Size
R10L,510,Validation,Thermal,0.8181,0.0818,10.0,large
R10L,520,Validation,Thermal,0.802,0.0802,10.0,large
R10L,530,Validation,Thermal,0.786,0.0786,10.0,large
R10L,540,Validation,Thermal,0.7703,0.077,10.0,large
R10L,550,Calibration,Thermal,0.7548,0.0755,10.0,large
R10L,560,Calibration,Thermal,0.7395,0.0739,10.0,large
R10L,570,Validation,Thermal,0.7244,0.0724,10.0,large
R10L,580,Calibration,Thermal,0.7095,0.0709,10.0,large
R10L,590,Calibration,Thermal,0.6947,0.0695,10.0,large
R10L,600,Validation,Thermal,0.6802,0.068,10.0,large
R10L,610,Calibration,Thermal,0.6659,0.0666,10.0,large
R10L,620,Calibration,Thermal,0.6517,0.0652,10.0,large
R10L,630,Calibration,Thermal,0.6378,0.0638,10.0,large
R10L,640,Calibration,Thermal,0.624,0.0624,10.0,large
R10L,650,Calibration,Thermal,0.6104,0.061,10.0,large
R10L,660,Calibration,Thermal,0.597,0.0597,10.0,large
R10L,670,Calibration,Thermal,0.5838,0.0584,10.0,large
R10L,680,Calibration,Thermal,0.5708,0.0571,10.0,large
R10L,690,Validation,Thermal,0.558,0.0558,10.0,large
R10L,700,Calibration,Thermal,0.5453,0.0545,10.0,large
R10L,710,Validation,Thermal,0.5329,0.0533,10.0,large
R10L,720,Calibration,Thermal,0.5206,0.0521,10.0,large
R10L,730,Calibration,Thermal,0.5084,0.0508,10.0,large
R10L,740,Validation,Thermal,0.4965,0.0496,10.0,large
R10L,750,Calibration,Thermal,0.4847,0.0485,10.0,large
R10L,760,Validation,Thermal,0.4731,0.0473,10.0,large
R10L,770,Calibration,Thermal,0.4617,0.0462,10.0,large
R10L,780,Validation,Thermal,0.4504,0.045,10.0,large
R10L,790,Calibration,Thermal,0.4393,0.0439,10.0,large
R10L,800,Validation,Thermal,0.4283,0.0428,10.0,large
