measure_id,building_type,climate_zone,applicability_score
ME_EN_ROOF_R29_XPS,Hospital,6A,0.93
ME_EN_ROOF_R29_XPS,Hospital,6B,0.9
ME_EN_ROOF_R29_XPS,Hospital,6C,0.91
ME_EN_ROOF_R29_XPS,Hospital,7A,0.88
ME_EN_ROOF_R29_XPS,Hospital,7B,0.86
ME_EN_ROOF_R29_XPS,Hospital,7C,0.88
ME_EN_ROOF_R29_XPS,Retail,1A,0.88
ME_EN_ROOF_R29_XPS,Retail,1B,0.88
ME_EN_ROOF_R29_XPS,Retail,1C,0.9
ME_EN_ROOF_R29_XPS,Retail,2A,0.86
ME_EN_ROOF_R29_XPS,Retail,2B,0.87
ME_EN_ROOF_R29_XPS,Retail,2C,0.92
ME_EN_ROOF_R29_XPS,Retail,3A,0.92
ME_EN_ROOF_R29_XPS,Retail,3B,0.86
ME_EN_ROOF_R29_XPS,Retail,3C,0.89
ME_EN_ROOF_R29_XPS,Retail,4A,0.9
ME_EN_ROOF_R29_XPS,Retail,4B,0.89
ME_EN_ROOF_R29_XPS,Retail,4C,0.87
ME_EN_ROOF_R29_XPS,Retail,5A,0.89
ME_EN_ROOF_R29_XPS,Retail,5B,0.94
ME_EN_ROOF_R29_XPS,Retail,5C,0.91
ME_EN_ROOF_R29_XPS,Retail,6A,0.92
ME_EN_ROOF_R29_XPS,Retail,6B,0.94
ME_EN_ROOF_R29_XPS,Retail,6C,0.93
ME_EN_ROOF_R29_XPS,Retail,7A,0.89
ME_EN_ROOF_R29_XPS,Retail,7B,0.85
ME_EN_ROOF_R29_XPS,Retail,7C,0.89
ME_EN_ROOF_R29_XPS,Warehouse,1A,0.93
ME_EN_ROOF_R29_XPS,Warehouse,1B,0.94
ME_EN_ROOF_R29_XPS,Warehouse,1C,0.95
ME_EN_ROOF_R29_XPS,Warehouse,2A,0.89
ME_EN_ROOF_R29_XPS,Warehouse,2B,0.92
ME_EN_ROOF_R29_XPS,Warehouse,2C,0.9
ME_EN_ROOF_R29_XPS,Warehouse,3A,0.91
ME_EN_ROOF_R29_XPS,Warehouse,3B,0.87
ME_EN_ROOF_R29_XPS,Warehouse,3C,0.87
ME_EN_ROOF_R29_XPS,Warehouse,4A,0.89
ME_EN_ROOF_R29_XPS,Warehouse,4B,0.85
ME_EN_ROOF_R29_XPS,Warehouse,4C,0.88
ME_EN_ROOF_R29_XPS,Warehouse,5A,0.92
ME_EN_ROOF_R29_XPS,Warehouse,5B,0.89
ME_EN_ROOF_R29_XPS,Warehouse,5C,0.87
ME_EN_ROOF_R29_XPS,Warehouse,6A,0.9
ME_EN_ROOF_R29_XPS,Warehouse,6B,0.86
ME_EN_ROOF_R29_XPS,Warehouse,6C,0.91
ME_EN_ROOF_R29_XPS,Warehouse,7A,0.85
ME_EN_ROOF_R29_XPS,Warehouse,7B,0.89
ME_EN_ROOF_R29_XPS,Warehouse,7C,0.91
ME_EN_ROOF_R44_XPS,Office,1A,0.85
ME_EN_ROOF_R44_XPS,Office,1B,0.91
ME_EN_ROOF_R44_XPS,Office,1C,0.86
ME_EN_ROOF_R44_XPS,Office,2A,0.9
ME_EN_ROOF_R44_XPS,Office,2B,0.86
ME_EN_ROOF_R44_XPS,Office,2C,0.89
ME_EN_ROOF_R44_XPS,Office,3A,0.87
ME_EN_ROOF_R44_XPS,Office,3B,0.88
ME_EN_ROOF_R44_XPS,Office,3C,0.93
ME_EN_ROOF_R44_XPS,Office,4A,0.89
ME_EN_ROOF_R44_XPS,Office,4B,0.93
ME_EN_ROOF_R44_XPS,Office,4C,0.93
ME_EN_ROOF_R44_XPS,Office,5A,0.88
ME_EN_ROOF_R44_XPS,Office,5B,0.86
ME_EN_ROOF_R44_XPS,Office,5C,0.85
ME_EN_ROOF_R44_XPS,Office,6A,0.9
ME_EN_ROOF_R44_XPS,Office,6B,0.95
ME_EN_ROOF_R44_XPS,Office,6C,0.88
ME_EN_ROOF_R44_XPS,Office,7A,0.92
ME_EN_ROOF_R44_XPS,Office,7B,0.93
ME_EN_ROOF_R44_XPS,Office,7C,0.92
ME_EN_ROOF_R44_XPS,School,1A,0.93
ME_EN_ROOF_R44_XPS,School,1B,0.94
ME_EN_ROOF_R44_XPS,School,1C,0.87
ME_EN_ROOF_R44_XPS,School,2A,0.85
ME_EN_ROOF_R44_XPS,School,2B,0.87
ME_EN_ROOF_R44_XPS,School,2C,0.86
ME_EN_ROOF_R44_XPS,School,3A,0.92
ME_EN_ROOF_R44_XPS,School,3B,0.91
ME_EN_ROOF_R44_XPS,School,3C,0.87
ME_EN_ROOF_R44_XPS,School,4A,0.92
ME_EN_ROOF_R44_XPS,School,4B,0.93
ME_EN_ROOF_R44_XPS,School,4C,0.87
ME_EN_ROOF_R44_XPS,School,5A,0.91
ME_EN_ROOF_R44_XPS,School,5B,0.92
ME_EN_ROOF_R44_XPS,School,5C,0.86
ME_EN_ROOF_R44_XPS,School,6A,0.93
ME_EN_ROOF_R44_XPS,School,6B,0.95
ME_EN_ROOF_R44_XPS,School,6C,0.86
ME_EN_ROOF_R44_XPS,School,7A,0.85
ME_EN_ROOF_R44_XPS,School,7B,0.88
ME_EN_ROOF_R44_XPS,School,7C,0.92
ME_EN_ROOF_R44_XPS,Residential,1A,0.95
ME_EN_ROOF_R44_XPS,Residential,1B,0.89
ME_EN_ROOF_R44_XPS,Residential,1C,0.92
ME_EN_ROOF_R44_XPS,Residential,2A,0.86
ME_EN_ROOF_R44_XPS,Residential,2B,0.92
ME_EN_ROOF_R44_XPS,Residential,2C,0.91
ME_EN_ROOF_R44_XPS,Residential,3A,0.86
ME_EN_ROOF_R44_XPS,Residential,3B,0.93
ME_EN_ROOF_R44_XPS,Residential,3C,0.94
ME_EN_ROOF_R44_XPS,Residential,4A,0.91
ME_EN_ROOF_R44_XPS,Residential,4B,0.86
ME_EN_ROOF_R44_XPS,Residential,4C,0.95
ME_EN_ROOF_R44_XPS,Residential,5A,0.93
ME_EN_ROOF_R44_XPS,Residential,5B,0.88
ME_EN_ROOF_R44_XPS,Residential,5C,0.89
ME_EN_ROOF_R44_XPS,Residential,6A,0.89
ME_EN_ROOF_R44_XPS,Residential,6B,0.9
ME_EN_ROOF_R44_XPS,Residential,6C,0.88
ME_EN_ROOF_R44_XPS,Residential,7A,0.93
ME_EN_ROOF_R44_XPS,Residential,7B,0.93
ME_EN_ROOF_R44_XPS,Residential,7C,0.86
ME_EN_ROOF_R44_XPS,Hospital,1A,0.95
ME_EN_ROOF_R44_XPS,Hospital,1B,0.91
ME_EN_ROOF_R44_XPS,Hospital,1C,0.93
ME_EN_ROOF_R44_XPS,Hospital,2A,0.92
ME_EN_ROOF_R44_XPS,Hospital,2B,0.89
ME_EN_ROOF_R44_XPS,Hospital,2C,0.92
ME_EN_ROOF_R44_XPS,Hospital,3A,0.95
ME_EN_ROOF_R44_XPS,Hospital,3B,0.88
ME_EN_ROOF_R44_XPS,Hospital,3C,0.93
ME_EN_ROOF_R44_XPS,Hospital,4A,0.9
ME_EN_ROOF_R44_XPS,Hospital,4B,0.9
ME_EN_ROOF_R44_XPS,Hospital,4C,0.89
ME_EN_ROOF_R44_XPS,Hospital,5A,0.92
ME_EN_ROOF_R44_XPS,Hospital,5B,0.88
ME_EN_ROOF_R44_XPS,Hospital,5C,0.94
ME_EN_ROOF_R44_XPS,Hospital,6A,0.93
ME_EN_ROOF_R44_XPS,Hospital,6B,0.86
ME_EN_ROOF_R44_XPS,Hospital,6C,0.94
ME_EN_ROOF_R44_XPS,Hospital,7A,0.87
ME_EN_ROOF_R44_XPS,Hospital,7B,0.9
ME_EN_ROOF_R44_XPS,Hospital,7C,0.91
ME_EN_ROOF_R44_XPS,Retail,1A,0.89
ME_EN_ROOF_R44_XPS,Retail,1B,0.85
ME_EN_ROOF_R44_XPS,Retail,1C,0.94
ME_EN_ROOF_R44_XPS,Retail,2A,0.87
ME_EN_ROOF_R44_XPS,Retail,2B,0.87
ME_EN_ROOF_R44_XPS,Retail,2C,0.93
ME_EN_ROOF_R44_XPS,Retail,3A,0.88
ME_EN_ROOF_R44_XPS,Retail,3B,0.94
ME_EN_ROOF_R44_XPS,Retail,3C,0.92
ME_EN_ROOF_R44_XPS,Retail,4A,0.88
ME_EN_ROOF_R44_XPS,Retail,4B,0.85
ME_EN_ROOF_R44_XPS,Retail,4C,0.94
ME_EN_ROOF_R44_XPS,Retail,5A,0.86
ME_EN_ROOF_R44_XPS,Retail,5B,0.92
ME_EN_ROOF_R44_XPS,Retail,5C,0.9
ME_EN_ROOF_R44_XPS,Retail,6A,0.93
ME_EN_ROOF_R44_XPS,Retail,6B,0.92
ME_EN_ROOF_R44_XPS,Retail,6C,0.91
ME_EN_ROOF_R44_XPS,Retail,7A,0.9
ME_EN_ROOF_R44_XPS,Retail,7B,0.93
ME_EN_ROOF_R44_XPS,Retail,7C,0.86
ME_EN_ROOF_R44_XPS,Warehouse,1A,0.87
ME_EN_ROOF_R44_XPS,Warehouse,1B,0.92
ME_EN_ROOF_R44_XPS,Warehouse,1C,0.88
ME_EN_ROOF_R44_XPS,Warehouse,2A,0.91
ME_EN_ROOF_R44_XPS,Warehouse,2B,0.9
ME_EN_ROOF_R44_XPS,Warehouse,2C,0.9
ME_EN_ROOF_R44_XPS,Warehouse,3A,0.89
ME_EN_ROOF_R44_XPS,Warehouse,3B,0.92
ME_EN_ROOF_R44_XPS,Warehouse,3C,0.88
ME_EN_ROOF_R44_XPS,Warehouse,4A,0.92
ME_EN_ROOF_R44_XPS,Warehouse,4B,0.88
ME_EN_ROOF_R44_XPS,Warehouse,4C,0.88
ME_EN_ROOF_R44_XPS,Warehouse,5A,0.86
ME_EN_ROOF_R44_XPS,Warehouse,5B,0.87
ME_EN_ROOF_R44_XPS,Warehouse,5C,0.86
ME_EN_ROOF_R44_XPS,Warehouse,6A,0.9
ME_EN_ROOF_R44_XPS,Warehouse,6B,0.93
ME_EN_ROOF_R44_XPS,Warehouse,6C,0.87
ME_EN_ROOF_R44_XPS,Warehouse,7A,0.87
ME_EN_ROOF_R44_XPS,Warehouse,7B,0.9
ME_EN_ROOF_R44_XPS,Warehouse,7C,0.92
ME_EN_ROOF_R40_MINERAL_WOOL,Office,1A,0.95
ME_EN_ROOF_R40_MINERAL_WOOL,Office,1B,0.9
ME_EN_ROOF_R40_MINERAL_WOOL,Office,1C,0.88
ME_EN_ROOF_R40_MINERAL_WOOL,Office,2A,0.86
ME_EN_ROOF_R40_MINERAL_WOOL,Office,2B,0.87
ME_EN_ROOF_R40_MINERAL_WOOL,Office,2C,0.87
ME_EN_ROOF_R40_MINERAL_WOOL,Office,3A,0.87
ME_EN_ROOF_R40_MINERAL_WOOL,Office,3B,0.85
ME_EN_ROOF_R40_MINERAL_WOOL,Office,3C,0.9
ME_EN_ROOF_R40_MINERAL_WOOL,Office,4A,0.88
ME_EN_ROOF_R40_MINERAL_WOOL,Office,4B,0.95
ME_EN_ROOF_R40_MINERAL_WOOL,Office,4C,0.91
ME_EN_ROOF_R40_MINERAL_WOOL,Office,5A,0.92
ME_EN_ROOF_R40_MINERAL_WOOL,Office,5B,0.86
ME_EN_ROOF_R40_MINERAL_WOOL,Office,5C,0.94
ME_EN_ROOF_R40_MINERAL_WOOL,Office,6A,0.9
ME_EN_ROOF_R40_MINERAL_WOOL,Office,6B,0.94
ME_EN_ROOF_R40_MINERAL_WOOL,Office,6C,0.91
ME_EN_ROOF_R40_MINERAL_WOOL,Office,7A,0.9
ME_EN_ROOF_R40_MINERAL_WOOL,Office,7B,0.89
ME_EN_ROOF_R40_MINERAL_WOOL,Office,7C,0.87
ME_EN_ROOF_R40_MINERAL_WOOL,School,1A,0.86
ME_EN_ROOF_R40_MINERAL_WOOL,School,1B,0.94
ME_EN_ROOF_R40_MINERAL_WOOL,School,1C,0.9
ME_EN_ROOF_R40_MINERAL_WOOL,School,2A,0.93
ME_EN_ROOF_R40_MINERAL_WOOL,School,2B,0.89
ME_EN_ROOF_R40_MINERAL_WOOL,School,2C,0.86
ME_EN_ROOF_R40_MINERAL_WOOL,School,3A,0.91
ME_EN_ROOF_R40_MINERAL_WOOL,School,3B,0.86
ME_EN_ROOF_R40_MINERAL_WOOL,School,3C,0.86
ME_EN_ROOF_R40_MINERAL_WOOL,School,4A,0.91
ME_EN_ROOF_R40_MINERAL_WOOL,School,4B,0.88
ME_EN_ROOF_R40_MINERAL_WOOL,School,4C,0.95
ME_EN_ROOF_R40_MINERAL_WOOL,School,5A,0.86
ME_EN_ROOF_R40_MINERAL_WOOL,School,5B,0.93
ME_EN_ROOF_R40_MINERAL_WOOL,School,5C,0.91
ME_EN_ROOF_R40_MINERAL_WOOL,School,6A,0.93
ME_EN_ROOF_R40_MINERAL_WOOL,School,6B,0.87
ME_EN_ROOF_R40_MINERAL_WOOL,School,6C,0.9
ME_EN_ROOF_R40_MINERAL_WOOL,School,7A,0.9
ME_EN_ROOF_R40_MINERAL_WOOL,School,7B,0.89
ME_EN_ROOF_R40_MINERAL_WOOL,School,7C,0.94
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,1A,0.95
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,1B,0.88
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,1C,0.91
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,2A,0.91
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,2B,0.92
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,2C,0.94
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,3A,0.87
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,3B,0.87
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,3C,0.92
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,4A,0.87
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,4B,0.87
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,4C,0.86
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,5A,0.85
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,5B,0.9
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,5C,0.91
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,6A,0.88
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,6B,0.87
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,6C,0.92
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,7A,0.92
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,7B,0.9
ME_EN_ROOF_R40_MINERAL_WOOL,Residential,7C,0.92
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,1A,0.94
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,1B,0.93
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,1C,0.91
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,2A,0.92
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,2B,0.94
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,2C,0.89
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,3A,0.9
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,3B,0.91
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,3C,0.94
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,4A,0.93
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,4B,0.86
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,4C,0.87
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,5A,0.88
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,5B,0.92
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,5C,0.91
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,6A,0.88
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,6B,0.86
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,6C,0.92
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,7A,0.92
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,7B,0.94
ME_EN_ROOF_R40_MINERAL_WOOL,Hospital,7C,0.9
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,1A,0.9
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,1B,0.86
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,1C,0.85
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,2A,0.89
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,2B,0.88
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,2C,0.88
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,3A,0.86
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,3B,0.95
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,3C,0.93
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,4A,0.91
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,4B,0.95
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,4C,0.95
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,5A,0.92
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,5B,0.88
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,5C,0.85
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,6A,0.93
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,6B,0.9
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,6C,0.92
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,7A,0.94
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,7B,0.87
ME_EN_ROOF_R40_MINERAL_WOOL,Retail,7C,0.91
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,1A,0.91
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,1B,0.9
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,1C,0.86
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,2A,0.88
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,2B,0.88
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,2C,0.92
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,3A,0.94
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,3B,0.88
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,3C,0.92
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,4A,0.88
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,4B,0.94
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,4C,0.93
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,5A,0.91
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,5B,0.9
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,5C,0.88
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,6A,0.88
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,6B,0.95
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,6C,0.89
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,7A,0.9
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,7B,0.95
ME_EN_ROOF_R40_MINERAL_WOOL,Warehouse,7C,0.92
ME_EN_AIR_SEALING,Office,1A,0.9
ME_EN_AIR_SEALING,Office,1B,0.89
ME_EN_AIR_SEALING,Office,1C,0.87
ME_EN_AIR_SEALING,Office,2A,0.89
ME_EN_AIR_SEALING,Office,2B,0.93
ME_EN_AIR_SEALING,Office,2C,0.91
ME_EN_AIR_SEALING,Office,3A,0.93
ME_EN_AIR_SEALING,Office,3B,0.87
ME_EN_AIR_SEALING,Office,3C,0.9
ME_EN_AIR_SEALING,Office,4A,0.94
ME_EN_AIR_SEALING,Office,4B,0.89
ME_EN_AIR_SEALING,Office,4C,0.92
ME_EN_AIR_SEALING,Office,5A,0.86
ME_EN_AIR_SEALING,Office,5B,0.95
ME_EN_AIR_SEALING,Office,5C,0.91
ME_EN_AIR_SEALING,Office,6A,0.87
ME_EN_AIR_SEALING,Office,6B,0.87
ME_EN_AIR_SEALING,Office,6C,0.91
ME_EN_AIR_SEALING,Office,7A,0.91
ME_EN_AIR_SEALING,Office,7B,0.86
ME_EN_AIR_SEALING,Office,7C,0.95
ME_EN_AIR_SEALING,School,1A,0.94
ME_EN_AIR_SEALING,School,1B,0.9
ME_EN_AIR_SEALING,School,1C,0.86
ME_EN_AIR_SEALING,School,2A,0.93
ME_EN_AIR_SEALING,School,2B,0.9
ME_EN_AIR_SEALING,School,2C,0.92
ME_EN_AIR_SEALING,School,3A,0.9
ME_EN_AIR_SEALING,School,3B,0.88
ME_EN_AIR_SEALING,School,3C,0.93
ME_EN_AIR_SEALING,School,4A,0.95
ME_EN_AIR_SEALING,School,4B,0.87
ME_EN_AIR_SEALING,School,4C,0.91
ME_EN_AIR_SEALING,School,5A,0.89
ME_EN_AIR_SEALING,School,5B,0.94
ME_EN_AIR_SEALING,School,5C,0.9
ME_EN_AIR_SEALING,School,6A,0.94
ME_EN_AIR_SEALING,School,6B,0.94
ME_EN_AIR_SEALING,School,6C,0.88
ME_EN_AIR_SEALING,School,7A,0.93
ME_EN_AIR_SEALING,School,7B,0.89
ME_EN_AIR_SEALING,School,7C,0.94
ME_EN_AIR_SEALING,Residential,1A,0.9
ME_EN_AIR_SEALING,Residential,1B,0.93
ME_EN_AIR_SEALING,Residential,1C,0.88
ME_EN_AIR_SEALING,Residential,2A,0.88
ME_EN_AIR_SEALING,Residential,2B,0.91
ME_EN_AIR_SEALING,Residential,2C,0.95
ME_EN_AIR_SEALING,Residential,3A,0.9
ME_EN_AIR_SEALING,Residential,3B,0.86
ME_EN_AIR_SEALING,Residential,3C,0.9
ME_EN_AIR_SEALING,Residential,4A,0.88
ME_EN_AIR_SEALING,Residential,4B,0.91
ME_EN_AIR_SEALING,Residential,4C,0.9
ME_EN_AIR_SEALING,Residential,5A,0.9
ME_EN_AIR_SEALING,Residential,5B,0.88
ME_EN_AIR_SEALING,Residential,5C,0.87
ME_EN_AIR_SEALING,Residential,6A,0.92
ME_EN_AIR_SEALING,Residential,6B,0.91
ME_EN_AIR_SEALING,Residential,6C,0.87
ME_EN_AIR_SEALING,Residential,7A,0.93
ME_EN_AIR_SEALING,Residential,7B,0.85
ME_EN_AIR_SEALING,Residential,7C,0.92
ME_EN_AIR_SEALING,Hospital,1A,0.92
ME_EN_AIR_SEALING,Hospital,1B,0.93
ME_EN_AIR_SEALING,Hospital,1C,0.89
ME_EN_AIR_SEALING,Hospital,2A,0.92
ME_EN_AIR_SEALING,Hospital,2B,0.93
ME_EN_AIR_SEALING,Hospital,2C,0.95
ME_EN_AIR_SEALING,Hospital,3A,0.9
ME_EN_AIR_SEALING,Hospital,3B,0.85
ME_EN_AIR_SEALING,Hospital,3C,0.9
ME_EN_AIR_SEALING,Hospital,4A,0.91
ME_EN_AIR_SEALING,Hospital,4B,0.94
ME_EN_AIR_SEALING,Hospital,4C,0.94
ME_EN_AIR_SEALING,Hospital,5A,0.89
ME_EN_AIR_SEALING,Hospital,5B,0.9
ME_EN_AIR_SEALING,Hospital,5C,0.9
ME_EN_AIR_SEALING,Hospital,6A,0.92
ME_EN_AIR_SEALING,Hospital,6B,0.89
ME_EN_AIR_SEALING,Hospital,6C,0.92
ME_EN_AIR_SEALING,Hospital,7A,0.87
ME_EN_AIR_SEALING,Hospital,7B,0.9
ME_EN_AIR_SEALING,Hospital,7C,0.95
ME_EN_AIR_SEALING,Retail,1A,0.88
ME_EN_AIR_SEALING,Retail,1B,0.92
ME_EN_AIR_SEALING,Retail,1C,0.91
ME_EN_AIR_SEALING,Retail,2A,0.94
ME_EN_AIR_SEALING,Retail,2B,0.94
ME_EN_AIR_SEALING,Retail,2C,0.94
ME_EN_AIR_SEALING,Retail,3A,0.89
ME_EN_AIR_SEALING,Retail,3B,0.88
ME_EN_AIR_SEALING,Retail,3C,0.92
ME_EN_AIR_SEALING,Retail,4A,0.93
ME_EN_AIR_SEALING,Retail,4B,0.94
ME_EN_AIR_SEALING,Retail,4C,0.85
ME_EN_AIR_SEALING,Retail,5A,0.86
ME_EN_AIR_SEALING,Retail,5B,0.91
ME_EN_AIR_SEALING,Retail,5C,0.94
ME_EN_AIR_SEALING,Retail,6A,0.95
ME_EN_AIR_SEALING,Retail,6B,0.92
ME_EN_AIR_SEALING,Retail,6C,0.89
ME_EN_AIR_SEALING,Retail,7A,0.86
ME_EN_AIR_SEALING,Retail,7B,0.91
ME_EN_AIR_SEALING,Retail,7C,0.94
ME_EN_AIR_SEALING,Warehouse,1A,0.89
ME_EN_AIR_SEALING,Warehouse,1B,0.92
ME_EN_AIR_SEALING,Warehouse,1C,0.94
ME_EN_AIR_SEALING,Warehouse,2A,0.85
ME_EN_AIR_SEALING,Warehouse,2B,0.93
ME_EN_AIR_SEALING,Warehouse,2C,0.88
ME_EN_AIR_SEALING,Warehouse,3A,0.89
ME_EN_AIR_SEALING,Warehouse,3B,0.86
ME_EN_AIR_SEALING,Warehouse,3C,0.9
ME_EN_AIR_SEALING,Warehouse,4A,0.91
ME_EN_AIR_SEALING,Warehouse,4B,0.93
ME_EN_AIR_SEALING,Warehouse,4C,0.87
ME_EN_AIR_SEALING,Warehouse,5A,0.86
ME_EN_AIR_SEALING,Warehouse,5B,0.94
ME_EN_AIR_SEALING,Warehouse,5C,0.91
ME_EN_AIR_SEALING,Warehouse,6A,0.87
ME_EN_AIR_SEALING,Warehouse,6B,0.94
ME_EN_AIR_SEALING,Warehouse,6C,0.86
ME_EN_AIR_SEALING,Warehouse,7A,0.9
ME_EN_AIR_SEALING,Warehouse,7B,0.88
ME_EN_AIR_SEALING,Warehouse,7C,0.88
ME_EN_WINDOW_U18,Office,1A,0.85
ME_EN_WINDOW_U18,Office,1B,0.93
ME_EN_WINDOW_U18,Office,1C,0.94
ME_EN_WINDOW_U18,Office,2A,0.92
ME_EN_WINDOW_U18,Office,2B,0.87
ME_EN_WINDOW_U18,Office,2C,0.89
ME_EN_WINDOW_U18,Office,3A,0.88
ME_EN_WINDOW_U18,Office,3B,0.91
ME_EN_WINDOW_U18,Office,3C,0.91
ME_EN_WINDOW_U18,Office,4A,0.89
ME_EN_WINDOW_U18,Office,4B,0.88
ME_EN_WINDOW_U18,Office,4C,0.93
ME_EN_WINDOW_U18,Office,5A,0.87
ME_EN_WINDOW_U18,Office,5B,0.89
ME_EN_WINDOW_U18,Office,5C,0.9
ME_EN_WINDOW_U18,Office,6A,0.87
ME_EN_WINDOW_U18,Office,6B,0.91
ME_EN_WINDOW_U18,Office,6C,0.91
ME_EN_WINDOW_U18,Office,7A,0.95
ME_EN_WINDOW_U18,Office,7B,0.88
ME_EN_WINDOW_U18,Office,7C,0.95
ME_EN_WINDOW_U18,School,1A,0.92
ME_EN_WINDOW_U18,School,1B,0.88
ME_EN_WINDOW_U18,School,1C,0.91
ME_EN_WINDOW_U18,School,2A,0.92
ME_EN_WINDOW_U18,School,2B,0.92
ME_EN_WINDOW_U18,School,2C,0.85
ME_EN_WINDOW_U18,School,3A,0.91
ME_EN_WINDOW_U18,School,3B,0.9
ME_EN_WINDOW_U18,School,3C,0.94
ME_EN_WINDOW_U18,School,4A,0.88
ME_EN_WINDOW_U18,School,4B,0.93
ME_EN_WINDOW_U18,School,4C,0.91
ME_EN_WINDOW_U18,School,5A,0.89
ME_EN_WINDOW_U18,School,5B,0.91
ME_EN_WINDOW_U18,School,5C,0.91
ME_EN_WINDOW_U18,School,6A,0.92
ME_EN_WINDOW_U18,School,6B,0.92
ME_EN_WINDOW_U18,School,6C,0.92
ME_EN_WINDOW_U18,School,7A,0.93
ME_EN_WINDOW_U18,School,7B,0.91
ME_EN_WINDOW_U18,School,7C,0.94
ME_EN_WINDOW_U18,Residential,1A,0.91
