case_id,case_type,magnitude_mw,peak_ground_acc_g,groundwater_depth_m,relative_density_percent,fines_content_percent,pore_pressure_ratio_peak,uplift_displacement_m,structural_damage_index,notes,groundwater_level_m,rainfall_event_mm,plasticity_index,sensitivity,slope_angle_deg,depth_to_slip_surface_m,pore_pressure_ratio,factor_of_safety,slip_surface_formed
CASE_CL_0026,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.6,165.0,22.6,11.87,19.3,8.37,0.813,0.749,1
CASE_CL_0027,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.24,182.6,22.9,8.95,25.1,12.88,0.883,0.74,1
CASE_CL_0028,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.15,76.7,48.8,14.33,10.1,9.89,0.499,1.018,0
CASE_CL_0029,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.97,154.6,23.6,3.58,9.6,6.52,0.735,0.876,1
CASE_CL_0030,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.88,33.9,34.9,14.38,15.4,4.8,0.315,1.214,0
CASE_CL_0031,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.57,106.2,31.6,13.82,6.2,5.41,0.638,0.884,1
CASE_CL_0032,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.43,144.3,40.5,10.05,9.3,2.75,0.65,0.829,1
CASE_CL_0033,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.19,120.6,37.1,11.9,26.5,9.85,0.66,0.886,1
CASE_CL_0034,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.74,38.5,46.5,12.44,15.3,10.42,0.353,1.171,0
CASE_CL_0035,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.72,69.5,39.2,2.15,14.5,5.21,0.4,1.027,0
CASE_CL_0036,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.59,173.9,32.8,11.38,28.7,11.99,0.861,0.722,1
CASE_CL_0037,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.68,271.1,10.4,8.74,16.1,2.61,0.95,0.706,1
CASE_CL_0038,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.35,39.6,29.9,9.73,10.3,12.63,0.318,1.15,0
CASE_CL_0039,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.13,96.4,29.2,10.26,22.3,11.14,0.472,1.042,0
CASE_CL_0040,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.43,235.5,26.7,12.47,21.8,7.69,0.95,0.675,1
CASE_CL_0041,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.85,105.1,30.2,17.42,19.9,6.56,0.573,0.973,1
CASE_CL_0042,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.01,139.6,17.4,13.26,18.9,10.8,0.635,0.934,1
CASE_CL_0043,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.55,103.9,36.2,11.71,20.6,10.2,0.568,1.043,0
CASE_CL_0044,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.75,122.7,21.2,11.84,19.4,6.99,0.707,0.845,1
CASE_CL_0045,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.8,66.0,45.3,17.88,13.1,10.56,0.414,1.019,0
CASE_CL_0046,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.25,172.4,38.2,21.51,15.4,5.84,0.837,0.609,1
CASE_CL_0047,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.68,213.1,27.4,6.26,18.4,7.35,0.95,0.665,1
CASE_CL_0048,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,-0.5,185.4,10.2,6.5,13.7,9.76,0.877,0.84,1
CASE_CL_0049,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.73,33.7,37.0,14.88,22.1,8.11,0.294,1.221,0
CASE_CL_0050,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.53,150.6,31.1,13.26,20.4,2.48,0.761,0.765,1
CASE_CL_0051,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.87,11.4,35.7,5.59,14.6,12.92,0.187,1.293,0
CASE_CL_0052,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.83,109.8,39.7,10.34,8.2,7.17,0.626,0.86,1
CASE_CL_0053,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,-0.02,72.0,34.8,14.99,23.3,7.19,0.492,0.991,1
CASE_CL_0054,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.66,45.5,24.5,5.46,22.2,5.19,0.297,1.313,0
CASE_CL_0055,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.51,60.9,21.2,10.47,17.8,6.38,0.442,1.18,0
CASE_CL_0056,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.05,222.9,27.2,9.86,21.6,7.77,0.95,0.666,1
CASE_CL_0057,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.06,137.7,7.7,7.63,20.8,6.99,0.703,0.982,1
CASE_CL_0058,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.23,141.3,15.9,7.96,28.7,9.62,0.665,0.88,1
CASE_CL_0059,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,-0.09,190.4,30.9,9.83,8.0,6.02,0.898,0.657,1
CASE_CL_0060,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.73,141.8,24.9,8.64,13.0,6.59,0.788,0.82,1
CASE_CL_0061,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.74,135.2,17.9,12.79,12.0,3.9,0.634,0.978,1
CASE_CL_0062,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.11,79.5,29.3,17.11,20.8,5.72,0.372,1.127,0
CASE_CL_0063,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,-0.37,58.4,19.5,12.87,12.7,8.22,0.289,1.199,0
CASE_CL_0064,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.69,68.1,26.3,14.64,26.2,10.56,0.348,1.194,0
CASE_CL_0065,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.23,112.7,34.8,10.73,20.3,12.77,0.575,0.958,1
CASE_CL_0066,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.11,10.0,29.9,19.78,17.2,5.05,0.097,1.447,0
CASE_CL_0067,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.8,134.8,21.0,11.97,23.1,2.0,0.642,0.969,1
CASE_CL_0068,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.32,104.1,20.9,9.31,14.6,5.66,0.569,0.98,1
CASE_CL_0069,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.09,73.4,39.0,13.11,18.6,5.04,0.473,1.013,0
CASE_CL_0070,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.11,263.6,31.4,15.55,21.4,2.5,0.95,0.583,1
CASE_CL_0071,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.27,211.8,32.4,12.76,16.8,8.34,0.95,0.612,1
CASE_CL_0072,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.83,43.4,31.5,17.85,19.0,4.85,0.411,1.122,0
CASE_CL_0073,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.96,137.5,40.4,15.28,14.7,6.41,0.724,0.718,1
CASE_CL_0074,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.67,82.8,47.0,13.06,13.9,7.99,0.493,0.892,1
CASE_CL_0075,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.85,216.7,39.2,17.65,9.5,11.49,0.95,0.5,1
CASE_CL_0076,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.42,60.5,22.6,11.5,14.5,7.54,0.389,1.135,0
CASE_CL_0077,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.52,183.6,27.0,14.87,25.2,10.22,0.93,0.636,1
CASE_CL_0078,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.58,10.0,38.0,17.83,25.1,4.35,0.194,1.325,0
CASE_CL_0079,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.13,201.7,20.4,21.1,17.9,7.31,0.897,0.675,1
CASE_CL_0080,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.95,57.3,34.9,11.1,17.4,8.46,0.439,1.069,0
CASE_CL_0081,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.4,72.9,31.5,12.57,14.4,9.96,0.492,0.991,1
CASE_CL_0082,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.22,169.3,28.8,15.4,21.7,7.72,0.896,0.746,1
CASE_CL_0083,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.66,175.1,31.4,7.33,28.7,5.3,0.875,0.661,1
CASE_CL_0084,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.1,99.0,29.3,17.36,18.1,7.47,0.586,1.048,0
CASE_CL_0085,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.4,143.2,39.5,21.66,9.5,6.37,0.752,0.825,1
CASE_CL_0086,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.78,95.3,28.0,4.95,26.6,13.91,0.508,1.008,0
CASE_CL_0087,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.66,77.1,39.7,14.42,16.8,10.6,0.389,1.121,0
CASE_CL_0088,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.95,112.6,28.0,16.86,19.5,6.24,0.585,0.968,1
CASE_CL_0089,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.75,39.0,26.3,10.87,15.4,8.91,0.376,1.134,0
CASE_CL_0090,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.08,10.0,46.1,16.37,17.5,8.88,0.184,1.133,0
CASE_CL_0091,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.53,197.7,31.9,12.64,15.8,11.49,0.916,0.622,1
CASE_CL_0092,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.17,123.8,26.5,10.15,14.8,12.87,0.628,0.943,1
CASE_CL_0093,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.73,164.3,16.0,15.25,17.1,8.19,0.755,0.927,1
CASE_CL_0094,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.82,64.4,30.0,12.65,19.7,12.49,0.417,1.068,0
CASE_CL_0095,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.68,150.2,36.0,14.85,14.7,7.52,0.701,0.854,1
CASE_CL_0096,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.03,111.2,29.7,19.63,14.4,4.52,0.609,0.96,1
CASE_CL_0097,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.73,148.8,31.1,13.51,17.0,12.82,0.72,0.853,1
CASE_CL_0098,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.33,177.1,30.5,8.04,26.3,5.61,0.862,0.699,1
CASE_CL_0099,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.94,10.0,28.1,15.16,15.4,9.11,0.286,1.296,0
CASE_CL_0100,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.52,103.4,24.7,18.09,16.8,11.61,0.553,0.986,1
CASE_CL_0101,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.9,132.1,30.9,12.98,26.2,5.79,0.675,0.867,1
CASE_CL_0102,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.78,154.6,23.8,13.98,15.0,6.05,0.759,0.868,1
CASE_CL_0103,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.79,73.1,27.1,10.34,26.6,8.69,0.412,1.07,0
CASE_CL_0104,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.91,94.9,11.4,9.02,9.7,5.78,0.484,1.186,0
CASE_CL_0105,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,-0.25,149.8,21.3,12.25,25.4,2.86,0.737,0.815,1
CASE_CL_0106,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.15,145.3,18.4,10.9,23.9,9.11,0.707,0.954,1
CASE_CL_0107,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.31,63.0,18.0,10.73,21.9,6.19,0.306,1.29,0
CASE_CL_0108,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.77,137.5,23.3,11.09,26.9,5.76,0.677,0.821,1
CASE_CL_0109,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.9,109.3,22.7,9.47,17.5,9.95,0.567,1.087,0
CASE_CL_0110,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.22,126.9,25.3,17.18,10.7,2.0,0.625,0.934,1
CASE_CL_0111,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.56,234.1,25.9,7.68,18.7,8.3,0.95,0.644,1
CASE_CL_0112,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.75,223.2,21.6,7.14,10.7,11.47,0.95,0.742,1
CASE_CL_0113,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.75,247.3,22.9,19.64,21.5,7.07,0.95,0.603,1
CASE_CL_0114,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.79,216.9,7.0,13.68,16.5,4.01,0.95,0.671,1
CASE_CL_0115,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.18,184.2,33.8,11.89,12.9,6.31,0.915,0.753,1
CASE_CL_0116,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.32,69.6,16.8,19.55,17.7,11.06,0.419,1.133,0
CASE_CL_0117,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.58,23.6,8.8,6.66,20.8,6.05,0.22,1.409,0
CASE_CL_0118,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.7,69.4,27.3,11.83,17.8,7.96,0.397,1.209,0
CASE_CL_0119,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.9,72.5,24.4,10.24,15.8,6.65,0.544,1.049,0
CASE_CL_0120,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.71,66.6,12.5,21.31,16.2,9.56,0.383,1.208,0
CASE_CL_0121,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.16,209.9,27.7,11.23,11.6,10.88,0.95,0.625,1
CASE_CL_0122,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.56,103.2,27.6,9.67,8.0,8.0,0.569,0.984,1
CASE_CL_0123,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.64,134.2,31.0,7.43,19.2,9.04,0.701,0.818,1
CASE_CL_0124,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.02,218.8,16.3,12.75,18.5,10.66,0.95,0.6,1
CASE_CL_0125,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.16,43.6,40.4,15.24,28.8,7.2,0.329,1.183,0
CASE_CL_0126,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.63,213.3,35.3,17.0,12.9,10.95,0.859,0.65,1
CASE_CL_0127,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.82,106.3,42.1,10.34,21.5,5.92,0.55,1.038,0
CASE_CL_0128,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.57,168.9,34.0,16.55,19.8,7.86,0.794,0.678,1
CASE_CL_0129,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.0,39.7,30.6,12.55,14.1,6.16,0.287,1.251,0
CASE_CL_0130,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,-0.28,13.4,31.7,9.18,14.8,8.72,0.198,1.337,0
CASE_CL_0131,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.56,61.6,16.5,9.09,21.9,9.27,0.369,1.153,0
CASE_CL_0132,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.52,149.0,10.3,9.96,20.2,5.22,0.777,0.815,1
CASE_CL_0133,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.09,196.2,19.4,13.21,20.5,10.27,0.888,0.755,1
CASE_CL_0134,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.73,196.7,12.0,17.4,15.5,2.39,0.889,0.744,1
CASE_CL_0135,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.16,77.1,31.6,8.81,12.9,11.37,0.498,0.976,1
CASE_CL_0136,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.87,213.3,17.7,6.31,21.3,9.42,0.95,0.714,1
CASE_CL_0137,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.75,188.6,39.2,19.78,28.3,9.7,0.84,0.636,1
CASE_CL_0138,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.43,138.3,25.9,12.65,17.9,11.91,0.722,0.844,1
CASE_CL_0139,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.24,10.0,11.8,12.17,14.9,8.69,0.178,1.368,0
CASE_CL_0140,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.64,206.0,24.1,16.21,11.7,7.78,0.95,0.699,1
CASE_CL_0141,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.9,97.8,33.4,22.89,11.9,7.36,0.627,0.903,1
CASE_CL_0142,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.11,201.4,17.5,16.45,16.5,8.42,0.95,0.659,1
CASE_CL_0143,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.29,157.8,41.4,15.19,19.8,8.04,0.763,0.727,1
CASE_CL_0144,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.73,90.2,33.3,12.9,23.4,7.81,0.5,0.913,1
CASE_CL_0145,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,1.97,200.8,35.5,19.26,21.0,4.94,0.923,0.645,1
CASE_CL_0146,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.49,42.6,19.4,18.65,20.9,4.87,0.298,1.208,0
CASE_CL_0147,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,2.44,77.2,36.9,17.92,22.7,8.5,0.442,1.042,0
CASE_CL_0148,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,0.25,113.6,31.7,11.98,14.5,13.47,0.559,1.066,0
CASE_CL_0149,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,-0.15,101.4,28.5,16.45,20.6,9.47,0.474,1.038,0
CASE_CL_0150,clay_slip_surface,,,,,,,,,Sensitive clay progressive failure scenario,-0.43,209.9,35.2,17.28,12.9,11.51,0.902,0.688,1
