sample_id,liquid_limit,plastic_limit,plasticity_index,preconsolidation_stress_kpa,vertical_effective_stress_kpa,ocr,natural_water_content_percent,su_kpa,sensitivity,pore_pressure_ratio,clay_mineral,log10_k_m_per_s
CLAY_00227,57.0,35.2,21.9,504.4,149.0,3.39,38.0,8.0,7.54,0.305,illite-mixed,-9.759
CLAY_00228,56.9,19.4,37.6,621.6,199.3,3.12,46.6,8.2,8.51,0.46,illite-mixed,-10.179
CLAY_00229,64.6,15.8,48.8,368.6,189.7,1.94,43.2,18.7,7.61,0.5,smectite-rich,-9.857
CLAY_00230,50.6,20.6,30.0,547.9,248.8,2.2,27.1,8.0,9.79,0.42,illite-mixed,-10.46
CLAY_00231,47.6,16.5,31.1,440.9,162.7,2.71,54.7,16.5,5.07,0.313,illite-mixed,-10.094
CLAY_00232,58.5,26.2,32.3,368.0,135.7,2.71,44.4,14.1,8.05,0.456,illite-mixed,-9.674
CLAY_00233,32.1,24.7,7.4,524.6,155.2,3.38,39.7,9.4,5.55,0.235,kaolinite-dominant,-9.447
CLAY_00234,61.0,24.8,36.2,152.1,99.7,1.52,55.6,19.0,3.75,0.505,illite-mixed,-9.873
CLAY_00235,59.1,22.8,36.4,811.3,237.8,3.41,52.0,9.4,8.9,0.423,illite-mixed,-10.04
CLAY_00236,25.0,21.8,7.0,284.2,97.2,2.92,39.3,9.1,5.71,0.366,kaolinite-dominant,-9.483
CLAY_00237,35.7,29.9,7.0,556.2,172.0,3.23,26.4,16.5,3.22,0.186,kaolinite-dominant,-9.74
CLAY_00238,52.3,19.6,32.8,158.7,51.2,3.1,56.0,8.0,5.66,0.379,illite-mixed,-10.173
CLAY_00239,67.0,30.5,36.6,570.9,167.2,3.41,44.5,10.0,5.3,0.514,illite-mixed,-9.983
CLAY_00240,91.2,29.4,61.8,283.2,147.2,1.92,70.2,8.0,7.55,0.655,smectite-rich,-10.814
CLAY_00241,50.4,28.4,22.0,160.0,115.4,1.39,49.2,8.0,6.97,0.351,illite-mixed,-9.712
CLAY_00242,75.2,29.8,45.4,564.1,196.1,2.88,50.1,24.3,7.63,0.486,smectite-rich,-9.831
CLAY_00243,69.1,33.6,35.5,737.8,259.5,2.84,46.0,11.0,9.29,0.447,illite-mixed,-10.982
CLAY_00244,58.9,38.2,20.7,336.5,164.7,2.04,43.5,16.6,5.96,0.479,illite-mixed,-9.437
CLAY_00245,67.7,17.0,50.6,319.5,102.8,3.11,58.7,12.9,7.19,0.525,smectite-rich,-10.197
CLAY_00246,70.1,26.1,44.1,264.7,128.1,2.07,27.7,8.3,8.04,0.592,smectite-rich,-10.103
CLAY_00247,50.1,30.3,19.8,641.2,204.9,3.13,47.0,8.0,5.44,0.359,kaolinite-dominant,-9.791
CLAY_00248,47.4,15.1,32.3,41.7,32.0,1.3,44.0,8.0,12.25,0.453,illite-mixed,-10.249
CLAY_00249,34.2,31.0,7.0,311.1,131.3,2.37,31.6,8.0,11.6,0.305,kaolinite-dominant,-8.93
CLAY_00250,62.1,16.6,45.5,344.1,158.2,2.17,33.5,8.0,13.28,0.507,smectite-rich,-10.386
CLAY_00251,48.8,20.6,28.2,132.5,112.7,1.18,47.7,8.0,5.76,0.514,illite-mixed,-9.075
CLAY_00252,56.2,25.2,31.1,190.1,96.2,1.98,47.3,8.0,6.58,0.424,illite-mixed,-9.429
CLAY_00253,79.2,22.5,56.6,681.6,200.7,3.4,60.0,18.5,10.82,0.62,smectite-rich,-10.857
CLAY_00254,45.5,18.2,27.2,106.9,97.6,1.09,45.6,13.3,11.14,0.434,illite-mixed,-10.765
CLAY_00255,71.1,29.5,41.6,322.2,127.9,2.52,52.8,8.0,11.23,0.475,smectite-rich,-10.653
CLAY_00256,45.5,28.2,17.3,456.7,140.9,3.24,52.1,8.0,7.49,0.221,kaolinite-dominant,-9.672
CLAY_00257,81.5,28.5,53.0,511.7,178.3,2.87,53.3,8.0,11.72,0.478,smectite-rich,-10.89
CLAY_00258,47.4,16.6,30.7,191.4,128.4,1.49,50.1,8.0,1.73,0.451,illite-mixed,-9.965
CLAY_00259,57.9,38.2,19.6,93.5,42.4,2.21,28.1,19.8,3.21,0.335,kaolinite-dominant,-9.749
CLAY_00260,70.0,18.7,51.3,509.7,181.9,2.8,75.4,8.0,12.82,0.556,smectite-rich,-10.633
CLAY_00261,42.8,26.0,16.8,320.5,132.5,2.42,46.0,8.0,9.52,0.472,kaolinite-dominant,-9.4
CLAY_00262,57.4,25.5,31.9,163.0,135.9,1.2,42.3,16.7,8.05,0.361,illite-mixed,-10.19
CLAY_00263,58.0,34.0,24.0,597.0,202.3,2.95,62.8,15.0,11.75,0.374,illite-mixed,-9.47
CLAY_00264,61.8,22.2,39.6,989.1,324.2,3.05,45.6,8.0,6.37,0.457,illite-mixed,-10.484
CLAY_00265,44.7,38.3,7.0,390.1,160.1,2.44,36.9,9.4,5.02,0.25,kaolinite-dominant,-9.662
CLAY_00266,37.9,25.4,12.5,280.0,199.9,1.4,42.5,8.0,8.24,0.324,kaolinite-dominant,-9.49
CLAY_00267,32.9,25.3,7.6,312.8,143.2,2.18,40.2,8.0,6.85,0.199,kaolinite-dominant,-9.263
CLAY_00268,61.9,34.0,27.9,193.5,180.6,1.07,40.7,8.0,4.86,0.443,illite-mixed,-10.248
CLAY_00269,34.1,29.9,7.0,482.4,179.2,2.69,35.9,8.9,2.93,0.304,kaolinite-dominant,-9.195
CLAY_00270,58.6,26.5,32.1,462.2,166.6,2.77,59.5,13.1,10.05,0.42,illite-mixed,-10.42
CLAY_00271,25.0,20.2,7.0,467.9,247.6,1.89,34.9,8.0,1.2,0.283,kaolinite-dominant,-9.822
CLAY_00272,33.2,27.5,7.0,770.6,227.6,3.39,32.4,9.2,2.19,0.192,kaolinite-dominant,-9.675
CLAY_00273,65.5,22.9,42.6,507.0,223.4,2.27,58.7,14.9,3.65,0.538,smectite-rich,-9.658
CLAY_00274,63.0,29.1,33.9,86.5,25.0,3.46,49.8,16.1,5.98,0.444,illite-mixed,-9.019
CLAY_00275,34.5,29.5,7.0,92.4,64.3,1.44,35.7,8.0,9.05,0.332,kaolinite-dominant,-9.984
CLAY_00276,55.6,30.8,24.7,360.8,154.8,2.33,29.2,8.0,8.27,0.368,illite-mixed,-10.433
CLAY_00277,78.5,16.1,62.4,485.5,194.7,2.49,49.7,8.0,5.69,0.608,smectite-rich,-10.393
CLAY_00278,37.2,18.3,18.8,358.9,198.9,1.8,39.5,8.0,6.9,0.399,kaolinite-dominant,-9.85
CLAY_00279,41.4,35.3,7.0,729.8,210.0,3.48,47.1,8.0,7.19,0.222,kaolinite-dominant,-9.929
CLAY_00280,45.6,23.9,21.7,438.4,141.3,3.1,28.2,8.0,10.98,0.36,illite-mixed,-9.316
CLAY_00281,79.8,21.8,58.0,396.3,202.6,1.96,64.1,8.0,13.28,0.626,smectite-rich,-10.469
CLAY_00282,46.1,16.9,29.2,208.1,96.9,2.15,43.3,11.5,14.1,0.373,illite-mixed,-10.181
CLAY_00283,55.2,28.7,26.6,449.9,168.8,2.66,39.7,8.0,12.3,0.43,illite-mixed,-9.79
CLAY_00284,52.7,33.6,19.2,652.4,278.9,2.34,37.9,8.3,2.77,0.419,kaolinite-dominant,-9.841
CLAY_00285,26.8,18.2,8.6,599.9,278.9,2.15,43.2,8.0,6.12,0.258,kaolinite-dominant,-9.447
CLAY_00286,62.6,34.1,28.5,186.5,169.3,1.1,47.9,8.0,8.95,0.549,illite-mixed,-10.233
CLAY_00287,50.4,39.2,11.2,278.3,170.4,1.63,30.0,8.0,4.69,0.283,kaolinite-dominant,-9.663
CLAY_00288,64.0,20.3,43.7,235.0,90.4,2.6,55.2,9.1,10.09,0.524,smectite-rich,-10.931
CLAY_00289,72.2,37.8,34.4,196.5,92.9,2.11,48.8,8.0,8.99,0.34,illite-mixed,-9.619
CLAY_00290,68.2,31.0,37.2,231.7,164.2,1.41,48.1,8.0,5.06,0.389,illite-mixed,-10.699
CLAY_00291,56.5,21.1,35.3,83.8,35.7,2.35,32.7,18.6,8.8,0.454,illite-mixed,-10.396
CLAY_00292,56.3,18.7,37.6,40.0,25.0,1.6,48.6,8.0,2.79,0.417,illite-mixed,-10.029
CLAY_00293,25.0,14.6,10.4,412.3,179.3,2.3,42.2,13.3,4.73,0.309,kaolinite-dominant,-8.944
CLAY_00294,60.1,29.3,30.8,40.0,27.1,1.48,43.0,8.0,9.16,0.44,illite-mixed,-9.282
CLAY_00295,67.3,16.8,50.5,490.9,233.8,2.1,44.4,8.0,9.08,0.549,smectite-rich,-10.636
CLAY_00296,69.7,27.5,42.3,742.7,222.5,3.34,36.7,12.5,8.94,0.538,smectite-rich,-10.871
CLAY_00297,79.2,29.2,50.0,253.9,217.0,1.17,51.1,8.0,7.92,0.515,smectite-rich,-9.925
CLAY_00298,51.5,24.7,26.8,188.6,130.4,1.45,47.5,8.0,7.35,0.411,illite-mixed,-9.778
CLAY_00299,37.9,29.5,8.4,227.8,79.4,2.87,34.0,13.8,5.65,0.314,kaolinite-dominant,-9.685
CLAY_00300,25.0,22.9,7.0,321.1,153.5,2.09,39.5,8.0,2.88,0.304,kaolinite-dominant,-9.691
CLAY_00301,46.1,22.0,24.1,272.7,164.6,1.66,34.7,8.0,7.68,0.479,illite-mixed,-10.38
CLAY_00302,36.0,28.9,7.1,237.0,122.5,1.93,26.1,8.0,4.33,0.244,kaolinite-dominant,-9.42
CLAY_00303,66.1,36.9,29.2,383.0,170.5,2.25,31.0,18.3,6.47,0.445,illite-mixed,-10.654
CLAY_00304,43.7,38.8,7.0,528.9,191.4,2.76,20.6,8.0,2.83,0.306,kaolinite-dominant,-9.682
CLAY_00305,53.4,27.2,26.2,432.4,163.4,2.65,42.7,16.4,8.09,0.371,illite-mixed,-10.427
CLAY_00306,70.4,25.3,45.1,917.2,264.2,3.47,58.3,12.8,6.71,0.504,smectite-rich,-9.201
CLAY_00307,56.9,16.0,40.9,160.3,49.7,3.23,49.8,8.0,6.93,0.428,smectite-rich,-9.374
CLAY_00308,50.5,33.3,17.2,454.9,167.5,2.72,51.5,8.0,1.2,0.281,kaolinite-dominant,-9.691
CLAY_00309,51.2,31.8,19.4,195.9,82.5,2.37,36.4,20.8,2.99,0.3,kaolinite-dominant,-9.818
CLAY_00310,25.0,17.2,7.8,684.6,223.0,3.07,23.5,17.3,1.75,0.31,kaolinite-dominant,-9.375
CLAY_00311,71.4,21.3,50.1,352.5,144.2,2.44,59.1,8.0,12.4,0.582,smectite-rich,-10.121
CLAY_00312,58.4,30.6,27.8,465.7,269.6,1.73,41.9,8.0,1.2,0.298,illite-mixed,-10.048
CLAY_00313,87.2,26.3,60.8,333.2,122.4,2.72,59.7,24.0,8.28,0.602,smectite-rich,-11.305
CLAY_00314,55.0,33.7,21.2,350.4,140.8,2.49,39.2,10.0,8.0,0.371,illite-mixed,-9.751
CLAY_00315,27.2,23.5,7.0,223.7,154.8,1.44,39.9,8.0,7.13,0.2,kaolinite-dominant,-10.324
CLAY_00316,83.4,32.0,51.4,357.9,115.5,3.1,53.5,8.0,7.29,0.598,smectite-rich,-9.773
CLAY_00317,65.9,24.0,42.0,230.3,159.6,1.44,51.0,8.0,7.19,0.516,smectite-rich,-10.2
CLAY_00318,37.9,26.2,11.7,56.1,37.9,1.48,34.5,8.0,4.76,0.307,kaolinite-dominant,-9.462
CLAY_00319,50.7,24.3,26.3,86.5,61.3,1.41,37.4,8.0,4.21,0.43,illite-mixed,-9.613
CLAY_00320,76.7,41.2,35.5,210.0,71.8,2.93,44.7,8.0,4.71,0.448,illite-mixed,-10.112
CLAY_00321,38.6,32.9,7.0,396.4,179.3,2.21,46.8,14.1,5.55,0.352,kaolinite-dominant,-9.722
CLAY_00322,43.4,28.8,14.6,623.4,182.7,3.41,38.1,8.0,3.97,0.364,kaolinite-dominant,-9.197
CLAY_00323,33.9,31.8,7.0,254.1,119.9,2.12,34.1,8.3,5.32,0.233,kaolinite-dominant,-9.711
CLAY_00324,33.7,27.3,7.0,379.9,193.1,1.97,33.0,8.0,1.58,0.313,kaolinite-dominant,-9.888
CLAY_00325,52.4,32.2,20.2,289.1,114.1,2.53,53.0,8.0,6.08,0.403,illite-mixed,-9.739
CLAY_00326,56.8,20.3,36.4,53.0,25.0,2.12,48.1,19.8,7.29,0.464,illite-mixed,-10.328
CLAY_00327,45.4,32.9,12.5,209.9,140.1,1.5,47.1,8.0,7.49,0.271,kaolinite-dominant,-9.827
CLAY_00328,53.9,19.0,34.9,169.7,88.5,1.92,48.3,9.6,7.83,0.493,illite-mixed,-9.742
CLAY_00329,35.0,27.2,7.8,489.9,206.8,2.37,29.2,8.9,4.08,0.227,kaolinite-dominant,-9.784
CLAY_00330,37.7,29.8,7.8,791.6,291.9,2.71,34.9,9.1,1.2,0.289,kaolinite-dominant,-9.711
CLAY_00331,57.9,18.9,39.0,267.9,140.0,1.91,40.7,13.5,10.53,0.416,illite-mixed,-10.009
CLAY_00332,58.9,20.2,38.7,892.9,270.2,3.31,40.6,8.0,7.51,0.555,illite-mixed,-9.708
CLAY_00333,51.6,24.5,27.1,157.5,47.0,3.35,45.4,8.0,4.15,0.386,illite-mixed,-10.302
CLAY_00334,55.1,30.9,24.2,232.6,111.8,2.08,47.1,8.0,6.88,0.465,illite-mixed,-10.016
CLAY_00335,81.4,22.7,58.8,222.3,179.0,1.24,64.2,8.0,10.62,0.659,smectite-rich,-10.867
CLAY_00336,51.7,17.7,34.1,480.9,227.8,2.11,45.3,8.0,6.14,0.392,illite-mixed,-9.559
CLAY_00337,28.9,25.5,7.0,153.1,87.5,1.75,42.6,11.6,7.39,0.283,kaolinite-dominant,-9.141
CLAY_00338,34.2,16.7,17.5,208.2,140.3,1.48,43.1,8.0,5.64,0.325,kaolinite-dominant,-9.47
CLAY_00339,52.1,32.1,20.0,275.3,96.0,2.87,39.4,8.0,4.64,0.356,illite-mixed,-8.988
CLAY_00340,61.0,16.3,44.7,328.6,224.2,1.47,42.2,8.0,8.54,0.526,smectite-rich,-10.034
CLAY_00341,49.8,42.8,7.0,502.7,212.4,2.37,44.3,9.2,7.2,0.257,kaolinite-dominant,-10.035
CLAY_00342,70.6,27.8,42.7,457.7,168.8,2.71,49.9,8.0,4.95,0.496,smectite-rich,-11.207
CLAY_00343,48.4,24.3,24.1,382.2,177.1,2.16,31.5,8.0,4.11,0.405,illite-mixed,-10.096
CLAY_00344,59.6,30.1,29.5,261.0,108.3,2.41,59.4,11.2,2.39,0.443,illite-mixed,-9.48
CLAY_00345,73.3,12.0,61.3,464.1,165.0,2.81,56.0,8.0,9.74,0.649,smectite-rich,-10.113
CLAY_00346,28.7,23.5,7.0,62.0,25.0,2.48,40.6,8.0,2.43,0.273,kaolinite-dominant,-9.898
CLAY_00347,28.2,12.0,16.2,257.2,138.4,1.86,39.4,10.8,9.77,0.34,kaolinite-dominant,-9.405
CLAY_00348,25.0,21.4,7.0,680.4,199.5,3.41,52.1,11.6,5.45,0.182,kaolinite-dominant,-9.63
CLAY_00349,52.7,27.3,25.5,126.4,85.8,1.47,42.7,8.0,8.27,0.338,illite-mixed,-10.001
CLAY_00350,72.3,31.2,41.1,177.3,94.3,1.88,49.3,8.0,5.78,0.498,smectite-rich,-9.352
CLAY_00351,57.4,33.5,23.9,373.3,120.2,3.11,47.9,9.4,4.29,0.408,illite-mixed,-9.82
CLAY_00352,52.9,15.6,37.3,445.2,177.4,2.51,47.2,17.6,3.94,0.368,illite-mixed,-10.671
CLAY_00353,26.9,16.1,10.7,467.4,225.2,2.08,37.2,8.0,7.58,0.306,kaolinite-dominant,-9.956
CLAY_00354,73.5,32.8,40.7,228.0,156.9,1.45,58.3,9.1,6.8,0.457,smectite-rich,-10.479
CLAY_00355,66.4,32.4,34.0,331.0,198.4,1.67,47.7,8.0,4.68,0.448,illite-mixed,-10.212
CLAY_00356,42.2,23.0,19.3,395.0,117.7,3.36,31.9,8.0,10.65,0.246,kaolinite-dominant,-9.198
CLAY_00357,75.3,39.5,35.9,147.7,104.4,1.41,49.0,8.0,5.58,0.464,illite-mixed,-10.401
CLAY_00358,60.6,21.7,39.0,144.5,96.4,1.5,46.6,9.1,5.5,0.457,illite-mixed,-10.719
CLAY_00359,51.8,27.0,24.8,126.5,37.2,3.4,47.7,8.0,6.91,0.345,illite-mixed,-10.104
CLAY_00360,50.1,28.1,22.0,546.8,308.9,1.77,31.8,16.5,8.39,0.323,illite-mixed,-10.306
CLAY_00361,54.6,23.5,31.0,431.1,151.2,2.85,47.3,8.0,2.99,0.443,illite-mixed,-9.731
CLAY_00362,64.2,24.0,40.2,250.1,153.5,1.63,53.4,8.0,9.58,0.442,smectite-rich,-10.5
CLAY_00363,44.2,34.7,9.5,482.7,178.1,2.71,35.5,8.0,5.14,0.339,kaolinite-dominant,-9.402
CLAY_00364,43.0,27.5,15.5,241.3,148.3,1.63,32.5,8.0,3.65,0.283,kaolinite-dominant,-9.858
CLAY_00365,66.8,27.5,39.4,242.6,94.6,2.56,44.0,8.0,5.57,0.523,illite-mixed,-10.193
CLAY_00366,65.6,30.1,35.5,631.0,193.0,3.27,37.5,8.0,10.71,0.452,illite-mixed,-10.238
CLAY_00367,52.1,27.0,25.1,603.6,195.9,3.08,59.7,8.0,8.38,0.443,illite-mixed,-10.295
CLAY_00368,49.9,15.8,34.1,231.3,111.3,2.08,58.4,13.6,7.93,0.492,illite-mixed,-11.023
CLAY_00369,59.6,34.1,25.5,613.3,214.6,2.86,49.2,8.0,9.24,0.387,illite-mixed,-9.319
CLAY_00370,91.3,31.5,59.9,396.7,177.8,2.23,51.4,8.0,5.46,0.528,smectite-rich,-11.093
CLAY_00371,40.3,27.9,12.3,608.6,176.8,3.44,23.8,8.0,4.97,0.296,kaolinite-dominant,-9.473
CLAY_00372,62.1,29.2,32.9,259.9,165.1,1.57,39.6,8.0,8.58,0.58,illite-mixed,-9.388
CLAY_00373,52.3,30.6,21.7,665.4,194.3,3.42,38.2,8.0,13.87,0.392,illite-mixed,-9.901
CLAY_00374,45.3,31.1,14.2,530.3,212.0,2.5,43.1,8.0,6.29,0.253,kaolinite-dominant,-9.643
CLAY_00375,60.3,33.2,27.0,244.3,89.1,2.74,47.1,8.0,8.25,0.282,illite-mixed,-10.001
CLAY_00376,31.5,27.3,7.0,164.9,119.9,1.38,31.8,8.0,7.03,0.19,kaolinite-dominant,-9.844
CLAY_00377,36.0,28.5,7.4,323.3,141.9,2.28,52.0,8.0,9.24,0.376,kaolinite-dominant,-9.555
CLAY_00378,62.1,32.7,29.4,388.2,201.8,1.92,54.0,8.0,9.15,0.389,illite-mixed,-10.014
CLAY_00379,54.7,25.3,29.3,323.8,210.0,1.54,46.2,8.0,2.89,0.481,illite-mixed,-9.16
CLAY_00380,66.2,42.8,23.3,395.6,187.5,2.11,54.5,8.0,4.77,0.42,illite-mixed,-10.296
CLAY_00381,62.6,31.1,31.5,76.8,73.7,1.04,40.9,8.0,4.38,0.452,illite-mixed,-9.681
CLAY_00382,41.8,29.9,11.8,396.0,135.8,2.92,58.4,8.0,7.51,0.343,kaolinite-dominant,-9.795
CLAY_00383,57.2,34.3,22.9,211.4,99.1,2.13,50.9,8.0,2.99,0.343,illite-mixed,-9.438
CLAY_00384,76.4,26.1,50.3,698.4,218.7,3.19,53.1,18.6,7.06,0.496,smectite-rich,-10.574
CLAY_00385,51.0,29.3,21.7,483.1,315.6,1.53,50.4,8.0,7.35,0.336,illite-mixed,-9.106
CLAY_00386,51.4,21.9,29.5,211.0,209.0,1.01,41.5,9.5,5.96,0.455,illite-mixed,-9.647
CLAY_00387,82.1,13.0,69.0,52.0,46.9,1.11,53.4,8.0,7.42,0.668,smectite-rich,-10.839
CLAY_00388,51.5,40.9,10.5,407.7,212.1,1.92,39.9,11.3,7.16,0.343,kaolinite-dominant,-9.409
CLAY_00389,60.3,27.8,32.5,70.2,25.0,2.81,49.1,8.0,5.95,0.471,illite-mixed,-9.903
CLAY_00390,45.3,25.7,19.7,156.6,106.1,1.48,34.7,8.0,9.86,0.351,kaolinite-dominant,-10.357
CLAY_00391,64.1,35.8,28.3,278.0,253.7,1.1,58.1,8.0,9.82,0.45,illite-mixed,-10.041
CLAY_00392,31.4,28.6,7.0,122.4,105.3,1.16,25.8,8.0,2.41,0.271,kaolinite-dominant,-9.119
CLAY_00393,56.6,27.4,29.2,671.0,211.7,3.17,41.9,8.0,7.45,0.478,illite-mixed,-9.787
CLAY_00394,56.9,24.0,32.9,475.9,159.1,2.99,50.3,8.0,3.83,0.338,illite-mixed,-10.417
CLAY_00395,50.7,23.3,27.4,283.6,238.3,1.19,39.2,8.0,4.76,0.435,illite-mixed,-9.62
CLAY_00396,32.8,29.9,7.0,290.6,179.7,1.62,37.5,12.9,4.05,0.229,kaolinite-dominant,-9.68
CLAY_00397,66.6,30.6,36.0,291.2,137.1,2.12,43.7,8.6,8.82,0.507,illite-mixed,-9.819
CLAY_00398,53.8,32.2,21.6,432.8,195.0,2.22,32.3,8.0,7.13,0.29,illite-mixed,-9.363
CLAY_00399,43.6,20.5,23.0,40.0,25.0,1.6,43.2,8.0,11.12,0.271,illite-mixed,-9.824
CLAY_00400,66.3,26.4,39.9,460.3,131.5,3.5,48.6,8.1,9.11,0.467,illite-mixed,-10.262
CLAY_00401,30.2,24.6,7.0,477.4,211.3,2.26,32.0,14.2,2.25,0.286,kaolinite-dominant,-9.185
CLAY_00402,46.7,16.3,30.3,309.1,184.3,1.68,42.5,9.4,8.87,0.402,illite-mixed,-10.439
CLAY_00403,49.3,28.2,21.1,157.8,126.4,1.25,40.5,8.0,5.61,0.286,illite-mixed,-10.153
CLAY_00404,50.1,22.2,27.9,420.4,142.8,2.94,59.3,13.0,10.72,0.382,illite-mixed,-9.626
CLAY_00405,34.5,21.7,12.8,110.5,76.7,1.44,47.5,8.0,10.27,0.289,kaolinite-dominant,-9.462
CLAY_00406,25.0,17.5,7.5,203.8,127.0,1.6,40.4,15.2,8.09,0.261,kaolinite-dominant,-8.933
CLAY_00407,54.2,28.7,25.4,123.4,43.3,2.85,33.8,15.0,5.45,0.439,illite-mixed,-9.393
CLAY_00408,33.3,14.8,18.6,430.3,152.9,2.81,32.9,8.0,6.69,0.297,kaolinite-dominant,-9.338
CLAY_00409,56.2,29.4,26.8,40.0,25.0,1.6,62.9,8.0,10.65,0.43,illite-mixed,-10.387
CLAY_00410,61.4,28.0,33.4,393.7,128.3,3.07,43.2,17.4,5.85,0.391,illite-mixed,-10.978
CLAY_00411,59.4,20.3,39.1,234.4,76.7,3.06,39.6,8.0,4.1,0.45,illite-mixed,-9.498
CLAY_00412,66.4,27.8,38.5,184.9,76.0,2.43,63.0,13.7,5.62,0.418,illite-mixed,-9.919
CLAY_00413,25.5,22.6,7.0,294.3,200.3,1.47,39.8,11.8,4.42,0.284,kaolinite-dominant,-9.374
CLAY_00414,31.1,23.9,7.2,62.1,25.0,2.49,31.9,8.0,4.41,0.284,kaolinite-dominant,-10.865
CLAY_00415,46.6,31.1,15.5,157.2,153.9,1.02,49.0,8.0,8.31,0.281,kaolinite-dominant,-9.592
CLAY_00416,32.8,27.1,7.0,145.1,64.9,2.24,34.3,8.0,3.87,0.189,kaolinite-dominant,-9.151
CLAY_00417,56.4,35.4,21.0,211.0,177.4,1.19,37.6,8.0,5.62,0.347,illite-mixed,-10.072
CLAY_00418,46.5,25.3,21.2,204.7,176.1,1.16,38.8,8.0,3.04,0.315,illite-mixed,-9.887
CLAY_00419,59.4,27.6,31.8,644.5,212.2,3.04,57.1,15.0,9.78,0.387,illite-mixed,-10.142
CLAY_00420,74.1,24.0,50.1,200.0,190.1,1.05,53.5,8.2,5.46,0.467,smectite-rich,-11.485
CLAY_00421,26.2,22.3,7.0,200.7,169.5,1.18,28.2,14.7,5.59,0.345,kaolinite-dominant,-10.076
CLAY_00422,74.8,31.9,42.9,834.1,288.5,2.89,42.9,9.3,7.33,0.493,smectite-rich,-9.927
CLAY_00423,41.0,33.9,7.1,368.5,118.7,3.1,39.4,8.0,4.81,0.25,kaolinite-dominant,-9.539
CLAY_00424,59.8,37.2,22.6,238.6,153.9,1.55,30.4,8.0,2.45,0.317,illite-mixed,-9.625
CLAY_00425,59.1,23.2,35.9,248.5,123.8,2.01,40.7,8.0,7.28,0.45,illite-mixed,-9.573
CLAY_00426,53.6,32.5,21.1,263.8,133.8,1.97,38.4,8.0,3.46,0.374,illite-mixed,-10.134
CLAY_00427,29.4,21.4,7.9,674.7,251.9,2.68,37.0,10.2,3.6,0.244,kaolinite-dominant,-9.048
CLAY_00428,68.7,23.0,45.7,910.9,289.2,3.15,49.3,12.8,7.96,0.438,smectite-rich,-10.05
CLAY_00429,40.8,28.8,12.0,344.7,148.1,2.33,48.6,8.0,3.9,0.337,kaolinite-dominant,-9.584
CLAY_00430,46.4,23.8,22.6,302.2,93.8,3.22,34.6,12.3,7.25,0.348,illite-mixed,-9.328
CLAY_00431,98.3,13.0,80.0,159.1,106.4,1.5,75.1,8.0,13.16,0.714,smectite-rich,-11.738
CLAY_00432,67.0,23.6,43.3,321.4,107.9,2.98,44.3,16.0,13.57,0.502,smectite-rich,-10.49
CLAY_00433,48.6,35.0,13.6,492.9,146.8,3.36,28.9,17.0,7.19,0.375,kaolinite-dominant,-10.195
CLAY_00434,36.5,27.7,8.8,266.9,110.3,2.42,53.2,8.0,5.73,0.309,kaolinite-dominant,-10.451
CLAY_00435,83.3,23.0,60.2,325.6,187.2,1.74,73.1,8.0,13.79,0.634,smectite-rich,-10.775
CLAY_00436,53.6,40.2,13.4,603.0,211.1,2.86,42.2,11.3,3.33,0.386,kaolinite-dominant,-9.501
CLAY_00437,46.7,19.5,27.2,205.5,181.1,1.13,46.2,8.0,11.82,0.457,illite-mixed,-9.968
CLAY_00438,52.2,19.0,33.2,462.2,194.3,2.38,47.1,15.1,9.79,0.395,illite-mixed,-10.82
CLAY_00439,66.3,29.6,36.6,255.6,157.2,1.63,49.2,8.8,7.83,0.554,illite-mixed,-10.291
CLAY_00440,35.5,16.1,19.4,389.3,206.7,1.88,32.5,8.0,6.39,0.332,kaolinite-dominant,-9.771
CLAY_00441,65.6,22.5,43.1,341.5,194.9,1.75,52.1,8.0,9.01,0.433,smectite-rich,-9.976
CLAY_00442,30.2,22.6,7.5,633.2,192.4,3.29,31.1,17.4,4.22,0.336,kaolinite-dominant,-9.276
CLAY_00443,39.6,28.5,11.1,586.4,192.1,3.05,42.0,8.0,4.83,0.332,kaolinite-dominant,-8.615
CLAY_00444,83.8,22.8,61.0,297.2,97.0,3.06,65.2,8.0,14.56,0.636,smectite-rich,-10.225
CLAY_00445,84.8,30.4,54.4,876.6,270.0,3.25,48.8,13.8,3.12,0.613,smectite-rich,-10.439
CLAY_00446,32.4,28.5,7.0,799.6,232.2,3.44,45.9,8.0,10.91,0.302,kaolinite-dominant,-8.997
CLAY_00447,80.2,23.8,56.4,470.9,180.7,2.61,58.9,9.0,10.66,0.601,smectite-rich,-10.397
CLAY_00448,36.4,27.1,9.3,305.8,109.7,2.79,34.0,8.0,5.04,0.262,kaolinite-dominant,-9.786
CLAY_00449,45.6,28.3,17.3,136.9,88.8,1.54,35.3,8.0,12.34,0.383,kaolinite-dominant,-9.103
CLAY_00450,69.1,39.1,30.0,338.9,162.6,2.08,45.2,8.0,4.51,0.48,illite-mixed,-9.728
CLAY_00451,30.1,22.4,7.7,178.3,78.9,2.26,32.4,8.0,5.5,0.238,kaolinite-dominant,-9.009
CLAY_00452,59.8,44.4,15.4,273.4,228.7,1.2,41.0,8.7,8.65,0.347,kaolinite-dominant,-9.068
CLAY_00453,41.9,30.3,11.7,705.5,262.2,2.69,40.0,19.4,4.36,0.319,kaolinite-dominant,-9.282
