x_cm,y_cm,z_cm,t_hours,j_density_A_cm2,pH2O_pH2_ratio,T_inlet_C,T_field_C,sigma_xx_MPa,sigma_yy_MPa,sigma_zz_MPa,sigma_xy_MPa,sigma_xz_MPa,sigma_yz_MPa,damage_index_D
2.154,3.3088,0.23885,6949.19,0.806,0.408,765.8,801.39,36.89,31.019,-4.627,-1.329,0.331,-0.044,0.04473
3.2193,3.45,0.28146,7537.75,0.17,0.758,601.3,629.98,17.416,15.736,-3.45,-1.005,0.332,-0.194,0.00041
1.6625,0.252,0.1084,856.87,0.771,0.803,738.7,756.81,35.71,28.686,-3.86,1.683,-0.403,-0.694,0.00499
0.2974,0.4948,0.28857,3670.92,0.202,0.787,837.5,863.62,32.542,32.953,-5.591,0.901,0.066,0.173,0.00243
0.6909,0.2558,0.04273,2954.12,0.686,0.162,656.4,668.49,27.485,25.483,-4.529,1.344,-0.183,0.407,0.01517
1.679,2.3206,0.05605,7606.18,0.572,0.626,641.1,655.22,23.047,21.208,-3.825,-0.541,0.186,-0.111,0.0251
3.8062,0.7181,0.10141,5134.06,0.329,0.151,833.3,847.49,35.433,24.971,-4.889,0.374,0.214,0.079,0.00707
1.97,3.5145,0.18413,7955.46,0.123,0.431,649.4,668.29,18.672,14.315,-4.484,-1.353,-0.3,-0.252,0.00111
2.3242,3.4663,0.18569,551.29,0.937,0.486,684.1,715.67,32.433,30.76,-3.461,-0.983,0.338,0.152,0.00496
1.7417,0.9596,0.23307,3913.12,0.424,0.445,762.8,790.6,32.629,28.488,-3.03,1.59,-0.208,0.369,0.00671
1.6728,0.5347,0.20183,1116.26,0.091,0.745,679.0,695.65,16.23,21.046,-4.296,1.696,-0.211,0.198,0.00128
2.1486,0.6124,0.21961,3385.79,0.833,0.513,774.5,804.42,42.269,34.976,-5.826,2.091,0.074,0.259,0.02304
2.8637,2.374,0.28934,5047.91,0.444,0.608,734.9,766.53,26.249,27.604,-4.47,-0.624,0.832,-0.141,0.01077
1.4857,1.0302,0.21936,4256.95,0.947,0.801,818.2,858.21,45.056,38.531,-4.387,1.649,0.157,0.112,0.03891
1.607,2.478,0.13136,5759.42,0.124,0.273,837.6,852.46,30.371,25.87,-5.496,-1.448,-0.235,0.312,0.00129
1.1594,0.6695,0.16958,5626.58,0.81,0.292,609.7,638.18,29.471,23.086,-2.519,2.214,-0.202,0.188,0.0371
2.9209,1.8863,0.09294,3718.89,0.876,0.574,798.8,818.36,42.502,32.477,-4.35,0.063,-0.355,-0.509,0.02736
3.0357,3.8399,0.24005,2918.53,0.933,0.594,790.6,825.98,45.803,33.874,-4.159,-1.215,0.493,-0.201,0.02485
1.6228,0.0534,0.17393,3923.23,0.895,0.896,691.2,717.24,30.929,30.296,-3.388,1.951,0.132,-0.271,0.03077
0.5584,0.032,0.1398,3175.1,0.321,0.711,689.5,701.33,21.318,20.873,-4.202,0.462,-0.402,0.483,0.00487
1.5155,0.6635,0.21746,7603.83,0.858,0.194,756.9,790.83,38.312,35.548,-5.805,1.373,0.334,0.424,0.0571
0.9851,0.0721,0.23235,1517.71,0.086,0.345,644.7,669.15,19.269,17.147,-3.466,1.557,-0.225,-0.132,0.0
0.7039,0.2907,0.03433,3717.99,0.515,0.827,775.9,785.69,35.634,29.906,-3.749,0.909,-0.376,-0.109,0.01069
3.0868,0.1321,0.22143,7058.04,0.513,0.261,620.2,643.6,26.983,16.103,-4.263,0.607,0.117,-0.275,0.01768
1.7028,2.1036,0.21518,1298.68,0.783,0.564,836.8,870.2,43.036,37.827,-4.551,-0.462,0.272,0.075,0.0073
1.8673,3.0907,0.05564,7579.26,0.584,0.759,801.7,812.45,37.015,36.514,-3.702,-2.439,0.08,0.005,0.0248
2.8301,3.6752,0.18973,3749.05,0.945,0.264,712.6,745.87,39.508,33.206,-4.898,-1.346,0.032,-0.281,0.0356
1.3688,0.5204,0.08816,7241.48,0.824,0.302,666.7,687.98,30.741,26.872,-3.252,1.772,-0.669,-0.369,0.04775
0.3203,2.0692,0.14956,7495.14,0.152,0.894,748.2,766.31,25.438,26.647,-5.892,-0.935,-0.169,0.062,0.0015
3.9374,1.3174,0.10394,2158.88,0.073,0.816,640.3,649.53,16.19,18.334,-3.947,0.544,-0.301,0.158,0.0
1.7721,0.3907,0.27901,6017.42,0.23,0.467,680.0,711.18,26.164,25.539,-5.817,2.469,-0.118,0.194,0.00226
2.6158,0.8572,0.18123,3639.01,0.167,0.325,723.4,737.98,24.785,22.539,-4.302,1.79,0.031,0.024,0.0
0.1803,2.784,0.17083,332.91,0.33,0.342,604.8,623.73,19.805,17.993,-6.118,0.244,0.499,-0.022,0.0
0.0566,1.4744,0.28735,2927.47,0.715,0.166,631.5,668.39,29.132,26.999,-4.156,-0.389,0.379,0.401,0.01463
1.7704,0.9244,0.25104,6572.22,0.19,0.15,684.8,711.1,21.939,23.449,-5.509,2.392,0.644,-0.069,0.00211
0.0363,2.0131,0.16291,7019.8,0.412,0.424,742.7,764.19,30.311,24.716,-4.054,0.082,0.135,-0.067,0.01289
1.6897,1.272,0.0904,5405.13,0.831,0.831,740.4,761.68,37.975,32.607,-4.402,0.42,-0.401,-0.319,0.03848
0.4551,2.8398,0.06612,3225.11,0.09,0.24,791.3,797.01,25.552,24.251,-5.458,-1.375,-0.469,0.281,0.00195
0.5489,2.8206,0.2298,1972.04,0.048,0.45,764.3,786.28,25.508,23.869,-5.363,-0.302,0.265,0.465,0.0
3.21,3.4334,0.08522,3323.13,0.813,0.264,845.3,865.07,44.965,37.657,-2.702,-0.365,-0.264,-0.778,0.02258
1.3986,3.3818,0.04967,19.4,0.834,0.139,830.1,845.58,42.253,36.084,-3.622,-1.257,0.213,-0.093,0.0
3.0232,2.9304,0.29604,455.22,0.391,0.815,836.6,866.0,39.454,34.773,-4.626,-0.694,0.409,0.229,0.00126
1.8937,1.9277,0.20144,1400.97,0.254,0.472,655.1,678.4,25.222,21.439,-4.875,0.609,-0.444,0.586,0.0003
0.6475,3.5408,0.28006,7667.29,0.246,0.592,667.2,700.09,24.767,23.614,-4.716,-0.522,0.001,0.151,0.00371
0.5842,2.0249,0.1754,7912.5,0.523,0.717,664.8,686.6,28.3,21.944,-5.492,0.326,0.162,-0.25,0.02214
3.6903,0.6368,0.2202,7588.56,0.216,0.409,836.3,859.52,36.585,24.539,-5.403,-0.616,0.007,0.257,0.00561
1.8376,0.7286,0.26421,5934.66,0.568,0.421,655.8,687.71,28.985,22.275,-4.473,1.527,-0.057,-0.277,0.01782
1.0058,0.2479,0.04513,786.41,0.343,0.161,613.8,619.5,18.513,17.796,-3.218,0.852,-0.673,0.037,0.00132
1.0154,1.191,0.18119,2955.34,0.482,0.195,653.9,672.08,25.186,18.84,-5.556,1.394,-0.19,0.002,0.00729
0.8567,2.5778,0.26757,912.25,0.126,0.695,847.9,872.93,32.579,32.772,-3.646,-0.273,-0.409,0.675,0.00061
3.9655,3.0661,0.13407,5765.09,0.796,0.817,761.2,784.98,38.842,36.839,-3.762,-0.95,-0.581,-0.018,0.0376
2.826,0.0062,0.03051,7364.49,0.116,0.824,675.0,676.2,16.441,15.938,-4.246,0.749,-0.501,0.022,0.00159
1.2123,0.6181,0.18577,2734.53,0.989,0.685,672.4,704.33,38.228,31.035,-5.316,1.157,0.081,0.789,0.02648
1.5282,1.4911,0.01744,7031.97,0.452,0.371,611.4,615.25,18.607,20.86,-4.158,0.961,0.118,-0.022,0.01654
0.648,3.6263,0.01967,2960.9,0.59,0.597,783.8,790.18,38.969,27.925,-2.916,-0.578,-0.148,-0.133,0.0101
2.9361,2.8966,0.11402,7126.66,0.094,0.696,751.6,761.82,29.217,19.56,-5.252,-0.678,-0.132,-0.029,0.0
1.493,1.3131,0.2864,4768.66,0.787,0.835,827.0,862.58,42.909,35.871,-5.437,1.634,0.474,0.325,0.02958
2.4759,0.9832,0.11302,1052.54,0.782,0.523,836.3,854.89,44.287,36.033,-2.31,1.382,0.118,-0.692,0.00701
2.2958,3.4138,0.10817,5037.11,0.36,0.616,685.2,698.05,25.76,22.794,-2.27,-1.14,0.004,0.235,0.0061
2.2955,2.8029,0.2718,1666.53,0.846,0.824,793.4,830.85,47.041,34.623,-4.544,-1.059,0.373,1.048,0.01309
3.3755,1.2212,0.29382,4763.13,0.094,0.878,701.2,734.53,26.146,19.992,-4.68,0.054,-0.044,0.199,0.00113
1.1409,0.7581,0.04615,6006.45,0.643,0.582,786.7,794.69,38.198,30.16,-2.483,0.269,-0.205,-0.377,0.02631
2.5671,2.905,0.19776,6690.54,0.391,0.554,812.4,839.45,34.743,30.802,-3.8,-1.249,0.214,0.391,0.01086
0.145,0.6178,0.24724,1890.4,0.48,0.474,825.3,853.13,36.539,34.474,-6.608,0.879,-0.085,0.164,0.00574
2.177,0.4797,0.18895,5684.93,0.408,0.898,693.4,713.96,28.516,22.273,-4.503,0.987,0.559,1.008,0.00866
2.3603,3.7607,0.16972,784.22,0.655,0.353,763.4,784.2,36.896,30.186,-2.863,-1.32,0.053,0.147,0.00388
2.9113,1.3327,0.19168,438.14,0.028,0.367,846.0,866.52,30.252,29.831,-6.533,0.165,-0.018,-0.054,0.00016
2.9828,1.2213,0.0614,4800.39,0.11,0.841,717.0,723.98,26.199,21.229,-5.706,0.579,-0.167,0.204,0.0
2.3452,1.9111,0.07364,6534.96,0.788,0.477,812.8,832.81,42.801,30.262,-1.128,1.265,-0.346,-0.1,0.04222
3.2905,3.6579,0.06663,5289.98,0.138,0.175,818.1,821.28,32.203,27.641,-3.041,-0.463,0.287,0.005,0.00045
2.2148,2.6611,6e-05,1719.61,0.525,0.583,764.7,769.81,30.819,28.421,-1.902,-1.311,-0.071,-0.643,0.00589
2.6626,0.5445,0.09373,6920.25,0.91,0.16,751.5,772.78,36.683,35.511,-2.266,1.027,-0.394,-0.234,0.05775
2.9789,1.3412,0.12876,3872.82,0.27,0.466,768.9,780.53,25.226,28.512,-3.845,1.641,0.125,0.151,0.00337
1.8888,0.1694,0.03406,7224.13,0.308,0.7,796.2,803.66,34.843,31.917,-5.749,1.433,-0.436,-0.06,0.00799
2.6478,2.3649,0.0679,3490.07,0.833,0.26,722.4,744.78,34.973,29.132,-1.659,-0.786,-0.041,0.376,0.02222
0.4429,3.6755,0.03748,7214.98,0.429,0.739,642.9,649.77,24.647,19.628,-2.141,-0.452,-0.119,0.031,0.01446
0.9305,3.1003,0.20288,4416.73,0.156,0.545,620.2,643.56,21.053,19.006,-3.292,-1.7,0.445,-0.211,0.00159
0.9088,1.0702,0.16828,4510.86,0.029,0.297,750.6,766.72,23.847,21.721,-3.573,0.94,0.367,-0.533,0.00208
0.1645,3.1984,0.15936,335.51,0.073,0.632,822.0,836.64,29.927,21.748,-3.672,-0.421,-0.029,-0.275,0.00083
1.6442,3.3432,0.01206,5811.65,0.717,0.417,714.5,719.43,29.68,23.788,-3.504,-1.538,-0.208,0.616,0.02924
2.3524,3.3883,0.04355,4549.82,0.263,0.756,685.4,689.52,26.616,20.775,-4.303,-1.442,-0.244,0.384,0.00199
1.9932,3.9685,0.22004,4312.22,0.865,0.718,716.7,750.53,35.526,29.108,-3.452,-1.952,0.496,-0.457,0.03175
3.8568,3.3844,0.08325,1795.97,0.842,0.629,721.9,741.2,34.329,31.086,-2.827,-0.652,-0.163,0.062,0.01064
0.38,2.5426,0.14031,7725.75,0.331,0.842,713.3,729.72,24.575,26.004,-3.74,0.479,0.382,-0.522,0.0094
1.865,1.3985,0.29441,1113.33,0.524,0.37,610.5,646.75,26.309,20.827,-5.245,0.064,0.763,0.775,0.00203
2.9496,1.1835,0.05709,2510.77,0.274,0.899,744.4,746.92,27.487,25.145,-4.309,0.629,-0.632,-0.52,0.00148
2.9714,2.0409,0.06209,6014.72,0.133,0.384,635.1,644.28,14.176,14.548,-5.862,-0.222,-0.246,-0.682,0.00088
3.7154,3.1651,0.29136,198.65,0.047,0.288,794.1,816.72,26.238,23.237,-4.07,0.184,-0.498,-0.243,0.0
1.4775,0.0269,0.10687,5850.99,0.537,0.899,775.4,788.67,33.934,28.493,-4.667,1.584,-0.103,0.761,0.0179
3.3956,1.1259,0.22872,2850.33,0.708,0.115,786.0,811.83,38.682,29.441,-5.327,0.205,0.821,0.366,0.014
0.0712,0.0971,0.17331,3342.12,0.298,0.87,611.3,628.65,21.087,18.631,-5.212,-0.097,-0.183,-0.011,0.00339
2.8499,2.3267,0.01113,3741.57,0.841,0.138,660.7,676.89,30.878,25.77,-3.06,-1.068,-0.382,-0.816,0.02593
3.9471,1.5367,0.2014,6599.71,0.674,0.282,670.6,697.78,32.596,24.791,-5.646,0.049,0.906,0.056,0.02977
0.209,1.8385,0.02822,5692.32,0.015,0.54,699.5,700.77,20.999,20.669,-5.482,-0.102,-0.344,0.059,0.00077
2.5598,1.5504,0.2675,1819.04,0.149,0.551,638.9,664.81,22.164,20.316,-6.244,0.928,-0.027,-0.1,0.00217
1.1828,3.6685,0.18106,3136.9,0.182,0.472,797.6,812.73,31.991,26.379,-4.24,-1.667,-0.045,-0.41,0.00156
0.4859,3.5262,0.00123,1693.61,0.767,0.484,638.5,644.25,30.345,24.364,-1.151,-0.969,-0.317,-0.907,0.01041
1.9391,2.4665,0.08413,1254.24,0.308,0.392,713.1,722.06,25.664,23.273,-4.334,-0.951,-0.711,-0.099,0.00125
0.6086,1.5327,0.20493,7056.91,0.853,0.197,734.5,768.3,37.298,29.791,-5.936,0.159,-0.248,0.07,0.05189
2.9833,1.5049,0.17376,3373.97,0.456,0.558,635.1,654.13,22.901,22.793,-4.92,0.641,0.382,-0.084,0.00791
0.0098,1.4816,0.05734,2232.85,0.974,0.506,622.4,641.95,33.404,22.797,-2.98,0.35,-0.347,0.376,0.02127
3.2514,3.1969,0.19669,3647.24,0.17,0.56,607.4,627.62,14.646,16.8,-5.662,-1.782,0.173,-0.076,0.00182
3.0033,3.5887,0.10431,6647.31,0.783,0.104,638.6,656.73,30.324,27.101,-2.311,-1.597,-0.369,-0.217,0.04072
1.7921,3.9053,0.13065,4526.74,0.985,0.123,648.5,675.48,30.979,30.451,-4.257,-2.41,0.004,-0.075,0.04353
3.5406,1.1859,0.22904,1115.97,0.491,0.884,605.8,631.55,24.334,22.305,-5.555,0.784,0.068,0.013,0.00138
2.5521,0.4455,0.15278,1065.41,0.904,0.563,790.5,819.61,35.716,35.694,-4.173,2.134,0.01,-0.743,0.01019
2.0267,1.8812,0.07121,1964.49,0.655,0.841,828.7,843.76,39.645,34.765,-2.88,-0.547,-0.203,-0.379,0.00713
1.4307,3.7352,0.28946,4022.35,0.464,0.15,707.9,739.61,28.121,26.054,-5.013,-2.531,0.334,-0.159,0.01008
0.3318,2.1293,0.20892,50.93,0.507,0.187,624.6,646.33,22.226,21.036,-5.8,0.196,0.871,-0.031,0.0
0.4108,2.2655,0.09751,3139.37,0.874,0.853,822.9,845.28,43.391,38.437,-5.196,-0.928,-0.35,0.027,0.02547
3.6792,2.5895,0.23906,2515.65,0.488,0.527,749.5,774.94,30.921,29.869,-4.94,-0.802,0.025,0.024,0.00671
1.5952,2.8419,0.27858,7265.16,0.13,0.143,648.5,675.09,20.579,19.559,-5.984,-1.615,0.143,0.247,0.00091
3.7266,1.2999,0.06714,5648.91,0.049,0.256,809.8,817.93,29.415,23.302,-4.372,0.586,-0.074,0.288,0.0
2.6269,1.2487,0.24248,4314.54,0.371,0.287,641.3,666.75,21.239,24.161,-5.594,0.571,0.435,0.074,0.00403
2.0769,3.7542,0.22157,6695.38,0.167,0.624,836.5,858.06,31.888,27.104,-3.888,-1.78,-0.068,0.123,0.00192
2.6227,1.8916,0.23388,1228.58,0.722,0.125,743.6,775.75,35.438,29.959,-5.633,0.587,0.372,0.296,0.00873
2.014,0.3027,0.08396,5263.87,0.113,0.498,811.5,819.91,34.011,26.919,-4.793,1.933,-0.156,-0.518,0.00092
0.2998,1.7793,0.07232,4047.73,0.35,0.242,821.6,832.58,31.922,27.062,-3.787,0.647,-0.051,-0.081,0.0062
2.1384,2.4573,0.29457,7922.41,0.566,0.42,689.9,726.84,29.449,27.087,-3.553,-0.793,0.494,-0.048,0.02499
0.5492,2.3171,0.17155,991.76,0.875,0.223,748.8,779.42,40.379,28.71,-3.862,0.247,-0.625,0.008,0.00796
1.8487,0.6975,0.25897,2417.84,0.516,0.618,653.4,684.4,30.082,20.262,-4.834,1.011,-0.25,0.253,0.00773
2.17,0.4146,0.22878,5440.57,0.557,0.32,708.9,739.8,31.194,28.052,-5.01,2.144,-0.027,0.316,0.01644
3.6306,0.2747,0.1718,5028.88,0.214,0.477,735.4,753.14,23.194,22.602,-5.211,-0.085,-0.413,0.543,0.00263
3.5208,0.9674,0.27121,4191.0,0.004,0.283,734.4,756.61,25.667,20.07,-2.125,1.209,0.607,-0.061,0.00036
2.7715,2.0185,0.13109,6212.51,0.221,0.38,705.5,721.98,21.618,21.772,-4.446,-0.31,0.355,-0.017,0.0031
1.6034,0.885,0.05517,1314.63,0.141,0.53,714.0,714.47,25.551,21.718,-3.697,1.232,0.208,-0.001,0.00105
3.7717,1.6453,0.01482,6832.68,0.252,0.55,640.1,645.62,22.271,18.571,-4.376,-0.095,-0.02,0.479,0.00305
2.3554,3.2143,0.17965,7941.14,0.453,0.217,608.8,633.58,22.832,21.442,-4.158,-1.549,0.394,0.307,0.01823
0.6904,0.3094,0.17615,7076.25,0.18,0.717,805.1,823.0,30.448,27.482,-4.981,1.73,0.284,-0.177,0.0024
3.2691,2.4911,0.27667,7966.43,0.629,0.54,676.9,710.75,33.084,27.463,-6.171,-0.335,0.562,0.58,0.03309
2.0571,2.561,0.21974,7733.11,0.481,0.235,703.7,729.85,30.817,26.912,-5.632,-0.456,0.061,0.331,0.01794
2.5615,2.9556,0.10012,836.44,0.344,0.304,794.4,806.14,30.303,29.058,-3.773,-1.578,-0.268,0.124,0.00115
1.7657,3.7567,0.01411,6812.27,0.784,0.763,604.4,619.14,27.569,21.155,-2.751,-1.705,-0.692,-0.017,0.04401
0.054,2.4775,0.00064,7610.26,0.815,0.319,725.1,736.1,35.458,28.131,-1.53,0.04,-0.367,-0.323,0.05066
0.7414,3.3626,0.14146,4897.28,0.652,0.752,743.2,767.22,30.494,29.565,-4.858,-1.114,0.039,0.211,0.02137
0.4105,0.3737,0.21941,470.38,0.042,0.691,784.3,806.67,29.534,26.436,-5.095,1.225,0.076,0.106,0.00086
1.0289,0.8475,0.06163,4416.71,0.647,0.242,656.8,668.49,26.035,26.417,-2.177,0.673,-0.331,-0.368,0.01719
2.4221,1.0002,0.19911,7040.65,0.216,0.897,726.5,749.04,25.518,22.704,-4.374,1.323,-0.357,0.297,0.00323
0.8201,2.2241,0.28918,198.66,0.734,0.348,809.6,847.37,39.664,34.674,-5.973,-0.208,0.556,0.825,0.00096
1.8955,0.0662,0.0817,6187.64,0.041,0.441,615.4,624.32,16.777,15.778,-7.1,2.04,0.277,-0.02,0.00108
0.5814,0.8642,0.02111,316.09,0.09,0.567,601.3,605.92,13.493,11.137,-4.838,0.176,0.214,0.062,0.00011
0.4408,2.6817,0.08806,1124.5,0.124,0.272,816.8,825.27,31.846,27.178,-4.134,-0.559,-0.266,-0.161,0.00095
3.6369,2.8989,0.03271,3289.79,0.214,0.784,825.6,826.31,27.295,25.883,-4.863,-1.304,0.195,-0.31,0.00318
1.2695,1.9697,0.00049,6808.43,0.66,0.122,625.0,633.64,24.38,22.103,-2.607,-0.671,-0.662,-0.606,0.02938
0.9362,1.533,0.1885,5925.39,0.758,0.74,823.0,848.38,40.92,37.833,-4.148,-0.001,0.113,0.177,0.03502
0.6137,0.13,0.22502,3995.95,0.28,0.873,756.8,781.15,32.512,24.368,-4.668,1.279,-0.224,0.352,0.00328
0.945,1.6642,0.2488,49.38,0.549,0.737,823.3,854.53,35.374,30.277,-5.537,0.352,0.367,0.043,0.00111
3.4566,3.9367,0.15554,7440.02,0.474,0.314,791.7,812.98,34.055,28.386,-3.589,-0.841,-0.182,0.315,0.01482
0.2931,2.9153,0.22046,1520.34,0.957,0.255,682.9,719.33,39.631,28.947,-4.437,-0.656,0.345,0.048,0.01247
1.0927,0.9286,0.05485,5945.84,0.639,0.802,787.1,800.27,33.337,31.85,-4.044,0.381,-0.492,-0.312,0.0242
2.9456,0.1706,0.03093,6500.71,0.137,0.375,788.3,790.81,29.829,26.154,-3.039,1.977,0.326,0.131,0.0
2.3626,3.8357,0.21133,2976.97,0.85,0.641,825.2,855.61,44.105,35.823,-4.481,-1.52,0.813,0.192,0.02284
2.5213,1.4729,0.05762,3872.08,0.08,0.252,679.0,685.11,17.275,14.948,-6.237,0.452,0.27,0.203,0.0
3.2233,3.6047,0.27144,1782.86,0.43,0.159,625.4,654.97,22.568,20.942,-6.707,-0.806,0.035,-0.02,0.00292
0.5292,2.6708,0.07888,2774.43,0.349,0.18,811.9,821.38,34.351,29.283,-4.031,-0.954,0.186,-0.055,0.00334
0.307,0.4185,0.04953,530.59,0.253,0.681,804.0,811.24,33.242,26.984,-3.76,0.155,-0.851,0.561,0.00024
3.1862,3.292,0.10931,7104.07,0.496,0.438,631.0,646.96,24.038,24.559,-2.663,-1.599,-0.116,-0.185,0.01597
3.3195,2.0079,0.05591,1733.77,0.576,0.718,808.2,815.37,34.869,35.098,-4.425,-0.223,-0.242,-0.788,0.00525
3.4223,3.2898,0.1033,879.81,0.268,0.726,785.9,795.46,30.318,28.165,-6.129,-0.143,-0.109,0.475,0.0
1.4054,3.0347,0.07045,3403.3,0.278,0.368,678.1,685.8,19.575,22.415,-3.398,-1.16,-0.008,-0.269,0.00381
2.7621,1.472,0.12476,7681.51,0.927,0.629,671.1,697.05,28.477,29.884,-3.522,1.005,-0.266,-0.042,0.0656
2.4577,1.2117,0.03484,2715.67,0.087,0.191,626.0,629.72,16.977,15.84,-5.183,1.095,-0.2,-0.186,0.0
2.3538,1.7211,0.15781,5205.64,0.638,0.293,819.1,840.6,38.966,35.168,-5.043,0.341,0.585,-0.7,0.02236
3.3491,1.956,0.03606,4400.25,0.718,0.286,820.0,836.13,39.919,33.208,-3.487,0.291,-0.662,-0.495,0.02313
3.3277,3.2863,0.23802,3682.18,0.422,0.735,764.1,789.0,33.382,29.834,-3.675,-0.524,0.069,0.095,0.00835
0.0041,1.21,0.2646,1662.25,0.071,0.879,846.7,872.86,30.275,30.034,-4.476,0.22,-0.261,0.033,0.00118
1.8953,3.5125,0.28044,5122.21,0.035,0.228,653.8,679.93,18.429,18.685,-7.176,-2.562,-0.061,-0.145,0.0005
3.365,0.1785,0.10763,4922.26,0.353,0.48,773.0,786.6,35.245,26.89,-3.177,0.754,0.27,0.477,0.00663
2.1768,0.5818,0.06309,4704.29,0.16,0.288,605.5,611.8,12.725,16.377,-5.196,1.725,-0.052,0.162,0.00036
0.8687,1.9524,0.18122,7714.49,0.841,0.663,606.3,634.27,28.954,23.855,-2.98,0.101,0.4,0.246,0.05378
0.4779,1.7352,0.11378,537.5,0.828,0.61,730.5,750.34,33.969,29.638,-2.924,-0.219,0.153,0.292,0.00581
3.4837,0.8424,0.15954,645.53,0.328,0.481,687.0,705.46,27.091,19.419,-3.685,0.518,0.146,-0.075,0.00023
3.6038,1.8161,0.27315,1991.83,0.412,0.735,665.9,695.02,27.839,18.569,-6.13,1.159,0.216,0.498,0.00506
3.1205,1.4669,0.18561,7039.14,0.431,0.625,737.2,757.59,29.673,28.486,-4.24,0.758,-0.165,0.228,0.01361
1.8467,3.4941,0.08232,4495.42,0.377,0.181,602.3,610.61,22.341,17.425,-6.553,-2.612,0.039,-0.272,0.00486
0.4414,0.7166,0.16042,6661.93,0.778,0.681,675.4,700.64,33.946,25.326,-3.81,1.002,0.566,0.424,0.04052
0.1191,2.8069,0.15342,5878.16,0.531,0.451,728.7,749.52,28.018,28.097,-3.569,0.316,-0.078,0.229,0.01664
0.1909,1.8663,0.16308,6802.86,0.87,0.411,653.3,680.11,33.2,27.125,-3.799,0.814,0.05,-0.335,0.05262
0.9891,1.0886,0.03725,7787.59,0.211,0.489,697.6,703.62,20.304,21.582,-3.627,2.136,-0.206,-0.104,0.00299
0.5773,0.1605,0.1792,6783.42,0.176,0.264,744.9,761.47,26.995,22.312,-6.02,0.927,1.008,-0.288,0.00275
1.7629,0.089,0.12953,6469.41,0.171,0.234,827.2,836.47,35.05,24.252,-5.749,1.962,-0.091,0.371,0.00166
1.218,2.4181,0.07492,4192.17,0.189,0.499,625.5,634.56,18.63,18.39,-4.737,-0.066,0.012,0.068,0.00014
1.0839,3.5574,0.07628,5625.76,0.579,0.538,720.5,734.13,28.634,24.864,-1.471,-1.401,-0.477,-0.336,0.01991
3.8683,2.0761,0.23556,1754.52,0.043,0.791,769.2,791.3,29.379,22.926,-5.535,0.087,0.56,-0.116,0.00096
1.3442,0.3968,0.23894,2996.2,0.369,0.175,783.1,810.54,33.166,30.547,-4.322,0.56,0.348,-0.551,0.00447
1.3415,1.3654,0.17609,4932.32,0.616,0.205,603.6,628.74,22.809,20.524,-3.8,0.334,0.249,0.405,0.01913
1.9264,0.8359,0.24873,7511.72,0.164,0.494,660.4,681.29,22.813,19.281,-6.147,1.678,0.193,0.512,0.00305
2.2533,2.9077,0.04669,1767.92,0.428,0.854,702.1,708.61,22.005,22.723,-3.135,-1.435,0.141,-0.427,0.00385
1.6254,1.7603,0.12051,4497.85,0.772,0.161,848.1,870.98,46.649,35.145,-5.552,0.197,0.073,-0.292,0.02725
3.9757,0.4858,0.1195,3292.97,0.497,0.619,834.3,848.49,37.935,32.071,-4.866,-0.121,0.292,0.084,0.00673
1.8822,3.8756,0.04973,1683.25,0.947,0.446,631.1,649.42,31.001,26.398,-3.141,-2.109,-0.569,0.247,0.01532
1.5172,3.9118,0.10127,3968.01,0.476,0.652,798.0,811.38,36.495,31.409,-5.8,-1.034,-0.872,0.243,0.00777
1.2032,3.7948,0.02313,4318.49,0.763,0.508,743.0,752.8,35.466,27.092,-2.136,-1.053,-0.372,-0.146,0.02485
0.8354,1.2926,0.24454,3816.74,0.651,0.247,809.1,838.14,41.702,26.625,-4.306,0.349,0.326,0.642,0.01789
3.5319,3.038,0.07836,3554.41,0.671,0.816,673.7,689.35,28.319,21.681,-4.481,-0.708,-0.251,-0.332,0.01517
1.218,0.7161,0.10996,2862.24,0.161,0.429,702.3,712.87,26.413,17.593,-5.728,1.842,-0.097,-0.235,0.00024
0.3294,1.5929,0.03788,5634.93,0.199,0.658,834.4,836.24,32.248,29.424,-3.859,0.383,-0.602,0.096,0.00321
1.5994,1.3248,0.19119,2161.42,0.988,0.221,653.1,687.0,33.323,29.345,-3.941,1.18,0.201,0.089,0.02045
2.0361,3.2854,0.01951,5527.28,0.026,0.816,839.5,841.92,28.28,29.653,-5.221,-2.326,0.055,-0.184,0.00116
2.2385,2.7695,0.09093,2047.65,0.33,0.106,626.2,641.24,20.552,15.706,-6.102,-0.561,-0.346,0.19,0.00206
3.6067,1.7241,0.05885,7151.98,0.32,0.169,706.1,713.29,24.71,22.745,-4.866,0.106,-0.481,-0.204,0.00651
3.8712,0.1728,0.1925,6829.69,0.72,0.141,667.9,694.91,27.718,30.324,-3.478,0.168,0.481,0.644,0.03643
0.4435,2.5984,0.08194,7993.14,0.351,0.643,667.8,679.02,19.994,22.333,-3.569,-0.74,0.024,0.101,0.00877
2.2599,1.4279,0.28372,7405.96,0.85,0.885,684.3,721.97,32.535,28.913,-3.552,0.783,0.22,-0.081,0.05253
3.5427,3.6543,0.07303,3565.66,0.863,0.414,738.6,760.08,35.336,29.608,-2.187,-1.017,-0.044,0.305,0.0263
2.1938,0.8861,0.26762,6583.05,0.755,0.681,625.3,657.76,26.402,29.857,-5.721,1.534,0.801,-0.213,0.03731
