Tunnel_ID,Soil_Type,Tunnel_Depth_m,Tunnel_Diameter_m,H_D_Ratio,Lining_Thickness_m,Undrained_Shear_Strength_kPa,Friction_Angle_deg,K0,Groundwater_Level_m,Volume_Loss_pct,Surface_Settlement_mm,Lateral_Displacement_mm,Pore_Water_Pressure_kPa,Crown_Convergence_mm,Risk_Score,Failure_Label
TUN-0188,Mixed_Clay_Sand,28.1,4.51,6.23,0.233,26.2,27.6,0.873,15.7,2.803,152.66,62.49,156.0,1.17,0.7188,1
TUN-0189,Sand,12.7,7.33,1.73,0.426,6.7,34.5,0.406,6.9,4.08,1291.31,315.93,85.2,0.0,0.6821,1
TUN-0190,Sand,22.1,9.3,2.38,0.386,5.0,29.1,0.516,4.4,8.0,2348.22,1114.82,18.2,0.97,0.8067,1
TUN-0191,Clay,16.6,5.53,3.01,0.199,125.3,19.9,1.403,12.3,1.072,149.67,80.75,130.4,1.18,0.4567,0
TUN-0192,Clay,6.7,5.99,1.12,0.167,105.4,19.8,1.971,4.9,0.46,184.29,73.56,52.4,0.58,0.3709,0
TUN-0193,Mixed_Clay_Sand,20.0,5.67,3.52,0.228,14.4,31.4,0.816,13.0,2.704,328.51,68.13,131.5,0.47,0.661,1
TUN-0194,Mixed_Clay_Sand,16.6,10.09,1.64,0.371,35.4,34.3,0.989,10.3,1.552,718.11,356.17,101.5,0.94,0.5667,1
TUN-0195,Sand,24.1,9.05,2.66,0.504,3.0,35.7,0.394,8.0,8.0,2039.68,672.48,68.9,0.24,0.8113,1
TUN-0196,Clay,19.7,4.58,4.31,0.129,146.4,23.0,1.048,6.2,1.04,86.15,29.33,58.8,0.4,0.4433,0
TUN-0197,Mixed_Clay_Sand,17.7,5.34,3.32,0.228,66.8,22.3,0.891,10.9,0.59,72.37,42.37,133.8,0.61,0.4898,0
TUN-0198,Mixed_Clay_Sand,19.7,3.06,6.43,0.125,20.7,29.3,1.017,9.2,2.13,74.4,17.77,92.4,0.62,0.6261,1
TUN-0199,Sand,25.2,5.0,5.05,0.154,4.1,36.9,0.59,9.8,8.0,592.74,176.44,88.2,0.84,0.8267,1
TUN-0200,Clay,13.7,11.71,1.17,0.508,65.6,20.8,1.773,10.2,0.405,303.39,153.46,118.0,0.0,0.4459,0
TUN-0201,Sand,13.2,4.31,3.06,0.25,3.9,34.6,0.382,4.6,5.57,587.08,204.04,53.8,0.0,0.7339,1
TUN-0202,Mixed_Clay_Sand,12.1,3.27,3.71,0.135,50.6,26.3,0.949,2.7,0.646,40.85,11.93,21.9,0.22,0.4201,0
TUN-0203,Clay,8.0,9.07,0.89,0.328,52.4,20.3,1.664,2.6,0.3,225.54,118.29,27.1,0.55,0.4245,0
TUN-0204,Clay,23.9,8.76,2.73,0.292,161.4,27.8,1.177,16.8,1.099,257.76,91.41,165.3,0.95,0.4788,0
TUN-0205,Sand,18.2,9.76,1.87,0.476,2.1,30.5,0.559,9.2,8.0,3143.05,1360.99,94.1,0.01,0.7695,1
TUN-0206,Clay,7.8,6.42,1.21,0.213,160.5,18.8,1.331,6.1,0.723,284.6,90.08,59.6,0.27,0.3421,0
TUN-0207,Sand,20.0,11.62,1.72,0.506,5.3,40.1,0.565,2.3,6.984,3540.56,717.52,14.1,0.27,0.7819,1
TUN-0208,Clay,8.0,11.91,0.67,0.632,113.6,25.7,1.733,5.0,0.867,1154.66,494.02,41.1,0.32,0.3877,0
TUN-0209,Mixed_Clay_Sand,23.8,8.16,2.92,0.438,36.5,26.1,0.852,11.7,2.29,482.03,251.12,104.3,0.83,0.6491,1
TUN-0210,Clay,32.3,9.79,3.3,0.384,127.2,21.4,0.872,13.0,1.781,396.53,177.97,119.0,1.11,0.5786,1
TUN-0211,Clay,28.1,3.3,8.53,0.15,92.2,19.8,1.428,19.4,0.415,8.43,2.17,178.6,1.21,0.3262,0
TUN-0212,Sand,10.0,8.95,1.11,0.19,6.7,40.9,0.499,5.4,3.186,1923.61,628.83,51.4,0.42,0.6253,1
TUN-0213,Clay,9.7,10.3,0.95,0.214,77.3,20.4,0.955,3.8,1.214,985.21,401.32,34.6,0.74,0.4594,0
TUN-0214,Clay,7.5,5.88,1.27,0.246,40.5,25.2,1.467,5.0,0.955,328.93,172.04,32.6,0.0,0.4571,0
TUN-0215,Clay,21.7,10.66,2.03,0.225,120.1,26.5,1.393,9.9,0.427,168.74,53.81,94.7,0.76,0.457,0
TUN-0216,Mixed_Clay_Sand,25.6,7.22,3.54,0.295,22.4,23.5,1.002,16.0,2.986,457.04,254.13,159.0,0.76,0.7088,1
TUN-0217,Clay,26.9,9.78,2.75,0.256,166.0,18.1,1.322,8.4,0.881,229.75,103.21,88.8,1.4,0.4947,0
TUN-0218,Sand,8.1,6.76,1.19,0.356,5.2,37.5,0.407,2.1,3.308,1406.19,557.14,8.3,0.0,0.6139,1
TUN-0219,Sand,34.0,10.88,3.13,0.598,5.6,28.2,0.46,12.1,8.0,2083.61,697.89,114.2,0.0,0.8444,1
TUN-0220,Mixed_Clay_Sand,17.6,11.91,1.47,0.29,23.2,28.7,1.108,6.6,2.125,1286.76,696.39,76.8,0.61,0.6093,1
TUN-0221,Clay,11.5,6.79,1.69,0.227,147.0,25.5,1.23,9.1,0.3,87.18,28.35,106.1,1.39,0.3652,0
TUN-0222,Sand,9.1,9.26,0.99,0.319,4.1,33.1,0.355,4.9,4.316,3039.13,1681.4,37.1,0.04,0.6732,1
TUN-0223,Clay,7.7,6.81,1.13,0.267,29.1,22.9,0.913,5.7,0.59,266.66,141.55,57.8,0.0,0.4516,0
TUN-0224,Clay,22.9,3.73,6.14,0.083,122.3,27.8,1.38,11.6,0.684,31.83,14.6,111.9,1.1,0.3905,0
TUN-0225,Mixed_Clay_Sand,13.2,6.45,2.05,0.18,54.3,30.6,0.548,7.1,0.862,202.66,85.55,70.7,0.0,0.4769,0
TUN-0226,Mixed_Clay_Sand,14.9,3.6,4.12,0.169,52.4,34.9,0.662,5.9,1.644,110.13,40.29,56.7,0.03,0.5293,0
TUN-0227,Sand,9.6,11.55,0.84,0.313,3.4,29.2,0.58,4.0,5.07,5253.14,2356.26,27.6,0.96,0.7254,1
TUN-0228,Clay,23.0,6.58,3.5,0.265,113.3,18.6,1.909,16.0,0.609,89.5,19.07,135.2,0.0,0.4706,0
TUN-0229,Clay,29.5,4.64,6.35,0.125,105.9,24.9,0.827,16.9,1.028,58.35,22.61,157.5,0.91,0.5556,1
TUN-0230,Mixed_Clay_Sand,26.5,10.45,2.53,0.549,44.0,26.8,1.036,10.1,2.019,622.73,285.58,96.2,0.08,0.6347,1
TUN-0231,Sand,23.3,4.89,4.76,0.274,0.7,33.2,0.374,12.9,8.0,616.87,336.02,122.0,0.19,0.8073,1
TUN-0232,Clay,17.1,6.86,2.5,0.334,61.9,25.0,1.999,12.6,0.962,198.85,118.6,124.9,0.0,0.5005,0
TUN-0233,Mixed_Clay_Sand,30.3,3.76,8.06,0.216,35.6,26.2,0.74,10.9,2.309,86.09,31.87,112.4,1.3,0.6994,1
TUN-0234,Clay,33.4,9.43,3.54,0.455,90.4,27.7,0.8,11.3,1.06,212.82,65.66,118.8,1.1,0.5791,1
TUN-0235,Sand,22.9,11.94,1.91,0.711,7.9,35.7,0.43,8.7,6.387,2985.12,1352.59,95.0,0.78,0.8063,1
TUN-0236,Clay,25.9,7.06,3.67,0.178,74.0,18.6,1.183,8.7,1.263,180.62,79.17,84.6,0.7,0.5725,1
TUN-0237,Sand,15.7,9.57,1.64,0.418,6.6,28.8,0.409,6.0,4.45,1949.54,919.82,60.9,1.31,0.7402,1
TUN-0238,Clay,22.9,7.44,3.07,0.263,162.6,26.3,0.892,18.1,1.102,198.91,114.88,171.0,1.33,0.4773,0
TUN-0239,Clay,31.2,10.49,2.97,0.428,134.3,27.6,1.342,17.1,0.887,233.31,136.37,182.3,0.71,0.5208,0
TUN-0240,Sand,17.9,5.33,3.35,0.195,7.1,35.7,0.434,7.8,4.794,574.2,204.68,97.0,0.58,0.7606,1
TUN-0241,Sand,17.9,5.11,3.5,0.153,6.3,34.7,0.377,2.2,5.196,568.81,254.2,6.1,0.49,0.7702,1
TUN-0242,Clay,6.1,10.77,0.57,0.499,146.1,19.8,1.187,3.2,0.3,426.55,179.4,52.1,0.09,0.3111,0
TUN-0243,Mixed_Clay_Sand,20.3,4.8,4.23,0.175,62.8,23.8,0.906,13.8,0.77,64.56,29.26,134.6,0.78,0.5225,0
TUN-0244,Clay,31.9,8.99,3.55,0.341,35.6,25.3,1.251,14.4,2.445,462.79,188.94,145.7,1.55,0.7099,1
TUN-0245,Clay,13.0,3.99,3.25,0.183,41.8,24.2,0.962,10.0,0.684,60.91,13.2,96.1,0.65,0.4887,0
TUN-0246,Clay,28.7,6.76,4.25,0.352,160.5,28.0,0.882,20.1,0.76,90.23,41.37,192.0,1.59,0.5034,0
TUN-0247,Mixed_Clay_Sand,29.6,6.27,4.71,0.276,13.4,27.9,0.926,16.5,4.104,409.13,229.47,166.9,0.38,0.7945,1
TUN-0248,Clay,19.3,6.17,3.13,0.152,110.5,19.3,1.898,14.1,0.914,133.83,56.33,138.3,1.24,0.4825,0
TUN-0249,Clay,25.8,8.07,3.19,0.218,43.9,24.9,1.208,20.6,1.714,324.91,148.38,211.5,1.67,0.6386,1
TUN-0250,Mixed_Clay_Sand,5.2,7.45,0.7,0.336,21.2,22.9,0.874,2.5,0.3,242.22,77.62,20.7,0.0,0.4284,0
TUN-0251,Clay,17.8,7.74,2.3,0.392,94.6,20.8,1.525,8.7,0.894,226.46,93.91,84.0,0.65,0.4785,0
TUN-0252,Mixed_Clay_Sand,27.8,8.4,3.31,0.342,64.4,31.2,0.9,14.7,1.031,195.28,50.83,156.4,1.35,0.5924,1
TUN-0253,Clay,28.9,9.06,3.19,0.409,169.2,26.9,1.654,11.5,0.586,127.11,36.03,108.9,0.31,0.4766,0
TUN-0254,Sand,33.7,10.28,3.28,0.327,0.5,41.5,0.496,6.3,8.0,1876.6,516.08,63.0,0.44,0.8561,1
TUN-0255,Clay,24.7,10.8,2.28,0.509,96.8,24.6,1.635,17.0,1.514,535.27,253.05,162.9,0.47,0.5504,1
TUN-0256,Clay,15.0,7.24,2.07,0.404,130.5,19.7,1.855,8.2,0.416,109.46,30.25,66.4,0.85,0.4029,0
TUN-0257,Sand,19.3,5.04,3.84,0.158,7.8,32.8,0.504,6.8,4.73,466.09,244.42,59.8,0.99,0.7725,1
TUN-0258,Sand,18.4,11.07,1.66,0.625,3.5,34.8,0.471,4.4,8.0,3999.96,2150.54,37.8,0.91,0.7826,1
TUN-0259,Sand,15.5,4.67,3.31,0.199,7.5,39.8,0.541,7.5,4.186,439.97,138.25,74.2,0.0,0.7049,1
TUN-0260,Mixed_Clay_Sand,16.2,4.03,4.02,0.206,58.9,25.3,1.187,6.5,1.266,96.16,25.23,66.5,0.5,0.5199,0
TUN-0261,Clay,24.9,10.87,2.29,0.565,142.9,19.6,1.029,14.3,1.051,374.92,145.27,141.5,0.01,0.4761,0
TUN-0262,Clay,7.1,8.17,0.86,0.221,157.0,24.0,1.838,3.6,0.41,291.66,173.44,60.2,0.47,0.3246,0
TUN-0263,Sand,12.5,9.61,1.3,0.57,1.0,36.9,0.479,6.5,8.0,4446.77,1996.3,68.5,0.0,0.7321,1
TUN-0264,Clay,34.6,5.04,6.85,0.253,62.4,22.0,1.857,10.9,1.714,94.44,42.52,87.0,0.65,0.6331,1
TUN-0265,Clay,5.8,6.2,0.94,0.355,67.6,23.9,1.158,2.1,0.551,272.78,86.88,1.8,0.36,0.404,0
TUN-0266,Clay,26.5,3.01,8.8,0.06,45.6,22.8,0.858,17.5,1.68,43.09,20.27,167.0,1.55,0.6038,1
TUN-0267,Clay,11.4,10.37,1.1,0.345,151.2,20.2,1.227,4.0,0.3,206.84,41.86,38.7,0.0,0.3412,0
TUN-0268,Mixed_Clay_Sand,19.8,9.21,2.15,0.487,13.6,26.4,0.518,4.5,3.197,1026.84,390.48,38.1,0.35,0.6837,1
TUN-0269,Clay,13.9,8.77,1.59,0.42,77.6,25.9,1.301,7.8,0.83,343.4,168.62,71.0,1.13,0.4735,0
TUN-0270,Clay,27.5,8.0,3.44,0.408,111.4,24.0,1.098,18.2,0.873,152.42,90.81,175.1,0.0,0.5157,0
TUN-0271,Mixed_Clay_Sand,12.9,3.41,3.8,0.127,17.0,23.5,0.824,6.5,2.03,137.12,73.64,69.7,0.0,0.5707,1
TUN-0272,Sand,25.9,8.11,3.19,0.248,3.0,34.3,0.354,14.0,8.0,1530.66,411.39,137.7,1.23,0.8379,1
TUN-0273,Clay,15.4,6.49,2.37,0.229,118.1,21.9,1.609,8.3,0.789,163.07,36.57,66.4,0.0,0.4239,0
TUN-0274,Mixed_Clay_Sand,12.9,9.31,1.38,0.527,51.3,33.2,0.657,8.4,0.898,451.74,249.33,75.6,0.92,0.4932,0
TUN-0275,Mixed_Clay_Sand,24.4,4.7,5.19,0.224,14.5,24.6,0.95,16.0,3.735,252.29,133.58,168.0,0.48,0.7422,1
TUN-0276,Clay,10.9,6.6,1.65,0.146,100.6,25.3,1.437,8.6,0.766,228.66,88.73,83.9,0.86,0.4234,0
TUN-0277,Clay,28.0,6.77,4.13,0.351,110.5,18.8,1.263,13.0,0.72,89.56,45.76,139.7,1.27,0.531,0
TUN-0278,Clay,6.1,5.59,1.09,0.285,107.8,22.1,1.876,3.3,0.319,122.68,50.17,33.1,0.0,0.3489,0
TUN-0279,Clay,30.0,11.5,2.61,0.43,103.1,22.2,1.996,22.6,1.492,492.18,185.99,222.2,1.0,0.5865,1
TUN-0280,Mixed_Clay_Sand,28.9,9.25,3.13,0.527,21.2,26.9,1.09,7.3,3.628,804.31,302.21,71.6,0.05,0.7539,1
TUN-0281,Clay,17.7,10.59,1.67,0.437,94.9,21.2,0.988,14.1,0.743,353.09,114.95,153.8,0.83,0.4727,0
TUN-0282,Clay,18.9,10.56,1.79,0.626,84.4,19.4,1.48,14.6,0.802,356.64,115.45,159.7,0.78,0.4934,0
TUN-0283,Clay,12.3,7.33,1.67,0.257,97.8,19.0,1.203,8.7,0.824,271.52,131.29,84.9,0.0,0.4251,0
TUN-0284,Sand,14.1,11.34,1.24,0.28,0.2,31.1,0.502,7.3,8.0,5485.08,1413.29,59.4,0.4,0.7496,1
TUN-0285,Sand,20.7,3.39,6.1,0.161,4.6,36.7,0.482,9.5,7.918,331.23,191.26,93.9,0.65,0.7929,1
TUN-0286,Mixed_Clay_Sand,12.9,11.95,1.08,0.367,11.3,34.5,0.657,6.3,2.663,2217.82,1120.05,47.2,0.52,0.6154,1
TUN-0287,Clay,16.1,9.43,1.71,0.458,72.7,21.0,1.185,12.0,0.985,405.89,240.68,101.8,0.41,0.49,0
TUN-0288,Clay,10.7,6.91,1.55,0.403,39.7,25.9,1.029,5.9,1.189,397.91,203.05,68.8,0.0,0.4914,0
TUN-0289,Clay,29.5,3.35,8.8,0.136,167.7,26.9,1.765,9.2,1.131,29.74,11.77,100.1,1.07,0.4178,0
TUN-0290,Clay,14.8,9.63,1.54,0.457,104.5,22.2,1.589,4.7,0.953,448.44,127.41,38.2,0.67,0.4517,0
TUN-0291,Sand,32.1,4.27,7.52,0.13,2.0,39.0,0.48,7.3,8.0,340.89,199.83,90.5,0.9,0.8615,1
TUN-0292,Sand,19.6,10.6,1.85,0.275,3.6,36.9,0.586,10.8,8.0,3446.43,1864.38,113.0,1.02,0.7923,1
TUN-0293,Mixed_Clay_Sand,30.0,3.08,9.72,0.1,38.2,30.8,0.715,10.8,2.132,51.77,19.41,105.3,0.94,0.6823,1
TUN-0294,Sand,28.9,3.5,8.24,0.123,5.1,40.6,0.532,7.9,8.0,255.48,135.94,84.4,0.87,0.8504,1
TUN-0295,Sand,17.9,6.61,2.71,0.15,1.0,28.9,0.363,2.6,8.0,1463.05,445.64,28.5,0.4,0.7742,1
TUN-0296,Mixed_Clay_Sand,19.3,11.67,1.66,0.323,12.1,29.7,0.73,9.4,3.536,1862.81,1006.8,76.3,0.7,0.7039,1
TUN-0297,Sand,25.2,3.45,7.31,0.142,3.8,41.6,0.539,4.5,8.0,286.45,117.4,44.4,0.0,0.8143,1
TUN-0298,Clay,5.6,9.58,0.58,0.425,66.6,24.3,1.17,2.4,0.3,370.03,166.62,29.2,0.0,0.3857,0
TUN-0299,Clay,23.1,5.3,4.36,0.271,80.5,24.7,1.463,16.4,1.438,132.46,47.9,157.0,0.0,0.5457,0
TUN-0300,Sand,12.9,10.46,1.24,0.293,2.9,29.3,0.497,7.4,7.19,4566.04,2694.15,67.7,0.0,0.7334,1
TUN-0301,Clay,32.7,10.28,3.18,0.334,170.7,19.1,1.187,20.5,0.764,185.73,79.27,198.3,0.92,0.5021,0
TUN-0302,Sand,25.9,10.02,2.59,0.236,3.9,30.3,0.538,11.1,8.0,2320.09,937.62,111.0,1.35,0.8392,1
TUN-0303,Mixed_Clay_Sand,11.2,5.58,2.0,0.21,46.6,25.3,0.767,6.1,1.207,250.68,148.97,62.6,0.0,0.4883,0
TUN-0304,Mixed_Clay_Sand,9.2,7.89,1.17,0.412,37.9,31.6,1.129,3.0,1.803,913.2,335.49,17.0,0.04,0.5142,0
TUN-0305,Mixed_Clay_Sand,22.0,5.41,4.07,0.312,64.2,26.7,1.036,11.0,1.058,103.3,29.32,119.2,0.22,0.5387,0
TUN-0306,Sand,17.2,3.02,5.69,0.164,5.5,34.3,0.592,9.8,5.77,230.52,121.44,88.2,0.24,0.7628,1
TUN-0307,Clay,13.4,11.68,1.15,0.598,34.3,25.9,1.004,6.4,1.221,931.65,301.39,53.7,0.0,0.5161,0
TUN-0308,Mixed_Clay_Sand,7.7,8.36,0.93,0.456,15.6,30.3,0.858,2.8,1.703,1154.51,373.77,21.0,0.77,0.5327,0
TUN-0309,Mixed_Clay_Sand,15.0,9.72,1.54,0.566,16.8,28.9,0.508,9.2,1.902,896.25,425.64,77.9,0.03,0.5788,1
TUN-0310,Sand,33.7,10.98,3.07,0.528,7.5,40.3,0.532,18.8,8.0,2147.92,861.13,198.1,0.88,0.8557,1
TUN-0311,Mixed_Clay_Sand,33.5,7.07,4.74,0.166,53.9,23.3,0.935,15.5,2.205,245.2,63.15,165.7,1.8,0.6834,1
TUN-0312,Sand,21.2,5.91,3.59,0.316,8.0,32.4,0.53,3.9,4.892,602.2,266.25,54.5,0.69,0.7884,1
TUN-0313,Clay,32.9,3.55,9.25,0.112,112.3,26.6,1.492,13.4,0.951,27.93,8.18,142.1,1.98,0.4546,0
TUN-0314,Sand,26.7,11.06,2.42,0.586,4.9,28.5,0.537,15.7,8.0,2749.33,1395.19,138.2,0.83,0.8357,1
TUN-0315,Sand,21.0,3.34,6.27,0.187,2.1,41.7,0.401,4.8,8.0,324.45,122.08,44.6,0.66,0.7975,1
TUN-0316,Mixed_Clay_Sand,33.9,5.95,5.69,0.281,60.5,30.5,0.579,15.9,0.971,74.79,25.37,162.3,0.84,0.6007,1
TUN-0317,Mixed_Clay_Sand,10.1,9.84,1.02,0.34,58.0,28.4,0.83,6.5,0.783,562.21,137.35,70.0,0.28,0.4524,0
TUN-0318,Clay,28.3,11.14,2.54,0.277,35.4,26.5,1.401,18.0,2.578,843.64,269.85,163.0,0.54,0.6903,1
TUN-0319,Sand,21.5,10.63,2.02,0.604,7.2,36.4,0.43,6.0,5.803,2290.83,605.96,68.1,0.72,0.7968,1
TUN-0320,Sand,21.0,3.52,5.97,0.211,7.9,35.3,0.402,4.0,5.955,263.81,103.23,33.6,0.73,0.7932,1
TUN-0321,Mixed_Clay_Sand,7.1,7.9,0.9,0.379,77.9,31.6,0.884,4.2,0.3,197.32,101.54,32.4,0.0,0.3845,0
TUN-0322,Clay,23.8,6.71,3.55,0.239,154.7,21.2,1.574,17.5,1.336,189.27,40.53,195.8,0.92,0.4893,0
TUN-0323,Sand,11.7,9.23,1.27,0.25,7.1,33.0,0.45,2.4,3.744,2042.83,655.98,21.9,0.88,0.6715,1
TUN-0324,Clay,14.4,10.75,1.34,0.22,136.0,22.2,1.661,8.0,1.157,698.94,221.72,77.0,1.12,0.4346,0
TUN-0325,Clay,25.9,7.51,3.45,0.324,57.6,27.3,0.933,16.7,2.182,356.71,184.05,163.6,1.02,0.6393,1
TUN-0326,Clay,34.8,6.29,5.53,0.329,79.4,20.2,1.204,13.8,1.535,130.35,33.72,126.2,0.4,0.6033,1
TUN-0327,Sand,33.7,6.23,5.42,0.159,2.4,39.1,0.428,9.8,8.0,688.75,269.52,104.8,1.23,0.866,1
TUN-0328,Mixed_Clay_Sand,15.6,6.42,2.43,0.206,32.4,27.2,1.13,3.3,1.0,199.67,73.23,35.3,1.0,0.5367,0
TUN-0329,Clay,9.1,4.98,1.83,0.111,143.5,23.3,1.743,4.1,1.163,235.56,58.54,49.6,0.74,0.3866,0
TUN-0330,Sand,20.5,7.06,2.9,0.27,1.7,33.9,0.474,9.7,8.0,1462.67,679.96,83.9,0.99,0.7995,1
TUN-0331,Sand,19.0,6.0,3.16,0.318,7.9,31.0,0.572,7.1,4.107,586.95,331.12,68.0,0.0,0.7238,1
TUN-0332,Mixed_Clay_Sand,19.7,5.59,3.53,0.327,25.2,29.9,0.8,8.4,1.604,190.13,50.73,77.6,0.75,0.5978,1
TUN-0333,Mixed_Clay_Sand,26.0,4.16,6.25,0.246,23.2,26.6,0.995,7.0,2.963,150.37,81.72,56.5,0.62,0.7074,1
TUN-0334,Clay,22.4,7.79,2.87,0.33,125.7,26.5,1.126,12.9,0.685,136.76,28.47,115.6,0.71,0.4686,0
TUN-0335,Mixed_Clay_Sand,12.3,9.45,1.3,0.301,62.8,33.1,0.734,2.5,0.908,492.83,220.52,17.7,0.92,0.4783,0
TUN-0336,Sand,16.3,4.61,3.54,0.164,2.6,41.9,0.358,3.6,8.0,784.36,374.03,31.3,0.79,0.7678,1
TUN-0337,Sand,25.8,8.18,3.16,0.354,7.5,40.9,0.359,7.9,6.32,1222.76,268.79,79.4,0.82,0.8271,1
TUN-0338,Clay,29.5,4.76,6.2,0.205,85.0,21.5,1.844,23.2,1.178,71.05,30.02,215.0,0.42,0.5769,1
TUN-0339,Clay,34.6,3.77,9.18,0.116,157.8,22.1,1.501,11.2,1.345,40.37,16.11,105.7,0.83,0.4816,0
TUN-0340,Clay,17.3,11.83,1.46,0.242,103.1,24.7,1.768,11.6,1.069,649.06,150.26,106.3,0.5,0.4732,0
TUN-0341,Clay,14.2,11.45,1.24,0.554,25.6,20.8,0.821,6.3,1.624,1128.09,588.46,70.0,0.17,0.5527,1
TUN-0342,Mixed_Clay_Sand,26.8,7.84,3.42,0.456,76.3,33.7,0.642,8.2,1.413,242.32,125.76,88.4,1.0,0.5882,1
TUN-0343,Clay,17.9,10.71,1.67,0.424,132.0,25.6,0.945,6.8,1.0,480.84,161.93,66.8,0.52,0.4452,0
TUN-0344,Mixed_Clay_Sand,14.3,8.73,1.64,0.275,17.8,34.9,0.623,4.2,2.26,905.16,535.07,45.8,1.54,0.6136,1
TUN-0345,Clay,9.8,9.33,1.05,0.436,38.9,27.3,1.106,7.3,0.623,417.18,152.18,79.3,0.64,0.4668,0
TUN-0346,Clay,23.7,8.1,2.92,0.243,177.4,26.5,0.825,12.1,0.581,122.54,37.47,115.5,1.17,0.4544,0
TUN-0347,Clay,31.7,3.99,7.94,0.237,160.6,26.4,1.289,17.6,0.538,20.88,4.47,172.7,0.71,0.342,0
TUN-0348,Clay,17.0,8.68,1.95,0.489,70.7,27.5,1.139,12.0,0.946,314.77,165.23,115.9,0.0,0.4897,0
TUN-0349,Sand,23.3,5.36,4.35,0.158,3.9,28.5,0.511,11.9,8.0,739.02,314.94,134.6,0.0,0.8018,1
TUN-0350,Clay,24.8,8.26,3.0,0.227,88.5,24.8,1.157,13.7,1.23,253.53,90.08,133.7,0.47,0.5453,0
TUN-0351,Mixed_Clay_Sand,25.1,7.57,3.32,0.445,71.8,29.3,0.89,8.5,1.398,238.07,114.62,87.2,0.05,0.566,1
TUN-0352,Mixed_Clay_Sand,33.8,3.98,8.49,0.106,25.3,34.5,0.987,18.2,2.886,107.85,34.09,183.0,1.49,0.7413,1
TUN-0353,Sand,12.7,8.7,1.46,0.247,3.9,30.7,0.54,3.3,5.506,2465.08,1143.4,28.8,0.1,0.7321,1
TUN-0354,Mixed_Clay_Sand,5.2,9.61,0.54,0.556,31.5,23.0,0.675,1.9,0.774,1026.62,503.18,0.0,0.05,0.4429,0
TUN-0355,Sand,8.8,5.96,1.48,0.147,5.5,40.7,0.572,2.3,3.477,1048.82,330.31,13.6,0.4,0.6331,1
TUN-0356,Sand,33.4,6.62,5.04,0.25,0.5,30.1,0.523,7.3,8.0,788.63,393.45,81.0,1.44,0.8711,1
TUN-0357,Sand,25.3,7.74,3.28,0.218,1.7,33.7,0.353,13.8,8.0,1419.04,509.35,132.4,1.06,0.8331,1
TUN-0358,Sand,27.8,10.2,2.72,0.492,0.0,28.0,0.594,6.4,8.0,2248.42,972.74,54.1,0.07,0.8361,1
TUN-0359,Clay,26.1,4.12,6.33,0.154,139.1,27.2,1.848,19.1,0.844,42.4,20.08,185.4,0.66,0.449,0
TUN-0360,Mixed_Clay_Sand,17.3,10.96,1.57,0.322,12.8,31.9,0.938,7.2,2.851,1489.76,491.34,74.5,0.36,0.6503,1
TUN-0361,Sand,10.8,5.38,2.0,0.204,2.5,29.8,0.471,3.8,6.925,1393.28,295.01,34.1,0.24,0.723,1
TUN-0362,Clay,32.6,4.79,6.79,0.109,87.6,19.9,0.874,22.0,1.155,59.82,23.16,217.0,1.38,0.5909,1
TUN-0363,Clay,29.7,9.62,3.09,0.537,46.8,23.3,0.824,21.2,1.638,381.6,125.87,205.7,1.01,0.6483,1
TUN-0364,Clay,21.7,10.15,2.14,0.503,170.1,18.0,1.225,10.5,0.521,186.2,67.41,122.5,0.29,0.4249,0
TUN-0365,Clay,33.6,3.58,9.38,0.183,136.3,27.0,0.909,26.4,1.137,32.52,7.61,257.6,0.68,0.4433,0
TUN-0366,Clay,20.8,5.88,3.53,0.181,120.8,25.9,1.332,11.4,1.385,171.15,90.96,114.9,0.75,0.4982,0
TUN-0367,Clay,20.0,3.95,5.06,0.2,73.2,21.1,1.934,10.2,1.41,83.7,27.33,112.4,0.52,0.5386,0
TUN-0368,Mixed_Clay_Sand,10.1,5.24,1.92,0.266,78.9,33.0,0.979,6.6,0.657,132.68,68.41,65.0,0.57,0.4296,0
TUN-0369,Clay,27.0,6.59,4.1,0.203,105.2,22.9,1.219,16.9,0.941,112.36,49.23,167.8,0.67,0.532,0
TUN-0370,Sand,29.1,10.49,2.78,0.227,5.6,39.2,0.449,10.8,8.0,2264.5,907.27,95.1,1.15,0.8559,1
TUN-0371,Clay,12.1,7.35,1.65,0.394,62.6,24.6,1.105,4.5,0.577,192.89,46.65,49.5,0.0,0.4473,0
TUN-0372,Mixed_Clay_Sand,12.4,10.26,1.21,0.287,49.1,33.9,0.707,3.0,1.132,717.09,352.33,31.4,0.0,0.4904,0
TUN-0373,Sand,12.2,11.25,1.08,0.381,6.1,31.6,0.529,1.4,4.232,3305.76,1257.8,11.1,0.0,0.6866,1
TUN-0374,Mixed_Clay_Sand,12.3,10.12,1.22,0.384,33.4,24.6,0.943,4.5,0.944,587.65,191.7,41.0,0.0,0.4959,0
TUN-0375,Mixed_Clay_Sand,28.4,11.7,2.43,0.409,31.3,27.3,0.866,16.2,2.162,781.53,246.71,169.2,1.39,0.6869,1
TUN-0376,Sand,19.6,4.82,4.06,0.265,6.2,30.0,0.442,7.3,5.586,493.25,240.48,61.3,0.33,0.7794,1
TUN-0377,Clay,7.5,7.18,1.05,0.193,65.0,23.1,1.968,4.8,0.527,268.9,97.46,32.8,0.16,0.4139,0
