Time_hours,Flow_Condition,Flow_Rate_L_per_min,Settlement_mm,Pore_Water_Pressure_kPa,Moisture_Content_pct,Soil_Type,Depth_m,Void_Ratio
32,High_Flow_5.0_L_min,5.0,262.94,45.77,28.64,Sandy_Clay,4.5,0.828
33,High_Flow_5.0_L_min,5.0,258.69,47.41,29.67,Sandy_Clay,3.1,0.737
34,High_Flow_5.0_L_min,5.0,262.36,45.84,29.71,Sandy_Clay,3.8,0.763
35,High_Flow_5.0_L_min,5.0,262.33,45.82,28.57,Sandy_Clay,1.8,0.831
36,High_Flow_5.0_L_min,5.0,256.57,48.44,28.79,Sandy_Clay,3.3,0.705
37,High_Flow_5.0_L_min,5.0,256.45,48.33,30.37,Sandy_Clay,4.5,0.805
38,High_Flow_5.0_L_min,5.0,266.95,48.83,30.47,Sandy_Clay,4.1,0.792
39,High_Flow_5.0_L_min,5.0,266.42,48.61,30.55,Sandy_Clay,1.7,0.671
40,High_Flow_5.0_L_min,5.0,270.84,48.87,29.8,Sandy_Clay,3.4,0.797
41,High_Flow_5.0_L_min,5.0,269.43,50.78,30.46,Sandy_Clay,3.3,0.779
42,High_Flow_5.0_L_min,5.0,270.32,49.43,28.97,Sandy_Clay,2.6,0.57
43,High_Flow_5.0_L_min,5.0,269.74,52.04,30.26,Sandy_Clay,4.4,0.68
44,High_Flow_5.0_L_min,5.0,271.98,49.54,29.1,Sandy_Clay,3.4,0.615
45,High_Flow_5.0_L_min,5.0,271.74,55.34,30.84,Sandy_Clay,2.0,0.568
46,High_Flow_5.0_L_min,5.0,272.04,55.79,30.0,Sandy_Clay,4.5,0.622
47,High_Flow_5.0_L_min,5.0,272.06,53.14,29.65,Sandy_Clay,3.6,0.569
48,High_Flow_5.0_L_min,5.0,274.66,54.56,30.25,Sandy_Clay,2.4,0.737
49,High_Flow_5.0_L_min,5.0,279.45,51.2,30.66,Sandy_Clay,1.9,0.816
50,High_Flow_5.0_L_min,5.0,269.13,55.15,28.98,Sandy_Clay,4.0,0.77
51,High_Flow_5.0_L_min,5.0,267.7,55.07,27.85,Sandy_Clay,1.6,0.628
52,High_Flow_5.0_L_min,5.0,273.34,56.96,28.75,Sandy_Clay,1.5,0.622
53,High_Flow_5.0_L_min,5.0,276.74,56.77,30.4,Sandy_Clay,1.8,0.714
54,High_Flow_5.0_L_min,5.0,281.3,56.96,29.92,Sandy_Clay,2.0,0.647
55,High_Flow_5.0_L_min,5.0,272.64,57.34,31.32,Sandy_Clay,2.6,0.668
56,High_Flow_5.0_L_min,5.0,283.01,57.67,29.42,Sandy_Clay,3.6,0.681
57,High_Flow_5.0_L_min,5.0,281.44,59.37,29.57,Sandy_Clay,1.6,0.821
58,High_Flow_5.0_L_min,5.0,286.36,57.8,30.56,Sandy_Clay,3.4,0.734
59,High_Flow_5.0_L_min,5.0,278.76,59.11,29.36,Sandy_Clay,2.0,0.771
60,High_Flow_5.0_L_min,5.0,286.15,59.6,29.68,Sandy_Clay,1.7,0.554
61,High_Flow_5.0_L_min,5.0,278.65,57.7,29.2,Sandy_Clay,2.5,0.782
62,High_Flow_5.0_L_min,5.0,273.64,60.83,30.92,Sandy_Clay,2.3,0.556
63,High_Flow_5.0_L_min,5.0,281.21,61.82,29.37,Sandy_Clay,3.4,0.665
64,High_Flow_5.0_L_min,5.0,276.97,60.24,31.04,Sandy_Clay,3.4,0.709
65,High_Flow_5.0_L_min,5.0,280.79,59.93,30.72,Sandy_Clay,4.4,0.731
66,High_Flow_5.0_L_min,5.0,284.99,61.93,30.41,Sandy_Clay,1.9,0.651
67,High_Flow_5.0_L_min,5.0,283.19,59.86,28.41,Sandy_Clay,2.8,0.734
68,High_Flow_5.0_L_min,5.0,277.86,61.26,30.23,Sandy_Clay,2.4,0.795
69,High_Flow_5.0_L_min,5.0,282.3,61.66,30.21,Sandy_Clay,3.8,0.688
70,High_Flow_5.0_L_min,5.0,281.03,63.24,30.52,Sandy_Clay,2.0,0.714
71,High_Flow_5.0_L_min,5.0,283.97,62.96,29.47,Sandy_Clay,4.0,0.614
72,High_Flow_5.0_L_min,5.0,284.32,62.6,30.24,Sandy_Clay,3.3,0.703
73,High_Flow_5.0_L_min,5.0,286.33,63.62,28.58,Sandy_Clay,3.6,0.812
74,High_Flow_5.0_L_min,5.0,284.67,63.97,29.88,Sandy_Clay,1.5,0.624
75,High_Flow_5.0_L_min,5.0,274.16,62.83,29.31,Sandy_Clay,3.9,0.611
76,High_Flow_5.0_L_min,5.0,286.37,63.91,29.04,Sandy_Clay,2.6,0.785
77,High_Flow_5.0_L_min,5.0,281.28,63.28,30.01,Sandy_Clay,3.8,0.561
78,High_Flow_5.0_L_min,5.0,276.16,64.61,29.9,Sandy_Clay,2.5,0.595
79,High_Flow_5.0_L_min,5.0,281.26,64.86,29.7,Sandy_Clay,4.5,0.66
80,High_Flow_5.0_L_min,5.0,286.79,63.32,30.18,Sandy_Clay,2.7,0.674
81,High_Flow_5.0_L_min,5.0,283.49,61.76,31.01,Sandy_Clay,3.9,0.578
82,High_Flow_5.0_L_min,5.0,277.29,68.01,29.55,Sandy_Clay,3.2,0.718
83,High_Flow_5.0_L_min,5.0,280.41,67.38,30.96,Sandy_Clay,3.5,0.791
84,High_Flow_5.0_L_min,5.0,282.93,63.57,29.34,Sandy_Clay,1.7,0.65
85,High_Flow_5.0_L_min,5.0,279.67,65.54,30.76,Sandy_Clay,3.9,0.705
86,High_Flow_5.0_L_min,5.0,274.92,64.3,29.42,Sandy_Clay,1.8,0.616
87,High_Flow_5.0_L_min,5.0,271.89,66.94,30.5,Sandy_Clay,4.5,0.83
88,High_Flow_5.0_L_min,5.0,275.45,67.53,30.98,Sandy_Clay,1.9,0.673
89,High_Flow_5.0_L_min,5.0,282.22,64.26,30.87,Sandy_Clay,3.2,0.726
90,High_Flow_5.0_L_min,5.0,277.74,63.21,30.11,Sandy_Clay,2.4,0.832
91,High_Flow_5.0_L_min,5.0,272.38,64.25,28.72,Sandy_Clay,4.1,0.803
92,High_Flow_5.0_L_min,5.0,281.98,64.2,29.06,Sandy_Clay,1.9,0.574
93,High_Flow_5.0_L_min,5.0,267.77,65.0,31.42,Sandy_Clay,2.8,0.769
94,High_Flow_5.0_L_min,5.0,277.32,65.78,29.2,Sandy_Clay,3.8,0.747
95,High_Flow_5.0_L_min,5.0,281.13,64.96,29.84,Sandy_Clay,2.3,0.624
96,High_Flow_5.0_L_min,5.0,278.92,65.69,30.73,Sandy_Clay,2.8,0.783
97,High_Flow_5.0_L_min,5.0,276.51,65.12,29.4,Sandy_Clay,1.6,0.569
98,High_Flow_5.0_L_min,5.0,269.71,66.5,30.59,Sandy_Clay,1.6,0.749
99,High_Flow_5.0_L_min,5.0,278.72,65.28,30.41,Sandy_Clay,4.3,0.566
100,High_Flow_5.0_L_min,5.0,273.34,64.39,30.63,Sandy_Clay,2.1,0.72
101,High_Flow_5.0_L_min,5.0,274.65,65.88,29.97,Sandy_Clay,3.3,0.655
102,High_Flow_5.0_L_min,5.0,276.83,63.96,30.16,Sandy_Clay,3.1,0.584
103,High_Flow_5.0_L_min,5.0,284.75,65.8,30.55,Sandy_Clay,1.7,0.762
104,High_Flow_5.0_L_min,5.0,276.46,65.27,29.14,Sandy_Clay,2.0,0.834
105,High_Flow_5.0_L_min,5.0,267.67,65.77,30.72,Sandy_Clay,2.9,0.674
106,High_Flow_5.0_L_min,5.0,282.54,68.17,30.02,Sandy_Clay,3.9,0.688
107,High_Flow_5.0_L_min,5.0,276.89,64.08,29.36,Sandy_Clay,2.0,0.649
108,High_Flow_5.0_L_min,5.0,280.47,67.45,30.26,Sandy_Clay,4.1,0.811
109,High_Flow_5.0_L_min,5.0,278.89,64.53,28.75,Sandy_Clay,4.5,0.782
110,High_Flow_5.0_L_min,5.0,283.67,64.81,29.86,Sandy_Clay,1.8,0.747
111,High_Flow_5.0_L_min,5.0,293.37,64.23,30.92,Sandy_Clay,3.8,0.839
112,High_Flow_5.0_L_min,5.0,280.44,62.66,30.74,Sandy_Clay,3.2,0.74
113,High_Flow_5.0_L_min,5.0,277.16,64.08,31.02,Sandy_Clay,4.2,0.71
114,High_Flow_5.0_L_min,5.0,282.01,63.42,29.49,Sandy_Clay,4.1,0.822
115,High_Flow_5.0_L_min,5.0,284.3,64.12,29.68,Sandy_Clay,2.1,0.818
116,High_Flow_5.0_L_min,5.0,275.96,65.18,31.65,Sandy_Clay,1.8,0.815
117,High_Flow_5.0_L_min,5.0,275.49,64.51,31.13,Sandy_Clay,4.4,0.675
118,High_Flow_5.0_L_min,5.0,275.52,65.03,29.85,Sandy_Clay,2.0,0.554
119,High_Flow_5.0_L_min,5.0,284.12,66.08,32.07,Sandy_Clay,3.7,0.817
120,High_Flow_5.0_L_min,5.0,280.8,63.69,30.27,Sandy_Clay,4.0,0.712
0,Burst_Flow_10.0_L_min,10.0,0.0,8.49,18.91,Sandy_Clay,2.9,0.796
1,Burst_Flow_10.0_L_min,10.0,36.56,12.06,21.21,Sandy_Clay,2.5,0.602
2,Burst_Flow_10.0_L_min,10.0,95.86,17.14,22.39,Sandy_Clay,1.8,0.622
3,Burst_Flow_10.0_L_min,10.0,133.4,17.35,24.71,Sandy_Clay,3.5,0.736
4,Burst_Flow_10.0_L_min,10.0,169.37,23.03,24.26,Sandy_Clay,2.9,0.844
5,Burst_Flow_10.0_L_min,10.0,196.93,24.75,24.64,Sandy_Clay,3.6,0.571
6,Burst_Flow_10.0_L_min,10.0,238.98,27.38,26.18,Sandy_Clay,2.2,0.801
7,Burst_Flow_10.0_L_min,10.0,261.61,27.56,27.14,Sandy_Clay,2.4,0.614
8,Burst_Flow_10.0_L_min,10.0,290.79,32.93,27.72,Sandy_Clay,4.1,0.78
9,Burst_Flow_10.0_L_min,10.0,301.47,36.34,28.34,Sandy_Clay,3.5,0.718
10,Burst_Flow_10.0_L_min,10.0,312.83,36.95,27.6,Sandy_Clay,2.9,0.809
11,Burst_Flow_10.0_L_min,10.0,315.12,40.83,28.24,Sandy_Clay,3.7,0.825
12,Burst_Flow_10.0_L_min,10.0,342.77,42.99,28.56,Sandy_Clay,2.4,0.823
13,Burst_Flow_10.0_L_min,10.0,360.43,45.17,28.36,Sandy_Clay,4.0,0.634
14,Burst_Flow_10.0_L_min,10.0,373.46,47.06,30.74,Sandy_Clay,1.8,0.623
15,Burst_Flow_10.0_L_min,10.0,375.48,48.28,30.04,Sandy_Clay,2.4,0.64
16,Burst_Flow_10.0_L_min,10.0,373.12,52.33,30.88,Sandy_Clay,4.2,0.606
17,Burst_Flow_10.0_L_min,10.0,390.78,52.77,29.66,Sandy_Clay,1.7,0.799
18,Burst_Flow_10.0_L_min,10.0,405.95,53.71,29.86,Sandy_Clay,1.8,0.823
19,Burst_Flow_10.0_L_min,10.0,410.55,57.89,29.88,Sandy_Clay,3.1,0.679
20,Burst_Flow_10.0_L_min,10.0,415.93,58.14,28.32,Sandy_Clay,3.8,0.731
21,Burst_Flow_10.0_L_min,10.0,412.87,62.5,31.11,Sandy_Clay,3.3,0.761
22,Burst_Flow_10.0_L_min,10.0,426.76,63.08,28.57,Sandy_Clay,1.8,0.665
23,Burst_Flow_10.0_L_min,10.0,436.17,64.56,29.98,Sandy_Clay,3.7,0.702
24,Burst_Flow_10.0_L_min,10.0,428.46,65.7,30.06,Sandy_Clay,2.3,0.659
25,Burst_Flow_10.0_L_min,10.0,423.47,68.35,29.58,Sandy_Clay,4.4,0.649
26,Burst_Flow_10.0_L_min,10.0,425.46,68.03,29.87,Sandy_Clay,3.3,0.634
27,Burst_Flow_10.0_L_min,10.0,432.93,69.65,29.7,Sandy_Clay,3.9,0.722
28,Burst_Flow_10.0_L_min,10.0,429.29,70.67,30.05,Sandy_Clay,4.3,0.669
29,Burst_Flow_10.0_L_min,10.0,437.58,73.97,29.71,Sandy_Clay,3.0,0.812
30,Burst_Flow_10.0_L_min,10.0,432.33,79.53,29.92,Sandy_Clay,4.5,0.589
31,Burst_Flow_10.0_L_min,10.0,434.31,75.94,28.53,Sandy_Clay,4.2,0.764
32,Burst_Flow_10.0_L_min,10.0,429.63,77.34,30.7,Sandy_Clay,4.0,0.837
33,Burst_Flow_10.0_L_min,10.0,438.16,81.39,31.27,Sandy_Clay,1.8,0.665
34,Burst_Flow_10.0_L_min,10.0,448.45,79.37,29.41,Sandy_Clay,1.9,0.676
35,Burst_Flow_10.0_L_min,10.0,442.37,84.11,29.81,Sandy_Clay,4.3,0.751
36,Burst_Flow_10.0_L_min,10.0,439.63,83.71,31.12,Sandy_Clay,3.3,0.553
37,Burst_Flow_10.0_L_min,10.0,449.47,87.02,30.76,Sandy_Clay,3.7,0.586
38,Burst_Flow_10.0_L_min,10.0,447.23,86.24,30.08,Sandy_Clay,1.5,0.677
39,Burst_Flow_10.0_L_min,10.0,444.96,86.39,29.56,Sandy_Clay,1.9,0.718
40,Burst_Flow_10.0_L_min,10.0,446.92,92.34,29.3,Sandy_Clay,3.5,0.804
41,Burst_Flow_10.0_L_min,10.0,442.35,94.29,29.04,Sandy_Clay,2.4,0.787
42,Burst_Flow_10.0_L_min,10.0,453.29,94.88,29.8,Sandy_Clay,4.0,0.807
43,Burst_Flow_10.0_L_min,10.0,446.51,95.13,30.63,Sandy_Clay,2.6,0.73
44,Burst_Flow_10.0_L_min,10.0,435.91,96.56,30.9,Sandy_Clay,2.6,0.6
45,Burst_Flow_10.0_L_min,10.0,440.5,95.76,29.75,Sandy_Clay,2.0,0.558
46,Burst_Flow_10.0_L_min,10.0,453.46,99.08,31.12,Sandy_Clay,2.5,0.572
47,Burst_Flow_10.0_L_min,10.0,437.04,96.92,30.77,Sandy_Clay,2.6,0.615
48,Burst_Flow_10.0_L_min,10.0,459.49,99.07,30.22,Sandy_Clay,3.6,0.592
49,Burst_Flow_10.0_L_min,10.0,445.54,100.03,30.44,Sandy_Clay,2.7,0.562
50,Burst_Flow_10.0_L_min,10.0,448.93,100.85,29.7,Sandy_Clay,2.0,0.557
51,Burst_Flow_10.0_L_min,10.0,447.26,104.27,30.45,Sandy_Clay,1.8,0.837
52,Burst_Flow_10.0_L_min,10.0,447.13,103.79,29.73,Sandy_Clay,3.3,0.798
53,Burst_Flow_10.0_L_min,10.0,448.5,104.26,28.74,Sandy_Clay,3.1,0.596
54,Burst_Flow_10.0_L_min,10.0,441.7,107.0,31.78,Sandy_Clay,3.8,0.8
55,Burst_Flow_10.0_L_min,10.0,437.23,104.38,29.37,Sandy_Clay,1.7,0.653
56,Burst_Flow_10.0_L_min,10.0,445.27,102.99,30.6,Sandy_Clay,3.2,0.592
57,Burst_Flow_10.0_L_min,10.0,463.52,105.33,27.98,Sandy_Clay,4.5,0.814
58,Burst_Flow_10.0_L_min,10.0,447.64,109.07,31.57,Sandy_Clay,3.4,0.61
59,Burst_Flow_10.0_L_min,10.0,446.48,107.96,32.12,Sandy_Clay,2.2,0.839
60,Burst_Flow_10.0_L_min,10.0,439.52,109.17,30.37,Sandy_Clay,3.1,0.811
61,Burst_Flow_10.0_L_min,10.0,451.78,108.85,30.22,Sandy_Clay,2.3,0.813
62,Burst_Flow_10.0_L_min,10.0,447.42,110.62,29.98,Sandy_Clay,3.0,0.809
63,Burst_Flow_10.0_L_min,10.0,437.8,112.55,29.28,Sandy_Clay,3.8,0.666
64,Burst_Flow_10.0_L_min,10.0,445.38,108.04,32.51,Sandy_Clay,3.2,0.81
65,Burst_Flow_10.0_L_min,10.0,449.45,112.23,30.42,Sandy_Clay,3.2,0.837
66,Burst_Flow_10.0_L_min,10.0,454.19,112.04,29.88,Sandy_Clay,4.1,0.682
67,Burst_Flow_10.0_L_min,10.0,453.86,108.44,30.52,Sandy_Clay,1.6,0.693
68,Burst_Flow_10.0_L_min,10.0,451.19,115.04,30.76,Sandy_Clay,3.6,0.59
69,Burst_Flow_10.0_L_min,10.0,443.33,111.76,29.5,Sandy_Clay,2.1,0.837
70,Burst_Flow_10.0_L_min,10.0,455.72,115.71,30.41,Sandy_Clay,2.4,0.554
71,Burst_Flow_10.0_L_min,10.0,454.8,115.49,29.49,Sandy_Clay,3.8,0.781
72,Burst_Flow_10.0_L_min,10.0,452.84,116.92,30.57,Sandy_Clay,4.0,0.734
73,Burst_Flow_10.0_L_min,10.0,449.75,114.22,29.87,Sandy_Clay,2.7,0.57
74,Burst_Flow_10.0_L_min,10.0,444.91,114.73,29.75,Sandy_Clay,3.9,0.834
75,Burst_Flow_10.0_L_min,10.0,437.16,116.6,30.0,Sandy_Clay,3.9,0.762
76,Burst_Flow_10.0_L_min,10.0,444.44,114.22,29.39,Sandy_Clay,2.2,0.634
77,Burst_Flow_10.0_L_min,10.0,455.56,116.67,29.79,Sandy_Clay,2.2,0.742
78,Burst_Flow_10.0_L_min,10.0,436.44,117.36,30.22,Sandy_Clay,2.6,0.744
79,Burst_Flow_10.0_L_min,10.0,429.58,117.84,31.44,Sandy_Clay,1.7,0.755
80,Burst_Flow_10.0_L_min,10.0,458.33,119.05,29.22,Sandy_Clay,4.0,0.791
81,Burst_Flow_10.0_L_min,10.0,457.13,122.24,30.31,Sandy_Clay,2.3,0.699
82,Burst_Flow_10.0_L_min,10.0,446.54,117.3,29.67,Sandy_Clay,3.4,0.566
83,Burst_Flow_10.0_L_min,10.0,444.43,120.26,30.0,Sandy_Clay,1.6,0.633
84,Burst_Flow_10.0_L_min,10.0,449.92,118.3,30.12,Sandy_Clay,4.0,0.551
85,Burst_Flow_10.0_L_min,10.0,455.55,117.69,29.47,Sandy_Clay,2.6,0.631
86,Burst_Flow_10.0_L_min,10.0,447.94,118.46,30.7,Sandy_Clay,3.9,0.818
87,Burst_Flow_10.0_L_min,10.0,455.73,119.14,30.31,Sandy_Clay,1.8,0.756
88,Burst_Flow_10.0_L_min,10.0,449.29,115.84,29.89,Sandy_Clay,3.4,0.761
89,Burst_Flow_10.0_L_min,10.0,456.51,121.5,30.07,Sandy_Clay,2.4,0.582
90,Burst_Flow_10.0_L_min,10.0,451.32,120.7,30.96,Sandy_Clay,1.6,0.658
91,Burst_Flow_10.0_L_min,10.0,450.0,120.79,28.84,Sandy_Clay,2.1,0.661
92,Burst_Flow_10.0_L_min,10.0,434.49,119.23,29.88,Sandy_Clay,3.8,0.675
93,Burst_Flow_10.0_L_min,10.0,452.2,120.53,30.5,Sandy_Clay,2.9,0.814
94,Burst_Flow_10.0_L_min,10.0,442.31,121.16,29.14,Sandy_Clay,3.3,0.639
95,Burst_Flow_10.0_L_min,10.0,452.54,118.87,29.3,Sandy_Clay,3.4,0.669
96,Burst_Flow_10.0_L_min,10.0,457.59,118.92,30.51,Sandy_Clay,4.2,0.636
97,Burst_Flow_10.0_L_min,10.0,446.32,120.07,30.03,Sandy_Clay,2.3,0.801
98,Burst_Flow_10.0_L_min,10.0,443.23,120.0,29.2,Sandy_Clay,3.0,0.671
99,Burst_Flow_10.0_L_min,10.0,466.28,121.54,29.98,Sandy_Clay,4.4,0.706
100,Burst_Flow_10.0_L_min,10.0,448.22,118.59,30.89,Sandy_Clay,3.8,0.782
101,Burst_Flow_10.0_L_min,10.0,452.96,120.39,30.54,Sandy_Clay,1.9,0.63
102,Burst_Flow_10.0_L_min,10.0,453.99,120.49,31.24,Sandy_Clay,2.5,0.662
103,Burst_Flow_10.0_L_min,10.0,451.11,120.39,30.14,Sandy_Clay,3.8,0.687
104,Burst_Flow_10.0_L_min,10.0,451.64,117.88,29.34,Sandy_Clay,1.7,0.618
105,Burst_Flow_10.0_L_min,10.0,449.3,117.77,29.86,Sandy_Clay,1.7,0.837
106,Burst_Flow_10.0_L_min,10.0,461.21,120.2,30.18,Sandy_Clay,4.4,0.573
107,Burst_Flow_10.0_L_min,10.0,441.49,119.18,29.7,Sandy_Clay,3.4,0.784
108,Burst_Flow_10.0_L_min,10.0,447.85,118.36,30.2,Sandy_Clay,3.9,0.741
109,Burst_Flow_10.0_L_min,10.0,460.67,118.42,29.35,Sandy_Clay,4.3,0.637
110,Burst_Flow_10.0_L_min,10.0,441.51,121.33,29.94,Sandy_Clay,3.6,0.569
111,Burst_Flow_10.0_L_min,10.0,444.36,122.88,28.71,Sandy_Clay,3.0,0.754
112,Burst_Flow_10.0_L_min,10.0,451.25,119.34,29.71,Sandy_Clay,3.9,0.688
113,Burst_Flow_10.0_L_min,10.0,435.07,121.81,28.86,Sandy_Clay,1.6,0.803
114,Burst_Flow_10.0_L_min,10.0,448.2,118.73,30.47,Sandy_Clay,4.4,0.609
115,Burst_Flow_10.0_L_min,10.0,439.21,119.93,31.62,Sandy_Clay,1.7,0.737
116,Burst_Flow_10.0_L_min,10.0,440.8,119.73,30.02,Sandy_Clay,3.8,0.599
117,Burst_Flow_10.0_L_min,10.0,462.18,118.65,30.58,Sandy_Clay,3.5,0.599
118,Burst_Flow_10.0_L_min,10.0,441.27,121.0,30.28,Sandy_Clay,3.0,0.554
119,Burst_Flow_10.0_L_min,10.0,441.56,119.51,30.71,Sandy_Clay,3.7,0.579
120,Burst_Flow_10.0_L_min,10.0,446.95,117.77,29.95,Sandy_Clay,2.9,0.749
