Longitude,Latitude,Soil_Type,Shrink_Swell_Potential,Compressibility_Index,Collapse_Potential,Overall_Susceptibility,Risk_Category,Groundwater_Depth_m,Asset_Proximity_m,Pipe_Material,Pipe_Age_years
-0.98788,52.96966,Swelling_Clay,0.815,0.295,0.167,0.471,Moderate,3.0,76.3,PVC,28
-2.46757,51.63471,Swelling_Clay,0.744,0.4,0.062,0.453,Moderate,12.8,2.9,Cast_Iron,7
-2.46299,52.90908,Running_Sand,0.062,0.322,0.531,0.27,Low,13.9,181.7,PVC,20
-0.65774,52.71996,Running_Sand,0.053,0.322,0.631,0.292,Low,7.7,123.9,Steel,77
-0.54666,51.80704,Swelling_Clay,0.878,0.279,0.085,0.47,Moderate,4.8,29.1,PVC,40
-2.40972,52.36372,Swelling_Clay,0.712,0.386,0.164,0.461,Moderate,11.2,84.2,PVC,66
0.24771,51.36818,Dense_Sand,0.012,0.168,0.233,0.122,Low,8.9,2.7,Cast_Iron,113
-1.32399,52.13141,Firm_Clay,0.492,0.272,0.139,0.327,Moderate,7.8,39.4,Steel,83
-0.26043,53.20299,Compressible_Ground,0.361,0.781,0.572,0.561,High,12.0,119.9,Steel,93
-1.29632,52.05298,Running_Sand,0.057,0.353,0.544,0.282,Low,12.0,10.1,PVC,74
-1.83146,53.09892,Compressible_Ground,0.384,0.668,0.442,0.498,Moderate,10.4,50.2,Cast_Iron,38
-0.87131,52.47563,Compressible_Ground,0.47,0.782,0.452,0.574,High,1.4,127.6,PVC,73
-1.57091,51.47969,Firm_Clay,0.459,0.261,0.048,0.287,Low,8.1,13.8,Cast_Iron,54
-0.3608,52.45277,Dense_Sand,0.025,0.081,0.278,0.108,Low,1.8,176.2,Steel,115
-1.70469,52.26496,Swelling_Clay,0.639,0.231,0.112,0.365,Moderate,14.5,25.6,Steel,27
-0.46638,51.9966,Firm_Clay,0.511,0.136,0.067,0.269,Low,4.7,46.0,Cast_Iron,13
-1.87049,51.29908,Swelling_Clay,0.765,0.457,0.127,0.498,Moderate,10.4,3.9,Concrete,78
0.1839,52.04177,Swelling_Clay,0.628,0.38,0.092,0.407,Moderate,4.7,4.0,PVC,45
0.51575,51.18191,Swelling_Clay,0.752,0.375,0.06,0.447,Moderate,9.9,33.6,Cast_Iron,49
-2.05842,51.24692,Swelling_Clay,0.85,0.303,0.076,0.465,Moderate,8.5,145.0,Concrete,65
-0.62879,52.03979,Dense_Sand,0.043,0.164,0.23,0.132,Low,9.9,26.1,PVC,116
-2.21651,51.76345,Running_Sand,0.056,0.313,0.664,0.298,Low,1.9,77.7,Concrete,102
-0.10727,53.31386,Swelling_Clay,0.753,0.224,0.138,0.414,Moderate,1.0,5.6,Concrete,94
-1.44238,51.93926,Dense_Sand,0.034,0.054,0.243,0.093,Low,12.7,64.1,Cast_Iron,103
-0.3895,52.89465,Dense_Sand,0.034,0.151,0.109,0.094,Low,12.9,118.4,Concrete,52
-0.43016,52.32562,Firm_Clay,0.547,0.249,0.102,0.332,Moderate,10.3,82.1,Concrete,76
1.19742,52.76021,Dense_Sand,0.023,0.106,0.324,0.128,Low,0.7,60.0,Cast_Iron,93
-0.30367,51.65029,Swelling_Clay,0.812,0.498,0.153,0.537,High,1.0,87.7,PVC,74
-0.16801,53.35476,Firm_Clay,0.434,0.162,0.055,0.244,Low,6.8,23.8,Cast_Iron,60
-0.89339,52.32522,Firm_Clay,0.544,0.159,0.048,0.285,Low,10.2,55.5,Concrete,112
1.29632,53.07831,Dense_Sand,0.011,0.178,0.23,0.124,Low,9.5,4.8,PVC,19
0.60874,51.91261,Firm_Clay,0.368,0.151,0.086,0.221,Low,12.3,68.1,Steel,53
-1.35838,51.25053,Compressible_Ground,0.362,0.75,0.592,0.555,High,8.6,14.6,Concrete,78
0.87684,52.68428,Firm_Clay,0.483,0.205,0.021,0.27,Low,12.5,60.9,Steel,12
-0.77041,51.0194,Compressible_Ground,0.221,0.727,0.581,0.488,Moderate,13.0,16.8,Concrete,15
0.81467,52.18823,Compressible_Ground,0.335,0.725,0.505,0.514,High,14.5,22.5,Steel,97
0.79155,51.482,Swelling_Clay,0.869,0.211,0.193,0.47,Moderate,10.1,142.1,Steel,100
-1.74452,52.56844,Dense_Sand,0.012,0.123,0.213,0.101,Low,5.3,158.1,PVC,39
0.30456,53.44855,Compressible_Ground,0.398,0.657,0.52,0.519,High,11.0,27.7,Concrete,12
-1.33743,52.16101,Running_Sand,0.025,0.18,0.525,0.204,Low,12.0,48.6,Cast_Iron,77
-1.31003,53.04375,Compressible_Ground,0.249,0.614,0.35,0.402,Moderate,7.1,14.2,Steel,6
-1.31461,52.26946,Dense_Sand,0.045,0.127,0.282,0.133,Low,1.0,22.7,Concrete,110
0.40227,52.2396,Compressible_Ground,0.256,0.642,0.561,0.467,Moderate,14.1,4.1,Cast_Iron,59
-1.5807,53.32606,Firm_Clay,0.587,0.117,0.104,0.302,Moderate,14.6,191.3,Cast_Iron,38
-2.49638,53.22491,Dense_Sand,0.017,0.08,0.322,0.115,Low,13.7,46.8,Steel,19
0.36095,52.9645,Compressible_Ground,0.422,0.832,0.548,0.597,High,10.4,38.2,PVC,48
-1.81526,51.74064,Compressible_Ground,0.423,0.766,0.388,0.534,High,12.1,59.7,Concrete,113
-2.08207,52.36252,Firm_Clay,0.35,0.23,0.052,0.233,Low,13.6,5.2,PVC,84
-1.54994,51.55974,Dense_Sand,0.042,0.103,0.339,0.137,Low,12.8,17.5,Concrete,22
-0.9804,52.10979,Firm_Clay,0.389,0.156,0.136,0.244,Low,14.5,3.7,Steel,56
-0.59637,52.21053,Swelling_Clay,0.764,0.228,0.107,0.412,Moderate,5.1,38.4,Steel,52
-2.32172,53.0791,Dense_Sand,0.038,0.071,0.303,0.116,Low,10.3,109.9,PVC,59
1.38229,53.24007,Compressible_Ground,0.468,0.903,0.432,0.611,High,6.0,135.0,Concrete,79
0.36425,52.03655,Running_Sand,0.094,0.339,0.744,0.342,Moderate,2.2,17.2,PVC,83
-1.20722,51.04426,Firm_Clay,0.396,0.119,0.112,0.228,Low,11.1,16.8,Cast_Iron,113
-1.22521,53.15443,Swelling_Clay,0.741,0.207,0.168,0.411,Moderate,5.1,96.1,Concrete,9
-0.70583,51.4357,Firm_Clay,0.498,0.165,0.087,0.279,Low,7.0,20.7,Steel,81
0.00498,52.5547,Running_Sand,0.054,0.35,0.542,0.279,Low,2.5,189.3,PVC,109
-1.91451,51.06243,Dense_Sand,0.03,0.128,0.154,0.096,Low,10.9,4.4,Steel,113
-1.74428,51.99877,Swelling_Clay,0.771,0.474,0.129,0.507,High,2.5,42.5,Concrete,34
0.93774,53.4649,Compressible_Ground,0.261,0.611,0.454,0.432,Moderate,1.7,31.7,Cast_Iron,110
-1.47498,51.25173,Firm_Clay,0.516,0.115,0.049,0.259,Low,10.3,112.5,Concrete,78
-0.97922,52.05923,Swelling_Clay,0.844,0.369,0.132,0.499,Moderate,14.4,68.8,Concrete,113
0.98509,51.76787,Swelling_Clay,0.706,0.366,0.142,0.446,Moderate,5.2,42.2,Concrete,80
0.15259,53.26272,Dense_Sand,0.016,0.106,0.285,0.115,Low,13.8,30.6,Cast_Iron,46
-1.13315,53.17335,Compressible_Ground,0.231,0.917,0.471,0.531,High,11.8,79.1,PVC,117
0.2348,51.59425,Dense_Sand,0.031,0.194,0.122,0.111,Low,10.4,163.9,Cast_Iron,86
-2.42127,51.20297,Swelling_Clay,0.858,0.48,0.162,0.552,High,3.9,20.3,PVC,21
0.44257,52.56785,Compressible_Ground,0.212,0.648,0.386,0.408,Moderate,4.2,47.7,PVC,103
-0.55194,51.84092,Firm_Clay,0.312,0.107,0.032,0.17,Low,5.6,0.3,Concrete,111
0.75273,52.68021,Firm_Clay,0.408,0.211,0.114,0.266,Low,4.1,8.5,PVC,99
1.31855,51.0803,Running_Sand,0.035,0.166,0.711,0.25,Low,3.0,80.6,Concrete,106
1.20315,51.3335,Running_Sand,0.062,0.144,0.63,0.233,Low,6.4,82.6,Steel,73
1.13706,52.71593,Firm_Clay,0.367,0.223,0.052,0.238,Low,14.8,152.0,PVC,26
-0.45132,51.53093,Swelling_Clay,0.81,0.44,0.158,0.518,High,10.6,159.2,Concrete,64
-1.05943,53.14397,Compressible_Ground,0.391,0.897,0.501,0.596,High,11.1,13.3,PVC,106
-0.63986,51.14648,Swelling_Clay,0.886,0.371,0.096,0.508,High,6.0,62.7,Steel,76
0.25958,51.5387,Running_Sand,0.03,0.131,0.792,0.256,Low,3.1,3.6,Cast_Iron,88
1.03599,53.4964,Compressible_Ground,0.212,0.938,0.488,0.535,High,2.7,9.5,PVC,100
-1.67205,52.08269,Compressible_Ground,0.307,0.871,0.464,0.544,High,6.8,164.8,Steel,10
1.17277,52.75741,Running_Sand,0.046,0.3,0.824,0.329,Moderate,9.6,60.0,Cast_Iron,106
0.76072,51.45666,Swelling_Clay,0.893,0.393,0.119,0.524,High,4.9,12.6,Steel,79
1.41542,52.52467,Swelling_Clay,0.723,0.498,0.05,0.476,Moderate,3.4,10.4,Cast_Iron,117
1.02101,52.81527,Firm_Clay,0.406,0.191,0.039,0.239,Low,6.4,5.4,PVC,56
-1.38025,51.78619,Compressible_Ground,0.229,0.877,0.47,0.516,High,11.0,27.1,Concrete,80
-2.07618,53.07224,Dense_Sand,0.014,0.129,0.229,0.108,Low,7.3,67.5,PVC,5
-2.05104,52.50854,Firm_Clay,0.525,0.129,0.101,0.28,Low,1.7,59.3,Steel,54
-1.33511,51.97281,Swelling_Clay,0.64,0.459,0.142,0.452,Moderate,5.6,1.6,Cast_Iron,42
-0.04327,52.39411,Firm_Clay,0.577,0.219,0.146,0.344,Moderate,2.5,42.0,Steel,67
0.71728,52.4419,Swelling_Clay,0.758,0.227,0.137,0.417,Moderate,9.4,65.2,Steel,37
1.097,51.41384,Firm_Clay,0.531,0.233,0.048,0.306,Moderate,6.4,74.8,PVC,78
-0.00499,52.00683,Dense_Sand,0.013,0.13,0.178,0.095,Low,3.8,35.2,PVC,98
-2.47747,51.85858,Running_Sand,0.011,0.334,0.828,0.328,Moderate,14.5,10.0,PVC,42
-1.75473,52.00226,Firm_Clay,0.428,0.167,0.094,0.253,Low,11.8,1.2,Concrete,94
-2.1011,52.90278,Swelling_Clay,0.843,0.425,0.164,0.527,High,6.1,69.6,Steel,54
-1.0467,52.20635,Compressible_Ground,0.47,0.662,0.388,0.516,High,8.5,19.2,Concrete,20
-0.4946,53.35079,Dense_Sand,0.03,0.178,0.231,0.132,Low,5.8,14.2,PVC,52
-2.32641,51.73419,Swelling_Clay,0.755,0.424,0.068,0.467,Moderate,3.7,23.9,Concrete,61
-1.10609,52.03926,Compressible_Ground,0.318,0.878,0.397,0.534,High,7.8,48.9,Steel,11
-1.78328,52.96739,Compressible_Ground,0.416,0.791,0.434,0.552,High,12.2,14.0,Concrete,56
0.08828,52.36506,Firm_Clay,0.468,0.222,0.134,0.298,Low,12.4,46.0,Cast_Iron,117
-0.64291,52.36757,Compressible_Ground,0.33,0.792,0.319,0.489,Moderate,1.8,88.4,PVC,111
-0.51873,51.13335,Dense_Sand,0.017,0.169,0.1,0.091,Low,4.6,43.9,Steel,48
-0.78923,51.9965,Swelling_Clay,0.795,0.324,0.135,0.465,Moderate,8.4,44.0,Steel,119
1.32408,51.67683,Compressible_Ground,0.41,0.651,0.304,0.468,Moderate,9.6,6.2,PVC,12
-1.64106,53.49834,Firm_Clay,0.56,0.289,0.106,0.352,Moderate,7.5,21.7,Concrete,14
-0.43334,51.77089,Swelling_Clay,0.657,0.305,0.158,0.409,Moderate,3.7,15.3,PVC,67
0.44407,53.21124,Firm_Clay,0.353,0.149,0.022,0.199,Low,10.9,48.1,PVC,73
-0.27262,52.69058,Swelling_Clay,0.664,0.406,0.139,0.443,Moderate,5.8,28.8,Steel,69
1.21608,51.85229,Swelling_Clay,0.748,0.393,0.077,0.456,Moderate,8.3,29.9,Steel,85
-0.98813,52.35884,Swelling_Clay,0.741,0.464,0.173,0.502,High,9.6,63.0,Cast_Iron,10
-0.6453,53.10134,Dense_Sand,0.04,0.123,0.179,0.104,Low,2.5,3.9,Cast_Iron,70
-2.14591,53.20842,Running_Sand,0.025,0.109,0.793,0.246,Low,4.1,23.0,Steel,8
-0.064,51.40098,Firm_Clay,0.505,0.154,0.126,0.287,Low,5.7,32.7,PVC,54
-1.34715,51.84893,Compressible_Ground,0.273,0.852,0.527,0.539,High,3.7,34.8,Steel,85
-1.85876,51.83806,Running_Sand,0.03,0.339,0.576,0.275,Low,11.0,20.3,Steel,82
-0.32187,51.10511,Running_Sand,0.013,0.249,0.559,0.232,Low,7.6,7.6,Cast_Iron,87
-0.37076,52.49559,Dense_Sand,0.014,0.083,0.249,0.097,Low,14.7,29.8,PVC,36
-2.19651,53.13705,Firm_Clay,0.462,0.2,0.028,0.262,Low,2.6,107.3,Concrete,30
0.29286,51.95394,Firm_Clay,0.484,0.206,0.069,0.283,Low,6.1,40.5,Concrete,106
-0.00491,52.85009,Swelling_Clay,0.716,0.334,0.198,0.453,Moderate,5.6,51.7,PVC,78
-1.74393,52.56925,Running_Sand,0.016,0.361,0.792,0.331,Moderate,5.1,35.1,PVC,13
-0.62226,51.93912,Running_Sand,0.074,0.121,0.803,0.273,Low,8.4,16.3,PVC,50
0.38129,51.35265,Dense_Sand,0.049,0.088,0.302,0.126,Low,11.4,68.8,Steel,28
-0.38226,52.77331,Compressible_Ground,0.346,0.836,0.547,0.568,High,7.5,32.8,Concrete,86
-0.91804,53.13641,Compressible_Ground,0.434,0.84,0.435,0.577,High,6.6,3.8,Steel,65
-1.21065,52.71464,Compressible_Ground,0.359,0.746,0.539,0.539,High,8.4,138.0,Cast_Iron,100
-0.05842,51.0447,Swelling_Clay,0.897,0.289,0.146,0.497,Moderate,7.8,22.3,Cast_Iron,88
1.25643,51.54058,Swelling_Clay,0.64,0.413,0.107,0.428,Moderate,14.4,19.7,PVC,19
0.18698,51.1737,Dense_Sand,0.018,0.065,0.178,0.075,Low,13.3,36.9,Steel,76
-2.20102,52.42597,Running_Sand,0.028,0.193,0.736,0.263,Low,5.3,68.7,Steel,69
-0.65726,52.89119,Dense_Sand,0.045,0.125,0.183,0.107,Low,14.9,22.0,Concrete,58
1.0633,51.27645,Firm_Clay,0.543,0.118,0.07,0.276,Low,1.7,7.5,Concrete,40
-2.12215,53.09584,Compressible_Ground,0.28,0.78,0.444,0.496,Moderate,9.3,32.6,PVC,49
1.4555,52.38877,Running_Sand,0.032,0.182,0.868,0.294,Low,1.6,47.0,PVC,62
1.29628,52.72492,Swelling_Clay,0.752,0.408,0.076,0.463,Moderate,12.9,7.5,Concrete,33
-2.1869,53.4285,Dense_Sand,0.013,0.132,0.267,0.118,Low,14.1,67.2,Cast_Iron,103
1.23365,51.2092,Compressible_Ground,0.48,0.767,0.468,0.578,High,9.1,26.4,PVC,75
-1.04747,53.25306,Compressible_Ground,0.256,0.794,0.517,0.509,High,13.6,107.7,PVC,8
0.87884,51.31526,Compressible_Ground,0.414,0.682,0.49,0.527,High,9.8,26.1,Concrete,91
-0.82647,51.9824,Running_Sand,0.072,0.386,0.618,0.318,Moderate,4.1,46.0,Concrete,100
-0.73658,53.1286,Compressible_Ground,0.375,0.631,0.447,0.483,Moderate,9.5,3.6,Cast_Iron,101
0.03697,53.26564,Compressible_Ground,0.301,0.729,0.503,0.501,High,8.2,24.1,Cast_Iron,46
0.59791,52.26593,Firm_Clay,0.304,0.254,0.025,0.217,Low,12.5,38.9,Concrete,85
-2.36484,52.48526,Firm_Clay,0.511,0.272,0.143,0.335,Moderate,8.4,8.2,Concrete,51
-0.12738,52.77037,Compressible_Ground,0.212,0.883,0.504,0.52,High,13.6,113.9,Cast_Iron,101
-1.75307,53.0819,Running_Sand,0.065,0.137,0.531,0.207,Low,7.0,5.1,PVC,28
-1.1162,51.30378,Dense_Sand,0.049,0.135,0.159,0.107,Low,12.7,95.9,Steel,66
-1.10813,53.02517,Swelling_Clay,0.785,0.46,0.074,0.494,Moderate,14.0,147.1,Concrete,17
-0.62376,52.20319,Dense_Sand,0.02,0.179,0.224,0.127,Low,9.1,91.8,Concrete,30
-1.16345,52.12656,Swelling_Clay,0.709,0.445,0.172,0.482,Moderate,12.8,9.3,Concrete,85
-2.07056,52.05975,Firm_Clay,0.344,0.257,0.052,0.241,Low,11.2,30.3,Steel,16
-1.91749,52.27303,Running_Sand,0.062,0.29,0.647,0.288,Low,11.2,34.1,PVC,85
-2.36625,53.36263,Running_Sand,0.065,0.349,0.595,0.297,Low,3.7,46.9,PVC,81
-0.619,52.37051,Dense_Sand,0.034,0.192,0.347,0.168,Low,7.5,31.6,Concrete,112
1.31779,53.38294,Swelling_Clay,0.767,0.39,0.181,0.489,Moderate,11.3,34.3,Concrete,77
-2.0373,51.45073,Compressible_Ground,0.392,0.759,0.437,0.532,High,0.7,9.6,Concrete,50
1.28506,52.81034,Running_Sand,0.084,0.184,0.709,0.275,Low,5.5,5.5,PVC,6
0.43345,53.0306,Firm_Clay,0.556,0.116,0.114,0.291,Low,5.5,263.4,Cast_Iron,75
0.05,52.69782,Swelling_Clay,0.672,0.37,0.175,0.442,Moderate,3.3,61.8,PVC,42
0.08111,52.51731,Firm_Clay,0.576,0.116,0.139,0.306,Moderate,7.6,29.7,Steel,93
0.80691,52.41203,Compressible_Ground,0.497,0.828,0.338,0.573,High,7.8,37.7,Cast_Iron,93
-2.07232,53.15233,Swelling_Clay,0.771,0.206,0.157,0.419,Moderate,10.8,6.1,Concrete,116
-0.48098,53.05412,Firm_Clay,0.471,0.236,0.031,0.279,Low,9.6,16.5,PVC,37
0.28836,51.30572,Swelling_Clay,0.832,0.412,0.068,0.494,Moderate,9.1,173.9,Concrete,107
-0.15272,53.12147,Running_Sand,0.056,0.155,0.549,0.214,Low,1.4,0.9,PVC,67
0.83112,52.03517,Swelling_Clay,0.843,0.37,0.2,0.517,High,14.3,53.2,Concrete,35
-2.21091,51.63424,Compressible_Ground,0.246,0.78,0.347,0.458,Moderate,6.3,142.9,Steel,76
0.2628,53.17442,Firm_Clay,0.346,0.216,0.098,0.239,Low,3.3,10.9,Steel,67
-0.36389,52.08006,Running_Sand,0.032,0.351,0.688,0.308,Moderate,6.8,17.5,Cast_Iron,29
-0.98336,53.02091,Compressible_Ground,0.464,0.691,0.329,0.51,High,2.5,78.7,PVC,43
-1.1389,51.65851,Compressible_Ground,0.24,0.719,0.454,0.461,Moderate,12.9,51.3,Steel,49
-0.01667,51.00982,Swelling_Clay,0.648,0.324,0.061,0.388,Moderate,11.5,25.7,Cast_Iron,27
1.06398,52.23865,Running_Sand,0.056,0.313,0.728,0.314,Moderate,12.1,49.6,Cast_Iron,32
-0.5153,51.25057,Dense_Sand,0.038,0.079,0.113,0.071,Low,13.6,145.6,PVC,32
0.79889,52.88594,Dense_Sand,0.039,0.091,0.236,0.106,Low,14.9,96.9,PVC,74
-0.89137,51.69019,Swelling_Clay,0.69,0.345,0.111,0.425,Moderate,5.9,49.3,Steel,84
-2.09042,52.10911,Swelling_Clay,0.829,0.422,0.175,0.523,High,12.7,41.8,Concrete,23
-2.25398,51.21758,Dense_Sand,0.03,0.193,0.148,0.116,Low,13.8,15.0,Cast_Iron,13
-2.29466,51.71665,Running_Sand,0.05,0.284,0.592,0.267,Low,8.6,82.5,PVC,39
-0.9794,52.95373,Running_Sand,0.042,0.323,0.531,0.263,Low,8.7,28.0,PVC,87
-1.15105,51.37897,Firm_Clay,0.371,0.157,0.035,0.212,Low,9.7,13.9,Cast_Iron,20
0.37175,52.6179,Compressible_Ground,0.469,0.763,0.418,0.559,High,11.0,120.2,Cast_Iron,71
0.47129,53.29356,Running_Sand,0.05,0.283,0.627,0.276,Low,11.7,177.9,PVC,6
-2.29658,52.69959,Dense_Sand,0.021,0.084,0.339,0.122,Low,7.2,11.7,PVC,113
-1.61551,53.02755,Firm_Clay,0.385,0.153,0.134,0.241,Low,2.9,3.3,Cast_Iron,55
-1.40295,51.27243,Swelling_Clay,0.782,0.237,0.121,0.426,Moderate,9.6,94.4,PVC,45
-0.30955,51.62683,Swelling_Clay,0.845,0.27,0.152,0.471,Moderate,6.7,6.1,Cast_Iron,55
-1.92194,53.23635,Swelling_Clay,0.665,0.253,0.104,0.381,Moderate,10.0,13.3,Steel,44
-1.96424,52.78776,Firm_Clay,0.309,0.284,0.076,0.242,Low,3.5,40.6,Cast_Iron,115
1.27516,52.59888,Compressible_Ground,0.262,0.791,0.417,0.486,Moderate,8.8,287.6,Steel,97
0.71681,52.65942,Swelling_Clay,0.602,0.215,0.142,0.352,Moderate,9.6,105.3,Concrete,85
-1.77738,52.0355,Dense_Sand,0.019,0.12,0.302,0.125,Low,13.9,13.5,Concrete,114
-0.87373,51.11139,Swelling_Clay,0.648,0.349,0.064,0.397,Moderate,14.2,50.8,PVC,119
-1.07751,52.9611,Swelling_Clay,0.899,0.255,0.154,0.488,Moderate,13.4,42.9,Cast_Iron,39
0.66402,52.69678,Swelling_Clay,0.722,0.402,0.109,0.457,Moderate,7.4,5.4,Concrete,74
-0.45915,52.18201,Swelling_Clay,0.617,0.258,0.118,0.366,Moderate,0.8,8.5,Concrete,76
-1.9886,53.2494,Compressible_Ground,0.429,0.876,0.576,0.622,High,2.2,8.9,Concrete,74
0.45597,51.8404,Dense_Sand,0.047,0.166,0.181,0.122,Low,1.8,47.9,Concrete,92
-0.91245,51.7358,Dense_Sand,0.031,0.191,0.243,0.14,Low,13.9,25.0,PVC,56
-1.4483,53.18199,Running_Sand,0.09,0.276,0.746,0.319,Moderate,10.9,106.9,PVC,38
-0.99801,52.99247,Compressible_Ground,0.301,0.739,0.573,0.522,High,14.4,6.4,Cast_Iron,90
-0.50897,52.28745,Running_Sand,0.012,0.283,0.868,0.321,Moderate,2.0,11.8,Cast_Iron,54
-1.12754,51.32684,Swelling_Clay,0.843,0.281,0.182,0.481,Moderate,1.3,141.5,Cast_Iron,29
-1.53238,51.53768,Swelling_Clay,0.798,0.31,0.167,0.469,Moderate,2.9,2.5,Steel,5
-0.90599,52.64057,Dense_Sand,0.044,0.163,0.229,0.132,Low,8.8,7.0,Concrete,119
-2.42331,51.9626,Swelling_Clay,0.836,0.397,0.12,0.503,High,14.5,105.6,Concrete,21
0.58999,53.09118,Swelling_Clay,0.712,0.385,0.136,0.454,Moderate,6.2,18.3,Cast_Iron,91
-1.81622,53.37489,Running_Sand,0.062,0.228,0.605,0.256,Low,11.5,37.9,PVC,72
-2.32438,53.01409,Running_Sand,0.043,0.365,0.802,0.346,Moderate,5.2,139.2,PVC,71
0.11479,51.94386,Swelling_Clay,0.888,0.274,0.051,0.464,Moderate,6.8,22.2,Concrete,8
0.59574,52.97172,Swelling_Clay,0.839,0.453,0.11,0.522,High,6.7,8.0,Steel,55
0.75532,51.8786,Compressible_Ground,0.392,0.623,0.52,0.505,High,8.3,11.1,Concrete,13
-0.52596,51.41775,Firm_Clay,0.355,0.188,0.124,0.239,Low,7.2,8.0,Steel,65
-1.67853,51.08348,Swelling_Clay,0.656,0.422,0.122,0.44,Moderate,7.1,95.3,Concrete,37
0.44891,51.96429,Compressible_Ground,0.21,0.704,0.561,0.471,Moderate,0.8,39.4,Concrete,73
0.29885,53.2589,Running_Sand,0.066,0.328,0.79,0.339,Moderate,10.5,86.2,Concrete,108
-1.51492,51.59747,Dense_Sand,0.026,0.121,0.279,0.123,Low,13.2,15.9,Cast_Iron,73
1.11363,51.51628,Compressible_Ground,0.479,0.802,0.354,0.561,High,10.1,234.2,Steel,97
-2.08251,53.42455,Swelling_Clay,0.824,0.262,0.181,0.467,Moderate,8.1,110.0,PVC,15
1.43075,51.06251,Running_Sand,0.016,0.243,0.608,0.243,Low,10.9,157.5,Steel,59
0.94099,52.96446,Firm_Clay,0.566,0.191,0.12,0.323,Moderate,12.7,62.0,Concrete,40
0.25159,51.80342,Swelling_Clay,0.788,0.41,0.088,0.481,Moderate,12.2,150.1,PVC,107
1.255,51.09372,Compressible_Ground,0.41,0.858,0.499,0.589,High,8.4,106.7,Concrete,23
0.38924,53.29451,Swelling_Clay,0.618,0.453,0.151,0.444,Moderate,12.8,7.5,Concrete,88
-1.73817,51.34911,Swelling_Clay,0.88,0.244,0.171,0.48,Moderate,12.4,61.7,Steel,56
-0.73138,52.37945,Running_Sand,0.07,0.367,0.67,0.324,Moderate,6.5,29.2,Steel,72
-2.21399,51.68514,Compressible_Ground,0.468,0.904,0.599,0.653,High,9.0,69.6,PVC,89
-0.94137,51.16298,Firm_Clay,0.5,0.23,0.137,0.315,Moderate,12.5,139.4,Concrete,71
0.46641,51.12481,Firm_Clay,0.561,0.113,0.13,0.296,Low,9.3,23.9,Steel,49
-0.95423,51.28889,Running_Sand,0.071,0.198,0.687,0.27,Low,10.4,121.4,Concrete,99
-1.17882,51.17842,Compressible_Ground,0.335,0.736,0.372,0.485,Moderate,5.9,5.9,Concrete,89
-0.11858,52.9014,Running_Sand,0.062,0.138,0.641,0.233,Low,8.4,38.1,Cast_Iron,57
0.98882,52.21392,Swelling_Clay,0.885,0.283,0.052,0.466,Moderate,1.6,43.4,Steel,40
-2.30967,51.85723,Dense_Sand,0.012,0.107,0.256,0.106,Low,2.1,18.8,Steel,91
-0.95812,52.04592,Dense_Sand,0.016,0.126,0.121,0.081,Low,1.2,36.7,PVC,70
-1.86704,53.32237,Swelling_Clay,0.629,0.327,0.187,0.413,Moderate,11.0,84.5,PVC,60
0.28142,53.27688,Swelling_Clay,0.892,0.429,0.141,0.542,High,5.8,10.0,Cast_Iron,11
-2.0771,52.78919,Swelling_Clay,0.898,0.34,0.159,0.518,High,7.7,28.3,Steel,114
0.15923,53.21171,Firm_Clay,0.451,0.173,0.117,0.271,Low,13.2,107.2,Concrete,34
-1.35528,51.79912,Firm_Clay,0.569,0.168,0.06,0.301,Moderate,11.0,18.2,Cast_Iron,49
-1.70433,51.95277,Firm_Clay,0.412,0.244,0.063,0.266,Low,9.6,54.0,Concrete,92
1.24541,52.53428,Firm_Clay,0.569,0.187,0.042,0.303,Moderate,5.1,28.3,Concrete,53
-2.4259,52.55906,Compressible_Ground,0.204,0.711,0.534,0.464,Moderate,10.2,65.8,PVC,43
-0.74889,52.20425,Firm_Clay,0.535,0.236,0.077,0.316,Moderate,14.8,42.1,Concrete,39
-2.41349,52.00164,Firm_Clay,0.388,0.239,0.14,0.274,Low,3.1,4.3,PVC,74
-0.56563,53.46545,Running_Sand,0.084,0.338,0.793,0.35,Moderate,1.6,79.6,Concrete,58
-0.49581,53.05281,Running_Sand,0.015,0.221,0.895,0.307,Moderate,9.2,36.0,Cast_Iron,71
-1.21335,52.08745,Firm_Clay,0.47,0.188,0.037,0.263,Low,7.2,9.0,Cast_Iron,115
-1.97135,52.81823,Running_Sand,0.062,0.268,0.807,0.32,Moderate,11.5,55.5,Steel,62
-0.99445,51.6739,Firm_Clay,0.567,0.225,0.149,0.343,Moderate,12.4,2.3,Steel,97
0.18905,51.25042,Firm_Clay,0.472,0.244,0.092,0.297,Low,11.9,16.6,PVC,104
0.62958,51.88108,Firm_Clay,0.316,0.215,0.11,0.229,Low,5.2,47.5,PVC,75
-0.377,52.00743,Firm_Clay,0.33,0.24,0.068,0.233,Low,10.2,89.1,Cast_Iron,25
-0.14066,51.04134,Running_Sand,0.025,0.246,0.794,0.295,Low,11.7,76.8,Cast_Iron,97
-1.69753,53.03698,Firm_Clay,0.358,0.218,0.116,0.248,Low,5.1,5.5,Concrete,65
-1.35068,51.89798,Compressible_Ground,0.29,0.658,0.344,0.432,Moderate,5.1,44.9,Cast_Iron,35
-1.85242,52.45105,Swelling_Clay,0.606,0.229,0.094,0.346,Moderate,10.1,5.2,Steel,80
