Sample_ID,Soil_Type,Relative_Density_Dr,D10_mm,D50_mm,D90_mm,Uniformity_Coefficient_Cu,Internal_Friction_Angle_deg,Dilation_Angle_deg,Elastic_Modulus_kPa,Poissons_Ratio,Unit_Weight_kN_m3,Void_Ratio_max,Void_Ratio_min,Permeability_m_s,Cohesion_kPa
SAND-0186,Sand,0.773,0.2617,0.9605,4.3789,4.68,39.7,7.9,43527.0,0.266,18.98,0.799,0.424,1.67e-03,0.8
SAND-0187,Sand,0.646,0.3742,2.6846,6.2687,7.4,34.8,8.5,36615.0,0.267,18.49,0.81,0.437,1.99e-04,2.6
SAND-0188,Sand,0.209,0.4757,2.7154,8.6142,4.74,31.6,1.4,18681.0,0.305,16.21,0.85,0.451,3.97e-03,3.9
SAND-0189,Sand,0.913,0.0503,0.2521,1.2605,6.86,42.1,12.9,48758.0,0.276,19.75,0.771,0.397,2.79e-03,0.2
SAND-0190,Sand,0.423,0.1958,1.4098,6.1202,9.07,34.0,6.8,26240.0,0.317,16.81,0.861,0.482,3.36e-04,0.9
SAND-0191,Sand,0.945,0.1715,1.3584,6.5325,9.34,42.1,12.7,46642.0,0.252,20.08,0.78,0.393,4.32e-04,1.0
SAND-0192,Sand,0.912,0.4766,2.1538,4.7213,5.61,41.0,10.6,49030.0,0.243,19.51,0.745,0.435,2.29e-04,2.6
SAND-0193,Sand,0.403,0.3814,1.7108,3.768,4.11,34.6,4.3,24028.0,0.305,17.12,0.923,0.417,9.02e-03,0.3
SAND-0194,Sand,0.701,0.2056,1.0814,2.8669,4.8,38.4,8.4,39944.0,0.258,18.72,0.855,0.42,5.45e-03,4.4
SAND-0195,Sand,0.316,0.4542,2.7037,10.5197,8.32,33.8,6.9,21415.0,0.341,16.79,0.834,0.473,7.55e-05,4.7
SAND-0196,Sand,0.368,0.2625,1.1716,2.6466,4.14,33.0,0.0,24792.0,0.335,16.56,0.901,0.471,1.87e-05,2.4
SAND-0197,Sand,0.82,0.3801,2.8432,7.6283,11.1,41.6,11.4,42723.0,0.248,19.1,0.797,0.424,5.81e-03,3.0
SAND-0198,Sand,0.601,0.4973,2.828,13.5248,8.2,38.7,8.3,34757.0,0.313,17.98,0.827,0.454,4.07e-03,2.8
SAND-0199,Sand,0.566,0.3809,1.6846,6.5298,3.61,36.9,6.6,33489.0,0.262,17.89,0.803,0.406,1.74e-03,0.1
SAND-0200,Sand,0.495,0.3004,1.1066,2.4738,4.34,37.5,10.2,27298.0,0.287,17.62,0.812,0.446,1.00e-04,0.9
