Borehole_ID,Depth_m,P_Wave_Velocity_m_s,S_Wave_Velocity_m_s,Vp_Vs_Ratio,Extensometer_Displacement_mm,Earth_Pressure_kPa,Formation,Loading_Stage
BH-06,1.0,614.5,314.4,1.955,1.054,17.01,Mudstone_Clay,Post_Load
BH-06,1.5,623.8,311.2,2.004,1.615,16.96,Mudstone_Clay,During_Load
BH-06,2.0,670.3,348.6,1.923,1.649,37.13,Mudstone_Clay,Post_Load
BH-06,2.5,683.9,343.7,1.99,2.726,54.97,Mudstone_Clay,During_Load
BH-06,3.0,733.0,349.4,2.098,2.993,53.56,Mudstone_Clay,During_Load
BH-06,3.5,698.5,335.2,2.084,3.489,61.42,Mudstone_Clay,During_Load
BH-06,4.0,757.9,351.9,2.154,3.602,75.3,Mudstone_Clay,Post_Load
BH-06,4.5,748.3,379.1,1.974,3.841,78.13,Mudstone_Clay,During_Load
BH-06,5.0,784.6,398.2,1.971,4.328,93.12,Mudstone_Clay,Post_Load
BH-06,5.5,772.6,396.8,1.947,3.942,105.16,Mudstone_Clay,During_Load
BH-06,6.0,839.1,417.7,2.009,4.857,111.7,Mudstone_Clay,Post_Load
BH-06,6.5,813.7,393.4,2.068,5.197,133.86,Mudstone_Clay,Post_Load
BH-06,7.0,840.8,444.1,1.893,5.423,134.78,Mudstone_Clay,Post_Load
BH-06,7.5,846.2,444.9,1.902,5.738,142.99,Mudstone_Clay,Post_Load
BH-06,8.0,885.8,437.2,2.026,5.472,149.86,Mudstone_Clay,Post_Load
BH-06,8.5,917.5,447.0,2.053,5.878,158.11,Mudstone_Clay,Pre-load
BH-06,9.0,919.7,446.1,2.062,6.115,162.97,Mudstone_Clay,During_Load
BH-06,9.5,891.0,470.0,1.896,6.454,178.93,Mudstone_Clay,During_Load
BH-06,10.0,931.6,474.1,1.965,6.556,191.18,Mudstone_Clay,During_Load
BH-06,10.5,971.1,504.6,1.924,7.008,196.72,Mudstone_Clay,Pre-load
BH-06,11.0,1016.4,498.8,2.038,6.789,203.25,Mudstone_Clay,During_Load
BH-06,11.5,974.7,487.8,1.998,6.753,217.29,Mudstone_Clay,During_Load
BH-06,12.0,1009.8,505.2,1.999,7.678,225.22,Mudstone_Clay,Post_Load
BH-06,12.5,1017.6,530.0,1.92,7.103,234.13,Mudstone_Clay,During_Load
BH-06,13.0,1044.9,532.9,1.961,7.425,244.07,Mudstone_Clay,Pre-load
BH-06,13.5,1064.5,528.8,2.013,7.441,251.59,Mudstone_Clay,Post_Load
BH-06,14.0,1116.3,545.2,2.047,8.007,250.95,Mudstone_Clay,Pre-load
BH-06,14.5,1131.1,566.8,1.996,7.664,263.66,Mudstone_Clay,During_Load
BH-06,15.0,1097.0,585.8,1.872,7.883,268.73,Mudstone_Clay,Post_Load
BH-06,15.5,1123.1,575.3,1.952,7.671,278.34,Mudstone_Clay,During_Load
BH-06,16.0,1183.7,608.1,1.947,7.613,296.55,Mudstone_Clay,Post_Load
BH-06,16.5,1174.5,579.8,2.026,7.797,299.56,Mudstone_Clay,Pre-load
BH-06,17.0,1188.4,615.6,1.931,7.66,310.32,Mudstone_Clay,Pre-load
BH-06,17.5,1184.6,622.1,1.904,7.807,311.05,Mudstone_Clay,Pre-load
BH-06,18.0,1219.3,620.8,1.964,7.732,319.22,Mudstone_Clay,During_Load
BH-06,18.5,1253.9,652.8,1.921,8.111,331.83,Mudstone_Clay,During_Load
BH-06,19.0,1255.6,636.9,1.972,8.009,337.25,Mudstone_Clay,During_Load
BH-06,19.5,1267.7,665.3,1.905,8.376,342.94,Mudstone_Clay,Pre-load
BH-06,20.0,1295.2,640.0,2.024,8.317,345.07,Mudstone_Clay,Post_Load
BH-06,20.5,1280.6,658.3,1.945,8.072,359.5,Mudstone_Clay,During_Load
BH-06,21.0,1349.0,675.0,1.999,8.538,366.5,Mudstone_Clay,Post_Load
BH-06,21.5,1336.5,664.1,2.012,7.954,377.33,Mudstone_Clay,Post_Load
BH-06,22.0,1373.2,702.9,1.954,8.291,383.38,Mudstone_Clay,Post_Load
BH-06,22.5,1376.4,703.4,1.957,8.536,383.67,Mudstone_Clay,During_Load
BH-06,23.0,1390.2,729.5,1.906,7.67,399.12,Mudstone_Clay,Post_Load
BH-06,23.5,1394.2,725.6,1.921,8.286,400.94,Mudstone_Clay,During_Load
BH-06,24.0,1422.3,700.9,2.029,7.969,418.62,Mudstone_Clay,Post_Load
BH-06,24.5,1450.6,721.7,2.01,7.838,421.11,Mudstone_Clay,Pre-load
BH-06,25.0,1490.1,735.8,2.025,7.933,438.03,Mudstone_Clay,Pre-load
BH-06,25.5,1505.9,777.3,1.937,8.104,445.17,Mudstone_Clay,Post_Load
BH-06,26.0,1472.8,778.4,1.892,7.623,452.0,Mudstone_Clay,Post_Load
BH-06,26.5,1520.5,767.7,1.981,7.862,467.07,Mudstone_Clay,During_Load
BH-06,27.0,1568.3,785.0,1.998,7.955,469.23,Mudstone_Clay,Pre-load
BH-06,27.5,1573.3,800.1,1.966,7.564,475.08,Mudstone_Clay,Pre-load
BH-06,28.0,1586.3,826.1,1.92,7.245,494.72,Mudstone_Clay,During_Load
BH-06,28.5,1595.6,810.1,1.97,7.875,503.92,Mudstone_Clay,During_Load
BH-06,29.0,1626.8,821.0,1.981,7.583,514.93,Mudstone_Clay,During_Load
BH-06,29.5,1620.3,835.4,1.94,7.517,515.92,Mudstone_Clay,During_Load
BH-06,30.0,1627.0,844.2,1.927,7.801,529.37,Mudstone_Clay,Post_Load
