Excavation_Depth_m,Excavation_Width_m,Prop_Spacing_m,Wall_Thickness_m,Max_Horizontal_Displacement_mm,Max_Surface_Settlement_mm,Max_Bending_Moment_kNm_per_m,Factor_of_Safety,Failure_Flag,Soil_Type,Cu_kPa,Ko
12,30,2.0,0.8,187.99,185.27,3412.8,2.504,0,London_Clay,135.1,1.48
12,30,2.0,1.0,154.28,139.37,2721.9,3.254,0,London_Clay,139.7,1.38
12,30,2.0,1.2,132.45,106.17,2191.5,3.787,0,London_Clay,128.1,1.52
12,30,3.0,0.6,339.81,225.73,6791.2,1.023,1,London_Clay,129.0,1.41
12,30,3.0,0.8,262.82,202.93,5158.5,1.634,0,London_Clay,127.4,1.59
12,30,3.0,1.0,214.63,154.82,4129.8,2.025,0,London_Clay,129.1,1.43
12,30,3.0,1.2,185.07,181.29,3430.3,2.338,0,London_Clay,139.4,1.48
12,30,4.0,0.6,428.82,289.74,9078.2,0.796,1,London_Clay,131.8,1.28
12,30,4.0,0.8,330.61,229.32,6862.9,1.46,0,London_Clay,129.3,1.56
12,30,4.0,1.0,269.96,217.32,5569.1,1.53,0,London_Clay,121.5,1.69
12,30,4.0,1.2,228.85,223.41,4545.8,1.864,0,London_Clay,145.5,1.47
12,30,5.0,0.6,512.15,509.06,11367.5,0.788,1,London_Clay,133.5,1.69
12,30,5.0,0.8,391.47,367.92,8434.8,0.964,1,London_Clay,143.5,1.48
12,30,5.0,1.0,324.56,207.66,6912.1,1.155,1,London_Clay,131.3,1.51
12,30,5.0,1.2,272.81,207.64,5659.3,1.518,0,London_Clay,123.8,1.47
15,10,2.0,0.6,198.29,173.5,7138.4,1.435,0,London_Clay,143.6,1.69
15,10,2.0,0.8,151.6,92.46,5351.8,2.136,0,London_Clay,143.8,1.49
15,10,2.0,1.0,123.52,77.36,4316.0,2.567,0,London_Clay,153.9,1.33
15,10,2.0,1.2,104.43,71.72,3580.4,2.88,0,London_Clay,137.5,1.29
15,10,3.0,0.6,275.28,218.6,10660.2,0.813,1,London_Clay,147.1,1.41
15,10,3.0,0.8,212.59,186.24,7946.5,1.154,1,London_Clay,133.9,1.45
15,10,3.0,1.0,172.69,149.46,6380.9,1.543,0,London_Clay,149.8,1.36
15,10,3.0,1.2,146.67,100.35,5310.9,1.93,0,London_Clay,141.7,1.46
15,10,4.0,0.6,344.21,225.0,14260.4,0.614,1,London_Clay,151.1,1.55
15,10,4.0,0.8,269.08,189.0,10646.6,1.032,1,London_Clay,133.0,1.64
15,10,4.0,1.0,218.96,207.69,8475.0,1.111,1,London_Clay,142.6,1.49
15,10,4.0,1.2,182.43,136.26,7113.6,1.572,0,London_Clay,138.0,1.35
15,10,5.0,0.6,413.3,349.51,17862.8,0.702,1,London_Clay,142.3,1.25
15,10,5.0,0.8,318.97,254.81,13351.8,0.906,1,London_Clay,140.5,1.46
15,10,5.0,1.0,260.28,198.19,10542.5,0.922,1,London_Clay,153.9,1.51
15,10,5.0,1.2,221.82,204.74,8894.5,1.111,1,London_Clay,149.0,1.31
15,15,2.0,0.6,243.77,199.19,7070.0,1.516,0,London_Clay,139.7,1.49
15,15,2.0,0.8,188.32,137.62,5377.4,2.017,0,London_Clay,150.9,1.54
15,15,2.0,1.0,151.86,138.92,4235.2,2.484,0,London_Clay,142.3,1.79
15,15,2.0,1.2,130.53,116.36,3623.9,2.842,0,London_Clay,151.2,1.72
15,15,3.0,0.6,333.85,211.61,10726.1,0.971,1,London_Clay,143.0,1.62
15,15,3.0,0.8,259.22,228.25,7985.6,1.45,0,London_Clay,136.7,1.35
15,15,3.0,1.0,212.26,141.52,6413.8,1.737,0,London_Clay,142.4,1.53
15,15,3.0,1.2,180.14,137.55,5321.5,2.205,0,London_Clay,140.9,1.71
15,15,4.0,0.6,422.79,343.06,14181.2,0.81,1,London_Clay,149.0,1.42
15,15,4.0,0.8,326.79,290.27,10736.3,1.0,1,London_Clay,148.4,1.28
15,15,4.0,1.0,267.6,161.46,8518.1,1.279,0,London_Clay,139.0,1.55
15,15,4.0,1.2,226.89,200.16,7075.1,1.662,0,London_Clay,155.0,1.54
15,15,5.0,0.6,507.74,410.63,17784.0,0.65,1,London_Clay,148.8,1.59
15,15,5.0,0.8,388.24,260.38,13402.6,0.817,1,London_Clay,150.8,1.38
15,15,5.0,1.0,319.8,234.92,10629.0,0.934,1,London_Clay,139.9,1.36
15,15,5.0,1.2,269.94,210.38,8963.3,1.116,1,London_Clay,144.7,1.54
15,20,2.0,0.6,280.66,186.05,7179.7,1.514,0,London_Clay,154.8,1.58
15,20,2.0,0.8,216.86,168.32,5356.2,2.04,0,London_Clay,157.5,1.47
15,20,2.0,1.0,176.55,129.0,4280.8,2.445,0,London_Clay,145.8,1.5
15,20,2.0,1.2,149.62,109.68,3480.8,2.958,0,London_Clay,147.5,1.41
15,20,3.0,0.6,385.64,280.68,10691.0,0.929,1,London_Clay,145.8,1.56
15,20,3.0,0.8,300.42,270.77,8063.3,1.455,0,London_Clay,156.0,1.46
15,20,3.0,1.0,245.03,223.26,6391.7,1.443,0,London_Clay,145.0,1.59
15,20,3.0,1.2,205.79,180.5,5325.6,2.085,0,London_Clay,146.7,1.65
15,20,4.0,0.6,488.24,394.04,14301.3,0.904,1,London_Clay,147.4,1.73
15,20,4.0,0.8,377.69,299.5,10696.5,0.973,1,London_Clay,140.8,1.61
15,20,4.0,1.0,309.53,194.68,8525.1,1.216,0,London_Clay,147.7,1.57
15,20,4.0,1.2,261.79,228.09,7210.4,1.423,0,London_Clay,138.6,1.41
15,20,5.0,0.6,581.53,360.35,17879.3,0.606,1,London_Clay,142.6,1.52
15,20,5.0,0.8,452.79,423.95,13354.6,0.767,1,London_Clay,143.4,1.35
15,20,5.0,1.0,368.86,303.07,10685.5,1.04,1,London_Clay,146.2,1.57
15,20,5.0,1.2,312.52,255.32,8849.1,1.209,0,London_Clay,146.2,1.43
15,25,2.0,0.6,312.57,263.03,7136.5,1.551,0,London_Clay,141.4,1.47
15,25,2.0,0.8,239.14,200.82,5370.5,1.927,0,London_Clay,150.2,1.37
15,25,2.0,1.0,198.65,129.37,4231.4,2.347,0,London_Clay,142.7,1.42
15,25,2.0,1.2,169.3,161.29,3556.8,3.015,0,London_Clay,141.2,1.52
15,25,3.0,0.6,435.85,376.47,10648.6,0.856,1,London_Clay,149.1,1.42
15,25,3.0,0.8,334.27,296.7,8109.1,1.337,0,London_Clay,141.0,1.39
15,25,3.0,1.0,275.4,264.09,6383.9,1.383,0,London_Clay,150.8,1.29
15,25,3.0,1.2,232.12,225.08,5346.9,1.963,0,London_Clay,137.6,1.53
15,25,4.0,0.6,548.59,488.71,14205.8,0.701,1,London_Clay,141.9,1.43
15,25,4.0,0.8,420.74,270.45,10723.7,1.045,1,London_Clay,144.2,1.41
15,25,4.0,1.0,344.75,241.81,8471.8,1.056,1,London_Clay,149.5,1.37
15,25,4.0,1.2,289.8,258.22,7181.8,1.485,0,London_Clay,144.2,1.54
15,25,5.0,0.6,651.08,442.86,17819.1,0.5,1,London_Clay,143.0,1.72
15,25,5.0,0.8,502.18,440.28,13407.6,0.769,1,London_Clay,136.4,1.7
15,25,5.0,1.0,411.87,382.34,10650.1,1.112,1,London_Clay,146.9,1.4
15,25,5.0,1.2,349.59,211.66,8960.4,1.092,1,London_Clay,141.6,1.6
15,30,2.0,0.6,339.3,259.29,7117.5,1.449,0,London_Clay,143.1,1.35
15,30,2.0,0.8,266.57,263.71,5316.1,1.89,0,London_Clay,156.5,1.69
15,30,2.0,1.0,215.07,184.72,4354.1,2.716,0,London_Clay,135.7,1.45
15,30,2.0,1.2,184.85,140.05,3517.8,2.836,0,London_Clay,145.1,1.38
15,30,3.0,0.6,474.53,377.84,10756.0,1.047,1,London_Clay,149.0,1.33
15,30,3.0,0.8,366.49,349.62,7944.3,1.373,0,London_Clay,149.1,1.44
15,30,3.0,1.0,300.33,227.62,6394.3,1.771,0,London_Clay,144.9,1.6
15,30,3.0,1.2,250.96,155.52,5306.0,2.036,0,London_Clay,143.9,1.41
15,30,4.0,0.6,599.83,402.72,14296.4,0.816,1,London_Clay,142.8,1.54
15,30,4.0,0.8,462.21,308.54,10714.4,1.064,1,London_Clay,136.5,1.6
15,30,4.0,1.0,376.65,302.79,8532.1,1.07,1,London_Clay,150.5,1.28
15,30,4.0,1.2,319.77,273.85,7074.8,1.467,0,London_Clay,152.1,1.58
15,30,5.0,0.6,714.44,700.21,17827.9,0.615,1,London_Clay,141.8,1.7
15,30,5.0,0.8,552.19,514.99,13341.3,0.874,1,London_Clay,144.5,1.39
15,30,5.0,1.0,450.67,319.96,10691.7,0.992,1,London_Clay,142.7,1.4
15,30,5.0,1.2,383.62,369.17,8845.8,1.206,0,London_Clay,145.6,1.52
18,10,2.0,0.6,261.98,178.18,10310.9,1.317,0,London_Clay,154.9,1.47
18,10,2.0,0.8,198.97,181.62,7682.9,1.813,0,London_Clay,162.5,1.54
18,10,2.0,1.0,162.77,115.5,6189.9,2.011,0,London_Clay,158.3,1.41
18,10,2.0,1.2,138.63,108.43,5177.9,2.613,0,London_Clay,150.3,1.6
18,10,3.0,0.6,359.23,315.19,15432.8,1.041,1,London_Clay,156.1,1.57
18,10,3.0,0.8,276.59,251.4,11658.7,1.058,1,London_Clay,164.8,1.49
18,10,3.0,1.0,229.45,211.22,9233.6,1.246,0,London_Clay,157.6,1.62
18,10,3.0,1.2,192.64,133.13,7764.6,1.678,0,London_Clay,166.6,1.36
18,10,4.0,0.6,453.06,415.8,20505.6,0.597,1,London_Clay,157.5,1.46
18,10,4.0,0.8,351.62,347.83,15343.7,0.822,1,London_Clay,159.3,1.48
18,10,4.0,1.0,286.55,263.78,12315.8,0.876,1,London_Clay,154.8,1.49
18,10,4.0,1.2,240.77,197.61,10192.3,1.323,0,London_Clay,149.6,1.48
18,10,5.0,0.6,545.62,422.44,25572.8,0.657,1,London_Clay,157.1,1.59
18,10,5.0,0.8,419.43,293.6,19307.0,0.845,1,London_Clay,158.8,1.27
18,10,5.0,1.0,341.27,233.94,15368.7,0.865,1,London_Clay,156.6,1.54
18,10,5.0,1.2,290.88,259.43,12816.4,1.11,1,London_Clay,161.8,1.51
18,15,2.0,0.6,320.52,202.96,10263.6,1.224,0,London_Clay,153.3,1.63
18,15,2.0,0.8,246.87,245.71,7669.2,1.654,0,London_Clay,162.2,1.63
18,15,2.0,1.0,201.5,180.73,6084.9,2.083,0,London_Clay,167.8,1.4
18,15,2.0,1.2,173.63,123.65,5084.9,2.581,0,London_Clay,160.6,1.37
18,15,3.0,0.6,442.78,286.55,15318.3,0.704,1,London_Clay,164.6,1.57
18,15,3.0,0.8,339.7,286.51,11538.4,1.142,1,London_Clay,157.8,1.52
18,15,3.0,1.0,279.41,227.89,9229.1,1.324,0,London_Clay,158.2,1.6
18,15,3.0,1.2,238.61,178.85,7719.6,1.644,0,London_Clay,154.3,1.42
18,15,4.0,0.6,557.65,357.6,20526.9,0.682,1,London_Clay,155.7,1.36
18,15,4.0,0.8,426.43,389.47,15358.6,0.572,1,London_Clay,152.6,1.37
18,15,4.0,1.0,351.1,271.92,12295.7,1.093,1,London_Clay,157.5,1.49
18,15,4.0,1.2,299.91,215.75,10190.8,1.34,0,London_Clay,163.9,1.41
18,15,5.0,0.6,663.15,461.82,25626.9,0.503,1,London_Clay,163.7,1.59
18,15,5.0,0.8,512.28,388.31,19182.6,0.605,1,London_Clay,152.5,1.4
18,15,5.0,1.0,417.7,347.06,15439.8,0.899,1,London_Clay,159.3,1.65
18,15,5.0,1.2,354.29,248.73,12782.5,0.952,1,London_Clay,162.7,1.43
18,20,2.0,0.6,368.6,277.1,10244.3,1.536,0,London_Clay,161.5,1.39
18,20,2.0,0.8,282.92,252.75,7682.8,1.696,0,London_Clay,163.5,1.3
18,20,2.0,1.0,231.38,193.37,6139.4,1.94,0,London_Clay,160.6,1.64
18,20,2.0,1.2,197.15,164.85,5135.4,2.409,0,London_Clay,164.8,1.57
18,20,3.0,0.6,508.21,449.29,15409.1,0.659,1,London_Clay,155.4,1.39
18,20,3.0,0.8,394.46,329.91,11595.8,1.085,1,London_Clay,166.3,1.55
18,20,3.0,1.0,320.04,270.31,9305.2,1.285,0,London_Clay,166.5,1.56
18,20,3.0,1.2,276.98,248.42,7559.8,1.701,0,London_Clay,158.3,1.49
18,20,4.0,0.6,641.11,535.4,20560.4,0.605,1,London_Clay,165.8,1.55
18,20,4.0,0.8,495.31,434.53,15418.9,0.879,1,London_Clay,167.7,1.63
18,20,4.0,1.0,404.15,357.05,12353.0,0.989,1,London_Clay,157.5,1.41
18,20,4.0,1.2,341.16,274.09,10172.5,1.232,0,London_Clay,160.4,1.46
18,20,5.0,0.6,764.7,724.0,25609.1,0.562,1,London_Clay,162.1,1.39
18,20,5.0,0.8,592.07,520.13,19223.5,0.526,1,London_Clay,159.5,1.61
18,20,5.0,1.0,485.39,447.16,15460.1,0.975,1,London_Clay,158.3,1.57
18,20,5.0,1.2,410.97,326.54,12898.8,0.981,1,London_Clay,161.1,1.63
18,25,2.0,0.6,411.84,406.58,10194.0,1.323,0,London_Clay,163.0,1.5
18,25,2.0,0.8,317.28,272.43,7702.9,1.782,0,London_Clay,157.0,1.4
18,25,2.0,1.0,260.56,161.72,6066.3,2.121,0,London_Clay,158.0,1.46
18,25,2.0,1.2,220.05,171.94,5209.7,2.51,0,London_Clay,167.2,1.47
18,25,3.0,0.6,568.6,376.71,15403.5,0.63,1,London_Clay,153.8,1.55
18,25,3.0,0.8,442.24,334.0,11517.3,1.05,1,London_Clay,151.2,1.67
18,25,3.0,1.0,357.94,309.67,9236.9,1.344,0,London_Clay,163.3,1.54
18,25,3.0,1.2,305.4,223.95,7654.5,1.685,0,London_Clay,156.1,1.52
18,25,4.0,0.6,718.43,600.53,20568.1,0.738,1,London_Clay,159.2,1.5
18,25,4.0,0.8,554.66,539.47,15444.5,1.07,1,London_Clay,152.8,1.48
18,25,4.0,1.0,449.43,350.29,12321.6,0.933,1,London_Clay,159.3,1.65
18,25,4.0,1.2,385.06,254.12,10181.6,1.296,0,London_Clay,158.0,1.42
18,25,5.0,0.6,856.47,582.09,25630.3,0.5,1,London_Clay,160.7,1.47
18,25,5.0,0.8,659.59,401.59,19182.5,0.846,1,London_Clay,155.7,1.43
18,25,5.0,1.0,540.07,362.85,15479.9,0.896,1,London_Clay,169.1,1.57
18,25,5.0,1.2,461.21,297.94,12797.7,1.182,1,London_Clay,153.7,1.65
18,30,2.0,0.6,451.2,444.38,10275.0,1.222,0,London_Clay,162.4,1.46
18,30,2.0,0.8,346.02,279.61,7659.0,1.574,0,London_Clay,153.7,1.48
18,30,2.0,1.0,285.59,181.09,6191.1,2.215,0,London_Clay,166.4,1.51
18,30,2.0,1.2,241.75,235.19,5176.8,2.578,0,London_Clay,160.2,1.41
18,30,3.0,0.6,623.33,576.04,15362.5,0.824,1,London_Clay,154.4,1.37
18,30,3.0,0.8,482.22,350.3,11454.7,1.042,1,London_Clay,162.4,1.43
18,30,3.0,1.0,393.86,265.55,9257.3,1.52,0,London_Clay,164.7,1.39
18,30,3.0,1.2,336.31,235.71,7754.6,1.652,0,London_Clay,148.9,1.36
18,30,4.0,0.6,785.5,640.16,20461.8,0.62,1,London_Clay,158.0,1.57
18,30,4.0,0.8,608.21,519.45,15461.7,0.862,1,London_Clay,150.2,1.55
18,30,4.0,1.0,497.81,415.34,12307.9,1.145,1,London_Clay,163.0,1.39
18,30,4.0,1.2,423.63,341.22,10235.0,1.37,0,London_Clay,156.0,1.48
18,30,5.0,0.6,937.9,714.91,25739.2,0.5,1,London_Clay,161.0,1.64
18,30,5.0,0.8,725.89,676.01,19278.1,0.7,1,London_Clay,174.7,1.4
18,30,5.0,1.0,590.66,447.29,15370.3,0.682,1,London_Clay,156.0,1.57
18,30,5.0,1.2,502.81,315.74,12777.3,1.052,1,London_Clay,157.5,1.48
20,10,2.0,0.6,306.56,292.46,12628.4,1.105,1,London_Clay,162.5,1.61
20,10,2.0,0.8,235.46,213.12,9603.2,1.516,0,London_Clay,174.1,1.48
20,10,2.0,1.0,193.17,156.83,7683.4,1.904,0,London_Clay,159.2,1.4
20,10,2.0,1.2,166.28,147.27,6331.7,2.253,0,London_Clay,158.9,1.38
20,10,3.0,0.6,420.52,360.0,19041.1,0.728,1,London_Clay,175.0,1.48
20,10,3.0,0.8,325.31,318.85,14310.1,1.001,1,London_Clay,170.3,1.47
20,10,3.0,1.0,267.6,190.9,11378.9,1.362,0,London_Clay,176.0,1.34
20,10,3.0,1.2,225.18,207.98,9490.0,1.64,0,London_Clay,177.7,1.66
20,10,4.0,0.6,530.99,377.1,25394.9,0.589,1,London_Clay,161.5,1.29
20,10,4.0,0.8,407.55,259.39,18954.5,0.82,1,London_Clay,168.1,1.37
20,10,4.0,1.0,336.22,251.69,15128.3,1.107,1,London_Clay,158.4,1.45
20,10,4.0,1.2,284.17,270.58,12568.4,0.977,1,London_Clay,170.0,1.45
20,10,5.0,0.6,638.26,563.46,31758.4,0.5,1,London_Clay,166.4,1.5
20,10,5.0,0.8,488.67,335.06,23741.4,0.556,1,London_Clay,172.2,1.42
20,10,5.0,1.0,399.41,241.12,19005.5,0.702,1,London_Clay,172.3,1.34
20,10,5.0,1.2,342.02,285.31,15804.4,0.874,1,London_Clay,166.8,1.44
20,15,2.0,0.6,376.62,265.71,12624.1,1.126,1,London_Clay,168.5,1.54
20,15,2.0,0.8,288.69,241.29,9626.5,1.401,0,London_Clay,164.4,1.42
20,15,2.0,1.0,236.09,211.92,7513.7,1.799,0,London_Clay,170.0,1.59
20,15,2.0,1.2,201.25,144.06,6292.0,2.435,0,London_Clay,179.7,1.53
20,15,3.0,0.6,517.02,375.0,19051.5,0.672,1,London_Clay,173.6,1.6
20,15,3.0,0.8,398.64,354.7,14182.5,0.954,1,London_Clay,163.3,1.41
20,15,3.0,1.0,327.31,229.39,11363.3,1.03,1,London_Clay,165.6,1.5
20,15,3.0,1.2,277.39,175.31,9509.0,1.419,0,London_Clay,162.6,1.68
20,15,4.0,0.6,649.89,524.21,25328.5,0.5,1,London_Clay,170.1,1.52
20,15,4.0,0.8,501.12,340.06,18964.6,0.696,1,London_Clay,166.4,1.39
20,15,4.0,1.0,410.91,249.77,15126.3,0.965,1,London_Clay,180.2,1.56
20,15,4.0,1.2,349.67,227.59,12608.5,1.089,1,London_Clay,165.7,1.41
20,15,5.0,0.6,774.88,758.68,31733.6,0.523,1,London_Clay,166.4,1.41
20,15,5.0,0.8,599.95,565.85,23803.4,0.5,1,London_Clay,164.6,1.76
20,15,5.0,1.0,493.92,313.69,18998.4,0.821,1,London_Clay,171.5,1.45
20,15,5.0,1.2,419.51,319.43,15834.4,0.787,1,London_Clay,169.7,1.39
20,20,2.0,0.6,430.47,341.06,12709.3,1.096,1,London_Clay,175.8,1.47
20,20,2.0,0.8,332.7,253.11,9478.6,1.596,0,London_Clay,176.5,1.6
20,20,2.0,1.0,269.87,224.21,7654.2,1.811,0,London_Clay,168.8,1.6
20,20,2.0,1.2,229.31,167.77,6260.1,2.183,0,London_Clay,165.0,1.32
20,20,3.0,0.6,597.17,583.69,19090.3,0.75,1,London_Clay,167.0,1.58
20,20,3.0,0.8,461.07,285.71,14305.8,1.023,1,London_Clay,172.5,1.47
20,20,3.0,1.0,377.28,292.62,11426.9,1.202,0,London_Clay,169.8,1.48
20,20,3.0,1.2,322.87,209.78,9595.6,1.616,0,London_Clay,176.7,1.5
20,20,4.0,0.6,752.01,455.04,25383.4,0.5,1,London_Clay,178.5,1.69
20,20,4.0,0.8,581.37,430.27,18986.2,0.683,1,London_Clay,163.7,1.44
20,20,4.0,1.0,472.44,289.93,15304.6,1.037,1,London_Clay,167.1,1.61
20,20,4.0,1.2,404.14,355.34,12635.1,1.095,1,London_Clay,173.8,1.45
20,20,5.0,0.6,898.4,542.52,31686.6,0.5,1,London_Clay,165.8,1.42
20,20,5.0,0.8,693.68,677.96,23785.7,0.577,1,London_Clay,173.5,1.58
20,20,5.0,1.0,569.71,487.21,19067.7,0.837,1,London_Clay,180.4,1.54
20,20,5.0,1.2,481.93,330.73,15831.6,0.815,1,London_Clay,176.5,1.51
20,25,2.0,0.6,485.66,393.79,12585.4,1.136,1,London_Clay,167.8,1.47
20,25,2.0,0.8,372.98,312.46,9442.2,1.532,0,London_Clay,163.2,1.45
20,25,2.0,1.0,305.48,257.76,7550.9,1.805,0,London_Clay,171.2,1.48
20,25,2.0,1.2,259.91,188.52,6219.0,2.172,0,London_Clay,173.8,1.46
20,25,3.0,0.6,668.19,474.29,18923.9,0.559,1,London_Clay,173.8,1.61
20,25,3.0,0.8,513.18,482.69,14302.5,1.032,1,London_Clay,170.7,1.33
20,25,3.0,1.0,421.08,346.43,11398.6,1.348,0,London_Clay,178.6,1.55
20,25,3.0,1.2,360.11,225.68,9511.8,1.406,0,London_Clay,168.1,1.48
20,25,4.0,0.6,842.64,616.39,25229.3,0.65,1,London_Clay,176.7,1.62
20,25,4.0,0.8,647.41,556.43,19040.0,0.956,1,London_Clay,172.8,1.48
20,25,4.0,1.0,531.08,372.22,15262.2,0.878,1,London_Clay,164.5,1.31
20,25,4.0,1.2,449.95,362.64,12669.3,1.212,0,London_Clay,167.6,1.67
20,25,5.0,0.6,1002.26,722.09,31726.2,0.5,1,London_Clay,183.6,1.33
20,25,5.0,0.8,776.25,579.69,23739.0,0.587,1,London_Clay,170.5,1.47
20,25,5.0,1.0,635.2,504.35,18980.6,0.768,1,London_Clay,160.3,1.61
20,25,5.0,1.2,535.25,345.67,15899.0,0.805,1,London_Clay,175.3,1.46
20,30,2.0,0.6,531.28,341.6,12648.4,1.172,1,London_Clay,173.5,1.45
20,30,2.0,0.8,407.49,296.05,9476.1,1.496,0,London_Clay,176.7,1.31
20,30,2.0,1.0,333.85,309.69,7631.2,1.819,0,London_Clay,170.3,1.57
20,30,2.0,1.2,280.64,275.09,6313.8,2.302,0,London_Clay,166.7,1.44
20,30,3.0,0.6,730.41,585.61,19067.7,0.585,1,London_Clay,168.8,1.45
20,30,3.0,0.8,564.42,368.41,14265.5,1.048,1,London_Clay,172.9,1.23
20,30,3.0,1.0,463.77,423.73,11363.1,1.329,0,London_Clay,174.7,1.44
20,30,3.0,1.2,390.19,307.45,9558.4,1.422,0,London_Clay,165.7,1.46
20,30,4.0,0.6,920.84,635.7,25330.5,0.5,1,London_Clay,179.9,1.5
20,30,4.0,0.8,709.3,624.79,19054.3,0.754,1,London_Clay,167.6,1.48
20,30,4.0,1.0,580.95,482.51,15230.2,0.874,1,London_Clay,175.3,1.43
20,30,4.0,1.2,493.87,353.86,12682.4,1.089,1,London_Clay,173.6,1.41
20,30,5.0,0.6,1100.38,897.92,31701.0,0.5,1,London_Clay,167.8,1.74
20,30,5.0,0.8,848.46,843.71,23745.9,0.699,1,London_Clay,173.7,1.53
20,30,5.0,1.0,695.47,532.95,18994.8,0.907,1,London_Clay,173.8,1.51
20,30,5.0,1.2,592.16,418.9,15847.4,1.049,1,London_Clay,163.6,1.62
