Date,Temperature_C,Precipitation_mm,Relative_Humidity_pct,Wind_Speed_m_s,Cumulative_Precip_30d_mm,Evapotranspiration_mm,Water_Balance_mm,Soil_Suction_kPa,Shrinkage_Strain,Embankment_Deterioration_Index,Soil_Type
2018-09-14,10.2,0.42,62.8,4.0,32.0,2.07,-1.65,48.1,0.02803,0.3687,Clay
2018-09-15,12.0,0.56,53.0,1.9,27.9,2.61,-2.05,51.0,0.03139,0.3595,Clay
2018-09-16,13.3,1.31,64.5,2.4,29.2,2.49,-1.19,51.0,0.03248,0.3851,Clay
2018-09-17,12.0,0.04,62.4,1.8,28.0,2.08,-2.03,55.8,0.03327,0.3707,Clay
2018-09-18,11.2,0.75,65.6,2.8,27.7,2.22,-1.47,56.4,0.03285,0.3793,Clay
2018-09-19,10.6,0.45,60.0,2.9,27.0,2.54,-2.09,61.1,0.03542,0.394,Clay
2018-09-20,8.2,1.5,67.6,2.8,28.2,1.67,-0.17,58.4,0.03102,0.3512,Clay
2018-09-21,7.0,6.86,60.8,2.6,34.8,1.18,5.68,44.6,0.02225,0.2938,Clay
2018-09-22,13.7,1.2,67.3,5.7,35.3,2.62,-1.42,50.9,0.02952,0.4322,Clay
2018-09-23,11.9,0.93,58.1,6.4,36.1,2.46,-1.53,54.2,0.02695,0.4171,Clay
2018-09-24,7.0,0.78,58.8,3.3,36.8,1.81,-1.03,49.3,0.02574,0.332,Clay
2018-09-25,9.4,2.64,67.0,3.2,39.4,2.12,0.51,50.2,0.02642,0.3529,Clay
2018-09-26,4.9,0.13,59.7,6.6,38.5,1.29,-1.16,51.5,0.02819,0.3939,Clay
2018-09-27,7.5,5.65,80.2,4.9,43.5,1.38,4.27,35.7,0.01966,0.3333,Clay
2018-09-28,10.4,0.96,67.4,3.1,44.0,1.77,-0.81,58.9,0.03548,0.4267,Clay
2018-09-29,9.5,0.68,63.2,5.5,44.3,1.82,-1.14,60.8,0.03494,0.4577,Clay
2018-09-30,8.9,6.68,69.8,3.4,50.6,2.02,4.65,36.9,0.01882,0.3227,Clay
2018-10-01,5.8,5.08,59.7,4.7,55.1,1.17,3.91,44.8,0.02503,0.3762,Clay
2018-10-02,5.0,1.92,71.1,10.3,56.7,1.11,0.82,44.8,0.02007,0.4326,Clay
2018-10-03,11.0,0.04,71.1,3.1,55.2,1.89,-1.85,53.3,0.03105,0.4208,Clay
2018-10-04,13.1,2.65,74.2,7.8,57.6,2.93,-0.28,47.9,0.0256,0.4768,Clay
2018-10-05,9.5,0.8,60.9,3.2,54.5,1.86,-1.07,49.0,0.02562,0.3767,Clay
2018-10-06,7.2,0.97,54.9,4.5,55.3,1.79,-0.82,52.6,0.03089,0.42,Clay
2018-10-07,11.3,0.34,60.1,4.0,51.8,2.67,-2.32,45.6,0.02614,0.3978,Clay
2018-10-08,5.0,1.5,62.9,6.1,50.8,0.96,0.54,46.3,0.02392,0.3784,Clay
2018-10-09,10.5,2.79,78.8,1.4,52.0,2.31,0.48,69.1,0.04023,0.446,Clay
2018-10-10,5.4,0.66,83.2,5.0,49.2,1.29,-0.63,43.6,0.02591,0.3738,Clay
2018-10-11,5.5,5.84,68.7,5.9,54.8,1.74,4.1,39.9,0.01904,0.3528,Clay
2018-10-12,6.0,0.46,66.2,4.1,55.0,1.16,-0.7,52.8,0.02657,0.3772,Clay
2018-10-13,6.5,0.15,63.6,1.8,54.7,1.55,-1.4,51.9,0.02927,0.3616,Clay
2018-10-14,9.5,2.24,73.3,2.8,56.6,2.11,0.13,45.9,0.02575,0.3736,Clay
2018-10-15,2.7,4.15,84.4,5.3,60.1,0.7,3.45,47.9,0.02089,0.3494,Clay
2018-10-16,4.7,6.79,81.5,7.2,65.6,1.14,5.65,39.4,0.02421,0.4242,Clay
2018-10-17,7.0,3.27,76.5,3.8,68.8,1.51,1.76,43.4,0.02223,0.374,Clay
2018-10-18,7.9,0.51,76.7,4.6,68.6,2.01,-1.51,57.3,0.02891,0.4362,Clay
2018-10-19,1.0,8.72,74.6,2.7,76.9,1.31,7.41,32.6,0.01646,0.2977,Clay
2018-10-20,3.6,5.84,67.8,3.8,81.2,1.52,4.33,37.0,0.02096,0.3676,Clay
2018-10-21,0.6,0.42,62.6,3.3,74.8,1.03,-0.61,54.2,0.02952,0.3895,Clay
2018-10-22,3.7,1.94,68.5,5.1,75.5,0.0,1.94,39.6,0.02063,0.3781,Clay
2018-10-23,4.3,1.94,72.3,9.6,76.5,1.19,0.75,57.3,0.03495,0.5519,Clay
2018-10-24,7.0,1.42,57.6,6.3,77.2,1.57,-0.16,57.9,0.03663,0.5268,Clay
2018-10-25,-1.5,10.17,68.3,2.5,84.7,0.52,9.65,33.4,0.01737,0.3084,Clay
2018-10-26,7.3,0.15,63.1,4.7,84.7,1.16,-1.0,49.1,0.02621,0.4448,Clay
2018-10-27,3.7,2.47,78.1,1.5,81.5,1.27,1.2,42.3,0.02123,0.3332,Clay
2018-10-28,4.1,0.58,65.9,2.8,81.1,0.48,0.1,36.9,0.01891,0.3411,Clay
2018-10-29,7.9,1.91,73.1,2.3,82.4,1.99,-0.08,58.2,0.0344,0.4613,Clay
2018-10-30,8.9,3.9,65.2,3.3,79.6,1.34,2.56,40.0,0.02247,0.3981,Clay
2018-10-31,2.8,0.74,83.8,5.3,75.3,1.29,-0.55,52.9,0.02891,0.4307,Clay
2018-11-01,2.7,1.31,57.7,4.2,74.6,1.25,0.06,50.9,0.0275,0.4021,Clay
2018-11-02,3.5,7.99,75.4,7.9,82.6,0.92,7.07,27.5,0.01544,0.3992,Clay
2018-11-03,2.5,3.84,61.6,2.6,83.8,1.0,2.84,41.3,0.02333,0.3629,Clay
2018-11-04,0.1,2.3,68.0,3.5,85.3,0.51,1.79,40.7,0.02204,0.3575,Clay
2018-11-05,4.2,0.69,74.0,3.3,85.0,0.68,0.0,54.0,0.02905,0.4244,Clay
2018-11-06,2.2,1.53,74.6,2.8,86.2,1.0,0.53,53.1,0.03083,0.4182,Clay
2018-11-07,4.4,4.14,74.7,10.4,88.8,1.51,2.63,43.5,0.02007,0.4875,Clay
2018-11-08,9.1,4.82,74.3,3.6,90.9,1.77,3.05,39.7,0.02221,0.4224,Clay
2018-11-09,3.6,0.79,68.2,8.0,91.0,1.23,-0.43,51.8,0.02577,0.4865,Clay
2018-11-10,1.5,3.1,72.3,3.6,88.3,0.47,2.63,50.3,0.02736,0.4093,Clay
2018-11-11,2.9,0.29,74.1,2.6,88.1,1.21,-0.92,44.4,0.01959,0.3472,Clay
2018-11-12,4.0,0.07,75.6,2.0,88.0,1.11,-1.04,62.6,0.03304,0.4338,Clay
2018-11-13,3.1,2.33,73.8,6.7,88.1,0.95,1.38,46.0,0.02468,0.4504,Clay
2018-11-14,1.8,0.75,80.4,1.1,84.7,0.91,-0.16,49.7,0.02775,0.3649,Clay
2018-11-15,-1.6,0.25,75.6,8.6,78.2,0.72,-0.48,59.0,0.02817,0.4695,Clay
2018-11-16,5.2,3.93,76.7,3.8,78.8,1.44,2.49,44.7,0.02911,0.4276,Clay
2018-11-17,0.6,2.09,72.2,2.8,80.4,0.26,1.83,45.8,0.02186,0.3396,Clay
2018-11-18,7.6,4.86,67.1,4.9,76.6,1.42,3.44,38.5,0.01845,0.3838,Clay
2018-11-19,2.0,3.36,77.0,2.1,74.1,0.78,2.58,42.0,0.02261,0.329,Clay
2018-11-20,1.5,4.06,85.7,1.5,77.7,0.87,3.19,40.1,0.02009,0.3072,Clay
2018-11-21,1.5,1.15,79.8,6.5,76.9,0.38,0.76,39.6,0.02381,0.4113,Clay
2018-11-22,3.3,0.96,70.0,3.8,75.9,1.11,-0.14,39.9,0.01743,0.3341,Clay
2018-11-23,0.2,2.91,83.2,4.3,77.4,0.8,2.11,44.6,0.02243,0.3609,Clay
2018-11-24,0.7,0.71,74.3,2.4,68.0,0.46,0.25,42.6,0.02309,0.3194,Clay
2018-11-25,4.6,5.44,82.9,1.4,73.3,1.78,3.66,45.9,0.02269,0.3326,Clay
2018-11-26,-0.4,2.4,74.5,3.5,73.2,0.22,2.18,44.5,0.0194,0.3181,Clay
2018-11-27,4.3,0.84,80.5,4.3,73.5,1.2,-0.36,42.7,0.02517,0.394,Clay
2018-11-28,5.0,3.22,73.7,5.9,74.8,0.63,2.59,52.4,0.02586,0.4323,Clay
2018-11-29,4.5,9.59,74.1,4.2,80.5,1.08,8.51,30.8,0.0182,0.3608,Clay
2018-11-30,3.2,0.29,65.8,6.1,80.0,0.93,-0.64,53.9,0.02593,0.4337,Clay
2018-12-01,-3.0,0.39,82.6,1.9,79.1,0.0,0.39,57.4,0.02722,0.3554,Clay
2018-12-02,-1.3,6.26,81.7,1.5,77.4,0.09,6.17,37.5,0.02002,0.2963,Clay
2018-12-03,-1.7,0.39,82.3,2.3,73.9,0.08,0.31,49.5,0.025,0.3365,Clay
2018-12-04,1.2,0.14,81.3,6.0,71.7,0.86,-0.73,58.6,0.0278,0.4186,Clay
2018-12-05,2.4,1.47,73.2,5.9,72.5,0.28,1.19,46.1,0.02468,0.4043,Clay
2018-12-06,-1.4,2.17,87.3,2.1,73.2,0.0,2.17,51.0,0.02082,0.3051,Clay
2018-12-07,1.7,2.93,87.7,1.0,72.0,0.6,2.32,45.0,0.02047,0.2924,Clay
2018-12-08,4.2,2.47,73.6,5.3,69.6,1.1,1.38,48.1,0.02855,0.427,Clay
2018-12-09,-0.9,8.58,84.4,6.7,77.4,0.14,8.45,33.9,0.01646,0.3587,Clay
2018-12-10,-0.3,5.17,87.3,5.8,79.5,0.47,4.7,38.7,0.02074,0.3762,Clay
2018-12-11,5.6,14.63,76.7,2.5,93.8,1.53,13.1,21.1,0.01253,0.3255,Clay
2018-12-12,-0.7,2.31,78.3,4.7,96.1,0.69,1.62,43.5,0.0209,0.3887,Clay
2018-12-13,3.1,0.32,85.1,5.9,94.0,1.36,-1.04,45.6,0.02374,0.4404,Clay
2018-12-14,5.8,11.22,68.9,2.9,104.5,0.97,10.25,27.3,0.01207,0.3476,Clay
2018-12-15,-1.5,0.01,72.5,4.4,104.3,0.04,-0.03,48.7,0.02425,0.4206,Clay
2018-12-16,-1.3,5.44,73.5,3.2,105.8,0.04,5.4,41.2,0.01937,0.3714,Clay
2018-12-17,1.3,0.12,67.2,2.7,103.8,1.0,-0.88,51.3,0.03017,0.4393,Clay
2018-12-18,2.2,5.26,90.4,8.8,104.2,0.64,4.62,46.2,0.02218,0.4916,Clay
2018-12-19,0.1,10.25,66.0,7.5,111.1,0.6,9.64,35.9,0.01898,0.4485,Clay
2018-12-20,7.9,1.83,84.8,3.9,108.9,1.26,0.56,55.6,0.02945,0.5015,Clay
2018-12-21,3.6,1.02,88.7,2.1,108.7,0.85,0.18,48.6,0.02683,0.4291,Clay
2018-12-22,-0.4,0.96,80.0,5.6,108.7,0.17,0.79,45.9,0.02013,0.4213,Clay
2018-12-23,-2.1,2.54,77.1,2.9,108.4,0.39,2.14,38.9,0.01877,0.3665,Clay
2018-12-24,1.8,0.7,84.5,2.3,108.3,0.4,0.3,55.9,0.02966,0.441,Clay
2018-12-25,3.3,4.22,82.8,3.6,107.1,1.54,2.68,38.9,0.02055,0.407,Clay
2018-12-26,7.6,1.74,90.9,4.4,106.5,1.7,0.04,45.4,0.02542,0.4758,Clay
2018-12-27,2.3,1.48,62.0,1.8,107.1,0.62,0.86,49.4,0.02361,0.392,Clay
2018-12-28,1.4,2.36,75.8,4.6,106.2,0.81,1.55,45.3,0.02229,0.4228,Clay
2018-12-29,-0.8,2.99,87.8,0.8,99.6,0.13,2.86,51.5,0.02551,0.3615,Clay
2018-12-30,3.2,0.59,83.8,7.2,100.0,0.67,-0.08,46.3,0.02547,0.4852,Clay
2018-12-31,5.2,4.74,89.5,7.6,104.3,1.49,3.25,43.7,0.02576,0.5133,Clay
2019-01-01,-3.2,8.28,85.7,5.7,106.3,0.43,7.85,25.0,0.0084,0.339,Clay
2019-01-02,2.4,1.26,82.6,4.0,107.2,0.98,0.28,55.6,0.02784,0.4582,Clay
2019-01-03,-0.8,0.77,81.4,2.9,107.8,0.01,0.76,40.1,0.01856,0.3641,Clay
2019-01-04,-1.8,5.56,100.0,5.8,111.9,0.0,5.56,51.3,0.02365,0.4525,Clay
2019-01-05,7.4,0.79,96.3,7.8,110.5,2.07,-1.28,52.0,0.02844,0.5582,Clay
2019-01-06,5.0,0.16,88.1,2.2,107.8,1.49,-1.33,51.2,0.02696,0.4388,Clay
2019-01-07,0.6,3.78,84.8,4.0,109.1,0.25,3.54,42.8,0.01926,0.3935,Clay
2019-01-08,2.0,1.08,88.6,3.2,101.6,0.58,0.5,43.6,0.0199,0.3787,Clay
2019-01-09,1.5,0.74,91.0,3.4,97.2,0.79,-0.04,53.4,0.02802,0.4265,Clay
2019-01-10,-0.8,15.75,87.8,3.7,98.3,0.33,15.42,17.1,0.0063,0.2786,Clay
2019-01-11,1.0,1.36,78.5,8.3,97.3,1.27,0.09,48.3,0.02297,0.4684,Clay
2019-01-12,5.0,9.25,98.8,2.9,106.3,1.03,8.22,40.0,0.02284,0.4188,Clay
2019-01-13,1.0,0.78,86.6,4.2,95.8,0.83,-0.05,41.5,0.0213,0.3882,Clay
2019-01-14,4.1,6.78,100.0,8.3,102.6,1.21,5.57,37.9,0.02282,0.4948,Clay
2019-01-15,1.1,2.77,86.2,4.1,99.9,0.17,2.6,44.3,0.02216,0.4006,Clay
2019-01-16,-0.7,0.33,82.8,6.8,100.1,0.0,0.33,50.0,0.02931,0.487,Clay
2019-01-17,6.5,5.27,95.9,1.4,100.1,1.36,3.9,39.4,0.02062,0.3773,Clay
2019-01-18,-3.4,8.87,87.3,8.3,98.7,0.12,8.76,30.9,0.01732,0.4281,Clay
2019-01-19,8.4,0.71,86.0,2.4,97.6,2.24,-1.53,62.3,0.03209,0.4778,Clay
2019-01-20,6.1,5.16,75.3,9.3,101.8,1.18,3.98,44.5,0.02233,0.5181,Clay
2019-01-21,3.7,2.35,90.2,2.4,103.2,1.2,1.15,43.8,0.02611,0.4196,Clay
2019-01-22,1.9,5.6,81.0,3.9,106.2,0.7,4.9,43.5,0.02076,0.4043,Clay
2019-01-23,2.2,5.0,81.4,3.2,110.5,1.36,3.65,42.9,0.02151,0.4066,Clay
2019-01-24,4.0,0.11,81.1,3.9,106.4,1.09,-0.99,55.7,0.02764,0.4617,Clay
2019-01-25,4.1,0.79,88.5,2.8,105.5,0.98,-0.19,49.4,0.02793,0.4454,Clay
2019-01-26,0.7,2.55,72.7,8.7,106.5,0.66,1.89,42.2,0.01882,0.4621,Clay
2019-01-27,3.9,10.85,83.3,3.2,115.0,1.14,9.71,22.2,0.01417,0.3744,Clay
2019-01-28,4.5,1.67,92.8,5.1,113.7,1.6,0.08,55.6,0.02956,0.5111,Clay
2019-01-29,2.9,3.96,75.0,2.1,117.1,0.94,3.02,47.4,0.02476,0.4264,Clay
2019-01-30,10.7,0.05,86.4,6.4,112.4,2.23,-2.18,56.1,0.03094,0.5741,Clay
2019-01-31,3.6,4.96,79.9,4.5,109.1,0.55,4.41,44.4,0.02551,0.4597,Clay
2019-02-01,-1.2,3.69,81.7,9.3,111.5,0.0,3.69,48.8,0.02368,0.5091,Clay
2019-02-02,1.2,5.01,98.1,3.8,115.7,0.56,4.45,32.7,0.01511,0.3772,Clay
2019-02-03,6.4,9.37,71.7,2.5,119.5,1.49,7.88,34.7,0.01949,0.4219,Clay
2019-02-04,2.2,0.63,91.0,3.4,119.4,0.61,0.02,40.9,0.02074,0.4206,Clay
2019-02-05,1.5,1.21,81.0,5.7,120.4,0.81,0.39,47.2,0.0279,0.5041,Clay
2019-02-06,8.8,21.73,80.5,5.2,138.4,1.66,20.07,11.5,0.00808,0.4362,Clay
2019-02-07,5.2,0.67,75.8,6.0,138.0,1.79,-1.12,50.5,0.02725,0.5574,Clay
2019-02-08,3.0,5.05,90.7,1.6,142.3,0.89,4.17,50.5,0.02887,0.4906,Clay
2019-02-09,-3.4,5.11,83.1,4.7,131.6,0.12,4.99,38.6,0.01573,0.4174,Clay
2019-02-10,6.9,4.54,82.0,7.8,134.8,1.47,3.07,40.0,0.0225,0.5591,Clay
2019-02-11,5.2,1.02,85.3,1.9,126.6,1.25,-0.23,50.6,0.02683,0.4663,Clay
2019-02-12,9.1,0.95,83.0,1.7,126.8,2.04,-1.08,47.0,0.02523,0.4767,Clay
2019-02-13,2.1,4.31,68.3,5.6,124.3,0.85,3.46,38.7,0.01918,0.4533,Clay
2019-02-14,4.3,0.81,80.3,3.2,122.3,1.0,-0.19,55.1,0.03095,0.5036,Clay
2019-02-15,6.5,4.24,91.3,5.2,126.3,1.57,2.67,49.6,0.02269,0.4992,Clay
2019-02-16,9.5,2.65,72.0,4.5,123.6,1.87,0.78,49.2,0.02789,0.5354,Clay
2019-02-17,6.6,1.9,75.2,9.7,116.7,1.66,0.24,52.6,0.02516,0.5726,Clay
2019-02-18,3.8,1.39,80.5,7.2,117.4,1.42,-0.03,60.5,0.03091,0.5555,Clay
2019-02-19,9.9,11.43,78.0,5.3,123.6,2.29,9.14,31.4,0.01718,0.4794,Clay
2019-02-20,5.2,2.74,83.4,2.9,124.0,0.97,1.78,42.1,0.02539,0.4694,Clay
2019-02-21,6.8,3.18,74.8,2.9,121.6,0.62,2.56,47.6,0.02434,0.4671,Clay
2019-02-22,8.7,11.46,80.3,7.1,128.0,2.48,8.98,36.2,0.01979,0.5263,Clay
2019-02-23,11.2,4.07,82.9,4.7,132.0,2.34,1.72,51.2,0.02603,0.5517,Clay
2019-02-24,7.8,12.1,88.4,6.1,143.3,1.78,10.32,35.1,0.01992,0.5339,Clay
2019-02-25,14.5,0.43,93.0,4.0,141.2,2.47,-2.04,59.1,0.03116,0.6091,Clay
2019-02-26,6.6,7.11,80.9,1.8,137.5,0.88,6.23,40.1,0.01784,0.4333,Clay
2019-02-27,7.9,1.55,97.9,3.3,137.3,1.09,0.46,52.3,0.02518,0.5138,Clay
2019-02-28,5.3,6.27,81.2,2.3,139.6,1.2,5.07,41.9,0.0215,0.4613,Clay
2019-03-01,8.3,7.27,89.2,6.1,146.8,1.79,5.48,31.1,0.01637,0.5183,Clay
2019-03-02,8.3,1.18,97.8,5.4,143.1,2.25,-1.07,43.5,0.02585,0.5655,Clay
2019-03-03,10.7,1.96,83.4,1.7,141.3,2.18,-0.22,45.2,0.02805,0.5297,Clay
2019-03-04,9.0,4.8,71.1,4.9,141.1,2.05,2.75,48.6,0.02949,0.5822,Clay
2019-03-05,6.2,0.39,82.7,7.0,132.1,1.28,-0.89,49.6,0.02865,0.5776,Clay
2019-03-06,8.7,5.18,76.9,5.4,136.7,1.67,3.51,43.7,0.02789,0.5697,Clay
2019-03-07,6.1,0.43,79.4,4.3,135.9,0.97,-0.54,58.9,0.03215,0.5634,Clay
2019-03-08,9.9,8.96,97.3,3.2,123.2,1.61,7.35,40.7,0.02331,0.4851,Clay
2019-03-09,6.7,1.17,71.5,7.1,123.7,1.13,0.04,39.0,0.02448,0.5396,Clay
2019-03-10,4.3,3.1,83.5,3.8,121.7,1.04,2.06,49.5,0.0236,0.4626,Clay
2019-03-11,5.2,0.45,73.9,6.7,117.0,0.79,-0.34,51.0,0.02869,0.5416,Clay
2019-03-12,5.2,1.12,78.3,6.1,113.6,1.04,0.08,46.6,0.02441,0.4956,Clay
2019-03-13,7.3,1.84,86.5,6.4,114.4,1.59,0.26,47.9,0.02834,0.54,Clay
2019-03-14,6.5,2.36,82.9,10.0,115.8,0.75,1.61,45.2,0.02644,0.5843,Clay
2019-03-15,9.1,0.0,78.4,5.8,111.5,2.31,-2.31,48.1,0.02589,0.5195,Clay
2019-03-16,8.1,7.69,74.8,1.1,118.4,2.25,5.43,40.4,0.01941,0.4062,Clay
2019-03-17,11.0,0.03,82.4,2.6,114.2,2.46,-2.43,65.7,0.03919,0.5716,Clay
2019-03-18,10.7,5.15,93.3,1.1,116.7,2.23,2.92,49.2,0.02632,0.4645,Clay
2019-03-19,8.8,2.19,72.2,2.5,117.0,1.91,0.28,39.3,0.02162,0.4444,Clay
2019-03-20,13.6,2.54,94.5,1.4,118.1,2.7,-0.16,51.8,0.02717,0.4944,Clay
2019-03-21,7.2,0.79,88.6,4.2,107.5,1.61,-0.81,53.1,0.02774,0.4886,Clay
2019-03-22,13.2,3.16,89.8,1.0,107.9,2.53,0.63,43.8,0.02679,0.4641,Clay
2019-03-23,10.7,2.59,81.1,4.1,107.3,1.61,0.98,42.0,0.02402,0.4809,Clay
2019-03-24,9.2,0.6,87.8,7.3,96.5,1.92,-1.32,57.1,0.0297,0.5431,Clay
2019-03-25,13.9,0.9,70.1,5.8,93.3,2.74,-1.84,54.2,0.02712,0.5227,Clay
2019-03-26,12.4,0.23,72.6,8.1,81.4,2.46,-2.23,52.1,0.03063,0.5534,Clay
2019-03-27,7.6,0.22,83.9,2.7,81.2,1.98,-1.76,56.5,0.02958,0.431,Clay
2019-03-28,12.1,0.05,79.9,4.4,74.2,2.75,-2.7,66.0,0.03732,0.5235,Clay
2019-03-29,12.2,0.8,76.1,3.2,73.4,2.17,-1.37,54.0,0.03003,0.455,Clay
2019-03-30,14.3,3.65,57.0,4.2,70.8,2.3,1.35,48.8,0.027,0.4575,Clay
2019-03-31,13.1,1.21,73.4,4.6,64.7,2.85,-1.64,53.2,0.03131,0.4749,Clay
2019-04-01,13.5,1.33,67.2,1.1,64.9,2.72,-1.39,50.8,0.0271,0.3929,Clay
2019-04-02,10.3,0.44,80.3,2.7,63.4,1.88,-1.43,57.0,0.03172,0.4295,Clay
2019-04-03,11.1,2.67,74.6,5.5,61.2,2.1,0.56,47.9,0.02745,0.4464,Clay
2019-04-04,11.2,1.29,70.9,6.0,62.2,2.08,-0.79,54.1,0.03275,0.4918,Clay
2019-04-05,7.2,3.46,96.8,4.6,60.4,1.67,1.79,53.9,0.02902,0.4194,Clay
2019-04-06,16.0,4.12,83.7,3.0,64.1,3.34,0.78,52.2,0.02788,0.4415,Clay
2019-04-07,9.0,2.65,83.6,3.7,57.8,1.57,1.08,41.5,0.02394,0.3755,Clay
2019-04-08,13.2,0.97,92.6,1.8,57.6,2.57,-1.61,46.6,0.02458,0.3722,Clay
2019-04-09,11.6,2.11,81.1,8.3,56.6,2.31,-0.2,56.7,0.03028,0.5058,Clay
2019-04-10,12.0,0.85,68.3,6.9,57.0,1.7,-0.85,51.1,0.02763,0.4681,Clay
2019-04-11,14.9,6.81,67.1,1.5,62.7,3.48,3.33,44.6,0.02527,0.3905,Clay
2019-04-12,10.6,4.21,81.7,2.3,65.1,2.16,2.05,41.9,0.02578,0.3874,Clay
2019-04-13,14.5,1.95,57.2,4.7,64.7,3.02,-1.07,55.2,0.0329,0.4953,Clay
2019-04-14,14.6,9.58,72.8,2.7,74.2,2.21,7.37,44.7,0.02341,0.4178,Clay
2019-04-15,11.0,2.23,55.8,7.9,68.8,2.73,-0.5,51.8,0.03175,0.5272,Clay
2019-04-16,16.2,1.11,73.7,5.8,69.9,2.82,-1.71,56.7,0.03504,0.5476,Clay
2019-04-17,17.7,0.28,79.5,3.0,65.0,2.46,-2.18,60.6,0.03649,0.5104,Clay
2019-04-18,19.8,2.15,74.7,0.5,65.0,3.04,-0.89,60.2,0.0314,0.4478,Clay
2019-04-19,13.0,5.35,79.7,6.2,67.8,2.09,3.27,40.1,0.02096,0.4373,Clay
2019-04-20,14.5,5.43,87.6,3.8,72.4,2.45,2.98,46.1,0.02642,0.4518,Clay
2019-04-21,14.8,2.47,70.5,5.1,71.7,2.34,0.14,56.1,0.03552,0.5336,Clay
2019-04-22,16.2,1.32,93.9,3.1,70.5,3.17,-1.85,61.5,0.03836,0.5254,Clay
2019-04-23,19.5,2.75,72.9,2.1,72.6,3.49,-0.74,49.4,0.02757,0.4613,Clay
2019-04-24,15.9,3.72,78.5,5.3,75.4,3.04,0.68,45.3,0.02287,0.4649,Clay
2019-04-25,16.1,1.36,65.8,4.0,76.6,3.04,-1.68,52.6,0.03015,0.4954,Clay
2019-04-26,11.4,1.64,83.3,2.7,78.0,2.13,-0.49,49.4,0.02777,0.4354,Clay
2019-04-27,20.9,2.87,78.5,2.1,80.8,3.17,-0.3,49.2,0.02726,0.4809,Clay
2019-04-28,13.4,5.2,81.6,4.7,85.2,2.06,3.14,45.8,0.02422,0.468,Clay
2019-04-29,7.0,3.85,70.0,5.6,85.4,1.11,2.74,41.8,0.0266,0.4626,Clay
2019-04-30,8.3,0.06,59.3,3.0,84.2,1.41,-1.36,60.5,0.032,0.4619,Clay
2019-05-01,16.2,0.32,72.8,5.7,83.2,3.43,-3.11,54.2,0.03088,0.5409,Clay
2019-05-02,11.5,4.57,55.3,2.4,87.4,1.77,2.79,41.4,0.02873,0.4538,Clay
2019-05-03,15.6,4.23,65.9,3.3,88.9,3.28,0.96,42.2,0.02373,0.4616,Clay
2019-05-04,11.0,1.15,69.9,5.8,88.8,1.84,-0.69,57.7,0.02998,0.5166,Clay
2019-05-05,16.5,2.02,87.1,5.2,87.3,2.57,-0.55,44.6,0.02458,0.4997,Clay
2019-05-06,17.4,5.39,70.4,3.0,88.6,3.23,2.16,48.0,0.02874,0.4988,Clay
2019-05-07,16.3,5.47,68.7,2.0,91.4,3.33,2.14,49.2,0.02766,0.4745,Clay
2019-05-08,13.8,3.41,66.8,1.2,93.9,2.08,1.33,32.8,0.01838,0.3896,Clay
2019-05-09,18.6,0.52,56.3,6.6,92.3,3.26,-2.75,48.9,0.02894,0.5724,Clay
2019-05-10,14.9,2.86,67.5,1.6,94.3,3.09,-0.23,48.6,0.03419,0.5084,Clay
2019-05-11,15.6,0.23,67.4,1.9,87.7,3.11,-2.88,65.2,0.03913,0.5396,Clay
2019-05-12,14.7,4.78,58.5,2.8,88.3,2.24,2.53,43.0,0.02279,0.4398,Clay
2019-05-13,15.5,0.34,56.6,3.9,86.7,2.77,-2.43,52.3,0.02988,0.5081,Clay
2019-05-14,22.0,2.26,61.9,6.1,79.3,3.32,-1.06,48.4,0.03112,0.5761,Clay
2019-05-15,16.5,1.94,66.1,2.8,79.1,3.08,-1.15,48.5,0.03039,0.4853,Clay
2019-05-16,12.8,3.05,61.6,4.5,81.0,2.46,0.58,45.7,0.02254,0.4418,Clay
2019-05-17,13.8,1.61,56.7,1.7,82.3,2.74,-1.13,48.9,0.02498,0.4213,Clay
2019-05-18,15.9,0.12,67.1,4.0,80.3,2.6,-2.48,51.4,0.03071,0.5061,Clay
2019-05-19,14.4,2.4,68.9,2.4,77.3,2.45,-0.06,46.5,0.02535,0.4294,Clay
2019-05-20,19.7,0.93,65.3,2.6,72.8,3.75,-2.82,53.7,0.03061,0.4905,Clay
2019-05-21,12.7,0.74,59.6,3.5,71.1,2.71,-1.98,58.7,0.03345,0.481,Clay
2019-05-22,16.6,9.03,68.6,5.9,78.8,3.5,5.53,33.3,0.02102,0.473,Clay
2019-05-23,20.1,1.66,62.1,5.8,77.7,3.94,-2.28,51.3,0.03034,0.5511,Clay
2019-05-24,15.2,2.28,53.9,3.8,76.3,2.29,-0.01,47.4,0.02344,0.4421,Clay
2019-05-25,18.5,1.36,71.5,2.0,76.3,3.64,-2.29,54.6,0.03128,0.4838,Clay
2019-05-26,17.1,2.64,65.8,3.0,77.3,3.06,-0.42,47.0,0.02523,0.4544,Clay
2019-05-27,17.2,2.47,61.8,4.3,76.9,3.3,-0.83,62.0,0.03748,0.5566,Clay
2019-05-28,18.9,1.87,49.9,6.9,73.5,3.23,-1.36,55.6,0.03718,0.6013,Clay
2019-05-29,11.8,10.52,56.3,8.8,80.2,2.0,8.52,37.8,0.02174,0.4999,Clay
2019-05-30,21.1,1.05,78.2,5.0,81.2,3.58,-2.53,56.2,0.03493,0.5819,Clay
