Sample_ID,Soil_Type,Undrained_Shear_Strength_kPa,Plasticity_Index_PI,Liquid_Limit_LL,Plastic_Limit_PL,Compression_Index_Cc,Swelling_Index_Cs,Elastic_Modulus_kPa,Poissons_Ratio,Unit_Weight_kN_m3,Friction_Angle_deg,OCR,Permeability_m_s,Moisture_Content_pct,Cohesion_kPa
CLAY-0186,Clay,15.2,21.0,38.7,17.7,0.2685,0.0373,3521.0,0.394,16.08,26.9,2.72,1.51e-09,22.5,8.9
CLAY-0187,Clay,161.1,21.6,48.9,27.2,0.3496,0.047,32099.0,0.416,19.76,28.1,1.37,1.05e-08,31.0,74.7
CLAY-0188,Clay,82.0,34.9,50.9,15.9,0.4085,0.0905,15413.0,0.416,17.48,20.3,1.23,2.00e-09,23.9,41.5
CLAY-0189,Clay,103.0,27.9,43.1,15.2,0.2942,0.0531,20494.0,0.414,17.95,26.7,2.21,1.43e-08,31.1,47.4
CLAY-0190,Clay,119.3,15.5,32.2,16.7,0.2158,0.0448,23798.0,0.396,18.93,32.1,1.48,2.02e-09,20.4,59.4
CLAY-0191,Clay,82.3,20.4,41.6,21.2,0.2894,0.0443,17663.0,0.368,17.79,31.1,1.09,8.94e-09,25.1,43.5
CLAY-0192,Clay,139.1,53.1,72.5,19.4,0.566,0.1398,27468.0,0.463,19.13,18.7,1.65,1.00e-08,47.0,77.8
CLAY-0193,Clay,147.3,14.5,36.5,22.0,0.2075,0.0308,29997.0,0.397,19.62,29.5,1.05,9.42e-08,27.0,71.9
CLAY-0194,Clay,193.3,23.9,40.3,16.4,0.3025,0.0473,38233.0,0.387,19.68,28.5,1.92,8.72e-10,23.6,108.1
CLAY-0195,Clay,166.8,46.4,67.2,20.8,0.5246,0.0856,34004.0,0.445,19.46,18.6,1.79,2.04e-09,47.1,80.8
CLAY-0196,Clay,62.4,45.7,67.4,21.7,0.5076,0.0881,11419.0,0.428,17.73,20.2,1.17,2.39e-10,32.0,30.9
CLAY-0197,Clay,62.1,15.6,38.7,23.2,0.2589,0.0427,12751.0,0.356,17.27,29.7,1.77,2.14e-09,31.8,27.5
CLAY-0198,Clay,45.6,37.6,61.0,23.5,0.4296,0.0867,8602.0,0.406,17.48,25.1,1.43,2.82e-10,33.6,16.5
CLAY-0199,Clay,126.2,39.3,56.8,17.6,0.4147,0.077,24991.0,0.403,18.79,22.4,1.79,9.43e-09,37.5,56.7
CLAY-0200,Clay,164.0,26.5,47.9,21.3,0.3091,0.04,32571.0,0.417,19.49,31.7,1.0,3.71e-10,31.3,76.5
