firm_id,city,subsector,ownership_type,age_years,employees,total_assets_million_ngn,foreign_equity_share,fdi_years,iot_use,skilled_labor_ratio,rd_spend_percent_revenue,liquidity_ratio,tax_incentives_support,regulatory_stability,infrastructure_support,corruption_experience,policy_effectiveness_index,knowledge_absorption,task_performance,innovation_capability,firm_resources,operational_efficiency_index,roi_percent,roa_percent,export_intensity_percent,export_intensity_ctrl_percent,market_share_percent
F147,Lagos,Beverages,Domestic,15,67,803.52,0.0,0,0,0.397,3.1,1.7,4,3,2,4,37.5,3,3,3,4,88.28,5.29,10.54,31.73,12.05,15.42
F148,Lagos,Meat,Domestic,75,187,6039.26,0.001,0,1,0.583,3.18,2.52,5,5,6,3,70.83,3,4,3,4,100.0,13.14,4.69,61.01,18.35,26.63
F149,Lagos,Beverages,Foreign,68,22,550.24,0.854,8,1,0.578,8.62,1.24,4,3,4,4,45.83,4,4,4,4,90.78,16.32,8.88,73.17,49.62,14.36
F150,Lagos,Bakery,Domestic,69,179,4462.17,0.009,0,0,0.264,3.01,2.03,4,4,4,4,50.0,3,4,3,3,77.67,9.09,8.11,33.24,9.11,22.39
F151,Lagos,Confectionery,Domestic,27,66,543.24,0.004,0,1,0.32,4.34,1.74,6,5,5,3,70.83,3,3,3,3,90.1,14.66,7.62,39.61,9.82,20.32
F152,Lagos,Confectionery,Joint Venture,26,122,5017.11,0.51,6,1,0.557,7.72,1.49,6,6,6,2,83.33,4,4,4,4,97.93,23.68,8.37,73.27,25.47,21.38
F153,Lagos,Bakery,Foreign,69,37,1671.93,0.959,10,1,0.603,8.86,1.43,4,3,3,5,37.5,4,3,4,4,96.16,16.43,5.53,73.75,32.0,15.27
F154,Lagos,Grains & Cereals,Domestic,44,261,1434.39,0.002,0,0,0.378,1.8,1.47,3,3,3,4,37.5,3,4,3,3,75.29,11.92,9.18,36.06,7.93,24.19
F155,Lagos,Bakery,Joint Venture,57,244,3181.07,0.42,3,1,0.666,5.67,1.42,3,5,5,4,54.17,4,4,4,4,95.97,16.41,8.13,53.66,19.88,23.18
F156,Lagos,Grains & Cereals,Domestic,40,194,8861.08,0.019,0,0,0.521,2.73,1.69,6,4,4,4,58.33,3,4,3,3,78.89,8.44,3.94,38.24,21.43,21.2
F157,Lagos,Beverages,Joint Venture,36,27,802.63,0.455,7,1,0.566,5.67,1.89,3,4,4,4,45.83,4,3,4,4,84.68,7.96,11.1,61.14,24.18,10.04
F158,Lagos,Grains & Cereals,Domestic,51,175,2056.56,0.003,0,1,0.512,3.49,1.4,3,2,3,6,25.0,3,3,3,3,79.96,10.28,7.81,43.68,12.44,22.11
F159,Lagos,Fruits & Vegetables,Domestic,66,124,1751.57,0.003,0,0,0.408,3.14,1.7,6,6,7,3,83.33,3,4,2,4,89.4,14.92,8.57,36.06,12.0,21.74
F160,Lagos,Fruits & Vegetables,Domestic,27,25,867.48,0.019,0,0,0.267,2.86,1.69,6,5,5,2,75.0,3,3,3,3,65.75,15.72,5.39,32.31,19.42,16.24
F161,Lagos,Bakery,Domestic,65,88,3310.27,0.017,0,0,0.496,3.32,1.73,5,5,4,2,66.67,3,4,3,3,88.55,11.26,8.26,31.77,26.16,21.05
F162,Lagos,Confectionery,Joint Venture,20,120,3836.9,0.16,5,1,0.344,6.2,1.93,6,6,7,2,87.5,4,4,4,3,93.08,15.79,12.79,53.42,16.07,20.12
F163,Lagos,Dairy,Domestic,33,140,6704.83,0.015,0,0,0.332,2.05,1.93,4,4,4,4,50.0,3,3,3,3,82.01,12.05,2.96,38.82,23.53,15.69
F164,Lagos,Bakery,Domestic,74,104,2832.22,0.0,0,0,0.45,2.66,1.81,6,5,6,3,75.0,3,4,3,3,99.47,13.01,4.78,27.58,17.44,20.51
F165,Lagos,Grains & Cereals,Domestic,77,114,2110.39,0.01,0,1,0.38,3.3,1.18,4,4,4,4,50.0,3,3,3,3,79.92,10.62,5.57,39.02,14.15,18.46
F166,Lagos,Beverages,Foreign,74,293,7757.32,0.84,1,1,0.7,9.2,1.56,5,5,5,3,66.67,4,4,4,4,96.47,12.28,10.49,75.73,44.23,27.62
F167,Lagos,Confectionery,Foreign,26,240,5084.4,0.897,2,1,0.663,8.89,1.92,4,6,5,2,70.83,5,4,5,4,96.74,17.27,10.29,77.93,46.39,25.09
F168,Lagos,Fruits & Vegetables,Joint Venture,68,9,135.89,0.56,0,1,0.574,7.41,2.07,4,5,5,4,58.33,4,4,4,4,80.79,14.57,11.5,69.82,43.79,9.49
F169,Lagos,Beverages,Domestic,75,70,494.78,0.002,0,0,0.459,2.26,1.99,4,4,5,4,54.17,3,3,2,3,95.08,10.55,9.78,26.48,16.67,25.79
F170,Lagos,Oils & Fats,Domestic,79,79,1647.12,0.005,0,1,0.333,3.29,1.87,4,2,5,5,41.67,3,3,3,4,82.29,13.77,7.87,43.05,15.92,17.3
F171,Lagos,Beverages,Domestic,2,22,814.3,0.002,0,0,0.298,2.75,1.64,4,4,4,4,50.0,3,3,3,3,69.0,14.4,8.3,17.86,12.11,17.25
F172,Lagos,Meat,Domestic,60,97,565.48,0.001,0,1,0.333,4.51,2.1,6,6,5,3,75.0,3,4,3,3,100.0,16.05,9.02,38.0,20.06,25.11
F173,Lagos,Dairy,Joint Venture,80,244,6042.18,0.619,9,1,0.521,6.23,1.03,2,3,2,6,20.83,4,3,4,4,83.79,7.66,7.97,64.95,22.92,14.45
F174,Lagos,Oils & Fats,Foreign,62,38,1291.26,0.802,6,1,0.633,6.88,1.46,3,2,4,7,25.0,4,4,4,4,67.81,12.51,5.66,69.52,36.72,17.1
F175,Lagos,Dairy,Domestic,19,118,3831.25,0.005,0,1,0.464,3.46,1.54,4,6,5,2,70.83,4,4,3,3,82.19,10.66,6.49,34.59,33.04,19.44
F176,Lagos,Bakery,Domestic,62,43,1717.81,0.0,0,1,0.283,3.73,1.45,3,3,3,6,29.17,3,3,3,3,66.66,10.42,2.74,43.62,5.18,16.99
F177,Lagos,Beverages,Joint Venture,9,53,2198.09,0.482,5,0,0.342,3.77,2.38,3,3,4,5,37.5,4,3,4,4,64.81,10.86,7.62,58.05,27.79,21.69
F178,Lagos,Oils & Fats,Domestic,39,294,10885.87,0.0,0,1,0.43,3.63,1.69,3,4,4,3,50.0,3,3,3,3,83.84,15.47,7.87,43.37,15.1,21.73
F179,Lagos,Confectionery,Domestic,51,58,558.3,0.004,0,1,0.28,2.26,1.21,3,3,5,4,45.83,3,3,3,3,79.25,12.96,3.07,34.35,12.68,17.23
F180,Lagos,Fruits & Vegetables,Domestic,37,130,3428.88,0.002,0,1,0.467,4.51,1.86,6,5,4,4,62.5,3,3,3,3,94.45,16.17,8.02,47.28,13.81,26.81
F181,Lagos,Confectionery,Domestic,56,20,643.07,0.008,0,0,0.33,2.74,1.58,5,5,4,3,62.5,3,4,2,3,79.71,14.88,5.24,35.65,15.31,16.04
F182,Lagos,Confectionery,Domestic,20,399,6404.14,0.004,0,1,0.322,4.13,1.31,3,4,4,5,41.67,3,3,3,3,91.64,10.1,4.0,38.31,12.33,23.36
F183,Lagos,Meat,Domestic,49,146,1009.57,0.011,0,0,0.428,2.75,2.36,6,5,5,3,70.83,3,3,3,3,76.32,11.98,6.45,38.05,16.65,19.62
F184,Lagos,Beverages,Domestic,52,78,1174.8,0.002,0,0,0.594,3.08,2.05,5,5,5,3,66.67,3,4,3,3,88.81,18.66,6.03,30.49,12.87,22.42
F185,Lagos,Fruits & Vegetables,Foreign,51,143,3642.25,0.841,1,1,0.766,9.41,1.84,5,5,5,2,70.83,5,4,4,4,100.0,15.38,12.89,75.41,53.98,26.81
F186,Lagos,Grains & Cereals,Domestic,24,29,685.18,0.0,0,1,0.404,3.87,1.62,5,5,6,3,70.83,3,4,3,3,84.51,8.55,7.99,52.66,14.13,14.34
F187,Lagos,Beverages,Domestic,25,232,3004.4,0.004,0,0,0.348,1.35,1.11,1,1,2,7,4.17,3,3,2,3,79.43,10.71,7.01,30.16,13.41,11.29
F188,Lagos,Bakery,Joint Venture,21,69,2904.81,0.649,8,0,0.415,5.18,1.8,3,2,3,5,29.17,4,4,4,4,70.38,13.0,7.28,68.43,26.52,13.13
F189,Lagos,Fruits & Vegetables,Foreign,37,76,3545.85,0.794,9,1,0.592,7.44,1.83,4,5,3,6,41.67,4,4,4,4,93.81,17.91,8.35,73.8,43.75,16.96
F190,Lagos,Beverages,Domestic,47,61,857.7,0.002,0,0,0.2,2.21,0.68,4,4,5,4,54.17,3,4,3,3,93.51,11.67,11.9,34.22,17.79,17.84
F191,Lagos,Oils & Fats,Domestic,30,57,2669.35,0.012,0,0,0.518,2.15,2.33,2,4,6,5,45.83,3,3,3,4,80.57,12.26,3.82,28.45,15.79,14.11
F192,Lagos,Dairy,Joint Venture,33,157,911.19,0.418,8,1,0.707,7.58,1.92,6,6,6,2,83.33,4,4,4,4,88.5,20.29,14.37,58.66,22.08,22.39
F193,Lagos,Bakery,Domestic,23,110,5128.56,0.002,0,0,0.441,2.32,1.84,4,5,5,3,62.5,3,4,2,3,80.04,7.35,11.9,22.28,11.54,14.82
F194,Lagos,Confectionery,Domestic,18,152,7271.19,0.002,0,0,0.349,1.74,1.66,2,2,1,6,12.5,3,3,3,3,73.26,7.68,7.65,24.11,19.58,13.64
F195,Lagos,Bakery,Joint Venture,53,89,493.27,0.645,13,1,0.508,9.24,1.87,7,5,6,2,83.33,4,4,4,4,88.12,13.18,9.74,72.85,31.26,25.64
F196,Lagos,Dairy,Domestic,66,136,5349.68,0.001,0,0,0.369,2.29,1.82,3,4,4,4,45.83,3,3,2,3,84.11,4.57,10.06,39.89,16.62,23.39
F197,Lagos,Grains & Cereals,Foreign,24,64,3114.18,0.81,9,1,0.804,8.04,1.47,4,4,4,3,54.17,4,4,4,4,88.43,16.1,9.63,76.3,32.68,16.16
F198,Lagos,Confectionery,Domestic,69,536,24530.36,0.009,0,1,0.442,5.18,1.36,5,5,5,3,66.67,4,4,3,4,100.0,12.34,7.55,39.91,20.55,27.1
F199,Lagos,Dairy,Foreign,46,26,1265.73,0.769,11,1,0.615,9.23,1.82,5,5,6,4,66.67,4,4,4,4,87.15,16.77,9.33,75.66,34.38,9.38
F200,Lagos,Beverages,Domestic,14,247,7351.85,0.013,0,1,0.308,5.89,2.3,7,6,7,2,91.67,3,3,3,4,85.39,15.79,7.43,48.31,12.68,18.64
F201,Lagos,Fruits & Vegetables,Domestic,30,269,2291.08,0.004,0,0,0.507,2.08,1.41,4,4,4,3,54.17,3,3,3,3,79.89,13.28,5.3,37.51,11.27,21.16
F202,Lagos,Oils & Fats,Domestic,1,46,1989.06,0.006,0,0,0.369,2.03,1.38,4,4,3,5,41.67,3,3,3,4,72.15,10.03,10.06,34.72,11.18,20.61
F203,Lagos,Meat,Domestic,4,536,17485.54,0.003,0,0,0.289,3.09,2.1,6,5,6,3,75.0,3,3,2,3,86.4,10.57,5.34,44.16,17.73,24.53
F204,Lagos,Bakery,Joint Venture,27,200,6532.63,0.484,3,1,0.512,7.13,1.6,5,5,5,2,70.83,5,4,4,4,100.0,15.65,10.53,65.37,30.13,23.47
F205,Lagos,Bakery,Domestic,37,196,4660.18,0.008,0,0,0.266,1.27,1.34,2,3,1,6,16.67,3,3,3,3,93.77,12.55,2.02,31.92,8.18,22.89
F206,Lagos,Dairy,Domestic,64,92,2827.43,0.011,0,1,0.425,5.17,1.75,6,6,7,1,91.67,4,4,3,4,97.57,14.94,10.22,37.16,16.97,18.56
F207,Lagos,Bakery,Foreign,11,76,905.24,0.791,3,1,0.673,8.87,1.58,4,4,5,5,50.0,4,4,4,4,87.33,11.35,7.0,75.96,30.21,16.6
F208,Lagos,Grains & Cereals,Foreign,68,76,2910.01,0.876,10,0,0.671,7.93,1.26,5,5,3,4,54.17,4,4,4,4,72.98,10.24,7.08,71.44,45.74,26.33
F209,Lagos,Bakery,Domestic,19,123,1030.22,0.002,0,0,0.373,1.52,1.04,2,1,1,7,4.17,3,3,3,3,76.54,9.19,5.24,22.47,14.53,18.11
F210,Lagos,Meat,Domestic,12,276,10443.88,0.004,0,0,0.378,1.49,1.54,2,3,3,4,33.33,3,3,3,3,75.18,8.96,9.19,15.88,12.75,20.28
F211,Lagos,Grains & Cereals,Joint Venture,56,104,4493.22,0.404,3,1,0.609,6.8,1.67,5,4,5,4,58.33,4,3,4,4,100.0,13.18,10.63,61.84,27.53,17.09
F212,Lagos,Grains & Cereals,Foreign,62,43,1129.23,0.859,3,1,0.669,8.97,2.08,5,5,4,4,58.33,4,4,4,4,72.29,14.09,11.45,76.99,52.1,22.84
F213,Lagos,Dairy,Foreign,49,174,4861.97,0.872,8,1,0.938,8.85,2.15,4,4,3,4,45.83,5,4,5,4,94.73,14.27,11.16,73.71,39.45,25.37
F214,Lagos,Fruits & Vegetables,Joint Venture,10,188,3581.33,0.391,2,0,0.457,3.47,1.92,2,3,4,5,33.33,4,3,3,4,75.47,13.31,6.89,54.0,17.54,24.0
F215,Lagos,Grains & Cereals,Foreign,10,152,7391.1,0.974,7,1,0.656,9.93,1.87,5,4,4,4,54.17,5,4,5,4,92.05,16.9,12.91,76.15,48.35,18.52
F216,Lagos,Fruits & Vegetables,Domestic,32,163,6192.47,0.0,0,0,0.282,1.66,1.42,3,3,3,6,29.17,3,3,3,3,84.23,16.46,4.71,34.2,8.51,24.75
F217,Lagos,Bakery,Domestic,37,72,1555.52,0.007,0,1,0.414,4.41,1.68,5,6,5,5,62.5,3,4,3,3,92.09,14.94,10.23,45.47,13.9,20.24
F218,Lagos,Bakery,Domestic,80,43,553.25,0.003,0,1,0.2,2.64,1.34,2,2,2,5,20.83,3,3,3,3,75.15,14.61,8.67,29.17,9.85,20.43
F219,Lagos,Oils & Fats,Foreign,23,45,669.65,0.846,4,1,0.743,8.46,2.04,4,6,6,3,70.83,4,4,4,4,92.9,12.57,8.73,75.45,37.39,17.91
F220,Lagos,Beverages,Joint Venture,16,24,621.04,0.622,5,0,0.43,6.05,1.85,4,4,4,4,50.0,4,4,4,4,73.58,8.74,7.43,70.8,30.53,12.72
F221,Lagos,Beverages,Domestic,76,109,5168.3,0.001,0,0,0.422,3.22,1.92,5,5,6,2,75.0,3,4,2,3,84.77,13.26,6.78,38.26,20.41,26.1
F222,Lagos,Meat,Domestic,13,84,3195.07,0.002,0,0,0.248,2.54,1.43,3,3,3,5,33.33,3,3,3,3,84.79,13.22,2.49,26.67,18.09,22.78
F223,Lagos,Grains & Cereals,Domestic,3,63,925.22,0.003,0,1,0.323,3.45,1.7,3,3,2,5,29.17,3,3,3,3,80.79,12.92,5.07,56.88,16.87,23.34
F224,Lagos,Oils & Fats,Joint Venture,34,8,349.44,0.519,7,1,0.582,6.64,1.98,4,4,5,5,50.0,4,4,4,4,73.55,17.34,12.88,72.03,31.03,12.89
F225,Lagos,Beverages,Domestic,33,33,726.63,0.008,0,0,0.581,2.71,2.0,5,5,4,2,66.67,3,3,3,3,74.87,4.97,5.71,42.31,14.0,18.69
F226,Lagos,Oils & Fats,Domestic,50,221,9575.38,0.004,0,1,0.358,3.37,1.86,5,6,6,3,75.0,3,4,3,3,97.99,16.82,11.73,48.37,7.08,13.93
F227,Lagos,Bakery,Domestic,71,53,841.45,0.004,0,0,0.339,2.52,1.22,3,3,5,5,41.67,3,4,3,3,68.47,11.68,6.11,35.25,15.05,11.97
F228,Lagos,Grains & Cereals,Domestic,75,120,3940.77,0.002,0,0,0.303,1.92,1.21,3,3,4,5,37.5,3,3,2,3,69.88,5.03,11.29,33.2,5.91,17.15
F229,Lagos,Grains & Cereals,Domestic,24,30,1401.01,0.004,0,0,0.275,1.87,1.26,2,3,2,4,29.17,3,3,3,3,77.05,11.65,4.39,13.96,6.46,9.91
F230,Lagos,Bakery,Domestic,79,285,4732.49,0.005,0,0,0.34,2.66,1.68,4,4,3,4,45.83,3,4,2,3,79.61,12.18,6.51,32.16,12.99,25.63
F231,Lagos,Bakery,Domestic,51,80,2894.54,0.003,0,1,0.372,2.29,1.36,2,1,2,5,16.67,3,3,3,4,67.2,10.79,4.14,31.9,12.9,10.77
F232,Lagos,Beverages,Domestic,6,114,5634.91,0.004,0,0,0.322,1.74,1.04,3,3,3,5,33.33,3,3,3,3,88.79,12.83,4.66,23.46,11.07,17.07
F233,Lagos,Oils & Fats,Domestic,76,579,6818.84,0.005,0,0,0.586,3.04,1.45,4,4,4,3,54.17,3,3,3,3,78.16,12.89,11.25,31.11,22.43,22.77
F234,Lagos,Grains & Cereals,Domestic,12,303,2720.37,0.002,0,0,0.455,2.49,1.81,4,5,5,4,58.33,3,3,3,3,83.27,8.05,8.84,21.47,16.69,26.99
F235,Lagos,Oils & Fats,Domestic,48,70,2473.71,0.002,0,1,0.298,4.5,1.33,6,4,5,4,62.5,3,4,3,3,78.84,11.51,10.37,31.55,13.62,15.1
F236,Lagos,Fruits & Vegetables,Foreign,64,56,1136.13,0.843,11,1,0.666,8.44,1.86,4,5,4,4,54.17,4,4,4,4,83.29,9.48,6.73,76.6,49.28,22.41
F237,Lagos,Meat,Domestic,20,69,566.21,0.001,0,1,0.339,4.3,1.64,4,5,5,3,62.5,3,3,3,4,76.67,14.6,9.56,49.22,23.26,20.85
F238,Lagos,Fruits & Vegetables,Domestic,22,135,3562.48,0.003,0,0,0.426,3.21,1.25,5,3,3,5,41.67,3,3,3,3,85.37,15.03,4.56,14.88,15.72,23.41
F239,Lagos,Bakery,Domestic,39,83,3230.33,0.011,0,0,0.253,2.24,1.62,5,4,5,4,58.33,3,4,3,3,81.86,8.86,4.18,27.88,11.39,23.25
F240,Lagos,Bakery,Domestic,71,66,1176.81,0.007,0,0,0.298,3.09,1.85,4,5,6,2,70.83,3,4,3,3,89.44,11.13,8.69,42.26,12.97,18.61
F241,Lagos,Confectionery,Domestic,18,291,5842.44,0.007,0,0,0.351,3.25,1.35,5,4,5,3,62.5,3,3,3,3,80.33,8.82,8.06,33.54,9.19,16.38
F242,Lagos,Fruits & Vegetables,Domestic,54,82,3530.63,0.001,0,1,0.385,2.72,1.26,2,2,3,6,20.83,3,3,3,4,96.49,8.79,6.74,46.19,11.87,18.03
F243,Lagos,Dairy,Joint Venture,37,567,16104.63,0.477,11,1,0.645,5.75,1.61,4,3,4,5,41.67,4,3,4,4,76.88,14.35,10.84,69.24,20.02,26.04
F244,Lagos,Meat,Domestic,9,97,4163.53,0.004,0,1,0.519,4.87,1.5,5,5,4,3,62.5,3,3,3,3,71.16,10.61,10.18,34.96,13.31,21.0
F245,Lagos,Grains & Cereals,Domestic,57,375,9407.82,0.004,0,0,0.493,3.0,1.37,5,6,5,3,70.83,3,4,3,3,100.0,14.67,12.35,33.56,16.67,21.02
F246,Lagos,Confectionery,Domestic,67,120,5746.07,0.003,0,1,0.379,4.02,1.14,6,4,5,3,66.67,3,4,3,4,91.48,16.22,5.68,41.91,7.73,24.61
F247,Lagos,Grains & Cereals,Domestic,47,194,6651.44,0.001,0,0,0.455,2.29,1.47,4,4,3,4,45.83,3,3,3,3,84.32,14.45,10.97,20.36,8.88,20.94
F248,Lagos,Beverages,Domestic,15,50,510.77,0.004,0,1,0.284,6.1,1.2,5,4,4,4,54.17,3,3,3,4,84.93,8.13,12.17,32.42,12.05,16.29
F249,Lagos,Beverages,Foreign,13,45,2017.31,0.783,11,0,0.449,5.91,1.23,3,2,4,5,33.33,4,4,4,4,83.88,16.41,7.72,63.18,35.78,16.17
F250,Lagos,Beverages,Foreign,34,130,3512.2,0.993,10,1,0.743,8.86,1.97,4,3,5,4,50.0,5,4,4,4,92.15,19.5,6.4,74.93,41.71,27.07
F251,Lagos,Grains & Cereals,Domestic,41,199,2263.38,0.004,0,0,0.337,2.79,1.32,6,5,6,1,83.33,3,3,3,3,78.47,17.47,4.72,39.73,15.0,23.58
F252,Lagos,Confectionery,Domestic,45,93,1104.01,0.001,0,1,0.402,5.87,1.65,6,5,5,3,70.83,3,4,3,3,92.47,12.85,7.25,55.82,12.21,25.59
F253,Lagos,Meat,Domestic,20,32,1150.05,0.006,0,0,0.405,3.67,2.37,6,5,6,3,75.0,3,4,3,3,84.52,11.27,13.59,40.02,9.78,11.35
F254,Lagos,Dairy,Domestic,41,30,213.95,0.013,0,0,0.367,3.01,1.59,4,3,3,6,33.33,3,3,2,3,82.91,6.57,6.09,31.73,10.93,10.29
F255,Lagos,Dairy,Foreign,24,29,519.0,0.961,0,1,0.754,9.16,1.36,4,3,2,5,33.33,5,3,5,4,95.97,9.59,8.48,74.63,40.85,14.9
F256,Lagos,Fruits & Vegetables,Domestic,55,22,248.39,0.002,0,1,0.431,4.97,1.55,5,4,5,4,58.33,4,4,3,3,82.69,12.72,6.81,49.55,13.08,16.8
F257,Lagos,Fruits & Vegetables,Domestic,64,98,2435.15,0.008,0,1,0.426,3.84,1.86,5,5,4,4,58.33,3,4,3,4,76.06,15.53,5.2,42.1,15.11,15.75
F258,Lagos,Bakery,Joint Venture,53,221,5225.75,0.576,1,0,0.609,6.55,2.38,6,6,6,2,83.33,4,4,4,4,100.0,20.19,13.05,64.78,37.08,22.6
F259,Lagos,Bakery,Domestic,1,89,2535.12,0.006,0,0,0.442,2.93,1.71,5,6,5,2,75.0,3,3,2,3,72.6,10.59,7.5,49.18,19.31,18.77
F260,Lagos,Grains & Cereals,Domestic,80,15,263.75,0.0,0,1,0.337,5.04,1.51,5,5,5,3,66.67,3,4,3,3,81.04,11.95,13.31,29.27,12.23,10.67
F261,Lagos,Bakery,Foreign,2,77,496.03,0.849,8,1,0.686,8.68,1.32,4,5,5,4,58.33,4,4,4,4,85.37,13.44,11.79,69.76,30.1,20.53
F262,Lagos,Confectionery,Domestic,80,79,2579.14,0.008,0,1,0.567,2.97,1.5,3,3,2,5,29.17,3,4,2,3,75.58,8.44,9.05,38.55,18.81,19.52
F263,Lagos,Beverages,Domestic,3,481,10494.13,0.003,0,1,0.468,4.87,1.44,6,6,7,2,87.5,3,4,3,3,100.0,15.5,8.58,48.55,18.61,16.72
F264,Lagos,Bakery,Domestic,42,28,960.68,0.001,0,0,0.428,2.13,1.59,5,5,7,3,75.0,3,4,3,3,80.67,13.98,5.9,24.07,11.46,16.28
F265,Lagos,Oils & Fats,Joint Venture,9,66,652.74,0.45,3,1,0.528,6.1,1.59,6,6,6,4,75.0,4,4,4,4,92.92,15.55,8.15,62.21,30.82,25.38
F266,Lagos,Dairy,Domestic,8,352,1978.23,0.012,0,0,0.434,2.0,1.66,2,2,2,6,16.67,3,3,2,3,72.69,10.31,2.24,18.35,16.84,16.74
F267,Lagos,Beverages,Domestic,55,129,2086.35,0.011,0,0,0.501,3.1,1.71,6,6,5,2,79.17,3,4,3,3,83.83,15.19,11.27,44.01,26.25,18.42
F268,Lagos,Bakery,Domestic,59,141,3601.79,0.009,0,0,0.426,1.65,1.59,2,3,2,6,20.83,3,3,2,3,69.92,11.36,4.83,33.73,13.23,20.05
F269,Lagos,Bakery,Domestic,10,99,2250.59,0.004,0,0,0.451,3.65,1.39,6,6,4,3,70.83,3,4,2,3,80.33,9.33,10.46,46.08,21.05,15.66
F270,Lagos,Bakery,Foreign,79,117,4851.24,0.886,0,1,0.778,9.33,1.64,4,4,4,3,54.17,5,4,5,4,90.13,18.04,11.63,71.5,33.49,25.11
F271,Lagos,Bakery,Domestic,26,168,3696.45,0.0,0,0,0.466,2.2,1.11,3,3,2,5,29.17,3,3,3,3,93.77,10.41,5.94,17.64,12.37,15.81
F272,Lagos,Dairy,Domestic,26,47,1356.88,0.006,0,0,0.423,3.22,1.61,4,5,4,3,58.33,3,3,3,3,75.41,9.85,4.64,21.74,13.07,9.12
F273,Lagos,Bakery,Domestic,24,182,5770.89,0.0,0,0,0.356,2.19,2.13,3,3,3,4,37.5,3,3,2,3,62.08,11.74,6.92,36.63,14.55,21.59
F274,Lagos,Grains & Cereals,Foreign,37,30,179.47,0.899,0,1,0.754,9.34,1.88,5,4,5,4,58.33,5,4,5,4,97.4,16.09,10.82,76.19,52.41,12.42
F275,Lagos,Grains & Cereals,Domestic,15,117,3297.18,0.0,0,0,0.287,2.47,1.43,4,3,2,5,33.33,3,3,2,3,80.43,13.09,8.07,26.61,13.86,18.91
F276,Lagos,Beverages,Joint Venture,34,104,2133.81,0.51,5,1,0.479,5.29,2.43,3,3,3,7,25.0,4,4,4,4,83.57,10.73,6.65,64.82,20.15,25.4
F277,Lagos,Beverages,Foreign,17,55,1317.67,0.782,7,1,0.67,9.13,1.46,5,5,5,3,66.67,4,4,4,4,83.6,18.63,12.01,74.14,30.81,26.55
F278,Lagos,Meat,Domestic,5,88,837.14,0.002,0,0,0.267,1.88,2.08,5,5,5,4,62.5,4,4,2,4,75.38,13.79,12.28,23.95,23.81,20.45
F279,Lagos,Confectionery,Foreign,30,55,2212.48,0.949,4,1,0.773,9.18,1.14,5,4,6,3,66.67,4,4,4,4,100.0,12.57,11.46,76.86,48.34,23.55
F280,Lagos,Confectionery,Joint Venture,54,38,1801.51,0.704,3,0,0.515,5.44,1.39,3,3,4,4,41.67,4,3,4,4,78.82,10.79,10.62,64.21,37.41,18.44
F281,Lagos,Bakery,Domestic,62,68,408.14,0.001,0,0,0.315,1.77,1.06,3,3,2,4,33.33,3,3,3,3,62.03,6.87,7.79,19.26,11.41,17.31
F282,Lagos,Dairy,Joint Venture,29,37,1186.29,0.337,10,1,0.496,5.95,1.81,5,5,5,2,70.83,4,4,4,3,87.42,8.46,14.37,66.36,26.51,9.52
F283,Lagos,Dairy,Domestic,26,117,4606.64,0.003,0,1,0.364,4.74,1.48,4,3,4,4,45.83,3,3,3,3,92.23,13.58,7.87,37.82,9.81,27.34
F284,Lagos,Dairy,Foreign,63,36,641.39,0.743,8,1,0.603,9.02,1.51,5,4,5,2,66.67,4,4,4,4,86.7,19.82,12.02,74.26,40.92,12.55
F285,Lagos,Grains & Cereals,Joint Venture,55,159,6429.96,0.359,1,0,0.483,3.67,1.79,4,3,3,4,41.67,4,4,4,3,76.84,8.6,8.47,49.64,16.17,27.88
F286,Lagos,Beverages,Domestic,67,35,1170.96,0.006,0,0,0.342,1.88,1.3,3,3,4,6,33.33,3,3,2,4,65.41,7.34,4.51,32.33,11.46,17.92
F287,Lagos,Bakery,Foreign,73,57,2668.3,0.867,2,1,0.643,7.96,1.7,4,4,3,5,41.67,5,4,4,4,78.15,15.86,6.96,74.62,35.47,13.62
F288,Lagos,Beverages,Domestic,66,55,2702.99,0.004,0,0,0.29,2.28,1.71,3,3,4,5,37.5,3,3,2,3,86.52,10.24,9.13,21.28,4.13,18.99
F289,Lagos,Meat,Foreign,75,260,1795.45,0.883,0,1,0.79,8.57,1.16,4,4,5,3,58.33,4,4,4,4,91.68,16.45,8.02,75.64,39.82,27.16
F290,Lagos,Bakery,Foreign,34,117,2927.6,0.777,0,1,0.513,7.07,1.51,4,5,5,4,58.33,4,4,4,4,75.65,14.02,11.57,74.49,32.28,26.34
F291,Lagos,Confectionery,Domestic,32,76,2250.7,0.003,0,0,0.389,2.83,1.75,5,5,6,3,70.83,3,4,3,3,85.2,11.17,9.4,38.18,14.36,16.67
F292,Lagos,Bakery,Domestic,26,134,1554.86,0.009,0,1,0.352,4.55,1.79,5,4,5,4,58.33,3,4,3,3,87.0,11.81,10.11,51.39,14.62,18.16
F293,Lagos,Oils & Fats,Domestic,19,17,342.26,0.001,0,0,0.37,2.01,1.89,2,3,2,6,20.83,3,3,3,3,65.47,2.98,4.8,22.29,20.74,14.33
F294,Lagos,Bakery,Domestic,60,87,4301.64,0.001,0,0,0.265,1.99,1.54,3,4,4,4,45.83,3,3,3,3,70.25,7.7,4.67,35.71,14.97,19.37
F295,Lagos,Confectionery,Domestic,58,445,2550.01,0.003,0,0,0.312,1.6,1.24,2,2,1,6,12.5,3,3,2,3,71.14,11.84,6.1,12.64,12.91,24.11
