building_id,timestamp,total_consumption_kwh,heating_kwh,cooling_kwh,lighting_kwh,appliances_kwh,hvac_kwh,other_kwh
B_0050,2021-04-15,119.38,23.94,27.71,17.26,29.64,21.48,0.0
B_0051,2021-04-15,98.81,20.44,22.89,12.85,24.84,17.9,0.0
B_0052,2021-04-15,73.17,16.07,15.27,12.96,19.04,14.97,0.0
B_0053,2021-04-15,139.41,23.32,39.13,20.9,39.47,30.07,0.0
B_0054,2021-04-15,134.53,29.09,29.49,17.61,39.43,28.28,0.0
B_0055,2021-04-15,119.94,21.49,23.9,21.52,34.61,22.17,0.0
B_0056,2021-04-15,142.41,33.77,34.06,19.78,36.05,23.6,0.0
B_0057,2021-04-15,118.05,19.97,30.37,14.4,24.46,23.45,5.4
B_0058,2021-04-15,79.58,13.82,19.78,10.37,17.5,14.04,4.06
B_0059,2021-04-15,117.1,24.1,24.99,18.91,29.72,19.99,0.0
B_0060,2021-04-15,127.18,25.85,27.43,20.97,35.14,20.69,0.0
B_0061,2021-04-15,124.27,27.48,26.23,19.4,32.05,28.89,0.0
B_0062,2021-04-15,145.37,23.8,37.91,17.57,33.3,32.45,0.34
B_0063,2021-04-15,98.56,17.38,21.82,15.53,21.2,16.05,6.57
B_0064,2021-04-15,145.41,23.96,35.03,17.77,40.95,27.21,0.48
B_0065,2021-04-15,80.13,14.44,21.18,10.79,20.05,14.66,0.0
B_0066,2021-04-15,146.4,27.57,32.03,24.95,33.64,27.04,1.17
B_0067,2021-04-15,149.37,32.68,35.02,17.95,32.76,26.93,4.04
B_0068,2021-04-15,122.65,26.48,34.68,15.7,33.87,27.88,0.0
B_0069,2021-04-15,91.83,18.13,24.35,12.02,20.2,20.93,0.0
B_0070,2021-04-15,88.2,19.04,17.25,12.54,24.18,14.46,0.73
B_0071,2021-04-15,141.83,30.93,35.34,18.43,41.77,28.27,0.0
B_0072,2021-04-15,145.98,29.12,31.49,26.22,41.12,32.3,0.0
B_0073,2021-04-15,138.66,28.85,29.92,22.58,32.87,26.4,0.0
B_0074,2021-04-15,123.86,26.37,29.72,16.54,27.73,23.34,0.16
B_0075,2021-04-15,155.41,37.07,35.67,18.7,32.1,36.92,0.0
B_0076,2021-04-15,145.21,32.22,40.98,23.07,31.53,26.84,0.0
B_0077,2021-04-15,101.12,22.52,23.0,12.29,24.52,19.45,0.0
B_0078,2021-04-15,116.62,21.98,26.6,20.9,33.83,21.86,0.0
B_0079,2021-04-15,126.18,27.4,31.96,16.08,26.76,25.39,0.0
B_0080,2021-04-15,95.35,16.79,24.67,13.3,24.18,22.09,0.0
B_0081,2021-04-15,93.77,17.84,26.98,14.56,23.61,19.27,0.0
B_0082,2021-04-15,126.61,24.0,25.62,16.51,36.14,22.13,2.21
B_0083,2021-04-15,92.87,15.11,21.16,13.17,25.51,16.89,1.04
B_0084,2021-04-15,85.17,15.49,17.07,12.39,19.26,13.84,7.12
B_0085,2021-04-15,125.27,23.46,26.49,21.44,29.64,27.65,0.0
B_0086,2021-04-15,129.54,20.73,27.82,17.37,26.72,26.53,10.37
B_0087,2021-04-15,139.9,33.35,30.06,21.14,40.05,25.43,0.0
B_0088,2021-04-15,142.22,23.37,36.06,25.21,37.27,29.27,0.0
B_0089,2021-04-15,136.02,30.7,32.02,18.38,30.64,32.14,0.0
B_0090,2021-04-15,111.23,22.78,26.75,18.88,22.91,20.51,0.0
B_0091,2021-04-15,93.54,18.2,18.6,12.21,25.72,19.14,0.0
B_0092,2021-04-15,132.85,21.84,32.85,21.34,34.33,31.13,0.0
B_0093,2021-04-15,151.06,26.62,41.82,26.62,30.84,28.83,0.0
B_0094,2021-04-15,163.07,29.52,34.35,19.6,41.08,33.12,5.41
B_0095,2021-04-15,129.01,27.43,36.39,17.44,35.91,24.15,0.0
B_0096,2021-04-15,108.96,19.86,22.42,18.96,26.32,22.58,0.0
B_0097,2021-04-15,162.21,38.55,39.48,23.1,41.12,30.13,0.0
B_0098,2021-04-15,133.4,28.07,34.81,19.07,32.59,24.68,0.0
B_0099,2021-04-15,73.14,11.98,14.66,11.94,21.62,12.89,0.05
B_0100,2021-04-15,111.27,21.76,29.01,15.42,23.08,20.31,1.69
B_0001,2021-04-16,89.61,17.61,24.48,14.31,24.3,20.14,0.0
B_0002,2021-04-16,102.74,24.49,24.78,14.33,21.91,17.91,0.0
B_0003,2021-04-16,118.7,20.92,33.25,14.79,25.41,24.7,0.0
B_0004,2021-04-16,154.45,33.94,38.68,25.48,31.2,29.36,0.0
B_0005,2021-04-16,90.22,18.73,21.92,13.56,24.1,19.47,0.0
B_0006,2021-04-16,113.96,19.54,29.37,18.4,25.14,24.76,0.0
B_0007,2021-04-16,174.01,32.7,46.41,25.57,40.46,41.45,0.0
B_0008,2021-04-16,143.21,32.88,30.55,25.43,30.05,24.75,0.0
B_0009,2021-04-16,140.27,29.83,33.77,19.79,37.3,25.23,0.0
B_0010,2021-04-16,123.76,26.9,34.84,18.74,26.18,26.19,0.0
B_0011,2021-04-16,82.88,17.19,23.77,12.36,24.85,16.49,0.0
B_0012,2021-04-16,131.26,23.65,37.25,21.65,33.69,22.22,0.0
B_0013,2021-04-16,142.17,31.26,28.99,19.07,41.26,29.14,0.0
B_0014,2021-04-16,64.2,13.91,17.54,10.09,13.4,14.55,0.0
B_0015,2021-04-16,193.63,43.15,55.72,23.77,54.4,33.16,0.0
B_0016,2021-04-16,80.1,13.66,16.08,11.77,16.06,13.61,8.92
B_0017,2021-04-16,131.81,23.3,31.2,19.31,30.77,30.37,0.0
B_0018,2021-04-16,92.37,16.85,21.68,15.95,25.4,16.91,0.0
B_0019,2021-04-16,128.58,22.62,26.68,17.23,28.85,27.63,5.57
B_0020,2021-04-16,95.72,15.69,18.5,12.0,21.97,16.48,11.08
B_0021,2021-04-16,76.81,17.02,16.29,11.14,22.78,12.58,0.0
B_0022,2021-04-16,128.34,28.24,29.16,15.68,34.05,22.33,0.0
B_0023,2021-04-16,122.51,26.76,24.96,17.48,25.35,21.84,6.12
B_0024,2021-04-16,142.06,32.96,31.13,17.7,38.15,33.24,0.0
B_0025,2021-04-16,125.46,28.07,27.03,15.29,32.54,23.21,0.0
B_0026,2021-04-16,140.68,24.12,31.37,21.81,37.6,30.76,0.0
B_0027,2021-04-16,103.42,20.49,25.57,17.31,20.69,24.7,0.0
B_0028,2021-04-16,117.67,23.14,26.25,17.72,34.09,25.93,0.0
B_0029,2021-04-16,121.4,19.9,28.38,17.65,35.68,25.46,0.0
B_0030,2021-04-16,112.38,18.33,25.56,14.85,28.46,22.43,2.74
B_0031,2021-04-16,100.68,21.17,20.31,12.19,23.97,21.47,1.57
B_0032,2021-04-16,92.77,16.98,26.41,13.28,20.08,16.61,0.0
B_0033,2021-04-16,112.85,24.93,27.48,14.66,22.89,24.64,0.0
B_0034,2021-04-16,140.26,33.16,32.26,23.82,41.57,23.42,0.0
B_0035,2021-04-16,130.12,28.29,31.18,23.27,37.27,31.13,0.0
B_0036,2021-04-16,135.9,32.47,32.32,19.21,32.48,24.28,0.0
B_0037,2021-04-16,109.16,19.4,30.27,14.94,24.05,21.8,0.0
B_0038,2021-04-16,168.26,39.74,41.58,28.48,36.52,39.64,0.0
B_0039,2021-04-16,110.58,23.15,28.25,16.17,28.47,20.62,0.0
B_0040,2021-04-16,150.69,32.07,37.91,24.05,35.0,32.23,0.0
B_0041,2021-04-16,135.26,28.69,28.82,19.12,31.35,28.76,0.0
B_0042,2021-04-16,157.59,35.55,37.77,24.92,34.91,29.41,0.0
B_0043,2021-04-16,143.46,28.53,33.49,22.37,42.59,33.9,0.0
B_0044,2021-04-16,127.64,26.37,34.37,18.27,30.19,24.91,0.0
B_0045,2021-04-16,132.4,21.83,31.64,19.42,38.58,26.91,0.0
B_0046,2021-04-16,154.65,31.08,42.55,20.23,32.82,32.6,0.0
B_0047,2021-04-16,86.66,16.12,18.25,12.52,18.0,18.0,3.77
B_0048,2021-04-16,121.86,20.23,23.99,20.04,32.61,22.09,2.9
B_0049,2021-04-16,128.24,21.45,36.43,21.88,37.48,30.71,0.0
B_0050,2021-04-16,71.91,15.97,16.29,8.89,14.76,17.18,0.0
B_0051,2021-04-16,142.05,27.38,28.39,22.05,28.44,30.94,4.84
B_0052,2021-04-16,109.75,22.31,27.89,14.48,32.62,22.03,0.0
B_0053,2021-04-16,187.46,42.02,43.43,24.93,55.58,44.5,0.0
B_0054,2021-04-16,95.47,20.38,23.78,16.14,20.71,17.7,0.0
B_0055,2021-04-16,150.71,34.59,29.06,19.78,34.26,31.54,1.48
B_0056,2021-04-16,106.4,18.74,29.63,13.59,24.76,21.0,0.0
B_0057,2021-04-16,92.69,21.81,22.23,14.52,24.98,18.43,0.0
B_0058,2021-04-16,140.12,28.17,31.59,19.64,38.33,22.82,0.0
B_0059,2021-04-16,108.15,21.49,24.09,13.95,26.61,20.55,1.44
B_0060,2021-04-16,168.57,32.21,46.18,24.46,34.56,32.5,0.0
B_0061,2021-04-16,114.35,26.2,27.71,19.2,27.33,22.49,0.0
B_0062,2021-04-16,132.7,27.33,36.78,21.39,31.17,27.1,0.0
B_0063,2021-04-16,164.95,32.64,37.86,22.36,38.81,37.22,0.0
B_0064,2021-04-16,123.77,25.02,26.75,17.19,32.77,22.06,0.0
B_0065,2021-04-16,139.0,25.18,35.78,17.76,28.36,29.98,1.94
B_0066,2021-04-16,145.4,30.69,36.08,20.44,42.93,31.6,0.0
B_0067,2021-04-16,97.64,16.7,23.09,15.94,21.79,16.93,3.2
B_0068,2021-04-16,86.77,15.64,19.09,11.19,24.09,14.16,2.6
B_0069,2021-04-16,106.55,18.89,29.95,12.83,31.8,22.67,0.0
B_0070,2021-04-16,96.31,17.59,27.73,16.58,23.4,16.45,0.0
B_0071,2021-04-16,117.97,25.43,26.7,19.42,32.64,28.26,0.0
B_0072,2021-04-16,96.11,20.12,22.75,12.89,21.11,19.13,0.1
B_0073,2021-04-16,94.94,15.22,19.0,12.85,22.57,20.35,4.96
B_0074,2021-04-16,145.94,29.55,39.6,20.38,38.31,24.86,0.0
B_0075,2021-04-16,114.15,18.58,22.14,14.33,32.41,18.49,8.2
B_0076,2021-04-16,98.07,17.08,26.38,14.2,26.08,16.95,0.0
B_0077,2021-04-16,119.98,27.34,30.68,21.3,24.65,20.62,0.0
B_0078,2021-04-16,123.07,29.3,32.58,17.17,25.31,27.39,0.0
B_0079,2021-04-16,116.79,21.17,24.02,18.32,30.86,18.9,3.52
B_0080,2021-04-16,87.86,19.59,16.91,13.19,18.68,18.57,0.92
B_0081,2021-04-16,170.19,35.07,38.25,25.74,48.34,37.84,0.0
B_0082,2021-04-16,111.04,26.35,21.71,14.97,32.68,24.56,0.0
B_0083,2021-04-16,132.75,29.99,37.22,19.34,29.29,28.47,0.0
B_0084,2021-04-16,147.45,32.06,39.35,25.25,31.91,29.9,0.0
B_0085,2021-04-16,43.77,7.61,12.17,5.5,10.33,9.59,0.0
B_0086,2021-04-16,120.49,22.6,28.25,19.53,25.67,20.49,3.95
B_0087,2021-04-16,137.33,31.4,35.73,16.83,28.16,30.48,0.0
B_0088,2021-04-16,121.62,22.28,25.4,20.06,33.51,24.62,0.0
B_0089,2021-04-16,85.73,17.49,22.78,10.53,17.93,13.87,3.14
B_0090,2021-04-16,161.7,35.68,33.32,27.63,47.47,34.26,0.0
B_0091,2021-04-16,86.28,17.37,18.67,12.65,19.47,19.44,0.0
B_0092,2021-04-16,107.83,20.4,24.51,18.79,26.52,17.79,0.0
B_0093,2021-04-16,108.2,24.77,28.37,15.95,31.82,21.47,0.0
B_0094,2021-04-16,93.28,21.26,18.93,15.79,24.96,20.43,0.0
B_0095,2021-04-16,60.62,11.38,13.46,10.79,17.91,14.33,0.0
B_0096,2021-04-16,117.23,19.72,26.8,20.68,31.91,22.68,0.0
B_0097,2021-04-16,103.42,17.88,20.31,18.36,30.18,19.13,0.0
B_0098,2021-04-16,76.76,12.35,17.89,11.88,16.34,16.87,1.43
B_0099,2021-04-16,144.81,27.03,36.25,22.52,30.08,34.22,0.0
B_0100,2021-04-16,118.08,22.51,23.33,18.2,28.17,28.11,0.0
B_0001,2021-04-17,108.52,20.18,27.44,19.52,23.0,25.91,0.0
B_0002,2021-04-17,137.47,22.76,31.02,18.25,35.32,25.74,4.4
B_0003,2021-04-17,84.48,14.05,22.72,13.65,22.51,16.28,0.0
B_0004,2021-04-17,93.79,17.33,18.44,16.87,27.38,17.07,0.0
B_0005,2021-04-17,94.04,16.61,25.68,12.1,21.75,17.12,0.78
B_0006,2021-04-17,107.9,19.35,23.6,16.01,25.75,18.77,4.43
B_0007,2021-04-17,82.91,17.64,23.11,12.04,19.4,19.23,0.0
B_0008,2021-04-17,61.71,12.95,17.66,7.68,13.3,13.0,0.0
B_0009,2021-04-17,107.51,21.61,22.57,18.0,25.82,23.68,0.0
B_0010,2021-04-17,93.82,19.03,23.03,13.16,21.8,17.49,0.0
B_0011,2021-04-17,66.6,11.43,16.5,11.59,16.25,12.3,0.0
B_0012,2021-04-17,85.94,19.87,21.12,11.87,21.41,20.32,0.0
B_0013,2021-04-17,90.16,16.14,23.42,14.29,23.58,19.29,0.0
B_0014,2021-04-17,125.66,28.63,34.08,21.54,27.43,22.0,0.0
B_0015,2021-04-17,128.53,24.67,34.32,18.45,31.49,23.95,0.0
B_0016,2021-04-17,75.21,13.64,16.05,12.86,15.13,18.03,0.0
B_0017,2021-04-17,78.69,15.5,16.72,12.2,18.71,15.09,0.48
B_0018,2021-04-17,47.15,8.33,9.46,7.56,11.49,7.77,2.54
B_0019,2021-04-17,87.42,14.79,17.8,10.8,20.62,15.31,8.11
B_0020,2021-04-17,86.89,19.68,18.7,11.37,17.82,20.14,0.0
B_0021,2021-04-17,89.44,17.73,17.54,15.59,20.79,15.88,1.91
B_0022,2021-04-17,62.34,13.93,16.04,7.5,16.37,14.39,0.0
B_0023,2021-04-17,81.45,15.39,21.7,10.16,21.56,16.85,0.0
B_0024,2021-04-17,128.16,20.55,25.62,22.4,32.22,22.12,5.25
B_0025,2021-04-17,60.0,13.23,14.07,8.8,17.89,14.22,0.0
B_0026,2021-04-17,166.42,37.79,41.55,20.87,47.73,35.89,0.0
B_0027,2021-04-17,110.33,19.29,25.65,18.11,26.77,26.12,0.0
B_0028,2021-04-17,88.9,18.04,22.97,14.98,19.51,15.95,0.0
B_0029,2021-04-17,96.26,19.64,21.44,14.04,24.51,16.18,0.46
B_0030,2021-04-17,94.11,17.64,18.46,15.64,25.28,22.31,0.0
B_0031,2021-04-17,124.67,21.32,31.74,19.78,24.94,20.18,6.72
B_0032,2021-04-17,86.35,16.87,19.1,14.35,21.09,15.43,0.0
B_0033,2021-04-17,64.2,15.21,14.54,9.74,15.39,11.06,0.0
B_0034,2021-04-17,98.93,18.31,28.37,13.9,26.54,18.17,0.0
B_0035,2021-04-17,94.42,22.22,26.42,15.23,23.14,19.62,0.0
B_0036,2021-04-17,78.22,15.71,21.71,10.24,17.13,18.57,0.0
B_0037,2021-04-17,102.4,22.16,27.01,16.75,21.27,18.62,0.0
B_0038,2021-04-17,103.17,23.64,26.11,15.08,25.73,23.26,0.0
B_0039,2021-04-17,74.8,15.62,18.13,13.33,19.54,14.77,0.0
B_0040,2021-04-17,94.56,16.95,24.63,14.3,27.72,20.04,0.0
B_0041,2021-04-17,60.3,13.57,13.28,7.81,15.73,13.74,0.0
B_0042,2021-04-17,83.59,19.9,22.01,12.41,17.82,13.83,0.0
B_0043,2021-04-17,111.24,24.94,28.68,15.37,22.82,18.53,0.9
B_0044,2021-04-17,73.22,12.71,18.29,12.75,19.95,12.8,0.0
B_0045,2021-04-17,81.89,14.23,15.87,9.84,22.65,14.52,4.78
B_0046,2021-04-17,125.06,20.9,29.67,17.24,25.14,27.74,4.37
B_0047,2021-04-17,96.08,21.87,19.02,14.12,21.8,15.87,3.41
B_0048,2021-04-17,110.37,20.92,22.28,16.68,29.08,19.41,2.0
B_0049,2021-04-17,108.77,23.04,24.65,19.23,29.42,17.95,0.0
B_0050,2021-04-17,101.69,22.39,26.52,13.03,24.02,22.18,0.0
B_0051,2021-04-17,49.96,10.77,10.02,7.24,11.24,11.3,0.0
B_0052,2021-04-17,76.33,12.48,18.5,11.64,20.87,12.33,0.52
B_0053,2021-04-17,90.54,15.87,23.02,12.99,26.4,17.87,0.0
B_0054,2021-04-17,88.22,17.5,18.49,14.75,19.61,19.3,0.0
B_0055,2021-04-17,94.64,20.58,20.97,13.69,26.96,20.6,0.0
B_0056,2021-04-17,90.61,15.61,20.75,14.44,19.33,17.45,3.03
B_0057,2021-04-17,94.45,16.68,24.07,12.58,24.67,21.42,0.0
B_0058,2021-04-17,86.76,15.49,17.1,11.56,18.98,15.29,8.33
B_0059,2021-04-17,103.09,18.17,27.64,17.32,28.58,23.06,0.0
B_0060,2021-04-17,130.58,30.24,30.06,17.19,37.86,21.25,0.0
B_0061,2021-04-17,92.79,15.12,26.44,12.33,23.18,20.17,0.0
B_0062,2021-04-17,85.28,18.19,22.89,14.56,25.35,17.58,0.0
B_0063,2021-04-17,109.44,19.49,23.08,18.64,30.69,20.44,0.0
B_0064,2021-04-17,104.04,22.62,21.87,16.96,25.07,18.35,0.0
B_0065,2021-04-17,130.27,27.5,29.44,15.73,38.28,29.2,0.0
B_0066,2021-04-17,95.51,21.12,22.06,16.71,28.35,20.15,0.0
B_0067,2021-04-17,113.59,21.63,32.0,17.46,27.83,24.12,0.0
B_0068,2021-04-17,131.13,31.35,28.12,20.88,30.42,30.63,0.0
B_0069,2021-04-17,73.92,14.9,15.51,11.68,16.05,11.91,3.88
B_0070,2021-04-17,74.57,16.33,20.79,11.17,17.35,12.69,0.0
B_0071,2021-04-17,108.28,23.49,25.46,14.15,24.94,21.6,0.0
B_0072,2021-04-17,88.91,15.21,21.69,11.53,26.65,17.87,0.0
B_0073,2021-04-17,103.45,21.31,23.12,17.35,24.88,18.31,0.0
B_0074,2021-04-17,74.13,14.12,19.79,10.76,20.44,16.15,0.0
B_0075,2021-04-17,70.55,14.73,15.61,12.57,18.97,13.23,0.0
B_0076,2021-04-17,106.53,23.67,25.69,14.39,26.94,21.08,0.0
B_0077,2021-04-17,108.15,18.92,28.21,13.98,23.71,25.73,0.0
B_0078,2021-04-17,88.66,20.65,17.61,11.4,21.93,20.76,0.0
B_0079,2021-04-17,88.1,15.8,17.69,11.5,24.23,14.1,4.78
B_0080,2021-04-17,94.55,21.07,19.7,14.22,23.45,15.53,0.58
B_0081,2021-04-17,136.29,28.43,33.93,21.53,29.54,24.4,0.0
B_0082,2021-04-17,98.85,18.2,27.57,17.04,26.49,23.57,0.0
B_0083,2021-04-17,116.3,19.29,30.12,19.1,30.32,20.94,0.0
B_0084,2021-04-17,108.72,20.34,23.05,14.92,31.16,21.27,0.0
B_0085,2021-04-17,92.66,18.69,22.31,11.26,19.93,17.56,2.91
B_0086,2021-04-17,100.01,16.38,19.73,14.64,28.95,21.59,0.0
B_0087,2021-04-17,74.1,14.56,17.96,12.0,18.88,14.42,0.0
B_0088,2021-04-17,84.35,14.86,19.87,14.79,21.52,18.98,0.0
B_0089,2021-04-17,74.36,13.58,19.12,12.31,16.73,14.32,0.0
B_0090,2021-04-17,100.26,20.4,28.44,17.76,21.27,19.22,0.0
B_0091,2021-04-17,90.24,20.47,19.34,13.43,24.19,20.59,0.0
B_0092,2021-04-17,67.44,15.56,14.99,10.91,17.74,11.77,0.0
B_0093,2021-04-17,96.15,16.27,24.2,12.86,27.96,22.79,0.0
B_0094,2021-04-17,136.88,32.63,36.97,22.65,37.0,23.87,0.0
B_0095,2021-04-17,75.17,16.04,20.48,11.49,15.08,14.04,0.0
B_0096,2021-04-17,79.41,13.09,19.23,11.19,18.67,14.66,2.57
B_0097,2021-04-17,88.71,19.11,19.83,14.95,22.84,18.64,0.0
B_0098,2021-04-17,148.98,32.5,28.85,25.24,37.33,34.88,0.0
B_0099,2021-04-17,99.52,19.2,24.64,14.38,24.26,16.8,0.24
B_0100,2021-04-17,96.19,21.43,22.93,13.38,22.65,21.42,0.0
B_0001,2021-04-18,97.44,22.16,25.42,14.39,26.44,18.66,0.0
B_0002,2021-04-18,134.9,31.57,33.46,21.4,39.91,30.64,0.0
B_0003,2021-04-18,96.06,20.81,23.01,11.75,23.21,15.88,1.4
B_0004,2021-04-18,86.62,17.47,18.0,11.07,17.5,19.88,2.71
B_0005,2021-04-18,103.43,20.4,23.95,17.53,28.77,19.67,0.0
B_0006,2021-04-18,107.06,23.5,30.43,18.15,25.46,17.15,0.0
B_0007,2021-04-18,89.91,17.97,21.87,11.61,25.74,19.95,0.0
B_0008,2021-04-18,106.82,24.72,21.46,16.05,22.95,19.63,2.0
B_0009,2021-04-18,111.45,22.33,31.42,18.37,32.98,19.15,0.0
B_0010,2021-04-18,114.81,23.59,27.55,18.27,33.49,22.45,0.0
B_0011,2021-04-18,115.92,21.34,29.86,14.49,23.22,19.34,7.67
B_0012,2021-04-18,71.63,17.05,19.62,11.33,15.03,16.3,0.0
B_0013,2021-04-18,132.86,29.36,26.88,22.73,28.84,29.04,0.0
B_0014,2021-04-18,97.44,20.63,24.29,15.22,28.32,17.02,0.0
B_0015,2021-04-18,97.0,20.11,23.01,15.08,20.84,20.27,0.0
B_0016,2021-04-18,112.93,19.17,24.21,18.69,26.32,20.52,4.02
B_0017,2021-04-18,135.68,30.95,37.17,18.54,34.06,21.9,0.0
B_0018,2021-04-18,132.41,21.73,32.53,23.01,26.59,24.22,4.34
B_0019,2021-04-18,92.65,15.95,25.46,16.52,27.63,21.32,0.0
B_0020,2021-04-18,121.73,28.0,32.7,20.11,29.17,19.9,0.0
B_0021,2021-04-18,66.03,15.78,17.79,7.99,16.85,11.34,0.0
B_0022,2021-04-18,77.82,15.29,21.69,13.13,21.11,13.61,0.0
B_0023,2021-04-18,107.35,23.05,21.68,12.93,31.2,18.43,0.05
B_0024,2021-04-18,88.75,17.96,24.01,11.24,23.46,14.99,0.0
B_0025,2021-04-18,82.83,13.45,19.4,10.27,19.67,15.32,4.71
B_0026,2021-04-18,115.55,24.63,33.05,14.6,34.37,23.14,0.0
B_0027,2021-04-18,86.1,18.07,19.08,12.37,22.24,15.97,0.0
B_0028,2021-04-18,49.8,8.07,12.13,8.06,13.03,8.65,0.0
B_0029,2021-04-18,108.81,19.56,28.89,14.64,27.79,17.53,0.39
B_0030,2021-04-18,119.83,22.5,30.92,16.18,25.84,21.72,2.67
B_0031,2021-04-18,59.19,13.55,14.94,10.62,13.05,13.24,0.0
B_0032,2021-04-18,108.24,24.38,24.34,13.43,23.44,24.37,0.0
B_0033,2021-04-18,63.27,13.86,17.51,7.8,14.08,11.72,0.0
B_0034,2021-04-18,87.53,14.13,17.65,14.86,24.22,17.68,0.0
B_0035,2021-04-18,73.91,14.74,16.02,12.09,17.32,12.43,1.31
B_0036,2021-04-18,109.08,22.97,22.17,17.99,30.77,18.58,0.0
B_0037,2021-04-18,104.78,19.54,27.1,13.29,30.36,19.01,0.0
B_0038,2021-04-18,72.5,14.77,18.37,10.8,19.62,17.29,0.0
B_0039,2021-04-18,112.44,22.51,24.12,17.24,25.39,18.66,4.52
B_0040,2021-04-18,93.42,17.16,26.44,13.66,21.79,17.99,0.0
B_0041,2021-04-18,83.63,19.38,19.88,11.06,21.93,18.02,0.0
B_0042,2021-04-18,92.4,21.74,23.02,14.98,21.98,20.11,0.0
B_0043,2021-04-18,127.93,28.06,28.97,17.73,29.35,24.97,0.0
B_0044,2021-04-18,132.52,30.16,36.31,22.09,30.86,24.77,0.0
B_0045,2021-04-18,122.88,23.41,33.55,15.55,31.23,26.73,0.0
B_0046,2021-04-18,137.15,32.39,32.98,20.21,33.73,29.24,0.0
B_0047,2021-04-18,108.81,25.64,31.05,15.95,23.05,24.92,0.0
B_0048,2021-04-18,93.41,20.0,19.99,13.83,20.4,16.78,2.4
B_0049,2021-04-18,113.73,24.71,29.59,15.38,24.16,23.98,0.0
B_0050,2021-04-18,101.43,19.97,20.15,17.73,27.72,23.93,0.0
B_0051,2021-04-18,48.67,11.39,10.63,7.64,13.59,9.33,0.0
B_0052,2021-04-18,142.62,33.78,30.17,22.42,36.7,23.32,0.0
B_0053,2021-04-18,108.02,18.06,26.76,16.04,24.67,18.41,4.08
B_0054,2021-04-18,81.15,15.54,21.97,14.08,22.25,13.99,0.0
B_0055,2021-04-18,53.29,10.08,12.68,6.82,15.34,8.99,0.0
B_0056,2021-04-18,100.16,17.15,26.73,15.89,24.43,21.19,0.0
B_0057,2021-04-18,100.31,16.25,20.95,17.1,24.77,17.06,4.18
B_0058,2021-04-18,105.11,19.66,24.29,14.59,29.38,19.48,0.0
B_0059,2021-04-18,71.15,14.45,14.72,9.78,17.91,14.57,0.0
B_0060,2021-04-18,70.15,11.73,16.06,8.72,14.57,13.24,5.84
B_0061,2021-04-18,127.9,22.0,32.63,22.84,26.87,26.41,0.0
B_0062,2021-04-18,102.57,17.99,22.58,16.67,26.88,22.79,0.0
B_0063,2021-04-18,138.7,27.09,31.2,22.29,41.06,32.69,0.0
B_0064,2021-04-18,134.29,24.46,35.87,19.99,27.04,25.0,1.92
B_0065,2021-04-18,106.81,23.34,25.48,12.96,21.73,17.75,5.56
B_0066,2021-04-18,87.51,17.17,21.68,11.13,20.44,20.34,0.0
B_0067,2021-04-18,147.36,26.69,40.22,22.08,38.39,30.17,0.0
B_0068,2021-04-18,90.86,18.58,22.04,15.97,19.75,16.21,0.0
B_0069,2021-04-18,66.8,11.78,13.03,8.76,14.26,14.8,4.17
B_0070,2021-04-18,113.05,23.95,28.24,17.06,31.32,24.21,0.0
B_0071,2021-04-18,98.04,19.7,24.7,14.21,25.75,16.53,0.0
B_0072,2021-04-18,108.96,24.68,24.34,18.8,28.51,24.16,0.0
B_0073,2021-04-18,124.03,25.9,27.56,21.9,30.71,28.52,0.0
B_0074,2021-04-18,74.16,16.7,14.68,9.38,16.6,12.83,3.97
B_0075,2021-04-18,114.93,21.53,32.14,20.42,27.34,23.06,0.0
B_0076,2021-04-18,94.31,21.5,25.41,11.35,18.95,21.5,0.0
B_0077,2021-04-18,109.43,24.62,30.17,18.5,23.95,18.99,0.0
B_0078,2021-04-18,105.26,24.12,24.97,13.9,24.68,19.08,0.0
B_0079,2021-04-18,59.98,10.9,12.89,7.77,15.2,14.04,0.0
B_0080,2021-04-18,59.58,13.91,14.61,9.17,15.37,13.31,0.0
B_0081,2021-04-18,134.69,23.5,35.05,17.28,37.23,25.89,0.0
B_0082,2021-04-18,106.5,21.18,30.41,17.99,27.22,18.82,0.0
B_0083,2021-04-18,116.92,22.06,30.7,21.03,34.46,24.86,0.0
B_0084,2021-04-18,59.42,14.06,14.31,8.64,12.94,13.45,0.0
B_0085,2021-04-18,53.42,11.91,12.77,7.39,15.43,9.35,0.0
B_0086,2021-04-18,110.51,21.61,29.9,14.43,33.11,24.73,0.0
B_0087,2021-04-18,91.83,15.76,25.42,13.78,20.88,21.67,0.0
B_0088,2021-04-18,116.86,27.83,28.17,18.03,25.51,20.35,0.0
B_0089,2021-04-18,97.12,16.34,27.68,12.19,27.95,17.37,0.0
B_0090,2021-04-18,113.93,26.48,25.71,17.08,29.46,21.45,0.0
B_0091,2021-04-18,78.43,15.79,22.31,11.03,21.4,13.77,0.0
B_0092,2021-04-18,85.5,15.48,21.72,11.52,25.62,14.93,0.0
B_0093,2021-04-18,88.97,20.32,22.93,11.59,18.48,20.6,0.0
B_0094,2021-04-18,106.11,19.85,30.23,14.27,21.73,25.0,0.0
B_0095,2021-04-18,107.61,22.67,22.75,19.33,24.26,22.79,0.0
B_0096,2021-04-18,71.62,15.24,14.3,12.11,19.03,12.12,0.0
B_0097,2021-04-18,150.7,32.55,38.24,23.9,35.69,26.31,0.0
