building_id,year,month,total_energy_kwh,heating_energy_kwh,cooling_energy_kwh,lighting_energy_kwh,appliances_energy_kwh,energy_intensity_kwhm2
B_0016,2022,4,3527.1,1701.9,713.9,385.2,1359.0,1.98
B_0016,2022,5,4423.9,1425.8,459.8,827.8,1634.9,4.99
B_0016,2022,6,2225.5,734.8,413.0,273.4,651.4,1.14
B_0016,2022,7,3672.9,1534.3,1022.3,501.6,1145.2,2.66
B_0016,2022,8,7980.1,4326.2,1867.6,1475.4,2002.8,6.9
B_0016,2022,9,2921.3,1250.6,599.8,319.5,683.9,3.96
B_0016,2022,10,5089.8,2383.9,888.1,775.3,1174.5,4.75
B_0016,2022,11,5144.8,2020.3,1284.4,630.4,1295.3,3.46
B_0016,2022,12,8537.1,3991.6,2428.5,1526.0,3381.9,15.88
B_0017,2018,1,9859.1,5195.1,1241.4,1243.5,3776.4,5.62
B_0017,2018,2,3089.4,1546.2,406.2,453.0,1133.9,2.22
B_0017,2018,3,2216.9,1318.0,410.4,299.1,877.0,2.48
B_0017,2018,4,2557.5,981.0,456.3,285.2,679.9,3.13
B_0017,2018,5,2463.8,787.7,490.3,313.9,584.4,1.82
B_0017,2018,6,7535.6,2270.7,1357.8,1310.6,2550.7,4.08
B_0017,2018,7,7883.7,3853.6,1636.3,804.1,1838.0,7.14
B_0017,2018,8,3191.3,1406.2,727.4,621.5,804.1,2.64
B_0017,2018,9,2265.7,1150.1,655.8,302.3,802.5,1.89
B_0017,2018,10,4667.2,2484.2,1060.0,757.9,1428.2,4.59
B_0017,2018,11,2722.5,938.1,718.5,275.7,703.5,1.79
B_0017,2018,12,6371.5,2723.2,1385.7,783.0,1794.2,5.68
B_0017,2019,1,11355.7,4180.0,2011.4,2229.5,2753.2,6.5
B_0017,2019,2,4239.5,1871.7,715.2,447.8,901.3,4.93
B_0017,2019,3,5973.4,3360.8,1449.8,888.3,1974.3,5.51
B_0017,2019,4,5230.9,2562.5,1203.1,744.5,1846.1,8.19
B_0017,2019,5,2235.6,1073.2,435.5,413.6,675.4,3.24
B_0017,2019,6,3331.7,1029.1,414.1,523.7,986.3,2.19
B_0017,2019,7,7318.1,2475.3,2176.3,1265.3,2089.8,7.24
B_0017,2019,8,7441.0,2835.2,1209.2,1270.1,1805.6,5.14
B_0017,2019,9,2880.2,1639.8,485.6,382.8,613.9,2.51
B_0017,2019,10,5074.2,3015.2,887.4,963.5,1708.3,3.57
B_0017,2019,11,4371.4,2439.9,1198.5,726.6,963.5,3.1
B_0017,2019,12,5568.7,2996.4,839.4,1105.5,1554.3,4.89
B_0017,2020,1,8878.8,4219.7,1202.4,940.1,2841.5,6.56
B_0017,2020,2,11228.1,3647.1,2918.6,2142.3,2489.0,7.74
B_0017,2020,3,3908.2,2258.8,433.3,690.0,1293.8,4.19
B_0017,2020,4,5261.9,2504.3,1363.7,973.2,1717.2,9.0
B_0017,2020,5,6669.3,2182.5,1545.9,756.9,2454.4,7.4
B_0017,2020,6,6769.1,3522.1,1479.1,1098.9,2446.4,5.82
B_0017,2020,7,8138.7,3619.6,2157.8,1069.3,2345.1,4.48
B_0017,2020,8,7069.7,2942.1,1416.0,831.1,2799.1,3.69
B_0017,2020,9,7504.5,3176.3,2017.1,1200.8,1765.1,5.28
B_0017,2020,10,6270.0,2747.4,1798.1,782.3,1469.2,4.37
B_0017,2020,11,3075.3,1115.3,597.9,341.7,733.9,2.8
B_0017,2020,12,8153.4,2742.2,1233.8,1371.9,1686.8,9.61
B_0017,2021,1,3735.0,2146.0,924.7,581.1,1232.0,5.33
B_0017,2021,2,6501.0,3855.0,1821.7,1115.2,1444.8,3.58
B_0017,2021,3,2110.1,719.1,444.9,406.6,819.2,1.35
B_0017,2021,4,6375.0,2565.3,1598.0,940.8,2157.4,11.92
B_0017,2021,5,2238.6,1154.5,383.3,383.1,833.0,1.89
B_0017,2021,6,9748.6,3954.8,1368.4,1536.7,2268.7,6.54
B_0017,2021,7,2443.1,1391.9,410.0,452.1,585.6,1.33
B_0017,2021,8,6014.4,1915.5,750.5,1090.2,1595.7,5.16
B_0017,2021,9,6547.8,1997.5,1573.5,1264.6,1661.0,8.03
B_0017,2021,10,5952.8,3081.0,1016.2,1072.2,1638.2,5.7
B_0017,2021,11,3998.1,2208.9,707.0,452.9,1242.7,4.2
B_0017,2021,12,5777.2,3336.9,1355.6,1032.9,1308.9,5.35
B_0017,2022,1,8231.6,3332.2,1066.1,1098.6,3159.1,4.16
B_0017,2022,2,2294.7,966.3,600.7,324.5,721.8,3.48
B_0017,2022,3,2869.6,1556.6,443.5,393.8,1068.3,1.66
B_0017,2022,4,5414.4,2996.9,1337.2,1032.7,1983.4,8.82
B_0017,2022,5,8424.1,3587.4,1791.1,990.9,3024.1,9.85
B_0017,2022,6,2757.8,856.5,737.6,493.3,767.4,3.57
B_0017,2022,7,7519.7,2363.9,1868.9,867.0,2065.4,8.77
B_0017,2022,8,9570.8,4819.9,1164.9,1507.9,2320.0,10.46
B_0017,2022,9,6362.5,3222.7,1788.9,1138.7,1677.6,10.64
B_0017,2022,10,6070.4,2930.8,1728.9,1136.1,1839.7,3.74
B_0017,2022,11,5103.8,1752.1,1033.6,572.7,1151.2,2.99
B_0017,2022,12,9434.5,3429.1,1192.6,1182.3,3282.6,4.97
B_0018,2018,1,6053.3,2748.2,919.0,1093.8,1615.8,4.81
B_0018,2018,2,4629.3,2069.3,1374.9,466.1,1141.3,8.82
B_0018,2018,3,6812.1,2697.5,1043.1,1194.6,1604.7,3.5
B_0018,2018,4,5218.2,2092.8,1227.6,735.6,1067.2,3.12
B_0018,2018,5,5268.9,3079.5,1375.0,895.5,1471.8,9.55
B_0018,2018,6,3576.9,1590.9,538.9,546.8,772.7,3.36
B_0018,2018,7,5083.7,2064.2,962.3,723.1,1153.6,2.62
B_0018,2018,8,4329.4,1546.6,731.1,589.2,943.8,5.32
B_0018,2018,9,3811.5,2236.9,908.2,649.6,783.5,5.94
B_0018,2018,10,3481.7,1048.2,905.1,556.1,873.3,6.49
B_0018,2018,11,7215.2,3988.7,1278.3,1209.3,2457.2,4.67
B_0018,2018,12,10549.9,3259.6,1324.3,1483.6,4126.6,17.1
B_0018,2019,1,6712.7,2900.6,1308.1,1299.3,1699.4,4.01
B_0018,2019,2,7947.7,3017.2,2223.9,1110.5,2954.7,7.6
B_0018,2019,3,4696.9,2638.1,597.9,906.3,1197.1,2.42
B_0018,2019,4,8620.4,2960.6,2517.9,1254.3,1813.9,11.85
B_0018,2019,5,5924.1,2938.1,939.7,777.6,1189.8,4.07
B_0018,2019,6,6571.7,3251.6,1455.8,1268.9,1744.3,10.17
B_0018,2019,7,7997.2,3948.2,1519.4,1463.3,3109.0,4.08
B_0018,2019,8,6278.1,1942.2,1778.2,1053.7,2198.1,3.47
B_0018,2019,9,4177.2,1751.0,1159.4,753.1,1037.1,2.46
B_0018,2019,10,6682.3,3362.4,1930.7,792.6,1927.6,6.19
B_0018,2019,11,3418.1,1278.9,920.8,360.3,695.7,3.49
B_0018,2019,12,3106.8,1088.3,436.0,565.4,1070.3,3.78
B_0018,2020,1,6599.9,2558.4,1329.7,1143.3,1811.9,4.85
B_0018,2020,2,7684.0,3742.3,1550.9,932.2,2473.2,7.48
B_0018,2020,3,6336.8,2960.3,1419.8,945.6,2206.6,5.52
B_0018,2020,4,3072.9,1518.4,664.5,392.6,1138.2,1.72
B_0018,2020,5,8113.8,4722.1,1441.3,1476.6,1664.2,7.14
B_0018,2020,6,8271.6,3380.2,963.7,1565.9,2311.0,6.67
B_0018,2020,7,11123.0,3921.9,2824.5,2181.0,2911.9,11.45
B_0018,2020,8,9080.7,2951.8,1364.2,1423.2,2905.2,4.86
B_0018,2020,9,6823.7,2227.1,1507.8,825.5,2111.0,4.68
B_0018,2020,10,5985.3,1859.6,896.0,640.1,2005.4,3.65
B_0018,2020,11,2161.7,852.4,399.7,253.4,621.1,1.32
B_0018,2020,12,7575.5,3653.8,1127.8,1446.6,2470.3,9.59
B_0018,2021,1,5267.1,2973.8,666.6,1007.8,1620.0,4.53
B_0018,2021,2,6643.3,3985.0,1933.2,819.7,2236.5,4.6
B_0018,2021,3,6280.3,2908.5,656.5,644.7,1622.5,5.03
B_0018,2021,4,4039.7,1616.8,1150.6,491.6,1528.5,2.12
B_0018,2021,5,5561.6,1777.9,798.5,599.1,1115.7,9.87
B_0018,2021,6,4167.5,1474.5,1131.2,783.7,1494.1,2.63
B_0018,2021,7,4851.3,1885.0,1370.4,786.0,1770.7,2.94
B_0018,2021,8,5975.4,2733.0,710.8,612.7,2031.9,4.4
B_0018,2021,9,5111.2,1606.4,1349.8,711.0,1390.8,4.06
B_0018,2021,10,1804.7,754.3,216.6,274.1,458.5,2.8
B_0018,2021,11,1771.8,823.2,347.5,216.8,578.7,1.4
B_0018,2021,12,9542.8,2973.3,2251.0,1333.8,2157.7,12.9
B_0018,2022,1,12095.4,5644.9,1804.0,2160.1,2691.7,11.94
B_0018,2022,2,8034.3,3276.2,1025.9,1469.0,1860.4,4.84
B_0018,2022,3,9374.0,3302.9,2465.0,1574.3,3657.1,15.6
B_0018,2022,4,6332.1,2255.2,1632.3,829.0,1279.7,3.49
B_0018,2022,5,4780.8,2523.4,1128.8,693.8,963.4,2.99
B_0018,2022,6,6689.4,2593.4,949.5,856.6,1741.2,3.69
B_0018,2022,7,2995.5,1244.4,630.5,325.3,632.0,2.1
B_0018,2022,8,7396.0,4212.1,1916.2,906.6,2223.3,4.37
B_0018,2022,9,4337.0,2562.4,615.5,781.1,887.0,3.53
B_0018,2022,10,5434.3,2311.0,981.1,1069.1,1917.1,3.07
B_0018,2022,11,5333.2,3048.2,964.1,702.6,1974.2,3.46
B_0018,2022,12,10899.5,6383.7,2457.7,1948.2,3684.9,5.63
B_0019,2018,1,5248.5,2130.7,1542.6,1022.0,1517.4,7.99
B_0019,2018,2,8082.1,4169.0,1242.4,1266.2,1775.1,5.91
B_0019,2018,3,3248.3,1179.6,472.6,449.1,695.1,1.7
B_0019,2018,4,6113.7,2784.4,1653.1,915.0,2293.8,5.54
B_0019,2018,5,2493.5,1182.8,712.9,274.0,616.0,2.02
B_0019,2018,6,5715.0,2514.5,819.1,827.1,1294.1,3.05
B_0019,2018,7,5590.4,3121.3,1355.2,561.9,1417.1,10.08
B_0019,2018,8,10434.6,3433.4,2765.3,1256.6,2101.8,6.35
B_0019,2018,9,7986.7,2490.0,1946.0,1305.9,2491.5,4.0
B_0019,2018,10,7432.7,3453.6,1353.2,748.9,2081.6,4.79
B_0019,2018,11,4218.5,1306.9,851.2,574.9,1164.9,3.49
B_0019,2018,12,5097.4,1977.6,986.7,692.4,1297.6,8.59
B_0019,2019,1,4188.8,1760.5,529.0,669.0,1139.6,2.99
B_0019,2019,2,4762.4,1731.7,912.2,592.0,1834.9,4.19
B_0019,2019,3,4643.5,2006.4,592.9,854.8,1828.6,2.46
B_0019,2019,4,2443.7,917.0,711.9,285.2,645.3,1.82
B_0019,2019,5,4475.0,2517.4,1060.2,572.6,1371.1,5.35
B_0019,2019,6,8161.5,2928.7,1071.1,1332.7,2891.2,7.13
B_0019,2019,7,8903.7,4409.9,2535.7,1539.4,2469.7,13.77
B_0019,2019,8,8849.5,3576.6,1355.0,1583.3,2079.3,16.09
B_0019,2019,9,4619.9,2295.3,645.4,492.3,1314.8,4.04
B_0019,2019,10,2474.4,1205.3,469.6,322.8,703.8,1.36
B_0019,2019,11,3463.7,1913.4,706.2,494.1,1320.3,6.77
B_0019,2019,12,4111.4,1239.3,575.2,678.8,1335.1,5.08
B_0019,2020,1,7818.2,3350.7,1113.8,1001.4,2626.5,10.95
B_0019,2020,2,3918.9,2188.7,905.4,757.5,1482.6,3.59
B_0019,2020,3,3938.4,2243.9,722.0,435.0,981.8,4.32
B_0019,2020,4,7470.6,3187.9,1837.1,903.0,2034.5,4.79
B_0019,2020,5,5935.0,1999.1,1553.4,701.0,2145.0,3.17
B_0019,2020,6,5351.2,2325.1,603.9,843.0,1392.2,6.66
B_0019,2020,7,2719.3,1536.2,521.4,473.1,1051.0,2.43
B_0019,2020,8,6470.2,3186.5,1433.8,877.3,2405.1,4.2
B_0019,2020,9,3354.8,1289.4,601.0,335.6,1029.5,1.74
B_0019,2020,10,2611.6,1098.6,544.6,369.3,941.1,2.97
B_0019,2020,11,7475.6,4457.0,1376.5,982.4,2676.3,13.55
B_0019,2020,12,6716.0,2218.2,725.6,821.0,2035.0,4.08
B_0019,2021,1,7612.5,2796.4,1400.7,1493.8,1935.9,8.56
B_0019,2021,2,4880.0,2343.0,518.5,585.4,1431.3,7.13
B_0019,2021,3,6060.0,2246.4,759.7,612.1,2037.4,3.67
B_0019,2021,4,5241.8,2356.3,629.7,774.2,2075.0,2.69
B_0019,2021,5,6424.6,3737.9,986.1,985.5,2463.1,6.77
B_0019,2021,6,5688.5,2987.9,949.8,642.6,2063.5,3.03
B_0019,2021,7,9984.8,3122.5,1666.1,1584.2,2356.5,12.87
B_0019,2021,8,2244.9,990.6,624.9,414.9,506.2,1.3
B_0019,2021,9,4321.7,2586.6,607.7,605.5,1398.1,2.9
B_0019,2021,10,3543.0,1115.2,409.9,556.8,788.1,1.98
B_0019,2021,11,3356.9,1523.6,889.4,599.6,1094.8,3.81
B_0019,2021,12,9196.3,5093.9,1822.7,1461.0,2690.0,6.84
B_0019,2022,1,3844.7,1480.2,669.4,480.9,967.4,6.58
B_0019,2022,2,12022.5,5706.8,2892.3,1912.1,2781.3,12.36
B_0019,2022,3,3584.9,1183.2,1055.3,364.7,885.8,2.43
B_0019,2022,4,7244.0,2421.9,1668.8,770.9,2437.3,3.64
B_0019,2022,5,3775.9,1314.7,628.0,404.1,1440.9,3.83
B_0019,2022,6,8189.0,4399.0,1265.6,952.7,3162.1,4.95
B_0019,2022,7,3702.0,2176.8,776.2,679.6,1397.3,4.17
B_0019,2022,8,7100.4,3955.4,1116.9,752.6,1975.6,10.72
B_0019,2022,9,5537.9,3217.2,702.8,973.6,1846.7,4.77
B_0019,2022,10,4677.0,1774.8,1330.6,620.9,1837.1,8.98
B_0019,2022,11,6618.4,3092.6,1715.1,1092.4,1719.0,7.64
B_0019,2022,12,8082.7,3887.0,1871.6,996.1,1940.1,7.25
B_0020,2018,1,9553.0,3906.1,1214.0,1586.1,2844.5,6.97
B_0020,2018,2,3608.2,1754.3,815.1,670.5,970.3,2.62
B_0020,2018,3,3367.8,1044.4,964.1,492.2,973.5,3.59
B_0020,2018,4,6132.3,3209.2,674.7,686.0,1584.2,4.25
B_0020,2018,5,6513.2,2973.8,1535.4,1278.3,2078.6,3.92
B_0020,2018,6,8722.0,4318.4,2434.5,1125.3,1951.8,5.09
B_0020,2018,7,3330.7,1278.1,482.7,612.2,743.4,2.91
B_0020,2018,8,4520.6,2293.8,844.8,586.7,1716.1,3.08
B_0020,2018,9,2736.0,1452.7,529.6,302.3,1067.1,1.37
B_0020,2018,10,3890.8,1269.8,564.4,527.3,1226.2,2.06
B_0020,2018,11,4887.1,1772.6,501.8,496.1,1325.7,3.58
B_0020,2018,12,9275.3,4286.3,2205.4,1244.6,2291.6,6.32
B_0020,2019,1,6370.9,3367.2,904.7,1073.4,2449.3,6.37
B_0020,2019,2,9859.3,5551.4,1039.4,1153.5,3326.6,10.25
B_0020,2019,3,5650.5,1918.0,1458.0,622.7,1618.9,11.27
B_0020,2019,4,3256.2,1789.3,463.6,423.9,1273.9,3.59
B_0020,2019,5,2265.9,846.9,353.2,388.7,826.6,2.23
B_0020,2019,6,4119.7,1443.1,1140.1,626.1,1154.3,2.24
B_0020,2019,7,5259.4,1759.8,907.5,613.9,1077.4,2.65
B_0020,2019,8,5469.4,2195.7,651.8,931.4,1677.0,4.7
B_0020,2019,9,3574.8,1144.2,385.3,479.5,1288.3,2.05
B_0020,2019,10,4890.5,1922.7,1412.3,861.8,1413.9,2.5
B_0020,2019,11,3801.8,2067.6,1007.4,420.6,1517.0,1.95
B_0020,2019,12,2877.0,1108.0,730.9,431.1,800.6,3.42
B_0020,2020,1,4235.4,1536.9,584.8,795.5,1275.2,2.45
B_0020,2020,2,4476.1,1967.8,720.7,617.8,1085.6,2.31
B_0020,2020,3,5840.2,2769.2,1137.0,887.0,2329.8,7.23
B_0020,2020,4,4445.6,2231.5,886.2,819.3,1742.4,2.47
B_0020,2020,5,2033.7,831.0,435.0,227.3,676.1,1.17
B_0020,2020,6,3778.3,1634.2,840.9,445.1,907.7,5.68
B_0020,2020,7,8079.7,4569.5,1772.8,939.1,2507.4,4.46
B_0020,2020,8,8252.3,4809.4,1314.0,1239.2,2364.9,7.42
B_0020,2020,9,3038.9,1377.2,415.7,566.0,943.3,4.58
B_0020,2020,10,7815.0,4596.3,1434.8,1531.2,2531.2,10.84
B_0020,2020,11,5871.4,2938.0,665.5,936.8,2173.4,3.8
B_0020,2020,12,9891.1,4586.9,1982.5,1708.7,2862.1,5.31
B_0020,2021,1,11018.3,3773.2,2956.1,2043.6,3413.5,7.33
B_0020,2021,2,7388.4,2902.1,1236.0,1116.3,2789.9,13.12
B_0020,2021,3,3168.1,1791.5,487.1,594.8,1081.7,2.57
B_0020,2021,4,6185.5,3196.4,1438.4,636.9,1257.2,4.56
B_0020,2021,5,9104.6,5151.2,2608.7,1280.9,2775.5,16.35
B_0020,2021,6,6346.3,2423.4,1334.3,925.5,2001.1,12.18
B_0020,2021,7,6861.4,2923.4,1455.9,1034.5,2228.8,9.54
B_0020,2021,8,4301.2,2568.9,1227.7,468.9,1470.5,3.53
B_0020,2021,9,2127.7,639.8,638.2,397.4,501.3,1.5
B_0020,2021,10,3836.5,1557.8,796.3,654.0,993.8,6.69
B_0020,2021,11,2000.8,924.1,388.8,230.8,599.4,3.27
B_0020,2021,12,9991.2,5742.6,1926.8,1936.1,3645.2,6.12
B_0020,2022,1,4133.6,1751.3,1010.0,496.8,989.1,2.79
B_0020,2022,2,3189.0,1455.5,952.0,406.7,1128.3,2.22
B_0020,2022,3,9093.6,4338.4,1432.8,1003.5,3476.4,6.56
B_0020,2022,4,3962.6,1334.2,630.6,704.1,1097.9,2.68
B_0020,2022,5,6566.1,3687.5,1322.0,749.5,2599.5,6.37
B_0020,2022,6,4115.0,1928.3,1052.2,435.0,1603.7,2.1
B_0020,2022,7,6923.1,2105.9,1107.9,774.2,1586.2,4.84
B_0020,2022,8,3214.3,1586.4,743.7,382.6,777.0,6.39
B_0020,2022,9,5839.1,3336.4,1481.0,952.6,1249.6,5.46
B_0020,2022,10,6118.5,2590.0,1678.0,632.0,1433.8,4.46
B_0020,2022,11,7197.9,3744.1,1995.9,1136.4,2188.8,6.05
B_0020,2022,12,8782.4,3133.2,1287.9,1458.0,3121.8,8.51
B_0021,2018,1,8200.7,4284.8,2187.0,1418.3,2812.4,15.78
B_0021,2018,2,10282.5,3478.3,2199.0,1799.2,3598.0,10.33
B_0021,2018,3,7341.2,3266.7,2127.6,966.5,1787.8,9.31
B_0021,2018,4,3160.0,1171.7,458.8,414.9,1080.6,3.97
B_0021,2018,5,4323.0,2108.4,1064.9,512.0,1267.6,3.75
B_0021,2018,6,6251.1,2842.6,1228.8,1249.2,1968.7,4.06
B_0021,2018,7,3448.2,1571.8,533.9,399.1,1325.3,2.34
B_0021,2018,8,6520.5,3070.0,1657.6,861.9,1707.2,10.68
B_0021,2018,9,5628.9,3017.4,1624.0,994.5,1363.4,8.19
B_0021,2018,10,3809.2,2008.2,516.7,656.4,1067.3,2.5
B_0021,2018,11,3729.1,1948.7,558.2,485.7,1023.2,7.4
B_0021,2018,12,9314.7,3699.3,1529.8,1192.6,3363.1,5.89
B_0021,2019,1,2589.2,1102.2,626.6,441.0,809.4,1.37
B_0021,2019,2,4351.9,1355.3,875.9,661.2,1000.8,3.8
B_0021,2019,3,2902.2,1558.7,590.0,482.5,1019.9,2.38
B_0021,2019,4,3271.3,1215.9,368.3,360.5,1118.3,3.91
B_0021,2019,5,5776.2,3319.0,1453.7,980.4,1782.2,3.3
B_0021,2019,6,8815.1,5153.9,2415.5,1749.7,3070.5,9.45
B_0021,2019,7,8860.9,4388.8,1470.3,1440.0,2143.0,7.3
B_0021,2019,8,8110.9,3825.1,846.1,1507.3,2908.0,4.63
B_0021,2019,9,4385.9,1998.2,530.5,662.6,1296.4,3.46
B_0021,2019,10,6507.7,2734.8,817.0,935.3,1835.8,4.83
B_0021,2019,11,4893.8,2887.7,809.3,742.9,1609.8,3.13
B_0021,2019,12,8690.8,2999.4,2326.4,1396.8,2538.2,5.87
B_0021,2020,1,3053.9,1115.2,415.8,531.4,780.1,1.73
B_0021,2020,2,8520.5,4503.6,888.6,1623.2,2503.0,12.27
B_0021,2020,3,2715.9,1355.9,639.2,441.8,751.5,2.71
B_0021,2020,4,6406.1,2338.4,1438.5,877.2,1791.2,11.34
B_0021,2020,5,6047.9,2986.3,1396.8,645.4,2418.3,5.1
B_0021,2020,6,2162.3,714.5,416.6,365.8,457.4,2.03
B_0021,2020,7,9448.8,3387.6,1966.1,1602.0,2783.9,13.07
B_0021,2020,8,6403.5,3509.8,1604.2,743.7,2195.5,5.79
B_0021,2020,9,2078.2,1191.2,452.6,252.8,618.0,1.04
B_0021,2020,10,2441.5,891.9,357.6,269.7,579.9,1.42
B_0021,2020,11,4710.9,2088.3,1407.9,547.8,1496.7,2.7
B_0021,2020,12,2464.9,1023.1,301.6,411.6,975.2,2.53
B_0021,2021,1,8496.6,3686.7,1513.2,1233.2,2753.4,6.96
B_0021,2021,2,3906.8,1981.4,1165.5,618.6,999.1,6.1
B_0021,2021,3,6290.2,3666.0,1850.1,730.6,2380.7,5.4
B_0021,2021,4,2951.4,892.4,512.5,496.0,747.8,3.76
B_0021,2021,5,6091.1,3302.8,1057.0,671.2,2136.9,6.51
B_0021,2021,6,8385.8,3723.6,1034.0,1203.2,3340.3,12.75
B_0021,2021,7,7765.3,2525.2,1251.3,1313.2,2325.0,9.81
B_0021,2021,8,9212.4,5505.9,1377.9,1290.8,3599.3,4.85
B_0021,2021,9,6896.9,2930.8,1131.6,1035.9,1998.8,4.96
B_0021,2021,10,7598.6,2669.1,1464.0,1068.2,2760.9,4.02
B_0021,2021,11,6749.1,2611.6,1621.0,767.8,2168.1,6.27
B_0021,2021,12,2470.4,1144.2,542.8,452.1,761.7,2.06
B_0021,2022,1,7318.7,3834.3,1805.0,1026.4,2771.3,4.19
B_0021,2022,2,8948.7,4706.7,1160.3,1277.8,2282.8,5.28
B_0021,2022,3,3838.7,1514.7,933.2,458.3,880.9,2.04
B_0021,2022,4,4312.5,2553.2,658.9,804.6,867.1,4.08
B_0021,2022,5,6048.9,1885.6,1659.1,1059.9,1818.6,4.2
B_0021,2022,6,7297.5,2369.5,1152.0,1290.5,2188.0,3.76
B_0021,2022,7,10397.3,4142.7,1261.1,1074.7,3057.7,5.33
B_0021,2022,8,10790.5,3913.4,2767.8,1103.0,4207.5,8.94
B_0021,2022,9,7196.4,2496.9,1241.0,1051.8,2168.1,5.28
B_0021,2022,10,9360.8,3906.4,2116.2,964.5,2046.6,10.72
B_0021,2022,11,6373.0,2235.4,653.1,1076.9,1678.8,4.8
B_0021,2022,12,6677.1,3909.1,1675.9,923.6,2176.5,6.39
B_0022,2018,1,10010.8,5506.0,1219.9,1591.0,2643.8,6.23
B_0022,2018,2,5659.0,3390.6,937.5,812.4,1521.9,6.46
B_0022,2018,3,4683.5,2125.5,1391.2,741.2,1464.0,3.53
B_0022,2018,4,4174.7,1751.3,822.8,777.0,1065.2,4.47
B_0022,2018,5,2734.0,1212.7,500.9,320.8,1024.9,3.85
B_0022,2018,6,4713.6,2777.0,934.0,841.4,1066.5,2.57
B_0022,2018,7,6304.7,1988.6,1753.0,676.6,1444.5,3.16
B_0022,2018,8,8183.1,4671.5,2045.3,1562.2,2271.8,7.37
B_0022,2018,9,4342.0,1910.7,718.6,750.2,1064.6,2.39
B_0022,2018,10,7462.4,3995.3,2191.8,804.1,1579.6,13.21
B_0022,2018,11,6099.4,2984.7,1420.5,785.8,1642.9,3.32
B_0022,2018,12,3212.7,1011.0,895.1,400.0,1173.5,2.01
B_0022,2019,1,4511.7,2244.7,745.0,857.7,1574.7,2.77
B_0022,2019,2,11172.2,4400.4,2236.6,1412.2,2820.9,9.17
B_0022,2019,3,2987.6,1662.2,545.8,422.8,730.9,1.54
B_0022,2019,4,7695.8,2852.1,1841.9,1535.7,2552.0,5.66
B_0022,2019,5,3710.2,1749.6,1008.0,651.9,1247.0,6.35
B_0022,2019,6,3532.6,1077.4,972.1,476.4,1248.7,3.78
B_0022,2019,7,3161.9,1567.5,483.9,501.9,1076.8,3.12
B_0022,2019,8,5001.0,2212.3,1068.1,881.7,1673.8,3.27
B_0022,2019,9,2202.9,1065.8,575.1,399.2,700.9,1.23
B_0022,2019,10,6594.4,2942.5,1561.3,938.9,2304.8,4.85
B_0022,2019,11,6025.7,2129.8,1208.7,714.3,1987.4,5.61
B_0022,2019,12,3447.3,1927.1,519.1,458.0,845.1,3.2
B_0022,2020,1,7516.4,2539.1,2022.3,1472.6,2601.7,6.96
B_0022,2020,2,10287.3,3537.2,2899.1,1752.5,3616.3,10.35
B_0022,2020,3,2592.0,1162.6,468.9,324.6,642.9,2.26
B_0022,2020,4,5141.3,3020.5,1461.3,869.4,1194.0,5.88
B_0022,2020,5,4028.0,1712.2,541.0,648.2,1228.2,2.1
B_0022,2020,6,3783.2,1499.3,503.4,431.1,1437.9,1.97
B_0022,2020,7,3454.7,1088.5,862.1,592.4,1299.8,3.21
B_0022,2020,8,7625.2,2934.1,952.8,1218.5,2450.5,6.98
B_0022,2020,9,4947.7,2671.9,1334.2,825.3,1533.9,4.91
B_0022,2020,10,5662.4,3146.3,596.8,843.6,1147.0,4.77
B_0022,2020,11,8277.9,3342.4,1086.5,1103.3,2410.8,6.94
B_0022,2020,12,9144.7,4766.7,1875.9,1077.4,3023.1,4.94
B_0022,2021,1,8500.6,3512.1,2278.1,1313.0,2216.1,12.97
B_0022,2021,2,4437.9,1788.9,1241.4,455.7,1728.9,3.99
B_0022,2021,3,6000.7,2400.2,1624.9,1162.0,1394.1,10.32
B_0022,2021,4,2590.9,1520.5,676.8,484.6,750.2,1.54
B_0022,2021,5,2775.2,1068.4,278.2,317.4,882.2,2.21
B_0022,2021,6,7851.9,2599.2,878.2,906.3,1891.2,11.28
B_0022,2021,7,3708.9,1616.8,463.5,640.7,982.4,3.2
B_0022,2021,8,6467.9,2362.4,816.5,1057.8,2446.9,3.69
B_0022,2021,9,7700.7,3079.2,1330.2,885.8,1559.8,4.12
B_0022,2021,10,5487.8,3061.8,1273.2,612.0,1855.2,2.79
B_0022,2021,11,4900.7,2177.3,1200.6,678.7,1079.6,7.04
B_0022,2021,12,6675.6,2768.4,1541.4,914.3,2348.5,3.44
B_0022,2022,1,4385.9,1792.9,1208.8,697.5,1058.5,3.31
B_0022,2022,2,9893.6,5629.3,2023.2,990.4,3536.2,15.01
B_0022,2022,3,4457.5,2540.6,1029.6,762.2,1367.8,4.51
B_0022,2022,4,3558.1,1438.3,373.0,653.4,878.8,5.84
B_0022,2022,5,6232.0,2725.1,1418.6,694.8,2312.3,6.42
B_0022,2022,6,8753.7,3931.3,1858.4,1510.2,2121.7,4.82
B_0022,2022,7,2329.6,1096.8,571.7,409.9,685.5,2.39
B_0022,2022,8,6257.2,3324.5,1161.3,1121.2,2119.4,12.36
B_0022,2022,9,8560.6,3659.9,1951.5,1306.0,2686.7,4.86
B_0022,2022,10,3447.6,1075.8,710.5,481.3,707.0,2.1
B_0022,2022,11,7855.1,4495.9,1625.3,1277.5,1695.9,5.77
B_0022,2022,12,6355.6,2055.3,1275.5,652.4,1472.7,5.44
B_0023,2018,1,6052.6,3209.5,606.4,688.6,1844.6,4.47
