material,quantity_kg,area_m2,gwp_total_kgco2eq,gwp_per_m2_kgco2eq,embodied_energy_total_mj,embodied_energy_per_m2_mj,water_usage_total_l,recyclability_pct,lifespan_years,demolition_gwp_kgco2eq,installation_gwp_kgco2eq,total_gwp_with_installation,measure,building_id,scenario_name,operational_gwp_savings_kgco2eq_year,capacity_kwp
eps_insulation,4495.55,1798.22,15644.51,8.7,398305.73,221.5,899.11,95.0,50,,89.91,15734.42,wall_insulation,BLD_025,Minimal,,
mineral_wool_insulation,6612.6,1102.1,8464.13,7.68,111091.68,100.8,3306.3,60.0,50,,45.92,8510.05,roof_insulation,BLD_025,Minimal,,
eps_insulation,4495.55,1798.22,15644.51,8.7,398305.73,221.5,899.11,95.0,50,,89.91,15734.42,wall_insulation,BLD_025,Standard,,
mineral_wool_insulation,6612.6,1102.1,8464.13,7.68,111091.68,100.8,3306.3,60.0,50,,45.92,8510.05,roof_insulation,BLD_025,Standard,,
glass_double_glazed,60624.0,606.24,51530.4,85.0,963921.6,1590.0,18187.2,100.0,35,3152.45,60.62,54743.47,window_replacement,BLD_025,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_025,Standard,1700.0,
eps_insulation,4495.55,1798.22,15644.51,8.7,398305.73,221.5,899.11,95.0,50,,89.91,15734.42,wall_insulation,BLD_025,Deep Retrofit,,
mineral_wool_insulation,6612.6,1102.1,8464.13,7.68,111091.68,100.8,3306.3,60.0,50,,45.92,8510.05,roof_insulation,BLD_025,Deep Retrofit,,
glass_double_glazed,60624.0,606.24,51530.4,85.0,963921.6,1590.0,18187.2,100.0,35,3152.45,60.62,54743.47,window_replacement,BLD_025,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_025,Deep Retrofit,1700.0,
solar_pv,,,29756.7,,413287.5,,,,25,,1653.15,31409.85,solar_pv,BLD_025,Deep Retrofit,8265.75,16.53
eps_insulation,1207.65,483.06,4202.62,8.7,106997.79,221.5,241.53,95.0,50,,24.15,4226.77,wall_insulation,BLD_026,Minimal,,
mineral_wool_insulation,8046.06,1341.01,10298.96,7.68,135173.81,100.8,4023.03,60.0,50,,55.88,10354.84,roof_insulation,BLD_026,Minimal,,
eps_insulation,1207.65,483.06,4202.62,8.7,106997.79,221.5,241.53,95.0,50,,24.15,4226.77,wall_insulation,BLD_026,Standard,,
mineral_wool_insulation,8046.06,1341.01,10298.96,7.68,135173.81,100.8,4023.03,60.0,50,,55.88,10354.84,roof_insulation,BLD_026,Standard,,
glass_double_glazed,13022.0,130.22,11068.7,85.0,207049.8,1590.0,3906.6,100.0,35,677.14,13.02,11758.87,window_replacement,BLD_026,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_026,Standard,1700.0,
eps_insulation,1207.65,483.06,4202.62,8.7,106997.79,221.5,241.53,95.0,50,,24.15,4226.77,wall_insulation,BLD_026,Deep Retrofit,,
mineral_wool_insulation,8046.06,1341.01,10298.96,7.68,135173.81,100.8,4023.03,60.0,50,,55.88,10354.84,roof_insulation,BLD_026,Deep Retrofit,,
glass_double_glazed,13022.0,130.22,11068.7,85.0,207049.8,1590.0,3906.6,100.0,35,677.14,13.02,11758.87,window_replacement,BLD_026,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_026,Deep Retrofit,1700.0,
solar_pv,,,36207.27,,502878.75,,,,25,,2011.51,38218.78,solar_pv,BLD_026,Deep Retrofit,10057.58,20.12
glass_double_glazed,25404.0,254.04,21593.4,85.0,403923.6,1590.0,7621.2,100.0,35,1321.01,25.4,22939.81,window_replacement,BLD_028,Minimal,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_028,Minimal,1700.0,
glass_double_glazed,25404.0,254.04,21593.4,85.0,403923.6,1590.0,7621.2,100.0,35,1321.01,25.4,22939.81,window_replacement,BLD_028,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_028,Standard,1700.0,
solar_pv,,,14616.45,,203006.25,,,,25,,812.03,15428.48,solar_pv,BLD_028,Standard,4060.12,8.12
glass_double_glazed,25404.0,254.04,21593.4,85.0,403923.6,1590.0,7621.2,100.0,35,1321.01,25.4,22939.81,window_replacement,BLD_028,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_028,Deep Retrofit,1700.0,
solar_pv,,,14616.45,,203006.25,,,,25,,812.03,15428.48,solar_pv,BLD_028,Deep Retrofit,4060.12,8.12
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_029,Minimal,1700.0,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_029,Standard,1700.0,
solar_pv,,,15851.16,,220155.0,,,,25,,880.62,16731.78,solar_pv,BLD_029,Standard,4403.1,8.81
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_029,Deep Retrofit,1700.0,
solar_pv,,,15851.16,,220155.0,,,,25,,880.62,16731.78,solar_pv,BLD_029,Deep Retrofit,4403.1,8.81
eps_insulation,922.35,368.94,3209.78,8.7,81720.21,221.5,184.47,95.0,50,,18.45,3228.23,wall_insulation,BLD_030,Minimal,,
mineral_wool_insulation,1059.9,176.65,1356.67,7.68,17806.32,100.8,529.95,60.0,50,,7.36,1364.03,roof_insulation,BLD_030,Minimal,,
eps_insulation,922.35,368.94,3209.78,8.7,81720.21,221.5,184.47,95.0,50,,18.45,3228.23,wall_insulation,BLD_030,Standard,,
mineral_wool_insulation,1059.9,176.65,1356.67,7.68,17806.32,100.8,529.95,60.0,50,,7.36,1364.03,roof_insulation,BLD_030,Standard,,
glass_double_glazed,6476.0,64.76,5504.6,85.0,102968.4,1590.0,1942.8,100.0,35,336.75,6.48,5847.83,window_replacement,BLD_030,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_030,Standard,1700.0,
eps_insulation,922.35,368.94,3209.78,8.7,81720.21,221.5,184.47,95.0,50,,18.45,3228.23,wall_insulation,BLD_030,Deep Retrofit,,
mineral_wool_insulation,1059.9,176.65,1356.67,7.68,17806.32,100.8,529.95,60.0,50,,7.36,1364.03,roof_insulation,BLD_030,Deep Retrofit,,
glass_double_glazed,6476.0,64.76,5504.6,85.0,102968.4,1590.0,1942.8,100.0,35,336.75,6.48,5847.83,window_replacement,BLD_030,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_030,Deep Retrofit,1700.0,
solar_pv,,,4769.55,,66243.75,,,,25,,264.98,5034.53,solar_pv,BLD_030,Deep Retrofit,1324.88,2.65
eps_insulation,4042.43,1616.97,14067.64,8.7,358158.85,221.5,808.49,95.0,50,,80.85,14148.49,wall_insulation,BLD_031,Minimal,,
mineral_wool_insulation,10578.78,1763.13,13540.84,7.68,177723.5,100.8,5289.39,60.0,50,,73.46,13614.3,roof_insulation,BLD_031,Minimal,,
eps_insulation,4042.43,1616.97,14067.64,8.7,358158.85,221.5,808.49,95.0,50,,80.85,14148.49,wall_insulation,BLD_031,Standard,,
mineral_wool_insulation,10578.78,1763.13,13540.84,7.68,177723.5,100.8,5289.39,60.0,50,,73.46,13614.3,roof_insulation,BLD_031,Standard,,
glass_double_glazed,53215.0,532.15,45232.75,85.0,846118.5,1590.0,15964.5,100.0,35,2767.18,53.21,48053.14,window_replacement,BLD_031,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_031,Standard,1700.0,
eps_insulation,4042.43,1616.97,14067.64,8.7,358158.85,221.5,808.49,95.0,50,,80.85,14148.49,wall_insulation,BLD_031,Deep Retrofit,,
mineral_wool_insulation,10578.78,1763.13,13540.84,7.68,177723.5,100.8,5289.39,60.0,50,,73.46,13614.3,roof_insulation,BLD_031,Deep Retrofit,,
glass_double_glazed,53215.0,532.15,45232.75,85.0,846118.5,1590.0,15964.5,100.0,35,2767.18,53.21,48053.14,window_replacement,BLD_031,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_031,Deep Retrofit,1700.0,
solar_pv,,,47604.51,,661173.75,,,,25,,2644.7,50249.21,solar_pv,BLD_031,Deep Retrofit,13223.48,26.45
eps_insulation,1424.58,569.83,4957.52,8.7,126217.35,221.5,284.92,95.0,50,,28.49,4986.01,wall_insulation,BLD_032,Minimal,,
glass_double_glazed,20556.0,205.56,17472.6,85.0,326840.4,1590.0,6166.8,100.0,35,1068.91,20.56,18562.07,window_replacement,BLD_032,Minimal,,
eps_insulation,1424.58,569.83,4957.52,8.7,126217.35,221.5,284.92,95.0,50,,28.49,4986.01,wall_insulation,BLD_032,Standard,,
glass_double_glazed,20556.0,205.56,17472.6,85.0,326840.4,1590.0,6166.8,100.0,35,1068.91,20.56,18562.07,window_replacement,BLD_032,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_032,Standard,1700.0,
eps_insulation,1424.58,569.83,4957.52,8.7,126217.35,221.5,284.92,95.0,50,,28.49,4986.01,wall_insulation,BLD_032,Deep Retrofit,,
glass_double_glazed,20556.0,205.56,17472.6,85.0,326840.4,1590.0,6166.8,100.0,35,1068.91,20.56,18562.07,window_replacement,BLD_032,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_032,Deep Retrofit,1700.0,
solar_pv,,,13273.47,,184353.75,,,,25,,737.41,14010.89,solar_pv,BLD_032,Deep Retrofit,3687.08,7.37
eps_insulation,4238.25,1695.3,14749.11,8.7,375508.95,221.5,847.65,95.0,50,,84.77,14833.88,wall_insulation,BLD_033,Minimal,,
mineral_wool_insulation,3694.92,615.82,4729.5,7.68,62074.66,100.8,1847.46,60.0,50,,25.66,4755.16,roof_insulation,BLD_033,Minimal,,
eps_insulation,4238.25,1695.3,14749.11,8.7,375508.95,221.5,847.65,95.0,50,,84.77,14833.88,wall_insulation,BLD_033,Standard,,
mineral_wool_insulation,3694.92,615.82,4729.5,7.68,62074.66,100.8,1847.46,60.0,50,,25.66,4755.16,roof_insulation,BLD_033,Standard,,
glass_double_glazed,91610.0,916.1,77868.5,85.0,1456599.0,1590.0,27483.0,100.0,35,4763.72,91.61,82723.83,window_replacement,BLD_033,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_033,Standard,1700.0,
eps_insulation,4238.25,1695.3,14749.11,8.7,375508.95,221.5,847.65,95.0,50,,84.77,14833.88,wall_insulation,BLD_033,Deep Retrofit,,
mineral_wool_insulation,3694.92,615.82,4729.5,7.68,62074.66,100.8,1847.46,60.0,50,,25.66,4755.16,roof_insulation,BLD_033,Deep Retrofit,,
glass_double_glazed,91610.0,916.1,77868.5,85.0,1456599.0,1590.0,27483.0,100.0,35,4763.72,91.61,82723.83,window_replacement,BLD_033,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_033,Deep Retrofit,1700.0,
solar_pv,,,16627.14,,230932.5,,,,25,,923.73,17550.87,solar_pv,BLD_033,Deep Retrofit,4618.65,9.24
mineral_wool_insulation,1072.92,178.82,1373.34,7.68,18025.06,100.8,536.46,60.0,50,,7.45,1380.79,roof_insulation,BLD_034,Minimal,,
glass_double_glazed,3917.0,39.17,3329.45,85.0,62280.3,1590.0,1175.1,100.0,35,203.68,3.92,3537.05,window_replacement,BLD_034,Minimal,,
mineral_wool_insulation,1072.92,178.82,1373.34,7.68,18025.06,100.8,536.46,60.0,50,,7.45,1380.79,roof_insulation,BLD_034,Standard,,
glass_double_glazed,3917.0,39.17,3329.45,85.0,62280.3,1590.0,1175.1,100.0,35,203.68,3.92,3537.05,window_replacement,BLD_034,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_034,Standard,1700.0,
mineral_wool_insulation,1072.92,178.82,1373.34,7.68,18025.06,100.8,536.46,60.0,50,,7.45,1380.79,roof_insulation,BLD_034,Deep Retrofit,,
glass_double_glazed,3917.0,39.17,3329.45,85.0,62280.3,1590.0,1175.1,100.0,35,203.68,3.92,3537.05,window_replacement,BLD_034,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_034,Deep Retrofit,1700.0,
solar_pv,,,4828.14,,67057.5,,,,25,,268.23,5096.37,solar_pv,BLD_034,Deep Retrofit,1341.15,2.68
solar_pv,,,20070.72,,278760.0,,,,25,,1115.04,21185.76,solar_pv,BLD_035,Minimal,5575.2,11.15
solar_pv,,,20070.72,,278760.0,,,,25,,1115.04,21185.76,solar_pv,BLD_035,Standard,5575.2,11.15
solar_pv,,,20070.72,,278760.0,,,,25,,1115.04,21185.76,solar_pv,BLD_035,Deep Retrofit,5575.2,11.15
eps_insulation,1484.15,593.66,5164.84,8.7,131495.69,221.5,296.83,95.0,50,,29.68,5194.52,wall_insulation,BLD_036,Minimal,,
mineral_wool_insulation,10925.58,1820.93,13984.74,7.68,183549.74,100.8,5462.79,60.0,50,,75.87,14060.61,roof_insulation,BLD_036,Minimal,,
eps_insulation,1484.15,593.66,5164.84,8.7,131495.69,221.5,296.83,95.0,50,,29.68,5194.52,wall_insulation,BLD_036,Standard,,
mineral_wool_insulation,10925.58,1820.93,13984.74,7.68,183549.74,100.8,5462.79,60.0,50,,75.87,14060.61,roof_insulation,BLD_036,Standard,,
glass_double_glazed,20516.0,205.16,17438.6,85.0,326204.4,1590.0,6154.8,100.0,35,1066.83,20.52,18525.95,window_replacement,BLD_036,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_036,Standard,1700.0,
eps_insulation,1484.15,593.66,5164.84,8.7,131495.69,221.5,296.83,95.0,50,,29.68,5194.52,wall_insulation,BLD_036,Deep Retrofit,,
mineral_wool_insulation,10925.58,1820.93,13984.74,7.68,183549.74,100.8,5462.79,60.0,50,,75.87,14060.61,roof_insulation,BLD_036,Deep Retrofit,,
glass_double_glazed,20516.0,205.16,17438.6,85.0,326204.4,1590.0,6154.8,100.0,35,1066.83,20.52,18525.95,window_replacement,BLD_036,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_036,Deep Retrofit,1700.0,
solar_pv,,,49165.11,,682848.75,,,,25,,2731.39,51896.5,solar_pv,BLD_036,Deep Retrofit,13656.98,27.31
mineral_wool_insulation,1189.68,198.28,1522.79,7.68,19986.62,100.8,594.84,60.0,50,,8.26,1531.05,roof_insulation,BLD_037,Minimal,,
glass_double_glazed,10037.0,100.37,8531.45,85.0,159588.3,1590.0,3011.1,100.0,35,521.92,10.04,9063.41,window_replacement,BLD_037,Minimal,,
mineral_wool_insulation,1189.68,198.28,1522.79,7.68,19986.62,100.8,594.84,60.0,50,,8.26,1531.05,roof_insulation,BLD_037,Standard,,
glass_double_glazed,10037.0,100.37,8531.45,85.0,159588.3,1590.0,3011.1,100.0,35,521.92,10.04,9063.41,window_replacement,BLD_037,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_037,Standard,1700.0,
mineral_wool_insulation,1189.68,198.28,1522.79,7.68,19986.62,100.8,594.84,60.0,50,,8.26,1531.05,roof_insulation,BLD_037,Deep Retrofit,,
glass_double_glazed,10037.0,100.37,8531.45,85.0,159588.3,1590.0,3011.1,100.0,35,521.92,10.04,9063.41,window_replacement,BLD_037,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_037,Deep Retrofit,1700.0,
solar_pv,,,5353.56,,74355.0,,,,25,,297.42,5650.98,solar_pv,BLD_037,Deep Retrofit,1487.1,2.97
eps_insulation,2903.38,1161.35,10103.75,8.7,257239.02,221.5,580.68,95.0,50,,58.07,10161.82,wall_insulation,BLD_038,Minimal,,
mineral_wool_insulation,3708.12,618.02,4746.39,7.68,62296.42,100.8,1854.06,60.0,50,,25.75,4772.14,roof_insulation,BLD_038,Minimal,,
eps_insulation,2903.38,1161.35,10103.75,8.7,257239.02,221.5,580.68,95.0,50,,58.07,10161.82,wall_insulation,BLD_038,Standard,,
mineral_wool_insulation,3708.12,618.02,4746.39,7.68,62296.42,100.8,1854.06,60.0,50,,25.75,4772.14,roof_insulation,BLD_038,Standard,,
glass_double_glazed,68937.0,689.37,58596.45,85.0,1096098.3,1590.0,20681.1,100.0,35,3584.72,68.94,62250.11,window_replacement,BLD_038,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_038,Standard,1700.0,
eps_insulation,2903.38,1161.35,10103.75,8.7,257239.02,221.5,580.68,95.0,50,,58.07,10161.82,wall_insulation,BLD_038,Deep Retrofit,,
mineral_wool_insulation,3708.12,618.02,4746.39,7.68,62296.42,100.8,1854.06,60.0,50,,25.75,4772.14,roof_insulation,BLD_038,Deep Retrofit,,
glass_double_glazed,68937.0,689.37,58596.45,85.0,1096098.3,1590.0,20681.1,100.0,35,3584.72,68.94,62250.11,window_replacement,BLD_038,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_038,Deep Retrofit,1700.0,
solar_pv,,,16686.54,,231757.5,,,,25,,927.03,17613.57,solar_pv,BLD_038,Deep Retrofit,4635.15,9.27
eps_insulation,7545.3,3018.12,26257.64,8.7,668513.58,221.5,1509.06,95.0,50,,150.91,26408.55,wall_insulation,BLD_039,Minimal,,
mineral_wool_insulation,4049.88,674.98,5183.85,7.68,68037.98,100.8,2024.94,60.0,50,,28.12,5211.97,roof_insulation,BLD_039,Minimal,,
eps_insulation,7545.3,3018.12,26257.64,8.7,668513.58,221.5,1509.06,95.0,50,,150.91,26408.55,wall_insulation,BLD_039,Standard,,
mineral_wool_insulation,4049.88,674.98,5183.85,7.68,68037.98,100.8,2024.94,60.0,50,,28.12,5211.97,roof_insulation,BLD_039,Standard,,
glass_double_glazed,111878.0,1118.78,95096.3,85.0,1778860.2,1590.0,33563.4,100.0,35,5817.66,111.88,101025.83,window_replacement,BLD_039,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_039,Standard,1700.0,
eps_insulation,7545.3,3018.12,26257.64,8.7,668513.58,221.5,1509.06,95.0,50,,150.91,26408.55,wall_insulation,BLD_039,Deep Retrofit,,
mineral_wool_insulation,4049.88,674.98,5183.85,7.68,68037.98,100.8,2024.94,60.0,50,,28.12,5211.97,roof_insulation,BLD_039,Deep Retrofit,,
glass_double_glazed,111878.0,1118.78,95096.3,85.0,1778860.2,1590.0,33563.4,100.0,35,5817.66,111.88,101025.83,window_replacement,BLD_039,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_039,Deep Retrofit,1700.0,
solar_pv,,,18224.46,,253117.5,,,,25,,1012.47,19236.93,solar_pv,BLD_039,Deep Retrofit,5062.35,10.12
glass_double_glazed,19327.0,193.27,16427.95,85.0,307299.3,1590.0,5798.1,100.0,35,1005.0,19.33,17452.28,window_replacement,BLD_040,Minimal,,
glass_double_glazed,19327.0,193.27,16427.95,85.0,307299.3,1590.0,5798.1,100.0,35,1005.0,19.33,17452.28,window_replacement,BLD_040,Standard,,
solar_pv,,,78969.33,,1096796.25,,,,25,,4387.18,83356.51,solar_pv,BLD_040,Standard,21935.92,43.87
glass_double_glazed,19327.0,193.27,16427.95,85.0,307299.3,1590.0,5798.1,100.0,35,1005.0,19.33,17452.28,window_replacement,BLD_040,Deep Retrofit,,
solar_pv,,,78969.33,,1096796.25,,,,25,,4387.18,83356.51,solar_pv,BLD_040,Deep Retrofit,21935.92,43.87
glass_double_glazed,9912.0,99.12,8425.2,85.0,157600.8,1590.0,2973.6,100.0,35,515.42,9.91,8950.54,window_replacement,BLD_041,Minimal,,
glass_double_glazed,9912.0,99.12,8425.2,85.0,157600.8,1590.0,2973.6,100.0,35,515.42,9.91,8950.54,window_replacement,BLD_041,Standard,,
solar_pv,,,5634.9,,78262.5,,,,25,,313.05,5947.95,solar_pv,BLD_041,Standard,1565.25,3.13
glass_double_glazed,9912.0,99.12,8425.2,85.0,157600.8,1590.0,2973.6,100.0,35,515.42,9.91,8950.54,window_replacement,BLD_041,Deep Retrofit,,
solar_pv,,,5634.9,,78262.5,,,,25,,313.05,5947.95,solar_pv,BLD_041,Deep Retrofit,1565.25,3.13
glass_double_glazed,18232.0,182.32,15497.2,85.0,289888.8,1590.0,5469.6,100.0,35,948.06,18.23,16463.5,window_replacement,BLD_042,Minimal,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_042,Minimal,1700.0,
glass_double_glazed,18232.0,182.32,15497.2,85.0,289888.8,1590.0,5469.6,100.0,35,948.06,18.23,16463.5,window_replacement,BLD_042,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_042,Standard,1700.0,
solar_pv,,,65631.6,,911550.0,,,,25,,3646.2,69277.8,solar_pv,BLD_042,Standard,18231.0,36.46
glass_double_glazed,18232.0,182.32,15497.2,85.0,289888.8,1590.0,5469.6,100.0,35,948.06,18.23,16463.5,window_replacement,BLD_042,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_042,Deep Retrofit,1700.0,
solar_pv,,,65631.6,,911550.0,,,,25,,3646.2,69277.8,solar_pv,BLD_042,Deep Retrofit,18231.0,36.46
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_043,Minimal,1700.0,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_043,Standard,1700.0,
solar_pv,,,23099.58,,320827.5,,,,25,,1283.31,24382.89,solar_pv,BLD_043,Standard,6416.55,12.83
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_043,Deep Retrofit,1700.0,
solar_pv,,,23099.58,,320827.5,,,,25,,1283.31,24382.89,solar_pv,BLD_043,Deep Retrofit,6416.55,12.83
glass_double_glazed,19116.0,191.16,16248.6,85.0,303944.4,1590.0,5734.8,100.0,35,994.03,19.12,17261.75,window_replacement,BLD_044,Minimal,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_044,Minimal,1700.0,
glass_double_glazed,19116.0,191.16,16248.6,85.0,303944.4,1590.0,5734.8,100.0,35,994.03,19.12,17261.75,window_replacement,BLD_044,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_044,Standard,1700.0,
solar_pv,,,44505.99,,618138.75,,,,25,,2472.55,46978.54,solar_pv,BLD_044,Standard,12362.77,24.73
glass_double_glazed,19116.0,191.16,16248.6,85.0,303944.4,1590.0,5734.8,100.0,35,994.03,19.12,17261.75,window_replacement,BLD_044,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_044,Deep Retrofit,1700.0,
solar_pv,,,44505.99,,618138.75,,,,25,,2472.55,46978.54,solar_pv,BLD_044,Deep Retrofit,12362.77,24.73
eps_insulation,880.85,352.34,3065.36,8.7,78043.31,221.5,176.17,95.0,50,,17.62,3082.98,wall_insulation,BLD_045,Minimal,,
mineral_wool_insulation,5082.42,847.07,6505.5,7.68,85384.66,100.8,2541.21,60.0,50,,35.29,6540.79,roof_insulation,BLD_045,Minimal,,
eps_insulation,880.85,352.34,3065.36,8.7,78043.31,221.5,176.17,95.0,50,,17.62,3082.98,wall_insulation,BLD_045,Standard,,
mineral_wool_insulation,5082.42,847.07,6505.5,7.68,85384.66,100.8,2541.21,60.0,50,,35.29,6540.79,roof_insulation,BLD_045,Standard,,
glass_double_glazed,7721.0,77.21,6562.85,85.0,122763.9,1590.0,2316.3,100.0,35,401.49,7.72,6972.06,window_replacement,BLD_045,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_045,Standard,1700.0,
eps_insulation,880.85,352.34,3065.36,8.7,78043.31,221.5,176.17,95.0,50,,17.62,3082.98,wall_insulation,BLD_045,Deep Retrofit,,
mineral_wool_insulation,5082.42,847.07,6505.5,7.68,85384.66,100.8,2541.21,60.0,50,,35.29,6540.79,roof_insulation,BLD_045,Deep Retrofit,,
glass_double_glazed,7721.0,77.21,6562.85,85.0,122763.9,1590.0,2316.3,100.0,35,401.49,7.72,6972.06,window_replacement,BLD_045,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_045,Deep Retrofit,1700.0,
solar_pv,,,22870.89,,317651.25,,,,25,,1270.61,24141.5,solar_pv,BLD_045,Deep Retrofit,6353.03,12.71
mineral_wool_insulation,512.46,85.41,655.95,7.68,8609.33,100.8,256.23,60.0,50,,3.56,659.51,roof_insulation,BLD_046,Minimal,,
glass_double_glazed,5386.0,53.86,4578.1,85.0,85637.4,1590.0,1615.8,100.0,35,280.07,5.39,4863.56,window_replacement,BLD_046,Minimal,,
mineral_wool_insulation,512.46,85.41,655.95,7.68,8609.33,100.8,256.23,60.0,50,,3.56,659.51,roof_insulation,BLD_046,Standard,,
glass_double_glazed,5386.0,53.86,4578.1,85.0,85637.4,1590.0,1615.8,100.0,35,280.07,5.39,4863.56,window_replacement,BLD_046,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_046,Standard,1700.0,
mineral_wool_insulation,512.46,85.41,655.95,7.68,8609.33,100.8,256.23,60.0,50,,3.56,659.51,roof_insulation,BLD_046,Deep Retrofit,,
glass_double_glazed,5386.0,53.86,4578.1,85.0,85637.4,1590.0,1615.8,100.0,35,280.07,5.39,4863.56,window_replacement,BLD_046,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_046,Deep Retrofit,1700.0,
glass_double_glazed,47379.0,473.79,40272.15,85.0,753326.1,1590.0,14213.7,100.0,35,2463.71,47.38,42783.24,window_replacement,BLD_047,Minimal,,
glass_double_glazed,47379.0,473.79,40272.15,85.0,753326.1,1590.0,14213.7,100.0,35,2463.71,47.38,42783.24,window_replacement,BLD_047,Standard,,
solar_pv,,,12614.13,,175196.25,,,,25,,700.79,13314.92,solar_pv,BLD_047,Standard,3503.93,7.01
