measure,embodied_carbon_kgco2eq,annual_carbon_savings_kgco2eq,carbon_payback_years,lifespan_years,lifetime_carbon_benefit_kgco2eq,benefit_to_impact_ratio,building_id,scenario_name
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_038,Standard
wall_insulation,10161.82,48354.82,0.21,50,2407578.93,236.92,BLD_038,Deep Retrofit
roof_insulation,4772.14,48354.82,0.1,50,2412968.61,505.64,BLD_038,Deep Retrofit
window_replacement,62250.11,48354.82,1.29,35,1630168.42,26.19,BLD_038,Deep Retrofit
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_038,Deep Retrofit
solar_pv,17613.57,4635.15,3.8,25,98265.18,5.58,BLD_038,Deep Retrofit
wall_insulation,26408.55,38942.74,0.68,50,1920728.45,72.73,BLD_039,Minimal
roof_insulation,5211.97,38942.74,0.13,50,1941925.03,372.59,BLD_039,Minimal
wall_insulation,26408.55,80822.05,0.33,50,4014694.2,152.02,BLD_039,Standard
roof_insulation,5211.97,80822.05,0.06,50,4035890.78,774.35,BLD_039,Standard
window_replacement,101025.83,80822.05,1.25,35,2727746.09,27.0,BLD_039,Standard
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_039,Standard
wall_insulation,26408.55,101543.57,0.26,50,5050769.95,191.26,BLD_039,Deep Retrofit
roof_insulation,5211.97,101543.57,0.05,50,5071966.53,973.14,BLD_039,Deep Retrofit
window_replacement,101025.83,101543.57,0.99,35,3452999.12,34.18,BLD_039,Deep Retrofit
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_039,Deep Retrofit
solar_pv,19236.93,5062.35,3.8,25,107321.82,5.58,BLD_039,Deep Retrofit
window_replacement,17452.28,8438.28,2.07,35,277887.43,15.92,BLD_040,Minimal
window_replacement,17452.28,19082.42,0.91,35,650432.51,37.27,BLD_040,Standard
solar_pv,83356.51,21935.92,3.8,25,465041.49,5.58,BLD_040,Standard
window_replacement,17452.28,20951.79,0.83,35,715860.28,41.02,BLD_040,Deep Retrofit
solar_pv,83356.51,21935.92,3.8,25,465041.49,5.58,BLD_040,Deep Retrofit
window_replacement,8950.54,1048.42,8.54,35,27744.07,3.1,BLD_041,Minimal
window_replacement,8950.54,2370.91,3.78,35,74031.14,8.27,BLD_041,Standard
solar_pv,5947.95,1565.25,3.8,25,33183.3,5.58,BLD_041,Standard
window_replacement,8950.54,2370.91,3.78,35,74031.14,8.27,BLD_041,Deep Retrofit
solar_pv,5947.95,1565.25,3.8,25,33183.3,5.58,BLD_041,Deep Retrofit
window_replacement,16463.5,19907.17,0.83,35,680287.28,41.32,BLD_042,Minimal
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_042,Minimal
window_replacement,16463.5,26869.06,0.61,35,923953.6,56.12,BLD_042,Standard
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_042,Standard
solar_pv,69277.8,18231.0,3.8,25,386497.2,5.58,BLD_042,Standard
window_replacement,16463.5,29757.06,0.55,35,1025033.43,62.26,BLD_042,Deep Retrofit
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_042,Deep Retrofit
solar_pv,69277.8,18231.0,3.8,25,386497.2,5.58,BLD_042,Deep Retrofit
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_043,Minimal
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_043,Standard
solar_pv,24382.89,6416.55,3.8,25,136030.86,5.58,BLD_043,Standard
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_043,Deep Retrofit
solar_pv,24382.89,6416.55,3.8,25,136030.86,5.58,BLD_043,Deep Retrofit
window_replacement,17261.75,31779.84,0.54,35,1095032.56,63.44,BLD_044,Minimal
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_044,Minimal
window_replacement,17261.75,42893.82,0.4,35,1484021.95,85.97,BLD_044,Standard
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_044,Standard
solar_pv,46978.54,12362.77,3.8,25,262090.71,5.58,BLD_044,Standard
window_replacement,17261.75,47504.22,0.36,35,1645385.95,95.32,BLD_044,Deep Retrofit
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_044,Deep Retrofit
solar_pv,46978.54,12362.77,3.8,25,262090.71,5.58,BLD_044,Deep Retrofit
wall_insulation,3082.98,8540.41,0.36,50,423937.27,137.51,BLD_045,Minimal
roof_insulation,6540.79,8540.41,0.77,50,420479.46,64.29,BLD_045,Minimal
wall_insulation,3082.98,17724.82,0.17,50,883158.14,286.46,BLD_045,Standard
roof_insulation,6540.79,17724.82,0.37,50,879700.33,134.49,BLD_045,Standard
window_replacement,6972.06,17724.82,0.39,35,613396.73,87.98,BLD_045,Standard
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_045,Standard
wall_insulation,3082.98,21696.71,0.14,50,1081752.52,350.88,BLD_045,Deep Retrofit
roof_insulation,6540.79,21696.71,0.3,50,1078294.71,164.86,BLD_045,Deep Retrofit
window_replacement,6972.06,21696.71,0.32,35,752412.79,107.92,BLD_045,Deep Retrofit
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_045,Deep Retrofit
solar_pv,24141.5,6353.03,3.8,25,134684.25,5.58,BLD_045,Deep Retrofit
roof_insulation,659.51,689.11,0.96,50,33795.74,51.24,BLD_046,Minimal
window_replacement,4863.56,689.11,7.06,35,19255.11,3.96,BLD_046,Minimal
roof_insulation,659.51,1532.71,0.43,50,75975.87,115.2,BLD_046,Standard
window_replacement,4863.56,1532.71,3.17,35,48781.2,10.03,BLD_046,Standard
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_046,Standard
roof_insulation,659.51,1653.7,0.4,50,82025.49,124.37,BLD_046,Deep Retrofit
window_replacement,4863.56,1653.7,2.94,35,53015.94,10.9,BLD_046,Deep Retrofit
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_046,Deep Retrofit
window_replacement,42783.24,5280.0,8.1,35,142016.67,3.32,BLD_047,Minimal
window_replacement,42783.24,11940.25,3.58,35,375125.42,8.77,BLD_047,Standard
solar_pv,13314.92,3503.93,3.8,25,74283.33,5.58,BLD_047,Standard
window_replacement,42783.24,13109.95,3.26,35,416064.92,9.72,BLD_047,Deep Retrofit
solar_pv,13314.92,3503.93,3.8,25,74283.33,5.58,BLD_047,Deep Retrofit
wall_insulation,10961.74,20987.88,0.52,50,1038432.14,94.73,BLD_048,Minimal
roof_insulation,7273.89,20987.88,0.35,50,1042119.98,143.27,BLD_048,Minimal
wall_insulation,10961.74,43558.4,0.25,50,2166958.13,197.68,BLD_048,Standard
roof_insulation,7273.89,43558.4,0.17,50,2170645.98,298.42,BLD_048,Standard
window_replacement,54642.34,43558.4,1.25,35,1469901.57,26.9,BLD_048,Standard
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_048,Standard
wall_insulation,10961.74,54726.09,0.2,50,2725342.88,248.62,BLD_048,Deep Retrofit
roof_insulation,7273.89,54726.09,0.13,50,2729030.73,375.18,BLD_048,Deep Retrofit
window_replacement,54642.34,54726.09,1.0,35,1860770.9,34.05,BLD_048,Deep Retrofit
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_048,Deep Retrofit
solar_pv,26847.28,7065.07,3.8,25,149779.47,5.58,BLD_048,Deep Retrofit
wall_insulation,12430.95,17074.09,0.73,50,841273.68,67.68,BLD_049,Minimal
roof_insulation,2936.39,17074.09,0.17,50,850768.23,289.73,BLD_049,Minimal
wall_insulation,12430.95,35435.7,0.35,50,1759354.05,141.53,BLD_049,Standard
roof_insulation,2936.39,35435.7,0.08,50,1768848.61,602.39,BLD_049,Standard
window_replacement,55898.41,35435.7,1.58,35,1184351.09,21.19,BLD_049,Standard
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_049,Standard
wall_insulation,12430.95,44520.86,0.28,50,2213612.05,178.07,BLD_049,Deep Retrofit
roof_insulation,2936.39,44520.86,0.07,50,2223106.61,757.09,BLD_049,Deep Retrofit
window_replacement,55898.41,44520.86,1.26,35,1502331.69,26.88,BLD_049,Deep Retrofit
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_049,Deep Retrofit
solar_pv,10837.98,2852.1,3.8,25,60464.52,5.58,BLD_049,Deep Retrofit
wall_insulation,6648.42,9602.17,0.69,50,473460.08,71.21,BLD_050,Minimal
roof_insulation,6172.63,9602.17,0.64,50,473935.87,76.78,BLD_050,Minimal
wall_insulation,6648.42,19928.42,0.33,50,989772.33,148.87,BLD_050,Standard
roof_insulation,6172.63,19928.42,0.31,50,990248.12,160.43,BLD_050,Standard
window_replacement,22039.52,19928.42,1.11,35,675455.01,30.65,BLD_050,Standard
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_050,Standard
wall_insulation,6648.42,25037.75,0.27,50,1245239.08,187.3,BLD_050,Deep Retrofit
roof_insulation,6172.63,25037.75,0.25,50,1245714.87,201.81,BLD_050,Deep Retrofit
window_replacement,22039.52,25037.75,0.88,35,854281.73,38.76,BLD_050,Deep Retrofit
hvac_upgrade_heat_pump,1350.0,1700.0,0.79,20,32650.0,24.19,BLD_050,Deep Retrofit
solar_pv,22782.61,5995.43,3.8,25,127103.14,5.58,BLD_050,Deep Retrofit
