building_id,timestamp,building_type,total_floor_area_m2,num_floors,building_age_years,epc_rating,envelope_avg_u_value,window_wall_ratio,outdoor_temperature,outdoor_humidity,solar_radiation,indoor_temperature,indoor_humidity,co2_level,occupancy_ratio,total_energy_consumption_kwh,day_of_week,month,day_of_year
BLD_016,2023-08-28 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,22.68,53.22,919.92,20.14,37.12,452.84,0.702,95.308,0,8,240
BLD_016,2023-08-29 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,24.29,56.29,793.33,21.2,43.65,456.48,0.804,114.661,1,8,241
BLD_016,2023-08-30 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,25.22,49.93,675.62,21.71,47.35,439.44,0.939,121.17,2,8,242
BLD_016,2023-08-31 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,21.6,63.84,795.8,21.42,45.42,467.72,0.713,85.412,3,8,243
BLD_016,2023-09-01 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,22.53,56.24,946.96,21.76,44.15,398.0,0.67,84.564,4,9,244
BLD_016,2023-09-02 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,23.49,62.9,731.9,21.55,46.52,384.21,0.036,92.638,5,9,245
BLD_016,2023-09-03 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,20.52,65.95,799.38,20.82,43.46,369.13,0.042,67.766,6,9,246
BLD_016,2023-09-04 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,23.55,55.98,769.57,21.22,46.9,444.28,0.603,95.394,0,9,247
BLD_016,2023-09-05 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,21.09,66.15,737.24,21.39,54.26,456.18,0.989,77.013,1,9,248
BLD_016,2023-09-06 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,24.37,56.49,765.46,21.26,39.02,419.05,0.626,101.783,2,9,249
BLD_016,2023-09-07 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,23.72,60.81,859.05,21.1,43.68,440.03,0.691,107.236,3,9,250
BLD_016,2023-09-08 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,19.57,55.22,695.14,20.81,34.83,430.05,0.647,98.191,4,9,251
BLD_016,2023-09-09 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,19.14,62.23,919.89,20.93,52.14,415.61,0.002,72.181,5,9,252
BLD_016,2023-09-10 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,19.82,55.51,916.97,20.91,42.5,388.64,0.018,74.853,6,9,253
BLD_016,2023-09-11 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,23.71,62.97,879.03,19.82,43.51,451.21,0.945,107.169,0,9,254
BLD_016,2023-09-12 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,20.22,62.4,829.58,21.83,43.45,460.45,1.0,90.919,1,9,255
BLD_016,2023-09-13 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,21.51,53.49,932.47,20.82,36.37,429.45,0.684,82.631,2,9,256
BLD_016,2023-09-14 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,21.42,55.75,879.64,20.82,43.17,456.5,0.899,85.622,3,9,257
BLD_016,2023-09-15 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,18.83,61.93,930.54,21.49,50.2,422.79,0.935,103.218,4,9,258
BLD_016,2023-09-16 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,22.8,54.85,667.96,21.71,42.43,409.23,0.063,81.523,5,9,259
BLD_016,2023-09-17 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,21.23,54.95,668.21,20.25,50.15,382.11,0.045,61.145,6,9,260
BLD_016,2023-09-18 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,19.48,57.11,702.29,20.81,38.63,435.93,0.842,89.73,0,9,261
BLD_016,2023-09-19 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,17.44,73.08,716.21,21.19,47.34,439.63,0.912,120.163,1,9,262
BLD_016,2023-09-20 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,18.17,63.63,831.12,21.33,52.24,447.83,0.99,104.267,2,9,263
BLD_016,2023-09-21 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,20.88,51.94,742.74,21.23,42.88,408.69,0.649,75.604,3,9,264
BLD_016,2023-09-22 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,17.94,69.66,696.41,19.73,48.79,444.05,0.891,109.631,4,9,265
BLD_016,2023-09-23 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,19.99,60.15,948.63,21.05,49.18,393.85,0.066,75.686,5,9,266
BLD_016,2023-09-24 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,18.9,62.14,811.07,21.39,43.15,409.56,0.005,79.31,6,9,267
BLD_016,2023-09-25 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,20.45,61.02,660.74,20.64,42.76,443.59,0.649,82.726,0,9,268
BLD_016,2023-09-26 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,18.8,74.84,917.64,21.14,48.92,439.33,0.981,94.471,1,9,269
BLD_016,2023-09-27 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,18.4,63.77,738.48,21.66,48.43,440.08,0.969,103.463,2,9,270
BLD_016,2023-09-28 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,19.44,56.66,690.79,20.82,43.58,418.14,0.98,101.781,3,9,271
BLD_016,2023-09-29 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,19.06,62.95,678.28,21.76,44.25,429.39,0.602,99.392,4,9,272
BLD_016,2023-09-30 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,19.74,62.18,876.85,21.02,43.54,416.41,0.041,72.649,5,9,273
BLD_016,2023-10-01 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,16.45,61.44,883.37,21.21,46.36,427.55,0.054,106.963,6,10,274
BLD_016,2023-10-02 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,19.53,67.06,712.35,21.15,41.71,440.48,0.684,89.108,0,10,275
BLD_016,2023-10-03 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,20.56,64.13,807.66,20.85,45.8,440.44,0.69,80.687,1,10,276
BLD_016,2023-10-04 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,19.39,59.57,732.62,21.22,40.48,469.38,0.838,99.641,2,10,277
BLD_016,2023-10-05 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,16.43,68.47,933.68,20.0,43.52,428.37,0.818,134.672,3,10,278
BLD_016,2023-10-06 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,17.55,63.79,857.2,20.67,49.43,407.49,0.901,113.365,4,10,279
BLD_016,2023-10-07 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,18.79,66.86,905.74,20.43,43.58,387.7,0.066,90.9,5,10,280
BLD_016,2023-10-08 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,16.36,66.42,763.22,20.95,42.63,379.8,0.014,103.904,6,10,281
BLD_016,2023-10-09 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,17.52,78.15,789.98,21.07,42.04,387.28,0.643,110.598,0,10,282
BLD_016,2023-10-10 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,14.23,75.89,708.63,20.4,51.42,423.17,0.976,148.39,1,10,283
BLD_016,2023-10-11 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,14.16,72.02,878.11,20.15,44.52,391.13,0.754,149.431,2,10,284
BLD_016,2023-10-12 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,17.55,64.75,711.32,21.07,47.62,455.53,0.64,116.882,3,10,285
BLD_016,2023-10-13 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,16.69,65.94,807.09,20.19,44.23,418.22,0.601,111.573,4,10,286
BLD_016,2023-10-14 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,16.72,68.46,698.13,20.47,49.44,419.54,0.093,110.863,5,10,287
BLD_016,2023-10-15 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,14.93,59.12,796.56,20.56,42.44,391.44,0.005,129.264,6,10,288
BLD_016,2023-10-16 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,13.72,75.28,865.1,20.72,40.28,431.27,0.853,149.008,0,10,289
BLD_016,2023-10-17 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,12.13,71.94,857.93,20.08,40.26,408.07,0.728,160.056,1,10,290
BLD_016,2023-10-18 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,12.15,72.03,804.58,20.86,40.86,398.25,0.652,154.923,2,10,291
BLD_016,2023-10-19 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,13.06,83.73,930.08,20.96,47.22,423.36,0.872,153.652,3,10,292
BLD_016,2023-10-20 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,14.76,70.0,653.48,20.97,43.65,404.79,0.692,142.754,4,10,293
BLD_016,2023-10-21 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,11.85,72.93,833.46,20.57,53.28,394.92,0.068,156.982,5,10,294
BLD_016,2023-10-22 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,13.79,64.99,830.76,20.71,51.95,403.67,0.081,142.48,6,10,295
BLD_016,2023-10-23 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,14.64,71.05,740.85,21.15,48.31,427.8,0.637,127.53,0,10,296
BLD_016,2023-10-24 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,15.62,69.9,661.06,21.12,41.35,432.37,0.721,141.967,1,10,297
BLD_016,2023-10-25 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,11.5,71.3,751.27,20.45,42.54,444.84,0.945,185.392,2,10,298
BLD_016,2023-10-26 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,12.6,70.03,672.4,20.35,53.11,400.67,0.672,150.487,3,10,299
BLD_016,2023-10-27 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,12.71,72.59,640.4,20.07,48.45,427.33,0.879,158.579,4,10,300
BLD_016,2023-10-28 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,14.76,66.05,718.47,20.52,44.0,406.52,0.045,114.783,5,10,301
BLD_016,2023-10-29 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,15.41,74.08,878.96,19.86,33.66,418.14,0.068,117.295,6,10,302
BLD_016,2023-10-30 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,18.12,65.01,821.56,20.96,51.11,415.61,0.779,101.531,0,10,303
BLD_016,2023-10-31 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,17.14,69.34,950.46,21.05,43.41,434.08,0.764,114.315,1,10,304
BLD_016,2023-11-01 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,18.21,74.4,840.0,20.16,47.0,433.86,0.649,91.193,2,11,305
BLD_016,2023-11-02 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,9.74,89.16,900.98,20.35,41.69,402.69,0.609,187.137,3,11,306
BLD_016,2023-11-03 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,14.78,71.31,802.89,20.28,44.06,432.51,0.758,143.215,4,11,307
BLD_016,2023-11-04 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,13.48,77.87,955.38,21.02,46.95,422.14,0.001,140.064,5,11,308
BLD_016,2023-11-05 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,12.16,79.63,680.19,19.85,44.69,416.95,0.058,148.529,6,11,309
BLD_016,2023-11-06 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,12.4,76.63,893.17,20.39,49.38,440.07,0.608,152.756,0,11,310
BLD_016,2023-11-07 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,13.86,65.77,842.51,20.5,48.54,422.24,0.868,150.165,1,11,311
BLD_016,2023-11-08 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,13.89,61.13,888.71,20.7,53.74,454.35,0.685,150.319,2,11,312
BLD_016,2023-11-09 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,13.63,73.72,780.76,20.55,43.36,434.15,0.725,138.676,3,11,313
BLD_016,2023-11-10 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,10.27,79.43,761.49,20.36,46.46,432.48,0.653,191.859,4,11,314
BLD_016,2023-11-11 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,10.19,76.9,727.42,20.52,39.28,422.22,0.029,181.583,5,11,315
BLD_016,2023-11-12 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,10.01,74.68,906.04,19.87,39.28,411.26,0.082,163.785,6,11,316
BLD_016,2023-11-13 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,11.11,78.59,661.75,19.93,43.42,393.15,0.792,186.169,0,11,317
BLD_016,2023-11-14 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,9.17,82.81,864.09,19.28,41.69,417.34,0.674,201.718,1,11,318
BLD_016,2023-11-15 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,11.97,72.88,826.17,19.44,50.14,411.5,0.653,164.575,2,11,319
BLD_016,2023-11-16 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,10.7,81.38,703.49,20.31,38.85,465.54,0.955,184.092,3,11,320
BLD_016,2023-11-17 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,10.44,74.94,838.57,19.85,51.61,458.67,0.709,176.704,4,11,321
BLD_016,2023-11-18 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,10.86,70.55,844.56,20.27,51.37,393.74,0.091,177.334,5,11,322
BLD_016,2023-11-19 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,12.35,71.54,737.3,20.72,43.62,402.94,0.012,156.872,6,11,323
BLD_016,2023-11-20 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,8.95,77.8,723.41,20.53,44.61,410.5,0.751,211.375,0,11,324
BLD_016,2023-11-21 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,11.34,76.58,812.98,19.74,42.91,411.61,0.67,172.14,1,11,325
BLD_016,2023-11-22 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,11.7,79.31,643.34,20.19,43.65,439.06,0.942,177.086,2,11,326
BLD_016,2023-11-23 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,13.46,79.94,715.28,20.35,48.53,415.92,0.602,166.895,3,11,327
BLD_016,2023-11-24 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,10.44,70.78,798.77,20.22,38.12,421.75,0.935,195.45,4,11,328
BLD_016,2023-11-25 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,12.38,76.15,650.36,20.76,44.84,420.42,0.079,144.344,5,11,329
BLD_016,2023-11-26 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,12.1,77.29,701.53,19.71,45.55,370.51,0.052,143.071,6,11,330
BLD_016,2023-11-27 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,8.04,83.92,794.85,19.75,40.15,448.21,0.885,216.34,0,11,331
BLD_016,2023-11-28 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,12.46,72.05,876.94,20.2,45.63,420.06,0.95,159.682,1,11,332
BLD_016,2023-11-29 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,10.25,77.72,757.17,20.79,46.19,405.96,0.628,171.164,2,11,333
BLD_016,2023-11-30 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,11.03,76.23,886.85,20.47,50.73,449.09,0.874,187.203,3,11,334
BLD_016,2023-12-01 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,9.81,82.04,811.13,19.77,44.12,448.49,0.81,191.179,4,12,335
BLD_016,2023-12-02 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,13.82,76.9,835.92,20.91,50.13,390.07,0.062,133.683,5,12,336
BLD_016,2023-12-03 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,7.93,70.07,796.46,20.42,49.98,389.47,0.08,188.973,6,12,337
BLD_016,2023-12-04 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,13.06,78.02,786.96,20.23,45.19,418.12,0.69,150.92,0,12,338
BLD_016,2023-12-05 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,12.07,65.65,853.26,20.95,39.88,445.56,0.663,155.487,1,12,339
BLD_016,2023-12-06 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,11.49,80.38,663.6,19.8,42.35,420.26,0.81,154.694,2,12,340
BLD_016,2023-12-07 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,11.97,73.24,657.72,20.17,39.04,436.29,0.777,175.733,3,12,341
BLD_016,2023-12-08 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,12.81,65.68,839.94,20.59,57.44,412.06,0.668,167.244,4,12,342
BLD_016,2023-12-09 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,12.24,79.53,762.4,19.85,56.82,431.89,0.01,160.693,5,12,343
BLD_016,2023-12-10 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,6.96,79.96,870.41,20.23,38.55,431.72,0.004,177.18,6,12,344
BLD_016,2023-12-11 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,10.09,75.95,825.49,19.95,52.07,436.58,0.672,190.443,0,12,345
BLD_016,2023-12-12 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,8.39,74.28,934.63,19.78,36.89,405.53,0.728,198.759,1,12,346
BLD_016,2023-12-13 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,7.66,78.57,648.32,20.45,48.84,425.79,0.781,235.912,2,12,347
BLD_016,2023-12-14 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,11.42,75.09,715.82,20.76,54.43,421.77,0.778,174.281,3,12,348
BLD_016,2023-12-15 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,8.28,80.19,828.42,20.08,45.64,416.33,0.674,191.574,4,12,349
BLD_016,2023-12-16 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,9.77,78.94,927.85,20.19,43.23,433.39,0.056,184.103,5,12,350
BLD_016,2023-12-17 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,8.04,83.5,743.93,19.48,41.32,388.91,0.029,192.675,6,12,351
BLD_016,2023-12-18 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,9.82,80.36,684.17,20.26,40.25,418.79,0.808,200.327,0,12,352
BLD_016,2023-12-19 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,11.44,75.39,717.23,19.98,48.35,387.72,0.625,165.868,1,12,353
BLD_016,2023-12-20 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,13.06,74.22,651.68,20.03,47.92,429.55,0.777,161.21,2,12,354
BLD_016,2023-12-21 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,10.84,83.87,881.41,20.1,50.63,436.04,0.818,178.472,3,12,355
BLD_016,2023-12-22 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,7.32,87.17,759.33,20.9,41.35,427.8,0.931,213.942,4,12,356
BLD_016,2023-12-23 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,6.81,78.77,926.88,20.11,42.05,401.79,0.034,211.565,5,12,357
BLD_016,2023-12-24 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,11.28,81.93,848.52,20.5,45.3,414.82,0.044,161.739,6,12,358
BLD_016,2023-12-25 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,10.89,79.93,886.77,20.12,49.46,428.0,0.674,178.109,0,12,359
BLD_016,2023-12-26 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,7.77,79.57,759.84,20.29,48.32,383.89,0.835,203.719,1,12,360
BLD_016,2023-12-27 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,10.92,75.67,677.87,20.19,54.04,449.57,0.76,171.49,2,12,361
BLD_016,2023-12-28 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,11.17,74.73,953.66,19.77,54.11,448.12,0.73,160.683,3,12,362
BLD_016,2023-12-29 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,9.58,72.2,815.82,20.41,49.34,419.87,0.876,194.029,4,12,363
BLD_016,2023-12-30 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,5.34,79.42,642.53,20.65,47.3,374.82,0.035,213.046,5,12,364
BLD_016,2023-12-31 12:00:00,commercial,3318.7,3,13,A,0.544,0.43,10.99,80.29,896.14,20.31,44.23,421.99,0.016,162.294,6,12,365
BLD_017,2023-01-01 12:00:00,educational,2509.21,5,33,D,0.735,0.431,9.02,82.21,928.09,19.97,51.25,420.45,0.05,93.296,6,1,1
BLD_017,2023-01-02 12:00:00,educational,2509.21,5,33,D,0.735,0.431,10.41,77.01,896.64,20.54,48.02,397.2,0.949,78.018,0,1,2
BLD_017,2023-01-03 12:00:00,educational,2509.21,5,33,D,0.735,0.431,8.36,84.55,872.76,19.74,50.56,442.37,0.795,87.322,1,1,3
BLD_017,2023-01-04 12:00:00,educational,2509.21,5,33,D,0.735,0.431,6.23,83.92,698.02,20.61,40.5,449.34,0.652,108.718,2,1,4
BLD_017,2023-01-05 12:00:00,educational,2509.21,5,33,D,0.735,0.431,10.67,75.92,699.83,20.54,42.75,420.76,0.672,77.13,3,1,5
BLD_017,2023-01-06 12:00:00,educational,2509.21,5,33,D,0.735,0.431,8.25,74.33,692.34,21.0,43.53,452.18,0.845,95.938,4,1,6
BLD_017,2023-01-07 12:00:00,educational,2509.21,5,33,D,0.735,0.431,9.03,77.35,825.04,19.75,45.53,411.08,0.079,83.63,5,1,7
BLD_017,2023-01-08 12:00:00,educational,2509.21,5,33,D,0.735,0.431,8.85,74.58,676.58,20.54,45.61,390.19,0.01,85.797,6,1,8
BLD_017,2023-01-09 12:00:00,educational,2509.21,5,33,D,0.735,0.431,9.07,83.74,801.19,20.04,60.29,435.69,0.637,82.114,0,1,9
BLD_017,2023-01-10 12:00:00,educational,2509.21,5,33,D,0.735,0.431,6.18,89.33,910.17,20.47,38.45,403.2,0.782,105.274,1,1,10
BLD_017,2023-01-11 12:00:00,educational,2509.21,5,33,D,0.735,0.431,9.4,76.68,665.77,20.71,44.66,447.36,0.935,89.667,2,1,11
BLD_017,2023-01-12 12:00:00,educational,2509.21,5,33,D,0.735,0.431,9.07,81.39,907.87,21.69,51.87,437.13,0.875,90.713,3,1,12
BLD_017,2023-01-13 12:00:00,educational,2509.21,5,33,D,0.735,0.431,12.1,73.97,839.63,21.0,49.55,380.09,0.662,66.724,4,1,13
BLD_017,2023-01-14 12:00:00,educational,2509.21,5,33,D,0.735,0.431,12.92,78.95,828.31,20.78,50.4,409.31,0.061,64.989,5,1,14
BLD_017,2023-01-15 12:00:00,educational,2509.21,5,33,D,0.735,0.431,14.18,68.28,905.69,20.54,32.49,410.34,0.059,51.435,6,1,15
BLD_017,2023-01-16 12:00:00,educational,2509.21,5,33,D,0.735,0.431,11.38,71.26,766.26,21.42,41.26,436.74,0.959,81.434,0,1,16
BLD_017,2023-01-17 12:00:00,educational,2509.21,5,33,D,0.735,0.431,14.13,63.36,728.1,21.18,48.97,422.5,0.897,60.804,1,1,17
BLD_017,2023-01-18 12:00:00,educational,2509.21,5,33,D,0.735,0.431,11.52,81.66,708.0,19.97,45.41,435.8,0.72,75.894,2,1,18
BLD_017,2023-01-19 12:00:00,educational,2509.21,5,33,D,0.735,0.431,13.21,74.81,669.5,20.14,50.23,397.93,0.797,56.323,3,1,19
BLD_017,2023-01-20 12:00:00,educational,2509.21,5,33,D,0.735,0.431,9.54,93.42,956.65,20.15,52.32,404.21,0.668,82.512,4,1,20
BLD_017,2023-01-21 12:00:00,educational,2509.21,5,33,D,0.735,0.431,9.19,76.33,741.44,20.81,41.54,383.72,0.085,90.985,5,1,21
BLD_017,2023-01-22 12:00:00,educational,2509.21,5,33,D,0.735,0.431,9.03,72.13,865.95,19.07,46.07,382.93,0.012,91.346,6,1,22
BLD_017,2023-01-23 12:00:00,educational,2509.21,5,33,D,0.735,0.431,15.29,73.14,747.2,20.15,45.0,416.63,0.619,48.047,0,1,23
BLD_017,2023-01-24 12:00:00,educational,2509.21,5,33,D,0.735,0.431,11.11,82.2,760.41,20.02,41.2,435.51,0.967,82.708,1,1,24
BLD_017,2023-01-25 12:00:00,educational,2509.21,5,33,D,0.735,0.431,12.75,68.89,841.79,20.3,33.01,405.76,0.835,73.192,2,1,25
BLD_017,2023-01-26 12:00:00,educational,2509.21,5,33,D,0.735,0.431,12.96,75.4,664.19,21.45,45.33,435.65,0.906,64.16,3,1,26
BLD_017,2023-01-27 12:00:00,educational,2509.21,5,33,D,0.735,0.431,9.64,77.69,714.15,20.17,46.64,459.45,0.846,91.099,4,1,27
BLD_017,2023-01-28 12:00:00,educational,2509.21,5,33,D,0.735,0.431,11.55,81.29,892.78,20.21,37.79,405.15,0.057,70.974,5,1,28
BLD_017,2023-01-29 12:00:00,educational,2509.21,5,33,D,0.735,0.431,11.17,83.1,809.03,21.16,47.56,394.95,0.008,79.155,6,1,29
BLD_017,2023-01-30 12:00:00,educational,2509.21,5,33,D,0.735,0.431,10.46,83.51,763.93,19.72,51.12,457.17,0.952,86.824,0,1,30
BLD_017,2023-01-31 12:00:00,educational,2509.21,5,33,D,0.735,0.431,13.86,71.34,730.24,20.73,38.21,452.72,0.871,60.509,1,1,31
BLD_017,2023-02-01 12:00:00,educational,2509.21,5,33,D,0.735,0.431,10.13,78.24,904.3,20.8,40.05,401.14,0.625,79.824,2,2,32
BLD_017,2023-02-02 12:00:00,educational,2509.21,5,33,D,0.735,0.431,8.32,75.03,791.1,20.44,37.89,411.98,0.89,90.687,3,2,33
BLD_017,2023-02-03 12:00:00,educational,2509.21,5,33,D,0.735,0.431,13.08,85.08,958.16,20.95,46.34,442.58,0.977,64.585,4,2,34
BLD_017,2023-02-04 12:00:00,educational,2509.21,5,33,D,0.735,0.431,12.55,74.54,821.28,20.91,40.48,390.22,0.082,62.967,5,2,35
BLD_017,2023-02-05 12:00:00,educational,2509.21,5,33,D,0.735,0.431,12.26,76.05,726.2,21.18,40.23,431.47,0.01,65.747,6,2,36
BLD_017,2023-02-06 12:00:00,educational,2509.21,5,33,D,0.735,0.431,12.91,72.48,844.37,20.72,39.81,428.09,0.814,70.93,0,2,37
BLD_017,2023-02-07 12:00:00,educational,2509.21,5,33,D,0.735,0.431,14.4,73.75,870.15,20.22,37.66,423.88,0.643,54.055,1,2,38
BLD_017,2023-02-08 12:00:00,educational,2509.21,5,33,D,0.735,0.431,13.71,70.68,949.61,19.97,35.3,454.28,0.89,62.408,2,2,39
BLD_017,2023-02-09 12:00:00,educational,2509.21,5,33,D,0.735,0.431,14.47,69.94,669.71,20.96,39.77,393.43,0.965,58.114,3,2,40
BLD_017,2023-02-10 12:00:00,educational,2509.21,5,33,D,0.735,0.431,12.64,74.55,790.79,20.47,45.27,423.54,0.941,66.716,4,2,41
BLD_017,2023-02-11 12:00:00,educational,2509.21,5,33,D,0.735,0.431,11.7,76.89,937.83,20.14,44.11,410.97,0.066,71.695,5,2,42
BLD_017,2023-02-12 12:00:00,educational,2509.21,5,33,D,0.735,0.431,15.62,54.28,910.8,20.47,44.94,364.15,0.012,46.568,6,2,43
BLD_017,2023-02-13 12:00:00,educational,2509.21,5,33,D,0.735,0.431,13.19,64.75,909.18,21.47,49.06,454.08,0.744,66.573,0,2,44
BLD_017,2023-02-14 12:00:00,educational,2509.21,5,33,D,0.735,0.431,13.86,73.15,765.65,21.08,49.24,432.83,0.838,59.717,1,2,45
BLD_017,2023-02-15 12:00:00,educational,2509.21,5,33,D,0.735,0.431,11.5,73.13,924.65,19.96,39.17,423.34,0.924,77.206,2,2,46
BLD_017,2023-02-16 12:00:00,educational,2509.21,5,33,D,0.735,0.431,15.67,65.35,898.16,20.38,51.01,452.95,0.991,48.66,3,2,47
