sample_id,interface,interface_condition,temperature_C,pO2_atm,log10_pO2,eta,beta33_over_beta11,Gc_bulk_Jm2,Gamma_i_Jm2,Gc_int_Jm2,sigma_max_MPa,characteristic_length_um,beta_pen_GPam,l0_nm,regulated_length_um,LSCF_delta,GDC_delta,newton_tol,mesh_h_nm,degradation_residual
134,GDC/LSCF,with_sr_segregation,714.04,2.840e-06,-5.5466,2.1,1.6625,7.2641,0.513,0.4696,,0.2332,108.2673,15.0137,0.5,0.021595,0.003674,1e-06,5.9206,1e-06
135,GDC/LSCF,baseline,796.24,4.788e-09,-8.3198,2.1,1.7,4.7029,1.2995,1.2289,,0.1869,3339.8601,15.1066,0.5,0.029571,0.007315,3e-08,6.4152,1e-06
136,YSZ/GDC,baseline,867.68,3.458e-05,-4.4611,2.1,1.7673,8.7887,2.1752,2.1577,193.501,,427.0224,11.5652,0.5,0.030861,0.006354,1e-06,3.2308,1e-06
137,YSZ/GDC,with_interdiffusion,670.18,7.744e-18,-17.111,2.1,1.7941,5.5508,2.7284,3.189,234.11,,250.4021,13.8361,0.5,0.029079,0.011124,3e-07,3.6372,1e-06
138,YSZ/GDC,with_interdiffusion,690.2,1.285e-01,-0.8911,2.1,1.8621,9.5918,3.2,2.7837,187.45,,243.0943,8.9789,0.5,0.015815,0.002804,1e-07,4.0588,1e-06
139,YSZ/GDC,with_interdiffusion,845.8,2.542e-12,-11.5949,2.1,1.7718,4.5762,2.7191,2.8983,235.722,,8906.2982,18.9938,0.5,0.035822,0.010664,1e-06,5.7916,1e-06
140,YSZ/GDC,with_interdiffusion,815.75,1.605e-02,-1.7946,2.1,1.6334,5.0845,3.2,3.1171,186.433,,468.0889,11.672,0.5,0.024998,0.005315,3e-08,3.7415,1e-06
141,GDC/LSCF,with_sr_segregation,761.39,1.544e-17,-16.8112,2.1,1.8721,1.6697,0.6331,0.6088,,0.1814,129.8524,6.402,0.5,0.03489,0.012732,1e-08,2.4699,1e-06
142,YSZ/GDC,baseline,611.91,3.846e-11,-10.415,2.1,1.8691,1.7527,2.0776,2.3263,216.087,,3787.5987,14.2734,0.5,0.019167,0.005137,1e-07,6.0425,1e-06
143,YSZ/GDC,with_interdiffusion,836.79,9.270e-16,-15.0329,2.1,1.7437,8.7035,2.3325,2.8828,233.942,,250.9815,14.0359,0.5,0.038316,0.012959,3e-08,6.6649,1e-06
144,YSZ/GDC,with_interdiffusion,808.5,3.755e-06,-5.4254,2.1,1.7576,4.8651,2.9141,2.7773,225.507,,9812.1042,19.8542,0.5,0.027783,0.005476,3e-08,5.274,1e-06
145,GDC/LSCF,with_sr_segregation,881.48,1.134e-18,-17.9453,2.1,1.8849,7.654,0.703,0.6223,,0.2258,3710.6652,17.0424,0.5,0.043916,0.01595,3e-07,4.4853,1e-06
146,GDC/LSCF,with_sr_segregation,652.39,2.346e-16,-15.6297,2.1,1.8843,8.5493,0.5143,0.5482,,0.2684,2597.5983,10.422,0.5,0.02656,0.009701,1e-06,3.6928,1e-06
147,GDC/LSCF,with_sr_segregation,669.42,1.621e-10,-9.7903,2.1,1.8828,9.0195,0.2,0.21,,0.1868,192.327,10.6517,0.5,0.022439,0.005837,3e-08,4.4827,1e-06
148,YSZ/GDC,baseline,831.84,5.841e-16,-15.2335,2.1,1.5563,7.0571,1.8906,2.095,240.804,,110.5662,9.7556,0.5,0.038166,0.013005,1e-06,2.4676,1e-06
149,GDC/LSCF,baseline,781.19,1.335e-14,-13.8745,2.1,1.7456,6.8901,1.292,1.2259,,0.2639,1938.5707,11.553,0.5,0.033566,0.011013,1e-07,3.9233,1e-06
150,GDC/LSCF,with_sr_segregation,716.75,5.906e-15,-14.2287,2.1,1.6308,4.5718,0.2635,0.3715,,0.2824,1491.331,10.5828,0.5,0.029589,0.00998,1e-08,5.0349,1e-06
151,YSZ/GDC,with_interdiffusion,632.88,6.023e-05,-4.2202,2.1,1.9177,2.9831,3.2,2.9492,211.567,,2294.1235,5.8753,0.5,0.01499,0.001658,1e-06,2.8857,1e-06
152,GDC/LSCF,baseline,784.96,2.222e-15,-14.6533,2.1,1.6389,3.4921,0.8576,1.0158,,0.305,181.929,6.7829,0.5,0.034519,0.01165,1e-07,2.5111,1e-06
153,YSZ/GDC,with_interdiffusion,784.28,3.234e-20,-19.4902,2.1,1.7047,6.9137,3.2,2.7472,195.762,,593.2238,14.7507,0.5,0.038827,0.015119,3e-08,3.8064,1e-06
154,GDC/LSCF,with_sr_segregation,772.7,2.730e-16,-15.5639,2.1,1.8111,7.5245,0.4507,0.3853,,0.278,124.3454,8.3183,0.5,0.034521,0.01206,3e-07,2.8915,1e-06
155,GDC/LSCF,baseline,744.5,2.193e-04,-3.6589,2.1,1.8165,5.4072,0.8021,0.6204,,0.2837,1283.5445,13.0064,0.5,0.021926,0.00389,1e-08,5.4741,1e-06
156,GDC/LSCF,baseline,801.29,5.754e-13,-12.24,2.1,1.6297,2.1785,0.816,0.8712,,0.2946,3299.1886,10.6232,0.5,0.033435,0.010239,3e-08,4.6752,1e-06
157,YSZ/GDC,baseline,759.62,8.109e-12,-11.0911,2.1,1.7271,9.6785,1.6663,1.8872,189.16,,1808.1088,15.852,0.5,0.029623,0.008578,1e-08,4.2944,1e-06
158,YSZ/GDC,baseline,893.11,5.174e-01,-0.2862,2.1,1.5247,8.2712,2.3941,2.2218,210.947,,4218.4744,16.4271,0.5,0.028798,0.006862,1e-06,7.9172,1e-06
159,YSZ/GDC,with_interdiffusion,643.79,2.388e-11,-10.622,2.1,1.8646,3.9014,2.3477,3.0221,216.998,,886.6957,16.3028,0.5,0.021479,0.005924,3e-07,7.4159,1e-06
160,YSZ/GDC,baseline,768.38,4.123e-11,-10.3848,2.1,1.9601,6.3262,2.4599,2.4553,227.063,,204.2866,12.4801,0.5,0.029572,0.008245,3e-08,4.8076,1e-06
161,GDC/LSCF,with_sr_segregation,755.35,1.619e-09,-8.7907,2.1,1.6298,5.315,0.8384,0.6736,,0.244,558.2734,8.5468,0.5,0.027268,0.006836,1e-06,2.6411,1e-06
162,YSZ/GDC,baseline,703.53,6.193e-16,-15.2081,2.1,1.5623,1.7029,1.491,1.9051,223.901,,4581.1868,14.1637,0.5,0.029589,0.01042,1e-06,6.3993,1e-06
163,GDC/LSCF,baseline,819.64,2.871e-09,-8.542,2.1,1.8838,3.3903,1.3871,1.384,,0.2665,1415.8696,12.2453,0.5,0.031331,0.007943,3e-07,3.2437,1e-06
164,GDC/LSCF,baseline,849.72,2.146e-06,-5.6683,2.1,1.5739,8.2834,0.5039,0.5641,,0.2753,168.5789,6.6684,0.5,0.03075,0.006476,1e-08,1.8114,1e-06
165,GDC/LSCF,with_sr_segregation,852.06,7.403e-18,-17.1306,2.1,1.7399,3.5218,0.5398,0.7151,,0.2639,7872.0512,16.5722,0.5,0.041221,0.014775,1e-08,5.0833,1e-06
166,GDC/LSCF,baseline,856.73,1.509e-07,-6.8212,2.1,1.8301,9.3313,0.7881,0.9236,,0.3046,214.3407,14.3525,0.5,0.032254,0.007446,1e-06,6.397,1e-06
167,YSZ/GDC,with_interdiffusion,804.48,3.519e-17,-16.4535,2.1,1.8698,2.7648,2.6166,2.8893,190.011,,473.2393,18.1973,0.5,0.03744,0.013336,1e-06,5.3547,1e-06
168,YSZ/GDC,baseline,703.56,1.597e-08,-7.7968,2.1,1.6715,3.655,1.5938,1.8731,187.775,,502.7446,9.252,0.5,0.022921,0.005085,3e-08,2.5936,1e-06
169,YSZ/GDC,baseline,737.24,1.264e-14,-13.8982,2.1,1.6864,8.5817,2.1623,2.0962,209.172,,943.9981,9.201,0.5,0.030658,0.010152,3e-08,3.1024,1e-06
170,GDC/LSCF,with_sr_segregation,774.99,5.756e-17,-16.2398,2.1,1.9001,5.8103,0.402,0.4011,,0.2111,7557.3525,9.0037,0.5,0.035282,0.012592,1e-08,3.0921,1e-06
171,YSZ/GDC,with_interdiffusion,765.26,3.609e-04,-3.4426,2.1,1.6048,3.1433,2.6412,2.646,211.688,,1628.9472,5.8732,0.5,0.023116,0.004305,3e-08,2.1079,1e-06
172,GDC/LSCF,baseline,675.96,3.303e-08,-7.4811,2.1,1.8002,5.5017,1.6828,1.4717,,0.3346,7683.2368,9.9493,0.5,0.020797,0.004306,1e-07,2.5612,1e-06
173,GDC/LSCF,with_sr_segregation,861.71,3.033e-08,-7.5182,2.1,1.8294,6.8329,0.2639,0.3278,,0.2333,7937.9557,15.0987,0.5,0.033214,0.008047,3e-08,5.1501,1e-06
174,YSZ/GDC,baseline,679.42,3.081e-06,-5.5113,2.1,1.5734,1.8021,1.5654,2.1044,211.449,,5944.6705,9.768,0.5,0.019255,0.002956,1e-08,3.7644,1e-06
175,YSZ/GDC,baseline,754.7,1.173e-18,-17.9307,2.1,1.6917,3.3079,1.988,1.9529,236.604,,785.8543,15.1245,0.5,0.035451,0.013404,3e-08,5.4402,1e-06
176,GDC/LSCF,with_sr_segregation,825.97,1.216e-07,-6.9152,2.1,1.5209,2.619,0.4007,0.3164,,0.2245,538.454,10.1299,0.5,0.030288,0.006898,1e-08,4.8237,1e-06
177,YSZ/GDC,baseline,820.0,8.698e-19,-18.0606,2.1,1.7962,2.381,2.2858,1.8633,210.162,,262.5513,9.1995,0.5,0.039922,0.014804,3e-07,2.5319,1e-06
178,YSZ/GDC,with_interdiffusion,800.24,1.061e-02,-1.9744,2.1,1.5128,2.7912,2.0254,2.6281,208.254,,1228.2701,17.0556,0.5,0.024126,0.005005,1e-06,6.3976,1e-06
179,GDC/LSCF,with_sr_segregation,674.06,8.270e-13,-12.0825,2.1,1.7146,4.8397,0.6383,0.6111,,0.3397,7158.8116,14.3546,0.5,0.024811,0.007581,3e-07,4.7157,1e-06
180,YSZ/GDC,baseline,703.13,4.990e-05,-4.3019,2.1,1.7057,5.1486,2.1821,1.9866,228.94,,110.4595,18.6496,0.5,0.019747,0.003063,3e-08,4.6901,1e-06
181,GDC/LSCF,baseline,602.42,2.785e-06,-5.5551,2.1,1.9669,9.8349,1.2553,0.9666,,0.2278,6564.087,17.2971,0.5,0.014161,0.001448,1e-07,7.8408,1e-06
182,YSZ/GDC,baseline,867.62,2.224e-11,-10.6528,2.1,1.6929,8.7075,1.5923,1.8396,241.576,,519.3319,8.6614,0.5,0.036429,0.010422,1e-06,3.1062,1e-06
183,GDC/LSCF,baseline,710.88,1.235e-09,-8.9083,2.1,1.766,3.8925,0.6504,0.7935,,0.2711,1832.4728,13.0794,0.5,0.024409,0.006031,3e-08,5.8854,1e-06
184,YSZ/GDC,with_interdiffusion,635.22,2.659e-07,-6.5753,2.1,1.704,5.3131,2.8763,3.023,226.107,,767.7213,5.6017,0.5,0.017266,0.002839,1e-06,2.6563,1e-06
185,YSZ/GDC,baseline,783.65,1.092e-13,-12.9616,2.1,1.5919,5.8557,1.5273,2.1343,248.104,,506.2455,12.5775,0.5,0.032909,0.010405,1e-06,5.0726,1e-06
186,GDC/LSCF,with_sr_segregation,712.73,3.243e-10,-9.4891,2.1,1.6859,3.7742,0.5487,0.4878,,0.2354,255.8278,13.8999,0.5,0.025056,0.006487,1e-06,3.8362,1e-06
187,GDC/LSCF,with_sr_segregation,823.2,7.778e-06,-5.1091,2.1,1.6349,8.7274,0.3645,0.3033,,0.2694,8807.1,19.9403,0.5,0.028478,0.005543,3e-07,9.2328,1e-06
188,YSZ/GDC,with_interdiffusion,847.22,5.219e-07,-6.2824,2.1,1.9747,9.7246,2.1207,2.5358,233.958,,113.4854,15.3415,0.5,0.031135,0.006868,3e-08,7.2017,1e-06
189,YSZ/GDC,baseline,802.04,2.473e-19,-18.6068,2.1,1.662,9.6234,2.3764,1.9978,186.982,,2428.4036,19.5266,0.5,0.039215,0.014838,3e-07,4.9506,1e-06
190,GDC/LSCF,baseline,809.75,2.954e-14,-13.5296,2.1,1.636,3.9597,1.0543,1.1049,,0.2126,2109.9456,5.9775,0.5,0.03516,0.011336,1e-06,2.1553,1e-06
191,GDC/LSCF,baseline,602.88,6.568e-14,-13.1826,2.1,1.7652,8.3558,1.1379,1.1467,,0.2292,9062.9704,17.5182,0.5,0.021057,0.006949,1e-08,7.8585,1e-06
192,GDC/LSCF,with_sr_segregation,685.78,4.351e-05,-4.3614,2.1,1.7071,9.7514,0.8628,0.7141,,0.27,1296.1983,16.088,0.5,0.018644,0.002716,1e-07,5.0178,1e-06
193,YSZ/GDC,with_interdiffusion,672.65,1.571e-14,-13.8037,2.1,1.9242,9.0713,3.1673,3.0383,247.48,,789.4893,12.6565,0.5,0.026266,0.008792,1e-08,3.9843,1e-06
194,GDC/LSCF,with_sr_segregation,698.92,4.116e-17,-16.3855,2.1,1.6829,7.6206,0.6737,0.6222,,0.2972,750.6413,7.9352,0.5,0.030342,0.011176,3e-07,2.2423,1e-06
195,GDC/LSCF,with_sr_segregation,632.53,9.727e-15,-14.012,2.1,1.6048,6.2755,0.2,0.2229,,0.2802,236.106,12.8186,0.5,0.023779,0.008139,1e-08,3.2086,1e-06
196,YSZ/GDC,with_interdiffusion,722.19,5.106e-12,-11.292,2.1,1.7102,3.8956,3.2,2.7013,214.834,,543.5828,17.989,0.5,0.027309,0.007974,1e-06,5.5361,1e-06
197,GDC/LSCF,with_sr_segregation,804.25,1.232e-13,-12.9094,2.1,1.7592,1.9121,0.9997,0.7715,,0.288,452.2606,18.1297,0.5,0.034235,0.01078,1e-07,7.7036,1e-06
198,GDC/LSCF,baseline,887.29,3.226e-05,-4.4913,2.1,1.6946,2.9516,0.9989,1.1554,,0.2105,3908.2053,5.3123,0.5,0.032195,0.006746,3e-08,2.3343,1e-06
199,GDC/LSCF,baseline,799.5,3.854e-03,-2.4141,2.1,1.8167,1.6726,0.7649,0.9623,,0.2837,9156.5311,14.2328,0.5,0.024472,0.00499,1e-08,4.9839,1e-06
200,YSZ/GDC,with_interdiffusion,643.34,8.004e-20,-19.0967,2.1,1.6416,3.4631,3.0985,2.8375,253.198,,217.398,15.4752,0.5,0.029076,0.012016,1e-08,6.9085,1e-06
201,GDC/LSCF,baseline,779.33,5.158e-03,-2.2875,2.1,1.709,1.8097,1.5448,1.3759,,0.3014,1905.2091,11.7376,0.5,0.023014,0.004587,1e-06,5.8177,1e-06
202,GDC/LSCF,with_sr_segregation,664.96,2.016e-19,-18.6954,2.1,1.7808,5.0804,0.2,0.205,,0.1885,524.9237,11.0697,0.5,0.030157,0.01216,1e-07,3.6068,1e-06
203,GDC/LSCF,with_sr_segregation,698.89,1.076e-19,-18.9683,2.1,1.7201,4.3808,0.426,0.5165,,0.3382,106.0473,16.7039,0.5,0.032664,0.013035,1e-07,7.4989,1e-06
204,GDC/LSCF,with_sr_segregation,798.34,7.958e-03,-2.0992,2.1,1.7523,7.2168,0.9867,0.7985,,0.2752,799.7872,13.5025,0.5,0.024112,0.004967,1e-06,6.5818,1e-06
205,GDC/LSCF,with_sr_segregation,672.72,2.537e-18,-17.5957,2.1,1.7991,3.109,0.3861,0.3686,,0.2619,1331.2427,12.7844,0.5,0.029684,0.011523,1e-08,3.3156,1e-06
206,YSZ/GDC,baseline,874.17,4.542e-12,-11.3427,2.1,1.7333,1.7312,1.7563,2.048,208.326,,2511.7605,11.0582,0.5,0.037486,0.01105,1e-06,3.975,1e-06
207,YSZ/GDC,with_interdiffusion,816.79,6.839e-17,-16.165,2.1,1.7722,7.4305,3.1789,2.8145,221.554,,124.9796,19.0937,0.5,0.038001,0.013375,1e-07,6.6512,1e-06
208,GDC/LSCF,baseline,645.42,1.437e-07,-6.8426,2.1,1.6415,7.4537,0.8045,0.86,,0.2707,550.0549,13.5413,0.5,0.018187,0.003235,1e-06,6.6996,1e-06
209,YSZ/GDC,baseline,624.56,1.178e-04,-3.9289,2.1,1.7051,7.4815,1.8618,1.8972,188.822,,8404.3713,17.0235,0.5,0.014173,0.001491,1e-07,7.0507,1e-06
210,YSZ/GDC,baseline,683.14,4.642e-04,-3.3333,2.1,1.6589,8.0884,2.6811,2.1185,213.821,,2500.2788,10.5028,0.5,0.017543,0.002663,1e-07,2.6983,1e-06
211,YSZ/GDC,with_interdiffusion,719.79,7.186e-01,-0.1435,2.1,1.9163,4.8547,3.0715,3.0634,215.726,,506.2184,15.2077,0.5,0.017115,0.003396,1e-06,5.3389,1e-06
212,GDC/LSCF,baseline,632.78,1.213e-20,-19.9161,2.1,1.7337,8.9223,1.0728,1.1778,,0.2206,7653.5627,13.9905,0.5,0.02911,0.012395,3e-07,6.3999,1e-06
213,GDC/LSCF,baseline,640.13,2.887e-20,-19.5395,2.1,1.8717,1.5229,0.6508,0.7417,,0.2107,7376.6397,10.2666,0.5,0.029261,0.012271,1e-07,4.6607,1e-06
214,GDC/LSCF,with_sr_segregation,763.1,3.456e-07,-6.4614,2.1,1.6628,5.9315,0.2,0.2569,,0.2626,528.4307,5.9047,0.5,0.025689,0.005314,1e-06,2.2511,1e-06
215,YSZ/GDC,with_interdiffusion,822.99,4.413e-18,-17.3553,2.1,1.733,3.4614,2.0938,2.6851,204.792,,104.6692,12.6372,0.5,0.039486,0.014356,3e-07,3.7404,1e-06
216,YSZ/GDC,with_interdiffusion,681.5,1.683e-10,-9.774,2.1,1.7058,4.5644,2.376,2.5545,225.377,,3462.3818,17.3936,0.5,0.02323,0.006067,3e-07,8.3127,1e-06
217,GDC/LSCF,with_sr_segregation,863.58,5.273e-01,-0.2779,2.1,1.679,4.5437,0.706,0.7717,,0.2865,2054.1524,12.9303,0.5,0.026822,0.006272,3e-07,3.8609,1e-06
218,GDC/LSCF,baseline,823.28,2.048e-11,-10.6888,2.1,1.5951,4.3949,0.6823,0.8051,,0.3062,674.1447,14.8483,0.5,0.033506,0.009562,3e-08,3.7448,1e-06
219,YSZ/GDC,with_interdiffusion,672.16,1.802e-10,-9.7442,2.1,1.9471,8.3051,2.1169,2.5888,244.662,,203.0335,19.6527,0.5,0.022581,0.005859,1e-06,6.7067,1e-06
220,YSZ/GDC,with_interdiffusion,798.91,1.568e-15,-14.8047,2.1,1.6979,2.1246,1.8299,2.5028,251.03,,331.2583,9.229,0.5,0.035585,0.012038,1e-07,3.7838,1e-06
221,YSZ/GDC,with_interdiffusion,750.38,8.274e-13,-12.0823,2.1,1.682,1.5673,2.6506,2.9261,193.504,,7349.8618,15.6828,0.5,0.029899,0.009107,3e-08,7.5033,1e-06
222,GDC/LSCF,baseline,869.72,9.201e-06,-5.0361,2.1,1.7732,9.8196,1.4084,1.2974,,0.2171,168.6962,5.8713,0.5,0.031514,0.00642,1e-08,2.4035,1e-06
223,YSZ/GDC,with_interdiffusion,824.57,8.076e-02,-1.0928,2.1,1.6627,4.6091,2.2622,2.9518,246.573,,462.0993,9.5593,0.5,0.024955,0.005491,3e-07,3.4893,1e-06
224,YSZ/GDC,with_interdiffusion,813.48,7.229e-17,-16.1409,2.1,1.8817,2.6682,3.2,2.9399,243.3,,2267.8862,11.0293,0.5,0.037759,0.013291,1e-08,4.1193,1e-06
225,YSZ/GDC,with_interdiffusion,717.83,6.691e-09,-8.1745,2.1,1.8819,3.5952,2.9422,3.0291,203.57,,456.8957,19.1701,0.5,0.024212,0.005642,3e-07,5.0574,1e-06
226,GDC/LSCF,baseline,747.74,1.674e-01,-0.7761,2.1,1.6142,4.614,0.6528,0.8538,,0.2906,1987.7177,6.5975,0.5,0.019548,0.003955,3e-08,2.2703,1e-06
227,YSZ/GDC,baseline,608.82,2.218e-03,-2.6541,2.1,1.6981,4.8816,2.1577,2.0905,247.127,,4721.0966,6.5757,0.5,0.011977,0.001176,3e-08,3.1375,1e-06
228,YSZ/GDC,with_interdiffusion,721.86,6.915e-04,-3.1602,2.1,1.6782,2.2729,2.3772,2.6246,246.012,,238.6279,10.2891,0.5,0.019968,0.003437,1e-07,2.6625,1e-06
229,YSZ/GDC,baseline,764.33,4.987e-20,-19.3022,2.1,1.851,2.4687,2.9043,2.2559,194.55,,5243.7479,12.3065,0.5,0.037327,0.014584,3e-07,4.5271,1e-06
230,GDC/LSCF,with_sr_segregation,655.17,1.139e-05,-4.9436,2.1,1.9688,4.6083,0.4102,0.5318,,0.1812,2570.5789,7.02,0.5,0.017127,0.002103,1e-06,3.3714,1e-06
231,GDC/LSCF,baseline,866.62,1.069e-08,-7.971,2.1,1.5623,6.4807,1.7583,1.4341,,0.1884,141.6032,7.1553,0.5,0.033948,0.008471,3e-08,2.4651,1e-06
232,GDC/LSCF,with_sr_segregation,645.73,3.594e-20,-19.4444,2.1,1.8996,2.1923,0.7999,0.7393,,0.2943,1378.9668,13.9945,0.5,0.029549,0.012315,3e-07,4.4775,1e-06
233,YSZ/GDC,baseline,856.69,1.697e-19,-18.7702,2.1,1.7469,6.0719,1.6628,1.904,248.978,,116.9454,14.4684,0.5,0.043006,0.016048,1e-06,5.8631,1e-06
234,YSZ/GDC,with_interdiffusion,819.82,4.976e-03,-2.3031,2.1,1.8605,2.0939,2.9069,2.7568,197.034,,556.4055,10.4017,0.5,0.025727,0.005396,1e-08,4.3108,1e-06
235,GDC/LSCF,with_sr_segregation,697.07,1.158e-05,-4.9362,2.1,1.8159,5.797,0.9014,0.7277,,0.3417,6375.483,13.821,0.5,0.019914,0.002941,3e-08,5.6908,1e-06
236,GDC/LSCF,baseline,766.78,4.279e-02,-1.3687,2.1,1.8818,7.7133,1.6227,1.4139,,0.2437,6245.7276,15.6547,0.5,0.02135,0.004336,3e-07,6.0961,1e-06
237,GDC/LSCF,with_sr_segregation,663.55,2.618e-18,-17.582,2.1,1.7697,2.8738,0.5801,0.5587,,0.211,125.4538,17.9766,0.5,0.02906,0.01133,1e-07,6.3454,1e-06
238,YSZ/GDC,with_interdiffusion,744.45,2.551e-16,-15.5933,2.1,1.5463,6.4707,3.2,3.0393,196.624,,185.1099,5.9778,0.5,0.032664,0.011516,3e-07,1.5087,1e-06
239,YSZ/GDC,with_interdiffusion,821.54,1.335e-17,-16.8747,2.1,1.5238,2.8547,3.1797,2.8196,202.532,,582.7191,12.0404,0.5,0.038957,0.013981,3e-07,3.977,1e-06
240,GDC/LSCF,baseline,760.43,4.075e-05,-4.3898,2.1,1.6107,8.5706,0.9273,0.9733,,0.2213,214.5036,8.2391,0.5,0.023646,0.004209,1e-08,3.7757,1e-06
