Mix_ID,Temperature_C,Data_Type,Property_Type,Thermal_Conductivity_W_mK,Thermal_Conductivity_Std,Specific_Heat_J_kgK,Specific_Heat_Std,Density_kg_m3,Density_Std
R20S,80,Calibration,Thermal,1.9085,0.1527,1958.57,195.86,2289.51,68.69
R20S,100,Calibration,Thermal,1.8903,0.1512,2505.0,250.5,2282.69,68.48
R20S,120,Calibration,Thermal,1.8701,0.1496,1974.57,197.46,2276.72,68.3
R20S,140,Calibration,Thermal,1.8479,0.1478,1273.72,127.37,2271.5,68.14
R20S,160,Calibration,Thermal,1.8235,0.1459,1054.68,105.47,2266.93,68.01
R20S,180,Calibration,Thermal,1.7968,0.1437,1035.03,103.5,2262.93,67.89
R20S,200,Calibration,Thermal,1.7679,0.1414,1040.07,104.01,2259.43,67.78
R20S,220,Calibration,Thermal,1.7366,0.1389,1046.01,104.6,2256.36,67.69
R20S,240,Calibration,Thermal,1.7029,0.1362,1052.01,105.2,2253.68,67.61
R20S,260,Calibration,Thermal,1.6671,0.1334,1059.04,105.9,2251.33,67.54
R20S,280,Calibration,Thermal,1.629,0.1303,1069.55,106.95,2249.28,67.48
R20S,300,Calibration,Thermal,1.589,0.1271,1088.78,108.88,2247.48,67.42
R20S,320,Calibration,Thermal,1.5473,0.1238,1125.85,112.59,2245.91,67.38
R20S,340,Calibration,Thermal,1.5041,0.1203,1192.98,119.3,2244.53,67.34
R20S,360,Calibration,Thermal,1.4597,0.1168,1300.85,130.09,2243.33,67.3
R20S,380,Calibration,Thermal,1.4145,0.1132,1449.83,144.98,2242.27,67.27
R20S,400,Calibration,Thermal,1.369,0.1095,1621.31,162.13,2241.35,67.24
R20S,420,Calibration,Thermal,1.3234,0.1059,1776.85,177.69,2240.54,67.22
R20S,440,Calibration,Thermal,1.2782,0.1023,1870.8,187.08,2239.84,67.2
R20S,460,Calibration,Thermal,1.2339,0.0987,1871.8,187.18,2239.22,67.18
R20S,480,Calibration,Thermal,1.1906,0.0953,1779.85,177.99,2238.68,67.16
R20S,500,Calibration,Thermal,1.1489,0.0919,1626.31,162.63,2238.2,67.15
R20S,520,Calibration,Thermal,1.1089,0.0887,1456.83,145.68,2237.79,67.13
R20S,540,Calibration,Thermal,1.0709,0.0857,1309.85,130.99,2237.42,67.12
R20S,560,Calibration,Thermal,1.035,0.0828,1203.98,120.4,2237.11,67.11
R20S,580,Calibration,Thermal,1.0014,0.0801,1138.85,113.89,2236.83,67.1
R20S,600,Calibration,Thermal,0.9701,0.0776,1103.78,110.38,2236.59,67.1
R20S,620,Calibration,Thermal,0.9411,0.0753,1086.55,108.65,2236.37,67.09
R20S,640,Calibration,Thermal,0.9144,0.0732,1078.04,107.8,2236.19,67.09
R20S,660,Calibration,Thermal,0.89,0.0712,1073.01,107.3,2236.02,67.08
R20S,680,Calibration,Thermal,0.8678,0.0694,1069.01,106.9,2235.88,67.08
R20S,700,Calibration,Thermal,0.8477,0.0678,1065.05,106.5,2235.76,67.07
R20S,720,Calibration,Thermal,0.8295,0.0664,1060.81,106.08,2235.65,67.07
R20S,740,Calibration,Thermal,0.8131,0.065,1056.2,105.62,2235.55,67.07
R20S,760,Calibration,Thermal,0.7983,0.0639,1051.2,105.12,2235.47,67.06
R20S,780,Calibration,Thermal,0.7852,0.0628,1045.8,104.58,2235.39,67.06
R20S,800,Calibration,Thermal,0.7734,0.0619,1040.0,104.0,2235.33,67.06
R20S,20,Validation,Thermal,1.7065,0.1365,848.59,84.86,2024.3,60.73
R20S,40,Validation,Thermal,1.695,0.1356,879.74,87.97,2015.41,60.46
R20S,60,Validation,Thermal,1.6822,0.1346,1085.15,108.51,2007.63,60.23
R20S,80,Validation,Thermal,1.6678,0.1334,1711.61,171.16,2000.82,60.02
R20S,100,Validation,Thermal,1.6519,0.1322,2189.14,218.91,1994.86,59.85
R20S,120,Validation,Thermal,1.6343,0.1307,1725.59,172.56,1989.64,59.69
R20S,140,Validation,Thermal,1.6149,0.1292,1113.11,111.31,1985.08,59.55
R20S,160,Validation,Thermal,1.5936,0.1275,921.69,92.17,1981.09,59.43
R20S,180,Validation,Thermal,1.5703,0.1256,904.52,90.45,1977.59,59.33
R20S,200,Validation,Thermal,1.5449,0.1236,908.92,90.89,1974.53,59.24
R20S,220,Validation,Thermal,1.5176,0.1214,914.11,91.41,1971.85,59.16
R20S,240,Validation,Thermal,1.4882,0.1191,919.36,91.94,1969.51,59.09
R20S,260,Validation,Thermal,1.4568,0.1165,925.5,92.55,1967.46,59.02
R20S,280,Validation,Thermal,1.4236,0.1139,934.69,93.47,1965.66,58.97
R20S,300,Validation,Thermal,1.3887,0.1111,951.5,95.15,1964.09,58.92
R20S,320,Validation,Thermal,1.3522,0.1082,983.89,98.39,1962.72,58.88
R20S,340,Validation,Thermal,1.3144,0.1052,1042.56,104.26,1961.51,58.85
R20S,360,Validation,Thermal,1.2756,0.1021,1136.82,113.68,1960.46,58.81
R20S,380,Validation,Thermal,1.2362,0.0989,1267.02,126.7,1959.54,58.79
R20S,400,Validation,Thermal,1.1963,0.0957,1416.87,141.69,1958.73,58.76
R20S,420,Validation,Thermal,1.1565,0.0925,1552.8,155.28,1958.03,58.74
R20S,440,Validation,Thermal,1.1171,0.0894,1634.9,163.49,1957.41,58.72
R20S,460,Validation,Thermal,1.0783,0.0863,1635.78,163.58,1956.87,58.71
R20S,480,Validation,Thermal,1.0405,0.0832,1555.43,155.54,1956.4,58.69
R20S,500,Validation,Thermal,1.004,0.0803,1421.24,142.12,1955.98,58.68
R20S,520,Validation,Thermal,0.9691,0.0775,1273.14,127.31,1955.62,58.67
R20S,540,Validation,Thermal,0.9358,0.0749,1144.69,114.47,1955.3,58.66
R20S,560,Validation,Thermal,0.9045,0.0724,1052.17,105.22,1955.02,58.65
R20S,580,Validation,Thermal,0.8751,0.07,995.25,99.53,1954.78,58.64
R20S,600,Validation,Thermal,0.8477,0.0678,964.6,96.46,1954.57,58.64
R20S,620,Validation,Thermal,0.8224,0.0658,949.54,94.95,1954.38,58.63
R20S,640,Validation,Thermal,0.7991,0.0639,942.11,94.21,1954.22,58.63
R20S,660,Validation,Thermal,0.7778,0.0622,937.72,93.77,1954.08,58.62
R20S,680,Validation,Thermal,0.7584,0.0607,934.21,93.42,1953.95,58.62
R20S,700,Validation,Thermal,0.7408,0.0593,930.75,93.08,1953.84,58.62
R20S,720,Validation,Thermal,0.7249,0.058,927.05,92.7,1953.75,58.61
R20S,740,Validation,Thermal,0.7105,0.0568,923.02,92.3,1953.66,58.61
R20S,760,Validation,Thermal,0.6977,0.0558,918.65,91.87,1953.59,58.61
R20S,780,Validation,Thermal,0.6862,0.0549,913.93,91.39,1953.53,58.61
R20S,800,Validation,Thermal,0.6759,0.0541,908.86,90.89,1953.47,58.6
R10L,20,Calibration,Thermal,2.1143,0.1691,941.02,94.1,2352.2,70.57
R10L,40,Calibration,Thermal,2.1001,0.168,976.67,97.67,2341.87,70.26
R10L,60,Calibration,Thermal,2.0841,0.1667,1211.72,121.17,2332.83,69.98
R10L,80,Calibration,Thermal,2.0664,0.1653,1928.57,192.86,2324.91,69.75
R10L,100,Calibration,Thermal,2.0467,0.1637,2475.0,247.5,2317.99,69.54
R10L,120,Calibration,Thermal,2.0248,0.162,1944.57,194.46,2311.93,69.36
R10L,140,Calibration,Thermal,2.0008,0.1601,1243.72,124.37,2306.62,69.2
R10L,160,Calibration,Thermal,1.9744,0.1579,1024.68,102.47,2301.98,69.06
R10L,180,Calibration,Thermal,1.9455,0.1556,1005.03,100.5,2297.92,68.94
R10L,200,Calibration,Thermal,1.9142,0.1531,1010.07,101.01,2294.37,68.83
R10L,220,Calibration,Thermal,1.8803,0.1504,1016.01,101.6,2291.25,68.74
R10L,240,Calibration,Thermal,1.8439,0.1475,1022.01,102.2,2288.53,68.66
R10L,260,Calibration,Thermal,1.805,0.1444,1029.04,102.9,2286.15,68.58
R10L,280,Calibration,Thermal,1.7638,0.1411,1039.55,103.95,2284.06,68.52
R10L,300,Calibration,Thermal,1.7205,0.1376,1058.78,105.88,2282.24,68.47
R10L,320,Calibration,Thermal,1.6753,0.134,1095.85,109.59,2280.64,68.42
R10L,340,Calibration,Thermal,1.6285,0.1303,1162.98,116.3,2279.24,68.38
R10L,360,Calibration,Thermal,1.5805,0.1264,1270.85,127.09,2278.02,68.34
R10L,380,Calibration,Thermal,1.5316,0.1225,1419.83,141.98,2276.95,68.31
R10L,400,Calibration,Thermal,1.4822,0.1186,1591.31,159.13,2276.01,68.28
R10L,420,Calibration,Thermal,1.4329,0.1146,1746.85,174.69,2275.19,68.26
R10L,440,Calibration,Thermal,1.384,0.1107,1840.8,184.08,2274.47,68.23
R10L,460,Calibration,Thermal,1.336,0.1069,1841.8,184.18,2273.84,68.22
R10L,480,Calibration,Thermal,1.2892,0.1031,1749.85,174.99,2273.29,68.2
R10L,500,Calibration,Thermal,1.244,0.0995,1596.31,159.63,2272.81,68.18
R10L,520,Calibration,Thermal,1.2007,0.0961,1426.83,142.68,2272.39,68.17
R10L,540,Calibration,Thermal,1.1595,0.0928,1279.85,127.99,2272.02,68.16
R10L,560,Calibration,Thermal,1.1206,0.0897,1173.98,117.4,2271.7,68.15
R10L,580,Calibration,Thermal,1.0842,0.0867,1108.85,110.89,2271.42,68.14
R10L,600,Calibration,Thermal,1.0503,0.084,1073.78,107.38,2271.17,68.14
R10L,620,Calibration,Thermal,1.019,0.0815,1056.55,105.65,2270.96,68.13
R10L,640,Calibration,Thermal,0.9901,0.0792,1048.04,104.8,2270.77,68.12
R10L,660,Calibration,Thermal,0.9637,0.0771,1043.01,104.3,2270.6,68.12
R10L,680,Calibration,Thermal,0.9396,0.0752,1039.01,103.9,2270.46,68.11
R10L,700,Calibration,Thermal,0.9178,0.0734,1035.05,103.5,2270.33,68.11
R10L,720,Calibration,Thermal,0.8981,0.0718,1030.81,103.08,2270.22,68.11
R10L,740,Calibration,Thermal,0.8803,0.0704,1026.2,102.62,2270.12,68.1
R10L,760,Calibration,Thermal,0.8644,0.0692,1021.2,102.12,2270.04,68.1
R10L,780,Calibration,Thermal,0.8501,0.068,1015.8,101.58,2269.96,68.1
R10L,800,Calibration,Thermal,0.8374,0.067,1010.0,101.0,2269.9,68.1
R10L,20,Validation,Thermal,2.0597,0.1648,916.72,91.67,2291.45,68.74
R10L,40,Validation,Thermal,2.0458,0.1637,951.45,95.14,2281.38,68.44
R10L,60,Validation,Thermal,2.0303,0.1624,1180.42,118.04,2272.58,68.18
R10L,80,Validation,Thermal,2.013,0.161,1878.76,187.88,2264.87,67.95
R10L,100,Validation,Thermal,1.9938,0.1595,2411.08,241.11,2258.12,67.74
R10L,120,Validation,Thermal,1.9726,0.1578,1894.35,189.43,2252.22,67.57
R10L,140,Validation,Thermal,1.9491,0.1559,1211.6,121.16,2247.05,67.41
R10L,160,Validation,Thermal,1.9234,0.1539,998.21,99.82,2242.53,67.28
R10L,180,Validation,Thermal,1.8953,0.1516,979.08,97.91,2238.57,67.16
R10L,200,Validation,Thermal,1.8647,0.1492,983.98,98.4,2235.11,67.05
R10L,220,Validation,Thermal,1.8317,0.1465,989.77,98.98,2232.08,66.96
R10L,240,Validation,Thermal,1.7962,0.1437,995.62,99.56,2229.43,66.88
R10L,260,Validation,Thermal,1.7584,0.1407,1002.46,100.25,2227.1,66.81
R10L,280,Validation,Thermal,1.7183,0.1375,1012.7,101.27,2225.07,66.75
R10L,300,Validation,Thermal,1.6761,0.1341,1031.44,103.14,2223.29,66.7
R10L,320,Validation,Thermal,1.632,0.1306,1067.55,106.76,2221.74,66.65
R10L,340,Validation,Thermal,1.5865,0.1269,1132.95,113.29,2220.38,66.61
R10L,360,Validation,Thermal,1.5397,0.1232,1238.03,123.8,2219.18,66.58
R10L,380,Validation,Thermal,1.492,0.1194,1383.16,138.32,2218.14,66.54
R10L,400,Validation,Thermal,1.444,0.1155,1550.21,155.02,2217.23,66.52
R10L,420,Validation,Thermal,1.3959,0.1117,1701.74,170.17,2216.43,66.49
R10L,440,Validation,Thermal,1.3483,0.1079,1793.25,179.33,2215.73,66.47
R10L,460,Validation,Thermal,1.3015,0.1041,1794.23,179.42,2215.12,66.45
R10L,480,Validation,Thermal,1.2559,0.1005,1704.66,170.47,2214.58,66.44
R10L,500,Validation,Thermal,1.2118,0.0969,1555.08,155.51,2214.11,66.42
R10L,520,Validation,Thermal,1.1696,0.0936,1389.98,139.0,2213.7,66.41
R10L,540,Validation,Thermal,1.1295,0.0904,1246.8,124.68,2213.34,66.4
R10L,560,Validation,Thermal,1.0917,0.0873,1143.66,114.37,2213.03,66.39
R10L,580,Validation,Thermal,1.0562,0.0845,1080.21,108.02,2212.75,66.38
R10L,600,Validation,Thermal,1.0232,0.0819,1046.05,104.61,2212.51,66.38
R10L,620,Validation,Thermal,0.9926,0.0794,1029.26,102.93,2212.3,66.37
R10L,640,Validation,Thermal,0.9645,0.0772,1020.97,102.1,2212.12,66.36
R10L,660,Validation,Thermal,0.9388,0.0751,1016.08,101.61,2211.96,66.36
R10L,680,Validation,Thermal,0.9154,0.0732,1012.17,101.22,2211.82,66.35
R10L,700,Validation,Thermal,0.8941,0.0715,1008.31,100.83,2211.69,66.35
R10L,720,Validation,Thermal,0.8749,0.07,1004.19,100.42,2211.58,66.35
R10L,740,Validation,Thermal,0.8576,0.0686,999.7,99.97,2211.49,66.34
R10L,760,Validation,Thermal,0.8421,0.0674,994.83,99.48,2211.41,66.34
R10L,780,Validation,Thermal,0.8282,0.0663,989.56,98.96,2211.34,66.34
R10L,800,Validation,Thermal,0.8158,0.0653,983.91,98.39,2211.27,66.34
