Mix_ID,Temperature_C,Data_Type,Property_Type,Thermal_Strain,Thermal_Strain_Std,Creep_Coefficient,Creep_Coefficient_Std,Shrinkage_Strain,Shrinkage_Strain_Std
R15S,440,Validation,Deformation,0.006603,0.000660,1.4988,0.2998,-0.001676,0.000419
R15S,460,Validation,Deformation,0.006972,0.000697,1.5484,0.3097,-0.001728,0.000432
R15S,480,Validation,Deformation,0.007309,0.000731,1.5795,0.3159,-0.001780,0.000445
R15S,500,Validation,Deformation,0.007610,0.000761,1.59,0.318,-0.001833,0.000458
R15S,520,Validation,Deformation,0.007874,0.000787,1.5795,0.3159,-0.001885,0.000471
R15S,540,Validation,Deformation,0.008102,0.000810,1.5484,0.3097,-0.001937,0.000484
R15S,560,Validation,Deformation,0.008297,0.000830,1.4988,0.2998,-0.001990,0.000497
R15S,580,Validation,Deformation,0.008465,0.000847,1.4333,0.2867,-0.002042,0.000511
R15S,600,Validation,Deformation,0.008614,0.000861,1.3555,0.2711,-0.002095,0.000524
R15S,620,Validation,Deformation,0.008750,0.000875,1.2695,0.2539,-0.002147,0.000537
R15S,640,Validation,Deformation,0.008883,0.000888,1.1794,0.2359,-0.002199,0.000550
R15S,660,Validation,Deformation,0.009019,0.000902,1.0889,0.2178,-0.002252,0.000563
R15S,680,Validation,Deformation,0.009166,0.000917,1.0015,0.2003,-0.002304,0.000576
R15S,700,Validation,Deformation,0.009329,0.000933,0.92,0.184,-0.002356,0.000589
R15S,720,Validation,Deformation,0.009511,0.000951,0.8461,0.1692,-0.002409,0.000602
R15S,740,Validation,Deformation,0.009716,0.000972,0.7811,0.1562,-0.002461,0.000615
R15S,760,Validation,Deformation,0.009943,0.000994,0.7256,0.1451,-0.002514,0.000628
R15S,780,Validation,Deformation,0.010193,0.001019,0.6793,0.1359,-0.002566,0.000641
R15S,800,Validation,Deformation,0.010465,0.001046,0.6417,0.1283,-0.002618,0.000655
R20S,20,Calibration,Deformation,0.000006,0.000001,0.5434,0.1087,-0.000550,0.000138
R20S,40,Calibration,Deformation,0.000184,0.000018,0.5454,0.1091,-0.000600,0.000150
R20S,60,Calibration,Deformation,0.000368,0.000037,0.5485,0.1097,-0.000650,0.000163
R20S,80,Calibration,Deformation,0.000559,0.000056,0.5531,0.1106,-0.000700,0.000175
R20S,100,Calibration,Deformation,0.000757,0.000076,0.5598,0.112,-0.000750,0.000188
R20S,120,Calibration,Deformation,0.000966,0.000097,0.5692,0.1138,-0.000800,0.000200
R20S,140,Calibration,Deformation,0.001185,0.000118,0.5823,0.1165,-0.000850,0.000212
R20S,160,Calibration,Deformation,0.001417,0.000142,0.6,0.12,-0.000900,0.000225
R20S,180,Calibration,Deformation,0.001664,0.000166,0.6235,0.1247,-0.000950,0.000237
R20S,200,Calibration,Deformation,0.001928,0.000193,0.6538,0.1308,-0.001000,0.000250
R20S,220,Calibration,Deformation,0.002211,0.000221,0.6921,0.1384,-0.001050,0.000263
R20S,240,Calibration,Deformation,0.002514,0.000251,0.7393,0.1479,-0.001100,0.000275
R20S,260,Calibration,Deformation,0.002840,0.000284,0.7959,0.1592,-0.001150,0.000287
R20S,280,Calibration,Deformation,0.003187,0.000319,0.8621,0.1724,-0.001200,0.000300
R20S,300,Calibration,Deformation,0.003555,0.000356,0.9373,0.1875,-0.001250,0.000313
R20S,320,Calibration,Deformation,0.003943,0.000394,1.0204,0.2041,-0.001300,0.000325
R20S,340,Calibration,Deformation,0.004345,0.000434,1.1095,0.2219,-0.001350,0.000338
R20S,360,Calibration,Deformation,0.004757,0.000476,1.2016,0.2403,-0.001400,0.000350
R20S,380,Calibration,Deformation,0.005173,0.000517,1.2935,0.2587,-0.001450,0.000362
R20S,400,Calibration,Deformation,0.005586,0.000559,1.3811,0.2762,-0.001500,0.000375
R20S,420,Calibration,Deformation,0.005987,0.000599,1.4603,0.2921,-0.001550,0.000388
R20S,440,Calibration,Deformation,0.006369,0.000637,1.527,0.3054,-0.001600,0.000400
R20S,460,Calibration,Deformation,0.006725,0.000673,1.5777,0.3155,-0.001650,0.000412
R20S,480,Calibration,Deformation,0.007051,0.000705,1.6093,0.3219,-0.001700,0.000425
R20S,500,Calibration,Deformation,0.007342,0.000734,1.62,0.324,-0.001750,0.000438
R20S,520,Calibration,Deformation,0.007598,0.000760,1.6093,0.3219,-0.001800,0.000450
R20S,540,Calibration,Deformation,0.007819,0.000782,1.5777,0.3155,-0.001850,0.000463
R20S,560,Calibration,Deformation,0.008010,0.000801,1.527,0.3054,-0.001900,0.000475
R20S,580,Calibration,Deformation,0.008175,0.000817,1.4603,0.2921,-0.001950,0.000487
R20S,600,Calibration,Deformation,0.008320,0.000832,1.3811,0.2762,-0.002000,0.000500
R20S,620,Calibration,Deformation,0.008455,0.000845,1.2935,0.2587,-0.002050,0.000512
R20S,640,Calibration,Deformation,0.008586,0.000859,1.2016,0.2403,-0.002100,0.000525
R20S,660,Calibration,Deformation,0.008721,0.000872,1.1095,0.2219,-0.002150,0.000538
R20S,680,Calibration,Deformation,0.008865,0.000887,1.0204,0.2041,-0.002200,0.000550
R20S,700,Calibration,Deformation,0.009025,0.000902,0.9373,0.1875,-0.002250,0.000563
R20S,720,Calibration,Deformation,0.009204,0.000920,0.8621,0.1724,-0.002300,0.000575
R20S,740,Calibration,Deformation,0.009403,0.000940,0.7959,0.1592,-0.002350,0.000588
R20S,760,Calibration,Deformation,0.009625,0.000962,0.7393,0.1479,-0.002400,0.000600
R20S,780,Calibration,Deformation,0.009868,0.000987,0.6921,0.1384,-0.002450,0.000613
R20S,800,Calibration,Deformation,0.010132,0.001013,0.6538,0.1308,-0.002500,0.000625
R20S,20,Validation,Deformation,0.000007,0.000001,0.5434,0.1087,-0.000575,0.000144
R20S,40,Validation,Deformation,0.000192,0.000019,0.5454,0.1091,-0.000627,0.000157
R20S,60,Validation,Deformation,0.000384,0.000038,0.5485,0.1097,-0.000679,0.000170
R20S,80,Validation,Deformation,0.000584,0.000058,0.5531,0.1106,-0.000732,0.000183
R20S,100,Validation,Deformation,0.000792,0.000079,0.5598,0.112,-0.000784,0.000196
R20S,120,Validation,Deformation,0.001009,0.000101,0.5692,0.1138,-0.000836,0.000209
R20S,140,Validation,Deformation,0.001239,0.000124,0.5823,0.1165,-0.000889,0.000222
R20S,160,Validation,Deformation,0.001481,0.000148,0.6,0.12,-0.000941,0.000235
R20S,180,Validation,Deformation,0.001739,0.000174,0.6235,0.1247,-0.000993,0.000248
R20S,200,Validation,Deformation,0.002015,0.000202,0.6538,0.1308,-0.001045,0.000261
R20S,220,Validation,Deformation,0.002311,0.000231,0.6921,0.1384,-0.001098,0.000274
R20S,240,Validation,Deformation,0.002628,0.000263,0.7393,0.1479,-0.001150,0.000287
R20S,260,Validation,Deformation,0.002968,0.000297,0.7959,0.1592,-0.001202,0.000301
R20S,280,Validation,Deformation,0.003331,0.000333,0.8621,0.1724,-0.001254,0.000314
R20S,300,Validation,Deformation,0.003717,0.000372,0.9373,0.1875,-0.001307,0.000327
R20S,320,Validation,Deformation,0.004121,0.000412,1.0204,0.2041,-0.001359,0.000340
R20S,340,Validation,Deformation,0.004542,0.000454,1.1095,0.2219,-0.001411,0.000353
R20S,360,Validation,Deformation,0.004973,0.000497,1.2016,0.2403,-0.001463,0.000366
R20S,380,Validation,Deformation,0.005408,0.000541,1.2935,0.2587,-0.001516,0.000379
R20S,400,Validation,Deformation,0.005839,0.000584,1.3811,0.2762,-0.001568,0.000392
R20S,420,Validation,Deformation,0.006258,0.000626,1.4603,0.2921,-0.001620,0.000405
R20S,440,Validation,Deformation,0.006658,0.000666,1.527,0.3054,-0.001673,0.000418
R20S,460,Validation,Deformation,0.007030,0.000703,1.5777,0.3155,-0.001725,0.000431
R20S,480,Validation,Deformation,0.007371,0.000737,1.6093,0.3219,-0.001777,0.000444
R20S,500,Validation,Deformation,0.007675,0.000768,1.62,0.324,-0.001829,0.000457
R20S,520,Validation,Deformation,0.007943,0.000794,1.6093,0.3219,-0.001882,0.000470
R20S,540,Validation,Deformation,0.008174,0.000817,1.5777,0.3155,-0.001934,0.000483
R20S,560,Validation,Deformation,0.008373,0.000837,1.527,0.3054,-0.001986,0.000497
R20S,580,Validation,Deformation,0.008545,0.000855,1.4603,0.2921,-0.002038,0.000510
R20S,600,Validation,Deformation,0.008698,0.000870,1.3811,0.2762,-0.002091,0.000523
R20S,620,Validation,Deformation,0.008838,0.000884,1.2935,0.2587,-0.002143,0.000536
R20S,640,Validation,Deformation,0.008975,0.000898,1.2016,0.2403,-0.002195,0.000549
R20S,660,Validation,Deformation,0.009116,0.000912,1.1095,0.2219,-0.002247,0.000562
R20S,680,Validation,Deformation,0.009267,0.000927,1.0204,0.2041,-0.002300,0.000575
R20S,700,Validation,Deformation,0.009434,0.000943,0.9373,0.1875,-0.002352,0.000588
R20S,720,Validation,Deformation,0.009621,0.000962,0.8621,0.1724,-0.002404,0.000601
R20S,740,Validation,Deformation,0.009830,0.000983,0.7959,0.1592,-0.002457,0.000614
R20S,760,Validation,Deformation,0.010061,0.001006,0.7393,0.1479,-0.002509,0.000627
R20S,780,Validation,Deformation,0.010316,0.001032,0.6921,0.1384,-0.002561,0.000640
R20S,800,Validation,Deformation,0.010592,0.001059,0.6538,0.1308,-0.002613,0.000653
R10L,20,Calibration,Deformation,0.000006,0.000001,0.5233,0.1047,-0.000550,0.000138
R10L,40,Calibration,Deformation,0.000179,0.000018,0.5252,0.105,-0.000600,0.000150
R10L,60,Calibration,Deformation,0.000358,0.000036,0.5282,0.1056,-0.000650,0.000163
R10L,80,Calibration,Deformation,0.000543,0.000054,0.5326,0.1065,-0.000700,0.000175
R10L,100,Calibration,Deformation,0.000737,0.000074,0.539,0.1078,-0.000750,0.000188
R10L,120,Calibration,Deformation,0.000940,0.000094,0.5481,0.1096,-0.000800,0.000200
R10L,140,Calibration,Deformation,0.001154,0.000115,0.5607,0.1121,-0.000850,0.000212
R10L,160,Calibration,Deformation,0.001380,0.000138,0.5778,0.1156,-0.000900,0.000225
R10L,180,Calibration,Deformation,0.001621,0.000162,0.6004,0.1201,-0.000950,0.000237
R10L,200,Calibration,Deformation,0.001879,0.000188,0.6296,0.1259,-0.001000,0.000250
R10L,220,Calibration,Deformation,0.002156,0.000216,0.6665,0.1333,-0.001050,0.000263
R10L,240,Calibration,Deformation,0.002454,0.000245,0.7119,0.1424,-0.001100,0.000275
R10L,260,Calibration,Deformation,0.002773,0.000277,0.7664,0.1533,-0.001150,0.000287
R10L,280,Calibration,Deformation,0.003114,0.000311,0.8301,0.166,-0.001200,0.000300
R10L,300,Calibration,Deformation,0.003476,0.000348,0.9026,0.1805,-0.001250,0.000313
R10L,320,Calibration,Deformation,0.003856,0.000386,0.9827,0.1965,-0.001300,0.000325
R10L,340,Calibration,Deformation,0.004252,0.000425,1.0684,0.2137,-0.001350,0.000338
R10L,360,Calibration,Deformation,0.004657,0.000466,1.1571,0.2314,-0.001400,0.000350
R10L,380,Calibration,Deformation,0.005066,0.000507,1.2456,0.2491,-0.001450,0.000362
R10L,400,Calibration,Deformation,0.005472,0.000547,1.33,0.266,-0.001500,0.000375
R10L,420,Calibration,Deformation,0.005865,0.000587,1.4062,0.2812,-0.001550,0.000388
R10L,440,Calibration,Deformation,0.006240,0.000624,1.4705,0.2941,-0.001600,0.000400
R10L,460,Calibration,Deformation,0.006590,0.000659,1.5192,0.3038,-0.001650,0.000412
R10L,480,Calibration,Deformation,0.006908,0.000691,1.5497,0.3099,-0.001700,0.000425
R10L,500,Calibration,Deformation,0.007191,0.000719,1.56,0.312,-0.001750,0.000438
R10L,520,Calibration,Deformation,0.007439,0.000744,1.5497,0.3099,-0.001800,0.000450
R10L,540,Calibration,Deformation,0.007652,0.000765,1.5192,0.3038,-0.001850,0.000463
R10L,560,Calibration,Deformation,0.007835,0.000783,1.4705,0.2941,-0.001900,0.000475
R10L,580,Calibration,Deformation,0.007991,0.000799,1.4062,0.2812,-0.001950,0.000487
R10L,600,Calibration,Deformation,0.008129,0.000813,1.33,0.266,-0.002000,0.000500
R10L,620,Calibration,Deformation,0.008255,0.000826,1.2456,0.2491,-0.002050,0.000512
R10L,640,Calibration,Deformation,0.008378,0.000838,1.1571,0.2314,-0.002100,0.000525
R10L,660,Calibration,Deformation,0.008504,0.000850,1.0684,0.2137,-0.002150,0.000538
R10L,680,Calibration,Deformation,0.008639,0.000864,0.9827,0.1965,-0.002200,0.000550
R10L,700,Calibration,Deformation,0.008790,0.000879,0.9026,0.1805,-0.002250,0.000563
R10L,720,Calibration,Deformation,0.008960,0.000896,0.8301,0.166,-0.002300,0.000575
R10L,740,Calibration,Deformation,0.009151,0.000915,0.7664,0.1533,-0.002350,0.000588
R10L,760,Calibration,Deformation,0.009363,0.000936,0.7119,0.1424,-0.002400,0.000600
R10L,780,Calibration,Deformation,0.009597,0.000960,0.6665,0.1333,-0.002450,0.000613
R10L,800,Calibration,Deformation,0.009852,0.000985,0.6296,0.1259,-0.002500,0.000625
R10L,20,Validation,Deformation,0.000006,0.000001,0.5233,0.1047,-0.000561,0.000140
R10L,40,Validation,Deformation,0.000183,0.000018,0.5252,0.105,-0.000612,0.000153
R10L,60,Validation,Deformation,0.000365,0.000036,0.5282,0.1056,-0.000663,0.000166
R10L,80,Validation,Deformation,0.000554,0.000055,0.5326,0.1065,-0.000714,0.000178
R10L,100,Validation,Deformation,0.000751,0.000075,0.539,0.1078,-0.000765,0.000191
R10L,120,Validation,Deformation,0.000958,0.000096,0.5481,0.1096,-0.000816,0.000204
R10L,140,Validation,Deformation,0.001176,0.000118,0.5607,0.1121,-0.000867,0.000217
R10L,160,Validation,Deformation,0.001407,0.000141,0.5778,0.1156,-0.000918,0.000229
R10L,180,Validation,Deformation,0.001653,0.000165,0.6004,0.1201,-0.000969,0.000242
R10L,200,Validation,Deformation,0.001916,0.000192,0.6296,0.1259,-0.001020,0.000255
R10L,220,Validation,Deformation,0.002199,0.000220,0.6665,0.1333,-0.001071,0.000268
R10L,240,Validation,Deformation,0.002502,0.000250,0.7119,0.1424,-0.001122,0.000280
R10L,260,Validation,Deformation,0.002827,0.000283,0.7664,0.1533,-0.001173,0.000293
R10L,280,Validation,Deformation,0.003175,0.000317,0.8301,0.166,-0.001224,0.000306
R10L,300,Validation,Deformation,0.003544,0.000354,0.9026,0.1805,-0.001275,0.000319
R10L,320,Validation,Deformation,0.003932,0.000393,0.9827,0.1965,-0.001326,0.000331
R10L,340,Validation,Deformation,0.004335,0.000434,1.0684,0.2137,-0.001376,0.000344
R10L,360,Validation,Deformation,0.004749,0.000475,1.1571,0.2314,-0.001427,0.000357
R10L,380,Validation,Deformation,0.005166,0.000517,1.2456,0.2491,-0.001478,0.000370
R10L,400,Validation,Deformation,0.005579,0.000558,1.33,0.266,-0.001529,0.000382
R10L,420,Validation,Deformation,0.005981,0.000598,1.4062,0.2812,-0.001580,0.000395
R10L,440,Validation,Deformation,0.006363,0.000636,1.4705,0.2941,-0.001631,0.000408
R10L,460,Validation,Deformation,0.006719,0.000672,1.5192,0.3038,-0.001682,0.000421
R10L,480,Validation,Deformation,0.007043,0.000704,1.5497,0.3099,-0.001733,0.000433
R10L,500,Validation,Deformation,0.007332,0.000733,1.56,0.312,-0.001784,0.000446
R10L,520,Validation,Deformation,0.007585,0.000759,1.5497,0.3099,-0.001835,0.000459
R10L,540,Validation,Deformation,0.007803,0.000780,1.5192,0.3038,-0.001886,0.000472
R10L,560,Validation,Deformation,0.007989,0.000799,1.4705,0.2941,-0.001937,0.000484
R10L,580,Validation,Deformation,0.008148,0.000815,1.4062,0.2812,-0.001988,0.000497
R10L,600,Validation,Deformation,0.008289,0.000829,1.33,0.266,-0.002039,0.000510
R10L,620,Validation,Deformation,0.008417,0.000842,1.2456,0.2491,-0.002090,0.000523
R10L,640,Validation,Deformation,0.008542,0.000854,1.1571,0.2314,-0.002141,0.000535
R10L,660,Validation,Deformation,0.008670,0.000867,1.0684,0.2137,-0.002192,0.000548
R10L,680,Validation,Deformation,0.008809,0.000881,0.9827,0.1965,-0.002243,0.000561
R10L,700,Validation,Deformation,0.008963,0.000896,0.9026,0.1805,-0.002294,0.000574
R10L,720,Validation,Deformation,0.009136,0.000914,0.8301,0.166,-0.002345,0.000586
R10L,740,Validation,Deformation,0.009330,0.000933,0.7664,0.1533,-0.002396,0.000599
R10L,760,Validation,Deformation,0.009547,0.000955,0.7119,0.1424,-0.002447,0.000612
R10L,780,Validation,Deformation,0.009785,0.000979,0.6665,0.1333,-0.002498,0.000625
R10L,800,Validation,Deformation,0.010045,0.001004,0.6296,0.1259,-0.002549,0.000637
