material_type,quantity,unit,epd_number,manufacturer,production_location,transport_distance_km,a1_a3_embodied_carbon_kg_co2,a1_raw_material_kg_co2,a2_transport_kg_co2,a3_manufacturing_kg_co2,a4_transport_to_site_kg_co2,a5_installation_kg_co2,b1_b7_use_stage_kg_co2_per_year,c1_deconstruction_kg_co2,c2_transport_eol_kg_co2,c3_waste_processing_kg_co2,c4_disposal_kg_co2,d_recycling_potential_kg_co2,density_kg_m3,recyclability_pct,expected_lifespan_years,renewable_content_pct,recycled_content_pct,certification_standard,valid_from,valid_until,ozone_depletion_potential_value,ozone_depletion_potential_unit,acidification_potential_value,acidification_potential_unit,eutrophication_potential_value,eutrophication_potential_unit,photochemical_oxidation_potential_value,photochemical_oxidation_potential_unit,abiotic_depletion_potential_value,abiotic_depletion_potential_unit,water_consumption_value,water_consumption_unit,primary_energy_demand_value,primary_energy_demand_unit,building_id,retrofit_measure
glass,79242.33,kg,EPD-1244-GLA,Glass Corp 75,Asia,1651,66536.12,19960.84,6653.61,39921.67,3962.12,1584.85,79.242,792.42,2377.27,1584.85,3962.12,-30188.68,2500,98.7,33,18.878376003063075,35.259003876645615,ISO 14025,2023-01-01,2028-01-01,612220.529,kg CFC-11 eq,20397.203,kg SO2 eq,471556.527,kg PO4 eq,541230.925,kg C2H4 eq,90545.242,kg Sb eq,661386.148,m3,682618.35,MJ,BLD_00085,solar_panels
aluminum,52828.22,kg,EPD-2812-ALU,Aluminum Corp 76,Asia,1405,518069.48,155420.84,51806.95,310841.69,2641.41,1056.56,52.828,528.28,1584.85,1056.56,2641.41,-255159.65,2700,99.0,45,10.326960909483912,22.37321766377251,ISO 14025,2023-01-01,2028-01-01,387221.227,kg CFC-11 eq,177202.203,kg SO2 eq,312297.714,kg PO4 eq,477489.948,kg C2H4 eq,328920.332,kg Sb eq,422901.509,m3,139830.213,MJ,BLD_00085,solar_panels
steel,26414.11,kg,EPD-6419-STE,Steel Corp 6,Asia,879,44685.23,13405.57,4468.52,26811.14,1320.71,528.28,26.414,264.14,792.42,528.28,1320.71,-20584.67,7850,93.2,80,4.856978436193813,46.842259433057954,ISO 14025,2023-01-01,2028-01-01,165181.021,kg CFC-11 eq,225637.977,kg SO2 eq,221838.07,kg PO4 eq,236204.329,kg C2H4 eq,144935.479,kg Sb eq,232107.819,m3,9912.056,MJ,BLD_00085,solar_panels
insulation_polyurethane,198105.825,kg,EPD-3802-INS,Insulation_polyurethane Corp 73,Asia,1481,622080.05,186624.01,62208.0,373248.03,9905.29,3962.12,198.106,1981.06,5943.17,3962.12,9905.29,-85720.62,30,13.0,33,3.780514600758267,36.79638260083904,ISO 14025,2023-01-01,2028-01-01,932575.688,kg CFC-11 eq,1223364.066,kg SO2 eq,462734.653,kg PO4 eq,763527.157,kg C2H4 eq,908853.686,kg Sb eq,132036.166,m3,976997.052,MJ,BLD_00085,wall_insulation
aluminum,13207.055,kg,EPD-3207-ALU,Aluminum Corp 33,Europe,1080,132634.79,39790.44,13263.48,79580.87,660.35,264.14,13.207,132.07,396.21,264.14,660.35,-65023.14,2700,96.1,51,1.6648892634895995,34.730770387216644,EN 15804,2023-01-01,2028-01-01,25224.866,kg CFC-11 eq,100634.227,kg SO2 eq,131194.295,kg PO4 eq,60013.546,kg C2H4 eq,23563.336,kg Sb eq,74213.998,m3,88729.403,MJ,BLD_00085,wall_insulation
insulation_mineral_wool,62049.645000000004,kg,EPD-3718-INS,Insulation_mineral_wool Corp 83,Local,1150,66965.46,20089.64,6696.55,40179.28,3102.48,1240.99,62.05,620.5,1861.49,1240.99,3102.48,-23014.92,100,56.8,36,5.908056259079975,36.22226601485431,ISO 21930,2023-01-01,2028-01-01,48660.363,kg CFC-11 eq,43057.615,kg SO2 eq,605915.364,kg PO4 eq,595591.242,kg C2H4 eq,69099.551,kg Sb eq,505242.764,m3,305246.572,MJ,BLD_00028,roof_insulation
insulation_polyurethane,103416.075,kg,EPD-9569-INS,Insulation_polyurethane Corp 78,Local,140,462300.67,138690.2,46230.07,277380.4,5170.8,2068.32,103.416,1034.16,3102.48,2068.32,5170.8,-27212.15,30,17.6,38,17.474083202681324,25.283723654453304,ISO 21930,2023-01-01,2028-01-01,461007.46,kg CFC-11 eq,700823.402,kg SO2 eq,729787.444,kg PO4 eq,133856.235,kg C2H4 eq,382142.749,kg Sb eq,435944.44,m3,571233.546,MJ,BLD_00028,wall_insulation
aluminum,6894.405,kg,EPD-4580-ALU,Aluminum Corp 72,North America,563,75989.05,22796.72,7598.91,45593.43,344.72,137.89,6.894,68.94,206.83,137.89,344.72,-37429.26,2700,99.6,60,13.180595234117394,36.09494987673311,ISO 21930,2023-01-01,2028-01-01,23216.798,kg CFC-11 eq,47531.304,kg SO2 eq,60758.488,kg PO4 eq,37956.097,kg C2H4 eq,13350.226,kg Sb eq,60917.608,m3,13684.578,MJ,BLD_00028,wall_insulation
glass,41366.43,kg,EPD-7390-GLA,Glass Corp 78,Europe,1121,37292.02,11187.61,3729.2,22375.21,2068.32,827.33,41.366,413.66,1240.99,827.33,2068.32,-17004.8,2500,92.6,49,10.62115391959285,49.821617097984586,EN 15804,2023-01-01,2028-01-01,250275.48,kg CFC-11 eq,167296.925,kg SO2 eq,136815.86,kg PO4 eq,93127.757,kg C2H4 eq,284324.542,kg Sb eq,293567.19,m3,92219.544,MJ,BLD_00028,solar_panels
aluminum,27577.620000000003,kg,EPD-4299-ALU,Aluminum Corp 3,Local,84,229084.91,68725.47,22908.49,137450.94,1378.88,551.55,27.578,275.78,827.33,551.55,1378.88,-111485.86,2700,98.0,43,12.359373873836908,39.796437431680886,ISO 21930,2023-01-01,2028-01-01,145294.897,kg CFC-11 eq,136837.471,kg SO2 eq,117158.121,kg PO4 eq,6308.293,kg C2H4 eq,98979.782,kg Sb eq,142194.335,m3,211009.484,MJ,BLD_00028,solar_panels
steel,13788.810000000001,kg,EPD-4911-STE,Steel Corp 36,North America,194,31737.91,9521.37,3173.79,19042.75,689.44,275.78,13.789,137.89,413.66,275.78,689.44,-14424.36,7850,92.6,88,19.83568007433324,37.19337331185877,ISO 14025,2023-01-01,2028-01-01,37695.056,kg CFC-11 eq,11991.011,kg SO2 eq,28782.113,kg PO4 eq,107378.924,kg C2H4 eq,77226.698,kg Sb eq,14898.884,m3,89710.601,MJ,BLD_00028,solar_panels
glass,86552.19,kg,EPD-1994-GLA,Glass Corp 20,North America,1729,97046.65,29113.99,9704.66,58227.99,4327.61,1731.04,86.552,865.52,2596.57,1731.04,4327.61,-47978.06,2500,97.6,39,13.977593544767991,25.778085188998983,ISO 14025,2023-01-01,2028-01-01,608122.104,kg CFC-11 eq,770209.383,kg SO2 eq,536709.038,kg PO4 eq,828933.78,kg C2H4 eq,550706.424,kg Sb eq,40473.33,m3,616403.24,MJ,BLD_00032,window_upgrade
aluminum,23080.584,kg,EPD-5176-ALU,Aluminum Corp 85,Asia,1048,221626.1,66487.83,22162.61,132975.66,1154.03,461.61,23.081,230.81,692.42,461.61,1154.03,-106189.7,2700,97.2,54,2.071991877471391,17.547637762662365,ISO 21930,2023-01-01,2028-01-01,105271.433,kg CFC-11 eq,110884.976,kg SO2 eq,217617.157,kg PO4 eq,19636.326,kg C2H4 eq,205242.887,kg Sb eq,28295.39,m3,203856.38,MJ,BLD_00032,window_upgrade
steel,200.0,kg,EPD-9008-STE,Steel Corp 28,Local,1959,331.37,99.41,33.14,198.82,10.0,4.0,0.2,2.0,6.0,4.0,10.0,-153.04,7850,90.4,97,10.550812888517347,24.76229600514785,EN 15804,2023-01-01,2028-01-01,583.527,kg CFC-11 eq,1397.397,kg SO2 eq,1962.717,kg PO4 eq,1811.608,kg C2H4 eq,1138.33,kg Sb eq,1686.96,m3,795.603,MJ,BLD_00032,heat_pump
aluminum,50.0,kg,EPD-2970-ALU,Aluminum Corp 55,Asia,686,483.08,144.92,48.31,289.85,2.5,1.0,0.05,0.5,1.5,1.0,2.5,-238.48,2700,98.3,59,14.487609199515031,26.136051015175926,ISO 21930,2023-01-01,2028-01-01,321.525,kg CFC-11 eq,215.79,kg SO2 eq,439.946,kg PO4 eq,196.643,kg C2H4 eq,467.856,kg Sb eq,37.998,m3,69.308,MJ,BLD_00032,heat_pump
insulation_mineral_wool,43276.095,kg,EPD-3971-INS,Insulation_mineral_wool Corp 17,North America,1061,50027.61,15008.28,5002.76,30016.56,2163.8,865.52,43.276,432.76,1298.28,865.52,2163.8,-14532.11,100,69.5,47,8.47215644120578,2.120761568435187,ISO 21930,2023-01-01,2028-01-01,197272.157,kg CFC-11 eq,169825.313,kg SO2 eq,191766.085,kg PO4 eq,276043.138,kg C2H4 eq,224521.938,kg Sb eq,247012.029,m3,199179.956,MJ,BLD_00032,roof_insulation
insulation_polyurethane,72126.825,kg,EPD-8472-INS,Insulation_polyurethane Corp 69,North America,1466,236712.03,71013.61,23671.2,142027.22,3606.34,1442.54,72.127,721.27,2163.8,1442.54,3606.34,-15919.68,30,29.1,29,11.953108981662295,2.7580395270460025,EN 15804,2023-01-01,2028-01-01,566302.033,kg CFC-11 eq,136397.592,kg SO2 eq,547056.879,kg PO4 eq,160629.947,kg C2H4 eq,318423.076,kg Sb eq,181135.418,m3,194299.613,MJ,BLD_00032,wall_insulation
aluminum,4808.455,kg,EPD-8836-ALU,Aluminum Corp 97,Europe,184,57617.35,17285.21,5761.74,34570.41,240.42,96.17,4.808,48.08,144.25,96.17,240.42,-27866.43,2700,96.6,45,17.14989173125212,47.43158484481807,ISO 21930,2023-01-01,2028-01-01,5446.716,kg CFC-11 eq,27205.753,kg SO2 eq,4050.889,kg PO4 eq,4427.573,kg C2H4 eq,29026.766,kg Sb eq,92.603,m3,39565.71,MJ,BLD_00032,wall_insulation
insulation_mineral_wool,63196.244999999995,kg,EPD-8918-INS,Insulation_mineral_wool Corp 70,Asia,172,76810.82,23043.25,7681.08,46086.49,3159.81,1263.92,63.196,631.96,1895.89,1263.92,3159.81,-23625.87,100,64.8,46,9.60261808848234,43.742619126538465,EN 15804,2023-01-01,2028-01-01,87466.425,kg CFC-11 eq,11704.41,kg SO2 eq,323312.966,kg PO4 eq,457095.619,kg C2H4 eq,388776.191,kg Sb eq,121317.612,m3,478208.877,MJ,BLD_00069,roof_insulation
glass,126392.48999999999,kg,EPD-1670-GLA,Glass Corp 14,North America,1870,150252.23,45075.67,15025.22,90151.34,6319.62,2527.85,126.392,1263.92,3791.77,2527.85,6319.62,-67632.88,2500,96.7,41,12.43357320865639,47.01165120976667,ISO 14025,2023-01-01,2028-01-01,1244031.423,kg CFC-11 eq,99376.788,kg SO2 eq,706295.28,kg PO4 eq,950447.404,kg C2H4 eq,913955.052,kg Sb eq,1234924.794,m3,648213.926,MJ,BLD_00069,window_upgrade
aluminum,33704.664,kg,EPD-1624-ALU,Aluminum Corp 40,Europe,62,397717.83,119315.35,39771.78,238630.7,1685.23,674.09,33.705,337.05,1011.14,674.09,1685.23,-197510.97,2700,96.6,48,17.40342623293828,26.040518290156562,EN 15804,2023-01-01,2028-01-01,270936.335,kg CFC-11 eq,259118.3,kg SO2 eq,39941.858,kg PO4 eq,292954.455,kg C2H4 eq,92420.698,kg Sb eq,309292.113,m3,140308.199,MJ,BLD_00069,window_upgrade
insulation_polyurethane,105327.07500000001,kg,EPD-9087-INS,Insulation_polyurethane Corp 34,Asia,430,508880.89,152664.27,50888.09,305328.53,5266.35,2106.54,105.327,1053.27,3159.81,2106.54,5266.35,-30652.76,30,27.6,28,18.200408963226177,17.20163012521879,ISO 21930,2023-01-01,2028-01-01,350079.016,kg CFC-11 eq,664991.004,kg SO2 eq,690555.075,kg PO4 eq,656519.206,kg C2H4 eq,608711.856,kg Sb eq,798987.54,m3,499225.259,MJ,BLD_00069,wall_insulation
aluminum,7021.805,kg,EPD-2765-ALU,Aluminum Corp 77,Local,1775,76829.97,23048.99,7683.0,46097.98,351.09,140.44,7.022,70.22,210.65,140.44,351.09,-38398.07,2700,99.4,41,12.045351693672526,3.3230093251702564,ISO 14025,2023-01-01,2028-01-01,20559.257,kg CFC-11 eq,34414.215,kg SO2 eq,29231.591,kg PO4 eq,67006.509,kg C2H4 eq,39952.867,kg Sb eq,1268.754,m3,59048.222,MJ,BLD_00069,wall_insulation
glass,70030.44,kg,EPD-3003-GLA,Glass Corp 7,North America,1243,82733.85,24820.15,8273.38,49640.31,3501.52,1400.61,70.03,700.3,2100.91,1400.61,3501.52,-37559.38,2500,99.6,41,14.823138931478477,45.25864789978737,ISO 21930,2023-01-01,2028-01-01,356409.202,kg CFC-11 eq,586364.676,kg SO2 eq,612946.026,kg PO4 eq,261301.781,kg C2H4 eq,235408.403,kg Sb eq,386434.751,m3,415249.426,MJ,BLD_00080,solar_panels
aluminum,46686.96,kg,EPD-7030-ALU,Aluminum Corp 22,Local,574,507614.8,152284.44,50761.48,304568.88,2334.35,933.74,46.687,466.87,1400.61,933.74,2334.35,-244249.25,2700,96.6,44,1.9205623096099123,9.91243203290364,ISO 21930,2023-01-01,2028-01-01,142621.881,kg CFC-11 eq,123481.811,kg SO2 eq,244869.912,kg PO4 eq,432406.87,kg C2H4 eq,312801.458,kg Sb eq,264493.116,m3,27881.668,MJ,BLD_00080,solar_panels
steel,23343.48,kg,EPD-3538-STE,Steel Corp 80,Europe,1367,38799.28,11639.79,3879.93,23279.57,1167.17,466.87,23.343,233.43,700.3,466.87,1167.17,-18360.96,7850,94.9,74,6.287174340327515,5.318391566638391,ISO 21930,2023-01-01,2028-01-01,56951.312,kg CFC-11 eq,61322.285,kg SO2 eq,7645.297,kg PO4 eq,145924.761,kg C2H4 eq,196320.744,kg Sb eq,120380.937,m3,25961.247,MJ,BLD_00080,solar_panels
glass,210091.32,kg,EPD-2748-GLA,Glass Corp 38,North America,1610,251144.31,75343.29,25114.43,150686.59,10504.57,4201.83,210.091,2100.91,6302.74,4201.83,10504.57,-123856.33,2500,91.4,41,4.542701849424395,10.933993034237083,EN 15804,2023-01-01,2028-01-01,589574.182,kg CFC-11 eq,137278.942,kg SO2 eq,32906.145,kg PO4 eq,242798.16,kg C2H4 eq,443153.615,kg Sb eq,591808.91,m3,635247.793,MJ,BLD_00080,window_upgrade
aluminum,56024.352,kg,EPD-2370-ALU,Aluminum Corp 37,Asia,1002,517089.2,155126.76,51708.92,310253.52,2801.22,1120.49,56.024,560.24,1680.73,1120.49,2801.22,-253919.15,2700,97.5,40,19.290478504961893,18.565457811883462,ISO 21930,2023-01-01,2028-01-01,508894.736,kg CFC-11 eq,77365.825,kg SO2 eq,74589.585,kg PO4 eq,268033.218,kg C2H4 eq,265699.382,kg Sb eq,527988.311,m3,71087.004,MJ,BLD_00080,window_upgrade
glass,95376.59999999999,kg,EPD-1322-GLA,Glass Corp 10,Local,451,77323.74,23197.12,7732.37,46394.25,4768.83,1907.53,95.377,953.77,2861.3,1907.53,4768.83,-35197.3,2500,99.3,33,3.0270490751797285,8.604421824789977,ISO 14025,2023-01-01,2028-01-01,560576.553,kg CFC-11 eq,103429.336,kg SO2 eq,174957.112,kg PO4 eq,597397.926,kg C2H4 eq,340854.397,kg Sb eq,427094.312,m3,121298.145,MJ,BLD_00068,window_upgrade
aluminum,25433.76,kg,EPD-6996-ALU,Aluminum Corp 44,Asia,718,208787.38,62636.21,20878.74,125272.43,1271.69,508.68,25.434,254.34,763.01,508.68,1271.69,-103617.36,2700,95.5,55,5.774353986181979,26.58946415603817,ISO 14025,2023-01-01,2028-01-01,81570.404,kg CFC-11 eq,234779.438,kg SO2 eq,102639.059,kg PO4 eq,232091.916,kg C2H4 eq,193118.398,kg Sb eq,190462.043,m3,54943.617,MJ,BLD_00068,window_upgrade
steel,200.0,kg,EPD-9278-STE,Steel Corp 96,Asia,1651,361.56,108.47,36.16,216.94,10.0,4.0,0.2,2.0,6.0,4.0,10.0,-164.09,7850,90.9,53,5.504016589052112,0.1764086702424006,ISO 14025,2023-01-01,2028-01-01,1809.032,kg CFC-11 eq,811.635,kg SO2 eq,915.219,kg PO4 eq,751.983,kg C2H4 eq,312.769,kg Sb eq,123.402,m3,1657.254,MJ,BLD_00068,heat_pump
aluminum,50.0,kg,EPD-5564-ALU,Aluminum Corp 66,Local,908,537.31,161.19,53.73,322.39,2.5,1.0,0.05,0.5,1.5,1.0,2.5,-255.86,2700,97.1,47,8.78242152485857,18.696616602521193,EN 15804,2023-01-01,2028-01-01,286.789,kg CFC-11 eq,495.658,kg SO2 eq,487.121,kg PO4 eq,367.381,kg C2H4 eq,171.236,kg Sb eq,360.336,m3,494.991,MJ,BLD_00068,heat_pump
insulation_polyurethane,79480.5,kg,EPD-3938-INS,Insulation_polyurethane Corp 8,North America,1550,269459.18,80837.76,26945.92,161675.51,3974.02,1589.61,79.48,794.8,2384.42,1589.61,3974.02,-13501.79,30,24.6,26,7.939220353005236,28.416328276793568,ISO 21930,2023-01-01,2028-01-01,90221.817,kg CFC-11 eq,572905.964,kg SO2 eq,779651.695,kg PO4 eq,727463.722,kg C2H4 eq,413168.698,kg Sb eq,216608.563,m3,279165.362,MJ,BLD_00068,wall_insulation
aluminum,5298.7,kg,EPD-5096-ALU,Aluminum Corp 75,North America,197,46997.79,14099.34,4699.78,28198.67,264.94,105.97,5.299,52.99,158.96,105.97,264.94,-22445.54,2700,98.7,41,15.895233584741693,33.87043817737668,EN 15804,2023-01-01,2028-01-01,28494.759,kg CFC-11 eq,19885.881,kg SO2 eq,21402.047,kg PO4 eq,1806.385,kg C2H4 eq,3098.479,kg Sb eq,41831.971,m3,7618.614,MJ,BLD_00068,wall_insulation
steel,200.0,kg,EPD-7889-STE,Steel Corp 84,North America,777,391.63,117.49,39.16,234.98,10.0,4.0,0.2,2.0,6.0,4.0,10.0,-182.3,7850,94.7,87,1.5045550378479366,47.89448179190812,ISO 14025,2023-01-01,2028-01-01,1996.376,kg CFC-11 eq,824.917,kg SO2 eq,885.638,kg PO4 eq,122.884,kg C2H4 eq,367.568,kg Sb eq,394.623,m3,549.478,MJ,BLD_00073,heat_pump
aluminum,50.0,kg,EPD-6692-ALU,Aluminum Corp 88,Europe,1785,461.27,138.38,46.13,276.76,2.5,1.0,0.05,0.5,1.5,1.0,2.5,-222.44,2700,97.3,40,14.759046922463956,9.855109411242829,ISO 21930,2023-01-01,2028-01-01,125.971,kg CFC-11 eq,77.539,kg SO2 eq,303.549,kg PO4 eq,425.782,kg C2H4 eq,77.666,kg Sb eq,98.766,m3,248.726,MJ,BLD_00073,heat_pump
glass,386171.45999999996,kg,EPD-5449-GLA,Glass Corp 91,North America,352,381440.92,114432.28,38144.09,228864.55,19308.57,7723.43,386.171,3861.71,11585.14,7723.43,19308.57,-175102.49,2500,91.0,35,13.594542488682066,6.5594851847971425,ISO 21930,2023-01-01,2028-01-01,415963.387,kg CFC-11 eq,2767377.905,kg SO2 eq,2279749.004,kg PO4 eq,1851975.486,kg C2H4 eq,3758556.407,kg Sb eq,357765.938,m3,2829018.153,MJ,BLD_00073,window_upgrade
aluminum,102979.056,kg,EPD-1462-ALU,Aluminum Corp 30,North America,958,1154279.95,346283.99,115428.0,692567.97,5148.95,2059.58,102.979,1029.79,3089.37,2059.58,5148.95,-554169.88,2700,97.3,43,0.6250997873597619,8.832841586664825,ISO 14025,2023-01-01,2028-01-01,556549.389,kg CFC-11 eq,750451.249,kg SO2 eq,336667.312,kg PO4 eq,521194.216,kg C2H4 eq,211919.87,kg Sb eq,173305.103,m3,104134.02,MJ,BLD_00073,window_upgrade
insulation_polyurethane,321809.55000000005,kg,EPD-4395-INS,Insulation_polyurethane Corp 95,North America,229,1157497.96,347249.39,115749.8,694498.77,16090.48,6436.19,321.81,3218.1,9654.29,6436.19,16090.48,-169604.43,30,16.4,38,14.637296080851062,49.2351776629977,ISO 21930,2023-01-01,2028-01-01,948555.843,kg CFC-11 eq,724627.969,kg SO2 eq,2242282.426,kg PO4 eq,3099147.768,kg C2H4 eq,1948381.9,kg Sb eq,3101128.495,m3,3109515.524,MJ,BLD_00073,wall_insulation
aluminum,21453.97,kg,EPD-7237-ALU,Aluminum Corp 30,Asia,1605,248336.11,74500.83,24833.61,149001.67,1072.7,429.08,21.454,214.54,643.62,429.08,1072.7,-120121.65,2700,97.2,42,14.031473004597494,43.58161325025132,EN 15804,2023-01-01,2028-01-01,52156.336,kg CFC-11 eq,137076.565,kg SO2 eq,108537.578,kg PO4 eq,192969.104,kg C2H4 eq,69435.081,kg Sb eq,23117.163,m3,171806.026,MJ,BLD_00073,wall_insulation
insulation_mineral_wool,193085.72999999998,kg,EPD-3305-INS,Insulation_mineral_wool Corp 89,Asia,116,245654.33,73696.3,24565.43,147392.6,9654.29,3861.71,193.086,1930.86,5792.57,3861.71,9654.29,-71192.09,100,60.8,48,18.931840456272397,29.593378641581914,ISO 21930,2023-01-01,2028-01-01,491803.309,kg CFC-11 eq,1491578.743,kg SO2 eq,1327946.642,kg PO4 eq,335436.661,kg C2H4 eq,989027.557,kg Sb eq,586285.387,m3,889857.758,MJ,BLD_00073,roof_insulation
steel,200.0,kg,EPD-8635-STE,Steel Corp 17,Local,1026,309.77,92.93,30.98,185.86,10.0,4.0,0.2,2.0,6.0,4.0,10.0,-142.0,7850,91.7,76,16.370490430139895,31.61278220169853,ISO 21930,2023-01-01,2028-01-01,588.545,kg CFC-11 eq,515.997,kg SO2 eq,711.568,kg PO4 eq,1320.157,kg C2H4 eq,123.618,kg Sb eq,705.268,m3,393.242,MJ,BLD_00070,heat_pump
aluminum,50.0,kg,EPD-1921-ALU,Aluminum Corp 28,North America,1373,535.44,160.63,53.54,321.27,2.5,1.0,0.05,0.5,1.5,1.0,2.5,-258.65,2700,97.5,56,3.7208722814663076,5.794307567384077,EN 15804,2023-01-01,2028-01-01,74.284,kg CFC-11 eq,309.832,kg SO2 eq,213.75,kg PO4 eq,255.871,kg C2H4 eq,447.02,kg Sb eq,429.813,m3,101.336,MJ,BLD_00070,heat_pump
glass,34640.46,kg,EPD-6976-GLA,Glass Corp 80,Europe,1834,32685.8,9805.74,3268.58,19611.48,1732.02,692.81,34.64,346.4,1039.21,692.81,1732.02,-15699.77,2500,98.8,44,8.185867704038905,25.61231939568084,ISO 21930,2023-01-01,2028-01-01,322562.443,kg CFC-11 eq,243734.817,kg SO2 eq,227768.151,kg PO4 eq,51278.182,kg C2H4 eq,115735.333,kg Sb eq,224176.958,m3,342334.575,MJ,BLD_00070,window_upgrade
aluminum,9237.456,kg,EPD-7668-ALU,Aluminum Corp 26,Local,879,82271.82,24681.55,8227.18,49363.09,461.87,184.75,9.237,92.37,277.12,184.75,461.87,-39442.42,2700,97.5,42,9.229177506624229,5.7937323916965875,ISO 14025,2023-01-01,2028-01-01,34263.053,kg CFC-11 eq,19600.187,kg SO2 eq,58835.31,kg PO4 eq,55144.737,kg C2H4 eq,30745.768,kg Sb eq,90271.21,m3,55932.34,MJ,BLD_00070,window_upgrade
steel,200.0,kg,EPD-2442-STE,Steel Corp 97,Asia,1316,464.59,139.38,46.46,278.75,10.0,4.0,0.2,2.0,6.0,4.0,10.0,-209.39,7850,90.9,94,7.117926485056043,3.20125437641422,ISO 21930,2023-01-01,2028-01-01,187.335,kg CFC-11 eq,882.41,kg SO2 eq,1805.753,kg PO4 eq,1657.937,kg C2H4 eq,891.534,kg Sb eq,1233.801,m3,109.628,MJ,BLD_00045,heat_pump
aluminum,50.0,kg,EPD-7064-ALU,Aluminum Corp 42,Asia,542,469.49,140.85,46.95,281.69,2.5,1.0,0.05,0.5,1.5,1.0,2.5,-228.66,2700,95.9,59,0.5582887310466833,30.65985775000354,ISO 14025,2023-01-01,2028-01-01,172.466,kg CFC-11 eq,351.124,kg SO2 eq,146.479,kg PO4 eq,188.372,kg C2H4 eq,272.093,kg Sb eq,141.777,m3,412.347,MJ,BLD_00045,heat_pump
insulation_mineral_wool,53216.99999999999,kg,EPD-4452-INS,Insulation_mineral_wool Corp 32,North America,1861,59387.26,17816.18,5938.73,35632.35,2660.85,1064.34,53.217,532.17,1596.51,1064.34,2660.85,-19183.88,100,58.3,32,11.414639639692851,2.1021486100467,ISO 21930,2023-01-01,2028-01-01,154838.076,kg CFC-11 eq,106343.675,kg SO2 eq,28241.083,kg PO4 eq,73374.343,kg C2H4 eq,47467.252,kg Sb eq,21894.853,m3,224702.947,MJ,BLD_00045,roof_insulation
insulation_polyurethane,101814.97499999999,kg,EPD-3268-INS,Insulation_polyurethane Corp 67,Local,1310,461650.44,138495.13,46165.04,276990.26,5090.75,2036.3,101.815,1018.15,3054.45,2036.3,5090.75,-34232.75,30,16.8,27,0.49117198332334855,42.50761744302648,ISO 14025,2023-01-01,2028-01-01,230590.815,kg CFC-11 eq,216937.665,kg SO2 eq,529131.696,kg PO4 eq,452714.549,kg C2H4 eq,987801.569,kg Sb eq,325767.813,m3,220327.815,MJ,BLD_00062,wall_insulation
aluminum,6787.665,kg,EPD-9851-ALU,Aluminum Corp 86,Europe,1809,74963.45,22489.03,7496.34,44978.07,339.38,135.75,6.788,67.88,203.63,135.75,339.38,-35941.23,2700,96.5,52,7.824204492738049,30.786730190675566,ISO 21930,2023-01-01,2028-01-01,11625.216,kg CFC-11 eq,65354.747,kg SO2 eq,24584.465,kg PO4 eq,23423.521,kg C2H4 eq,22480.749,kg Sb eq,12381.981,m3,4983.937,MJ,BLD_00062,wall_insulation
insulation_mineral_wool,61088.98499999999,kg,EPD-2833-INS,Insulation_mineral_wool Corp 82,North America,1439,81862.18,24558.65,8186.22,49117.31,3054.45,1221.78,61.089,610.89,1832.67,1221.78,3054.45,-23004.11,100,65.5,47,16.984362350410706,24.564366264132314,EN 15804,2023-01-01,2028-01-01,2390.769,kg CFC-11 eq,165566.564,kg SO2 eq,223853.17,kg PO4 eq,487818.776,kg C2H4 eq,503146.626,kg Sb eq,335602.917,m3,592917.962,MJ,BLD_00062,roof_insulation
glass,122177.96999999999,kg,EPD-4092-GLA,Glass Corp 87,Asia,398,98422.76,29526.83,9842.28,59053.66,6108.9,2443.56,122.178,1221.78,3665.34,2443.56,6108.9,-44795.54,2500,96.5,44,6.564104350707389,30.61477953741376,EN 15804,2023-01-01,2028-01-01,420776.134,kg CFC-11 eq,306838.924,kg SO2 eq,1095796.01,kg PO4 eq,729402.12,kg C2H4 eq,1217194.449,kg Sb eq,294573.984,m3,90949.275,MJ,BLD_00062,window_upgrade
aluminum,32580.791999999998,kg,EPD-4421-ALU,Aluminum Corp 23,Europe,1465,385908.14,115772.44,38590.81,231544.88,1629.04,651.62,32.581,325.81,977.42,651.62,1629.04,-185952.79,2700,98.6,47,12.798081112919007,6.562030877247171,EN 15804,2023-01-01,2028-01-01,17851.086,kg CFC-11 eq,48930.119,kg SO2 eq,245132.751,kg PO4 eq,194652.686,kg C2H4 eq,56144.111,kg Sb eq,111285.144,m3,271270.845,MJ,BLD_00062,window_upgrade
glass,40725.990000000005,kg,EPD-6852-GLA,Glass Corp 15,Asia,933,37903.39,11371.02,3790.34,22742.03,2036.3,814.52,40.726,407.26,1221.78,814.52,2036.3,-17463.24,2500,90.6,31,9.877410197650322,30.362467254082905,ISO 21930,2023-01-01,2028-01-01,303274.942,kg CFC-11 eq,84648.224,kg SO2 eq,9406.102,kg PO4 eq,73584.887,kg C2H4 eq,142113.591,kg Sb eq,190174.001,m3,174884.237,MJ,BLD_00062,solar_panels
