material_type,quantity,unit,epd_number,manufacturer,production_location,transport_distance_km,a1_a3_embodied_carbon_kg_co2,a1_raw_material_kg_co2,a2_transport_kg_co2,a3_manufacturing_kg_co2,a4_transport_to_site_kg_co2,a5_installation_kg_co2,b1_b7_use_stage_kg_co2_per_year,c1_deconstruction_kg_co2,c2_transport_eol_kg_co2,c3_waste_processing_kg_co2,c4_disposal_kg_co2,d_recycling_potential_kg_co2,density_kg_m3,recyclability_pct,expected_lifespan_years,renewable_content_pct,recycled_content_pct,certification_standard,valid_from,valid_until,ozone_depletion_potential_value,ozone_depletion_potential_unit,acidification_potential_value,acidification_potential_unit,eutrophication_potential_value,eutrophication_potential_unit,photochemical_oxidation_potential_value,photochemical_oxidation_potential_unit,abiotic_depletion_potential_value,abiotic_depletion_potential_unit,water_consumption_value,water_consumption_unit,primary_energy_demand_value,primary_energy_demand_unit,building_id,component
glass,205123.59,kg,EPD-6272-GLA,Glass Corp 58,North America,1454,218054.25,65416.28,21805.43,130832.55,10256.18,4102.47,205.124,2051.24,6153.71,4102.47,10256.18,-99725.58,2500,99.1,34,6.603517136550456,49.7229050171677,ISO 21930,2023-01-01,2028-01-01,1557678.798,kg CFC-11 eq,1791228.25,kg SO2 eq,864940.9,kg PO4 eq,50237.435,kg C2H4 eq,1410370.58,kg Sb eq,550828.844,m3,1677810.727,MJ,BLD_00061,windows
aluminum,51280.8975,kg,EPD-1023-ALU,Aluminum Corp 14,North America,1472,559765.69,167929.71,55976.57,335859.41,2564.04,1025.62,51.281,512.81,1538.43,1025.62,2564.04,-275031.24,2700,95.6,46,7.60360432523324,7.617263225167436,ISO 21930,2023-01-01,2028-01-01,96014.631,kg CFC-11 eq,318289.187,kg SO2 eq,503180.901,kg PO4 eq,146377.85,kg C2H4 eq,247941.283,kg Sb eq,19061.465,m3,69444.432,MJ,BLD_00061,window_frames
concrete,12071.568,m3,EPD-8456-CON,Concrete Corp 1,North America,1725,3105.18,931.56,310.52,1863.11,603.58,241.43,12.072,120.72,362.15,241.43,603.58,-347.24,2400,34.0,73,0.7045268012494921,33.31792158826788,ISO 14025,2023-01-01,2028-01-01,25592.715,kg CFC-11 eq,23639.225,kg SO2 eq,4873.524,kg PO4 eq,72834.736,kg C2H4 eq,40423.249,kg Sb eq,12784.307,m3,7927.6,MJ,BLD_00001,structure
brick,4526838.0,kg,EPD-7453-BRI,Brick Corp 83,Europe,455,952649.51,285794.85,95264.95,571589.7,226341.9,90536.76,4526.838,45268.38,135805.14,90536.76,226341.9,-406534.46,1900,84.4,123,13.09910232079632,17.41279264006478,ISO 21930,2023-01-01,2028-01-01,12648390.089,kg CFC-11 eq,8065212.276,kg SO2 eq,23742857.073,kg PO4 eq,4671354.527,kg C2H4 eq,8644112.538,kg Sb eq,40040012.809,m3,29319735.017,MJ,BLD_00001,facade
insulation_mineral_wool,362147.04,kg,EPD-8540-INS,Insulation_mineral_wool Corp 60,Europe,215,414443.06,124332.92,41444.31,248665.83,18107.35,7242.94,362.147,3621.47,10864.41,7242.94,18107.35,-125153.61,100,67.2,42,8.829731002023253,39.18871226190914,ISO 14025,2023-01-01,2028-01-01,3407202.777,kg CFC-11 eq,701394.888,kg SO2 eq,186875.025,kg PO4 eq,956102.462,kg C2H4 eq,2258784.372,kg Sb eq,9145.915,m3,2147992.985,MJ,BLD_00001,insulation
glass,271610.27999999997,kg,EPD-3543-GLA,Glass Corp 57,Europe,578,253340.77,76002.23,25334.08,152004.46,13580.51,5432.21,271.61,2716.1,8148.31,5432.21,13580.51,-116832.55,2500,94.2,38,9.406576641335123,49.94081653820612,EN 15804,2023-01-01,2028-01-01,2632682.825,kg CFC-11 eq,830493.345,kg SO2 eq,1303626.845,kg PO4 eq,1893782.24,kg C2H4 eq,1403626.129,kg Sb eq,1581594.739,m3,1942907.674,MJ,BLD_00001,windows
aluminum,67902.56999999999,kg,EPD-7405-ALU,Aluminum Corp 81,Europe,1484,656729.73,197018.92,65672.97,394037.84,3395.13,1358.05,67.903,679.03,2037.08,1358.05,3395.13,-327092.73,2700,98.3,54,7.661986396778763,48.379075053026746,ISO 14025,2023-01-01,2028-01-01,355473.84,kg CFC-11 eq,37864.831,kg SO2 eq,198896.395,kg PO4 eq,55201.043,kg C2H4 eq,419849.484,kg Sb eq,430827.853,m3,110385.103,MJ,BLD_00001,window_frames
timber,3588.6389999999997,m3,EPD-7610-TIM,Timber Corp 82,Asia,1263,-1714.83,-514.45,-171.48,-1028.9,179.43,71.77,3.589,35.89,107.66,71.77,179.43,652.44,500,73.3,61,3.7729455616552943,8.552762244185114,EN 15804,2023-01-01,2028-01-01,3396.212,kg CFC-11 eq,25877.444,kg SO2 eq,31431.192,kg PO4 eq,9652.861,kg C2H4 eq,22961.147,kg Sb eq,26108.372,m3,33988.307,MJ,BLD_00021,structure
glass,448579.875,kg,EPD-2561-GLA,Glass Corp 61,Asia,1380,512181.86,153654.56,51218.19,307309.11,22428.99,8971.6,448.58,4485.8,13457.4,8971.6,22428.99,-235552.21,2500,93.8,46,7.317117310100323,13.161900166504669,ISO 21930,2023-01-01,2028-01-01,3562999.304,kg CFC-11 eq,1399525.274,kg SO2 eq,1631322.759,kg PO4 eq,1742553.263,kg C2H4 eq,2841756.021,kg Sb eq,3369573.965,m3,3687086.48,MJ,BLD_00021,facade
insulation_mineral_wool,143545.56,kg,EPD-6469-INS,Insulation_mineral_wool Corp 37,Local,364,214722.05,64416.62,21472.21,128833.23,7177.28,2870.91,143.546,1435.46,4306.37,2870.91,7177.28,-72516.92,100,55.1,40,18.55201210443315,46.64018428332884,EN 15804,2023-01-01,2028-01-01,65253.639,kg CFC-11 eq,582229.844,kg SO2 eq,110327.721,kg PO4 eq,166403.948,kg C2H4 eq,323963.125,kg Sb eq,24408.923,m3,382322.15,MJ,BLD_00021,insulation
glass,107659.17,kg,EPD-3215-GLA,Glass Corp 61,North America,1781,114378.1,34313.43,11437.81,68626.86,5382.96,2153.18,107.659,1076.59,3229.78,2153.18,5382.96,-55099.13,2500,92.0,31,10.13162188109975,1.7880379229819499,ISO 14025,2023-01-01,2028-01-01,450908.842,kg CFC-11 eq,855576.708,kg SO2 eq,1055285.131,kg PO4 eq,715533.382,kg C2H4 eq,235702.65,kg Sb eq,394014.398,m3,385107.616,MJ,BLD_00021,windows
aluminum,26914.7925,kg,EPD-7072-ALU,Aluminum Corp 76,Europe,1126,241141.61,72342.48,24114.16,144684.97,1345.74,538.3,26.915,269.15,807.44,538.3,1345.74,-119185.07,2700,97.8,46,12.250485355232625,38.89553041709957,ISO 14025,2023-01-01,2028-01-01,142614.739,kg CFC-11 eq,104846.176,kg SO2 eq,150869.832,kg PO4 eq,11787.475,kg C2H4 eq,92919.579,kg Sb eq,96778.225,m3,191482.364,MJ,BLD_00021,window_frames
steel,814453.5,kg,EPD-4316-STE,Steel Corp 68,Europe,993,1391494.37,417448.31,139149.44,834896.62,40722.68,16289.07,814.454,8144.54,24433.6,16289.07,40722.68,-647871.01,7850,93.7,58,8.121120576510341,19.415680319431853,ISO 21930,2023-01-01,2028-01-01,5487756.867,kg CFC-11 eq,81778.614,kg SO2 eq,2051352.519,kg PO4 eq,7203672.179,kg C2H4 eq,3015682.246,kg Sb eq,835546.92,m3,6575122.7,MJ,BLD_00035,structure
concrete,4886.7210000000005,m3,EPD-7756-CON,Concrete Corp 87,Local,760,992.51,297.75,99.25,595.51,244.34,97.73,4.887,48.87,146.6,97.73,244.34,-176.84,2400,30.3,98,12.2389105906834,48.32009663716001,EN 15804,2023-01-01,2028-01-01,31545.043,kg CFC-11 eq,15787.76,kg SO2 eq,45608.365,kg PO4 eq,42393.12,kg C2H4 eq,24279.042,kg Sb eq,38562.285,m3,34781.312,MJ,BLD_00035,facade
insulation_mineral_wool,195468.84,kg,EPD-4308-INS,Insulation_mineral_wool Corp 22,North America,422,208474.31,62542.29,20847.43,125084.59,9773.44,3909.38,195.469,1954.69,5864.07,3909.38,9773.44,-52996.9,100,54.8,31,7.985927796226506,34.510025778440344,ISO 21930,2023-01-01,2028-01-01,205317.349,kg CFC-11 eq,72672.383,kg SO2 eq,839706.799,kg PO4 eq,1101865.689,kg C2H4 eq,1638278.845,kg Sb eq,196895.966,m3,1657075.11,MJ,BLD_00035,insulation
glass,146601.62999999998,kg,EPD-4967-GLA,Glass Corp 44,Europe,1610,139670.39,41901.12,13967.04,83802.24,7330.08,2932.03,146.602,1466.02,4398.05,2932.03,7330.08,-67542.2,2500,98.0,39,19.640894341281133,7.349245933204552,EN 15804,2023-01-01,2028-01-01,1430703.942,kg CFC-11 eq,225746.374,kg SO2 eq,583321.421,kg PO4 eq,195825.244,kg C2H4 eq,211713.324,kg Sb eq,231213.029,m3,602763.73,MJ,BLD_00035,windows
aluminum,36650.407499999994,kg,EPD-2976-ALU,Aluminum Corp 35,Europe,1515,418730.77,125619.23,41873.08,251238.46,1832.52,733.01,36.65,366.5,1099.51,733.01,1832.52,-206973.01,2700,98.2,50,5.958931019360523,7.28213126258842,ISO 21930,2023-01-01,2028-01-01,217930.805,kg CFC-11 eq,62602.37,kg SO2 eq,87908.924,kg PO4 eq,54485.77,kg C2H4 eq,253381.341,kg Sb eq,283673.3,m3,20423.694,MJ,BLD_00035,window_frames
concrete,13219.245,m3,EPD-4124-CON,Concrete Corp 17,Local,1128,2715.84,814.75,271.58,1629.5,660.96,264.38,13.219,132.19,396.58,264.38,660.96,-526.4,2400,23.4,92,13.441576683687531,13.237860300500987,EN 15804,2023-01-01,2028-01-01,44008.295,kg CFC-11 eq,84694.869,kg SO2 eq,110536.029,kg PO4 eq,74976.183,kg C2H4 eq,94404.76,kg Sb eq,30845.146,m3,30437.759,MJ,BLD_00024,structure
brick,3965773.5,kg,EPD-6287-BRI,Brick Corp 49,Europe,1352,857320.56,257196.17,85732.06,514392.34,198288.68,79315.47,3965.774,39657.74,118973.2,79315.47,198288.68,-383264.35,1900,90.0,111,11.767664146524332,44.71356188376042,ISO 21930,2023-01-01,2028-01-01,20600035.663,kg CFC-11 eq,16176340.315,kg SO2 eq,19360604.546,kg PO4 eq,14905389.016,kg C2H4 eq,2221014.619,kg Sb eq,30442215.964,m3,29886767.638,MJ,BLD_00024,facade
insulation_mineral_wool,396577.35,kg,EPD-8443-INS,Insulation_mineral_wool Corp 59,North America,491,574689.26,172406.78,57468.93,344813.55,19828.87,7931.55,396.577,3965.77,11897.32,7931.55,19828.87,-165278.56,100,68.1,30,11.036541937175272,0.013346464164060157,ISO 14025,2023-01-01,2028-01-01,157612.842,kg CFC-11 eq,213175.351,kg SO2 eq,975516.217,kg PO4 eq,3687733.361,kg C2H4 eq,1493977.257,kg Sb eq,511030.579,m3,3761196.524,MJ,BLD_00024,insulation
glass,237946.41,kg,EPD-6478-GLA,Glass Corp 55,Local,1769,276959.83,83087.95,27695.98,166175.9,11897.32,4758.93,237.946,2379.46,7138.39,4758.93,11897.32,-134658.34,2500,94.2,45,14.917736788469632,45.707492448657376,EN 15804,2023-01-01,2028-01-01,1021555.484,kg CFC-11 eq,1398411.041,kg SO2 eq,693563.642,kg PO4 eq,1931297.03,kg C2H4 eq,1590697.517,kg Sb eq,1361502.969,m3,1683931.255,MJ,BLD_00024,windows
aluminum,59486.6025,kg,EPD-4202-ALU,Aluminum Corp 70,Asia,1465,681706.44,204511.93,68170.64,409023.86,2974.33,1189.73,59.487,594.87,1784.6,1189.73,2974.33,-328935.71,2700,99.7,44,1.2805577038769766,21.608834403073995,ISO 21930,2023-01-01,2028-01-01,95166.033,kg CFC-11 eq,110688.629,kg SO2 eq,95544.121,kg PO4 eq,315325.739,kg C2H4 eq,132707.125,kg Sb eq,310546.147,m3,467783.672,MJ,BLD_00024,window_frames
concrete,3174.46,m3,EPD-4130-CON,Concrete Corp 2,Europe,1037,1078.14,323.44,107.81,646.88,158.72,63.49,3.174,31.74,95.23,63.49,158.72,-108.3,2400,28.4,54,11.15106574233348,30.150220101098547,ISO 14025,2023-01-01,2028-01-01,15966.116,kg CFC-11 eq,9459.161,kg SO2 eq,21626.686,kg PO4 eq,9051.294,kg C2H4 eq,22827.4,kg Sb eq,23910.989,m3,5339.049,MJ,BLD_00031,structure
glass,297605.62499999994,kg,EPD-5405-GLA,Glass Corp 71,Asia,1565,311863.5,93559.05,31186.35,187118.1,14880.28,5952.11,297.606,2976.06,8928.17,5952.11,14880.28,-146057.11,2500,96.5,41,0.8267957800624903,31.901251811946736,ISO 14025,2023-01-01,2028-01-01,1700447.594,kg CFC-11 eq,1977803.098,kg SO2 eq,414860.183,kg PO4 eq,2513108.051,kg C2H4 eq,2572861.008,kg Sb eq,1965948.676,m3,2220970.862,MJ,BLD_00031,facade
insulation_polyurethane,35712.674999999996,kg,EPD-3132-INS,Insulation_polyurethane Corp 87,North America,1694,130918.36,39275.51,13091.84,78551.02,1785.63,714.25,35.713,357.13,1071.38,714.25,1785.63,-17042.48,30,23.4,33,17.846211735293323,5.165172664814338,EN 15804,2023-01-01,2028-01-01,266414.902,kg CFC-11 eq,22177.56,kg SO2 eq,268000.198,kg PO4 eq,131407.13,kg C2H4 eq,263868.216,kg Sb eq,63546.895,m3,108309.929,MJ,BLD_00031,insulation
glass,71425.34999999999,kg,EPD-7927-GLA,Glass Corp 85,Local,962,59188.95,17756.69,5918.9,35513.37,3571.27,1428.51,71.425,714.25,2142.76,1428.51,3571.27,-27880.6,2500,96.4,30,15.719034768248058,46.679745454193785,ISO 14025,2023-01-01,2028-01-01,678301.355,kg CFC-11 eq,527810.828,kg SO2 eq,405998.962,kg PO4 eq,215859.653,kg C2H4 eq,25286.424,kg Sb eq,143121.377,m3,586755.348,MJ,BLD_00031,windows
aluminum,17856.337499999998,kg,EPD-5735-ALU,Aluminum Corp 99,North America,1605,155030.53,46509.16,15503.05,93018.32,892.82,357.13,17.856,178.56,535.69,357.13,892.82,-74409.25,2700,98.6,40,8.60350941422098,13.532713372389193,ISO 21930,2023-01-01,2028-01-01,130798.267,kg CFC-11 eq,25040.365,kg SO2 eq,72849.545,kg PO4 eq,11990.964,kg C2H4 eq,176517.883,kg Sb eq,53278.231,m3,10474.068,MJ,BLD_00031,window_frames
steel,102607.0,kg,EPD-4403-STE,Steel Corp 62,Europe,757,222221.23,66666.37,22222.12,133332.74,5130.35,2052.14,102.607,1026.07,3078.21,2052.14,5130.35,-100829.31,7850,94.2,67,3.801284103822855,5.988137440014868,ISO 21930,2023-01-01,2028-01-01,66652.03,kg CFC-11 eq,693440.912,kg SO2 eq,960278.293,kg PO4 eq,547404.739,kg C2H4 eq,667505.213,kg Sb eq,30949.031,m3,937504.448,MJ,BLD_00055,structure
concrete,615.642,m3,EPD-4944-CON,Concrete Corp 94,Europe,1580,213.89,64.17,21.39,128.34,30.78,12.31,0.616,6.16,18.47,12.31,30.78,-42.51,2400,23.3,73,3.2686629500430198,42.99548744087404,ISO 14025,2023-01-01,2028-01-01,1696.926,kg CFC-11 eq,2734.779,kg SO2 eq,2696.681,kg PO4 eq,2853.761,kg C2H4 eq,2677.217,kg Sb eq,4004.909,m3,4112.393,MJ,BLD_00055,facade
insulation_mineral_wool,24625.68,kg,EPD-3675-INS,Insulation_mineral_wool Corp 65,Local,1334,28202.21,8460.66,2820.22,16921.33,1231.28,492.51,24.626,246.26,738.77,492.51,1231.28,-9691.6,100,54.7,44,19.653291204429493,36.852593731102075,ISO 14025,2023-01-01,2028-01-01,129087.993,kg CFC-11 eq,180885.714,kg SO2 eq,180195.171,kg PO4 eq,180546.255,kg C2H4 eq,26875.624,kg Sb eq,72479.669,m3,206685.712,MJ,BLD_00055,insulation
glass,18469.26,kg,EPD-1151-GLA,Glass Corp 48,Local,1291,16917.79,5075.34,1691.78,10150.68,923.46,369.39,18.469,184.69,554.08,369.39,923.46,-8154.52,2500,99.4,33,2.2494093684689487,25.46336035518587,ISO 14025,2023-01-01,2028-01-01,132324.457,kg CFC-11 eq,120587.954,kg SO2 eq,4713.091,kg PO4 eq,47314.001,kg C2H4 eq,12850.314,kg Sb eq,10092.504,m3,178956.966,MJ,BLD_00055,windows
aluminum,4617.315,kg,EPD-8197-ALU,Aluminum Corp 22,Asia,1458,50293.59,15088.08,5029.36,30176.15,230.87,92.35,4.617,46.17,138.52,92.35,230.87,-23979.21,2700,99.2,49,18.350308771433767,8.649413287338781,EN 15804,2023-01-01,2028-01-01,13077.587,kg CFC-11 eq,27747.729,kg SO2 eq,751.527,kg PO4 eq,44216.227,kg C2H4 eq,13351.576,kg Sb eq,41009.894,m3,3952.353,MJ,BLD_00055,window_frames
timber,7924.233,m3,EPD-8510-TIM,Timber Corp 6,North America,1452,-3787.66,-1136.3,-378.77,-2272.6,396.21,158.48,7.924,79.24,237.73,158.48,396.21,1502.85,500,61.5,52,37.046840627376845,0.46664223709212416,EN 15804,2023-01-01,2028-01-01,28878.468,kg CFC-11 eq,41379.852,kg SO2 eq,36111.472,kg PO4 eq,25079.992,kg C2H4 eq,30669.751,kg Sb eq,1221.856,m3,34125.934,MJ,BLD_00085,structure
concrete,7924.233,m3,EPD-6860-CON,Concrete Corp 83,Europe,597,3116.86,935.06,311.69,1870.12,396.21,158.48,7.924,79.24,237.73,158.48,396.21,-347.85,2400,30.4,72,18.744668673272983,16.606564597464242,EN 15804,2023-01-01,2028-01-01,44915.163,kg CFC-11 eq,9543.987,kg SO2 eq,57005.102,kg PO4 eq,73800.916,kg C2H4 eq,37571.085,kg Sb eq,54304.725,m3,5153.933,MJ,BLD_00085,facade
insulation_mineral_wool,396211.65,kg,EPD-9845-INS,Insulation_mineral_wool Corp 50,Europe,264,550424.57,165127.37,55042.46,330254.74,19810.58,7924.23,396.212,3962.12,11886.35,7924.23,19810.58,-190700.91,100,52.4,32,18.144302771889095,21.72130352786405,ISO 21930,2023-01-01,2028-01-01,1865691.575,kg CFC-11 eq,381214.731,kg SO2 eq,823351.982,kg PO4 eq,1465130.839,kg C2H4 eq,763928.04,kg Sb eq,443211.384,m3,1556662.489,MJ,BLD_00085,insulation
glass,237726.99,kg,EPD-7911-GLA,Glass Corp 42,Europe,1343,251720.26,75516.08,25172.03,151032.16,11886.35,4754.54,237.727,2377.27,7131.81,4754.54,11886.35,-116480.47,2500,97.0,45,3.735498480058883,15.879848356456671,EN 15804,2023-01-01,2028-01-01,288805.789,kg CFC-11 eq,1661154.159,kg SO2 eq,1180974.815,kg PO4 eq,1186882.43,kg C2H4 eq,176825.472,kg Sb eq,346191.423,m3,1042935.827,MJ,BLD_00085,windows
aluminum,59431.7475,kg,EPD-1521-ALU,Aluminum Corp 70,North America,707,551980.13,165594.04,55198.01,331188.08,2971.59,1188.63,59.432,594.32,1782.95,1188.63,2971.59,-273419.0,2700,98.7,49,18.52810532152665,27.43968051581101,ISO 14025,2023-01-01,2028-01-01,427439.388,kg CFC-11 eq,20493.481,kg SO2 eq,362361.146,kg PO4 eq,400720.526,kg C2H4 eq,76268.09,kg Sb eq,455099.433,m3,136833.26,MJ,BLD_00085,window_frames
concrete,6525.795,m3,EPD-2349-CON,Concrete Corp 58,Asia,1257,1519.17,455.75,151.92,911.5,326.29,130.52,6.526,65.26,195.77,130.52,326.29,-275.2,2400,26.5,57,13.58418064421771,19.067802147720613,ISO 14025,2023-01-01,2028-01-01,3781.422,kg CFC-11 eq,44504.508,kg SO2 eq,59791.195,kg PO4 eq,27308.812,kg C2H4 eq,38269.123,kg Sb eq,50632.654,m3,63793.034,MJ,BLD_00057,structure
concrete,3915.4770000000008,m3,EPD-1326-CON,Concrete Corp 71,North America,53,1449.4,434.82,144.94,869.64,195.77,78.31,3.915,39.15,117.46,78.31,195.77,-242.54,2400,32.5,97,11.359725025375084,32.91445138126661,ISO 21930,2023-01-01,2028-01-01,37044.424,kg CFC-11 eq,18697.846,kg SO2 eq,35168.249,kg PO4 eq,8471.268,kg C2H4 eq,16131.332,kg Sb eq,30326.386,m3,16343.987,MJ,BLD_00057,facade
insulation_mineral_wool,156619.08000000002,kg,EPD-4387-INS,Insulation_mineral_wool Corp 28,North America,140,226156.86,67847.06,22615.69,135694.11,7830.95,3132.38,156.619,1566.19,4698.57,3132.38,7830.95,-65384.85,100,64.0,50,19.947454257790223,21.410425010542323,ISO 21930,2023-01-01,2028-01-01,533082.055,kg CFC-11 eq,31010.992,kg SO2 eq,1011119.522,kg PO4 eq,1015839.891,kg C2H4 eq,532127.417,kg Sb eq,1443179.075,m3,1063093.824,MJ,BLD_00057,insulation
glass,117464.31,kg,EPD-4573-GLA,Glass Corp 6,Local,1331,96477.62,28943.29,9647.76,57886.57,5873.22,2349.29,117.464,1174.64,3523.93,2349.29,5873.22,-46414.89,2500,93.6,48,15.232663378865489,41.47256502347144,ISO 14025,2023-01-01,2028-01-01,1155306.994,kg CFC-11 eq,1131618.914,kg SO2 eq,1046771.253,kg PO4 eq,1090217.609,kg C2H4 eq,366053.305,kg Sb eq,91425.018,m3,674143.591,MJ,BLD_00057,windows
aluminum,29366.0775,kg,EPD-2106-ALU,Aluminum Corp 17,North America,482,268749.24,80624.77,26874.92,161249.54,1468.3,587.32,29.366,293.66,880.98,587.32,1468.3,-130462.84,2700,97.0,51,0.2570302336165664,9.002924932623557,ISO 21930,2023-01-01,2028-01-01,220712.932,kg CFC-11 eq,171605.79,kg SO2 eq,284461.489,kg PO4 eq,129274.734,kg C2H4 eq,27079.116,kg Sb eq,34549.405,m3,185108.487,MJ,BLD_00057,window_frames
concrete,13832.825,m3,EPD-6087-CON,Concrete Corp 79,Asia,895,3069.67,920.9,306.97,1841.8,691.64,276.66,13.833,138.33,414.98,276.66,691.64,-458.4,2400,25.3,50,4.740204384018806,41.8792657351063,EN 15804,2023-01-01,2028-01-01,62236.463,kg CFC-11 eq,38605.095,kg SO2 eq,115299.885,kg PO4 eq,96212.46,kg C2H4 eq,134743.232,kg Sb eq,106073.509,m3,60235.519,MJ,BLD_00033,structure
glass,1037461.8750000001,kg,EPD-1381-GLA,Glass Corp 89,Europe,621,968093.19,290427.96,96809.32,580855.92,51873.09,20749.24,1037.462,10374.62,31123.86,20749.24,51873.09,-444755.33,2500,94.9,50,17.415969699483508,36.890526814196676,EN 15804,2023-01-01,2028-01-01,3448569.112,kg CFC-11 eq,4624747.966,kg SO2 eq,6687731.58,kg PO4 eq,6897260.989,kg C2H4 eq,1372276.949,kg Sb eq,1840074.026,m3,3343138.355,MJ,BLD_00033,facade
insulation_polyurethane,124495.42500000002,kg,EPD-5059-INS,Insulation_polyurethane Corp 72,Local,123,551810.58,165543.17,55181.06,331086.35,6224.77,2489.91,124.495,1244.95,3734.86,2489.91,6224.77,-77650.37,30,28.9,26,4.2581716812402775,24.78510785517747,ISO 21930,2023-01-01,2028-01-01,534517.6,kg CFC-11 eq,1058615.257,kg SO2 eq,1098658.921,kg PO4 eq,587595.526,kg C2H4 eq,457176.494,kg Sb eq,253196.822,m3,989375.27,MJ,BLD_00033,insulation
glass,248990.85000000003,kg,EPD-6168-GLA,Glass Corp 32,North America,1404,293062.15,87918.64,29306.21,175837.29,12449.54,4979.82,248.991,2489.91,7469.73,4979.82,12449.54,-142116.41,2500,99.8,39,4.0387904045666385,46.704164198275514,ISO 14025,2023-01-01,2028-01-01,2587.225,kg CFC-11 eq,260577.995,kg SO2 eq,141230.373,kg PO4 eq,1358719.432,kg C2H4 eq,1898687.042,kg Sb eq,1780799.533,m3,516627.165,MJ,BLD_00033,windows
aluminum,62247.71250000001,kg,EPD-1034-ALU,Aluminum Corp 15,Europe,560,632380.33,189714.1,63238.03,379428.2,3112.39,1244.95,62.248,622.48,1867.43,1244.95,3112.39,-310404.08,2700,99.0,40,10.055560939345629,42.353779166688504,ISO 14025,2023-01-01,2028-01-01,564353.335,kg CFC-11 eq,505913.267,kg SO2 eq,252112.336,kg PO4 eq,371792.692,kg C2H4 eq,382523.339,kg Sb eq,359046.637,m3,216308.477,MJ,BLD_00033,window_frames
steel,689440.5,kg,EPD-9761-STE,Steel Corp 46,Europe,1865,1519729.54,455918.86,151972.95,911837.73,34472.02,13788.81,689.44,6894.4,20683.22,13788.81,34472.02,-699096.45,7850,90.4,51,9.973653537042422,19.812121339414624,ISO 14025,2023-01-01,2028-01-01,1832954.975,kg CFC-11 eq,4131289.459,kg SO2 eq,1935235.237,kg PO4 eq,5405742.492,kg C2H4 eq,1991997.642,kg Sb eq,4628859.861,m3,6149162.263,MJ,BLD_00028,structure
concrete,4136.643,m3,EPD-2227-CON,Concrete Corp 56,Asia,306,1157.17,347.15,115.72,694.3,206.83,82.73,4.137,41.37,124.1,82.73,206.83,-195.5,2400,39.7,94,16.80128960036425,22.195525144127625,ISO 14025,2023-01-01,2028-01-01,4329.196,kg CFC-11 eq,14084.328,kg SO2 eq,32287.432,kg PO4 eq,32746.036,kg C2H4 eq,39153.531,kg Sb eq,7006.366,m3,15783.981,MJ,BLD_00028,facade
insulation_mineral_wool,206832.15,kg,EPD-3950-INS,Insulation_mineral_wool Corp 67,North America,1793,283946.02,85183.81,28394.6,170367.61,10341.61,4136.64,206.832,2068.32,6204.96,4136.64,10341.61,-93565.95,100,57.1,40,11.694500169473098,45.141883600882956,ISO 21930,2023-01-01,2028-01-01,1097040.307,kg CFC-11 eq,655789.774,kg SO2 eq,1118815.961,kg PO4 eq,1671827.287,kg C2H4 eq,1868161.519,kg Sb eq,1806772.364,m3,1292207.065,MJ,BLD_00028,insulation
glass,124099.29000000001,kg,EPD-4145-GLA,Glass Corp 86,Local,612,143839.1,43151.73,14383.91,86303.46,6204.96,2481.99,124.099,1240.99,3722.98,2481.99,6204.96,-67261.16,2500,98.8,32,10.64483225981144,8.811267179726972,ISO 21930,2023-01-01,2028-01-01,364896.641,kg CFC-11 eq,547147.151,kg SO2 eq,104564.296,kg PO4 eq,792993.401,kg C2H4 eq,376841.115,kg Sb eq,277805.685,m3,888675.976,MJ,BLD_00028,windows
aluminum,31024.822500000002,kg,EPD-8228-ALU,Aluminum Corp 30,Local,1629,276070.51,82821.15,27607.05,165642.3,1551.24,620.5,31.025,310.25,930.74,620.5,1551.24,-135578.95,2700,95.2,41,10.241808046294487,21.917832024190805,EN 15804,2023-01-01,2028-01-01,241346.44,kg CFC-11 eq,145147.967,kg SO2 eq,94923.638,kg PO4 eq,121724.5,kg C2H4 eq,67036.53,kg Sb eq,164005.717,m3,67577.374,MJ,BLD_00028,window_frames
concrete,8598.58,m3,EPD-4643-CON,Concrete Corp 68,Asia,143,3293.05,987.91,329.3,1975.83,429.93,171.97,8.599,85.99,257.96,171.97,429.93,-599.59,2400,31.9,93,1.1914015785403609,35.54942339753019,EN 15804,2023-01-01,2028-01-01,38116.088,kg CFC-11 eq,36784.99,kg SO2 eq,38389.222,kg PO4 eq,28628.326,kg C2H4 eq,50.431,kg Sb eq,66836.881,m3,16346.783,MJ,BLD_00060,structure
glass,644893.5,kg,EPD-8932-GLA,Glass Corp 82,Local,1510,709357.96,212807.39,70935.8,425614.78,32244.68,12897.87,644.894,6448.94,19346.8,12897.87,32244.68,-321326.71,2500,92.2,44,4.179568472098845,49.871718283389185,EN 15804,2023-01-01,2028-01-01,1735559.836,kg CFC-11 eq,6268993.947,kg SO2 eq,3042367.494,kg PO4 eq,545160.786,kg C2H4 eq,2297680.454,kg Sb eq,5341195.344,m3,5358903.998,MJ,BLD_00060,facade
