Sample_ID,Gc_YSZ_GDC,Gc_GDC_LSCF,Gc_YSZ_GDC_800C,Gc_GDC_LSCF_800C,E_YSZ_GPa,E_GDC_GPa,E_LSCF_GPa,CTE_YSZ_ppmK,CTE_GDC_ppmK,CTE_LSCF_ppmK,Delta_T_C,Sigma_mismatch_YSZ_GDC_MPa,Sigma_mismatch_GDC_LSCF_MPa,G_thermal_YSZ_GDC_Jm2,G_thermal_GDC_LSCF_Jm2,Rho_assumed,Temperature_regime,HT_scaling_factor,sigma_HT_assumed_equal_RT
438,3.0175,1.1683,3.0175,1.1683,201.45,183.75,98.07,10.787,12.805,15.383,537.8,218.64,254.71,0.0,0.0,0.0,800C,0.72,True
439,2.2832,2.6446,2.2832,2.6446,198.08,173.1,97.34,11.594,13.159,17.014,553.1,171.47,369.06,0.0,0.0,0.0,800C,0.72,True
440,2.1578,1.9748,2.1578,1.9748,172.57,174.68,94.48,10.995,12.833,16.234,564.1,178.96,335.14,0.0,0.0,0.0,800C,0.72,True
441,2.7019,1.4126,2.7019,1.4126,196.46,171.91,113.82,10.538,13.262,16.244,552.1,295.48,283.0,0.0,0.0,0.0,800C,0.72,True
442,3.8114,1.6945,3.8114,1.6945,188.9,162.35,82.36,11.226,14.093,15.699,524.8,284.23,136.75,0.0,0.0,0.0,800C,0.72,True
443,3.2157,3.0909,3.2157,3.0909,180.48,157.37,100.3,11.152,13.189,16.512,526.1,193.34,275.13,0.0,0.0,0.0,800C,0.72,True
444,1.8877,1.7104,1.8877,1.7104,200.37,164.36,80.21,11.449,13.125,16.477,546.8,183.54,301.3,0.0,0.0,0.0,800C,0.72,True
445,3.3305,1.7039,3.3305,1.7039,187.58,169.75,100.92,10.765,13.445,15.605,567.1,285.16,207.89,0.0,0.0,0.0,800C,0.72,True
446,3.5364,2.081,3.5364,2.081,201.78,157.1,96.38,11.34,13.232,16.997,555.5,212.13,328.55,0.0,0.0,0.0,800C,0.72,True
447,2.8287,1.9925,2.8287,1.9925,210.43,177.31,91.51,11.17,13.153,17.68,548.3,228.81,440.06,0.0,0.0,0.0,800C,0.72,True
448,2.2188,1.1389,2.2188,1.1389,178.02,179.73,70.46,11.166,13.09,16.198,568.6,194.78,317.57,0.0,0.0,0.0,800C,0.72,True
449,1.7391,1.8804,1.7391,1.8804,209.88,163.22,87.39,10.783,12.877,16.618,563.2,247.5,343.84,0.0,0.0,0.0,800C,0.72,True
450,2.1082,2.5242,2.1082,2.5242,187.86,170.87,89.54,11.145,13.547,17.789,542.0,244.58,392.86,0.0,0.0,0.0,800C,0.72,True
451,2.0064,1.0756,2.0064,1.0756,181.08,150.37,111.08,11.429,13.09,16.555,556.0,167.3,289.66,0.0,0.0,0.0,800C,0.72,True
452,1.656,2.5566,1.656,2.5566,191.29,158.23,96.88,11.019,13.367,16.242,552.3,248.06,251.21,0.0,0.0,0.0,800C,0.72,True
453,2.6994,2.0255,2.6994,2.0255,188.24,174.28,90.98,10.906,13.226,17.125,563.0,245.9,382.6,0.0,0.0,0.0,800C,0.72,True
454,1.9907,2.6551,1.9907,2.6551,191.96,164.74,101.97,11.335,12.781,17.191,563.2,156.41,409.16,0.0,0.0,0.0,800C,0.72,True
455,1.869,1.7155,1.869,1.7155,189.05,163.15,107.62,10.508,13.169,16.604,546.5,275.0,306.27,0.0,0.0,0.0,800C,0.72,True
456,2.3934,2.3075,2.3934,2.3075,189.31,162.61,84.28,10.947,13.957,15.541,542.6,309.15,139.79,0.0,0.0,0.0,800C,0.72,True
457,2.0312,1.5451,2.0312,1.5451,184.2,166.22,100.68,10.711,13.035,17.025,538.1,230.37,356.95,0.0,0.0,0.0,800C,0.72,True
458,2.4689,1.6993,2.4689,1.6993,175.58,172.85,100.35,10.502,12.568,16.685,562.1,203.9,399.91,0.0,0.0,0.0,800C,0.72,True
459,2.667,2.1176,2.667,2.1176,188.67,184.24,92.41,10.737,12.765,15.668,549.9,210.41,294.14,0.0,0.0,0.0,800C,0.72,True
460,3.3295,1.5877,3.3295,1.5877,197.23,162.33,88.98,10.91,12.936,16.656,550.7,220.06,332.6,0.0,0.0,0.0,800C,0.72,True
461,2.5763,1.8211,2.5763,1.8211,215.34,156.86,97.23,10.862,12.953,16.982,553.4,249.11,349.77,0.0,0.0,0.0,800C,0.72,True
462,2.9273,1.6912,2.9273,1.6912,181.83,159.38,85.01,11.134,13.227,16.697,561.5,213.7,310.51,0.0,0.0,0.0,800C,0.72,True
463,3.0337,1.8905,3.0337,1.8905,188.24,168.61,103.05,10.726,13.432,16.612,552.6,281.46,296.36,0.0,0.0,0.0,800C,0.72,True
464,3.2361,1.4691,3.2361,1.4691,180.61,171.25,89.39,10.592,13.243,16.806,549.0,262.84,335.01,0.0,0.0,0.0,800C,0.72,True
465,2.8123,1.4913,2.8123,1.4913,179.89,171.71,120.53,11.239,13.508,17.899,556.6,227.2,419.67,0.0,0.0,0.0,800C,0.72,True
466,1.7578,1.4378,1.7578,1.4378,182.23,183.24,107.07,10.919,14.727,17.407,560.8,389.12,275.44,0.0,0.0,0.0,800C,0.72,True
467,2.7764,1.5164,2.7764,1.5164,180.08,182.46,95.88,11.198,12.908,16.627,551.6,169.89,374.35,0.0,0.0,0.0,800C,0.72,True
468,2.1175,2.098,2.1175,2.098,179.77,165.47,93.3,10.727,13.069,15.227,553.6,233.05,197.66,0.0,0.0,0.0,800C,0.72,True
469,3.5687,2.0992,3.5687,2.0992,172.79,172.33,101.25,11.235,13.33,16.204,552.9,200.14,273.87,0.0,0.0,0.0,800C,0.72,True
470,3.1482,1.2145,3.1482,1.2145,190.45,161.85,112.51,10.935,12.85,16.843,556.8,203.1,359.83,0.0,0.0,0.0,800C,0.72,True
471,3.0409,2.7394,3.0409,2.7394,201.71,167.94,97.18,10.908,12.503,16.083,556.9,179.23,334.85,0.0,0.0,0.0,800C,0.72,True
472,3.6484,1.792,3.6484,1.792,199.72,148.64,95.3,11.127,13.274,16.493,556.3,238.45,266.17,0.0,0.0,0.0,800C,0.72,True
473,3.5322,1.6365,3.5322,1.6365,182.12,170.08,103.95,10.879,13.217,17.474,540.1,230.04,391.02,0.0,0.0,0.0,800C,0.72,True
474,2.478,1.9884,2.478,1.9884,185.4,168.15,91.09,11.08,13.391,17.431,553.3,237.11,375.91,0.0,0.0,0.0,800C,0.72,True
475,2.9697,1.479,2.9697,1.479,193.72,183.0,103.79,11.117,13.386,17.159,574.6,252.58,396.71,0.0,0.0,0.0,800C,0.72,True
476,2.5655,2.3475,2.5655,2.3475,204.75,148.19,100.7,11.129,12.375,16.513,547.9,139.82,335.92,0.0,0.0,0.0,800C,0.72,True
477,2.3918,1.8281,2.3918,1.8281,201.21,178.38,115.98,11.327,12.914,16.376,553.0,176.6,341.57,0.0,0.0,0.0,800C,0.72,True
478,2.8976,2.2882,2.8976,2.2882,201.19,163.26,105.19,11.381,13.654,17.336,546.6,249.89,328.58,0.0,0.0,0.0,800C,0.72,True
479,2.6387,1.8972,2.6387,1.8972,183.62,157.67,95.15,10.852,14.25,16.816,549.4,342.85,222.24,0.0,0.0,0.0,800C,0.72,True
480,3.5587,1.5402,3.5587,1.5402,194.48,165.52,85.57,10.925,13.047,17.268,545.3,225.11,381.02,0.0,0.0,0.0,800C,0.72,True
481,2.3104,1.1951,2.3104,1.1951,172.96,167.05,112.48,10.816,13.323,16.464,543.7,235.81,285.24,0.0,0.0,0.0,800C,0.72,True
482,3.193,1.5404,3.193,1.5404,227.28,171.94,114.7,10.937,12.939,16.358,542.6,246.88,318.96,0.0,0.0,0.0,800C,0.72,True
483,2.3602,1.0735,2.3602,1.0735,196.38,172.52,94.22,11.174,13.518,16.709,558.4,257.09,307.4,0.0,0.0,0.0,800C,0.72,True
484,2.4176,1.3447,2.4176,1.3447,174.74,174.87,98.88,10.738,13.004,16.733,552.0,218.54,359.93,0.0,0.0,0.0,800C,0.72,True
485,2.4902,1.5907,2.4902,1.5907,204.16,162.35,82.45,10.77,12.985,16.935,562.2,254.28,360.47,0.0,0.0,0.0,800C,0.72,True
486,2.6958,2.7176,2.6958,2.7176,184.56,186.82,87.32,10.843,13.978,16.254,558.3,323.04,237.29,0.0,0.0,0.0,800C,0.72,True
487,2.0742,1.7083,2.0742,1.7083,183.37,170.43,94.57,10.982,13.483,16.797,556.7,255.24,314.5,0.0,0.0,0.0,800C,0.72,True
488,2.3482,1.6133,2.3482,1.6133,203.57,155.6,90.89,11.01,13.159,17.13,537.5,235.15,332.05,0.0,0.0,0.0,800C,0.72,True
489,2.7877,2.2267,2.7877,2.2267,189.82,162.62,104.55,11.174,13.01,16.749,554.1,193.15,336.94,0.0,0.0,0.0,800C,0.72,True
490,2.7574,1.8623,2.7574,1.8623,169.81,179.65,97.4,11.038,13.071,17.183,567.0,195.74,418.87,0.0,0.0,0.0,800C,0.72,True
491,3.1432,1.8339,3.1432,1.8339,181.83,167.01,108.32,10.656,13.501,16.673,553.0,286.01,293.04,0.0,0.0,0.0,800C,0.72,True
492,2.445,1.7612,2.445,1.7612,197.6,164.46,99.57,11.281,13.617,17.688,567.8,262.0,380.21,0.0,0.0,0.0,800C,0.72,True
493,2.7902,1.1539,2.7902,1.1539,199.92,171.06,85.37,10.954,12.772,17.359,536.8,195.05,421.15,0.0,0.0,0.0,800C,0.72,True
494,3.2425,1.8615,3.2425,1.8615,189.55,144.14,90.06,11.118,12.799,16.981,543.1,173.07,327.38,0.0,0.0,0.0,800C,0.72,True
495,3.205,1.8908,3.205,1.8908,166.38,167.48,86.49,10.794,12.818,17.096,555.4,187.04,397.94,0.0,0.0,0.0,800C,0.72,True
496,2.0491,1.4933,2.0491,1.4933,168.39,179.03,92.51,10.943,12.846,16.781,543.0,173.96,382.51,0.0,0.0,0.0,800C,0.72,True
497,2.7185,1.2855,2.7185,1.2855,180.27,150.78,79.26,11.307,13.057,16.674,559.9,176.61,305.36,0.0,0.0,0.0,800C,0.72,True
498,3.5868,1.2945,3.5868,1.2945,190.74,170.1,101.8,10.848,13.999,17.387,550.0,330.66,316.92,0.0,0.0,0.0,800C,0.72,True
499,3.9811,1.9277,3.9811,1.9277,187.86,179.79,97.19,11.286,13.267,15.885,548.5,204.18,258.23,0.0,0.0,0.0,800C,0.72,True
500,3.1107,1.301,3.1107,1.301,186.55,177.23,105.85,11.164,12.962,16.867,544.1,182.52,376.55,0.0,0.0,0.0,800C,0.72,True
501,2.5565,1.6216,2.5565,1.6216,190.18,182.1,107.11,10.872,12.467,16.504,548.9,166.5,403.51,0.0,0.0,0.0,800C,0.72,True
502,3.7633,3.0552,3.7633,3.0552,172.83,161.11,96.56,10.724,13.415,15.69,549.5,255.53,201.4,0.0,0.0,0.0,800C,0.72,True
503,4.1623,0.9417,4.1623,0.9417,186.01,178.49,96.77,11.234,13.737,17.811,557.9,259.69,405.71,0.0,0.0,0.0,800C,0.72,True
504,2.7913,1.2933,2.7913,1.2933,208.1,165.91,107.98,11.393,12.066,16.849,548.8,76.92,435.49,0.0,0.0,0.0,800C,0.72,True
505,2.7157,1.6128,2.7157,1.6128,204.22,177.58,93.21,10.661,13.406,17.538,554.5,310.86,406.84,0.0,0.0,0.0,800C,0.72,True
506,1.8969,1.3217,1.8969,1.3217,180.32,149.17,91.94,11.636,12.521,16.109,554.8,88.56,296.96,0.0,0.0,0.0,800C,0.72,True
507,3.2015,1.7466,3.2015,1.7466,172.26,173.36,107.41,10.833,13.101,16.63,549.7,214.8,336.3,0.0,0.0,0.0,800C,0.72,True
508,2.3954,1.865,2.3954,1.865,200.71,169.99,89.93,11.183,12.623,16.695,553.7,159.97,383.32,0.0,0.0,0.0,800C,0.72,True
509,2.1652,2.1319,2.1652,2.1319,186.22,175.7,91.84,10.795,13.229,17.562,553.4,250.84,421.31,0.0,0.0,0.0,800C,0.72,True
510,2.5423,2.3955,2.5423,2.3955,191.88,178.81,90.31,11.101,13.672,15.796,553.2,272.92,210.04,0.0,0.0,0.0,800C,0.72,True
511,1.755,1.9791,1.755,1.9791,198.09,169.57,104.26,11.063,13.647,16.786,539.8,276.32,287.33,0.0,0.0,0.0,800C,0.72,True
512,2.5064,1.257,2.5064,1.257,211.83,160.2,100.16,10.691,12.484,17.405,536.1,203.67,422.59,0.0,0.0,0.0,800C,0.72,True
513,2.2076,1.8371,2.2076,1.8371,196.45,165.13,87.06,11.195,13.05,16.011,542.2,197.6,265.09,0.0,0.0,0.0,800C,0.72,True
514,3.1619,1.6107,3.1619,1.6107,172.51,175.42,93.59,10.835,12.88,16.365,543.5,191.79,332.2,0.0,0.0,0.0,800C,0.72,True
515,2.6422,1.5906,2.6422,1.5906,182.68,172.11,90.27,11.404,12.747,15.188,579.8,142.33,243.59,0.0,0.0,0.0,800C,0.72,True
516,2.4511,2.993,2.4511,2.993,192.64,172.95,94.12,11.925,12.292,16.198,546.4,38.56,369.18,0.0,0.0,0.0,800C,0.72,True
517,3.2446,2.7309,3.2446,2.7309,184.83,171.27,104.92,10.947,12.974,18.023,555.7,208.16,480.56,0.0,0.0,0.0,800C,0.72,True
518,2.5194,2.0101,2.5194,2.0101,183.82,165.25,110.47,10.191,12.956,16.868,543.4,276.15,351.34,0.0,0.0,0.0,800C,0.72,True
519,2.6806,2.3822,2.6806,2.3822,181.25,177.81,85.16,11.005,12.901,16.08,550.4,189.22,311.08,0.0,0.0,0.0,800C,0.72,True
520,2.9271,2.7671,2.9271,2.7671,194.82,153.84,96.2,11.349,12.788,16.556,542.8,152.19,314.65,0.0,0.0,0.0,800C,0.72,True
521,2.8749,1.634,2.8749,1.634,206.73,174.8,98.78,11.203,12.75,16.983,554.0,177.13,409.94,0.0,0.0,0.0,800C,0.72,True
522,2.2046,1.5419,2.2046,1.5419,198.28,169.59,86.99,11.285,13.437,16.995,539.3,230.08,325.41,0.0,0.0,0.0,800C,0.72,True
523,3.2712,1.578,3.2712,1.578,183.25,156.04,97.44,11.189,13.733,16.007,541.1,252.27,191.97,0.0,0.0,0.0,800C,0.72,True
524,2.7979,2.2078,2.7979,2.2078,178.21,166.02,106.76,11.158,12.494,17.272,539.2,128.32,427.7,0.0,0.0,0.0,800C,0.72,True
525,3.6493,1.3481,3.6493,1.3481,171.72,158.26,98.26,11.149,13.433,16.9,546.9,214.47,300.11,0.0,0.0,0.0,800C,0.72,True
526,2.5714,1.2869,2.5714,1.2869,197.91,168.06,98.84,11.369,12.932,16.485,538.4,166.46,321.5,0.0,0.0,0.0,800C,0.72,True
527,2.8285,1.7525,2.8285,1.7525,184.06,179.84,84.37,11.196,13.112,16.922,572.0,201.64,391.96,0.0,0.0,0.0,800C,0.72,True
528,2.8389,1.2716,2.8389,1.2716,196.7,149.23,85.15,11.45,13.609,17.279,550.9,233.88,301.68,0.0,0.0,0.0,800C,0.72,True
529,2.4519,1.1322,2.4519,1.1322,188.27,172.16,88.23,10.422,12.313,15.769,571.2,203.27,339.81,0.0,0.0,0.0,800C,0.72,True
530,3.1143,1.5433,3.1143,1.5433,201.54,170.56,108.74,11.37,13.191,16.716,555.4,203.82,333.93,0.0,0.0,0.0,800C,0.72,True
531,2.3259,1.8994,2.3259,1.8994,176.44,170.2,112.99,10.767,13.029,17.312,542.9,216.7,395.69,0.0,0.0,0.0,800C,0.72,True
532,3.1414,1.5261,3.1414,1.5261,197.27,195.11,82.3,10.141,13.07,16.661,554.2,320.24,388.31,0.0,0.0,0.0,800C,0.72,True
533,2.7089,1.8883,2.7089,1.8883,177.19,152.82,94.36,10.901,12.892,16.275,562.9,198.62,291.03,0.0,0.0,0.0,800C,0.72,True
534,2.5078,1.3665,2.5078,1.3665,193.87,147.82,107.47,11.556,13.05,17.454,550.8,159.57,358.58,0.0,0.0,0.0,800C,0.72,True
535,2.2877,2.122,2.2877,2.122,172.63,178.78,92.44,10.701,13.031,16.93,556.6,223.86,388.07,0.0,0.0,0.0,800C,0.72,True
536,2.7963,1.2907,2.7963,1.2907,206.29,194.65,105.82,11.087,13.174,17.469,563.1,242.36,470.74,0.0,0.0,0.0,800C,0.72,True
537,2.3861,2.0715,2.3861,2.0715,211.96,164.5,105.81,11.237,12.924,16.454,565.4,202.19,328.34,0.0,0.0,0.0,800C,0.72,True
538,2.6686,1.4073,2.6686,1.4073,193.37,166.29,98.93,10.755,13.162,17.284,562.0,261.53,385.17,0.0,0.0,0.0,800C,0.72,True
539,2.0406,1.8108,2.0406,1.8108,191.32,163.05,91.24,11.297,12.762,16.232,549.6,154.04,310.91,0.0,0.0,0.0,800C,0.72,True
540,3.8638,1.6522,3.8638,1.6522,193.81,147.54,81.41,11.012,12.794,16.366,552.4,190.83,291.07,0.0,0.0,0.0,800C,0.72,True
541,2.1893,1.3705,2.1893,1.3705,201.36,180.15,95.04,11.59,13.224,17.959,530.2,174.38,452.29,0.0,0.0,0.0,800C,0.72,True
542,3.307,1.0254,3.307,1.0254,184.96,160.84,95.73,11.107,14.056,15.635,550.0,299.96,139.7,0.0,0.0,0.0,800C,0.72,True
543,2.3567,1.6753,2.3567,1.6753,192.19,174.88,99.01,11.426,13.35,16.451,557.9,206.36,302.53,0.0,0.0,0.0,800C,0.72,True
544,2.2856,2.9267,2.2856,2.9267,193.53,180.32,93.15,11.013,12.64,17.192,547.5,172.33,449.42,0.0,0.0,0.0,800C,0.72,True
545,2.7557,1.7755,2.7557,1.7755,181.15,176.63,103.8,10.635,13.459,16.718,539.4,275.98,310.52,0.0,0.0,0.0,800C,0.72,True
546,3.3185,1.6893,3.3185,1.6893,189.0,153.02,102.28,10.482,13.092,16.657,541.1,266.84,295.21,0.0,0.0,0.0,800C,0.72,True
547,1.7957,1.8222,1.7957,1.8222,190.05,181.94,96.84,10.81,13.684,16.779,559.2,305.45,314.9,0.0,0.0,0.0,800C,0.72,True
548,2.3574,1.4711,2.3574,1.4711,192.54,180.81,92.32,10.876,13.501,16.415,564.3,285.23,297.33,0.0,0.0,0.0,800C,0.72,True
549,3.4819,1.3636,3.4819,1.3636,189.63,162.61,84.63,10.865,12.936,17.503,546.3,214.58,405.62,0.0,0.0,0.0,800C,0.72,True
550,2.6499,1.7129,2.6499,1.7129,188.01,174.47,92.37,10.568,13.485,15.802,560.9,307.54,226.82,0.0,0.0,0.0,800C,0.72,True
551,2.8168,2.9412,2.8168,2.9412,181.49,185.89,100.66,10.864,13.339,17.506,551.7,247.83,427.36,0.0,0.0,0.0,800C,0.72,True
552,2.1601,1.6907,2.1601,1.6907,201.73,165.3,81.44,11.129,12.905,16.811,549.5,196.76,354.77,0.0,0.0,0.0,800C,0.72,True
553,3.3732,1.7379,3.3732,1.7379,170.3,176.43,95.1,11.25,13.161,16.708,550.2,179.02,344.3,0.0,0.0,0.0,800C,0.72,True
554,2.2447,1.5176,2.2447,1.5176,179.7,164.29,92.32,11.605,13.52,16.514,545.4,187.62,268.24,0.0,0.0,0.0,800C,0.72,True
555,3.4134,1.2333,3.4134,1.2333,177.76,162.81,93.45,11.032,12.978,15.55,556.3,192.41,232.97,0.0,0.0,0.0,800C,0.72,True
556,3.8737,2.7589,3.8737,2.7589,181.68,161.98,98.19,11.257,13.37,15.966,539.8,207.19,226.95,0.0,0.0,0.0,800C,0.72,True
557,2.7068,1.9056,2.7068,1.9056,183.49,180.87,88.08,11.155,14.438,17.193,572.2,344.67,285.13,0.0,0.0,0.0,800C,0.72,True
558,2.9422,1.5874,2.9422,1.5874,188.9,166.57,87.84,11.242,12.254,17.287,558.8,106.79,468.44,0.0,0.0,0.0,800C,0.72,True
559,2.8712,1.0036,2.8712,1.0036,179.44,166.48,108.7,10.777,12.965,16.919,558.9,219.49,367.85,0.0,0.0,0.0,800C,0.72,True
560,1.8255,1.3564,1.8255,1.3564,195.46,181.99,107.43,10.633,13.411,17.378,553.4,300.53,399.54,0.0,0.0,0.0,800C,0.72,True
561,2.2557,1.9585,2.2557,1.9585,194.64,170.73,101.55,10.837,12.886,17.561,563.8,224.84,449.99,0.0,0.0,0.0,800C,0.72,True
562,2.7615,2.1125,2.7615,2.1125,206.32,169.0,79.2,11.982,13.065,16.55,546.0,121.94,321.61,0.0,0.0,0.0,800C,0.72,True
563,2.6423,1.7245,2.6423,1.7245,207.49,157.69,89.08,10.685,13.124,16.635,556.2,281.46,308.0,0.0,0.0,0.0,800C,0.72,True
564,2.9267,1.3909,2.9267,1.3909,187.02,154.96,89.11,11.426,13.22,17.123,554.9,186.21,335.63,0.0,0.0,0.0,800C,0.72,True
565,2.1651,1.4649,2.1651,1.4649,197.54,176.23,103.41,11.246,13.358,16.684,554.3,231.25,324.82,0.0,0.0,0.0,800C,0.72,True
566,1.9311,1.4975,1.9311,1.4975,199.26,159.09,99.77,10.314,13.561,16.392,561.1,363.06,252.78,0.0,0.0,0.0,800C,0.72,True
567,2.4976,1.3063,2.4976,1.3063,164.64,157.88,101.56,10.345,12.978,17.504,547.1,237.16,390.9,0.0,0.0,0.0,800C,0.72,True
568,2.1709,1.4632,2.1709,1.4632,177.56,174.81,102.86,11.367,13.932,17.365,544.5,248.0,326.82,0.0,0.0,0.0,800C,0.72,True
569,3.3674,2.4139,3.3674,2.4139,174.47,158.49,94.48,11.355,12.959,16.16,553.3,154.84,280.7,0.0,0.0,0.0,800C,0.72,True
570,2.1956,2.2558,2.1956,2.2558,181.84,184.48,87.53,11.509,12.942,16.153,550.8,143.59,326.21,0.0,0.0,0.0,800C,0.72,True
571,2.5913,1.311,2.5913,1.311,178.96,137.87,100.53,11.09,13.642,17.107,565.6,258.3,270.16,0.0,0.0,0.0,800C,0.72,True
572,2.485,1.4184,2.485,1.4184,179.03,164.77,90.1,10.957,13.446,16.647,553.9,246.79,292.15,0.0,0.0,0.0,800C,0.72,True
573,2.2159,1.1877,2.2159,1.1877,195.76,182.63,109.48,10.816,12.934,17.204,534.7,221.71,417.01,0.0,0.0,0.0,800C,0.72,True
574,2.6926,1.1331,2.6926,1.1331,193.55,165.39,104.25,10.846,13.065,17.132,556.7,239.16,374.42,0.0,0.0,0.0,800C,0.72,True
575,2.2512,1.9358,2.2512,1.9358,163.48,178.75,93.62,11.038,12.683,16.06,545.7,146.72,329.47,0.0,0.0,0.0,800C,0.72,True
576,3.8293,1.629,3.8293,1.629,169.82,179.39,87.44,10.806,12.502,16.771,553.3,159.4,423.72,0.0,0.0,0.0,800C,0.72,True
577,2.6462,2.0296,2.6462,2.0296,188.31,163.1,88.05,11.328,13.402,16.855,532.8,208.1,300.0,0.0,0.0,0.0,800C,0.72,True
578,2.4898,2.3462,2.4898,2.3462,204.7,164.93,100.92,11.022,13.612,17.256,547.8,290.43,329.27,0.0,0.0,0.0,800C,0.72,True
579,1.5612,1.8191,1.5612,1.8191,187.88,160.63,98.75,10.855,13.368,16.509,548.6,259.02,276.8,0.0,0.0,0.0,800C,0.72,True
580,2.129,1.7304,2.129,1.7304,182.74,161.49,83.22,11.042,12.71,16.091,540.9,164.88,295.27,0.0,0.0,0.0,800C,0.72,True
581,3.4202,1.6771,3.4202,1.6771,195.05,163.04,89.02,11.045,13.626,17.315,565.4,284.66,339.99,0.0,0.0,0.0,800C,0.72,True
582,2.3301,1.6977,2.3301,1.6977,204.9,164.25,101.7,10.806,13.05,17.146,555.3,255.35,373.61,0.0,0.0,0.0,800C,0.72,True
583,2.3183,1.6945,2.3183,1.6945,206.47,160.57,89.5,10.362,13.298,17.114,547.3,331.76,335.31,0.0,0.0,0.0,800C,0.72,True
584,2.3449,1.3608,2.3449,1.3608,200.91,160.52,74.62,10.906,13.017,17.891,549.0,232.81,429.53,0.0,0.0,0.0,800C,0.72,True
585,1.8807,1.9143,1.8807,1.9143,198.53,180.56,110.22,10.726,13.475,16.012,543.8,296.71,249.11,0.0,0.0,0.0,800C,0.72,True
586,2.3704,1.1794,2.3704,1.1794,186.95,175.75,92.35,11.356,13.224,17.099,559.4,195.37,380.98,0.0,0.0,0.0,800C,0.72,True
587,1.9398,1.6691,1.9398,1.6691,194.64,155.7,94.04,10.913,12.879,17.649,566.7,216.79,420.96,0.0,0.0,0.0,800C,0.72,True
588,2.0883,1.7151,2.0883,1.7151,200.26,169.26,107.32,10.951,12.959,16.383,543.2,218.37,314.83,0.0,0.0,0.0,800C,0.72,True
589,3.2222,3.6925,3.2222,3.6925,168.64,175.28,92.86,10.951,13.002,17.598,527.1,182.33,424.67,0.0,0.0,0.0,800C,0.72,True
590,2.7385,2.4559,2.7385,2.4559,199.93,167.42,106.7,11.086,12.66,19.166,566.7,178.26,617.36,0.0,0.0,0.0,800C,0.72,True
591,1.8046,1.3937,1.8046,1.3937,174.26,160.48,89.92,11.012,13.04,15.997,564.1,199.31,267.75,0.0,0.0,0.0,800C,0.72,True
592,2.6474,1.8416,2.6474,1.8416,198.7,182.96,99.61,10.505,12.726,15.337,549.3,242.42,262.38,0.0,0.0,0.0,800C,0.72,True
593,1.8088,2.1439,1.8088,2.1439,197.35,164.62,97.71,10.876,13.172,16.889,546.4,247.58,334.33,0.0,0.0,0.0,800C,0.72,True
594,2.8759,1.8053,2.8759,1.8053,181.53,162.42,106.81,10.975,13.279,16.644,564.8,236.24,308.61,0.0,0.0,0.0,800C,0.72,True
595,2.8255,1.4483,2.8255,1.4483,186.16,169.28,104.95,10.981,12.724,16.401,547.5,177.59,340.86,0.0,0.0,0.0,800C,0.72,True
596,3.167,1.7341,3.167,1.7341,181.43,167.17,103.31,10.966,13.586,17.104,553.4,262.98,325.45,0.0,0.0,0.0,800C,0.72,True
597,2.3622,1.8929,2.3622,1.8929,173.81,164.0,100.43,11.021,12.567,18.21,563.4,151.35,521.36,0.0,0.0,0.0,800C,0.72,True
598,2.0236,1.4839,2.0236,1.4839,197.26,164.39,109.5,10.67,12.344,17.329,557.8,184.22,457.09,0.0,0.0,0.0,800C,0.72,True
599,2.322,1.7475,2.322,1.7475,178.63,160.51,84.75,10.711,13.345,17.331,541.1,254.61,346.2,0.0,0.0,0.0,800C,0.72,True
600,2.3609,1.739,2.3609,1.739,169.94,186.66,96.98,11.333,14.087,17.247,543.7,254.4,320.68,0.0,0.0,0.0,800C,0.72,True
601,1.9026,1.2127,1.9026,1.2127,203.44,154.36,90.03,10.961,12.901,17.076,557.3,219.92,359.15,0.0,0.0,0.0,800C,0.72,True
602,2.8197,1.6395,2.8197,1.6395,187.86,160.61,87.57,10.748,13.324,17.15,539.0,260.86,331.26,0.0,0.0,0.0,800C,0.72,True
603,2.1688,1.7739,2.1688,1.7739,202.49,164.63,95.02,11.165,13.078,17.289,558.4,216.26,387.12,0.0,0.0,0.0,800C,0.72,True
604,2.7504,2.1438,2.7504,2.1438,194.76,172.55,75.19,11.068,13.455,16.953,568.4,264.24,343.08,0.0,0.0,0.0,800C,0.72,True
605,2.8214,1.3808,2.8214,1.3808,196.37,164.29,106.94,10.917,13.251,17.235,548.6,251.49,359.1,0.0,0.0,0.0,800C,0.72,True
606,2.6139,2.1862,2.6139,2.1862,180.51,153.8,95.11,11.003,13.391,16.551,547.5,235.98,266.12,0.0,0.0,0.0,800C,0.72,True
607,2.9353,1.4296,2.9353,1.4296,191.22,168.9,102.4,10.788,13.612,15.189,557.6,301.15,148.52,0.0,0.0,0.0,800C,0.72,True
608,3.3527,1.3986,3.3527,1.3986,201.66,155.91,99.23,11.329,13.097,17.551,545.9,194.66,379.08,0.0,0.0,0.0,800C,0.72,True
609,2.4785,1.0582,2.4785,1.0582,191.04,182.12,102.26,11.326,12.944,16.422,547.0,169.04,346.5,0.0,0.0,0.0,800C,0.72,True
610,2.6305,1.814,2.6305,1.814,178.6,193.74,82.07,11.29,12.946,16.26,545.0,161.2,349.93,0.0,0.0,0.0,800C,0.72,True
611,2.4654,1.669,2.4654,1.669,169.9,169.77,96.26,11.375,13.738,16.515,535.1,214.86,252.22,0.0,0.0,0.0,800C,0.72,True
