firm_code,survey_date,years_operation,employees_cat,employees_est,annual_revenue_cat,ownership_type,fdi_partnership,FDI,fdi_equity,fdi_joint_venture,fdi_tech_transfer,fdi_mgmt_contract,years_with_fdi,ka1,ka2,ka3,ka4,tp1,tp2,tp3,tp4,r_and_d_pct,new_products_3yr,proc_innov_iot,proc_innov_automation,proc_innov_quality,proc_innov_other,inn1,inn2,inn3,skilled_workforce_pct,training_hours_per_employee,modern_equipment,machinery_age_years,access_credit,reinvestment_rate_pct,gp1_tax_incentives,gp2_regulatory_stability,gp3_infrastructure_support,gp4_ease_of_permits,avg_roi_pct,avg_roa_pct,export_intensity_pct,capacity_utilization_pct,market_share_lagos_pct,KA_score,TP_score,INN_score,FR_score,GP_score,PERFORM_index
FIRM085,09/04/2025,15,1-50,35,<50M,Local,Yes,1,0,0,1,0,10,5,5,5,4,2,3,3,5,3.46,2,0,0,0,0,3.46,2,0,47.8,48.7,1,24,Difficult,24.9,6,3,3,4,12.19,6.96,16.33,69.03,6.55,4.75,3.25,0.647,0.578,4.0,33.07
FIRM086,06/03/2025,18,251-500,350,50M-500M,Local,No,0,0,0,0,0,0,3,3,4,3,5,4,3,4,4.17,3,1,1,0,0,4.17,3,2,46.1,25.0,1,5,Easy,21.8,3,4,3,4,14.81,13.76,2.36,78.56,8.51,3.25,4.0,1.94,0.655,3.333,40.09
FIRM087,24/01/2025,9,51-250,150,<50M,Local,No,0,0,0,0,0,0,3,4,2,4,2,2,3,3,2.51,1,0,0,1,0,2.51,1,1,26.3,31.3,1,11,Difficult,27.0,2,2,5,2,4.84,-2.56,8.54,61.85,1.38,3.25,2.5,0.988,0.543,3.0,15.65
FIRM088,18/04/2025,31,500+,700,>5B,Local,No,0,0,0,0,0,0,3,5,1,5,4,3,2,2,4.52,4,1,1,1,0,4.52,4,3,74.1,36.7,1,13,Difficult,17.8,3,3,4,5,7.07,9.46,9.48,63.0,9.07,3.5,2.75,2.628,0.626,3.333,30.37
FIRM089,29/06/2025,20,500+,700,500M-5B,Foreign-owned,Yes,1,1,0,0,0,3,3,4,3,5,5,3,4,3,4.68,4,0,1,0,0,4.68,4,1,89.9,32.0,1,3,Easy,21.8,4,3,3,4,17.86,10.0,22.33,66.42,12.97,3.75,3.75,1.539,0.803,3.333,42.48
FIRM090,11/05/2025,9,1-50,35,50M-500M,Local,No,0,0,0,0,0,0,3,3,2,4,3,1,2,3,2.69,0,0,1,0,0,2.69,0,1,62.1,2.3,0,7,Moderate,27.9,3,2,3,3,1.26,1.81,7.46,57.79,3.59,3.0,2.25,0.929,0.45,2.667,16.82
FIRM091,28/03/2025,7,1-50,35,<50M,Joint venture,No,0,0,0,0,0,0,4,2,1,3,3,2,1,4,2.8,4,0,1,0,0,2.8,4,1,34.5,11.1,1,5,Moderate,0,2,3,6,4,8.04,0.41,4.72,85.15,5.66,2.5,2.5,1.278,0.456,3.667,25.75
FIRM092,04/02/2025,20,251-500,350,500M-5B,Joint venture,Yes,1,1,1,0,0,10,5,4,4,5,2,4,2,4,3.22,0,0,1,0,0,3.22,0,1,49.4,31.7,1,12,Moderate,23.8,4,3,1,4,7.54,4.24,16.52,76.46,9.25,4.5,3.0,1.002,0.611,2.667,30.66
FIRM093,11/02/2025,23,500+,700,500M-5B,Joint venture,Yes,1,1,1,1,0,9,5,5,3,5,4,3,4,5,3.42,0,1,0,1,0,3.42,0,2,48.6,18.0,1,10,Moderate,31.4,2,4,3,2,14.33,7.53,8.91,73.65,11.76,4.5,4.0,1.586,0.611,3.0,36.53
FIRM094,19/02/2025,22,1-50,35,<50M,Local,Yes,1,0,0,0,1,8,4,4,4,4,3,3,4,4,2.98,3,1,1,1,0,2.98,3,3,64.8,14.0,1,10,Difficult,18.6,4,3,3,5,15.06,9.5,25.07,71.67,7.78,4.0,3.5,2.33,0.554,3.333,39.69
FIRM095,08/06/2025,20,1-50,35,>5B,Local,No,0,0,0,0,0,0,3,2,3,4,4,1,2,3,1.81,0,0,1,0,0,1.81,0,1,21.7,0,0,15,Moderate,27.7,3,2,6,4,8.46,1.19,5.41,74.83,4.69,3.0,2.5,0.806,0.281,3.667,24.3
FIRM096,24/02/2025,18,51-250,150,<50M,Local,No,0,0,0,0,0,0,4,2,3,3,3,2,2,3,3.06,0,0,1,0,0,3.06,0,1,61.1,24.7,0,4,Difficult,21.0,5,3,4,5,-0.82,2.0,4.22,68.34,3.09,3.0,2.5,0.98,0.485,4.0,16.92
FIRM097,25/06/2025,12,1-50,35,<50M,Local,No,0,0,0,0,0,0,1,3,2,1,2,3,2,2,3.41,0,1,1,0,0,3.41,0,2,39.2,7.4,1,13,Moderate,19.0,2,4,3,2,-3.85,0.35,12.4,56.55,1.1,1.75,2.25,1.585,0.476,3.0,12.13
FIRM098,11/02/2025,21,251-500,350,500M-5B,Foreign-owned,Yes,1,1,0,0,0,9,5,5,5,5,4,3,3,5,3.81,6,0,1,0,0,3.81,6,1,59.1,26.3,1,8,Moderate,25.3,5,3,3,3,13.0,5.72,16.97,85.72,9.43,5.0,3.75,1.584,0.654,3.667,37.28
FIRM099,03/05/2025,6,1-50,35,<50M,Local,No,0,0,0,0,0,0,4,3,4,3,1,3,2,3,1.87,3,0,0,0,0,1.87,3,0,59.4,36.6,0,13,Moderate,12.6,3,6,4,3,1.21,-3,3.65,70.88,0.99,3.5,2.25,0.51,0.447,4.333,13.69
FIRM100,09/05/2025,11,1-50,35,<50M,Joint venture,No,0,0,0,0,0,0,5,3,3,4,3,3,2,2,2.72,5,0,0,0,0,2.72,5,0,43.9,3.5,1,15,Moderate,24.7,4,3,3,1,6.53,1.05,3.76,77.95,1.21,3.75,2.5,0.795,0.485,3.333,21.78
FIRM101,07/04/2025,7,51-250,150,<50M,Local,No,0,0,0,0,0,0,3,3,4,4,3,1,2,3,2.62,3,0,0,1,0,2.62,3,1,40.4,20.8,0,7,Difficult,15.2,2,4,2,2,1.56,2.25,6.31,60.39,5.52,3.5,2.25,1.17,0.373,2.667,18.48
FIRM102,11/02/2025,24,251-500,350,500M-5B,Joint venture,Yes,1,1,1,1,0,12,5,4,5,4,3,4,4,4,3.57,2,1,1,0,0,3.57,2,2,85.5,14.0,1,1,Difficult,25.3,4,3,3,2,14.86,4.02,16.29,72.5,6.77,4.5,3.75,1.774,0.701,3.333,33.17
FIRM103,05/06/2025,20,251-500,350,500M-5B,Joint venture,Yes,1,1,1,1,1,7,5,3,3,5,3,5,3,5,4.03,0,0,1,1,0,4.03,0,2,44.1,16.4,0,10,Moderate,8.6,4,4,3,3,13.17,10.59,15.49,65.57,9.82,4.0,4.0,1.671,0.347,3.667,37.13
FIRM104,02/01/2025,10,1-50,35,<50M,Joint venture,Yes,1,0,1,1,0,9,4,5,4,4,5,4,4,3,2.65,5,1,1,0,0,2.65,5,2,59.8,6.8,0,9,Moderate,18.9,5,3,3,2,10.29,7.31,12.87,87.05,8.34,4.25,4.0,1.895,0.406,3.667,35.83
FIRM105,12/06/2025,21,1-50,35,<50M,Local,Yes,1,1,1,1,0,13,4,3,5,5,4,3,5,3,2.58,2,1,1,1,0,2.58,2,3,68.5,20.4,1,10,Difficult,5.5,4,2,2,3,12.83,11.46,12.53,72.66,7.14,4.25,3.75,2.192,0.528,2.667,37.28
FIRM106,24/01/2025,9,1-50,35,50M-500M,Local,No,0,0,0,0,0,0,2,3,4,4,2,3,2,4,2.42,4,0,1,0,0,2.42,4,1,39.3,40.1,1,17,Moderate,14.0,4,3,1,3,2.09,-1.62,10.3,60.68,3.9,3.25,2.75,1.225,0.534,2.667,15.88
FIRM107,26/02/2025,18,51-250,150,<50M,Local,No,0,0,0,0,0,0,2,5,3,5,3,3,3,4,2.02,0,0,1,0,0,2.02,0,1,50.3,21.8,0,12,Difficult,19.5,4,3,4,2,7.61,5.72,13.57,66.14,3.57,3.75,3.25,0.836,0.382,3.667,26.81
FIRM108,19/05/2025,3,51-250,150,50M-500M,Local,No,0,0,0,0,0,0,2,3,3,3,2,3,2,2,1.57,5,0,0,1,0,1.57,5,1,71.9,7.2,0,11,Difficult,21.0,2,3,3,2,3.55,2.31,8.23,58.08,2.87,2.75,2.25,1.19,0.401,2.667,18.56
FIRM109,06/06/2025,17,1-50,35,<50M,Local,No,0,0,0,0,0,0,1,2,4,5,2,2,2,4,2.33,0,1,0,1,0,2.33,0,2,52.2,10.6,1,5,Difficult,19.2,3,1,3,1,3.62,7.38,8.75,66.33,4.22,3.0,2.5,1.435,0.55,2.333,24.99
FIRM110,07/03/2025,16,1-50,35,50M-500M,Local,No,0,0,0,0,0,0,3,3,3,2,2,2,3,4,2.07,0,0,0,0,0,2.07,0,0,42.1,33.8,0,11,Moderate,17.6,6,1,4,5,0.38,5.02,0,60.39,5.07,2.75,2.75,0.287,0.431,3.667,18.51
FIRM111,28/02/2025,13,1-50,35,50M-500M,Local,No,0,0,0,0,0,0,3,4,3,2,3,1,3,2,2.67,4,1,0,0,1,2.67,4,1,32.1,37.3,0,19,Moderate,11.0,3,4,4,2,0.79,0.56,12.37,58.33,3.42,3.0,2.25,1.259,0.329,3.667,16.55
FIRM112,24/04/2025,23,51-250,150,<50M,Joint venture,Yes,1,1,1,1,0,1,3,3,4,4,3,5,3,3,3.69,0,0,1,1,0,3.69,0,2,31.6,12.7,1,10,Difficult,14.4,3,2,2,2,9.07,7.0,16.85,91.85,4.42,3.5,3.5,1.623,0.448,2.333,34.9
FIRM113,03/05/2025,25,251-500,350,>5B,Joint venture,Yes,1,1,1,0,0,2,4,4,4,4,2,4,3,4,4.01,4,1,1,1,0,4.01,4,3,62.0,49.0,1,10,Easy,15.0,3,3,4,2,18.01,14.04,36.42,76.51,8.99,4.0,3.25,2.557,0.708,3.333,48.93
FIRM114,23/04/2025,15,51-250,150,<50M,Local,No,0,0,0,0,0,0,3,3,2,3,3,1,2,2,3.15,0,0,1,0,0,3.15,0,1,46.3,30.7,0,17,Difficult,15.9,2,5,4,3,-5,0.95,0,56.24,0,2.75,2.0,0.992,0.349,3.667,8.88
FIRM115,21/03/2025,13,51-250,150,<50M,Local,No,0,0,0,0,0,0,5,3,2,3,3,2,1,3,2.49,7,0,0,0,0,2.49,7,0,46.2,20.1,1,10,Easy,23.2,2,1,3,4,-3.29,6.27,4.41,60.22,2.29,3.25,2.25,0.929,0.607,2.0,16.87
FIRM116,18/05/2025,25,500+,700,50M-500M,Local,No,0,0,0,0,0,0,2,3,3,2,2,2,3,3,3.47,4,0,1,0,0,3.47,4,1,66.8,10.4,0,5,Moderate,22.0,3,4,5,3,3.87,5.25,16.17,64.94,5.57,2.5,2.5,1.371,0.478,4.0,25.23
FIRM117,05/01/2025,25,500+,700,500M-5B,Foreign-owned,Yes,1,0,0,0,0,17,5,5,5,5,5,4,4,5,4.63,2,0,1,1,0,4.63,2,2,74.2,35.5,1,12,Moderate,29.7,5,7,4,4,18.26,17.74,15.67,74.87,12.27,5.0,4.5,1.92,0.711,5.333,48.97
FIRM118,03/04/2025,6,1-50,35,500M-5B,Local,No,0,0,0,0,0,0,3,2,3,3,2,2,1,3,2.13,2,1,0,0,0,2.13,2,1,57.8,21.7,1,13,Moderate,35.1,2,5,4,2,2.19,-1.33,9.38,76.38,8.52,2.75,2.0,1.018,0.639,3.667,21.11
FIRM119,24/04/2025,2,500+,700,>5B,Joint venture,Yes,1,0,1,0,0,2,4,4,5,5,5,2,3,4,6.18,4,1,1,0,0,6.18,4,2,62.9,45.0,1,1,Moderate,15.9,1,5,4,3,13.19,8.83,16.36,77.34,9.31,4.5,3.5,2.303,0.738,3.333,38.03
FIRM120,05/03/2025,38,251-500,350,>5B,Local,Yes,1,0,0,1,0,13,5,4,5,3,3,3,4,4,4.88,4,0,0,1,0,4.88,4,1,52.4,24.2,0,2,Moderate,16.0,6,3,3,5,13.08,9.71,23.92,75.39,10.33,4.25,3.5,1.566,0.485,4.0,40.23
FIRM121,11/04/2025,9,51-250,150,50M-500M,Local,No,0,0,0,0,0,0,2,3,3,2,1,2,1,3,2.9,0,0,1,1,0,2.9,0,2,49.6,28.5,1,15,Difficult,10.0,3,2,4,2,1.52,-1.38,9.96,50.91,4.42,2.5,1.75,1.513,0.49,3.0,13.91
FIRM122,20/03/2025,17,1-50,35,<50M,Local,No,0,0,0,0,0,0,3,3,2,2,3,2,1,1,3.37,2,0,0,1,0,3.37,2,1,32.5,29.8,0,10,Moderate,15.5,3,3,2,2,-5,-2.37,0,44.53,5.04,2.5,1.75,1.19,0.392,2.667,6.05
FIRM123,15/05/2025,9,1-50,35,<50M,Local,Yes,1,0,1,1,0,9,4,5,4,4,3,4,3,4,2.62,3,0,1,1,0,2.62,3,2,62.5,7.9,0,21,Moderate,17.9,4,5,4,3,9.71,10.84,20.45,96.2,3.04,4.25,3.5,1.725,0.329,4.333,39.37
FIRM124,10/06/2025,11,1-50,35,<50M,Joint venture,No,0,0,0,0,0,0,3,2,2,3,2,2,3,4,1.92,4,0,1,0,0,1.92,4,1,79.5,11.9,1,9,Moderate,22.7,3,2,2,1,10.01,-0.07,0,75.64,4.37,2.5,2.75,1.156,0.638,2.333,23.2
FIRM125,25/05/2025,10,500+,700,500M-5B,Foreign-owned,No,0,0,0,0,0,0,5,2,3,5,3,4,2,2,3.71,3,0,0,1,0,3.71,3,1,69.7,37.1,0,7,Difficult,6.5,3,4,1,4,3.48,0.59,0,67.16,6.54,3.75,2.75,1.321,0.463,2.667,18.89
FIRM126,10/04/2025,5,1-50,35,<50M,Local,Yes,1,1,0,0,0,5,5,5,5,4,2,2,3,3,3.8,1,0,0,0,0,3.8,1,0,49.9,22.2,0,10,Difficult,22.2,2,3,4,3,2.22,5.01,14.15,54.21,6.69,4.75,2.5,0.612,0.409,3.0,21.93
FIRM127,23/05/2025,16,1-50,35,50M-500M,Local,No,0,0,0,0,0,0,3,3,3,1,2,4,1,3,1.61,0,0,1,0,0,1.61,0,1,50.2,23.5,1,7,Moderate,26.7,3,5,2,3,4.2,-0.32,0,72.37,6.29,2.5,2.5,0.779,0.636,3.333,19.53
FIRM128,24/01/2025,6,1-50,35,<50M,Local,No,0,0,0,0,0,0,4,3,4,2,2,2,2,1,2.67,2,0,1,1,0,2.67,2,2,63.1,0,1,11,Moderate,18.0,1,2,2,4,0.79,-0.82,5.94,61.98,1.01,3.25,1.75,1.649,0.522,1.667,13.85
FIRM129,31/05/2025,3,51-250,150,50M-500M,Local,No,0,0,0,0,0,0,3,2,2,3,2,1,1,2,2.57,3,0,0,0,0,2.57,3,0,57.8,19.0,0,18,Moderate,17.1,4,3,4,5,-5,1.53,7.28,46.79,5.33,2.5,1.5,0.607,0.366,3.667,11.19
FIRM130,18/01/2025,19,51-250,150,50M-500M,Local,No,0,0,0,0,0,0,4,2,2,3,2,1,2,1,1.76,3,0,0,0,0,1.76,3,0,57.4,16.1,1,16,Moderate,25.7,4,5,3,5,-3.77,-0.94,2.07,53.97,2.77,2.75,1.5,0.494,0.557,4.0,9.29
FIRM131,31/01/2025,33,251-500,350,500M-5B,Joint venture,No,0,0,0,0,0,0,4,3,3,3,2,2,2,4,2.81,2,1,1,1,0,2.81,2,3,77.7,20.7,1,11,Moderate,25.3,4,3,6,3,2.82,1.15,11.48,73.53,4.94,3.25,2.5,2.223,0.66,4.333,21.8
FIRM132,27/03/2025,14,1-50,35,50M-500M,Local,No,0,0,0,0,0,0,5,3,4,3,3,3,2,5,2.61,1,1,0,1,0,2.61,1,2,50.2,15.3,1,6,Moderate,7.2,6,4,3,4,12.59,3.13,16.65,69.49,7.31,3.75,3.25,1.556,0.533,4.333,30.74
FIRM133,14/02/2025,25,251-500,350,>5B,Local,Yes,1,1,0,1,0,1,3,4,4,4,2,3,2,4,5.1,2,0,1,0,1,5.1,2,1,60.4,15.5,0,15,Difficult,32.7,6,3,5,5,5.01,9.78,16.77,71.82,7.91,3.75,2.75,1.43,0.42,4.667,32.06
FIRM134,23/04/2025,18,51-250,150,<50M,Local,Yes,1,1,0,1,0,10,5,5,5,5,1,3,4,3,3.88,2,0,0,1,0,3.88,2,1,48.0,42.3,0,8,Moderate,9.6,6,3,3,6,1.34,9.45,23.72,68.25,2.62,5.0,2.75,1.261,0.462,4.0,27.91
FIRM135,24/01/2025,13,500+,700,>5B,Foreign-owned,Yes,1,1,0,1,0,8,4,5,5,5,2,2,3,3,4.01,3,1,0,0,0,4.01,3,1,42.3,12.2,1,6,Moderate,8.8,5,3,5,4,2.27,5.65,2.45,58.64,6.34,4.75,2.5,1.362,0.509,4.333,20.87
FIRM136,27/06/2025,26,251-500,350,>5B,Local,No,0,0,0,0,0,0,3,3,4,3,4,4,4,2,4.26,5,0,1,0,0,4.26,5,1,53.5,27.6,1,19,Moderate,28.7,2,4,2,4,10.18,6.78,8.92,79.0,6.55,3.25,3.5,1.564,0.576,2.667,32.18
FIRM137,28/05/2025,20,251-500,350,500M-5B,Joint venture,Yes,1,0,1,0,0,9,3,5,5,5,4,3,4,4,4.15,3,1,1,0,0,4.15,3,2,44.6,61.5,1,1,Moderate,4.5,4,4,3,6,16.8,11.85,24.84,82.65,8.63,4.5,3.75,1.937,0.693,3.667,45.18
FIRM138,17/04/2025,10,1-50,35,>5B,Local,Yes,1,0,0,1,0,4,4,5,5,5,2,5,2,3,2.17,1,1,1,1,0,2.17,1,3,66.8,30.7,1,3,Moderate,19.8,3,4,1,3,12.92,8.47,17.11,66.89,5.03,4.75,3.0,2.051,0.702,2.667,33.8
FIRM139,13/03/2025,1,1-50,35,<50M,Joint venture,Yes,1,0,1,1,0,1,3,5,4,4,2,3,3,5,3.37,6,0,0,1,0,3.37,6,1,55.4,25.1,1,7,Moderate,17.6,2,2,3,3,9.74,5.04,12.93,81.32,7.38,4.0,3.25,1.523,0.615,2.333,32.13
FIRM140,13/03/2025,11,1-50,35,50M-500M,Foreign-owned,No,0,0,0,0,0,0,3,5,3,2,1,3,4,3,1.84,4,0,0,0,0,1.84,4,0,61.1,38.6,0,7,Moderate,22.3,5,3,4,3,3.01,2.4,16.32,76.18,4.72,3.25,2.75,0.588,0.545,4.0,24.33
FIRM141,02/05/2025,22,251-500,350,>5B,Local,No,0,0,0,0,0,0,3,4,2,4,2,2,4,3,3.01,5,0,1,1,0,3.01,5,2,47.2,23.4,0,9,Easy,27.8,3,2,1,3,1.22,2.57,5.25,61.09,9.61,3.25,2.75,1.946,0.498,2.0,20.2
FIRM142,16/02/2025,14,1-50,35,<50M,Local,No,0,0,0,0,0,0,3,3,3,3,2,3,3,2,2.47,1,0,0,0,0,2.47,1,0,52.2,17.6,0,7,Moderate,26.9,4,5,4,4,6.14,4.01,8.13,78.56,3.4,3.0,2.5,0.426,0.472,4.333,25.84
FIRM143,27/06/2025,10,51-250,150,50M-500M,Local,No,0,0,0,0,0,0,3,3,3,3,1,3,4,3,1.95,0,0,1,1,0,1.95,0,2,58.4,14.0,1,15,Difficult,15.2,5,1,3,2,4.13,-0.2,0,64.21,2.65,3.0,2.75,1.382,0.485,3.0,16.4
FIRM144,29/06/2025,22,1-50,35,<50M,Foreign-owned,Yes,1,0,0,0,1,6,5,4,3,5,5,3,3,4,2.62,6,0,1,1,0,2.62,6,2,53.8,33.7,0,12,Moderate,12.0,5,3,3,3,17.9,11.71,6.65,78.55,6.0,4.25,3.75,1.975,0.428,3.667,40.17
FIRM145,10/01/2025,13,1-50,35,50M-500M,Local,No,0,0,0,0,0,0,4,3,4,2,3,3,2,2,1.55,3,0,1,0,0,1.55,3,1,65.8,27.8,1,2,Moderate,12.8,4,3,5,4,4.6,2.34,5.61,61.8,3.8,3.25,2.5,1.021,0.667,4.0,19.86
FIRM146,20/03/2025,13,51-250,150,<50M,Local,No,0,0,0,0,0,0,3,4,3,2,3,5,3,4,1.73,6,0,1,1,1,1.73,6,2,72.4,30.7,1,6,Easy,9.8,4,4,4,1,14.56,10.6,6.26,76.29,6.72,3.0,3.75,1.852,0.68,4.0,36.97
FIRM147,07/04/2025,11,500+,700,<50M,Foreign-owned,Yes,1,0,0,1,0,8,5,2,5,3,4,2,5,3,3.19,3,1,1,0,0,3.19,3,2,66.7,32.6,1,1,Moderate,11.8,4,5,3,4,12.81,9.2,10.18,75.08,10.99,3.75,3.5,1.805,0.689,4.0,37.13
FIRM148,08/02/2025,7,51-250,150,500M-5B,Local,Yes,1,0,0,1,0,6,4,3,4,5,4,3,3,4,3.02,2,0,1,1,0,3.02,2,2,58.9,3.0,1,11,Moderate,0,4,2,5,5,5.88,8.47,26.69,89.22,4.8,4.0,3.5,1.697,0.445,3.667,35.69
FIRM149,04/02/2025,24,251-500,350,50M-500M,Local,Yes,1,1,0,1,0,7,4,5,5,3,5,4,4,4,4.06,4,0,1,1,0,4.06,4,2,64.6,12.3,1,13,Moderate,27.9,6,6,3,2,25.32,17.47,16.12,89.65,9.96,4.25,4.25,2.008,0.595,5.0,55.23
FIRM150,12/01/2025,12,1-50,35,50M-500M,Local,No,0,0,0,0,0,0,4,3,3,2,1,3,2,3,2.46,1,0,1,0,0,2.46,1,1,48.9,28.6,1,3,Moderate,14.8,3,3,1,4,-1.54,-2.54,6.67,65.1,2.41,3.0,2.25,0.981,0.629,2.333,12.39
FIRM151,26/06/2025,16,251-500,350,50M-500M,Joint venture,Yes,1,0,1,0,1,9,5,5,5,5,2,3,4,5,4.9,8,1,1,0,0,4.9,8,2,76.3,16.7,1,16,Difficult,16.0,5,5,3,3,15.1,11.84,20.22,87.18,9.58,5.0,3.5,2.458,0.535,4.333,44.5
FIRM152,30/03/2025,14,1-50,35,50M-500M,Joint venture,No,0,0,0,0,0,0,3,3,2,3,3,5,3,3,2.61,2,0,1,1,0,2.61,2,2,30.0,17.5,0,7,Difficult,18.3,2,1,4,2,6.7,1.06,0.57,75.61,5.47,2.75,3.5,1.64,0.349,2.333,22.62
FIRM153,18/02/2025,20,251-500,350,>5B,Local,No,0,0,0,0,0,0,4,4,4,4,4,5,3,2,1.56,2,0,1,0,0,1.56,2,1,54.4,20.2,1,6,Moderate,14.4,3,2,3,4,14.36,5.1,1.86,64.35,9.34,4.0,3.5,0.939,0.59,2.667,30.3
FIRM154,11/01/2025,16,51-250,150,50M-500M,Local,No,0,0,0,0,0,0,4,2,5,2,4,1,3,1,3.58,6,0,0,0,0,3.58,6,0,57.2,40.1,0,14,Moderate,15.4,5,3,3,3,-1.24,-2.76,4.33,44.37,2.48,3.25,2.25,0.997,0.458,3.667,7.83
FIRM155,03/05/2025,25,500+,700,50M-500M,Foreign-owned,Yes,1,1,1,1,0,1,5,4,5,2,3,3,4,5,3.04,4,1,0,1,0,3.04,4,2,75.3,22.6,0,7,Moderate,29.8,4,2,4,5,13.4,12.74,23.5,54.26,12.35,4.0,3.75,1.866,0.559,3.333,39.41
FIRM156,24/04/2025,19,1-50,35,50M-500M,Joint venture,Yes,1,0,1,1,1,5,3,4,4,4,2,4,3,3,3.57,5,0,1,0,0,3.57,5,1,28.2,25.8,0,23,Difficult,24.2,5,4,4,2,10.83,5.61,29.18,64.86,2.83,3.75,3.0,1.467,0.3,4.333,31.28
FIRM157,15/03/2025,13,1-50,35,50M-500M,Local,Yes,1,0,1,0,0,8,4,5,4,5,4,1,3,1,3.05,4,0,0,1,0,3.05,4,1,58.6,0,0,7,Moderate,14.6,3,2,3,3,2.55,2.29,18.55,62.05,1.69,4.5,2.25,1.313,0.377,2.667,20.27
FIRM158,22/03/2025,8,51-250,150,50M-500M,Local,Yes,1,0,0,1,0,8,5,4,4,4,2,3,2,4,3.41,2,0,1,0,0,3.41,2,1,42.3,31.9,1,13,Moderate,14.0,4,4,5,2,10.16,2.51,17.89,60.43,5.08,4.25,2.75,1.196,0.545,4.333,26.2
FIRM159,31/01/2025,10,1-50,35,500M-5B,Local,Yes,1,1,0,0,1,7,5,4,3,5,5,5,3,3,1.75,4,1,1,1,0,1.75,4,3,56.5,25.1,1,3,Easy,18.6,2,4,3,3,18.35,6.94,19.19,81.44,10.3,4.25,4.0,2.243,0.682,3.0,41.56
FIRM160,26/01/2025,1,51-250,150,50M-500M,Joint venture,Yes,1,0,1,1,0,1,3,4,3,5,3,3,2,3,2.94,5,0,0,1,0,2.94,5,1,76.0,9.6,0,4,Moderate,18.0,3,3,5,1,2.28,5.66,12.87,53.29,5.51,3.75,2.75,1.38,0.489,3.667,21.54
FIRM161,20/04/2025,30,251-500,350,50M-500M,Joint venture,Yes,1,0,1,1,1,6,5,5,5,2,5,3,5,3,3.07,6,0,1,0,0,3.07,6,1,55.2,13.7,1,11,Easy,11.3,5,6,5,4,13.39,7.15,20.52,72.65,12.0,4.25,4.0,1.483,0.55,5.333,37.86
FIRM162,13/03/2025,28,251-500,350,500M-5B,Local,No,0,0,0,0,0,0,4,3,2,2,3,2,2,3,3.11,1,0,0,0,0,3.11,1,0,71.7,49.3,0,10,Moderate,25.0,4,3,3,3,-5,2.47,2.31,50.58,7.71,2.75,2.5,0.516,0.595,3.333,12.73
FIRM163,24/04/2025,1,1-50,35,<50M,Local,No,0,0,0,0,0,0,2,4,2,2,2,4,3,1,2.83,5,0,0,1,1,2.83,5,1,43.7,15.6,0,12,Moderate,25.3,5,2,1,2,7.21,7.36,8.39,62.53,4.26,2.5,2.5,1.365,0.399,2.667,26.4
FIRM164,30/03/2025,27,500+,700,500M-5B,Local,Yes,1,1,0,0,1,9,4,5,5,5,4,4,4,4,3.17,3,1,1,0,0,3.17,3,2,69.2,43.1,1,6,Moderate,13.0,4,4,3,3,10.83,5.53,28.98,88.09,11.05,4.75,4.0,1.802,0.697,3.667,39.35
FIRM165,18/03/2025,17,51-250,150,<50M,Local,No,0,0,0,0,0,0,3,5,2,4,4,3,4,2,2.81,4,0,0,0,0,2.81,4,0,71.4,34.6,1,11,Difficult,18.6,3,4,4,1,9.06,11.29,5.01,64.19,7.28,3.5,3.25,0.724,0.631,3.667,31.65
FIRM166,07/06/2025,18,500+,700,>5B,Joint venture,Yes,1,1,1,1,0,10,5,4,4,5,4,4,3,4,4.56,7,1,1,0,0,4.56,7,2,65.0,32.3,1,1,Difficult,29.6,3,4,3,3,16.65,10.83,15.13,67.72,9.3,4.5,3.75,2.328,0.729,3.333,39.63
FIRM167,11/01/2025,25,51-250,150,50M-500M,Local,No,0,0,0,0,0,0,4,3,1,2,2,3,2,2,2.19,6,0,0,1,0,2.19,6,1,55.0,39.3,1,4,Moderate,14.1,3,5,2,3,1.31,1.94,2.51,59.39,3.52,2.5,2.25,1.359,0.669,3.333,16.26
FIRM168,14/02/2025,1,1-50,35,<50M,Local,No,0,0,0,0,0,0,3,3,5,3,1,2,4,2,2.46,2,1,0,0,0,2.46,2,1,65.0,20.2,1,9,Moderate,16.1,4,4,2,2,-4.29,0.16,0,63.75,5.15,3.5,2.25,1.064,0.602,3.333,12.4
FIRM169,03/01/2025,28,500+,700,500M-5B,Local,No,0,0,0,0,0,0,3,4,1,2,1,1,2,1,3.24,4,0,0,0,0,3.24,4,0,60.7,30.8,0,12,Difficult,8.8,2,4,2,6,-5,-3,0,54.54,4.11,2.5,1.25,0.784,0.392,2.667,7.15
FIRM170,14/06/2025,11,1-50,35,<50M,Local,No,0,0,0,0,0,0,4,1,4,3,2,1,4,2,2.81,1,0,1,0,0,2.81,1,1,51.3,16.8,1,10,Difficult,17.3,2,5,4,1,1.47,4.47,7.36,58.22,2.07,3.0,2.25,1.03,0.523,3.667,18.5
FIRM171,23/01/2025,10,51-250,150,<50M,Local,No,0,0,0,0,0,0,3,4,4,4,2,4,3,2,3.91,3,0,1,0,0,3.91,3,1,45.0,21.7,1,14,Difficult,25.4,5,1,4,1,2.57,2.49,8.71,66.09,5.51,3.75,2.75,1.349,0.529,3.333,20.92
