record_id,structure_type,soil_type,cover_depth_m,diameter_or_width_m,wall_thickness_m,groundwater_state,surface_settlement_mm,lateral_deflection_mm,earth_pressure_kpa,pore_pressure_kpa,failure_mode,failure_label,source_reference
STR-00170,Tunnel,Clay,12.146,10.663,1.13,Saturated,4.795,4.87,304.967,160.584,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00171,Basement wall,Sand,34.263,4.956,0.317,Saturated,34.018,22.596,841.236,210.474,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00172,Tunnel,Sand,29.542,11.209,0.757,Dry,11.238,11.201,549.55,115.84,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00173,Shaft lining,Sand,6.727,7.856,0.573,Perched,12.034,10.915,61.584,114.797,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00174,Shaft lining,Clay,20.67,12.91,0.391,Dry,26.674,21.519,414.623,85.393,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00175,Basement wall,Clay,19.113,4.929,0.972,Perched,5.28,1.493,392.924,128.868,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00176,Shaft lining,Clay,27.619,7.346,1.156,Dry,11.051,10.08,579.148,108.777,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00177,Shaft lining,Sand,33.684,5.478,0.631,Dry,15.916,12.456,617.349,119.952,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00178,Tunnel,Sand,32.101,13.73,0.544,Perched,22.657,20.878,704.705,156.899,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00179,Basement wall,Sand,6.605,8.558,0.284,Dry,12.73,11.762,93.531,58.699,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00180,Shaft lining,Sand,10.376,14.381,0.413,Saturated,21.369,18.056,215.824,154.91,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00181,Basement wall,Clay,5.85,8.768,0.902,Dry,6.711,7.851,118.066,30.05,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00182,Basement wall,Sand,12.743,10.98,1.026,Perched,7.115,10.071,277.819,122.917,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00183,Basement wall,Sand,15.305,6.233,0.597,Dry,6.122,6.443,270.662,89.133,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00184,Basement wall,Clay,24.714,9.095,1.028,Dry,9.409,9.995,471.38,107.715,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00185,Tunnel,Clay,27.433,12.688,0.674,Dry,18.877,18.993,541.258,105.908,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00186,Basement wall,Clay,18.062,7.479,0.738,Perched,10.926,7.464,441.678,139.056,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00187,Shaft lining,Clay,21.068,14.27,0.642,Perched,21.779,17.797,432.27,146.111,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00188,Shaft lining,Sand,31.86,5.547,0.273,Perched,33.788,22.548,698.253,158.208,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00189,Basement wall,Sand,24.468,8.401,1.011,Perched,9.588,10.63,500.756,131.227,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00190,Tunnel,Sand,16.026,13.522,0.691,Saturated,13.023,12.677,374.356,171.837,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00191,Tunnel,Clay,22.284,14.564,0.999,Dry,5.522,10.159,437.4,94.681,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00192,Tunnel,Clay,32.839,12.097,1.075,Saturated,16.517,15.41,897.075,192.098,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00193,Basement wall,Clay,22.542,4.906,0.634,Saturated,12.154,11.172,574.857,186.819,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00194,Shaft lining,Clay,34.851,11.086,0.667,Saturated,29.868,22.153,944.556,205.857,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00195,Basement wall,Sand,7.699,10.864,0.389,Saturated,19.243,17.06,225.334,152.166,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00196,Basement wall,Sand,14.602,5.28,0.921,Saturated,4.761,4.251,389.859,147.925,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00197,Basement wall,Sand,9.591,5.497,0.428,Dry,3.534,2.506,160.583,56.548,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00198,Tunnel,Sand,17.592,9.12,0.894,Perched,12.348,9.672,353.112,125.745,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00199,Basement wall,Clay,5.452,14.753,0.945,Saturated,13.987,16.261,168.327,144.33,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00200,Tunnel,Sand,8.575,8.255,0.286,Saturated,21.199,16.096,229.924,137.943,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00201,Basement wall,Sand,15.546,5.626,0.858,Perched,9.373,8.875,310.826,116.762,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00202,Tunnel,Clay,27.706,13.323,0.517,Saturated,33.595,23.067,716.441,202.265,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00203,Tunnel,Clay-Sand Mix,18.457,10.59,0.848,Dry,7.063,6.427,342.084,90.249,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00204,Basement wall,Sand,20.559,5.649,1.075,Perched,3.669,2.85,442.132,152.965,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00205,Tunnel,Sand,14.073,4.375,0.931,Dry,0.281,2.424,235.626,54.158,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00206,Tunnel,Clay,32.359,7.755,1.148,Perched,10.44,7.562,724.282,168.346,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00207,Tunnel,Clay,4.03,10.551,0.577,Dry,10.932,12.727,33.712,42.353,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00208,Tunnel,Clay-Sand Mix,4.881,8.592,0.491,Saturated,10.422,10.94,83.956,138.162,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00209,Shaft lining,Clay,20.742,8.471,1.01,Saturated,11.198,11.016,586.253,179.29,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00210,Basement wall,Sand,22.707,6.742,0.915,Perched,9.279,10.259,492.294,147.903,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00211,Tunnel,Clay,21.854,7.051,1.145,Saturated,9.75,8.333,568.896,178.096,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00212,Shaft lining,Sand,17.247,11.822,1.1,Saturated,8.893,6.694,434.794,179.837,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00213,Basement wall,Sand,5.68,8.626,0.97,Saturated,4.679,3.427,162.015,159.247,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00214,Shaft lining,Clay,29.82,10.882,0.742,Saturated,18.082,17.07,771.164,201.877,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00215,Shaft lining,Clay,12.501,10.591,1.047,Perched,7.546,9.738,276.889,116.804,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00216,Tunnel,Sand,22.418,5.985,0.253,Saturated,28.791,17.965,569.129,192.028,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00217,Shaft lining,Sand,24.889,12.644,0.37,Dry,24.081,16.554,484.202,109.647,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00218,Basement wall,Clay-Sand Mix,4.27,11.414,0.877,Saturated,7.776,9.086,98.19,163.666,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00219,Basement wall,Clay,11.794,14.271,1.199,Saturated,9.928,11.728,277.718,167.007,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00220,Tunnel,Clay,10.68,4.394,0.337,Dry,9.522,6.468,215.569,50.384,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00221,Tunnel,Clay,18.462,9.099,0.312,Saturated,36.584,25.651,463.703,169.326,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00222,Tunnel,Clay,26.391,14.549,0.518,Saturated,31.21,27.628,686.417,195.876,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00223,Tunnel,Sand,14.637,14.338,0.557,Saturated,16.354,18.411,376.375,183.103,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00224,Basement wall,Sand,5.819,8.194,0.382,Dry,9.418,12.069,81.219,50.055,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00225,Shaft lining,Clay,8.438,9.748,0.803,Dry,7.474,9.364,173.161,54.644,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00226,Tunnel,Clay,19.897,5.0,0.752,Saturated,10.081,4.99,506.601,169.88,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00227,Basement wall,Sand,10.36,11.947,1.123,Saturated,8.973,8.883,230.438,155.85,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00228,Shaft lining,Sand,21.566,11.735,0.275,Dry,29.671,23.305,410.172,86.229,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00229,Basement wall,Sand,30.595,14.853,0.681,Dry,18.865,19.432,590.215,124.655,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00230,Shaft lining,Sand,14.454,9.886,0.927,Dry,5.852,8.77,247.921,64.015,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00231,Shaft lining,Sand,18.75,7.85,0.551,Saturated,13.442,11.396,431.736,170.187,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00232,Shaft lining,Sand,11.157,5.832,1.057,Dry,4.445,5.903,202.44,63.266,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00233,Tunnel,Clay,11.302,7.749,1.046,Perched,8.856,7.26,265.427,121.645,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00234,Shaft lining,Clay,16.147,11.077,0.462,Dry,19.941,16.074,332.529,73.032,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00235,Basement wall,Clay,30.903,13.069,0.912,Perched,14.354,13.532,695.001,169.568,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00236,Basement wall,Clay,11.911,9.42,0.991,Saturated,10.858,11.668,281.55,149.402,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00237,Shaft lining,Clay,10.086,13.642,0.331,Dry,26.286,22.794,171.482,50.757,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00238,Tunnel,Clay,12.742,12.135,0.652,Saturated,17.351,16.399,393.009,175.061,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00239,Shaft lining,Clay,12.65,14.095,0.724,Saturated,19.329,17.432,380.044,156.035,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00240,Basement wall,Sand,21.965,7.594,0.766,Saturated,11.733,12.441,529.82,198.913,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00241,Basement wall,Clay,21.946,14.201,0.37,Saturated,41.203,30.811,566.116,168.515,Consolidation settlement,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00242,Basement wall,Clay,7.166,8.685,0.514,Saturated,17.39,15.879,211.041,152.803,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00243,Tunnel,Sand,7.058,13.93,0.302,Dry,19.358,16.119,118.521,50.087,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00244,Tunnel,Sand,12.447,11.291,1.006,Perched,7.309,7.537,201.4,126.966,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00245,Tunnel,Sand,27.665,9.883,0.396,Dry,21.9,17.17,470.975,106.968,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00246,Shaft lining,Sand,24.674,12.783,0.756,Dry,12.671,12.711,448.07,95.553,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00247,Shaft lining,Sand,11.562,9.363,0.377,Saturated,18.755,16.642,274.366,163.302,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00248,Tunnel,Clay-Sand Mix,25.667,5.67,0.617,Saturated,12.984,11.438,666.539,174.404,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00249,Basement wall,Clay,30.047,11.844,0.97,Saturated,16.699,16.734,810.284,215.228,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00250,Basement wall,Sand,19.948,13.67,0.923,Saturated,12.092,12.147,443.887,180.014,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00251,Shaft lining,Clay,13.497,13.972,1.076,Saturated,15.66,12.959,382.509,155.191,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00252,Tunnel,Sand,6.607,4.435,0.279,Perched,8.261,4.439,141.99,106.627,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00253,Shaft lining,Sand,25.263,12.018,0.322,Saturated,35.63,26.167,603.395,195.334,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00254,Tunnel,Sand,16.394,12.322,0.909,Dry,6.73,9.873,285.236,71.235,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00255,Tunnel,Clay,30.749,6.918,0.36,Perched,29.413,20.559,670.795,182.327,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00256,Basement wall,Sand,18.293,4.025,0.931,Dry,2.618,4.666,333.844,83.987,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00257,Basement wall,Sand,5.885,4.22,0.699,Saturated,5.018,3.508,144.839,135.044,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00258,Shaft lining,Sand,18.555,11.971,0.507,Dry,14.599,8.466,334.221,78.188,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00259,Shaft lining,Sand,32.2,13.849,0.818,Perched,11.677,10.178,666.393,160.667,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00260,Basement wall,Sand,14.195,14.051,0.868,Saturated,10.683,14.26,366.189,156.156,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00261,Shaft lining,Sand,6.614,12.124,0.855,Saturated,6.372,7.758,143.658,129.981,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00262,Tunnel,Sand,33.966,11.356,1.162,Perched,7.353,5.075,690.902,151.451,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00263,Shaft lining,Clay,28.692,14.758,1.15,Perched,12.315,12.706,645.658,160.513,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00264,Tunnel,Sand,26.428,4.096,0.972,Saturated,7.993,5.214,643.352,203.077,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00265,Tunnel,Clay-Sand Mix,8.994,9.714,0.772,Dry,6.627,8.355,169.128,63.279,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00266,Tunnel,Sand,4.207,9.8,0.66,Perched,6.265,8.676,77.763,103.602,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00267,Basement wall,Clay-Sand Mix,13.676,8.483,0.996,Perched,6.698,6.525,302.057,121.354,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00268,Shaft lining,Sand,20.999,12.79,0.969,Perched,10.689,13.196,396.232,130.749,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00269,Tunnel,Clay,11.354,6.762,0.639,Saturated,12.334,12.754,304.065,150.87,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00270,Basement wall,Clay,4.515,13.304,0.806,Saturated,9.732,11.644,139.047,143.11,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00271,Basement wall,Sand,29.015,9.99,0.828,Perched,12.043,8.869,613.474,140.532,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00272,Tunnel,Sand,30.499,12.065,1.012,Saturated,14.488,11.805,743.091,199.232,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00273,Shaft lining,Sand,5.273,4.163,0.521,Saturated,4.805,3.273,107.384,141.064,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00274,Shaft lining,Clay-Sand Mix,33.944,5.889,0.691,Saturated,17.653,8.952,874.061,218.881,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00275,Tunnel,Clay,18.003,7.217,0.362,Saturated,27.683,18.271,459.666,158.01,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00276,Basement wall,Sand,29.46,14.439,0.543,Dry,15.159,13.097,584.945,105.568,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00277,Basement wall,Clay,29.744,13.787,0.858,Dry,14.039,13.804,623.826,105.08,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00278,Basement wall,Clay,7.372,10.29,0.903,Dry,7.093,8.657,126.601,47.654,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00279,Basement wall,Sand,12.088,4.705,0.448,Dry,11.977,9.623,221.712,48.652,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00280,Shaft lining,Clay,17.754,8.933,0.894,Dry,6.797,7.613,323.546,79.91,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00281,Basement wall,Clay,8.022,14.854,1.128,Saturated,7.495,10.735,262.145,140.088,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00282,Basement wall,Sand,27.349,13.561,1.036,Saturated,9.086,9.927,650.141,197.616,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00283,Shaft lining,Clay,21.063,10.079,0.535,Saturated,20.69,13.112,547.076,201.763,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00284,Tunnel,Sand,9.987,5.607,1.166,Dry,4.447,5.642,184.994,40.097,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00285,Shaft lining,Clay-Sand Mix,21.159,8.876,1.106,Saturated,6.5,8.525,565.255,184.512,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00286,Basement wall,Sand,20.593,12.583,0.403,Perched,19.215,19.031,387.146,139.363,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00287,Shaft lining,Clay-Sand Mix,26.547,11.498,0.463,Saturated,29.654,21.573,671.396,182.009,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00288,Basement wall,Clay-Sand Mix,10.093,4.52,0.449,Perched,10.641,9.121,222.34,106.982,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00289,Basement wall,Sand,25.244,7.57,0.47,Saturated,21.681,16.927,623.414,206.349,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00290,Shaft lining,Sand,13.627,10.704,0.28,Dry,23.586,14.452,194.847,52.849,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00291,Shaft lining,Clay,28.844,14.094,0.462,Dry,23.495,21.091,568.599,113.796,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00292,Basement wall,Sand,32.36,10.041,0.882,Dry,13.98,10.342,583.088,130.925,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00293,Basement wall,Clay-Sand Mix,12.577,5.544,0.288,Perched,16.643,12.606,271.039,126.685,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00294,Basement wall,Sand,32.265,12.676,0.272,Saturated,54.402,40.236,797.264,223.964,Piping/erosion,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00295,Tunnel,Clay,7.661,10.477,0.448,Dry,10.532,11.052,163.567,51.441,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00296,Tunnel,Sand,7.526,12.728,0.836,Saturated,10.807,12.926,188.279,141.752,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00297,Shaft lining,Sand,7.242,6.971,0.346,Saturated,16.113,15.079,154.062,151.039,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00298,Basement wall,Clay,20.227,5.19,0.992,Dry,7.819,8.78,407.348,100.108,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00299,Tunnel,Clay,11.808,12.261,0.738,Perched,16.891,18.319,308.71,114.677,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00300,Shaft lining,Sand,29.409,6.578,0.642,Saturated,12.426,6.517,727.357,197.625,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00301,Shaft lining,Clay,4.844,9.81,0.909,Saturated,10.141,13.064,124.165,131.767,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00302,Shaft lining,Sand,8.376,8.139,0.502,Saturated,7.815,7.036,255.886,155.111,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00303,Basement wall,Sand,27.063,5.882,1.079,Saturated,7.447,6.077,677.618,190.491,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00304,Shaft lining,Clay,5.318,13.624,0.427,Dry,21.231,18.586,107.534,45.333,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00305,Basement wall,Clay,33.602,7.738,0.581,Perched,21.017,18.409,714.293,157.422,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00306,Shaft lining,Sand,4.653,8.956,0.418,Perched,9.291,8.968,65.759,107.405,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00307,Tunnel,Clay-Sand Mix,10.333,13.702,0.907,Perched,6.708,9.222,225.156,125.002,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00308,Tunnel,Clay,26.705,10.794,0.352,Saturated,42.21,32.539,690.457,180.456,Structural buckling,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00309,Tunnel,Sand,11.148,13.519,0.843,Saturated,14.603,16.878,294.691,143.912,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00310,Basement wall,Sand,25.768,10.914,0.415,Saturated,29.704,22.349,627.16,184.876,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00311,Shaft lining,Clay,29.963,14.987,0.907,Dry,13.367,16.752,577.057,95.421,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00312,Shaft lining,Sand,5.138,6.963,0.468,Saturated,12.997,9.54,55.776,142.02,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00313,Tunnel,Sand,25.379,7.359,1.152,Saturated,11.774,11.018,613.2,187.969,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00314,Shaft lining,Sand,28.004,8.174,0.898,Dry,5.437,6.238,491.827,108.644,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00315,Basement wall,Clay-Sand Mix,32.751,10.635,1.145,Perched,11.464,10.062,752.291,165.719,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00316,Basement wall,Clay,22.622,11.14,1.033,Perched,13.138,10.332,523.418,136.428,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00317,Tunnel,Clay,34.469,11.515,0.969,Dry,18.824,12.928,665.843,119.663,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00318,Tunnel,Clay,15.597,12.304,1.076,Saturated,8.97,9.693,403.465,156.353,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00319,Shaft lining,Clay,5.535,7.846,0.958,Saturated,7.541,8.654,147.196,144.596,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00320,Shaft lining,Clay,23.384,6.47,0.336,Dry,23.573,15.799,459.004,95.872,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00321,Basement wall,Sand,17.39,14.091,0.805,Saturated,11.328,10.857,424.533,171.757,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00322,Tunnel,Clay,23.606,6.333,0.69,Perched,12.68,7.842,503.665,160.705,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00323,Basement wall,Clay,23.832,6.482,0.762,Perched,10.522,8.283,499.821,132.607,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00324,Tunnel,Clay,15.215,14.941,0.943,Perched,12.396,13.263,367.477,122.918,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00325,Shaft lining,Clay,26.486,11.17,0.703,Perched,15.569,11.214,593.391,160.916,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00326,Shaft lining,Sand,4.679,14.997,1.181,Dry,8.168,12.332,106.293,50.403,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00327,Tunnel,Clay-Sand Mix,28.646,14.835,1.1,Perched,11.515,10.729,610.404,157.782,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00328,Tunnel,Sand,14.447,7.121,0.268,Saturated,21.567,15.02,378.667,155.734,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00329,Basement wall,Clay,21.965,4.057,0.858,Perched,7.509,4.414,529.192,145.694,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00330,Shaft lining,Sand,29.128,12.095,0.256,Saturated,50.267,34.826,682.206,220.635,Piping/erosion,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00331,Basement wall,Sand,9.429,11.64,1.08,Dry,4.292,9.075,136.046,59.894,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00332,Shaft lining,Sand,21.795,12.594,0.859,Dry,8.157,11.769,421.765,84.767,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00333,Shaft lining,Clay-Sand Mix,14.445,10.659,0.495,Saturated,19.013,17.037,405.351,166.975,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00334,Basement wall,Sand,21.448,7.651,0.592,Perched,17.884,12.765,449.277,136.29,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00335,Tunnel,Sand,13.77,5.936,0.425,Saturated,13.836,9.894,341.273,164.508,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00336,Tunnel,Sand,21.893,4.73,0.645,Saturated,12.7,13.906,557.558,192.12,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00337,Basement wall,Clay,9.403,5.936,0.261,Perched,21.879,15.354,203.792,90.356,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00338,Tunnel,Clay,30.37,14.565,1.168,Saturated,16.649,17.764,847.361,217.812,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00339,Shaft lining,Sand,23.05,5.424,0.961,Saturated,8.247,8.149,540.95,200.267,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00340,Basement wall,Clay-Sand Mix,22.324,9.897,0.337,Perched,26.088,22.897,534.2,152.154,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
