sample_id,soil_type,relative_density_pct,D10_mm,D50_mm,D90_mm,friction_angle_deg,dilation_angle_deg,undrained_shear_strength_cu_kpa,plasticity_index_PI,liquid_limit_pct,plastic_limit_pct,compression_index_Cc,swelling_index_Cs,youngs_modulus_mpa,poisson_ratio,source_reference
SAND-0163,Sandy soil (cohesionless),64.24,0.2082,0.8693,1.5479,34.427,4.254,,,,,,,62.773,0.3065,SoilModels / Mendeley style calibration set (synthetic)
SAND-0164,Sandy soil (cohesionless),35.762,0.0897,0.3411,0.9664,35.417,2.11,,,,,,,42.875,0.2686,SoilModels / Mendeley style calibration set (synthetic)
SAND-0165,Sandy soil (cohesionless),42.583,0.2649,0.8155,1.8638,35.368,0.055,,,,,,,46.596,0.2544,SoilModels / Mendeley style calibration set (synthetic)
SAND-0166,Sandy soil (cohesionless),74.537,0.2308,0.993,1.9032,37.793,4.623,,,,,,,75.153,0.267,SoilModels / Mendeley style calibration set (synthetic)
SAND-0167,Sandy soil (cohesionless),94.384,0.1951,0.446,1.1572,42.441,6.55,,,,,,,84.15,0.2221,SoilModels / Mendeley style calibration set (synthetic)
SAND-0168,Sandy soil (cohesionless),40.184,0.1027,0.4019,1.0258,33.774,1.403,,,,,,,47.723,0.2853,SoilModels / Mendeley style calibration set (synthetic)
SAND-0169,Sandy soil (cohesionless),68.449,0.2269,0.8411,1.7128,37.034,6.578,,,,,,,66.023,0.2986,SoilModels / Mendeley style calibration set (synthetic)
SAND-0170,Sandy soil (cohesionless),81.619,0.137,0.4469,0.9868,40.079,6.755,,,,,,,80.399,0.2742,SoilModels / Mendeley style calibration set (synthetic)
SAND-0171,Sandy soil (cohesionless),80.121,0.2044,0.7254,1.2593,36.536,8.319,,,,,,,80.794,0.2872,SoilModels / Mendeley style calibration set (synthetic)
SAND-0172,Sandy soil (cohesionless),39.914,0.1729,0.5982,1.5358,33.803,1.41,,,,,,,48.188,0.3423,SoilModels / Mendeley style calibration set (synthetic)
SAND-0173,Sandy soil (cohesionless),82.046,0.1695,0.5203,1.2024,40.295,6.258,,,,,,,81.266,0.3055,SoilModels / Mendeley style calibration set (synthetic)
SAND-0174,Sandy soil (cohesionless),71.155,0.2456,0.5572,1.3083,35.848,4.597,,,,,,,72.39,0.2828,SoilModels / Mendeley style calibration set (synthetic)
SAND-0175,Sandy soil (cohesionless),92.441,0.2474,0.9652,1.9855,39.046,7.749,,,,,,,89.85,0.2612,SoilModels / Mendeley style calibration set (synthetic)
SAND-0176,Sandy soil (cohesionless),44.381,0.1824,0.6416,1.794,36.426,0.807,,,,,,,49.611,0.2443,SoilModels / Mendeley style calibration set (synthetic)
SAND-0177,Sandy soil (cohesionless),89.204,0.245,0.8383,2.1925,40.907,7.721,,,,,,,91.171,0.2808,SoilModels / Mendeley style calibration set (synthetic)
SAND-0178,Sandy soil (cohesionless),86.758,0.2535,0.7226,1.7475,40.813,9.78,,,,,,,84.479,0.2767,SoilModels / Mendeley style calibration set (synthetic)
SAND-0179,Sandy soil (cohesionless),43.982,0.1351,0.3703,0.8981,33.91,0.753,,,,,,,50.012,0.3004,SoilModels / Mendeley style calibration set (synthetic)
SAND-0180,Sandy soil (cohesionless),85.637,0.2968,1.2865,3.767,39.482,7.404,,,,,,,82.384,0.3169,SoilModels / Mendeley style calibration set (synthetic)
SAND-0181,Sandy soil (cohesionless),55.921,0.1714,0.6183,1.2337,34.543,2.33,,,,,,,64.473,0.2735,SoilModels / Mendeley style calibration set (synthetic)
SAND-0182,Sandy soil (cohesionless),76.29,0.1758,0.7473,1.6357,39.502,6.168,,,,,,,83.863,0.3185,SoilModels / Mendeley style calibration set (synthetic)
SAND-0183,Sandy soil (cohesionless),66.76,0.158,0.3748,0.9772,38.896,3.659,,,,,,,66.846,0.2945,SoilModels / Mendeley style calibration set (synthetic)
SAND-0184,Sandy soil (cohesionless),51.008,0.1705,0.3831,0.8569,34.744,3.906,,,,,,,53.607,0.2953,SoilModels / Mendeley style calibration set (synthetic)
SAND-0185,Sandy soil (cohesionless),58.721,0.2763,0.7229,1.3733,36.124,4.386,,,,,,,60.659,0.2548,SoilModels / Mendeley style calibration set (synthetic)
SAND-0186,Sandy soil (cohesionless),94.962,0.2793,0.6772,1.9554,40.182,8.592,,,,,,,84.424,0.3233,SoilModels / Mendeley style calibration set (synthetic)
SAND-0187,Sandy soil (cohesionless),55.739,0.3148,0.7296,1.3333,33.822,4.902,,,,,,,56.795,0.2853,SoilModels / Mendeley style calibration set (synthetic)
SAND-0188,Sandy soil (cohesionless),50.638,0.2302,0.5312,0.938,35.003,2.817,,,,,,,55.923,0.3111,SoilModels / Mendeley style calibration set (synthetic)
SAND-0189,Sandy soil (cohesionless),78.93,0.1228,0.4743,0.9542,37.128,7.791,,,,,,,80.91,0.2894,SoilModels / Mendeley style calibration set (synthetic)
SAND-0190,Sandy soil (cohesionless),56.406,0.1273,0.3451,0.6819,37.549,3.067,,,,,,,60.561,0.3127,SoilModels / Mendeley style calibration set (synthetic)
SAND-0191,Sandy soil (cohesionless),61.919,0.2005,0.6471,1.3797,35.551,2.617,,,,,,,66.034,0.3256,SoilModels / Mendeley style calibration set (synthetic)
SAND-0192,Sandy soil (cohesionless),37.451,0.0933,0.2783,0.6761,35.137,1.959,,,,,,,39.406,0.2815,SoilModels / Mendeley style calibration set (synthetic)
SAND-0193,Sandy soil (cohesionless),93.989,0.1607,0.6945,1.9614,42.338,7.418,,,,,,,90.212,0.2877,SoilModels / Mendeley style calibration set (synthetic)
SAND-0194,Sandy soil (cohesionless),89.295,0.2575,0.574,1.1112,40.023,7.861,,,,,,,81.442,0.2465,SoilModels / Mendeley style calibration set (synthetic)
SAND-0195,Sandy soil (cohesionless),90.244,0.1805,0.5177,1.0466,39.728,6.759,,,,,,,89.891,0.2979,SoilModels / Mendeley style calibration set (synthetic)
SAND-0196,Sandy soil (cohesionless),83.828,0.2856,0.8609,2.5595,39.68,9.154,,,,,,,79.526,0.2891,SoilModels / Mendeley style calibration set (synthetic)
SAND-0197,Sandy soil (cohesionless),92.307,0.2689,0.9674,2.7707,39.473,7.348,,,,,,,84.271,0.2868,SoilModels / Mendeley style calibration set (synthetic)
SAND-0198,Sandy soil (cohesionless),63.908,0.0865,0.2925,0.575,36.966,3.895,,,,,,,64.841,0.2695,SoilModels / Mendeley style calibration set (synthetic)
SAND-0199,Sandy soil (cohesionless),82.569,0.2224,0.7752,1.8582,38.659,6.221,,,,,,,79.571,0.3272,SoilModels / Mendeley style calibration set (synthetic)
SAND-0200,Sandy soil (cohesionless),74.746,0.1247,0.4554,1.0266,37.834,4.999,,,,,,,73.179,0.3475,SoilModels / Mendeley style calibration set (synthetic)
SAND-0201,Sandy soil (cohesionless),75.507,0.1411,0.5949,1.653,36.759,4.602,,,,,,,79.381,0.2363,SoilModels / Mendeley style calibration set (synthetic)
SAND-0202,Sandy soil (cohesionless),63.582,0.1449,0.4986,0.9327,35.063,3.487,,,,,,,71.903,0.2551,SoilModels / Mendeley style calibration set (synthetic)
SAND-0203,Sandy soil (cohesionless),50.114,0.3078,1.2017,2.6229,34.119,3.648,,,,,,,57.791,0.2509,SoilModels / Mendeley style calibration set (synthetic)
SAND-0204,Sandy soil (cohesionless),76.856,0.2606,0.9071,1.7648,37.864,6.955,,,,,,,78.683,0.3262,SoilModels / Mendeley style calibration set (synthetic)
SAND-0205,Sandy soil (cohesionless),67.89,0.1869,0.4795,0.9224,34.111,5.903,,,,,,,73.018,0.3502,SoilModels / Mendeley style calibration set (synthetic)
SAND-0206,Sandy soil (cohesionless),47.714,0.1512,0.5079,1.0591,34.122,2.281,,,,,,,53.077,0.2796,SoilModels / Mendeley style calibration set (synthetic)
SAND-0207,Sandy soil (cohesionless),89.336,0.26,0.6258,1.3878,39.248,7.88,,,,,,,89.431,0.2395,SoilModels / Mendeley style calibration set (synthetic)
SAND-0208,Sandy soil (cohesionless),47.718,0.1406,0.3736,1.1049,32.567,2.637,,,,,,,57.768,0.2749,SoilModels / Mendeley style calibration set (synthetic)
SAND-0209,Sandy soil (cohesionless),46.014,0.1035,0.3377,0.9057,35.285,2.568,,,,,,,48.171,0.3108,SoilModels / Mendeley style calibration set (synthetic)
SAND-0210,Sandy soil (cohesionless),44.861,0.1831,0.5661,1.0725,34.458,1.428,,,,,,,53.37,0.3138,SoilModels / Mendeley style calibration set (synthetic)
SAND-0211,Sandy soil (cohesionless),80.795,0.0918,0.213,0.4094,39.99,5.256,,,,,,,82.726,0.2854,SoilModels / Mendeley style calibration set (synthetic)
SAND-0212,Sandy soil (cohesionless),73.475,0.103,0.4424,0.8064,36.112,5.472,,,,,,,77.979,0.2818,SoilModels / Mendeley style calibration set (synthetic)
SAND-0213,Sandy soil (cohesionless),47.758,0.2784,0.9439,2.2973,33.736,2.324,,,,,,,51.072,0.327,SoilModels / Mendeley style calibration set (synthetic)
SAND-0214,Sandy soil (cohesionless),93.445,0.253,0.7387,2.07,40.432,7.535,,,,,,,90.345,0.3785,SoilModels / Mendeley style calibration set (synthetic)
SAND-0215,Sandy soil (cohesionless),81.516,0.2152,0.6484,1.3517,37.629,8.159,,,,,,,81.29,0.3124,SoilModels / Mendeley style calibration set (synthetic)
SAND-0216,Sandy soil (cohesionless),47.388,0.1173,0.3822,0.7894,33.159,2.469,,,,,,,49.938,0.2968,SoilModels / Mendeley style calibration set (synthetic)
SAND-0217,Sandy soil (cohesionless),46.682,0.2226,0.6897,1.9118,33.338,1.715,,,,,,,50.687,0.2707,SoilModels / Mendeley style calibration set (synthetic)
SAND-0218,Sandy soil (cohesionless),48.638,0.2709,0.6632,1.7035,35.799,2.456,,,,,,,53.579,0.2858,SoilModels / Mendeley style calibration set (synthetic)
SAND-0219,Sandy soil (cohesionless),68.553,0.2664,0.8124,1.5927,36.602,4.374,,,,,,,65.398,0.2816,SoilModels / Mendeley style calibration set (synthetic)
SAND-0220,Sandy soil (cohesionless),79.129,0.1029,0.2753,0.8232,37.513,7.316,,,,,,,76.705,0.3153,SoilModels / Mendeley style calibration set (synthetic)
SAND-0221,Sandy soil (cohesionless),65.4,0.1488,0.4427,0.921,37.764,4.749,,,,,,,68.665,0.3341,SoilModels / Mendeley style calibration set (synthetic)
SAND-0222,Sandy soil (cohesionless),87.109,0.1862,0.4197,1.2043,41.279,6.725,,,,,,,83.36,0.3324,SoilModels / Mendeley style calibration set (synthetic)
SAND-0223,Sandy soil (cohesionless),44.334,0.1327,0.5583,1.1161,35.488,0.031,,,,,,,53.725,0.2232,SoilModels / Mendeley style calibration set (synthetic)
SAND-0224,Sandy soil (cohesionless),56.079,0.1092,0.2553,0.5587,35.84,2.513,,,,,,,62.282,0.248,SoilModels / Mendeley style calibration set (synthetic)
SAND-0225,Sandy soil (cohesionless),80.699,0.3147,1.3054,3.7019,37.82,6.983,,,,,,,78.873,0.2943,SoilModels / Mendeley style calibration set (synthetic)
SAND-0226,Sandy soil (cohesionless),44.149,0.1594,0.6905,1.3865,34.046,2.661,,,,,,,40.4,0.3512,SoilModels / Mendeley style calibration set (synthetic)
SAND-0227,Sandy soil (cohesionless),35.56,0.1334,0.427,0.8434,35.01,0.57,,,,,,,39.124,0.2307,SoilModels / Mendeley style calibration set (synthetic)
SAND-0228,Sandy soil (cohesionless),66.348,0.2256,0.6484,1.7858,38.433,5.921,,,,,,,63.786,0.2779,SoilModels / Mendeley style calibration set (synthetic)
SAND-0229,Sandy soil (cohesionless),44.036,0.1154,0.4108,1.2171,32.222,4.081,,,,,,,48.907,0.3331,SoilModels / Mendeley style calibration set (synthetic)
SAND-0230,Sandy soil (cohesionless),59.21,0.226,0.739,1.6719,37.525,4.971,,,,,,,56.033,0.2736,SoilModels / Mendeley style calibration set (synthetic)
SAND-0231,Sandy soil (cohesionless),73.438,0.1988,0.7957,1.3967,40.193,6.273,,,,,,,75.891,0.2972,SoilModels / Mendeley style calibration set (synthetic)
SAND-0232,Sandy soil (cohesionless),83.691,0.1281,0.5462,1.0289,36.306,8.072,,,,,,,79.818,0.3131,SoilModels / Mendeley style calibration set (synthetic)
SAND-0233,Sandy soil (cohesionless),81.046,0.1693,0.5529,1.5691,38.733,7.961,,,,,,,78.65,0.2788,SoilModels / Mendeley style calibration set (synthetic)
SAND-0234,Sandy soil (cohesionless),85.986,0.2084,0.567,1.4883,39.258,8.583,,,,,,,87.697,0.3403,SoilModels / Mendeley style calibration set (synthetic)
SAND-0235,Sandy soil (cohesionless),55.186,0.2883,1.1802,3.4474,36.525,3.594,,,,,,,59.211,0.2456,SoilModels / Mendeley style calibration set (synthetic)
SAND-0236,Sandy soil (cohesionless),51.089,0.2538,0.6293,1.4478,34.328,3.339,,,,,,,56.282,0.2646,SoilModels / Mendeley style calibration set (synthetic)
SAND-0237,Sandy soil (cohesionless),56.158,0.1945,0.7704,1.8641,36.041,3.285,,,,,,,60.664,0.2852,SoilModels / Mendeley style calibration set (synthetic)
SAND-0238,Sandy soil (cohesionless),90.846,0.1923,0.7164,1.3425,39.081,9.181,,,,,,,85.326,0.2942,SoilModels / Mendeley style calibration set (synthetic)
SAND-0239,Sandy soil (cohesionless),78.784,0.249,0.6673,1.8793,36.558,4.901,,,,,,,76.815,0.2114,SoilModels / Mendeley style calibration set (synthetic)
SAND-0240,Sandy soil (cohesionless),59.79,0.1397,0.5999,1.3497,35.871,3.949,,,,,,,55.411,0.2996,SoilModels / Mendeley style calibration set (synthetic)
SAND-0241,Sandy soil (cohesionless),62.548,0.2648,0.8465,2.1699,37.972,3.956,,,,,,,62.711,0.2686,SoilModels / Mendeley style calibration set (synthetic)
SAND-0242,Sandy soil (cohesionless),72.335,0.2233,0.7775,2.2985,37.145,5.897,,,,,,,75.287,0.3398,SoilModels / Mendeley style calibration set (synthetic)
SAND-0243,Sandy soil (cohesionless),44.613,0.1889,0.6214,1.15,33.344,2.069,,,,,,,49.964,0.2618,SoilModels / Mendeley style calibration set (synthetic)
SAND-0244,Sandy soil (cohesionless),41.828,0.2383,0.9765,2.0424,33.046,1.442,,,,,,,51.544,0.2953,SoilModels / Mendeley style calibration set (synthetic)
SAND-0245,Sandy soil (cohesionless),35.84,0.1485,0.3371,0.9366,33.5,0.921,,,,,,,46.531,0.3114,SoilModels / Mendeley style calibration set (synthetic)
SAND-0246,Sandy soil (cohesionless),93.962,0.1621,0.6352,1.6202,38.509,8.492,,,,,,,91.043,0.3363,SoilModels / Mendeley style calibration set (synthetic)
SAND-0247,Sandy soil (cohesionless),66.697,0.1093,0.301,0.5139,38.649,4.108,,,,,,,69.565,0.3283,SoilModels / Mendeley style calibration set (synthetic)
SAND-0248,Sandy soil (cohesionless),90.808,0.2318,0.9678,1.7761,39.379,8.487,,,,,,,94.13,0.2992,SoilModels / Mendeley style calibration set (synthetic)
SAND-0249,Sandy soil (cohesionless),88.195,0.11,0.4051,0.8874,39.656,7.705,,,,,,,82.316,0.3233,SoilModels / Mendeley style calibration set (synthetic)
SAND-0250,Sandy soil (cohesionless),87.0,0.2389,1.0277,2.0934,39.762,4.992,,,,,,,85.172,0.2599,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0001,Clay soil (cohesive),,,,,27.916,0.0,50.44,15.395,43.967,28.572,0.2337,0.0659,15.691,0.4349,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0002,Clay soil (cohesive),,,,,18.092,0.0,88.444,33.314,57.61,24.296,0.3356,0.11,30.098,0.3594,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0003,Clay soil (cohesive),,,,,25.622,0.0,96.788,31.417,63.186,31.768,0.3659,0.0862,33.074,0.3482,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0004,Clay soil (cohesive),,,,,18.04,0.0,78.88,25.916,49.964,24.048,0.3102,0.0852,24.787,0.3826,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0005,Clay soil (cohesive),,,,,22.274,0.0,65.816,19.964,55.607,35.643,0.2859,0.0716,20.256,0.3806,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0006,Clay soil (cohesive),,,,,25.886,0.0,77.122,19.741,49.348,29.607,0.2463,0.079,23.193,0.3435,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0007,Clay soil (cohesive),,,,,23.729,0.0,58.923,17.141,49.02,31.879,0.2623,0.0604,13.63,0.4083,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0008,Clay soil (cohesive),,,,,19.321,0.0,113.401,32.928,66.113,33.185,0.3313,0.1119,30.229,0.3402,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0009,Clay soil (cohesive),,,,,23.872,0.0,111.647,33.874,56.502,22.628,0.3482,0.105,29.056,0.3716,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0010,Clay soil (cohesive),,,,,21.551,0.0,106.961,33.118,69.333,36.215,0.3791,0.092,29.816,0.3484,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0011,Clay soil (cohesive),,,,,29.322,0.0,35.394,15.291,37.642,22.35,0.214,0.0748,16.627,0.3834,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0012,Clay soil (cohesive),,,,,27.683,0.0,129.925,41.215,63.356,22.141,0.4279,0.1221,34.391,0.3646,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0013,Clay soil (cohesive),,,,,30.69,0.0,130.639,37.484,71.099,33.614,0.3697,0.1026,30.1,0.3535,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0014,Clay soil (cohesive),,,,,28.298,0.0,65.097,18.1,48.836,30.736,0.2551,0.0626,19.427,0.3,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0015,Clay soil (cohesive),,,,,22.638,0.0,92.887,30.501,64.394,33.892,0.3345,0.0799,29.121,0.3886,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0016,Clay soil (cohesive),,,,,30.846,0.0,62.306,22.049,51.426,29.377,0.2704,0.0608,19.042,0.3382,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0017,Clay soil (cohesive),,,,,19.516,0.0,108.864,37.186,67.423,30.237,0.372,0.1116,26.474,0.4658,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0018,Clay soil (cohesive),,,,,22.6,0.0,102.761,31.948,59.588,27.64,0.3738,0.1172,25.76,0.3767,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0019,Clay soil (cohesive),,,,,18.837,0.0,67.219,21.384,51.072,29.688,0.2642,0.0648,22.702,0.4421,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0020,Clay soil (cohesive),,,,,19.865,0.0,100.979,29.098,56.085,26.987,0.3375,0.0883,29.159,0.4258,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0021,Clay soil (cohesive),,,,,20.526,0.0,92.325,27.532,53.162,25.63,0.31,0.1014,20.306,0.4123,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0022,Clay soil (cohesive),,,,,22.835,0.0,120.388,37.95,62.134,24.185,0.4348,0.1232,34.632,0.3973,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0023,Clay soil (cohesive),,,,,28.692,0.0,121.48,42.255,79.848,37.593,0.456,0.1138,30.352,0.4501,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0024,Clay soil (cohesive),,,,,19.457,0.0,40.812,13.538,45.624,32.085,0.2107,0.0512,13.284,0.4198,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0025,Clay soil (cohesive),,,,,23.174,0.0,80.773,25.244,53.634,28.39,0.2886,0.0758,22.569,0.3925,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0026,Clay soil (cohesive),,,,,22.711,0.0,115.922,33.138,66.819,33.681,0.3466,0.1061,32.628,0.3907,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0027,Clay soil (cohesive),,,,,28.957,0.0,47.028,13.02,37.955,24.935,0.2076,0.0673,20.724,0.3276,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0028,Clay soil (cohesive),,,,,25.349,0.0,62.638,14.533,43.726,29.193,0.1959,0.0436,18.431,0.3804,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0029,Clay soil (cohesive),,,,,19.738,0.0,123.504,34.273,60.107,25.834,0.3737,0.1007,29.598,0.4287,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0030,Clay soil (cohesive),,,,,27.265,0.0,127.941,40.665,69.278,28.612,0.4018,0.093,37.408,0.3126,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0031,Clay soil (cohesive),,,,,21.679,0.0,108.259,33.079,56.164,23.085,0.3326,0.0903,23.436,0.3825,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0032,Clay soil (cohesive),,,,,26.614,0.0,83.356,21.769,53.073,31.304,0.2703,0.0642,22.964,0.3622,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0033,Clay soil (cohesive),,,,,19.697,0.0,97.305,30.322,67.698,37.376,0.2685,0.1069,22.191,0.3889,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0034,Clay soil (cohesive),,,,,18.682,0.0,124.07,39.982,74.192,34.21,0.3595,0.1312,33.22,0.3262,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0035,Clay soil (cohesive),,,,,26.718,0.0,113.326,37.94,72.099,34.159,0.3773,0.1318,26.8,0.3859,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0036,Clay soil (cohesive),,,,,29.275,0.0,71.416,19.758,42.833,23.075,0.3146,0.07,21.266,0.3787,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0037,Clay soil (cohesive),,,,,28.041,0.0,79.67,26.213,50.737,24.523,0.319,0.0851,18.637,0.332,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0038,Clay soil (cohesive),,,,,19.283,0.0,69.899,19.237,45.399,26.162,0.2628,0.0676,14.7,0.3933,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0039,Clay soil (cohesive),,,,,30.862,0.0,139.075,44.294,80.52,36.226,0.4259,0.1208,37.685,0.3176,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0040,Clay soil (cohesive),,,,,22.983,0.0,62.566,13.997,48.308,34.311,0.2181,0.0629,16.054,0.3965,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0041,Clay soil (cohesive),,,,,30.123,0.0,70.24,19.417,49.229,29.813,0.2395,0.0671,21.164,0.4362,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0042,Clay soil (cohesive),,,,,30.257,0.0,47.664,13.611,36.775,23.164,0.2409,0.0536,11.966,0.3471,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0043,Clay soil (cohesive),,,,,30.186,0.0,129.526,40.479,68.544,28.065,0.4134,0.1166,34.478,0.3949,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0044,Clay soil (cohesive),,,,,18.474,0.0,140.451,43.274,78.784,35.51,0.4358,0.1255,35.365,0.3528,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0045,Clay soil (cohesive),,,,,18.753,0.0,95.049,29.144,61.481,32.337,0.3297,0.0783,24.581,0.3435,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0046,Clay soil (cohesive),,,,,22.992,0.0,42.162,13.425,36.098,22.673,0.2116,0.0417,13.282,0.3629,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0047,Clay soil (cohesive),,,,,28.728,0.0,75.854,20.151,50.309,30.158,0.2969,0.06,25.458,0.3535,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0048,Clay soil (cohesive),,,,,20.244,0.0,59.369,13.453,36.823,23.371,0.2394,0.0425,23.086,0.3594,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0049,Clay soil (cohesive),,,,,24.997,0.0,152.89,44.832,73.972,29.14,0.3874,0.1326,37.527,0.3585,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0050,Clay soil (cohesive),,,,,29.376,0.0,77.883,25.251,53.212,27.961,0.3334,0.0973,20.185,0.3805,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0051,Clay soil (cohesive),,,,,18.001,0.0,54.711,15.268,47.759,32.491,0.2296,0.0574,18.102,0.3949,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0052,Clay soil (cohesive),,,,,30.392,0.0,78.151,24.31,57.333,33.024,0.3272,0.063,23.33,0.4001,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0053,Clay soil (cohesive),,,,,21.222,0.0,41.035,12.039,39.514,27.475,0.2081,0.0403,19.935,0.3744,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0054,Clay soil (cohesive),,,,,27.135,0.0,72.394,21.779,52.596,30.817,0.2618,0.0828,17.419,0.4327,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0055,Clay soil (cohesive),,,,,18.259,0.0,108.798,25.565,48.961,23.396,0.2927,0.0928,27.86,0.3832,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0056,Clay soil (cohesive),,,,,20.397,0.0,67.75,27.329,51.652,24.323,0.322,0.1074,23.818,0.3536,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0057,Clay soil (cohesive),,,,,27.265,0.0,112.658,31.171,69.132,37.961,0.3172,0.0902,33.22,0.375,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0058,Clay soil (cohesive),,,,,21.483,0.0,123.711,34.603,60.476,25.873,0.3684,0.106,34.574,0.433,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0059,Clay soil (cohesive),,,,,27.452,0.0,94.695,31.157,54.175,23.018,0.3576,0.0796,25.936,0.3629,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0060,Clay soil (cohesive),,,,,18.695,0.0,126.836,33.886,68.79,34.904,0.3841,0.1135,34.359,0.3405,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0061,Clay soil (cohesive),,,,,27.498,0.0,124.218,38.391,73.774,35.384,0.4036,0.1066,35.721,0.3997,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0062,Clay soil (cohesive),,,,,22.189,0.0,114.416,38.079,75.19,37.112,0.4106,0.1071,33.217,0.3904,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0063,Clay soil (cohesive),,,,,22.875,0.0,84.262,31.27,53.852,22.582,0.373,0.105,21.898,0.3335,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0064,Clay soil (cohesive),,,,,25.691,0.0,90.282,28.485,60.257,31.772,0.3524,0.1108,25.537,0.4038,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0065,Clay soil (cohesive),,,,,22.665,0.0,75.221,15.596,42.632,27.036,0.2729,0.074,22.525,0.3452,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0066,Clay soil (cohesive),,,,,26.86,0.0,109.421,35.33,71.296,35.965,0.3731,0.1049,31.027,0.3,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0067,Clay soil (cohesive),,,,,27.547,0.0,91.037,24.457,57.356,32.899,0.3129,0.0831,26.348,0.4144,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0068,Clay soil (cohesive),,,,,25.152,0.0,101.612,27.885,53.988,26.102,0.3155,0.0743,29.356,0.3641,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0069,Clay soil (cohesive),,,,,19.907,0.0,118.156,38.204,68.517,30.313,0.4038,0.1262,32.225,0.354,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0070,Clay soil (cohesive),,,,,23.954,0.0,121.65,41.173,65.686,24.514,0.4295,0.1255,31.012,0.3776,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0071,Clay soil (cohesive),,,,,21.897,0.0,78.573,23.201,54.002,30.801,0.272,0.0674,17.6,0.397,SoilModels / Mendeley style calibration set (synthetic)
CLAY-0072,Clay soil (cohesive),,,,,27.949,0.0,96.313,30.811,64.639,33.828,0.3308,0.1083,28.335,0.3993,SoilModels / Mendeley style calibration set (synthetic)
