case_id,soil_type,excavation_depth_m,excavation_width_m,prop_spacing_m,wall_thickness_m,stiffness_reduction_factor,max_wall_displacement_mm,toe_heave_mm,factor_of_safety,predicted_failure_mode,source_reference
LC-0198,London Clay,16,25,2.5,1.0,1.2,38.777,15.735,1.9928,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0199,London Clay,16,25,3.5,0.6,0.8,57.989,25.998,1.7387,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0200,London Clay,16,25,3.5,0.6,1.0,54.022,24.972,1.7771,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0201,London Clay,16,25,3.5,0.6,1.2,51.963,23.891,1.8235,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0202,London Clay,16,25,3.5,0.8,0.8,52.419,20.036,1.9359,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0203,London Clay,16,25,3.5,0.8,1.0,47.102,15.401,1.868,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0204,London Clay,16,25,3.5,0.8,1.2,52.084,21.903,1.9085,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0205,London Clay,16,25,3.5,1.0,0.8,49.406,22.844,1.9304,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0206,London Clay,16,25,3.5,1.0,1.0,48.644,17.37,1.9858,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0207,London Clay,16,25,3.5,1.0,1.2,44.923,15.89,2.0553,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0208,London Clay,16,25,4.5,0.6,0.8,61.967,29.172,1.7407,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0209,London Clay,16,25,4.5,0.6,1.0,63.9,28.055,1.6739,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0210,London Clay,16,25,4.5,0.6,1.2,63.416,30.144,1.7801,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0211,London Clay,16,25,4.5,0.8,0.8,62.958,25.343,1.7317,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0212,London Clay,16,25,4.5,0.8,1.0,55.624,23.67,1.8908,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0213,London Clay,16,25,4.5,0.8,1.2,54.516,21.809,1.8828,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0214,London Clay,16,25,4.5,1.0,0.8,54.509,22.531,1.9086,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0215,London Clay,16,25,4.5,1.0,1.0,53.625,21.214,1.9318,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0216,London Clay,16,25,4.5,1.0,1.2,49.161,19.449,1.9563,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0217,London Clay,20,10,2.5,0.6,0.8,46.883,24.995,2.01,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0218,London Clay,20,10,2.5,0.6,1.0,42.32,19.785,2.0075,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0219,London Clay,20,10,2.5,0.6,1.2,42.693,19.446,2.0831,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0220,London Clay,20,10,2.5,0.8,0.8,39.795,15.242,2.0031,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0221,London Clay,20,10,2.5,0.8,1.0,38.883,17.432,2.1439,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0222,London Clay,20,10,2.5,0.8,1.2,39.641,16.927,2.1137,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0223,London Clay,20,10,2.5,1.0,0.8,35.711,12.353,2.1852,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0224,London Clay,20,10,2.5,1.0,1.0,36.603,17.644,2.1784,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0225,London Clay,20,10,2.5,1.0,1.2,27.676,12.057,2.2446,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0226,London Clay,20,10,3.5,0.6,0.8,54.175,24.238,1.8529,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0227,London Clay,20,10,3.5,0.6,1.0,50.262,21.952,1.9918,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0228,London Clay,20,10,3.5,0.6,1.2,48.748,23.717,2.0014,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0229,London Clay,20,10,3.5,0.8,0.8,48.656,20.062,2.0321,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0230,London Clay,20,10,3.5,0.8,1.0,46.055,19.625,2.0446,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0231,London Clay,20,10,3.5,0.8,1.2,43.088,18.473,2.0287,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0232,London Clay,20,10,3.5,1.0,0.8,45.955,18.329,2.096,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0233,London Clay,20,10,3.5,1.0,1.0,40.233,17.677,2.1265,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0234,London Clay,20,10,3.5,1.0,1.2,37.891,15.456,2.2475,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0235,London Clay,20,10,4.5,0.6,0.8,59.778,26.26,1.821,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0236,London Clay,20,10,4.5,0.6,1.0,60.362,28.533,1.8848,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0237,London Clay,20,10,4.5,0.6,1.2,55.828,26.746,1.9269,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0238,London Clay,20,10,4.5,0.8,0.8,56.528,19.153,1.8908,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0239,London Clay,20,10,4.5,0.8,1.0,49.745,23.06,1.9857,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0240,London Clay,20,10,4.5,0.8,1.2,51.322,22.47,1.9158,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0241,London Clay,20,10,4.5,1.0,0.8,54.087,25.193,2.048,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0242,London Clay,20,10,4.5,1.0,1.0,46.919,18.95,2.0373,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0243,London Clay,20,10,4.5,1.0,1.2,43.022,16.963,2.0847,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0244,London Clay,20,15,2.5,0.6,0.8,51.9,25.417,1.9784,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0245,London Clay,20,15,2.5,0.6,1.0,45.535,23.179,1.9275,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0246,London Clay,20,15,2.5,0.6,1.2,44.109,19.178,1.9057,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0247,London Clay,20,15,2.5,0.8,0.8,48.192,20.21,1.9716,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0248,London Clay,20,15,2.5,0.8,1.0,40.636,15.893,1.9666,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0249,London Clay,20,15,2.5,0.8,1.2,36.533,16.654,2.1008,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0250,London Clay,20,15,2.5,1.0,0.8,40.219,14.248,2.1707,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0251,London Clay,20,15,2.5,1.0,1.0,40.312,14.278,2.1004,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0252,London Clay,20,15,2.5,1.0,1.2,28.861,11.286,2.1778,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0253,London Clay,20,15,3.5,0.6,0.8,58.296,24.53,1.7695,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0254,London Clay,20,15,3.5,0.6,1.0,53.96,23.564,1.8165,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0255,London Clay,20,15,3.5,0.6,1.2,52.189,26.974,1.8484,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0256,London Clay,20,15,3.5,0.8,0.8,52.82,22.81,1.9662,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0257,London Clay,20,15,3.5,0.8,1.0,51.453,24.166,1.9431,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0258,London Clay,20,15,3.5,0.8,1.2,48.396,18.558,1.8917,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0259,London Clay,20,15,3.5,1.0,0.8,53.018,21.422,1.9759,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0260,London Clay,20,15,3.5,1.0,1.0,47.541,17.468,1.9897,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0261,London Clay,20,15,3.5,1.0,1.2,44.484,16.602,2.0547,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0262,London Clay,20,15,4.5,0.6,0.8,63.33,33.148,1.7911,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0263,London Clay,20,15,4.5,0.6,1.0,63.173,31.195,1.7973,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0264,London Clay,20,15,4.5,0.6,1.2,56.087,24.631,1.8105,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0265,London Clay,20,15,4.5,0.8,0.8,59.206,26.844,1.8604,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0266,London Clay,20,15,4.5,0.8,1.0,54.314,26.066,1.9312,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0267,London Clay,20,15,4.5,0.8,1.2,51.693,20.744,1.952,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0268,London Clay,20,15,4.5,1.0,0.8,54.919,21.869,1.9239,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0269,London Clay,20,15,4.5,1.0,1.0,50.001,20.004,1.9488,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0270,London Clay,20,15,4.5,1.0,1.2,45.684,20.254,1.9687,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0271,London Clay,20,20,2.5,0.6,0.8,56.116,28.796,1.8413,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0272,London Clay,20,20,2.5,0.6,1.0,49.385,20.933,1.8195,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0273,London Clay,20,20,2.5,0.6,1.2,48.001,22.591,1.8344,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0274,London Clay,20,20,2.5,0.8,0.8,50.232,24.562,1.8203,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0275,London Clay,20,20,2.5,0.8,1.0,45.746,18.04,1.9486,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0276,London Clay,20,20,2.5,0.8,1.2,42.759,23.028,1.9755,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0277,London Clay,20,20,2.5,1.0,0.8,42.954,18.723,1.9635,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0278,London Clay,20,20,2.5,1.0,1.0,44.87,15.215,1.9614,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0279,London Clay,20,20,2.5,1.0,1.2,38.05,18.373,2.1117,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0280,London Clay,20,20,3.5,0.6,0.8,62.223,26.305,1.7709,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0281,London Clay,20,20,3.5,0.6,1.0,57.897,26.03,1.7328,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0282,London Clay,20,20,3.5,0.6,1.2,57.01,27.243,1.7807,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0283,London Clay,20,20,3.5,0.8,0.8,58.468,26.671,1.8611,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0284,London Clay,20,20,3.5,0.8,1.0,54.432,20.753,1.8578,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0285,London Clay,20,20,3.5,0.8,1.2,49.91,22.681,1.8332,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0286,London Clay,20,20,3.5,1.0,0.8,50.122,20.785,1.9129,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0287,London Clay,20,20,3.5,1.0,1.0,49.917,21.211,1.9095,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0288,London Clay,20,20,3.5,1.0,1.2,42.99,18.326,1.9851,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0289,London Clay,20,20,4.5,0.6,0.8,69.072,29.56,1.6253,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0290,London Clay,20,20,4.5,0.6,1.0,64.079,28.624,1.7255,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0291,London Clay,20,20,4.5,0.6,1.2,58.577,26.26,1.6718,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0292,London Clay,20,20,4.5,0.8,0.8,63.712,28.478,1.7469,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0293,London Clay,20,20,4.5,0.8,1.0,63.694,26.893,1.7615,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0294,London Clay,20,20,4.5,0.8,1.2,57.317,25.233,1.8143,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0295,London Clay,20,20,4.5,1.0,0.8,55.374,24.725,1.8751,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0296,London Clay,20,20,4.5,1.0,1.0,50.692,23.163,1.8436,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0297,London Clay,20,20,4.5,1.0,1.2,49.795,21.035,1.9503,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0298,London Clay,20,25,2.5,0.6,0.8,60.505,26.379,1.811,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0299,London Clay,20,25,2.5,0.6,1.0,57.007,23.458,1.7519,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0300,London Clay,20,25,2.5,0.6,1.2,49.229,24.388,1.729,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0301,London Clay,20,25,2.5,0.8,0.8,51.793,22.341,1.7828,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0302,London Clay,20,25,2.5,0.8,1.0,49.715,20.602,1.8405,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0303,London Clay,20,25,2.5,0.8,1.2,46.298,18.964,1.844,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0304,London Clay,20,25,2.5,1.0,0.8,49.98,22.804,1.8713,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0305,London Clay,20,25,2.5,1.0,1.0,45.169,20.042,1.9486,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0306,London Clay,20,25,2.5,1.0,1.2,43.268,19.302,1.8949,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0307,London Clay,20,25,3.5,0.6,0.8,66.458,31.902,1.6689,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0308,London Clay,20,25,3.5,0.6,1.0,64.86,28.147,1.6724,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0309,London Clay,20,25,3.5,0.6,1.2,58.035,24.285,1.6596,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0310,London Clay,20,25,3.5,0.8,0.8,58.369,22.517,1.7176,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0311,London Clay,20,25,3.5,0.8,1.0,55.515,25.387,1.7885,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0312,London Clay,20,25,3.5,0.8,1.2,55.737,25.205,1.7718,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0313,London Clay,20,25,3.5,1.0,0.8,56.337,24.078,1.8867,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0314,London Clay,20,25,3.5,1.0,1.0,52.062,21.945,1.8624,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0315,London Clay,20,25,3.5,1.0,1.2,45.922,19.365,1.9356,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0316,London Clay,20,25,4.5,0.6,0.8,74.452,35.044,1.5118,Excessive wall deflection,Zenodo / Imperial College London (synthetic reconstruction)
LC-0317,London Clay,20,25,4.5,0.6,1.0,71.782,33.236,1.5545,Excessive wall deflection,Zenodo / Imperial College London (synthetic reconstruction)
LC-0318,London Clay,20,25,4.5,0.6,1.2,64.648,30.788,1.664,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0319,London Clay,20,25,4.5,0.8,0.8,67.065,30.16,1.6264,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0320,London Clay,20,25,4.5,0.8,1.0,61.781,27.769,1.6629,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0321,London Clay,20,25,4.5,0.8,1.2,59.916,27.792,1.7077,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0322,London Clay,20,25,4.5,1.0,0.8,60.57,25.495,1.8304,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0323,London Clay,20,25,4.5,1.0,1.0,54.148,17.643,1.7344,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0324,London Clay,20,25,4.5,1.0,1.2,52.637,20.839,1.7751,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0325,London Clay,24,10,2.5,0.6,0.8,56.312,25.877,1.9184,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0326,London Clay,24,10,2.5,0.6,1.0,52.176,29.038,1.8734,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0327,London Clay,24,10,2.5,0.6,1.2,47.711,23.989,1.9533,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0328,London Clay,24,10,2.5,0.8,0.8,48.752,21.055,1.8662,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0329,London Clay,24,10,2.5,0.8,1.0,44.607,20.391,1.9502,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0330,London Clay,24,10,2.5,0.8,1.2,43.615,23.398,2.0823,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0331,London Clay,24,10,2.5,1.0,0.8,39.336,16.971,2.035,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0332,London Clay,24,10,2.5,1.0,1.0,42.088,17.915,2.0159,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0333,London Clay,24,10,2.5,1.0,1.2,38.68,14.827,2.09,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0334,London Clay,24,10,3.5,0.6,0.8,62.47,30.546,1.809,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0335,London Clay,24,10,3.5,0.6,1.0,62.595,28.428,1.8383,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0336,London Clay,24,10,3.5,0.6,1.2,52.732,25.338,1.716,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0337,London Clay,24,10,3.5,0.8,0.8,56.112,23.956,1.9127,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0338,London Clay,24,10,3.5,0.8,1.0,55.118,26.61,1.9133,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0339,London Clay,24,10,3.5,0.8,1.2,50.424,22.442,1.9427,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0340,London Clay,24,10,3.5,1.0,0.8,56.209,27.132,2.0066,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0341,London Clay,24,10,3.5,1.0,1.0,42.406,18.718,1.9737,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0342,London Clay,24,10,3.5,1.0,1.2,43.12,19.992,1.9423,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0343,London Clay,24,10,4.5,0.6,0.8,67.896,33.175,1.7356,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0344,London Clay,24,10,4.5,0.6,1.0,65.18,28.245,1.8012,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0345,London Clay,24,10,4.5,0.6,1.2,62.338,29.16,1.7623,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0346,London Clay,24,10,4.5,0.8,0.8,67.31,29.671,1.7975,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0347,London Clay,24,10,4.5,0.8,1.0,65.517,30.721,1.9033,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0348,London Clay,24,10,4.5,0.8,1.2,59.039,29.358,1.987,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0349,London Clay,24,10,4.5,1.0,0.8,58.041,26.283,1.9433,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0350,London Clay,24,10,4.5,1.0,1.0,57.327,25.351,1.92,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0351,London Clay,24,10,4.5,1.0,1.2,52.811,23.986,1.9599,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0352,London Clay,24,15,2.5,0.6,0.8,63.349,30.587,1.7165,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0353,London Clay,24,15,2.5,0.6,1.0,52.289,23.07,1.7713,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0354,London Clay,24,15,2.5,0.6,1.2,53.735,24.273,1.7938,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0355,London Clay,24,15,2.5,0.8,0.8,51.96,24.852,1.8346,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0356,London Clay,24,15,2.5,0.8,1.0,46.961,21.137,1.9076,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0357,London Clay,24,15,2.5,0.8,1.2,43.116,22.872,1.8905,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0358,London Clay,24,15,2.5,1.0,0.8,47.639,21.906,1.9543,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0359,London Clay,24,15,2.5,1.0,1.0,42.73,20.257,1.8895,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0360,London Clay,24,15,2.5,1.0,1.2,42.034,20.923,2.0307,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0361,London Clay,24,15,3.5,0.6,0.8,66.728,30.494,1.6468,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0362,London Clay,24,15,3.5,0.6,1.0,57.88,28.387,1.7594,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0363,London Clay,24,15,3.5,0.6,1.2,57.016,24.92,1.7761,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0364,London Clay,24,15,3.5,0.8,0.8,60.99,30.984,1.765,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0365,London Clay,24,15,3.5,0.8,1.0,55.515,24.641,1.8498,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0366,London Clay,24,15,3.5,0.8,1.2,55.048,26.769,1.8185,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0367,London Clay,24,15,3.5,1.0,0.8,54.048,24.763,1.941,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0368,London Clay,24,15,3.5,1.0,1.0,48.492,19.656,1.9328,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0369,London Clay,24,15,3.5,1.0,1.2,49.527,24.788,1.9943,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0370,London Clay,24,15,4.5,0.6,0.8,73.153,36.8,1.5584,Excessive wall deflection,Zenodo / Imperial College London (synthetic reconstruction)
LC-0371,London Clay,24,15,4.5,0.6,1.0,64.863,27.971,1.5887,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0372,London Clay,24,15,4.5,0.6,1.2,63.514,26.877,1.6865,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0373,London Clay,24,15,4.5,0.8,0.8,66.402,28.786,1.6482,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0374,London Clay,24,15,4.5,0.8,1.0,64.34,29.862,1.7364,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0375,London Clay,24,15,4.5,0.8,1.2,61.627,26.658,1.7741,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0376,London Clay,24,15,4.5,1.0,0.8,61.412,26.019,1.8321,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0377,London Clay,24,15,4.5,1.0,1.0,53.692,23.819,1.8245,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0378,London Clay,24,15,4.5,1.0,1.2,50.214,20.689,1.8669,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0379,London Clay,24,20,2.5,0.6,0.8,64.108,33.693,1.6822,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0380,London Clay,24,20,2.5,0.6,1.0,57.418,25.566,1.7574,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0381,London Clay,24,20,2.5,0.6,1.2,52.387,27.25,1.6693,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0382,London Clay,24,20,2.5,0.8,0.8,56.733,23.94,1.7659,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0383,London Clay,24,20,2.5,0.8,1.0,53.878,22.556,1.7834,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0384,London Clay,24,20,2.5,0.8,1.2,49.875,22.556,1.921,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0385,London Clay,24,20,2.5,1.0,0.8,54.445,21.795,1.8233,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0386,London Clay,24,20,2.5,1.0,1.0,48.807,21.28,1.8463,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0387,London Clay,24,20,2.5,1.0,1.2,44.977,18.417,1.8913,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0388,London Clay,24,20,3.5,0.6,0.8,69.174,33.458,1.627,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0389,London Clay,24,20,3.5,0.6,1.0,66.598,30.685,1.6397,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0390,London Clay,24,20,3.5,0.6,1.2,66.481,31.196,1.6895,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0391,London Clay,24,20,3.5,0.8,0.8,64.047,29.702,1.6594,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0392,London Clay,24,20,3.5,0.8,1.0,59.82,29.491,1.7452,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0393,London Clay,24,20,3.5,0.8,1.2,54.066,21.318,1.7872,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0394,London Clay,24,20,3.5,1.0,0.8,59.994,25.712,1.8455,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0395,London Clay,24,20,3.5,1.0,1.0,52.296,23.687,1.7188,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
