FirmID,Year,Size,Subsector,Ownership,FDI_Presence,Knowledge_Absorption,Task_Performance,Innovation_Score,Skilled_Labor_Ratio,IoT_Use,RD_Spend_Ratio,Liquidity_Ratio,Tax_Incentives,Regulatory_Stability,Infrastructure_Support,Corruption_Experience,Policy_Effectiveness_Index,ROI,ROA,Export_Intensity,Market_Share,Operational_Efficiency,Employees,Assets_MUSD,Age,FDI_Total_Nigeria_USD_Bn,FDI_Lagos_USD_Bn,FDI_Sector_Food_Bev_Tob_USD_Bn,FDI_Type_Greenfield_pct,FDI_Type_MA_pct,Top_Origin_Countries,Ease_Doing_Business_Index,Regulatory_Quality_Index,Corruption_Perception_Index,EEG_Disbursement_USD_M,Tax_Incentive_Spend_USD_M,Power_Supply_Stability_Index,Logistics_Performance_Index,Port_Dwell_Time_Days,Food_Sector_GDP_Contribution_USD_Bn,Food_Sector_Employment_Thousands,Food_Sector_Output_Growth_pct,Food_Sector_Exports_USD_Bn,Lagos_GDP_USD_Bn,Lagos_Manufacturing_Employment_Thousands
FIRM_112,2024,SME,Meat processing,Joint Venture,0,3.14,3.07,1.82,0.714,0,0.139,1.55,5.38,2.95,3.65,3.94,4.06,0.0831,0.1311,0.21,0.071,3.14,117,11.76,13,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_115,2022,Large,Fruit & vegetable processing,Domestic,0,3.21,2.16,3.78,0.518,1,0.117,1.32,4.87,3.04,3.01,5.23,3.54,0.0965,0.0447,0.201,0.1139,3.44,217,11.32,8,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_117,2022,SME,Fish processing,Domestic,0,3.63,3.22,3.36,0.73,0,0.05,1.55,5.07,1.82,3.9,3.33,3.85,0.0899,0.0681,0.017,0.15,4.84,126,18.78,26,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_118,2024,SME,Dairy processing,Domestic,0,3.17,3.65,2.08,0.329,0,0.172,1.58,4.36,2.62,3.13,2.84,3.68,0.1646,0.0343,0.455,0.15,3.66,26,4.52,30,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_119,2022,SME,Dairy processing,Domestic,0,4.81,3.03,1.91,0.44,0,0.208,2.16,2.47,2.24,1.6,2.34,2.63,0.1501,0.0519,0.231,0.15,3.0,97,5.13,30,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_120,2024,SME,Dairy processing,Domestic,0,3.37,3.59,3.34,0.416,0,0.155,1.17,3.78,3.11,3.28,1.83,3.82,0.1254,0.0471,0.169,0.0907,3.66,70,2.94,25,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_121,2023,SME,Dairy processing,Foreign,1,4.84,3.19,3.34,0.463,0,0.203,1.12,5.37,2.81,4.55,3.58,4.34,0.1175,0.1526,0.35,0.15,3.84,82,5.12,29,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_122,2023,Large,Grain milling,Domestic,1,3.42,3.7,5.0,0.657,0,0.25,1.6,4.14,1.75,3.37,3.84,3.31,0.1746,0.0869,0.437,0.1371,4.23,502,10.67,36,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_125,2022,Large,Meat processing,Domestic,0,3.3,3.52,3.86,0.221,0,0.204,0.98,4.55,6.03,4.05,3.74,4.73,0.0572,0.0991,0.151,0.1157,3.9,1796,30.39,6,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_126,2022,SME,Grain milling,Foreign,1,5.0,3.93,4.13,0.698,1,0.25,2.09,3.85,5.2,2.25,5.69,3.48,0.1737,0.1005,0.265,0.15,4.95,58,1.25,23,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_127,2022,SME,Beverages,Domestic,0,3.01,2.18,3.47,0.423,0,0.083,1.19,2.87,2.67,3.17,5.97,2.78,0.1775,0.0379,0.097,0.0839,3.46,57,6.24,7,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_129,2022,SME,Bakery products,Domestic,0,3.35,2.99,4.2,0.688,0,0.16,1.07,3.86,3.93,2.51,4.1,3.48,0.0742,0.0852,0.059,0.15,4.65,149,2.94,43,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_130,2023,SME,Bakery products,Joint Venture,0,3.98,4.47,3.76,0.768,0,0.25,1.11,4.34,4.1,4.02,2.35,4.38,0.0584,0.1219,0.097,0.1191,4.17,62,4.88,17,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_131,2022,Large,Fruit & vegetable processing,Joint Venture,0,2.61,2.96,3.45,0.215,1,0.095,1.59,3.28,5.03,3.23,3.82,3.84,0.2128,0.0435,0.284,0.15,2.96,428,9.25,29,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_132,2023,SME,Meat processing,Domestic,0,1.47,3.31,2.12,0.28,0,0.25,1.24,3.74,2.62,3.96,3.78,3.6,0.0979,0.1256,0.003,0.15,4.94,136,3.76,21,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_133,2023,SME,Grain milling,Domestic,0,3.4,3.24,5.0,0.233,1,0.099,1.04,2.97,4.91,4.4,3.71,4.08,0.1968,0.059,0.01,0.15,3.73,59,6.08,20,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_135,2022,Large,Bakery products,Joint Venture,1,4.79,4.9,2.71,0.271,1,0.25,2.17,5.43,3.04,4.16,3.36,4.33,0.1531,0.1003,0.208,0.0536,3.5,731,4.47,36,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_136,2022,Large,Bakery products,Joint Venture,1,2.92,4.7,3.42,0.874,0,0.165,1.16,3.88,2.1,3.7,3.42,3.48,0.1556,0.14,0.338,0.15,5.0,738,16.88,47,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_137,2022,SME,Grain milling,Domestic,0,3.74,3.87,1.51,0.427,0,0.155,1.31,5.6,4.47,2.1,4.04,4.02,0.148,0.0689,0.01,0.15,4.98,109,4.82,50,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_138,2022,SME,Beverages,Domestic,0,3.74,2.62,3.48,0.341,0,0.048,1.56,5.68,5.15,3.2,3.74,4.59,0.0897,0.092,0.149,0.15,3.5,28,5.95,8,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_141,2024,Large,Meat processing,Domestic,0,1.38,3.55,3.14,0.182,0,0.098,0.65,3.91,6.71,2.61,4.75,4.12,0.1392,0.0816,0.013,0.0555,3.03,1970,17.22,13,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_142,2023,Large,Fish processing,Domestic,1,3.25,4.2,4.39,0.508,0,0.128,1.69,3.09,2.26,3.02,4.63,2.9,0.1485,0.122,0.448,0.0977,3.87,1496,10.79,40,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_144,2024,SME,Grain milling,Foreign,1,3.68,3.31,2.13,0.307,1,0.25,1.08,1.91,4.54,2.99,3.11,3.34,0.0925,0.018,0.31,0.15,4.52,54,6.38,21,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_147,2023,SME,Meat processing,Domestic,0,3.06,2.69,4.0,0.444,1,0.246,1.63,2.38,3.11,2.12,6.03,2.42,0.1529,0.0176,0.213,0.0736,4.38,50,18.15,18,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_149,2023,Large,Meat processing,Domestic,1,3.41,4.99,2.97,0.414,1,0.25,1.11,2.69,4.64,1.25,3.02,3.09,0.1487,0.1446,0.475,0.1301,4.4,2242,25.25,45,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_151,2023,SME,Beverages,Domestic,0,2.56,3.09,2.87,0.614,0,0.033,1.58,5.52,1.84,2.47,2.56,3.67,0.1236,0.1338,0.028,0.15,3.52,74,9.0,22,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_152,2024,Large,Grain milling,Domestic,1,5.0,4.93,4.54,0.491,1,0.25,1.94,4.33,2.18,3.61,4.66,3.43,0.1076,0.0833,0.37,0.15,5.0,1745,22.33,29,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_153,2022,SME,Dairy processing,Domestic,1,3.91,4.5,3.94,0.843,1,0.25,1.84,4.63,2.77,1.92,3.22,3.37,0.2453,0.1082,0.534,0.0924,3.82,176,4.66,13,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_154,2022,Large,Fruit & vegetable processing,Domestic,1,3.44,4.09,4.0,0.378,1,0.155,1.6,1.76,3.79,3.42,4.59,3.01,0.2098,0.1281,0.533,0.0819,4.73,938,6.77,47,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_155,2023,Large,Meat processing,Domestic,0,3.17,3.62,3.72,0.685,1,0.149,1.21,2.68,2.83,5.29,1.62,4.06,0.1831,0.1222,0.305,0.15,3.29,1818,18.74,15,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_156,2023,Large,Bakery products,Joint Venture,1,4.43,2.82,4.09,0.582,0,0.25,1.27,5.18,4.49,4.53,5.87,4.35,0.1511,0.0302,0.277,0.0569,4.37,1085,31.2,13,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_157,2023,SME,Beverages,Domestic,0,3.24,3.44,2.69,0.13,0,0.091,1.89,4.32,4.83,5.01,5.31,4.41,0.0443,0.0583,0.119,0.111,3.41,206,4.66,8,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_158,2023,Large,Meat processing,Joint Venture,1,3.84,4.79,3.55,0.725,1,0.25,1.22,4.04,4.42,3.83,2.4,4.31,0.2618,0.1059,0.169,0.15,3.99,1448,9.36,15,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_160,2023,SME,Bakery products,Joint Venture,1,3.48,4.28,3.89,0.465,0,0.171,1.09,4.82,5.64,4.68,2.43,5.1,0.1625,0.1452,0.476,0.15,3.74,24,4.9,29,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_161,2023,SME,Bakery products,Domestic,0,2.67,3.41,2.19,0.764,0,0.106,1.57,5.8,4.1,2.4,6.51,3.71,0.0913,0.1936,0.241,0.15,4.4,103,7.04,25,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_162,2023,SME,Bakery products,Domestic,0,2.72,4.5,3.9,0.156,0,0.09,0.98,3.76,2.14,2.49,3.62,3.07,0.1564,0.0889,0.05,0.0764,2.95,129,4.33,11,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_163,2024,SME,Grain milling,Foreign,0,3.47,3.17,3.26,0.226,0,0.057,0.92,4.08,5.24,1.0,3.5,3.51,0.1914,0.0364,0.367,0.15,2.99,199,7.28,41,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_164,2024,SME,Fish processing,Domestic,0,2.4,2.87,3.07,0.682,0,0.148,0.72,4.21,2.87,4.5,1.78,4.27,0.1311,0.1076,0.192,0.1065,4.93,62,12.08,40,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_165,2023,SME,Dairy processing,Domestic,1,4.31,3.91,4.77,0.421,0,0.25,1.31,6.83,4.79,5.09,3.78,5.41,0.233,0.1685,0.292,0.0615,4.74,39,4.2,24,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_166,2024,Large,Bakery products,Domestic,0,4.33,3.84,2.89,0.304,1,0.184,1.27,1.69,5.49,2.59,4.23,3.22,0.1857,0.0997,0.064,0.1179,1.89,1122,12.8,44,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_167,2024,SME,Confectionery,Domestic,0,3.46,2.1,2.84,0.223,0,0.221,1.4,4.75,4.15,2.92,5.36,3.73,0.0775,0.0521,0.63,0.15,3.11,73,3.18,22,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_168,2023,SME,Grain milling,Domestic,0,2.9,3.5,2.56,0.212,0,0.164,1.68,3.87,1.8,2.37,2.82,3.1,0.0966,0.1323,0.234,0.15,2.21,124,3.55,31,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_169,2023,SME,Bakery products,Joint Venture,1,2.96,4.37,4.01,0.552,1,0.179,1.71,4.82,2.6,3.82,2.38,4.09,0.2139,0.144,0.199,0.15,3.31,54,2.9,11,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_170,2024,SME,Meat processing,Domestic,0,4.46,3.11,3.28,0.45,0,0.224,1.22,3.28,5.19,4.44,5.04,4.05,-0.0025,0.0514,0.229,0.15,1.37,97,2.8,32,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_174,2023,Large,Dairy processing,Domestic,1,3.06,4.57,3.1,0.458,0,0.109,1.42,4.15,3.5,1.48,5.41,2.95,0.1549,0.1336,0.156,0.0526,3.89,397,10.67,5,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_175,2022,SME,Beverages,Joint Venture,0,3.88,3.75,2.84,0.404,0,0.079,1.5,4.78,3.7,3.65,2.61,4.26,0.0598,0.1349,0.411,0.0484,2.73,256,4.69,19,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_176,2024,SME,Meat processing,Domestic,0,3.71,4.8,2.41,0.641,0,0.076,1.81,7.0,4.51,2.9,5.8,4.43,0.1058,0.1465,0.115,0.0372,3.56,87,10.12,43,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_177,2022,SME,Fruit & vegetable processing,Domestic,0,3.01,2.77,2.37,0.558,0,0.25,1.35,4.89,4.44,3.32,4.55,4.09,0.1145,0.0884,0.189,0.15,2.34,99,4.44,18,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_178,2024,SME,Bakery products,Domestic,1,3.79,4.38,2.14,0.188,0,0.25,1.31,3.27,4.03,3.9,5.51,3.53,0.1407,0.1032,0.651,0.15,4.09,130,4.77,5,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_180,2024,Large,Beverages,Domestic,1,2.53,3.09,3.49,0.397,0,0.25,1.1,3.73,3.45,3.19,4.12,3.52,0.1364,0.1614,0.2,0.15,3.66,1228,35.12,40,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_181,2024,Large,Meat processing,Domestic,1,4.26,2.67,2.17,0.482,0,0.25,0.92,3.7,3.32,3.29,1.17,3.95,0.1038,0.0623,0.349,0.15,5.0,2106,5.65,39,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_182,2022,SME,Dairy processing,Joint Venture,1,4.5,2.38,3.28,0.299,0,0.146,1.77,2.22,4.73,3.16,4.02,3.4,0.2777,0.127,0.246,0.1196,5.0,115,15.69,16,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_185,2023,SME,Bakery products,Domestic,1,3.13,4.18,3.15,0.689,1,0.25,1.73,3.84,4.36,4.47,5.47,3.96,0.256,0.0619,0.086,0.15,4.54,18,10.61,5,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_186,2023,Large,Confectionery,Domestic,0,3.08,3.43,3.95,0.191,0,0.126,1.53,4.81,3.29,3.66,3.43,4.05,0.0777,0.1363,0.094,0.1487,3.26,216,24.31,15,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_187,2023,SME,Grain milling,Domestic,0,3.23,2.96,2.09,0.078,0,0.225,1.25,2.6,4.9,3.44,4.03,3.63,0.2075,0.0815,0.122,0.0355,4.88,141,3.91,13,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_188,2022,SME,Meat processing,Joint Venture,1,4.47,2.56,3.01,0.353,0,0.23,2.06,5.35,3.55,2.0,3.99,3.69,0.1421,0.161,0.358,0.15,2.98,224,6.61,45,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_191,2023,Large,Meat processing,Domestic,0,3.2,2.82,2.66,0.291,0,0.107,1.11,4.54,2.58,2.78,1.02,3.89,0.1371,0.1109,0.166,0.15,2.51,273,4.88,25,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_192,2023,SME,Grain milling,Foreign,1,2.7,3.8,3.18,0.637,1,0.25,1.88,3.39,2.79,4.39,6.21,3.3,0.1595,0.0663,0.38,0.15,3.9,73,3.39,11,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_193,2022,SME,Beverages,Joint Venture,0,2.78,3.86,4.23,0.833,0,0.229,1.28,3.84,2.43,3.24,3.42,3.42,0.1039,0.1524,0.16,0.15,5.0,114,1.91,29,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_195,2023,SME,Fruit & vegetable processing,Domestic,0,3.38,3.29,1.98,0.298,0,0.091,1.06,5.76,3.27,3.93,5.11,4.16,0.1771,0.1552,0.131,0.15,3.36,155,1.53,42,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_196,2024,SME,Grain milling,Domestic,0,3.87,3.48,2.66,0.579,1,0.13,1.54,4.81,5.08,5.14,4.4,4.8,0.1369,0.1292,0.078,0.1209,3.4,123,4.43,8,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_198,2024,SME,Meat processing,Domestic,0,2.71,3.04,3.3,0.51,0,0.072,1.46,4.01,2.63,4.34,6.01,3.46,0.1094,0.0617,0.062,0.0817,2.45,111,9.56,34,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_199,2024,SME,Grain milling,Domestic,0,4.95,4.52,3.79,0.25,0,0.03,1.44,3.74,3.83,3.3,4.99,3.52,0.0699,0.0859,0.318,0.15,4.26,102,8.94,35,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_200,2023,SME,Bakery products,Domestic,0,1.68,2.59,2.66,0.031,0,0.153,1.33,4.08,2.81,2.64,4.22,3.29,0.086,0.0962,0.098,0.15,4.07,35,7.93,43,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_201,2024,Large,Fish processing,Domestic,1,3.55,3.31,1.97,0.509,1,0.25,1.48,3.64,3.39,1.0,3.13,2.97,0.0758,0.0851,0.289,0.0865,4.57,756,15.76,25,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_202,2024,SME,Fruit & vegetable processing,Domestic,0,3.13,2.96,2.86,0.195,0,0.158,2.26,1.68,1.79,3.01,5.46,2.24,0.1321,0.1595,0.336,0.15,3.05,29,6.2,44,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_203,2022,SME,Beverages,Domestic,0,3.04,3.68,4.22,0.184,0,0.042,1.77,6.25,3.34,2.84,2.25,4.42,0.077,0.1005,0.234,0.15,2.99,101,5.35,43,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_204,2022,Large,Beverages,Domestic,1,3.01,3.07,3.95,0.659,1,0.2,1.79,4.37,3.47,3.83,4.98,3.78,0.1525,0.0042,0.252,0.15,3.08,1058,18.34,9,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_205,2023,SME,Beverages,Domestic,0,3.56,3.4,3.21,0.79,0,0.036,1.34,4.44,4.25,3.03,3.18,4.03,0.2014,0.1072,0.382,0.15,3.57,83,6.25,7,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_206,2023,SME,Beverages,Domestic,0,3.5,3.42,2.04,0.362,0,0.25,1.7,3.94,3.87,2.85,6.0,3.3,0.1881,0.0797,0.292,0.1377,2.75,44,4.11,12,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_209,2023,Large,Meat processing,Joint Venture,1,4.04,3.31,2.65,0.647,1,0.129,1.71,3.39,2.26,1.44,4.39,2.56,0.159,0.1103,0.474,0.15,3.22,1796,8.93,38,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_214,2023,Large,Fruit & vegetable processing,Foreign,1,4.27,4.03,3.72,0.698,1,0.25,1.51,4.0,5.0,2.37,4.97,3.61,0.1605,0.1014,0.308,0.15,3.76,1442,10.33,8,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_215,2024,SME,Confectionery,Joint Venture,0,2.86,2.59,1.72,0.644,0,0.239,1.18,2.24,3.85,3.72,4.6,3.26,0.2209,0.1227,0.114,0.0758,3.13,27,5.16,27,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_217,2023,SME,Dairy processing,Domestic,0,1.91,2.52,3.7,0.712,0,0.079,1.27,6.5,3.84,5.09,2.4,5.28,0.1609,0.1349,0.059,0.1413,3.04,24,7.25,10,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_218,2022,SME,Beverages,Joint Venture,0,2.63,3.37,2.24,0.214,1,0.069,0.2,2.64,3.59,3.09,3.47,3.3,0.1126,0.1048,0.05,0.1496,3.78,50,7.43,16,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_219,2024,Large,Fruit & vegetable processing,Domestic,1,4.13,2.64,3.68,0.766,1,0.25,1.58,3.06,3.08,3.76,5.01,3.27,0.0934,0.097,0.324,0.0769,4.1,800,13.49,16,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_221,2023,Large,Fruit & vegetable processing,Domestic,1,4.13,2.3,2.0,0.626,1,0.149,1.3,3.72,3.96,4.45,4.4,3.98,0.1777,0.1075,0.113,0.15,3.85,1035,8.43,10,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
