sample_id,ramp_up_rate_c_per_min,peak_temperature_c,hold_time_min,cool_rate_c_per_min,applied_pressure_mpa,atmosphere,initial_relative_density,initial_median_pore_diameter_um,initial_pore_size_lognormal_sigma,grain_size_mean_um,grain_size_std_um,porosity_percent,pore_median_diameter_um,pore_size_lognormal_sigma,hag_boundary_fraction_percent,avg_misorientation_deg,relative_density,sintering_index_model
166,16.646,1217.43,140.42,4.801,9.339,argon,0.5678,0.7529,0.4324,2.5942,0.8042,0.1,0.4095,0.3348,60.54,30.43,0.999,2.1295
167,18.175,1366.86,125.3,7.966,44.091,nitrogen,0.6494,0.7481,0.4935,2.3631,0.715,0.1,0.3606,0.4338,58.72,31.84,0.999,2.85921
168,9.578,1180.41,126.49,14.188,13.014,nitrogen,0.5783,0.695,0.3408,2.2115,0.5511,0.1,0.3179,0.2579,58.73,30.49,0.999,1.94254
169,19.367,1049.4,55.92,19.312,0.0,air,0.5465,0.3765,0.4451,1.434,0.4356,0.1,0.2344,0.3766,55.06,24.7,0.999,0.82669
170,7.598,1351.94,158.67,14.117,0.0,air,0.5652,0.6417,0.3772,2.0413,0.5205,0.1,0.2725,0.287,64.81,32.99,0.999,2.4516
171,7.459,955.37,110.88,21.547,0.0,nitrogen,0.5143,0.2597,0.4443,1.3823,0.3349,0.1,0.1704,0.3814,48.16,24.55,0.999,1.07165
172,7.934,987.62,158.05,8.792,0.0,vacuum,0.596,1.0069,0.4482,2.7468,0.7336,0.1,0.5472,0.3437,50.14,33.21,0.999,1.61277
173,13.511,1248.24,122.85,10.206,0.0,argon,0.6284,0.4708,0.4571,2.1339,0.4347,0.1,0.2461,0.3455,56.15,23.66,0.999,1.96153
174,16.582,1317.33,156.09,14.215,20.672,nitrogen,0.5264,0.702,0.4006,2.8267,0.5894,0.1,0.3161,0.2808,70.44,31.6,0.999,2.68621
175,19.78,1245.54,109.82,24.484,0.0,air,0.6462,0.3225,0.5238,1.7359,0.3686,0.1,0.2041,0.42,52.83,28.74,0.999,1.75537
176,13.472,1261.73,112.83,9.301,0.0,hydrogen,0.5906,0.5842,0.5036,2.1443,0.4665,0.1,0.2919,0.4263,62.82,29.14,0.999,2.00864
177,16.997,983.45,156.75,4.592,0.0,air,0.5218,0.4515,0.5229,1.8233,0.4633,0.1,0.2646,0.4319,43.13,30.44,0.999,1.46736
178,15.145,1359.34,152.07,13.834,49.391,air,0.6012,0.2403,0.4765,1.7135,0.4658,0.1,0.1235,0.3256,65.73,31.96,0.999,3.10959
179,16.624,1016.23,154.75,18.414,46.437,air,0.514,0.8154,0.478,1.7693,0.4229,0.1,0.3842,0.3834,45.39,25.11,0.999,1.96413
180,8.403,1387.53,159.24,11.858,0.0,hydrogen,0.6215,0.4945,0.3266,1.838,0.4556,0.1,0.2545,0.2013,75.06,35.98,0.999,2.7847
181,14.929,1239.15,152.26,3.547,0.0,argon,0.5358,0.3749,0.2522,1.9217,0.4164,0.1,0.2095,0.15,57.49,26.62,0.999,2.17874
182,17.626,1279.74,97.5,21.085,0.0,nitrogen,0.5628,0.5869,0.3554,1.9384,0.5258,0.1,0.3234,0.2554,58.01,31.61,0.999,1.80426
183,19.453,1367.02,154.54,6.19,0.0,nitrogen,0.5276,0.8488,0.5043,2.6698,0.7337,0.1,0.43,0.3658,68.11,33.46,0.999,2.4973
184,17.008,1298.59,114.81,22.782,43.271,nitrogen,0.5143,0.7468,0.4669,1.7355,0.4612,0.1,0.3593,0.4058,66.0,27.46,0.999,2.51727
185,17.69,1329.65,115.79,16.576,0.0,hydrogen,0.5426,1.0557,0.5268,2.823,0.8711,0.1,0.5777,0.4492,68.62,36.46,0.999,2.21148
186,11.378,1048.84,138.23,15.953,20.0,vacuum,0.6439,0.33,0.3362,1.468,0.3655,0.1,0.1872,0.2534,56.37,31.45,0.999,1.80034
187,8.687,1039.3,105.99,4.147,0.0,argon,0.618,0.5041,0.4029,1.59,0.3573,0.1,0.2696,0.333,44.53,23.52,0.999,1.26726
188,9.951,982.35,134.06,9.896,0.0,hydrogen,0.6092,0.8305,0.3852,1.8203,0.4265,0.1,0.4681,0.287,48.02,28.27,0.999,1.41697
189,13.455,1073.65,110.71,7.048,0.0,vacuum,0.5694,0.5881,0.4722,1.7516,0.3742,0.1,0.3537,0.3492,50.27,28.36,0.999,1.43361
190,9.003,1001.22,96.95,23.985,0.0,argon,0.6463,0.7367,0.455,1.6019,0.4744,0.1,0.3844,0.3883,54.06,30.67,0.999,1.08862
191,16.647,1110.25,97.23,23.107,0.0,argon,0.6036,0.6121,0.4724,1.7506,0.4874,0.1,0.3046,0.3849,61.16,30.55,0.999,1.37082
192,17.936,1188.41,130.03,5.875,28.912,argon,0.6291,0.7012,0.2681,2.2071,0.4494,0.1,0.2991,0.15,60.41,28.36,0.999,2.16967
193,17.274,1097.62,150.21,19.414,0.0,argon,0.5163,0.4538,0.37,1.6734,0.3488,0.1,0.2591,0.2815,55.04,28.28,0.999,1.77692
194,4.365,1199.94,160.06,7.452,0.0,vacuum,0.5602,0.9864,0.3341,3.1269,0.9156,0.1,0.4966,0.2318,53.49,28.21,0.999,2.21902
195,7.479,1097.88,131.69,13.58,24.523,nitrogen,0.6074,0.6381,0.3159,1.8862,0.4281,0.1,0.3307,0.2444,50.51,25.92,0.999,1.86421
196,4.384,1413.54,59.33,22.4,0.0,hydrogen,0.6001,0.7828,0.2909,2.2236,0.5285,0.1,0.4462,0.1619,67.8,34.0,0.999,1.97569
197,2.444,1148.72,135.84,12.536,0.0,air,0.52,0.3505,0.2705,1.6522,0.4157,0.1,0.1717,0.2075,56.27,28.43,0.999,1.7414
198,11.328,1054.2,154.64,18.42,0.0,argon,0.5492,0.4962,0.493,1.7265,0.4249,0.1,0.2534,0.3806,49.98,25.92,0.999,1.71345
199,6.532,1326.38,94.35,15.205,10.92,air,0.6363,0.5115,0.3998,2.047,0.5812,0.1,0.2827,0.3379,58.79,32.35,0.999,1.9878
200,12.12,1374.1,141.98,20.681,36.785,hydrogen,0.5759,0.7704,0.3446,1.9647,0.5163,0.1,0.4264,0.2486,65.88,33.19,0.999,3.15679
201,3.987,1066.57,146.06,6.419,15.796,argon,0.6274,0.5184,0.3739,1.8935,0.4477,0.1,0.2761,0.2702,49.84,26.3,0.999,1.837
202,13.624,1424.66,146.49,14.16,0.0,nitrogen,0.5568,0.6168,0.4056,2.0858,0.4942,0.1,0.2938,0.3031,67.45,33.42,0.999,2.6056
203,4.652,1440.81,112.82,13.065,0.0,air,0.5623,0.3376,0.3047,2.0828,0.5354,0.1,0.1504,0.1953,64.09,30.1,0.999,2.31086
204,15.644,1430.56,144.17,5.139,0.0,nitrogen,0.5547,0.8114,0.4232,2.2226,0.6924,0.1,0.3566,0.3087,67.25,32.61,0.999,2.59409
205,8.008,1333.3,141.15,20.723,0.0,vacuum,0.6377,0.5157,0.2634,2.052,0.5309,0.1,0.2404,0.1912,67.72,33.41,0.999,2.42499
206,10.447,1431.96,111.45,5.824,31.889,air,0.5695,1.0719,0.3654,2.3816,0.5401,0.1,0.6259,0.2609,64.93,37.99,0.999,2.71072
207,3.222,1221.82,158.3,21.096,0.0,air,0.5157,0.4756,0.3669,1.9891,0.5696,0.1,0.2532,0.2751,52.68,24.12,0.999,2.11203
208,18.094,1193.69,89.48,2.75,0.0,air,0.5383,1.0869,0.3505,2.2797,0.4615,0.1,0.5799,0.2359,52.24,32.65,0.999,1.46497
209,19.273,1335.23,53.88,17.297,29.58,air,0.6158,1.1915,0.2606,2.1802,0.5764,0.1,0.6226,0.193,60.52,33.13,0.999,1.81286
210,17.194,1094.31,47.44,16.88,0.0,hydrogen,0.6492,0.7289,0.5262,1.5265,0.4079,0.1,0.4173,0.4502,54.1,30.41,0.999,0.95785
211,18.499,1312.69,49.44,6.087,0.0,vacuum,0.6163,0.5096,0.2521,1.9199,0.4073,0.1,0.2803,0.1692,65.0,35.6,0.999,1.55295
212,11.724,1362.57,123.81,13.538,0.0,vacuum,0.5193,1.1792,0.5335,2.6586,0.6569,0.1,0.5954,0.4354,63.36,32.93,0.999,2.34979
213,4.848,1339.83,66.34,15.6,0.0,air,0.5532,0.5155,0.4087,2.0934,0.623,0.1,0.2264,0.323,65.98,35.32,0.999,1.67394
214,5.69,1202.49,64.51,19.871,0.0,argon,0.5936,1.0226,0.3804,2.192,0.5307,0.1,0.5153,0.331,59.95,31.35,0.999,1.35767
215,14.658,1257.33,143.39,16.234,0.0,air,0.5615,0.5424,0.3861,1.9532,0.5166,0.1,0.2874,0.279,60.89,36.06,0.999,2.06881
216,19.135,1420.36,146.99,7.437,20.959,air,0.6385,0.7732,0.5301,2.5513,0.55,0.1,0.3635,0.4482,66.88,34.67,0.999,2.81376
217,4.775,1168.84,153.65,7.296,0.0,air,0.5969,0.9204,0.2842,2.2383,0.5264,0.1,0.4747,0.15,55.35,24.76,0.999,1.9374
218,11.199,1153.78,122.83,20.462,39.574,nitrogen,0.5302,0.3216,0.4106,1.3873,0.3092,0.1,0.1554,0.3,53.64,31.52,0.999,2.10028
219,13.04,1390.76,87.07,20.937,0.0,vacuum,0.5088,0.2099,0.3126,1.4319,0.3199,0.1,0.1008,0.2454,64.4,27.39,0.999,2.106
220,7.834,1145.67,154.91,7.021,0.0,hydrogen,0.5536,0.6358,0.4445,2.0664,0.5051,0.1,0.2923,0.3436,62.22,27.37,0.999,2.0628
221,9.077,1080.92,92.21,2.367,34.297,argon,0.5889,0.5589,0.3379,1.7278,0.3855,0.1,0.3078,0.2635,56.06,28.97,0.999,1.52336
222,7.368,954.11,63.01,3.417,44.252,air,0.5168,0.5188,0.3414,1.4056,0.3229,0.1,0.3364,0.2743,43.81,31.54,0.999,0.82169
223,16.984,1423.91,141.23,2.111,0.0,air,0.6209,0.5914,0.3414,2.2805,0.6592,0.1,0.282,0.2455,68.1,30.24,0.999,2.47063
224,6.802,1242.0,125.85,13.584,39.802,air,0.5752,0.6154,0.4643,1.9768,0.5045,0.1,0.313,0.3791,61.34,28.73,0.999,2.35613
225,7.767,1300.62,94.73,8.358,0.0,air,0.5116,0.3799,0.5173,1.7506,0.3759,0.1,0.19,0.4277,61.34,31.11,0.999,1.802
226,18.996,1177.98,167.16,10.234,0.0,hydrogen,0.5348,0.6941,0.3747,1.9361,0.4961,0.1,0.34,0.2785,60.95,32.76,0.999,2.23181
227,18.878,1222.94,132.89,12.768,37.049,air,0.5365,0.4899,0.4746,1.5898,0.346,0.1,0.2638,0.3748,58.47,27.03,0.999,2.30293
228,18.388,1331.73,68.66,7.64,11.336,air,0.6327,0.3274,0.2914,1.4235,0.4418,0.1,0.1521,0.1873,61.8,35.94,0.999,1.76298
229,19.208,1329.72,46.64,3.666,22.294,argon,0.5346,0.7689,0.3715,1.9231,0.4395,0.1,0.413,0.2967,62.41,30.95,0.999,1.73299
230,18.262,1008.33,71.89,21.538,29.182,air,0.6458,0.9412,0.4766,1.7464,0.4763,0.1,0.5425,0.4078,52.36,30.2,0.999,0.99959
231,13.112,994.95,142.0,8.445,0.0,air,0.525,0.293,0.2619,1.5843,0.4897,0.1,0.1382,0.1628,44.08,28.66,0.999,1.38693
232,11.135,1171.81,133.21,7.348,0.0,hydrogen,0.5962,0.5189,0.5413,2.7113,0.5817,0.1,0.2535,0.4698,65.45,32.85,0.999,1.94169
233,2.919,1348.23,112.43,7.796,10.443,nitrogen,0.5027,0.7124,0.3559,2.1157,0.5128,0.1,0.3899,0.2818,67.07,29.04,0.999,2.2658
234,12.783,1325.06,99.86,24.58,0.0,air,0.5472,0.7288,0.3182,1.7858,0.3701,0.1,0.3899,0.2697,64.43,33.33,0.999,1.89873
235,17.01,1053.98,113.49,10.14,0.0,nitrogen,0.5431,0.4146,0.4521,1.3427,0.3113,0.1,0.2722,0.3591,54.59,27.74,0.999,1.3421
236,19.902,1294.31,155.32,8.797,0.0,hydrogen,0.5477,0.4741,0.3967,2.0783,0.4931,0.1,0.2256,0.2659,67.0,40.62,0.999,2.44964
237,16.074,1239.52,159.13,23.47,19.528,nitrogen,0.5775,0.7077,0.3572,1.8877,0.5022,0.1,0.3726,0.2984,57.97,28.55,0.999,2.47021
238,15.383,1225.0,50.42,19.945,33.308,air,0.5856,0.421,0.4028,1.39,0.3959,0.1,0.2159,0.3129,53.54,29.16,0.999,1.48559
239,12.606,1337.97,74.29,14.123,0.0,vacuum,0.6021,1.0578,0.3529,2.7662,0.5661,0.1,0.4745,0.2516,65.38,33.12,0.999,1.85122
240,6.471,1064.85,92.06,7.795,45.222,argon,0.5486,0.527,0.3008,1.6089,0.3795,0.1,0.3315,0.1681,51.23,31.43,0.999,1.54954
241,11.478,958.85,166.9,2.22,0.0,air,0.6443,0.4881,0.4987,1.559,0.4781,0.1,0.275,0.4092,45.37,25.37,0.999,1.49801
242,13.515,1302.97,115.3,11.269,0.0,argon,0.6393,0.6784,0.4889,1.9689,0.5053,0.1,0.3556,0.4052,65.26,29.7,0.999,2.04494
243,5.253,1057.71,156.55,18.885,0.0,air,0.6173,0.9219,0.3441,1.9657,0.5592,0.1,0.4301,0.2424,47.56,22.95,0.999,1.67339
244,16.971,1246.25,77.12,6.664,30.973,argon,0.5488,0.8549,0.3103,2.1505,0.4426,0.1,0.4405,0.1983,62.25,29.82,0.999,1.85598
245,5.816,1128.69,71.74,6.953,0.0,nitrogen,0.5966,0.5173,0.5142,1.5846,0.3893,0.1,0.2813,0.4636,49.48,26.54,0.999,1.20767
246,14.922,1154.66,160.84,10.552,31.988,vacuum,0.637,0.7988,0.4782,1.9777,0.6135,0.1,0.4017,0.4125,53.17,26.4,0.999,2.48481
247,7.217,1118.8,155.76,3.183,0.0,air,0.5715,0.4759,0.3992,2.1565,0.5665,0.1,0.2502,0.2708,52.45,30.49,0.999,1.82502
248,4.831,1076.63,133.14,15.751,0.0,air,0.5702,0.4162,0.3891,1.987,0.5454,0.1,0.2041,0.2807,51.84,28.81,0.999,1.5331
249,3.118,1023.53,156.13,12.055,30.129,hydrogen,0.5015,0.3412,0.3815,1.5302,0.396,0.1,0.1588,0.3269,57.58,28.78,0.999,2.04076
250,16.68,1150.1,100.9,16.323,0.0,air,0.6002,0.3793,0.2982,1.4014,0.3161,0.1,0.191,0.1947,60.42,29.6,0.999,1.44788
251,13.503,959.06,83.81,4.225,0.0,nitrogen,0.6083,0.5114,0.4161,1.5154,0.4265,0.1,0.2824,0.35,43.58,25.09,0.999,0.85141
252,2.301,1313.54,128.77,2.547,0.0,nitrogen,0.5062,0.4326,0.3933,2.0096,0.5237,0.1,0.2538,0.2619,61.28,33.98,0.999,2.17586
253,6.693,1252.41,100.04,7.462,0.0,air,0.6108,0.7121,0.4601,2.1527,0.5569,0.1,0.3841,0.343,57.75,32.98,0.999,1.72022
254,15.331,1047.26,95.36,23.826,22.37,air,0.5962,0.6684,0.3571,1.4929,0.3364,0.1,0.3874,0.2418,46.43,27.94,0.999,1.29588
255,17.146,1409.84,157.45,17.19,0.0,argon,0.5331,0.2896,0.4594,1.6115,0.4138,0.1,0.1372,0.3615,62.33,30.0,0.999,2.66945
256,11.111,1109.12,147.98,9.621,0.0,air,0.5054,0.4447,0.4552,1.4698,0.3505,0.1,0.2056,0.3735,54.66,31.64,0.999,1.7342
257,10.456,1423.84,143.69,17.17,21.618,nitrogen,0.5437,0.8225,0.2595,2.0215,0.5398,0.1,0.4437,0.1586,69.92,31.8,0.999,2.92882
258,15.262,1271.12,154.11,6.01,32.693,argon,0.576,1.1431,0.3806,3.001,0.8334,0.1,0.5196,0.2844,49.59,25.98,0.999,2.72546
259,13.132,1055.88,145.42,2.254,33.636,argon,0.5534,0.8828,0.3154,2.1059,0.5364,0.1,0.429,0.2102,50.81,27.02,0.999,1.96625
260,9.361,1168.7,46.0,20.656,7.419,nitrogen,0.5406,0.9311,0.4651,1.9182,0.4423,0.1,0.4476,0.3957,55.51,31.95,0.999,1.14883
261,10.267,1233.28,82.11,22.147,44.997,argon,0.6067,0.6815,0.4215,1.5751,0.3983,0.1,0.3488,0.3274,53.83,33.46,0.999,2.01685
262,3.904,992.54,130.69,17.83,0.0,nitrogen,0.5112,0.6194,0.5264,1.4918,0.347,0.1,0.3685,0.449,52.47,26.34,0.999,1.33586
263,15.486,1351.37,136.34,10.161,0.0,nitrogen,0.5181,0.4312,0.3625,2.0405,0.6129,0.1,0.2207,0.2523,60.29,32.82,0.999,2.32057
264,19.336,1095.15,161.97,5.527,23.473,hydrogen,0.5244,0.1715,0.5292,1.6244,0.4024,0.1,0.0849,0.4291,55.42,32.89,0.999,2.22988
265,14.303,1074.31,123.5,21.661,0.0,nitrogen,0.5892,0.7121,0.2947,2.0709,0.5765,0.1,0.4081,0.1851,52.77,23.76,0.999,1.48435
266,18.454,1040.71,72.11,2.33,0.0,air,0.6291,0.5333,0.306,2.0587,0.5961,0.1,0.297,0.2393,48.58,26.68,0.999,0.93485
267,18.691,1207.5,126.15,12.058,0.0,air,0.5998,0.3624,0.5321,1.7537,0.3763,0.1,0.1803,0.4474,56.45,23.3,0.999,1.79145
268,16.851,1379.13,95.87,4.439,0.0,air,0.639,1.3935,0.2811,3.4909,1.0638,0.1,0.6805,0.1798,69.57,34.77,0.999,1.9936
269,19.45,1114.03,138.44,2.103,0.0,air,0.514,0.7461,0.4265,2.0789,0.5649,0.1,0.4003,0.307,49.32,24.9,0.999,1.64897
270,11.737,1131.29,85.12,2.604,46.553,nitrogen,0.5719,0.2777,0.3367,1.3721,0.319,0.1,0.1503,0.2386,55.59,24.63,0.999,1.69209
271,3.118,1025.3,42.43,8.376,0.0,argon,0.5364,0.5782,0.2735,1.6294,0.4946,0.1,0.3733,0.2234,49.2,26.07,0.999,0.69459
272,15.286,1150.49,64.21,20.064,0.0,argon,0.5533,1.1178,0.3818,1.863,0.5723,0.1,0.6273,0.2858,50.37,25.27,0.999,1.20545
273,15.327,1417.57,100.36,5.975,16.45,nitrogen,0.5336,0.7882,0.4264,2.4627,0.5482,0.1,0.3996,0.3546,69.72,32.77,0.999,2.41583
274,16.331,1059.82,147.66,23.482,19.329,air,0.5174,0.8658,0.5256,2.3447,0.5125,0.1,0.4349,0.4536,49.08,32.02,0.999,1.77632
275,7.426,1385.18,131.23,20.793,35.158,air,0.5516,0.6931,0.317,2.0553,0.5255,0.1,0.3589,0.2481,67.35,35.67,0.999,2.80428
276,17.967,1250.07,143.56,15.098,0.0,vacuum,0.5936,0.5396,0.4005,1.8158,0.4312,0.1,0.2784,0.3286,61.62,33.45,0.999,2.18858
277,3.707,1245.27,161.55,15.205,0.0,air,0.5981,0.8678,0.37,3.074,0.8908,0.1,0.4707,0.2638,61.56,27.05,0.999,2.19896
278,19.043,1151.16,115.33,14.831,45.121,air,0.563,0.7668,0.3151,2.069,0.5973,0.1,0.3631,0.241,57.37,28.15,0.999,1.98292
279,16.978,1184.44,149.87,3.379,0.0,vacuum,0.534,0.5729,0.3618,2.1587,0.535,0.1,0.3012,0.2839,56.5,26.94,0.999,2.06587
280,7.344,1151.7,74.93,8.071,21.376,nitrogen,0.5052,0.4275,0.3542,1.433,0.383,0.1,0.1874,0.2636,53.87,27.91,0.999,1.46179
281,14.475,1290.44,87.55,23.798,0.0,nitrogen,0.5507,0.479,0.5283,1.6879,0.4274,0.1,0.2493,0.4155,64.0,27.73,0.999,1.75887
282,11.026,1371.57,68.65,2.587,9.446,hydrogen,0.5072,0.4302,0.324,1.7267,0.4359,0.1,0.1966,0.1903,64.44,33.43,0.999,2.04614
283,10.335,1366.2,86.66,3.376,0.0,argon,0.5009,0.3842,0.4176,2.2164,0.6297,0.1,0.1748,0.3178,66.13,32.94,0.999,1.98402
284,17.836,955.24,143.4,12.012,0.0,air,0.5886,0.4791,0.3275,1.8049,0.3997,0.1,0.2743,0.2832,44.25,23.01,0.999,1.28673
285,7.864,1046.96,64.12,22.623,0.0,argon,0.5501,0.5132,0.3738,1.422,0.2852,0.1,0.2987,0.3379,55.82,27.23,0.999,0.93549
286,2.276,1349.94,145.71,20.943,0.0,air,0.5369,0.7277,0.282,1.9559,0.4208,0.1,0.3501,0.1755,63.9,31.16,0.999,2.34167
287,8.471,1162.25,82.94,22.165,0.0,argon,0.6203,0.3767,0.3991,1.3262,0.3867,0.1,0.197,0.2921,50.43,27.37,0.999,1.4044
288,17.853,1155.51,151.96,8.94,0.0,vacuum,0.5135,0.6979,0.4348,2.2562,0.6891,0.1,0.4033,0.3317,56.6,31.43,0.999,2.00174
289,15.319,1012.7,106.51,6.035,0.0,hydrogen,0.5463,0.5279,0.3591,1.8419,0.4629,0.1,0.2868,0.2437,43.73,26.94,0.999,1.24936
290,8.298,1014.93,86.34,8.42,0.0,vacuum,0.5888,1.1821,0.4494,2.1781,0.529,0.1,0.642,0.3738,51.48,27.39,0.999,1.06702
291,10.831,1098.11,131.46,9.552,0.0,hydrogen,0.5387,0.4815,0.3982,1.9646,0.5217,0.1,0.253,0.2956,58.17,33.97,0.999,1.71908
292,17.952,1109.78,110.74,11.306,0.0,vacuum,0.5174,0.9343,0.5295,1.9832,0.5673,0.1,0.4661,0.4184,58.04,28.86,0.999,1.52315
293,9.665,1107.89,165.11,2.243,23.43,argon,0.5087,0.6387,0.5219,2.0181,0.5997,0.1,0.3611,0.4655,57.13,25.71,0.999,2.22367
294,2.571,1021.46,148.02,20.235,0.0,nitrogen,0.6381,0.9021,0.2721,1.8949,0.5738,0.1,0.4415,0.2008,47.62,25.56,0.999,1.55739
295,9.929,1022.3,71.81,8.637,0.0,argon,0.6127,0.3912,0.2652,1.5108,0.3032,0.1,0.2268,0.1883,53.83,24.59,0.999,0.9338
296,16.218,1383.34,130.86,2.681,0.0,vacuum,0.5252,0.9409,0.4904,2.3665,0.52,0.1,0.5025,0.3656,69.55,33.37,0.999,2.4515
297,10.026,1418.41,78.25,4.32,0.0,argon,0.5861,0.5534,0.3759,2.5417,0.6461,0.1,0.2733,0.3114,62.4,32.21,0.999,2.05477
298,3.949,1088.91,155.04,20.462,0.0,air,0.6417,0.4111,0.4496,1.7398,0.5234,0.1,0.2152,0.3614,49.62,25.46,0.999,1.74189
299,19.454,981.36,93.94,4.483,0.0,vacuum,0.5902,0.4741,0.3907,1.8512,0.4238,0.1,0.2763,0.3131,54.96,27.92,0.999,1.02504
300,2.939,1316.6,92.38,15.387,44.747,air,0.615,0.8718,0.4633,1.8144,0.5393,0.1,0.4564,0.3275,62.34,30.61,0.999,2.31415
301,14.443,1375.97,115.18,5.371,46.288,argon,0.5422,0.5144,0.3594,2.3261,0.6473,0.1,0.2588,0.2643,62.23,26.65,0.999,2.85748
302,6.257,1008.67,166.64,21.679,0.0,hydrogen,0.6195,0.7946,0.4945,1.8051,0.3683,0.1,0.4376,0.3723,54.37,27.42,0.999,1.77916
303,9.811,1379.32,165.21,14.036,40.276,air,0.5911,0.5329,0.3767,1.9107,0.4739,0.1,0.2367,0.294,68.1,34.76,0.999,3.19762
304,6.272,1031.24,157.62,13.402,0.0,vacuum,0.5555,0.397,0.2503,1.6625,0.4386,0.1,0.2243,0.15,55.38,32.18,0.999,1.73001
305,8.207,1066.37,108.57,14.631,10.812,air,0.6084,0.4324,0.5313,1.3119,0.397,0.1,0.2651,0.4307,49.32,25.4,0.999,1.3928
306,6.738,1295.52,155.71,17.746,0.0,air,0.5833,0.6595,0.3401,2.0168,0.5681,0.1,0.3407,0.2566,54.06,29.74,0.999,2.28173
307,12.403,1436.04,130.51,17.755,44.322,argon,0.549,0.8987,0.2712,2.4261,0.7241,0.1,0.4578,0.1723,72.81,37.14,0.999,3.20664
308,17.245,1321.43,67.07,20.459,0.0,air,0.6127,1.0887,0.3782,2.0862,0.4376,0.1,0.4732,0.2781,57.57,30.58,0.999,1.61451
309,15.103,1172.12,126.28,3.792,0.0,air,0.6368,0.8052,0.3757,2.5127,0.6615,0.1,0.4445,0.283,51.0,27.55,0.999,1.71145
310,6.699,1106.66,149.61,13.202,0.0,hydrogen,0.5758,0.3057,0.4909,1.5298,0.4487,0.1,0.1472,0.3882,60.91,31.6,0.999,1.90571
311,14.789,1317.36,70.41,14.45,20.792,air,0.5535,0.3526,0.4947,1.4075,0.4369,0.1,0.1758,0.3802,60.6,30.32,0.999,1.84108
312,7.405,1037.01,106.64,6.109,0.0,air,0.5862,0.8901,0.2995,2.1537,0.5512,0.1,0.47,0.1895,38.9,27.2,0.999,1.21641
313,7.463,1057.56,147.67,5.863,0.0,air,0.6174,0.6106,0.4107,2.3942,0.6041,0.1,0.3037,0.3135,51.96,32.74,0.999,1.60122
314,17.014,1298.66,99.6,5.58,0.0,air,0.5054,0.9892,0.4041,2.5268,0.5063,0.1,0.5486,0.3216,58.24,34.81,0.999,1.81698
315,5.818,978.07,84.92,7.425,28.768,nitrogen,0.5751,0.4569,0.412,1.4121,0.3357,0.1,0.2484,0.3363,45.79,23.72,0.999,1.07394
316,4.048,1316.84,65.37,19.656,0.0,air,0.5567,0.5864,0.2869,1.7793,0.5491,0.1,0.3092,0.1948,58.45,31.82,0.999,1.60663
317,10.584,1399.82,120.56,10.42,0.0,air,0.5713,0.9361,0.4998,3.0578,0.646,0.1,0.4447,0.3914,60.63,30.1,0.999,2.26541
318,6.524,1199.53,151.25,15.711,47.341,argon,0.5351,0.3884,0.498,1.6294,0.3959,0.1,0.2166,0.4031,59.96,30.27,0.999,2.6705
319,11.647,1324.71,109.23,22.992,0.0,hydrogen,0.5946,0.3778,0.3606,1.5839,0.4006,0.1,0.1921,0.2446,66.41,32.87,0.999,2.16003
320,2.569,1209.62,65.88,10.259,0.0,vacuum,0.6065,0.9577,0.3,2.606,0.6446,0.1,0.4597,0.1912,61.85,32.11,0.999,1.42964
321,4.823,1259.45,73.92,9.779,0.0,argon,0.5336,0.835,0.4085,2.0068,0.4949,0.1,0.3841,0.2698,58.56,30.69,0.999,1.59028
322,6.629,1352.4,144.16,22.78,15.72,air,0.6133,0.8789,0.5403,2.3121,0.7169,0.1,0.468,0.4673,59.59,30.66,0.999,2.55579
323,5.535,1238.59,143.85,3.681,6.363,hydrogen,0.5749,0.5293,0.2937,2.1107,0.6097,0.1,0.2987,0.161,67.38,30.58,0.999,2.31281
324,8.209,1347.53,163.63,16.767,0.0,vacuum,0.534,0.4602,0.3507,2.0617,0.6339,0.1,0.2141,0.2468,66.32,34.2,0.999,2.65928
325,9.258,1329.94,157.44,9.923,0.0,vacuum,0.5655,0.5736,0.4305,2.2876,0.6375,0.1,0.2542,0.3182,72.55,32.06,0.999,2.55685
326,19.003,1282.82,140.79,9.181,18.848,hydrogen,0.505,0.5202,0.3485,1.8458,0.3776,0.1,0.2761,0.2325,65.46,27.95,0.999,2.5538
327,16.31,1400.06,122.87,14.491,30.151,air,0.6235,0.2825,0.3412,1.6736,0.5074,0.1,0.1342,0.2385,62.29,32.28,0.999,2.6748
328,7.411,1127.75,143.99,11.646,0.0,air,0.5544,0.3406,0.5455,1.6111,0.4345,0.1,0.1761,0.4393,49.41,28.32,0.999,1.75303
329,18.617,1252.72,154.88,22.394,44.692,air,0.5796,1.0941,0.4829,2.1689,0.6009,0.1,0.5442,0.3994,57.66,27.83,0.999,2.7092
330,14.871,1037.61,134.35,15.655,0.0,vacuum,0.5062,0.462,0.5392,1.5562,0.4443,0.1,0.2607,0.4515,48.8,29.42,0.999,1.53471
331,16.276,1400.83,137.41,7.802,0.0,air,0.519,0.7089,0.5413,2.2201,0.6071,0.1,0.3613,0.471,66.17,33.64,0.999,2.38356
332,16.163,1448.08,117.04,10.762,41.996,vacuum,0.6169,1.3678,0.2644,2.95,0.8929,0.1,0.6321,0.15,66.35,30.4,0.999,3.14362
333,4.342,964.6,108.47,2.125,0.0,nitrogen,0.6288,0.9382,0.5431,1.9345,0.4613,0.1,0.5597,0.452,44.61,25.02,0.999,1.07618
