firm_code,date,stratum,zone,years_of_operation,num_employees,num_employees_cat,annual_revenue_cat,ownership_type,fdi_partnership,fdi_equity,fdi_joint_venture,fdi_technology_transfer,fdi_management_contract,years_with_fdi,ka1,ka2,ka3,ka4,tp1,tp2,tp3,tp4,rd_intensity_percent,new_products_3yrs,proc_iot,proc_automation,proc_quality_mgmt,proc_other,proc_other_text,skilled_workforce_percent,training_hours_per_employee,modern_equipment,machinery_age_years,access_to_credit,reinvestment_rate_percent,gp_tax_incentives,gp_regulatory_stability,gp_infrastructure_support,gp_ease_permits,avg_roi_percent,avg_roa_percent,export_intensity_percent,capacity_utilization_percent,market_share_lagos_percent
FIRM212,02/10/2025,SME,Amuwo-Odofin,21,69,51-250,<50M,Local,0,0,0,0,0,0,1,1,5,1,4,3,2,3,6.8,3,0,1,1,0,,43.5,13,0,12.9,Easy,13.9,6,7,7,3,40.0,25.0,37.1,73.3,1.65
FIRM214,29/08/2025,SME,Ikeja,7,37,1-50,50M-500M,Local,0,0,0,0,0,0,4,2,5,4,4,5,5,1,12.0,3,1,0,1,0,,40.3,26,1,4.5,Easy,12.7,4,5,4,2,40.0,25.0,44.4,76.1,0.67
FIRM219,30/07/2025,SME,Amuwo-Odofin,1,48,1-50,50M-500M,Local,1,0,0,1,0,5,5,4,5,5,2,1,2,3,8.25,1,1,0,1,0,,35.8,40,1,3.1,Moderate,26.9,5,2,2,6,40.0,25.0,41.23,79.2,1.07
FIRM220,12/09/2025,SME,Ikorodu,7,81,51-250,<50M,Local,0,0,0,0,0,0,5,2,4,1,1,2,4,3,7.77,0,0,1,0,0,,93.2,31,1,5.5,Difficult,3.0,3,1,2,2,40.0,25.0,45.0,77.0,0.7
FIRM222,30/04/2025,SME,Oshodi/Isolo,19,40,1-50,50M-500M,Local,0,0,0,0,0,0,1,3,5,2,1,4,2,1,9.2,1,0,1,0,0,,79.0,19,0,10.0,Difficult,30.8,3,6,6,5,40.0,25.0,39.26,79.3,0.42
FIRM224,10/07/2025,SME,Apapa,8,250,51-250,50M-500M,Local,0,0,0,0,0,0,3,3,3,3,5,1,3,5,12.0,5,0,1,1,0,,89.6,27,1,6.0,Moderate,11.3,2,7,4,5,40.0,25.0,44.28,84.1,1.02
FIRM225,07/08/2025,SME,Apapa,14,201,51-250,500M-5B,Local,0,0,0,0,0,0,5,4,4,3,2,2,2,1,12.0,2,1,0,0,0,,33.0,21,1,6.9,Difficult,25.2,5,7,6,7,40.0,25.0,45.0,74.8,2.65
FIRM226,12/09/2025,SME,Ikeja,1,81,51-250,50M-500M,Local,0,0,0,0,0,0,4,4,2,4,2,5,5,4,12.0,0,1,0,0,0,,56.3,24,0,12.7,Easy,5.3,6,7,7,6,40.0,25.0,33.54,77.7,1.7
FIRM227,04/09/2025,SME,Ibeju-Lekki,10,62,51-250,<50M,Joint venture,0,0,0,0,0,0,2,2,2,4,2,1,4,4,12.0,2,0,0,1,0,,31.7,20,0,14.9,Difficult,24.7,4,6,4,4,40.0,25.0,43.49,72.9,1.64
FIRM229,04/06/2025,SME,Ikorodu,1,92,51-250,500M-5B,Local,0,0,0,0,0,0,3,5,3,5,3,3,1,1,12.0,2,1,0,1,0,,42.5,22,0,14.6,Difficult,24.7,2,2,4,1,40.0,25.0,43.33,65.5,1.11
FIRM231,02/10/2025,SME,Ikorodu,11,50,1-50,50M-500M,Local,0,0,0,0,0,0,5,4,3,3,2,5,3,4,12.0,2,0,0,1,0,,38.5,27,1,4.5,Easy,21.8,1,1,1,1,40.0,25.0,40.8,77.2,0.34
FIRM234,08/05/2025,SME,Oshodi/Isolo,23,94,51-250,50M-500M,Local,1,1,0,1,1,6,2,3,4,4,5,4,5,5,12.0,6,1,1,1,0,,77.3,12,1,3.5,Easy,14.1,1,1,1,1,40.0,25.0,45.0,76.4,1.44
FIRM235,20/09/2025,SME,Ikeja,10,43,1-50,500M-5B,Local,0,0,0,0,0,0,3,5,5,2,3,3,3,5,12.0,5,1,0,0,0,,47.9,12,1,4.2,Easy,20.5,1,2,2,3,40.0,25.0,38.56,67.8,0.05
FIRM237,07/10/2025,SME,Apapa,6,25,1-50,<50M,Local,0,0,0,0,0,0,5,5,3,3,5,2,2,1,12.0,6,0,0,1,0,,74.2,7,0,16.2,Easy,6.2,7,5,6,5,40.0,25.0,44.25,75.6,1.14
FIRM238,17/05/2025,SME,Ikeja,4,22,1-50,<50M,Local,1,1,1,1,0,7,3,1,4,3,4,5,5,4,12.0,4,1,1,1,0,,65.9,5,0,5.2,Difficult,21.5,5,5,3,6,40.0,25.0,45.0,81.1,2.19
FIRM239,23/08/2025,SME,Amuwo-Odofin,14,70,51-250,500M-5B,Local,0,0,0,0,0,0,1,2,2,4,2,5,1,5,12.0,3,1,1,1,0,,95.0,9,0,7.5,Moderate,28.3,2,4,2,3,37.39,25.0,27.75,69.9,0.59
FIRM243,23/04/2025,SME,Ibeju-Lekki,12,128,51-250,500M-5B,Local,0,0,0,0,0,0,1,3,1,5,2,3,5,1,8.2,4,1,0,1,1,Lean Six Sigma,28.4,26,1,3.9,Easy,26.0,1,1,1,1,40.0,25.0,33.56,65.5,1.7
FIRM245,27/06/2025,SME,Ikeja,15,53,51-250,500M-5B,Joint venture,0,0,0,0,0,0,4,4,1,3,3,1,5,3,3.67,0,0,0,0,0,,77.7,13,0,17.4,Easy,18.2,1,2,1,2,40.0,25.0,37.23,77.0,0.11
FIRM246,17/07/2025,SME,Ibeju-Lekki,6,111,51-250,<50M,Local,0,0,0,0,0,0,1,5,2,5,4,5,5,3,12.0,2,1,1,0,0,,75.6,30,1,5.8,Difficult,8.3,5,7,4,6,40.0,25.0,45.0,69.1,1.96
FIRM247,29/07/2025,SME,Apapa,7,95,51-250,50M-500M,Local,0,0,0,0,0,0,1,2,4,1,2,2,4,2,10.45,0,0,0,1,0,,37.5,24,0,14.4,Moderate,24.5,6,5,6,5,40.0,25.0,34.64,75.7,0.64
FIRM248,01/10/2025,SME,Ibeju-Lekki,3,20,1-50,50M-500M,Local,0,0,0,0,0,0,3,5,2,5,3,2,3,1,4.68,3,0,0,1,1,Solar retrofit,73.1,2,1,6.8,Moderate,18.2,3,5,4,1,40.0,25.0,35.25,74.1,1.61
FIRM249,15/08/2025,SME,Ibeju-Lekki,6,169,51-250,500M-5B,Local,0,0,0,0,0,0,4,1,2,3,2,4,4,3,12.0,9,0,1,1,0,,61.1,32,0,7.6,Easy,0.0,2,4,3,3,40.0,25.0,35.83,68.6,1.24
FIRM250,11/07/2025,SME,Ikorodu,11,158,51-250,50M-500M,Local,1,0,1,0,0,5,4,3,3,1,1,4,4,2,12.0,3,1,0,1,0,,50.9,34,1,1.0,Difficult,31.8,7,3,7,6,40.0,25.0,24.5,72.5,1.38
FIRM254,08/09/2025,SME,Apapa,17,72,51-250,50M-500M,Local,0,0,0,0,0,0,2,1,2,4,1,1,3,5,12.0,2,0,1,1,0,,40.2,12,0,11.4,Difficult,17.8,2,3,5,1,40.0,25.0,40.8,63.6,1.36
FIRM255,04/10/2025,SME,Ikeja,11,41,1-50,>5B,Joint venture,1,1,0,1,0,4,5,4,5,3,2,2,1,1,7.53,2,1,1,1,1,ERP upgrade,42.1,29,0,16.2,Easy,36.0,5,4,3,5,40.0,25.0,31.09,69.3,0.98
FIRM256,19/04/2025,SME,Oshodi/Isolo,20,37,1-50,500M-5B,Local,0,0,0,0,0,0,2,1,3,4,3,1,1,2,12.0,2,0,1,1,0,,91.9,14,0,11.4,Easy,7.0,4,5,3,5,40.0,25.0,30.39,76.4,1.47
FIRM257,09/10/2025,SME,Ibeju-Lekki,4,59,51-250,<50M,Local,0,0,0,0,0,0,1,2,4,2,5,5,4,4,12.0,3,1,0,1,0,,55.0,25,1,1.3,Easy,0.0,7,7,7,7,40.0,25.0,41.69,76.5,0.84
FIRM260,01/05/2025,SME,Ikeja,18,46,1-50,50M-500M,Local,0,0,0,0,0,0,3,2,1,2,1,3,4,4,12.0,3,0,0,1,0,,69.1,9,0,14.7,Easy,20.8,1,1,1,1,40.0,25.0,43.17,82.9,1.39
FIRM267,09/09/2025,SME,Amuwo-Odofin,10,24,1-50,50M-500M,Foreign-owned,1,1,0,1,0,5,5,3,4,5,2,5,5,3,12.0,3,0,0,1,0,,40.8,2,1,7.7,Moderate,26.9,5,4,6,4,40.0,25.0,45.0,82.2,1.56
FIRM268,05/06/2025,SME,Amuwo-Odofin,13,135,51-250,50M-500M,Local,1,0,1,0,0,3,3,1,4,2,3,1,2,3,12.0,2,0,0,0,0,,41.0,19,1,6.7,Difficult,7.1,3,2,7,4,40.0,25.0,40.59,73.0,0.33
FIRM270,09/05/2025,SME,Apapa,10,76,51-250,50M-500M,Local,1,0,0,1,0,6,3,3,4,5,4,1,3,5,10.17,4,0,1,1,0,,74.5,23,1,2.7,Moderate,14.2,7,6,5,6,40.0,25.0,45.0,82.9,1.26
FIRM273,04/07/2025,SME,Ikorodu,20,63,51-250,50M-500M,Local,0,0,0,0,0,0,5,5,1,3,2,3,1,3,12.0,1,1,1,0,1,Lean Six Sigma,30.7,19,0,6.7,Difficult,45.6,4,5,2,3,40.0,25.0,30.75,75.1,0.77
FIRM275,09/08/2025,SME,Oshodi/Isolo,19,121,51-250,<50M,Local,0,0,0,0,0,0,1,3,3,4,1,3,1,1,3.83,0,0,0,0,1,ERP upgrade,47.5,10,0,1.0,Moderate,14.9,5,3,1,6,40.0,25.0,25.74,79.1,1.34
FIRM278,23/06/2025,SME,Amuwo-Odofin,8,44,1-50,<50M,Local,1,1,1,1,1,3,1,2,4,1,5,5,4,4,12.0,6,0,1,1,0,,55.6,19,1,6.3,Moderate,31.3,6,4,7,5,40.0,25.0,45.0,84.8,1.48
FIRM279,25/04/2025,SME,Amuwo-Odofin,9,172,51-250,50M-500M,Local,0,0,0,0,0,0,2,5,4,4,5,1,2,5,12.0,3,0,0,1,0,,57.0,27,1,4.1,Difficult,11.5,7,7,7,7,40.0,25.0,45.0,80.9,0.63
FIRM282,01/08/2025,SME,Apapa,18,47,1-50,50M-500M,Local,0,0,0,0,0,0,3,4,3,5,1,3,3,2,11.1,3,0,0,1,0,,51.8,23,0,13.3,Easy,0.0,4,4,3,6,34.06,25.0,21.14,62.8,1.18
FIRM284,25/09/2025,SME,Ikeja,6,250,51-250,<50M,Local,0,0,0,0,0,0,3,2,1,2,1,2,5,5,8.77,5,0,0,0,0,,62.1,26,1,1.0,Moderate,16.3,1,2,1,1,40.0,25.0,41.12,73.4,0.86
FIRM285,23/06/2025,SME,Oshodi/Isolo,3,78,51-250,50M-500M,Joint venture,1,1,0,1,1,6,5,4,3,5,5,4,3,1,12.0,1,1,1,1,0,,67.5,16,1,3.4,Moderate,21.3,3,3,6,3,40.0,25.0,45.0,84.6,0.71
FIRM287,24/05/2025,SME,Oshodi/Isolo,14,123,51-250,50M-500M,Local,1,0,0,0,1,5,5,5,5,5,2,2,2,2,12.0,1,1,1,0,0,,68.2,38,1,2.6,Easy,20.0,1,2,5,3,40.0,25.0,41.3,74.6,1.65
FIRM289,04/07/2025,SME,Apapa,1,50,1-50,50M-500M,Local,0,0,0,0,0,0,1,1,2,2,2,3,2,2,11.8,4,1,1,1,0,,37.3,10,0,18.8,Moderate,16.9,2,1,1,2,40.0,25.0,35.86,68.7,1.26
FIRM298,24/04/2025,SME,Ikeja,9,15,1-50,50M-500M,Local,1,0,0,1,0,9,4,2,5,1,3,4,3,1,5.0,2,1,1,0,0,,49.9,30,1,4.4,Moderate,26.6,4,1,4,2,40.0,25.0,37.61,74.3,1.98
FIRM301,10/09/2025,Large,Ikeja,33,659,500+,500M-5B,Local,1,0,1,0,0,4,3,4,3,2,2,1,4,3,5.55,5,0,0,1,0,,76.5,38,1,8.4,Difficult,22.5,6,6,5,4,40.0,25.0,41.29,75.8,0.79
FIRM305,11/09/2025,Large,Amuwo-Odofin,39,696,500+,500M-5B,Foreign-owned,1,1,0,1,0,11,1,2,4,3,1,2,4,1,12.0,2,0,1,1,0,,71.1,30,1,1.0,Moderate,11.4,3,1,2,2,40.0,25.0,45.0,71.2,0.66
FIRM306,30/07/2025,Large,Ibeju-Lekki,18,251,251-500,500M-5B,Local,0,0,0,0,0,0,5,4,3,5,3,2,2,1,12.0,2,0,1,1,0,,30.3,22,1,6.1,Difficult,22.9,7,7,6,6,40.0,25.0,35.95,73.6,0.27
FIRM308,18/06/2025,Large,Apapa,18,251,251-500,500M-5B,Foreign-owned,1,0,0,1,0,9,3,1,1,5,1,5,4,5,12.0,6,1,1,1,0,,61.3,18,1,7.7,Moderate,4.5,5,3,6,3,40.0,25.0,44.45,71.4,0.62
FIRM309,06/09/2025,Large,Ikorodu,20,293,251-500,500M-5B,Local,1,0,1,1,0,4,3,4,1,2,1,1,1,3,12.0,1,1,1,1,0,,19.4,36,0,13.8,Difficult,3.5,1,1,6,1,38.73,25.0,32.12,66.0,0.38
FIRM310,24/07/2025,Large,Apapa,17,1042,500+,500M-5B,Joint venture,1,0,1,0,1,6,3,1,3,3,5,5,3,5,12.0,1,0,0,1,1,Waste-to-energy,55.8,7,1,4.6,Moderate,31.4,1,3,5,3,35.28,25.0,23.08,71.0,0.97
FIRM311,11/09/2025,Large,Oshodi/Isolo,13,364,251-500,500M-5B,Foreign-owned,0,0,0,0,0,0,5,3,4,4,1,5,1,3,12.0,1,1,1,1,0,,89.2,12,1,7.0,Difficult,23.1,7,7,6,7,40.0,25.0,45.0,81.7,0.88
FIRM312,07/08/2025,Large,Ikeja,14,446,251-500,<50M,Joint venture,1,1,0,0,0,4,3,5,2,5,2,3,5,4,12.0,8,0,1,0,0,,37.9,19,1,1.0,Moderate,23.4,5,5,6,3,40.0,25.0,45.0,88.6,0.8
FIRM313,04/09/2025,Large,Ikeja,18,618,500+,500M-5B,Foreign-owned,1,1,1,0,0,10,2,5,1,4,5,4,3,4,12.0,3,0,1,1,0,,40.0,39,0,3.1,Moderate,10.0,4,3,3,3,40.0,25.0,45.0,73.9,2.13
FIRM314,01/08/2025,Large,Ibeju-Lekki,14,513,500+,500M-5B,Local,1,1,0,1,0,10,4,2,3,1,3,2,1,1,12.0,2,0,1,0,0,,68.8,29,1,8.5,Moderate,16.9,2,4,4,4,40.0,25.0,42.92,76.1,0.05
FIRM317,29/06/2025,Large,Apapa,16,1330,500+,500M-5B,Local,0,0,0,0,0,0,3,1,2,2,3,4,2,5,9.79,3,0,1,1,0,,27.2,12,1,6.0,Moderate,15.4,7,3,4,6,40.0,25.0,40.55,75.6,1.21
FIRM323,05/10/2025,Large,Amuwo-Odofin,15,551,500+,500M-5B,Joint venture,1,1,1,1,0,7,2,5,4,1,4,1,3,1,12.0,2,0,1,0,0,,43.6,20,1,9.5,Easy,8.0,2,1,2,4,40.0,25.0,44.79,75.2,0.09
FIRM324,22/07/2025,Large,Apapa,15,251,251-500,500M-5B,Local,0,0,0,0,0,0,4,5,4,1,5,4,4,3,12.0,7,1,1,1,0,,65.7,17,1,1.9,Easy,10.6,1,1,1,1,40.0,25.0,43.06,71.9,0.5
FIRM326,02/08/2025,Large,Amuwo-Odofin,12,251,251-500,>5B,Foreign-owned,0,0,0,0,0,0,3,5,1,5,3,4,1,4,12.0,0,1,0,1,0,,43.6,15,0,15.5,Easy,24.5,7,7,7,7,38.7,25.0,25.7,67.4,1.45
FIRM328,25/05/2025,Large,Oshodi/Isolo,32,274,251-500,>5B,Foreign-owned,1,0,0,0,1,8,4,2,2,4,1,1,3,5,12.0,0,0,0,0,0,,50.8,36,1,11.6,Difficult,38.3,5,5,3,4,40.0,25.0,33.31,72.6,0.77
FIRM329,06/08/2025,Large,Apapa,25,387,251-500,500M-5B,Joint venture,0,0,0,0,0,0,5,2,2,5,3,4,2,4,11.55,1,0,0,1,0,,68.4,8,1,7.3,Easy,13.8,6,5,4,5,40.0,25.0,37.76,72.3,2.49
FIRM331,27/07/2025,Large,Apapa,24,470,251-500,50M-500M,Local,0,0,0,0,0,0,2,1,4,2,3,1,2,4,12.0,8,0,1,1,1,Cold chain automation,62.6,43,1,6.8,Easy,25.6,5,6,5,6,40.0,25.0,45.0,71.7,1.58
FIRM332,19/05/2025,Large,Amuwo-Odofin,9,494,251-500,500M-5B,Local,0,0,0,0,0,0,4,5,1,1,2,2,3,2,12.0,4,1,1,1,0,,59.8,34,1,6.0,Difficult,0.0,2,5,2,2,40.0,25.0,44.98,81.7,0.59
FIRM333,26/04/2025,Large,Ikeja,14,896,500+,>5B,Local,0,0,0,0,0,0,4,3,5,1,4,3,4,2,12.0,4,1,1,1,0,,48.9,37,1,1.3,Easy,24.6,2,3,5,2,40.0,25.0,45.0,82.6,1.63
FIRM335,02/08/2025,Large,Ikeja,8,354,251-500,>5B,Joint venture,1,1,0,0,1,5,3,3,5,5,1,3,5,5,12.0,7,0,1,1,0,,61.7,18,1,10.1,Moderate,16.0,1,1,2,1,40.0,25.0,45.0,79.5,2.27
FIRM337,31/08/2025,Large,Ikorodu,16,725,500+,500M-5B,Local,0,0,0,0,0,0,4,2,3,4,2,4,2,4,12.0,1,1,0,0,0,,52.8,22,0,14.8,Easy,21.1,7,7,7,7,40.0,25.0,45.0,82.9,1.79
FIRM340,19/07/2025,Large,Ikeja,22,568,500+,500M-5B,Foreign-owned,1,0,1,1,1,8,2,4,1,1,2,1,2,2,12.0,6,1,1,1,0,,63.2,7,0,15.4,Difficult,21.5,3,1,1,1,40.0,25.0,41.43,76.5,0.73
FIRM343,26/05/2025,Large,Ikeja,9,371,251-500,500M-5B,Local,1,1,1,1,1,14,1,5,3,1,2,4,2,3,12.0,4,1,1,1,0,,46.1,18,0,2.3,Difficult,37.2,1,2,1,2,40.0,25.0,40.89,78.6,0.05
FIRM345,13/08/2025,Large,Apapa,23,367,251-500,>5B,Foreign-owned,1,1,0,1,1,3,5,5,5,4,3,3,4,5,12.0,1,1,0,1,0,,51.7,30,0,8.2,Difficult,15.3,6,2,3,5,40.0,25.0,35.23,74.9,0.73
FIRM346,30/04/2025,Large,Oshodi/Isolo,16,403,251-500,>5B,Foreign-owned,1,1,1,0,0,5,2,5,2,4,1,4,4,2,12.0,1,0,1,1,0,,37.2,40,1,10.3,Moderate,30.3,7,7,7,7,40.0,25.0,45.0,80.2,2.54
FIRM348,04/07/2025,Large,Ikeja,8,251,251-500,500M-5B,Local,1,1,1,1,1,10,1,4,3,5,4,5,5,4,12.0,9,1,1,1,0,,54.4,11,1,5.0,Moderate,21.2,3,3,5,4,40.0,25.0,45.0,89.3,1.33
FIRM357,15/05/2025,Large,Ikeja,8,284,251-500,50M-500M,Local,0,0,0,0,0,0,5,1,3,4,3,4,2,1,10.39,4,0,1,0,0,,40.4,20,1,10.4,Easy,16.4,1,1,2,4,40.0,25.0,41.01,75.0,0.75
FIRM365,19/05/2025,Large,Ibeju-Lekki,18,667,500+,500M-5B,Local,0,0,0,0,0,0,4,3,1,5,4,3,1,3,12.0,1,0,1,0,0,,34.9,22,0,19.5,Easy,16.2,6,6,7,7,40.0,25.0,45.0,79.8,1.92
FIRM366,22/05/2025,Large,Apapa,27,1355,500+,>5B,Joint venture,1,1,0,1,0,4,2,3,5,2,4,3,5,2,12.0,3,1,1,1,0,,59.7,7,1,1.0,Easy,15.5,7,6,7,7,40.0,25.0,41.97,76.8,1.31
FIRM367,24/06/2025,Large,Ibeju-Lekki,19,799,500+,50M-500M,Local,0,0,0,0,0,0,4,2,3,4,3,5,3,2,12.0,2,0,0,0,0,,58.8,31,1,8.7,Moderate,17.9,4,3,6,5,40.0,25.0,30.96,75.4,0.05
FIRM369,25/04/2025,Large,Ikeja,15,539,500+,>5B,Local,0,0,0,0,0,0,4,2,2,2,4,4,4,1,12.0,1,0,0,1,0,,69.1,15,0,17.7,Moderate,17.4,7,7,4,4,40.0,25.0,38.15,74.5,0.82
FIRM370,26/06/2025,Large,Ikeja,18,613,500+,>5B,Joint venture,1,0,0,1,0,11,2,1,5,4,1,5,3,3,8.86,1,1,0,0,0,,47.2,22,1,8.1,Moderate,26.4,7,6,7,7,40.0,25.0,41.09,80.4,1.83
FIRM374,17/07/2025,Large,Amuwo-Odofin,24,388,251-500,500M-5B,Local,1,1,0,1,0,11,5,4,1,2,4,3,2,1,12.0,2,1,1,1,0,,62.3,19,1,6.1,Easy,24.8,7,7,6,7,40.0,25.0,45.0,80.0,1.37
FIRM376,11/07/2025,Large,Apapa,17,348,251-500,50M-500M,Local,0,0,0,0,0,0,1,4,5,4,1,1,1,2,5.78,0,0,0,0,0,,64.9,15,0,13.4,Moderate,26.0,1,4,1,3,40.0,25.0,33.1,72.7,1.59
FIRM377,23/06/2025,Large,Ikorodu,18,251,251-500,500M-5B,Local,0,0,0,0,0,0,4,4,1,4,1,4,3,4,11.31,1,0,0,1,0,,63.0,24,1,6.5,Moderate,27.2,7,5,7,7,40.0,25.0,30.15,69.0,1.67
FIRM381,14/09/2025,Large,Ikeja,20,438,251-500,>5B,Foreign-owned,1,0,0,1,0,8,4,3,1,1,2,5,2,4,12.0,5,1,1,1,1,Waste-to-energy,40.1,21,1,12.6,Moderate,13.5,5,6,4,6,40.0,25.0,45.0,81.8,0.55
FIRM383,12/05/2025,Large,Oshodi/Isolo,21,633,500+,500M-5B,Joint venture,0,0,0,0,0,0,4,3,2,3,1,1,3,2,12.0,0,0,0,1,1,ERP upgrade,57.7,20,0,4.2,Difficult,26.7,4,5,5,6,33.77,24.61,17.06,62.4,0.32
FIRM384,16/07/2025,Large,Ikorodu,4,251,251-500,50M-500M,Joint venture,1,1,0,1,1,9,4,3,5,4,4,4,1,5,12.0,2,0,0,1,0,,61.6,15,1,5.8,Easy,12.1,1,2,1,2,40.0,25.0,40.62,75.2,1.31
FIRM386,27/04/2025,Large,Ikorodu,22,640,500+,500M-5B,Local,0,0,0,0,0,0,2,3,4,4,3,2,3,4,6.33,0,0,0,1,0,,55.1,28,0,17.9,Difficult,23.9,5,4,5,4,40.0,25.0,44.82,71.5,0.19
FIRM387,28/04/2025,Large,Apapa,20,251,251-500,>5B,Local,0,0,0,0,0,0,4,4,2,1,1,2,5,2,11.75,6,0,1,1,0,,17.4,44,1,6.6,Moderate,24.2,1,3,3,1,40.0,25.0,45.0,76.7,0.98
FIRM394,28/07/2025,Large,Amuwo-Odofin,18,469,251-500,50M-500M,Local,0,0,0,0,0,0,5,4,4,4,3,2,4,4,12.0,2,0,1,1,0,,57.9,26,1,6.6,Easy,0.0,3,3,3,5,40.0,25.0,45.0,79.6,1.61
FIRM395,26/07/2025,Large,Apapa,22,251,251-500,500M-5B,Foreign-owned,1,0,1,1,0,5,5,5,1,3,2,5,4,5,12.0,2,1,0,1,0,,94.8,36,0,17.8,Easy,24.9,5,7,7,7,40.0,25.0,44.35,72.1,0.51
FIRM396,21/09/2025,Large,Ibeju-Lekki,12,499,251-500,>5B,Local,1,1,1,1,0,6,5,5,3,4,4,4,3,2,12.0,5,0,1,1,0,,48.5,7,1,6.7,Moderate,19.3,1,1,1,1,40.0,25.0,45.0,75.5,1.45
FIRM398,25/07/2025,Large,Apapa,12,527,500+,>5B,Foreign-owned,1,0,0,0,1,7,1,5,3,5,1,1,1,1,12.0,1,0,0,1,0,,41.9,26,1,9.1,Difficult,16.4,4,4,5,4,40.0,25.0,31.42,70.0,0.28
FIRM399,05/10/2025,Large,Amuwo-Odofin,13,447,251-500,50M-500M,Foreign-owned,1,1,1,1,0,9,3,5,4,5,5,3,5,5,12.0,2,0,0,1,0,,61.7,11,1,3.5,Moderate,37.5,5,4,6,3,40.0,25.0,45.0,82.8,1.02
FIRM402,24/04/2025,Large,Ikorodu,7,323,251-500,50M-500M,Joint venture,1,1,0,1,0,8,1,3,5,2,1,3,5,1,12.0,3,1,0,0,0,,60.6,6,1,10.3,Easy,17.5,6,3,3,6,40.0,25.0,44.29,74.9,1.37
FIRM409,03/05/2025,Large,Ikorodu,11,251,251-500,50M-500M,Foreign-owned,1,0,1,1,1,10,2,1,1,3,2,4,3,3,12.0,1,1,1,0,0,,76.5,15,0,12.5,Difficult,15.9,7,5,5,7,40.0,25.0,37.74,78.3,1.62
FIRM410,23/04/2025,Large,Ikeja,24,959,500+,500M-5B,Foreign-owned,1,1,0,0,0,4,5,5,5,4,5,4,2,3,9.94,2,1,1,1,0,,32.4,38,1,3.3,Moderate,24.8,5,6,6,4,40.0,25.0,45.0,84.5,0.87
FIRM411,19/05/2025,Large,Apapa,13,251,251-500,>5B,Local,0,0,0,0,0,0,4,4,3,4,2,1,1,3,12.0,9,1,1,1,0,,68.2,35,0,13.6,Moderate,24.9,5,2,2,5,40.0,25.0,41.88,74.1,0.2
FIRM412,22/07/2025,Large,Ibeju-Lekki,19,283,251-500,500M-5B,Joint venture,1,1,0,1,1,13,5,3,5,1,2,1,2,1,12.0,9,0,0,1,0,,65.6,27,1,5.1,Moderate,22.6,3,2,4,4,40.0,25.0,45.0,76.7,1.61
FIRM414,10/08/2025,Large,Oshodi/Isolo,17,626,500+,50M-500M,Joint venture,1,0,1,0,1,12,2,1,3,2,3,4,3,3,12.0,4,1,0,0,0,,52.4,6,1,8.3,Easy,35.7,2,2,2,3,40.0,25.0,37.3,69.6,1.08
FIRM415,24/04/2025,Large,Amuwo-Odofin,27,345,251-500,500M-5B,Foreign-owned,1,1,1,1,1,7,4,4,4,1,1,3,3,2,12.0,4,0,1,1,0,,61.1,22,0,14.7,Moderate,29.3,3,2,3,2,40.0,25.0,37.25,62.1,0.32
FIRM419,03/10/2025,Large,Amuwo-Odofin,13,263,251-500,50M-500M,Local,0,0,0,0,0,0,2,3,1,3,3,3,5,2,12.0,5,0,1,1,0,,73.5,28,0,16.2,Moderate,0.0,6,5,7,6,40.0,25.0,32.05,69.3,1.65
FIRM420,14/09/2025,Large,Amuwo-Odofin,32,1169,500+,500M-5B,Joint venture,1,0,1,0,1,4,3,1,5,3,1,4,3,5,7.72,2,0,1,1,0,,70.7,26,1,7.5,Difficult,18.7,4,5,2,5,40.0,25.0,45.0,81.8,0.96
FIRM421,08/06/2025,Large,Ikorodu,24,251,251-500,50M-500M,Local,0,0,0,0,0,0,2,2,3,3,5,2,2,1,2.46,3,1,1,1,0,,34.4,2,0,9.7,Moderate,12.4,2,3,5,7,40.0,25.0,23.77,72.3,0.22
FIRM423,29/04/2025,Large,Ikeja,23,549,500+,500M-5B,Joint venture,1,0,1,0,1,3,5,5,2,5,2,2,1,5,8.51,1,0,1,1,0,,69.8,13,0,15.8,Moderate,28.8,5,5,2,1,40.0,25.0,35.88,71.2,1.89
FIRM424,16/05/2025,Large,Oshodi/Isolo,26,492,251-500,>5B,Local,0,0,0,0,0,0,2,3,1,2,1,3,5,3,9.06,0,0,1,1,0,,53.8,23,1,2.6,Moderate,0.0,7,4,6,2,40.0,25.0,45.0,76.0,1.96
FIRM426,08/05/2025,Large,Oshodi/Isolo,5,375,251-500,500M-5B,Joint venture,1,1,1,0,0,5,3,5,4,2,5,2,4,3,12.0,1,0,1,1,0,,56.3,30,0,17.3,Difficult,49.5,7,2,5,6,40.0,25.0,45.0,79.7,0.83
FIRM428,08/05/2025,Large,Ikorodu,16,372,251-500,50M-500M,Joint venture,1,0,0,0,1,13,1,1,4,2,4,4,1,1,12.0,2,1,1,1,0,,56.3,2,1,5.6,Difficult,29.3,2,4,3,3,40.0,25.0,42.19,82.3,1.54
FIRM432,18/07/2025,Large,Amuwo-Odofin,7,251,251-500,500M-5B,Local,0,0,0,0,0,0,2,2,4,2,1,1,1,2,5.13,0,0,0,1,0,,52.3,22,0,13.4,Moderate,19.5,2,2,2,1,40.0,25.0,32.91,79.7,0.53
