Mix_ID,Temperature_C,Data_Type,Property_Type,Total_Porosity_Mean,Total_Porosity_Std,Effective_Porosity_Mean,Effective_Porosity_Std,Connectivity_Factor,Rubber_Content_Percent,Particle_Size
R15S,800,Validation,Transport,0.2055,0.0308,0.1849,0.0333,0.9,15.0,small
R20S,20,Calibration,Transport,0.1308,0.0196,0.0904,0.0163,0.691,20.0,small
R20S,30,Calibration,Transport,0.1308,0.0196,0.091,0.0164,0.696,20.0,small
R20S,40,Calibration,Transport,0.1309,0.0196,0.0917,0.0165,0.7,20.0,small
R20S,50,Calibration,Transport,0.131,0.0197,0.0923,0.0166,0.704,20.0,small
R20S,60,Calibration,Transport,0.1312,0.0197,0.093,0.0167,0.709,20.0,small
R20S,70,Validation,Transport,0.1313,0.0197,0.0937,0.0169,0.713,20.0,small
R20S,80,Validation,Transport,0.1315,0.0197,0.0944,0.017,0.718,20.0,small
R20S,90,Calibration,Transport,0.1317,0.0198,0.0951,0.0171,0.722,20.0,small
R20S,100,Calibration,Transport,0.1319,0.0198,0.0958,0.0172,0.727,20.0,small
R20S,110,Validation,Transport,0.1395,0.0209,0.102,0.0184,0.731,20.0,small
R20S,120,Validation,Transport,0.1426,0.0214,0.1049,0.0189,0.735,20.0,small
R20S,130,Calibration,Transport,0.1446,0.0217,0.107,0.0193,0.74,20.0,small
R20S,140,Calibration,Transport,0.1461,0.0219,0.1088,0.0196,0.744,20.0,small
R20S,150,Calibration,Transport,0.1474,0.0221,0.1104,0.0199,0.749,20.0,small
R20S,160,Calibration,Transport,0.1486,0.0223,0.1119,0.0201,0.753,20.0,small
R20S,170,Validation,Transport,0.1496,0.0224,0.1134,0.0204,0.758,20.0,small
R20S,180,Validation,Transport,0.1506,0.0226,0.1148,0.0207,0.762,20.0,small
R20S,190,Validation,Transport,0.1515,0.0227,0.1161,0.0209,0.766,20.0,small
R20S,200,Calibration,Transport,0.1524,0.0229,0.1175,0.0212,0.771,20.0,small
R20S,210,Calibration,Transport,0.1533,0.023,0.1188,0.0214,0.775,20.0,small
R20S,220,Validation,Transport,0.1541,0.0231,0.1202,0.0216,0.78,20.0,small
R20S,230,Validation,Transport,0.1549,0.0232,0.1215,0.0219,0.784,20.0,small
R20S,240,Calibration,Transport,0.1557,0.0234,0.1228,0.0221,0.789,20.0,small
R20S,250,Validation,Transport,0.1565,0.0235,0.1241,0.0223,0.793,20.0,small
R20S,260,Validation,Transport,0.1572,0.0236,0.1254,0.0226,0.797,20.0,small
R20S,270,Calibration,Transport,0.158,0.0237,0.1267,0.0228,0.802,20.0,small
R20S,280,Calibration,Transport,0.1587,0.0238,0.128,0.023,0.806,20.0,small
R20S,290,Calibration,Transport,0.1594,0.0239,0.1293,0.0233,0.811,20.0,small
R20S,300,Calibration,Transport,0.1602,0.024,0.1306,0.0235,0.815,20.0,small
R20S,310,Calibration,Transport,0.1609,0.0241,0.1319,0.0237,0.82,20.0,small
R20S,320,Validation,Transport,0.1616,0.0242,0.1332,0.024,0.824,20.0,small
R20S,330,Calibration,Transport,0.1623,0.0243,0.1345,0.0242,0.828,20.0,small
R20S,340,Calibration,Transport,0.163,0.0245,0.1358,0.0244,0.833,20.0,small
R20S,350,Calibration,Transport,0.1637,0.0246,0.1371,0.0247,0.837,20.0,small
R20S,360,Calibration,Transport,0.1644,0.0247,0.1384,0.0249,0.842,20.0,small
R20S,370,Validation,Transport,0.1651,0.0248,0.1397,0.0251,0.846,20.0,small
R20S,380,Calibration,Transport,0.1658,0.0249,0.141,0.0254,0.851,20.0,small
R20S,390,Calibration,Transport,0.1665,0.025,0.1424,0.0256,0.855,20.0,small
R20S,400,Validation,Transport,0.1672,0.0251,0.1437,0.0259,0.859,20.0,small
R20S,410,Calibration,Transport,0.1713,0.0257,0.148,0.0266,0.864,20.0,small
R20S,420,Calibration,Transport,0.1735,0.026,0.1506,0.0271,0.868,20.0,small
R20S,430,Calibration,Transport,0.1753,0.0263,0.153,0.0275,0.873,20.0,small
R20S,440,Calibration,Transport,0.1769,0.0265,0.1552,0.0279,0.877,20.0,small
R20S,450,Calibration,Transport,0.1784,0.0268,0.1573,0.0283,0.882,20.0,small
R20S,460,Calibration,Transport,0.1798,0.027,0.1593,0.0287,0.886,20.0,small
R20S,470,Calibration,Transport,0.1812,0.0272,0.1614,0.029,0.89,20.0,small
R20S,480,Validation,Transport,0.1825,0.0274,0.1634,0.0294,0.895,20.0,small
R20S,490,Calibration,Transport,0.1838,0.0276,0.1653,0.0298,0.899,20.0,small
R20S,500,Calibration,Transport,0.1851,0.0278,0.1666,0.03,0.9,20.0,small
R20S,510,Calibration,Transport,0.1863,0.0279,0.1677,0.0302,0.9,20.0,small
R20S,520,Calibration,Transport,0.1875,0.0281,0.1688,0.0304,0.9,20.0,small
R20S,530,Calibration,Transport,0.1887,0.0283,0.1699,0.0306,0.9,20.0,small
R20S,540,Calibration,Transport,0.1899,0.0285,0.1709,0.0308,0.9,20.0,small
R20S,550,Validation,Transport,0.1911,0.0287,0.172,0.031,0.9,20.0,small
R20S,560,Calibration,Transport,0.1922,0.0288,0.173,0.0311,0.9,20.0,small
R20S,570,Calibration,Transport,0.1934,0.029,0.174,0.0313,0.9,20.0,small
R20S,580,Calibration,Transport,0.1945,0.0292,0.175,0.0315,0.9,20.0,small
R20S,590,Validation,Transport,0.1956,0.0293,0.176,0.0317,0.9,20.0,small
R20S,600,Calibration,Transport,0.1967,0.0295,0.177,0.0319,0.9,20.0,small
R20S,610,Calibration,Transport,0.1978,0.0297,0.178,0.032,0.9,20.0,small
R20S,620,Calibration,Transport,0.1989,0.0298,0.179,0.0322,0.9,20.0,small
R20S,630,Validation,Transport,0.2,0.03,0.18,0.0324,0.9,20.0,small
R20S,640,Calibration,Transport,0.2011,0.0302,0.181,0.0326,0.9,20.0,small
R20S,650,Validation,Transport,0.2022,0.0303,0.182,0.0328,0.9,20.0,small
R20S,660,Calibration,Transport,0.2032,0.0305,0.1829,0.0329,0.9,20.0,small
R20S,670,Calibration,Transport,0.2043,0.0306,0.1839,0.0331,0.9,20.0,small
R20S,680,Calibration,Transport,0.2054,0.0308,0.1848,0.0333,0.9,20.0,small
R20S,690,Calibration,Transport,0.2064,0.031,0.1858,0.0334,0.9,20.0,small
R20S,700,Calibration,Transport,0.2075,0.0311,0.1868,0.0336,0.9,20.0,small
R20S,710,Calibration,Transport,0.2086,0.0313,0.1877,0.0338,0.9,20.0,small
R20S,720,Validation,Transport,0.2096,0.0314,0.1887,0.034,0.9,20.0,small
R20S,730,Calibration,Transport,0.2107,0.0316,0.1896,0.0341,0.9,20.0,small
R20S,740,Calibration,Transport,0.2117,0.0318,0.1906,0.0343,0.9,20.0,small
R20S,750,Calibration,Transport,0.2128,0.0319,0.1915,0.0345,0.9,20.0,small
R20S,760,Calibration,Transport,0.2138,0.0321,0.1924,0.0346,0.9,20.0,small
R20S,770,Calibration,Transport,0.2149,0.0322,0.1934,0.0348,0.9,20.0,small
R20S,780,Calibration,Transport,0.2159,0.0324,0.1943,0.035,0.9,20.0,small
R20S,790,Calibration,Transport,0.217,0.0325,0.1953,0.0351,0.9,20.0,small
R20S,800,Validation,Transport,0.218,0.0327,0.1962,0.0353,0.9,20.0,small
R10L,20,Validation,Transport,0.1265,0.019,0.0862,0.0155,0.682,10.0,large
R10L,30,Calibration,Transport,0.1265,0.019,0.0868,0.0156,0.686,10.0,large
R10L,40,Calibration,Transport,0.1265,0.019,0.0874,0.0157,0.691,10.0,large
R10L,50,Calibration,Transport,0.1266,0.019,0.088,0.0158,0.695,10.0,large
R10L,60,Calibration,Transport,0.1267,0.019,0.0886,0.0159,0.699,10.0,large
R10L,70,Calibration,Transport,0.1267,0.019,0.0892,0.0161,0.704,10.0,large
R10L,80,Calibration,Transport,0.1268,0.019,0.0898,0.0162,0.708,10.0,large
R10L,90,Validation,Transport,0.1269,0.019,0.0904,0.0163,0.712,10.0,large
R10L,100,Calibration,Transport,0.127,0.019,0.091,0.0164,0.717,10.0,large
R10L,110,Calibration,Transport,0.1343,0.0201,0.0969,0.0174,0.721,10.0,large
R10L,120,Calibration,Transport,0.1372,0.0206,0.0996,0.0179,0.726,10.0,large
R10L,130,Calibration,Transport,0.139,0.0208,0.1014,0.0183,0.73,10.0,large
R10L,140,Calibration,Transport,0.1403,0.0211,0.103,0.0185,0.734,10.0,large
R10L,150,Calibration,Transport,0.1415,0.0212,0.1045,0.0188,0.739,10.0,large
R10L,160,Calibration,Transport,0.1425,0.0214,0.1058,0.0191,0.743,10.0,large
R10L,170,Validation,Transport,0.1433,0.0215,0.1071,0.0193,0.747,10.0,large
R10L,180,Calibration,Transport,0.1442,0.0216,0.1084,0.0195,0.752,10.0,large
R10L,190,Calibration,Transport,0.1449,0.0217,0.1096,0.0197,0.756,10.0,large
R10L,200,Calibration,Transport,0.1456,0.0218,0.1108,0.0199,0.761,10.0,large
R10L,210,Calibration,Transport,0.1463,0.0219,0.1119,0.0201,0.765,10.0,large
R10L,220,Calibration,Transport,0.147,0.022,0.1131,0.0203,0.769,10.0,large
R10L,230,Validation,Transport,0.1476,0.0221,0.1142,0.0206,0.774,10.0,large
R10L,240,Validation,Transport,0.1482,0.0222,0.1153,0.0208,0.778,10.0,large
R10L,250,Validation,Transport,0.1488,0.0223,0.1164,0.021,0.782,10.0,large
R10L,260,Calibration,Transport,0.1493,0.0224,0.1175,0.0211,0.787,10.0,large
R10L,270,Calibration,Transport,0.1499,0.0225,0.1186,0.0213,0.791,10.0,large
R10L,280,Calibration,Transport,0.1504,0.0226,0.1197,0.0215,0.795,10.0,large
R10L,290,Calibration,Transport,0.151,0.0226,0.1207,0.0217,0.8,10.0,large
R10L,300,Validation,Transport,0.1515,0.0227,0.1218,0.0219,0.804,10.0,large
R10L,310,Calibration,Transport,0.152,0.0228,0.1229,0.0221,0.809,10.0,large
R10L,320,Calibration,Transport,0.1525,0.0229,0.124,0.0223,0.813,10.0,large
R10L,330,Calibration,Transport,0.153,0.0229,0.125,0.0225,0.817,10.0,large
R10L,340,Calibration,Transport,0.1535,0.023,0.1261,0.0227,0.822,10.0,large
R10L,350,Calibration,Transport,0.154,0.0231,0.1272,0.0229,0.826,10.0,large
R10L,360,Calibration,Transport,0.1544,0.0232,0.1283,0.0231,0.83,10.0,large
R10L,370,Calibration,Transport,0.1549,0.0232,0.1293,0.0233,0.835,10.0,large
R10L,380,Validation,Transport,0.1554,0.0233,0.1304,0.0235,0.839,10.0,large
R10L,390,Validation,Transport,0.1558,0.0234,0.1315,0.0237,0.844,10.0,large
R10L,400,Calibration,Transport,0.1563,0.0234,0.1325,0.0239,0.848,10.0,large
R10L,410,Calibration,Transport,0.1601,0.024,0.1365,0.0246,0.852,10.0,large
R10L,420,Calibration,Transport,0.1619,0.0243,0.1387,0.025,0.857,10.0,large
R10L,430,Calibration,Transport,0.1635,0.0245,0.1407,0.0253,0.861,10.0,large
R10L,440,Calibration,Transport,0.1648,0.0247,0.1426,0.0257,0.865,10.0,large
R10L,450,Calibration,Transport,0.166,0.0249,0.1444,0.026,0.87,10.0,large
R10L,460,Calibration,Transport,0.1672,0.0251,0.1462,0.0263,0.874,10.0,large
R10L,470,Calibration,Transport,0.1683,0.0252,0.1478,0.0266,0.879,10.0,large
R10L,480,Calibration,Transport,0.1693,0.0254,0.1495,0.0269,0.883,10.0,large
R10L,490,Calibration,Transport,0.1704,0.0256,0.1512,0.0272,0.887,10.0,large
R10L,500,Validation,Transport,0.1713,0.0257,0.1528,0.0275,0.892,10.0,large
R10L,510,Validation,Transport,0.1723,0.0258,0.1544,0.0278,0.896,10.0,large
R10L,520,Calibration,Transport,0.1732,0.026,0.1559,0.0281,0.9,10.0,large
R10L,530,Validation,Transport,0.1741,0.0261,0.1567,0.0282,0.9,10.0,large
R10L,540,Calibration,Transport,0.175,0.0263,0.1575,0.0284,0.9,10.0,large
R10L,550,Validation,Transport,0.1759,0.0264,0.1583,0.0285,0.9,10.0,large
R10L,560,Validation,Transport,0.1768,0.0265,0.1591,0.0286,0.9,10.0,large
R10L,570,Calibration,Transport,0.1776,0.0266,0.1599,0.0288,0.9,10.0,large
R10L,580,Calibration,Transport,0.1784,0.0268,0.1606,0.0289,0.9,10.0,large
R10L,590,Calibration,Transport,0.1793,0.0269,0.1613,0.029,0.9,10.0,large
R10L,600,Calibration,Transport,0.1801,0.027,0.1621,0.0292,0.9,10.0,large
R10L,610,Calibration,Transport,0.1809,0.0271,0.1628,0.0293,0.9,10.0,large
R10L,620,Calibration,Transport,0.1817,0.0273,0.1635,0.0294,0.9,10.0,large
R10L,630,Calibration,Transport,0.1825,0.0274,0.1642,0.0296,0.9,10.0,large
R10L,640,Validation,Transport,0.1832,0.0275,0.1649,0.0297,0.9,10.0,large
R10L,650,Validation,Transport,0.184,0.0276,0.1656,0.0298,0.9,10.0,large
R10L,660,Calibration,Transport,0.1848,0.0277,0.1663,0.0299,0.9,10.0,large
R10L,670,Calibration,Transport,0.1855,0.0278,0.167,0.0301,0.9,10.0,large
R10L,680,Calibration,Transport,0.1863,0.0279,0.1677,0.0302,0.9,10.0,large
R10L,690,Calibration,Transport,0.187,0.0281,0.1683,0.0303,0.9,10.0,large
R10L,700,Validation,Transport,0.1878,0.0282,0.169,0.0304,0.9,10.0,large
R10L,710,Calibration,Transport,0.1885,0.0283,0.1697,0.0305,0.9,10.0,large
R10L,720,Calibration,Transport,0.1893,0.0284,0.1703,0.0307,0.9,10.0,large
R10L,730,Calibration,Transport,0.19,0.0285,0.171,0.0308,0.9,10.0,large
R10L,740,Calibration,Transport,0.1907,0.0286,0.1716,0.0309,0.9,10.0,large
R10L,750,Calibration,Transport,0.1914,0.0287,0.1723,0.031,0.9,10.0,large
R10L,760,Validation,Transport,0.1922,0.0288,0.1729,0.0311,0.9,10.0,large
R10L,770,Calibration,Transport,0.1929,0.0289,0.1736,0.0312,0.9,10.0,large
R10L,780,Calibration,Transport,0.1936,0.029,0.1742,0.0314,0.9,10.0,large
R10L,790,Calibration,Transport,0.1943,0.0291,0.1749,0.0315,0.9,10.0,large
R10L,800,Validation,Transport,0.195,0.0292,0.1755,0.0316,0.9,10.0,large
