Mix_ID,Temperature_C,Data_Type,Property_Type,Intrinsic_Permeability_Mean_m2,Intrinsic_Permeability_Std_m2,Relative_Permeability,Rubber_Content_Percent,Particle_Size
R20S,470,Calibration,Transport,8.19e-18,2.05e-18,8.19,20.0,small
R20S,480,Calibration,Transport,8.39e-18,2.10e-18,8.39,20.0,small
R20S,490,Calibration,Transport,8.58e-18,2.15e-18,8.58,20.0,small
R20S,500,Validation,Transport,8.78e-18,2.20e-18,8.78,20.0,small
R20S,510,Calibration,Transport,8.98e-18,2.25e-18,8.98,20.0,small
R20S,520,Validation,Transport,9.19e-18,2.30e-18,9.19,20.0,small
R20S,530,Validation,Transport,9.40e-18,2.35e-18,9.4,20.0,small
R20S,540,Calibration,Transport,9.61e-18,2.40e-18,9.61,20.0,small
R20S,550,Calibration,Transport,9.82e-18,2.46e-18,9.82,20.0,small
R20S,560,Calibration,Transport,1.00e-17,2.51e-18,10.04,20.0,small
R20S,570,Calibration,Transport,1.03e-17,2.57e-18,10.27,20.0,small
R20S,580,Calibration,Transport,1.05e-17,2.62e-18,10.49,20.0,small
R20S,590,Calibration,Transport,1.07e-17,2.68e-18,10.72,20.0,small
R20S,600,Calibration,Transport,1.10e-17,2.74e-18,10.95,20.0,small
R20S,610,Calibration,Transport,1.12e-17,2.80e-18,11.19,20.0,small
R20S,620,Validation,Transport,1.14e-17,2.86e-18,11.43,20.0,small
R20S,630,Calibration,Transport,1.17e-17,2.92e-18,11.68,20.0,small
R20S,640,Validation,Transport,1.19e-17,2.98e-18,11.93,20.0,small
R20S,650,Calibration,Transport,1.22e-17,3.05e-18,12.18,20.0,small
R20S,660,Calibration,Transport,1.24e-17,3.11e-18,12.44,20.0,small
R20S,670,Calibration,Transport,1.27e-17,3.17e-18,12.7,20.0,small
R20S,680,Calibration,Transport,1.30e-17,3.24e-18,12.97,20.0,small
R20S,690,Validation,Transport,1.32e-17,3.31e-18,13.24,20.0,small
R20S,700,Validation,Transport,1.35e-17,3.38e-18,13.51,20.0,small
R20S,710,Validation,Transport,1.38e-17,3.45e-18,13.79,20.0,small
R20S,720,Calibration,Transport,1.41e-17,3.52e-18,14.07,20.0,small
R20S,730,Calibration,Transport,1.44e-17,3.59e-18,14.36,20.0,small
R20S,740,Validation,Transport,1.47e-17,3.66e-18,14.65,20.0,small
R20S,750,Validation,Transport,1.50e-17,3.74e-18,14.95,20.0,small
R20S,760,Validation,Transport,1.53e-17,3.81e-18,15.25,20.0,small
R20S,770,Calibration,Transport,1.56e-17,3.89e-18,15.56,20.0,small
R20S,780,Calibration,Transport,1.59e-17,3.97e-18,15.87,20.0,small
R20S,790,Validation,Transport,1.62e-17,4.05e-18,16.19,20.0,small
R20S,800,Calibration,Transport,1.65e-17,4.13e-18,16.51,20.0,small
R10L,20,Validation,Transport,1.60e-18,4.01e-19,1.6,10.0,large
R10L,30,Validation,Transport,1.65e-18,4.14e-19,1.65,10.0,large
R10L,40,Calibration,Transport,1.71e-18,4.27e-19,1.71,10.0,large
R10L,50,Validation,Transport,1.76e-18,4.39e-19,1.76,10.0,large
R10L,60,Validation,Transport,1.81e-18,4.52e-19,1.81,10.0,large
R10L,70,Calibration,Transport,1.86e-18,4.65e-19,1.86,10.0,large
R10L,80,Validation,Transport,1.91e-18,4.78e-19,1.91,10.0,large
R10L,90,Calibration,Transport,1.97e-18,4.92e-19,1.97,10.0,large
R10L,100,Validation,Transport,2.02e-18,5.05e-19,2.02,10.0,large
R10L,110,Calibration,Transport,2.27e-18,5.67e-19,2.27,10.0,large
R10L,120,Validation,Transport,2.41e-18,6.03e-19,2.41,10.0,large
R10L,130,Calibration,Transport,2.54e-18,6.34e-19,2.54,10.0,large
R10L,140,Calibration,Transport,2.66e-18,6.64e-19,2.66,10.0,large
R10L,150,Validation,Transport,2.77e-18,6.93e-19,2.77,10.0,large
R10L,160,Calibration,Transport,2.89e-18,7.21e-19,2.89,10.0,large
R10L,170,Calibration,Transport,3.00e-18,7.49e-19,3.0,10.0,large
R10L,180,Validation,Transport,3.11e-18,7.77e-19,3.11,10.0,large
R10L,190,Validation,Transport,3.22e-18,8.04e-19,3.22,10.0,large
R10L,200,Calibration,Transport,3.33e-18,8.32e-19,3.33,10.0,large
R10L,210,Calibration,Transport,3.44e-18,8.59e-19,3.44,10.0,large
R10L,220,Calibration,Transport,3.55e-18,8.87e-19,3.55,10.0,large
R10L,230,Calibration,Transport,3.66e-18,9.15e-19,3.66,10.0,large
R10L,240,Calibration,Transport,3.77e-18,9.43e-19,3.77,10.0,large
R10L,250,Calibration,Transport,3.88e-18,9.71e-19,3.88,10.0,large
R10L,260,Validation,Transport,4.00e-18,9.99e-19,4.0,10.0,large
R10L,270,Validation,Transport,4.11e-18,1.03e-18,4.11,10.0,large
R10L,280,Validation,Transport,4.22e-18,1.06e-18,4.22,10.0,large
R10L,290,Calibration,Transport,4.34e-18,1.08e-18,4.34,10.0,large
R10L,300,Calibration,Transport,4.45e-18,1.11e-18,4.45,10.0,large
R10L,310,Calibration,Transport,4.57e-18,1.14e-18,4.57,10.0,large
R10L,320,Calibration,Transport,4.69e-18,1.17e-18,4.69,10.0,large
R10L,330,Calibration,Transport,4.81e-18,1.20e-18,4.81,10.0,large
R10L,340,Validation,Transport,4.93e-18,1.23e-18,4.93,10.0,large
R10L,350,Calibration,Transport,5.05e-18,1.26e-18,5.05,10.0,large
R10L,360,Calibration,Transport,5.17e-18,1.29e-18,5.17,10.0,large
R10L,370,Calibration,Transport,5.30e-18,1.32e-18,5.3,10.0,large
R10L,380,Validation,Transport,5.42e-18,1.36e-18,5.42,10.0,large
R10L,390,Calibration,Transport,5.55e-18,1.39e-18,5.55,10.0,large
R10L,400,Calibration,Transport,5.68e-18,1.42e-18,5.68,10.0,large
R10L,410,Calibration,Transport,5.80e-18,1.45e-18,5.8,10.0,large
R10L,420,Validation,Transport,5.93e-18,1.48e-18,5.93,10.0,large
R10L,430,Calibration,Transport,6.07e-18,1.52e-18,6.07,10.0,large
R10L,440,Validation,Transport,6.20e-18,1.55e-18,6.2,10.0,large
R10L,450,Validation,Transport,6.33e-18,1.58e-18,6.33,10.0,large
R10L,460,Calibration,Transport,6.47e-18,1.62e-18,6.47,10.0,large
R10L,470,Calibration,Transport,6.61e-18,1.65e-18,6.61,10.0,large
R10L,480,Validation,Transport,6.74e-18,1.69e-18,6.74,10.0,large
R10L,490,Calibration,Transport,6.88e-18,1.72e-18,6.88,10.0,large
R10L,500,Calibration,Transport,7.03e-18,1.76e-18,7.03,10.0,large
R10L,510,Validation,Transport,7.17e-18,1.79e-18,7.17,10.0,large
R10L,520,Validation,Transport,7.31e-18,1.83e-18,7.31,10.0,large
R10L,530,Validation,Transport,7.46e-18,1.86e-18,7.46,10.0,large
R10L,540,Validation,Transport,7.61e-18,1.90e-18,7.61,10.0,large
R10L,550,Calibration,Transport,7.76e-18,1.94e-18,7.76,10.0,large
R10L,560,Calibration,Transport,7.91e-18,1.98e-18,7.91,10.0,large
R10L,570,Validation,Transport,8.06e-18,2.02e-18,8.06,10.0,large
R10L,580,Calibration,Transport,8.22e-18,2.05e-18,8.22,10.0,large
R10L,590,Calibration,Transport,8.37e-18,2.09e-18,8.37,10.0,large
R10L,600,Validation,Transport,8.53e-18,2.13e-18,8.53,10.0,large
R10L,610,Calibration,Transport,8.69e-18,2.17e-18,8.69,10.0,large
R10L,620,Calibration,Transport,8.85e-18,2.21e-18,8.85,10.0,large
R10L,630,Calibration,Transport,9.02e-18,2.25e-18,9.02,10.0,large
R10L,640,Calibration,Transport,9.18e-18,2.30e-18,9.18,10.0,large
R10L,650,Calibration,Transport,9.35e-18,2.34e-18,9.35,10.0,large
R10L,660,Calibration,Transport,9.52e-18,2.38e-18,9.52,10.0,large
R10L,670,Calibration,Transport,9.69e-18,2.42e-18,9.69,10.0,large
R10L,680,Calibration,Transport,9.87e-18,2.47e-18,9.87,10.0,large
R10L,690,Validation,Transport,1.00e-17,2.51e-18,10.04,10.0,large
R10L,700,Calibration,Transport,1.02e-17,2.56e-18,10.22,10.0,large
R10L,710,Validation,Transport,1.04e-17,2.60e-18,10.4,10.0,large
R10L,720,Calibration,Transport,1.06e-17,2.65e-18,10.58,10.0,large
R10L,730,Calibration,Transport,1.08e-17,2.69e-18,10.77,10.0,large
R10L,740,Validation,Transport,1.10e-17,2.74e-18,10.95,10.0,large
R10L,750,Calibration,Transport,1.11e-17,2.79e-18,11.14,10.0,large
R10L,760,Validation,Transport,1.13e-17,2.83e-18,11.33,10.0,large
R10L,770,Calibration,Transport,1.15e-17,2.88e-18,11.53,10.0,large
R10L,780,Validation,Transport,1.17e-17,2.93e-18,11.72,10.0,large
R10L,790,Calibration,Transport,1.19e-17,2.98e-18,11.92,10.0,large
R10L,800,Validation,Transport,1.21e-17,3.03e-18,12.12,10.0,large
