x_mm,y_mm,z_mm,method,sigma_xx_MPa,sigma_yy_MPa,sigma_xy_MPa,uncertainty_MPa
7.816,1.019,0.0,XRD,-40.53,-61.61,0.0,4.34
7.816,1.427,0.0,XRD,-57.2,-72.24,-1.16,5.47
7.816,1.835,0.0,XRD,-61.24,-65.79,1.34,5.45
7.816,2.242,0.0,XRD,-78.26,-98.23,-2.55,5.91
7.816,2.65,0.0,XRD,-104.49,-99.56,-4.93,4.84
7.816,3.058,0.0,XRD,-115.38,-108.59,-4.69,4.8
7.816,3.466,0.0,XRD,-138.99,-118.75,-2.35,6.4
7.816,3.873,0.0,XRD,-139.56,-126.08,-5.16,3.4
7.816,4.281,0.0,XRD,-152.52,-125.39,3.53,4.18
7.816,4.689,0.0,XRD,-186.11,-136.28,-4.0,4.29
7.816,5.096,0.0,XRD,-181.18,-133.83,-5.36,3.52
7.816,5.504,0.0,XRD,-171.41,-126.98,-10.95,6.07
7.816,5.912,0.0,XRD,-152.47,-130.58,4.31,6.19
7.816,6.32,0.0,XRD,-146.67,-124.53,7.11,4.39
7.816,6.727,0.0,XRD,-128.57,-133.22,-0.64,6.15
7.816,7.135,0.0,XRD,-105.79,-106.85,0.1,4.68
7.816,7.543,0.0,XRD,-93.37,-105.42,2.86,6.17
7.816,7.951,0.0,XRD,-69.54,-100.23,-0.42,8.05
7.816,8.358,0.0,XRD,-66.88,-70.6,1.12,5.45
7.816,8.766,0.0,XRD,-48.94,-60.72,1.04,6.65
7.816,9.174,0.0,XRD,-53.46,-56.52,0.0,5.99
7.816,9.581,0.0,XRD,-50.61,-33.62,0.0,3.08
7.816,9.989,0.0,XRD,-16.67,-19.32,-0.0,3.21
8.29,0.204,0.0,XRD,-20.33,-33.57,-0.0,3.93
8.29,0.612,0.0,XRD,-33.66,-46.64,0.0,4.54
8.29,1.019,0.0,XRD,-29.78,-37.08,-0.0,4.04
8.29,1.427,0.0,XRD,-60.84,-52.61,0.26,3.24
8.29,1.835,0.0,XRD,-69.62,-71.17,-1.59,4.51
8.29,2.242,0.0,XRD,-87.49,-88.13,-0.46,2.69
8.29,2.65,0.0,XRD,-81.48,-91.8,-3.59,4.75
8.29,3.058,0.0,XRD,-101.63,-92.76,0.83,4.86
8.29,3.466,0.0,XRD,-114.85,-102.19,-1.83,4.87
8.29,3.873,0.0,XRD,-132.53,-107.15,-5.63,4.53
8.29,4.281,0.0,XRD,-136.37,-131.33,-1.48,4.28
8.29,4.689,0.0,XRD,-156.14,-125.73,4.89,3.17
8.29,5.096,0.0,XRD,-169.75,-113.27,-2.76,3.81
8.29,5.504,0.0,XRD,-162.44,-118.29,4.89,5.15
8.29,5.912,0.0,XRD,-156.76,-107.39,3.02,6.88
8.29,6.32,0.0,XRD,-150.46,-110.89,2.2,5.39
8.29,6.727,0.0,XRD,-122.03,-119.66,-1.46,5.64
8.29,7.135,0.0,XRD,-90.85,-95.78,-4.75,7.37
8.29,7.543,0.0,XRD,-91.23,-95.01,1.01,5.96
8.29,7.951,0.0,XRD,-63.78,-79.03,0.34,6.85
8.29,8.358,0.0,XRD,-64.86,-59.85,0.99,6.05
8.29,8.766,0.0,XRD,-56.95,-67.45,-0.16,2.18
8.29,9.174,0.0,XRD,-35.9,-50.81,-0.0,2.97
8.29,9.581,0.0,XRD,-28.51,-29.06,0.0,4.63
8.29,9.989,0.0,XRD,-28.01,-20.83,-0.0,5.24
8.764,0.204,0.0,XRD,-14.57,-23.17,0.0,4.6
8.764,0.612,0.0,XRD,-37.11,-43.12,-0.0,3.4
8.764,1.019,0.0,XRD,-37.9,-41.61,-0.0,4.12
8.764,1.427,0.0,XRD,-37.62,-47.63,-0.0,6.31
8.764,1.835,0.0,XRD,-43.44,-68.13,0.37,5.2
8.764,2.242,0.0,XRD,-65.34,-55.86,-0.22,3.63
8.764,2.65,0.0,XRD,-78.41,-78.65,0.75,6.37
8.764,3.058,0.0,XRD,-88.2,-74.38,-6.79,4.59
8.764,3.466,0.0,XRD,-109.58,-94.48,1.21,5.52
8.764,3.873,0.0,XRD,-109.05,-90.32,-6.79,4.59
8.764,4.281,0.0,XRD,-120.9,-107.22,5.24,5.62
8.764,4.689,0.0,XRD,-122.06,-104.21,-3.33,4.3
8.764,5.096,0.0,XRD,-155.72,-99.14,0.12,5.25
8.764,5.504,0.0,XRD,-133.17,-111.47,-1.81,6.43
8.764,5.912,0.0,XRD,-122.39,-106.82,0.0,2.59
8.764,6.32,0.0,XRD,-129.12,-103.88,-5.46,2.9
8.764,6.727,0.0,XRD,-100.48,-107.08,-2.74,5.22
8.764,7.135,0.0,XRD,-82.33,-87.53,-2.22,5.83
8.764,7.543,0.0,XRD,-87.02,-84.36,-0.19,4.08
8.764,7.951,0.0,XRD,-59.11,-59.97,-0.74,5.62
8.764,8.358,0.0,XRD,-65.54,-39.99,0.94,6.36
8.764,8.766,0.0,XRD,-43.5,-61.44,-0.0,4.82
8.764,9.174,0.0,XRD,-31.85,-40.11,-0.0,5.47
8.764,9.581,0.0,XRD,-34.14,-34.18,0.0,5.08
8.764,9.989,0.0,XRD,-28.46,-17.98,0.0,4.45
9.238,0.204,0.0,XRD,-8.18,0.32,-0.0,6.68
9.238,0.612,0.0,XRD,-27.39,-29.47,-0.0,3.27
9.238,1.019,0.0,XRD,-31.87,-45.82,-0.0,6.08
9.238,1.427,0.0,XRD,-25.32,-47.94,-0.0,4.65
9.238,1.835,0.0,XRD,-37.11,-50.88,0.0,3.63
9.238,2.242,0.0,XRD,-49.13,-53.43,-0.22,6.72
9.238,2.65,0.0,XRD,-62.49,-56.52,-0.35,2.29
9.238,3.058,0.0,XRD,-71.84,-76.45,-2.68,3.89
9.238,3.466,0.0,XRD,-96.84,-74.71,0.78,3.34
9.238,3.873,0.0,XRD,-100.3,-81.38,-4.46,4.84
9.238,4.281,0.0,XRD,-112.24,-82.29,-4.8,4.84
9.238,4.689,0.0,XRD,-111.51,-84.28,-1.2,3.86
9.238,5.096,0.0,XRD,-120.11,-88.92,0.15,4.75
9.238,5.504,0.0,XRD,-112.34,-80.38,-1.41,6.1
9.238,5.912,0.0,XRD,-94.44,-69.17,2.1,4.53
9.238,6.32,0.0,XRD,-115.52,-74.84,-1.99,6.1
9.238,6.727,0.0,XRD,-99.43,-77.55,2.45,4.59
9.238,7.135,0.0,XRD,-88.62,-55.81,0.78,4.2
9.238,7.543,0.0,XRD,-63.58,-67.91,1.01,2.73
9.238,7.951,0.0,XRD,-55.69,-61.22,0.51,5.27
9.238,8.358,0.0,XRD,-46.41,-45.95,-0.0,6.83
9.238,8.766,0.0,XRD,-22.57,-26.78,0.0,3.96
9.238,9.174,0.0,XRD,-31.9,-33.97,0.0,7.57
9.238,9.581,0.0,XRD,-22.38,-20.85,-0.0,4.5
9.238,9.989,0.0,XRD,-22.66,-26.75,-0.0,6.19
9.711,0.204,0.0,XRD,-34.74,-6.25,0.0,5.32
9.711,0.612,0.0,XRD,-22.89,-31.4,0.0,4.83
9.711,1.019,0.0,XRD,-17.78,-18.93,-0.0,6.2
9.711,1.427,0.0,XRD,-34.82,-37.02,0.0,6.62
9.711,1.835,0.0,XRD,-26.76,-46.22,0.0,4.53
9.711,2.242,0.0,XRD,-46.89,-39.25,-0.0,5.72
9.711,2.65,0.0,XRD,-56.69,-73.26,0.3,5.21
9.711,3.058,0.0,XRD,-58.9,-66.52,-0.28,2.96
9.711,3.466,0.0,XRD,-89.1,-72.89,0.63,5.94
9.711,3.873,0.0,XRD,-82.54,-76.03,0.51,6.25
9.711,4.281,0.0,XRD,-94.55,-57.37,4.35,4.88
9.711,4.689,0.0,XRD,-104.22,-75.0,-1.18,4.73
9.711,5.096,0.0,XRD,-87.84,-82.46,-4.93,4.81
9.711,5.504,0.0,XRD,-90.53,-93.23,1.75,6.33
9.711,5.912,0.0,XRD,-92.14,-74.23,-3.5,5.39
9.711,6.32,0.0,XRD,-73.83,-78.43,0.06,6.74
9.711,6.727,0.0,XRD,-67.99,-68.5,0.97,4.77
9.711,7.135,0.0,XRD,-52.31,-81.43,1.44,3.71
9.711,7.543,0.0,XRD,-58.1,-45.92,0.42,4.64
9.711,7.951,0.0,XRD,-39.29,-67.05,0.0,5.41
9.711,8.358,0.0,XRD,-45.9,-35.49,-0.0,5.83
9.711,8.766,0.0,XRD,-28.92,-20.23,0.0,4.87
9.711,9.174,0.0,XRD,-27.71,-19.35,-0.0,5.53
9.711,9.581,0.0,XRD,-26.08,-15.75,0.0,4.87
9.711,9.989,0.0,XRD,-16.7,-32.61,-0.0,4.76
10.185,0.204,0.0,XRD,1.26,-12.16,0.0,4.92
10.185,0.612,0.0,XRD,-12.1,2.81,0.0,5.95
10.185,1.019,0.0,XRD,-24.98,-35.13,0.0,5.57
10.185,1.427,0.0,XRD,-23.73,-41.4,-0.0,2.75
10.185,1.835,0.0,XRD,-39.67,-32.97,0.0,7.56
10.185,2.242,0.0,XRD,-40.66,-41.21,-0.0,3.45
10.185,2.65,0.0,XRD,-68.2,-36.48,0.0,5.49
10.185,3.058,0.0,XRD,-47.88,-52.95,0.22,7.45
10.185,3.466,0.0,XRD,-62.3,-64.31,0.14,6.81
10.185,3.873,0.0,XRD,-85.6,-64.61,-0.28,5.05
10.185,4.281,0.0,XRD,-87.56,-56.13,-1.24,5.92
10.185,4.689,0.0,XRD,-83.17,-62.57,-1.45,6.13
10.185,5.096,0.0,XRD,-87.31,-66.1,-0.61,4.29
10.185,5.504,0.0,XRD,-88.78,-60.4,1.46,7.52
10.185,5.912,0.0,XRD,-78.03,-61.66,-1.4,4.73
10.185,6.32,0.0,XRD,-68.49,-60.23,0.13,5.3
10.185,6.727,0.0,XRD,-57.48,-41.0,0.93,3.33
10.185,7.135,0.0,XRD,-71.46,-40.43,-0.0,2.89
10.185,7.543,0.0,XRD,-50.96,-42.81,0.0,5.11
10.185,7.951,0.0,XRD,-42.7,-38.74,-0.0,5.66
10.185,8.358,0.0,XRD,-46.04,-30.33,-0.0,8.88
10.185,8.766,0.0,XRD,-15.63,-35.58,-0.0,5.23
10.185,9.174,0.0,XRD,-21.98,-19.78,-0.0,4.32
10.185,9.581,0.0,XRD,-32.05,-20.84,-0.0,6.47
10.185,9.989,0.0,XRD,-19.9,-30.89,0.0,6.43
10.659,0.204,0.0,XRD,-31.64,-19.05,-0.0,7.38
10.659,0.612,0.0,XRD,-6.43,-21.84,0.0,4.55
10.659,1.019,0.0,XRD,-11.47,-28.51,-0.0,7.14
10.659,1.427,0.0,XRD,-28.48,-31.71,0.0,2.55
10.659,1.835,0.0,XRD,-24.42,-38.82,-0.0,5.06
10.659,2.242,0.0,XRD,-28.14,-28.33,0.0,2.94
10.659,2.65,0.0,XRD,-44.37,-47.05,0.0,4.47
10.659,3.058,0.0,XRD,-44.87,-44.12,0.0,5.61
10.659,3.466,0.0,XRD,-58.58,-40.14,-0.0,5.63
10.659,3.873,0.0,XRD,-62.05,-47.63,0.0,6.55
10.659,4.281,0.0,XRD,-58.29,-31.14,0.08,5.09
10.659,4.689,0.0,XRD,-64.05,-53.78,0.3,5.67
10.659,5.096,0.0,XRD,-73.98,-53.28,0.72,4.87
10.659,5.504,0.0,XRD,-65.89,-44.48,-0.56,6.36
10.659,5.912,0.0,XRD,-73.05,-48.17,0.01,4.39
10.659,6.32,0.0,XRD,-44.69,-43.21,-0.0,7.31
10.659,6.727,0.0,XRD,-62.3,-47.64,-0.0,4.31
10.659,7.135,0.0,XRD,-50.27,-52.86,-0.0,5.74
10.659,7.543,0.0,XRD,-45.06,-29.63,-0.0,4.56
10.659,7.951,0.0,XRD,-34.91,-26.96,-0.0,4.44
10.659,8.358,0.0,XRD,-24.5,-30.01,-0.0,5.3
10.659,8.766,0.0,XRD,-34.32,-11.87,-0.0,5.71
10.659,9.174,0.0,XRD,-22.56,-31.72,0.0,4.19
10.659,9.581,0.0,XRD,-9.23,-9.5,-0.0,3.3
10.659,9.989,0.0,XRD,-19.84,-5.68,0.0,4.12
11.132,0.204,0.0,XRD,-27.15,-8.38,-0.0,3.9
11.132,0.612,0.0,XRD,-7.8,-10.49,0.0,6.83
11.132,1.019,0.0,XRD,-9.12,-11.37,-0.0,4.33
11.132,1.427,0.0,XRD,-20.07,-30.89,0.0,5.19
11.132,1.835,0.0,XRD,-23.0,-2.59,0.0,4.91
11.132,2.242,0.0,XRD,-24.61,-28.36,0.0,6.13
11.132,2.65,0.0,XRD,-30.26,-28.04,-0.0,5.78
11.132,3.058,0.0,XRD,-31.95,-37.99,0.0,4.94
11.132,3.466,0.0,XRD,-34.17,-30.04,0.0,4.48
11.132,3.873,0.0,XRD,-28.96,-23.6,0.0,4.96
11.132,4.281,0.0,XRD,-42.06,-44.99,-0.0,4.77
11.132,4.689,0.0,XRD,-48.67,-39.31,0.0,5.64
11.132,5.096,0.0,XRD,-40.57,-42.35,-0.0,4.82
11.132,5.504,0.0,XRD,-59.02,-24.88,0.0,2.95
11.132,5.912,0.0,XRD,-64.52,-38.68,-0.0,4.78
11.132,6.32,0.0,XRD,-51.64,-33.71,-0.0,4.89
11.132,6.727,0.0,XRD,-23.5,-6.62,0.0,6.23
11.132,7.135,0.0,XRD,-51.6,-28.67,0.0,5.8
11.132,7.543,0.0,XRD,-24.69,-35.2,-0.0,4.31
11.132,7.951,0.0,XRD,-26.9,-29.42,0.0,3.89
11.132,8.358,0.0,XRD,-21.65,-15.73,-0.0,5.41
11.132,8.766,0.0,XRD,-24.24,-7.37,-0.0,4.71
11.132,9.174,0.0,XRD,-21.37,-5.25,-0.0,4.32
11.132,9.581,0.0,XRD,-12.63,-17.1,-0.0,3.63
11.132,9.989,0.0,XRD,1.02,-15.96,-0.0,3.44
11.606,0.204,0.0,XRD,1.73,-11.53,-0.0,6.13
11.606,0.612,0.0,XRD,-11.19,-16.48,-0.0,5.69
11.606,1.019,0.0,XRD,-17.46,-8.81,0.0,6.47
11.606,1.427,0.0,XRD,-9.28,2.7,0.0,4.56
11.606,1.835,0.0,XRD,-20.12,-15.07,-0.0,4.11
11.606,2.242,0.0,XRD,-16.0,-7.96,0.0,5.26
11.606,2.65,0.0,XRD,-12.69,-25.97,-0.0,5.31
11.606,3.058,0.0,XRD,-33.35,-19.33,-0.0,5.6
11.606,3.466,0.0,XRD,-30.06,-35.25,-0.0,6.73
11.606,3.873,0.0,XRD,-33.91,-20.01,-0.0,6.33
11.606,4.281,0.0,XRD,-26.88,-20.15,-0.0,5.84
11.606,4.689,0.0,XRD,-31.7,-8.75,0.0,2.95
11.606,5.096,0.0,XRD,-36.62,-28.39,-0.0,3.67
11.606,5.504,0.0,XRD,-31.87,-29.09,0.0,3.64
11.606,5.912,0.0,XRD,-52.11,-31.29,-0.0,4.41
11.606,6.32,0.0,XRD,-41.29,-25.74,0.0,5.14
11.606,6.727,0.0,XRD,-29.78,-9.19,-0.0,6.01
11.606,7.135,0.0,XRD,-22.0,-38.68,0.0,4.12
11.606,7.543,0.0,XRD,-31.22,-6.14,0.0,4.15
11.606,7.951,0.0,XRD,-18.39,-23.72,-0.0,6.65
11.606,8.358,0.0,XRD,-14.22,-12.35,-0.0,5.36
11.606,8.766,0.0,XRD,-23.3,-7.28,-0.0,6.55
11.606,9.174,0.0,XRD,-13.26,-6.08,-0.0,4.49
11.606,9.581,0.0,XRD,-1.55,-3.28,-0.0,2.99
11.606,9.989,0.0,XRD,-2.39,3.36,-0.0,5.07
