x_mm,y_mm,z_mm,method,sigma_xx_MPa,sigma_yy_MPa,sigma_zz_MPa,sigma_xy_MPa,sigma_yz_MPa,sigma_xz_MPa
5.329,5.606,0.227,SynchrotronXRD,-103.18,-74.91,-34.64,3.5,0.94,3.87
5.329,5.606,0.292,SynchrotronXRD,-79.82,-73.15,-23.35,-1.57,-0.41,-0.38
5.329,5.606,0.357,SynchrotronXRD,-43.55,-43.32,-19.78,1.13,6.61,-3.76
5.329,6.625,0.032,SynchrotronXRD,-150.92,-148.93,-43.13,-3.22,-0.42,2.48
5.329,6.625,0.097,SynchrotronXRD,-131.56,-95.32,-50.91,-17.63,-6.53,-0.42
5.329,6.625,0.162,SynchrotronXRD,-84.53,-103.86,-40.42,4.57,-2.95,-2.23
5.329,6.625,0.227,SynchrotronXRD,-95.59,-85.4,-43.69,-2.64,-1.98,3.95
5.329,6.625,0.292,SynchrotronXRD,-49.96,-57.02,-20.82,-0.72,4.11,-3.83
5.329,6.625,0.357,SynchrotronXRD,-50.59,-42.01,-19.49,2.0,-8.74,0.36
5.329,7.645,0.032,SynchrotronXRD,-129.49,-128.58,-60.11,-1.8,-2.13,0.33
5.329,7.645,0.097,SynchrotronXRD,-126.43,-101.55,-34.91,5.58,5.87,6.13
5.329,7.645,0.162,SynchrotronXRD,-98.53,-80.43,-46.3,3.56,-0.32,0.45
5.329,7.645,0.227,SynchrotronXRD,-86.65,-68.32,-35.21,-2.09,10.25,-6.46
5.329,7.645,0.292,SynchrotronXRD,-49.37,-68.39,-19.88,-0.17,2.71,3.85
5.329,7.645,0.357,SynchrotronXRD,-40.66,-41.43,-26.13,0.07,2.18,-2.27
5.329,8.664,0.032,SynchrotronXRD,-128.92,-139.86,-55.71,-8.46,4.08,0.21
5.329,8.664,0.097,SynchrotronXRD,-122.72,-102.39,-44.6,1.77,2.42,1.23
5.329,8.664,0.162,SynchrotronXRD,-91.68,-88.34,-40.66,-0.86,-5.28,-3.18
5.329,8.664,0.227,SynchrotronXRD,-73.13,-73.67,-28.61,2.99,-4.66,3.46
5.329,8.664,0.292,SynchrotronXRD,-67.85,-47.91,-33.42,-3.55,-2.37,-1.96
5.329,8.664,0.357,SynchrotronXRD,-36.47,-40.18,-17.72,-0.61,-2.8,-0.37
5.329,9.683,0.032,SynchrotronXRD,-144.13,-106.16,-59.62,-3.68,-2.08,5.8
5.329,9.683,0.097,SynchrotronXRD,-122.02,-106.81,-51.8,2.89,-2.62,2.2
5.329,9.683,0.162,SynchrotronXRD,-103.18,-90.82,-48.66,-0.02,10.04,0.45
5.329,9.683,0.227,SynchrotronXRD,-72.23,-73.4,-35.91,0.95,-2.45,-0.04
5.329,9.683,0.292,SynchrotronXRD,-69.34,-47.64,-24.56,0.15,0.97,3.5
5.329,9.683,0.357,SynchrotronXRD,-67.23,-28.38,-18.31,-1.02,-3.13,-2.02
6.514,0.51,0.032,SynchrotronXRD,-133.37,-126.06,-53.33,-6.11,6.74,-12.47
6.514,0.51,0.097,SynchrotronXRD,-118.1,-98.76,-51.34,0.78,-1.59,4.55
6.514,0.51,0.162,SynchrotronXRD,-113.21,-98.59,-54.52,0.73,3.3,4.73
6.514,0.51,0.227,SynchrotronXRD,-93.24,-104.1,-38.46,-2.57,-3.4,3.54
6.514,0.51,0.292,SynchrotronXRD,-71.01,-62.91,-39.02,-1.99,-1.54,3.16
6.514,0.51,0.357,SynchrotronXRD,-58.42,-45.78,-27.05,0.79,1.68,-4.94
6.514,1.529,0.032,SynchrotronXRD,-142.61,-101.72,-63.36,-5.43,-12.14,-5.06
6.514,1.529,0.097,SynchrotronXRD,-129.67,-106.81,-60.03,2.36,0.67,-8.87
6.514,1.529,0.162,SynchrotronXRD,-102.33,-114.7,-45.56,5.58,-8.74,3.58
6.514,1.529,0.227,SynchrotronXRD,-89.1,-92.88,-41.72,0.51,2.18,3.66
6.514,1.529,0.292,SynchrotronXRD,-77.0,-63.02,-16.33,-0.5,0.58,-5.0
6.514,1.529,0.357,SynchrotronXRD,-51.73,-58.46,-24.05,0.25,0.16,-3.43
6.514,2.548,0.032,SynchrotronXRD,-137.23,-110.58,-54.95,-7.06,6.49,-8.26
6.514,2.548,0.097,SynchrotronXRD,-119.49,-113.12,-46.09,-1.55,4.95,1.29
6.514,2.548,0.162,SynchrotronXRD,-105.01,-98.65,-45.64,0.32,5.69,5.23
6.514,2.548,0.227,SynchrotronXRD,-97.87,-84.8,-34.95,1.6,2.78,1.91
6.514,2.548,0.292,SynchrotronXRD,-74.0,-63.41,-37.92,-1.94,1.25,-3.41
6.514,2.548,0.357,SynchrotronXRD,-64.26,-35.75,-28.85,1.39,-1.57,3.08
6.514,3.568,0.032,SynchrotronXRD,-129.97,-114.79,-58.95,2.28,9.77,5.77
6.514,3.568,0.097,SynchrotronXRD,-113.11,-97.02,-51.17,-0.4,0.61,10.55
6.514,3.568,0.162,SynchrotronXRD,-120.74,-100.51,-44.01,2.78,3.56,6.28
6.514,3.568,0.227,SynchrotronXRD,-107.57,-85.12,-39.52,3.63,2.73,2.05
6.514,3.568,0.292,SynchrotronXRD,-89.22,-63.92,-27.93,-0.39,3.42,-5.1
6.514,3.568,0.357,SynchrotronXRD,-59.95,-57.4,-24.36,0.71,1.73,2.38
6.514,4.587,0.032,SynchrotronXRD,-160.36,-121.44,-55.09,0.51,-3.52,-7.67
6.514,4.587,0.097,SynchrotronXRD,-119.4,-109.38,-41.19,-0.4,-1.47,0.03
6.514,4.587,0.162,SynchrotronXRD,-129.98,-88.57,-35.35,-0.06,6.68,-4.6
6.514,4.587,0.227,SynchrotronXRD,-98.22,-70.03,-33.11,-3.95,-2.97,-4.82
6.514,4.587,0.292,SynchrotronXRD,-104.14,-43.01,-25.98,-1.44,-3.42,1.19
6.514,4.587,0.357,SynchrotronXRD,-63.52,-37.47,-28.85,-0.27,2.0,-0.83
6.514,5.606,0.032,SynchrotronXRD,-143.89,-124.0,-59.31,1.55,6.35,6.17
6.514,5.606,0.097,SynchrotronXRD,-129.75,-106.45,-50.91,3.06,3.96,5.26
6.514,5.606,0.162,SynchrotronXRD,-115.45,-96.55,-43.25,-4.03,7.26,-3.57
6.514,5.606,0.227,SynchrotronXRD,-87.03,-83.27,-34.14,1.83,4.63,-0.63
6.514,5.606,0.292,SynchrotronXRD,-99.16,-64.54,-28.16,2.12,-0.07,6.44
6.514,5.606,0.357,SynchrotronXRD,-57.29,-52.93,-10.81,0.84,-4.02,1.29
6.514,6.625,0.032,SynchrotronXRD,-154.97,-130.92,-47.26,-2.48,-5.14,-1.26
6.514,6.625,0.097,SynchrotronXRD,-129.05,-98.15,-58.65,6.41,-0.73,-4.86
6.514,6.625,0.162,SynchrotronXRD,-112.77,-86.42,-37.28,3.8,1.07,3.25
6.514,6.625,0.227,SynchrotronXRD,-95.4,-77.61,-34.87,-5.28,-2.52,-1.83
6.514,6.625,0.292,SynchrotronXRD,-68.02,-46.14,-30.91,1.39,-2.36,4.3
6.514,6.625,0.357,SynchrotronXRD,-33.54,-49.58,-8.54,-0.51,1.3,-5.7
6.514,7.645,0.032,SynchrotronXRD,-140.65,-122.92,-55.78,14.97,-0.8,6.27
6.514,7.645,0.097,SynchrotronXRD,-135.4,-106.38,-52.7,1.31,-6.72,13.33
6.514,7.645,0.162,SynchrotronXRD,-125.81,-90.62,-39.49,6.6,-3.13,3.29
6.514,7.645,0.227,SynchrotronXRD,-75.65,-76.8,-36.66,-0.46,2.67,1.85
6.514,7.645,0.292,SynchrotronXRD,-47.61,-66.24,-27.32,0.52,-2.87,-1.69
6.514,7.645,0.357,SynchrotronXRD,-51.59,-50.44,-21.13,0.06,-1.57,1.91
6.514,8.664,0.032,SynchrotronXRD,-140.45,-120.68,-55.83,-0.49,7.56,-0.61
6.514,8.664,0.097,SynchrotronXRD,-127.19,-103.14,-53.54,-7.56,8.28,-5.53
6.514,8.664,0.162,SynchrotronXRD,-110.03,-93.47,-49.51,2.85,0.56,-1.28
6.514,8.664,0.227,SynchrotronXRD,-85.67,-82.46,-47.15,1.88,3.7,3.64
6.514,8.664,0.292,SynchrotronXRD,-50.62,-56.82,-20.99,-1.03,-0.46,1.01
6.514,8.664,0.357,SynchrotronXRD,-41.26,-45.18,-24.7,-0.7,-0.91,-4.56
6.514,9.683,0.032,SynchrotronXRD,-154.57,-108.31,-52.05,12.74,7.86,1.87
6.514,9.683,0.097,SynchrotronXRD,-127.68,-104.18,-43.68,5.06,-3.06,0.19
6.514,9.683,0.162,SynchrotronXRD,-112.05,-102.41,-33.96,5.39,-9.79,-5.05
6.514,9.683,0.227,SynchrotronXRD,-89.39,-80.23,-38.34,-4.28,-5.32,-0.88
6.514,9.683,0.292,SynchrotronXRD,-73.46,-64.47,-21.81,3.68,-7.38,-5.01
6.514,9.683,0.357,SynchrotronXRD,-66.86,-47.35,-23.18,-0.69,1.49,4.3
7.698,0.51,0.032,SynchrotronXRD,-152.29,-122.84,-67.47,1.78,-0.24,3.53
7.698,0.51,0.097,SynchrotronXRD,-117.83,-109.54,-60.61,-0.36,4.29,-2.45
7.698,0.51,0.162,SynchrotronXRD,-128.25,-94.17,-55.03,-8.32,-4.8,-8.84
7.698,0.51,0.227,SynchrotronXRD,-95.54,-71.51,-38.36,2.24,-0.02,-2.63
7.698,0.51,0.292,SynchrotronXRD,-78.39,-62.74,-29.63,-3.02,1.44,-3.94
7.698,0.51,0.357,SynchrotronXRD,-58.0,-46.07,-31.1,0.05,0.41,-2.88
7.698,1.529,0.032,SynchrotronXRD,-163.74,-136.02,-56.75,-3.38,-5.04,0.91
7.698,1.529,0.097,SynchrotronXRD,-128.74,-124.43,-55.62,8.0,-2.72,-3.61
7.698,1.529,0.162,SynchrotronXRD,-119.86,-113.57,-41.25,-2.41,7.69,-5.23
7.698,1.529,0.227,SynchrotronXRD,-89.21,-81.81,-47.53,0.27,1.59,2.29
7.698,1.529,0.292,SynchrotronXRD,-72.18,-48.88,-23.17,-0.02,-0.57,-0.82
7.698,1.529,0.357,SynchrotronXRD,-73.89,-66.83,-24.22,-0.39,2.69,1.36
7.698,2.548,0.032,SynchrotronXRD,-149.09,-143.33,-62.43,-2.38,18.54,-7.54
7.698,2.548,0.097,SynchrotronXRD,-124.71,-115.34,-46.84,-13.94,9.6,-2.42
7.698,2.548,0.162,SynchrotronXRD,-145.63,-95.53,-50.94,-0.8,4.06,5.86
7.698,2.548,0.227,SynchrotronXRD,-91.82,-76.13,-52.58,0.86,-4.03,3.48
7.698,2.548,0.292,SynchrotronXRD,-85.56,-69.45,-28.31,-4.42,-1.45,-4.6
7.698,2.548,0.357,SynchrotronXRD,-66.03,-46.41,-25.32,0.03,4.14,-2.91
7.698,3.568,0.032,SynchrotronXRD,-155.12,-137.94,-51.84,11.05,-6.1,2.42
7.698,3.568,0.097,SynchrotronXRD,-135.58,-105.39,-53.2,-0.5,-1.57,-0.51
7.698,3.568,0.162,SynchrotronXRD,-115.4,-100.94,-53.51,9.94,2.62,0.79
7.698,3.568,0.227,SynchrotronXRD,-84.43,-62.39,-40.62,-5.48,-0.58,1.42
7.698,3.568,0.292,SynchrotronXRD,-76.45,-69.53,-33.84,0.57,-2.58,6.53
7.698,3.568,0.357,SynchrotronXRD,-69.18,-32.06,-27.49,0.39,1.26,-3.4
7.698,4.587,0.032,SynchrotronXRD,-142.36,-120.1,-62.17,1.44,-3.56,-9.55
7.698,4.587,0.097,SynchrotronXRD,-127.78,-115.29,-52.6,2.75,-3.27,-4.53
7.698,4.587,0.162,SynchrotronXRD,-108.66,-94.94,-59.35,1.33,2.65,5.69
7.698,4.587,0.227,SynchrotronXRD,-95.95,-83.96,-30.18,-3.91,-0.05,3.62
7.698,4.587,0.292,SynchrotronXRD,-67.11,-56.06,-25.4,1.52,0.62,0.32
7.698,4.587,0.357,SynchrotronXRD,-71.71,-47.84,-26.62,-0.05,-0.65,4.77
7.698,5.606,0.032,SynchrotronXRD,-148.61,-115.09,-56.93,6.2,3.52,2.64
7.698,5.606,0.097,SynchrotronXRD,-141.64,-116.4,-48.88,10.7,11.57,-14.62
7.698,5.606,0.162,SynchrotronXRD,-108.71,-99.42,-45.47,-0.22,4.97,-5.66
7.698,5.606,0.227,SynchrotronXRD,-93.6,-101.2,-34.68,0.63,6.0,2.12
7.698,5.606,0.292,SynchrotronXRD,-92.15,-60.87,-28.29,-0.87,-1.88,-7.27
7.698,5.606,0.357,SynchrotronXRD,-70.13,-52.82,-40.44,-1.11,-3.51,4.98
7.698,6.625,0.032,SynchrotronXRD,-161.19,-121.93,-53.16,-14.99,1.83,0.11
7.698,6.625,0.097,SynchrotronXRD,-131.5,-117.97,-48.81,2.07,-2.55,-1.2
7.698,6.625,0.162,SynchrotronXRD,-122.95,-104.7,-49.0,2.77,-9.52,1.26
7.698,6.625,0.227,SynchrotronXRD,-102.36,-76.03,-44.75,-3.18,0.51,-2.34
7.698,6.625,0.292,SynchrotronXRD,-80.1,-57.93,-32.65,-3.45,2.17,0.21
7.698,6.625,0.357,SynchrotronXRD,-58.1,-73.36,-24.51,-0.31,6.39,-0.83
7.698,7.645,0.032,SynchrotronXRD,-147.2,-128.26,-57.41,4.75,-7.31,1.96
7.698,7.645,0.097,SynchrotronXRD,-137.87,-94.15,-58.22,3.91,-6.1,-0.42
7.698,7.645,0.162,SynchrotronXRD,-115.11,-91.45,-49.8,-1.35,-8.1,0.26
7.698,7.645,0.227,SynchrotronXRD,-102.07,-91.41,-41.7,-0.73,-0.05,-2.2
7.698,7.645,0.292,SynchrotronXRD,-79.3,-50.59,-37.81,0.54,1.35,-9.01
7.698,7.645,0.357,SynchrotronXRD,-82.65,-41.97,-13.72,-0.39,-0.08,0.22
7.698,8.664,0.032,SynchrotronXRD,-129.78,-133.07,-61.58,-0.82,9.25,0.37
7.698,8.664,0.097,SynchrotronXRD,-131.31,-113.37,-54.24,12.54,5.75,0.39
7.698,8.664,0.162,SynchrotronXRD,-128.17,-94.14,-49.27,1.65,-3.64,1.25
7.698,8.664,0.227,SynchrotronXRD,-121.12,-79.96,-35.39,-0.0,4.06,1.5
7.698,8.664,0.292,SynchrotronXRD,-85.66,-66.67,-42.84,-1.46,1.91,-5.13
7.698,8.664,0.357,SynchrotronXRD,-48.77,-60.44,-27.95,-0.6,6.25,4.13
7.698,9.683,0.032,SynchrotronXRD,-156.5,-122.19,-46.59,-17.3,-3.53,-3.82
7.698,9.683,0.097,SynchrotronXRD,-120.1,-106.44,-46.04,-9.36,7.44,2.6
7.698,9.683,0.162,SynchrotronXRD,-126.91,-122.76,-54.74,0.91,3.1,-1.81
7.698,9.683,0.227,SynchrotronXRD,-108.23,-77.26,-44.17,-0.73,0.25,4.97
7.698,9.683,0.292,SynchrotronXRD,-89.14,-74.48,-32.0,-3.36,3.68,-0.96
7.698,9.683,0.357,SynchrotronXRD,-64.67,-62.13,-36.5,-0.23,0.55,-3.47
8.882,0.51,0.032,SynchrotronXRD,-156.23,-113.13,-57.01,4.88,-3.31,3.19
8.882,0.51,0.097,SynchrotronXRD,-144.03,-108.39,-50.0,-5.14,6.28,2.67
8.882,0.51,0.162,SynchrotronXRD,-120.2,-98.78,-49.56,-1.77,-0.91,-6.46
8.882,0.51,0.227,SynchrotronXRD,-123.93,-72.67,-36.9,-0.37,5.11,4.0
8.882,0.51,0.292,SynchrotronXRD,-92.14,-66.72,-27.94,1.21,-4.11,-0.53
8.882,0.51,0.357,SynchrotronXRD,-71.16,-50.13,-24.27,-1.41,0.48,-0.86
8.882,1.529,0.032,SynchrotronXRD,-152.31,-123.19,-56.5,-1.05,-3.92,-0.58
8.882,1.529,0.097,SynchrotronXRD,-142.94,-114.39,-56.97,2.08,1.19,-6.01
8.882,1.529,0.162,SynchrotronXRD,-129.35,-109.93,-49.69,-0.33,5.64,-2.38
8.882,1.529,0.227,SynchrotronXRD,-81.02,-97.8,-29.86,-2.95,-2.61,-1.46
8.882,1.529,0.292,SynchrotronXRD,-79.76,-78.92,-36.0,1.36,-3.8,-0.69
8.882,1.529,0.357,SynchrotronXRD,-61.53,-65.86,-29.04,0.1,-10.44,2.19
8.882,2.548,0.032,SynchrotronXRD,-140.82,-145.54,-56.11,2.13,-3.41,7.81
8.882,2.548,0.097,SynchrotronXRD,-136.42,-116.66,-57.86,-9.27,2.48,2.7
8.882,2.548,0.162,SynchrotronXRD,-130.52,-93.38,-55.04,0.35,-4.87,-1.73
8.882,2.548,0.227,SynchrotronXRD,-95.68,-91.95,-36.04,1.48,-0.04,-8.8
8.882,2.548,0.292,SynchrotronXRD,-85.45,-56.07,-30.85,-2.14,1.04,2.2
8.882,2.548,0.357,SynchrotronXRD,-74.36,-57.39,-29.01,0.24,-4.94,5.74
8.882,3.568,0.032,SynchrotronXRD,-158.21,-134.17,-64.21,-3.88,-2.51,1.33
8.882,3.568,0.097,SynchrotronXRD,-132.71,-107.43,-55.31,-2.92,0.04,-2.36
8.882,3.568,0.162,SynchrotronXRD,-127.05,-109.46,-59.14,-1.97,0.44,2.67
8.882,3.568,0.227,SynchrotronXRD,-98.72,-79.97,-52.3,-0.45,4.12,3.25
8.882,3.568,0.292,SynchrotronXRD,-86.72,-57.58,-38.04,-1.6,2.37,-2.28
8.882,3.568,0.357,SynchrotronXRD,-68.39,-51.02,-17.69,0.46,-2.0,2.43
8.882,4.587,0.032,SynchrotronXRD,-149.42,-115.88,-50.59,-3.92,0.18,2.73
8.882,4.587,0.097,SynchrotronXRD,-129.67,-108.15,-56.77,-5.34,4.1,-7.17
8.882,4.587,0.162,SynchrotronXRD,-124.81,-103.16,-58.1,0.06,5.47,1.05
8.882,4.587,0.227,SynchrotronXRD,-109.16,-99.71,-45.12,6.93,-5.22,-0.1
8.882,4.587,0.292,SynchrotronXRD,-89.38,-62.04,-25.55,-0.31,0.18,0.36
8.882,4.587,0.357,SynchrotronXRD,-59.55,-51.57,-32.5,-0.05,-3.65,-3.03
8.882,5.606,0.032,SynchrotronXRD,-138.26,-131.16,-58.05,-5.22,0.48,-9.43
8.882,5.606,0.097,SynchrotronXRD,-130.32,-116.28,-48.76,0.33,-1.09,-3.04
8.882,5.606,0.162,SynchrotronXRD,-107.36,-96.57,-54.37,-0.14,4.1,7.25
8.882,5.606,0.227,SynchrotronXRD,-95.11,-89.2,-46.93,0.94,0.31,-4.4
8.882,5.606,0.292,SynchrotronXRD,-77.37,-62.51,-28.77,-0.15,-7.71,1.64
8.882,5.606,0.357,SynchrotronXRD,-56.88,-58.86,-27.89,0.43,-1.88,7.54
8.882,6.625,0.032,SynchrotronXRD,-155.81,-141.94,-60.34,0.01,0.96,-4.88
8.882,6.625,0.097,SynchrotronXRD,-130.81,-92.07,-49.67,-3.79,4.97,1.94
8.882,6.625,0.162,SynchrotronXRD,-111.08,-96.35,-51.67,-0.66,4.23,-4.79
8.882,6.625,0.227,SynchrotronXRD,-81.2,-95.74,-37.83,-2.43,3.3,7.91
8.882,6.625,0.292,SynchrotronXRD,-81.42,-68.95,-27.16,1.43,0.4,-2.77
8.882,6.625,0.357,SynchrotronXRD,-58.89,-37.9,-23.76,0.36,2.84,3.22
8.882,7.645,0.032,SynchrotronXRD,-137.78,-130.31,-58.35,-1.83,1.29,-2.3
8.882,7.645,0.097,SynchrotronXRD,-136.44,-134.85,-60.73,-4.45,3.63,-2.45
8.882,7.645,0.162,SynchrotronXRD,-129.09,-105.27,-38.3,0.15,0.38,3.32
8.882,7.645,0.227,SynchrotronXRD,-100.17,-84.72,-40.03,0.14,-3.27,3.42
8.882,7.645,0.292,SynchrotronXRD,-86.51,-72.65,-35.72,1.8,1.04,-0.73
8.882,7.645,0.357,SynchrotronXRD,-65.04,-63.01,-28.31,-0.69,1.18,-1.12
8.882,8.664,0.032,SynchrotronXRD,-145.21,-127.88,-55.9,7.93,3.42,2.18
8.882,8.664,0.097,SynchrotronXRD,-130.67,-107.25,-61.85,-11.48,-0.87,-8.35
8.882,8.664,0.162,SynchrotronXRD,-114.72,-81.86,-46.5,10.29,-0.07,-3.94
8.882,8.664,0.227,SynchrotronXRD,-88.84,-73.96,-32.06,-0.93,6.96,3.09
8.882,8.664,0.292,SynchrotronXRD,-78.15,-83.6,-31.41,-3.34,-4.1,-4.2
8.882,8.664,0.357,SynchrotronXRD,-63.11,-58.89,-26.0,0.13,0.98,0.67
8.882,9.683,0.032,SynchrotronXRD,-151.73,-133.45,-75.15,-3.38,-2.77,-3.83
8.882,9.683,0.097,SynchrotronXRD,-135.03,-126.27,-53.39,0.95,4.57,-5.17
8.882,9.683,0.162,SynchrotronXRD,-119.25,-94.4,-52.89,-3.51,0.68,-5.15
8.882,9.683,0.227,SynchrotronXRD,-93.04,-91.03,-36.5,-2.89,1.03,6.54
8.882,9.683,0.292,SynchrotronXRD,-93.57,-68.02,-43.34,1.22,-0.33,-0.49
8.882,9.683,0.357,SynchrotronXRD,-61.48,-62.25,-28.45,1.03,0.99,4.94
10.067,0.51,0.032,SynchrotronXRD,-159.44,-135.04,-58.39,0.23,-5.25,-8.68
10.067,0.51,0.097,SynchrotronXRD,-134.7,-118.08,-55.56,3.6,0.27,-3.02
10.067,0.51,0.162,SynchrotronXRD,-101.91,-112.56,-36.75,9.25,3.47,2.47
10.067,0.51,0.227,SynchrotronXRD,-98.04,-94.27,-30.64,-1.1,9.35,-0.36
10.067,0.51,0.292,SynchrotronXRD,-88.45,-84.7,-27.7,-3.14,5.22,-2.73
10.067,0.51,0.357,SynchrotronXRD,-85.81,-46.64,-23.77,0.49,1.51,-2.67
10.067,1.529,0.032,SynchrotronXRD,-130.64,-129.87,-59.43,7.26,-2.51,-8.67
10.067,1.529,0.097,SynchrotronXRD,-133.05,-109.71,-68.04,-9.83,8.22,-0.64
10.067,1.529,0.162,SynchrotronXRD,-120.57,-107.65,-42.39,8.7,-0.58,0.61
10.067,1.529,0.227,SynchrotronXRD,-101.8,-63.32,-39.79,-0.84,5.34,4.84
10.067,1.529,0.292,SynchrotronXRD,-68.28,-77.28,-41.25,0.38,-1.47,0.23
10.067,1.529,0.357,SynchrotronXRD,-55.55,-45.03,-19.6,1.11,2.72,1.03
10.067,2.548,0.032,SynchrotronXRD,-157.14,-127.21,-55.21,-5.98,-1.25,0.5
10.067,2.548,0.097,SynchrotronXRD,-135.9,-97.74,-50.02,-4.08,-2.58,-3.32
10.067,2.548,0.162,SynchrotronXRD,-113.1,-103.35,-43.15,2.99,3.19,-1.36
10.067,2.548,0.227,SynchrotronXRD,-96.77,-99.17,-33.49,-0.84,9.6,-6.91
10.067,2.548,0.292,SynchrotronXRD,-77.57,-77.06,-31.39,-0.13,-2.46,4.65
10.067,2.548,0.357,SynchrotronXRD,-68.87,-57.71,-33.0,0.01,0.5,1.35
10.067,3.568,0.032,SynchrotronXRD,-137.57,-147.7,-60.53,-15.29,4.75,8.64
10.067,3.568,0.097,SynchrotronXRD,-128.7,-104.02,-51.07,6.69,-3.51,0.16
10.067,3.568,0.162,SynchrotronXRD,-102.39,-116.84,-50.03,-1.97,5.11,5.23
10.067,3.568,0.227,SynchrotronXRD,-83.23,-85.1,-51.61,1.38,1.15,7.14
10.067,3.568,0.292,SynchrotronXRD,-74.28,-63.88,-35.38,-0.91,-2.28,0.73
10.067,3.568,0.357,SynchrotronXRD,-66.33,-54.14,-31.99,0.05,2.07,3.35
10.067,4.587,0.032,SynchrotronXRD,-139.46,-134.08,-61.02,-0.41,2.32,-1.61
10.067,4.587,0.097,SynchrotronXRD,-120.08,-106.78,-56.57,4.63,1.9,5.48
10.067,4.587,0.162,SynchrotronXRD,-102.0,-107.18,-40.75,5.58,-1.42,4.03
10.067,4.587,0.227,SynchrotronXRD,-92.32,-98.11,-37.11,-7.71,0.68,-0.52
10.067,4.587,0.292,SynchrotronXRD,-79.91,-68.23,-40.45,-3.42,1.56,6.11
10.067,4.587,0.357,SynchrotronXRD,-47.33,-64.58,-23.63,-1.06,-1.01,0.81
10.067,5.606,0.032,SynchrotronXRD,-170.53,-142.66,-63.99,2.91,5.83,9.08
10.067,5.606,0.097,SynchrotronXRD,-125.94,-102.75,-43.51,15.08,18.16,-1.59
10.067,5.606,0.162,SynchrotronXRD,-129.62,-116.98,-55.72,-4.1,-1.34,-13.49
10.067,5.606,0.227,SynchrotronXRD,-98.11,-104.4,-39.41,-0.89,-3.49,-3.15
10.067,5.606,0.292,SynchrotronXRD,-84.62,-65.25,-31.21,-0.68,-1.87,-3.12
10.067,5.606,0.357,SynchrotronXRD,-54.72,-45.35,-20.78,1.11,4.05,-5.57
10.067,6.625,0.032,SynchrotronXRD,-154.72,-139.26,-61.21,3.46,-1.69,7.61
10.067,6.625,0.097,SynchrotronXRD,-144.97,-111.96,-49.3,-4.57,1.52,-0.95
10.067,6.625,0.162,SynchrotronXRD,-115.04,-112.22,-50.63,5.54,3.24,-0.84
10.067,6.625,0.227,SynchrotronXRD,-92.14,-94.99,-39.92,-3.9,1.27,5.36
10.067,6.625,0.292,SynchrotronXRD,-76.22,-72.65,-38.78,-1.8,3.72,-0.84
10.067,6.625,0.357,SynchrotronXRD,-72.38,-46.97,-23.0,0.12,0.36,6.86
10.067,7.645,0.032,SynchrotronXRD,-133.78,-124.84,-67.45,16.09,1.69,-0.95
10.067,7.645,0.097,SynchrotronXRD,-135.48,-112.97,-49.88,6.12,6.13,3.26
10.067,7.645,0.162,SynchrotronXRD,-141.59,-96.84,-51.46,3.53,-0.34,2.39
10.067,7.645,0.227,SynchrotronXRD,-101.67,-84.4,-36.66,-0.59,-4.86,2.89
10.067,7.645,0.292,SynchrotronXRD,-83.72,-78.0,-30.78,-2.27,-1.96,-1.68
10.067,7.645,0.357,SynchrotronXRD,-84.47,-51.7,-25.84,-0.28,4.56,-4.88
10.067,8.664,0.032,SynchrotronXRD,-171.31,-138.11,-56.62,9.16,-0.07,9.58
10.067,8.664,0.097,SynchrotronXRD,-130.28,-114.29,-54.45,-0.8,0.31,9.01
10.067,8.664,0.162,SynchrotronXRD,-115.68,-96.98,-49.57,-3.11,2.44,-4.11
10.067,8.664,0.227,SynchrotronXRD,-92.33,-76.65,-40.03,-4.68,8.06,4.42
10.067,8.664,0.292,SynchrotronXRD,-81.02,-64.82,-39.42,-0.86,0.88,-2.16
10.067,8.664,0.357,SynchrotronXRD,-68.54,-37.52,-22.53,0.93,-1.14,-0.99
10.067,9.683,0.032,SynchrotronXRD,-159.68,-126.94,-62.82,2.99,-7.27,-4.56
10.067,9.683,0.097,SynchrotronXRD,-146.75,-107.93,-48.56,3.11,-4.42,-2.35
10.067,9.683,0.162,SynchrotronXRD,-99.86,-107.44,-46.43,7.63,12.15,-3.07
10.067,9.683,0.227,SynchrotronXRD,-96.9,-86.86,-45.63,-0.5,-4.26,2.52
10.067,9.683,0.292,SynchrotronXRD,-91.97,-57.72,-29.0,1.36,0.39,-4.86
10.067,9.683,0.357,SynchrotronXRD,-71.15,-31.4,-22.97,0.68,-0.67,3.72
11.251,0.51,0.032,SynchrotronXRD,-151.95,-112.94,-58.45,10.3,-1.1,-11.0
11.251,0.51,0.097,SynchrotronXRD,-116.35,-112.88,-61.39,-8.38,-5.9,-1.3
11.251,0.51,0.162,SynchrotronXRD,-105.77,-86.72,-42.88,-6.45,6.38,1.8
11.251,0.51,0.227,SynchrotronXRD,-94.97,-72.49,-28.16,-1.53,-0.92,-3.51
11.251,0.51,0.292,SynchrotronXRD,-75.75,-61.31,-32.96,0.53,-5.27,-8.73
11.251,0.51,0.357,SynchrotronXRD,-63.45,-49.35,-13.04,0.22,1.63,0.58
11.251,1.529,0.032,SynchrotronXRD,-140.92,-128.54,-50.77,-0.8,-0.05,0.68
11.251,1.529,0.097,SynchrotronXRD,-120.25,-88.71,-50.77,6.16,-8.57,-7.39
